Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Mountain West,,Utah,6,2,238,160,10,3,388,263,6,0,4,3,W1,0,3,0,3,2009
Mountain West,,Air Force,5,3,206,141,8,5,386,204,6,1,2,4,W1,0,3,0,3,2009
Mountain West,,Wyoming,4,4,134,212,7,6,238,355,4,3,3,3,W2,0,4,0,4,2009
Mountain West,,UNLV,3,5,177,267,5,7,298,389,4,3,1,4,-,0,3,0,3,2009
Mountain West,,San Diego State,2,6,177,263,4,8,280,366,3,3,1,5,-,0,3,0,3,2009
Mountain West,,New Mexico,1,7,135,278,1,11,196,431,1,5,0,6,-,0,4,0,4,2009
Mountain West,,Colorado State,0,8,149,267,3,9,260,358,2,4,1,5,-,0,3,0,3,2009
Pac-12,,Oregon,8,1,375,204,10,3,469,309,7,1,3,2,L1,2,2,2,2,2009
Pac-12,,Arizona,6,3,286,228,8,5,356,311,5,1,3,4,L1,1,3,1,3,2009
Pac-12,,Oregon State,6,3,314,225,8,5,409,325,4,2,4,3,L2,0,4,0,4,2009
Pac-12,,Stanford,6,3,330,235,8,5,461,345,6,2,2,3,L1,2,0,2,0,2009
Pac-12,,USC,5,4,212,200,9,4,344,258,5,2,4,2,W1,1,1,1,1,2009
Pac-12,,California,5,4,205,253,8,5,378,331,4,3,4,2,L2,0,3,0,3,2009
Pac-12,,Washington,4,5,218,229,5,7,313,320,5,2,0,5,-,1,2,1,2,2009
Pac-12,,UCLA,3,6,181,217,7,6,286,276,4,2,3,4,W1,0,2,0,2,2009
Pac-12,,Arizona State,2,7,163,216,4,8,268,253,3,4,1,4,-,0,2,0,2,2009
Pac-12,,Washington State,0,9,80,357,1,11,144,462,1,5,0,6,-,0,2,0,2,2009
Southeastern,East,Florida,8,0,221,96,13,1,502,174,9,0,4,1,W1,2,1,2,1,2009
Southeastern,East,Georgia,4,4,234,252,8,5,376,337,5,2,3,3,W2,1,2,1,3,2009
Southeastern,East,Tennessee,4,4,199,175,7,6,381,289,6,3,1,3,L1,0,4,0,4,2009
Southeastern,East,Kentucky,3,5,180,222,7,6,339,295,3,4,4,2,L2,0,3,0,2,2009
Southeastern,East,South Carolina,3,5,144,195,7,6,268,265,6,1,1,5,L1,2,2,1,2,2009
Southeastern,East,Vanderbilt,0,8,71,191,2,10,196,280,1,5,1,5,-,0,4,0,4,2009
Southeastern,West,Alabama,8,0,208,85,14,0,449,164,9,0,5,0,W14,5,0,5,0,2009
Southeastern,West,LSU,5,3,178,150,9,4,323,211,6,2,3,2,L1,0,4,0,4,2009
Southeastern,West,Ole Miss,4,4,180,176,9,4,384,230,7,1,2,3,W1,1,1,2,1,2009
Southeastern,West,Arkansas,3,5,234,233,8,5,468,326,7,1,1,4,W1,0,4,0,4,2009
Southeastern,West,Auburn,3,5,200,219,8,5,433,358,7,2,1,3,W1,2,2,2,2,2009
Southeastern,West,Mississippi State,3,5,180,235,5,7,307,321,2,5,3,2,-,1,4,1,4,2009
Sun Belt,,Troy,8,0,330,186,9,4,438,387,5,1,4,3,L1,0,1,0,1,2009
Sun Belt,,Middle Tennessee,7,1,291,167,10,3,416,308,6,1,4,2,W7,0,1,0,0,2009
Sun Belt,,Louisiana Monroe,5,3,202,195,6,6,307,328,4,1,2,5,-,0,1,0,1,2009
Sun Belt,,Florida Atlantic,5,3,253,232,5,7,329,405,2,3,3,4,-,0,1,0,1,2009
Sun Belt,,Louisiana,4,4,204,244,6,6,266,364,4,2,2,4,-,0,2,0,2,2009
