School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code,year,Power5,ConferenceAbbrev
Boston College,Big East,,4,8,0.0,-2.78,2.81,0.03,32.33,11.45,,,,,,,13.0,1995,True,ACC
Georgia Tech,ACC,,6,5,0.0,-1.57,1.42,-0.16,35.43,10.94,,,,,,,17.0,1995,True,ACC
Maryland,ACC,,6,5,0.0,-4.36,3.23,-1.14,31.22,10.94,,,,,,,30.0,1995,True,B1G
Indiana,Big Ten,,2,9,0.0,-3.13,1.31,-1.82,32.48,14.36,,,,,,,28.0,1995,True,B1G
TCU,SWC,,6,5,0.0,-2.54,0.63,-1.91,30.79,13.32,,,,,,,47.0,1995,True,Big 12
Washington St.,Pac-10,,3,8,0.0,-1.14,-0.87,-2.01,34.5,12.71,,,,,,,106.0,1995,True,Pac-12
Oklahoma St.,Big 8,,4,8,0.0,-1.49,-1.4,-2.89,32.77,14.51,,,,,,,46.0,1995,True,Big 12
Navy,Ind,,5,6,0.0,-8.74,5.29,-3.45,27.09,7.47,,,,,,,7.0,1995,False,AAC
Ball St.,MAC,,7,4,0.0,-7.87,3.53,-4.34,23.81,11.21,,,,,,,72.0,1995,False,MAC
Western Michigan,MAC,,7,4,0.0,-6.75,2.12,-4.63,26.59,13.53,,,,,,,82.0,1995,False,MAC
Vanderbilt,SEC (East),,2,9,0.0,-10.12,5.39,-4.74,25.36,10.57,,,,,,,120.0,1995,True,SEC
California,Pac-10,,3,8,0.0,-2.93,-2.07,-5.0,32.49,15.32,,,,,,,97.0,1995,True,Pac-12
Mississippi St.,SEC (West),,3,8,0.0,2.47,-7.52,-5.05,37.88,19.92,,,,,,,114.0,1995,True,SEC
NC State,ACC,,3,8,0.0,0.74,-6.11,-5.37,36.87,20.78,,,,,,,20.0,1995,True,ACC
Louisiana,Big West,,6,5,0.0,-0.08,-5.34,-5.41,35.37,19.16,,,,,,,126.0,1995,False,Sun Belt
Pittsburgh,Big East,,2,9,0.0,-3.63,-2.1,-5.73,32.61,16.11,,,,,,,22.0,1995,True,ACC
Missouri,Big 8,,3,8,0.0,-6.65,0.78,-5.87,27.44,14.58,,,,,,,115.0,1995,True,SEC
Iowa St.,Big 8,,3,8,0.0,1.55,-7.6,-6.05,35.82,25.08,,,,,,,42.0,1995,True,Big 12
Rutgers,Big East,,4,7,0.0,5.91,-12.0,-6.09,41.07,26.84,,,,,,,39.0,1995,True,B1G
Memphis,Ind,,3,8,0.0,-8.78,2.33,-6.45,26.45,12.03,,,,,,,6.0,1995,False,AAC
Tulsa,Ind,,4,7,0.0,-2.96,-3.6,-6.56,31.71,19.33,,,,,,,12.0,1995,False,AAC
Eastern Michigan,MAC,,6,5,0.0,3.94,-10.69,-6.75,37.6,27.74,,,,,,,76.0,1995,False,MAC
Fresno St.,WAC,,5,7,0.0,2.31,-9.26,-6.95,37.05,23.59,,,,,,,86.0,1995,False,MWC
Duke,ACC,,3,8,0.0,2.76,-9.92,-7.16,38.21,22.8,,,,,,,15.0,1995,True,ACC
Houston,SWC,,2,9,0.0,-3.79,-3.74,-7.53,30.42,19.84,,,,,,,5.0,1995,False,AAC
Rice,SWC,,2,8,1.0,-5.05,-2.99,-8.04,30.17,17.04,,,,,,,59.0,1995,False,C-USA
New Mexico,WAC,,4,7,0.0,-4.75,-3.39,-8.13,29.23,17.56,,,,,,,89.0,1995,False,MWC
Temple,Big East,,1,10,0.0,-3.35,-5.2,-8.55,31.75,19.58,,,,,,,10.0,1995,False,AAC
Bowling Green,MAC,,5,6,0.0,-7.45,-2.55,-9.99,25.4,18.43,,,,,,,73.0,1995,False,MAC
Central Michigan,MAC,,4,7,0.0,-3.51,-6.84,-10.35,28.33,21.88,,,,,,,75.0,1995,False,MAC
Louisiana Tech,Big West,,5,6,0.0,-1.6,-9.63,-11.23,32.04,26.6,,,,,,,54.0,1995,False,C-USA
Hawaii,WAC,,4,8,0.0,-5.07,-6.38,-11.45,29.52,24.65,,,,,,,87.0,1995,False,MWC
Utah St.,Big West,,4,7,0.0,-6.6,-5.1,-11.7,28.21,20.44,,,,,,,93.0,1995,False,MWC
New Mexico State,Big West,,4,7,0.0,0.06,-12.53,-12.47,33.79,28.65,,,,,,,69.0,1995,False,IND (FBS)
Arkansas St.,Big West,,6,5,0.0,-10.46,-2.03,-12.48,24.63,19.54,,,,,,,122.0,1995,False,Sun Belt
Oregon St.,Pac-10,,1,10,0.0,-13.6,0.87,-12.73,20.79,11.93,,,,,,,100.0,1995,True,Pac-12
Tulane,Ind,,2,9,0.0,-7.11,-5.83,-12.94,27.66,20.58,,,,,,,11.0,1995,False,AAC
SMU,SWC,,1,10,0.0,-7.87,-5.34,-13.21,26.87,22.37,,,,,,,8.0,1995,False,AAC
Wake Forest,ACC,,1,10,0.0,-6.86,-7.37,-14.23,29.02,22.08,,,,,,,26.0,1995,True,ACC
Northern Illinois,Big West,,3,8,0.0,-6.93,-7.95,-14.88,27.91,28.94,,,,,,,79.0,1995,False,MAC
Pacific,Big West,,3,8,0.0,-5.35,-10.26,-15.61,28.48,29.38,,,,,,,376.0,1995,False,
San Jose St.,Big West,,3,8,0.0,-5.26,-10.46,-15.72,27.4,26.68,,,,,,,91.0,1995,False,MWC
Ohio,MAC,,2,8,1.0,-11.81,-5.95,-17.76,19.87,24.95,,,,,,,80.0,1995,False,MAC
UL Monroe,Ind,,2,9,0.0,-7.37,-10.94,-18.31,27.09,28.16,,,,,,,130.0,1995,False,Sun Belt
Akron,MAC,,2,9,0.0,-12.24,-6.33,-18.58,20.12,32.79,,,,,,,71.0,1995,False,MAC
UTEP,WAC,,2,10,0.0,-5.63,-13.21,-18.84,28.44,30.89,,,,,,,62.0,1995,False,C-USA
North Texas,Ind,,2,9,0.0,-6.24,-12.79,-19.02,27.15,32.59,,,,,,,57.0,1995,False,C-USA
Kent State,MAC,,1,9,1.0,-15.13,-6.91,-22.04,16.77,30.85,,,,,,,77.0,1995,False,MAC
UNLV,Big West,,2,9,0.0,-11.64,-17.05,-28.69,20.16,41.11,,,,,,,92.0,1995,False,MWC
Florida,SEC (East),1.0,12,1,,15.69,7.91,23.6,61.83,4.47,,,,,,,110.0,1996,True,SEC
Ohio St.,Big Ten,2.0,11,1,,6.61,15.84,22.45,51.91,-3.3,,,,,,,36.0,1996,True,B1G
Nebraska,Big 12 (North),6.0,11,2,,6.35,15.87,22.22,55.65,-3.1,,,,,,,34.0,1996,True,B1G
Florida St.,ACC,3.0,11,1,,9.2,12.34,21.54,50.92,0.58,,,,,,,16.0,1996,True,ACC
Arizona St.,Pac-10,4.0,11,1,,12.7,7.22,19.92,53.93,4.17,,,,,,,96.0,1996,True,Pac-12
North Carolina,ACC,10.0,10,2,,3.94,13.62,17.55,42.64,0.11,,,,,,,21.0,1996,True,ACC
Colorado,Big 12 (North),8.0,10,2,,7.66,9.5,17.16,43.44,2.1,,,,,,,98.0,1996,True,Pac-12
Syracuse,Big East,21.0,9,3,,9.4,7.59,16.99,47.36,6.88,,,,,,,23.0,1996,True,ACC
Penn State,Big Ten,7.0,11,2,,6.51,10.47,16.97,44.75,2.92,,,,,,,37.0,1996,True,B1G
Tennessee,SEC (East),9.0,10,2,,7.56,8.56,16.12,49.57,5.25,,,,,,,118.0,1996,True,SEC
Notre Dame,Ind,19.0,8,3,,7.59,8.48,16.07,50.09,4.17,,,,,,,70.0,1996,True,IND (FBS)
Washington,Pac-10,16.0,9,3,,7.85,7.17,15.02,46.38,5.64,,,,,,,105.0,1996,True,Pac-12
Virginia Tech,Big East,13.0,10,2,,6.21,7.64,13.84,41.91,6.62,,,,,,,25.0,1996,True,ACC
BYU,WAC (Mountain),5.0,14,1,,9.43,4.22,13.65,46.48,10.42,,,,,,,66.0,1996,False,IND (FBS)
Iowa,Big Ten,18.0,9,3,,6.18,7.48,13.65,41.46,5.72,,,,,,,29.0,1996,True,B1G
Kansas St.,Big 12 (North),17.0,9,3,,1.5,11.63,13.13,40.04,1.34,,,,,,,44.0,1996,True,Big 12
Michigan,Big Ten,20.0,8,4,,1.29,11.75,13.03,37.56,0.64,,,,,,,31.0,1996,True,B1G
Alabama,SEC (West),11.0,10,3,,3.41,9.1,12.51,38.02,3.41,,,,,,,107.0,1996,True,SEC
Miami (FL),Big East,14.0,9,3,,4.73,6.47,11.2,42.72,7.72,,,,,,,19.0,1996,True,ACC
Virginia,ACC,,7,5,,2.85,8.19,11.03,40.4,5.19,,,,,,,24.0,1996,True,ACC
Texas,Big 12 (South),23.0,8,5,,8.92,1.73,10.65,48.3,9.19,,,,,,,48.0,1996,True,Big 12
LSU,SEC (West),12.0,10,2,,2.78,7.48,10.25,40.29,7.95,,,,,,,113.0,1996,True,SEC
Auburn,SEC (West),24.0,8,4,,7.73,1.93,9.66,45.87,12.85,,,,,,,109.0,1996,True,SEC
Texas Tech,Big 12 (South),,7,5,,2.2,7.3,9.5,39.37,4.91,,,,,,,49.0,1996,True,Big 12
Southern Miss,CUSA,,8,3,,4.75,4.48,9.23,39.15,11.75,,,,,,,60.0,1996,False,C-USA
Wisconsin,Big Ten,,8,5,,3.64,5.36,8.99,40.08,8.22,,,,,,,40.0,1996,True,B1G
West Virginia,Big East,,8,4,,-1.57,10.45,8.88,33.19,3.52,,,,,,,50.0,1996,True,Big 12
Northwestern,Big Ten,15.0,9,3,,7.78,0.97,8.75,40.72,12.25,,,,,,,35.0,1996,True,B1G
Michigan St.,Big Ten,,6,6,,7.18,1.48,8.66,45.7,13.81,,,,,,,32.0,1996,True,B1G
Army,Ind,25.0,10,2,,6.54,1.96,8.49,39.93,11.7,,,,,,,65.0,1996,False,IND (FBS)
USC,Pac-10,,6,6,,2.47,5.76,8.23,40.63,6.17,,,,,,,103.0,1996,True,Pac-12
East Carolina,Ind,,8,3,,5.19,2.98,8.17,39.46,10.88,,,,,,,4.0,1996,False,AAC
UCLA,Pac-10,,5,6,,7.07,-0.96,6.12,44.94,13.39,,,,,,,102.0,1996,True,Pac-12
Stanford,Pac-10,,7,5,,-3.77,9.82,6.05,31.63,3.71,,,,,,,101.0,1996,True,Pac-12
Wyoming,WAC (Pacific),22.0,10,2,,6.92,-1.0,5.92,43.19,15.48,,,,,,,94.0,1996,False,MWC
Texas A&M,Big 12 (South),,6,6,,0.61,5.04,5.65,40.02,8.84,,,,,,,119.0,1996,True,SEC
Air Force,WAC (Pacific),,6,5,,2.17,3.08,5.24,38.69,10.04,,,,,,,83.0,1996,False,MWC
South Carolina,SEC (East),,6,5,,2.05,3.09,5.14,36.57,9.42,,,,,,,117.0,1996,True,SEC
Georgia,SEC (East),,5,6,,1.72,3.11,4.83,36.03,10.35,,,,,,,111.0,1996,True,SEC
Arizona,Pac-10,,5,6,,2.32,2.48,4.8,39.59,10.95,,,,,,,95.0,1996,True,Pac-12
Oregon,Pac-10,,6,5,,9.96,-5.51,4.46,45.85,17.94,,,,,,,99.0,1996,True,Pac-12
Navy,Ind,,9,3,,7.52,-3.35,4.17,41.64,17.76,,,,,,,7.0,1996,False,AAC
Rice,WAC (Mountain),,7,4,,2.19,1.69,3.88,39.11,18.66,,,,,,,59.0,1996,False,C-USA
San Diego St.,WAC (Pacific),,8,3,,7.87,-4.1,3.76,42.86,18.77,,,,,,,90.0,1996,False,MWC
Houston,CUSA,,7,5,,8.76,-5.08,3.68,42.81,18.85,,,,,,,5.0,1996,False,AAC
Clemson,ACC,,7,5,,-2.3,5.21,2.9,31.96,9.84,,,,,,,14.0,1996,True,ACC
Colorado St.,WAC (Pacific),,7,5,,4.73,-1.86,2.87,38.93,17.56,,,,,,,85.0,1996,False,MWC
Georgia Tech,ACC,,5,6,,-2.35,4.13,1.78,31.85,10.9,,,,,,,17.0,1996,True,ACC
Nevada,Big West,,9,3,,4.16,-2.67,1.49,42.91,18.18,,,,,,,88.0,1996,False,MWC
Washington St.,Pac-10,,5,6,,3.96,-2.54,1.41,39.82,15.91,,,,,,,106.0,1996,True,Pac-12
California,Pac-10,,6,6,,7.99,-6.75,1.23,42.47,19.44,,,,,,,97.0,1996,True,Pac-12
Cincinnati,CUSA,,6,5,,-1.72,2.77,1.05,32.07,12.6,,,,,,,2.0,1996,False,AAC
Kansas,Big 12 (North),,4,7,,4.1,-3.24,0.87,41.01,18.64,,,,,,,43.0,1996,True,Big 12
Mississippi St.,SEC (West),,5,6,,-1.55,2.31,0.76,34.84,12.68,,,,,,,114.0,1996,True,SEC
Louisville,CUSA,,5,6,,-4.71,4.97,0.27,28.69,8.93,,,,,,,18.0,1996,True,ACC
Utah,WAC (Mountain),,8,4,,1.31,-1.14,0.17,34.76,17.36,,,,,,,104.0,1996,True,Pac-12
Minnesota,Big Ten,,4,7,,2.66,-2.7,-0.04,36.34,17.92,,,,,,,33.0,1996,True,B1G
Purdue,Big Ten,,3,8,,-1.26,1.17,-0.09,33.81,13.52,,,,,,,38.0,1996,True,B1G
Indiana,Big Ten,,3,8,,1.78,-2.28,-0.5,36.91,14.59,,,,,,,28.0,1996,True,B1G
Arkansas,SEC (West),,4,7,,-5.22,4.44,-0.78,28.77,10.86,,,,,,,108.0,1996,True,SEC
Missouri,Big 12 (North),,5,6,,5.1,-6.22,-1.12,40.2,21.2,,,,,,,115.0,1996,True,SEC
Boston College,Big East,,5,7,,2.18,-4.25,-2.07,34.07,19.86,,,,,,,13.0,1996,True,ACC
Baylor,Big 12 (South),,4,7,,-0.67,-1.43,-2.1,35.04,15.58,,,,,,,41.0,1996,True,Big 12
New Mexico,WAC (Mountain),,6,5,,2.71,-4.9,-2.19,35.84,19.25,,,,,,,89.0,1996,False,MWC
Tulane,CUSA,,2,9,,-2.58,0.2,-2.38,31.95,13.48,,,,,,,11.0,1996,False,AAC
SMU,WAC (Mountain),,5,6,,-3.66,1.19,-2.48,30.21,14.56,,,,,,,8.0,1996,False,AAC
Memphis,CUSA,,4,7,,-8.94,6.09,-2.85,24.68,7.36,,,,,,,6.0,1996,False,AAC
Ole Miss,SEC (West),,5,6,,-3.66,0.73,-2.93,30.34,15.63,,,,,,,116.0,1996,True,SEC
Miami (OH),MAC,,6,5,,-6.79,3.77,-3.03,29.98,11.8,,,,,,,78.0,1996,False,MAC
Kentucky,SEC (East),,4,7,,-6.02,2.71,-3.31,29.01,16.59,,,,,,,112.0,1996,True,SEC
Iowa St.,Big 12 (North),,2,9,,7.18,-10.54,-3.36,42.25,22.3,,,,,,,42.0,1996,True,Big 12
Ball St.,MAC,,8,4,,-5.54,2.13,-3.41,28.33,12.28,,,,,,,72.0,1996,False,MAC
Vanderbilt,SEC (East),,2,9,,-8.72,5.3,-3.42,25.96,8.5,,,,,,,120.0,1996,True,SEC
Oklahoma St.,Big 12 (South),,5,6,,-3.08,-0.41,-3.5,31.43,17.28,,,,,,,46.0,1996,True,Big 12
Maryland,ACC,,5,6,,-7.28,3.57,-3.71,28.37,13.3,,,,,,,30.0,1996,True,B1G
Pittsburgh,Big East,,4,7,,-3.51,-0.43,-3.94,30.83,25.76,,,,,,,22.0,1996,True,ACC
NC State,ACC,,3,8,,4.84,-9.09,-4.25,39.46,26.48,,,,,,,20.0,1996,True,ACC
Illinois,Big Ten,,2,9,,-3.13,-1.38,-4.52,32.77,20.33,,,,,,,27.0,1996,True,B1G
Utah St.,Big West,,6,5,,2.52,-7.44,-4.92,36.42,23.76,,,,,,,93.0,1996,False,MWC
Oklahoma,Big 12 (South),,3,8,,2.1,-7.19,-5.1,36.66,22.13,,,,,,,45.0,1996,True,Big 12
Louisiana,Ind,,5,6,,3.9,-9.24,-5.34,37.9,25.46,,,,,,,126.0,1996,False,Sun Belt
Ohio,MAC,,6,6,,-4.11,-1.99,-6.09,31.12,17.27,,,,,,,80.0,1996,False,MAC
Louisiana Tech,Ind,,6,5,,2.36,-8.6,-6.24,36.54,25.66,,,,,,,54.0,1996,False,C-USA
Fresno St.,WAC (Pacific),,4,7,,-4.85,-3.0,-7.85,28.64,21.35,,,,,,,86.0,1996,False,MWC
Tulsa,WAC (Mountain),,4,7,,-2.5,-5.41,-7.92,30.96,21.1,,,,,,,12.0,1996,False,AAC
Central Florida,Ind,,5,6,,-2.62,-5.34,-7.97,32.25,19.89,,,,,,,1.0,1996,False,AAC
Idaho,Big West,,6,5,,0.77,-8.86,-8.09,35.86,22.4,,,,,,,133.0,1996,False,Big Sky
UAB,Ind,,5,6,,-4.89,-5.3,-10.19,29.55,19.6,,,,,,,61.0,1996,False,C-USA
TCU,WAC (Mountain),,4,7,,-7.92,-2.4,-10.32,25.23,18.4,,,,,,,47.0,1996,True,Big 12
Rutgers,Big East,,2,9,,-9.48,-0.98,-10.47,24.28,22.03,,,,,,,39.0,1996,True,B1G
Wake Forest,ACC,,3,8,,-7.85,-2.87,-10.72,25.36,23.05,,,,,,,26.0,1996,True,ACC
Temple,Big East,,1,10,,-1.24,-9.63,-10.87,31.56,25.85,,,,,,,10.0,1996,False,AAC
Toledo,MAC,,7,4,,-7.94,-3.15,-11.08,24.21,20.85,,,,,,,81.0,1996,False,MAC
Central Michigan,MAC,,5,6,,2.79,-14.4,-11.61,35.85,30.66,,,,,,,75.0,1996,False,MAC
Oregon St.,Pac-10,,2,9,,-6.23,-5.81,-12.04,30.7,22.56,,,,,,,100.0,1996,True,Pac-12
Arkansas St.,Ind,,4,7,,-4.92,-7.5,-12.42,28.81,25.99,,,,,,,122.0,1996,False,Sun Belt
North Texas,Big West,,5,6,,-12.45,-0.22,-12.67,20.27,19.11,,,,,,,57.0,1996,False,C-USA
Duke,ACC,,0,11,,-6.08,-6.69,-12.77,28.2,22.45,,,,,,,15.0,1996,True,ACC
Bowling Green,MAC,,4,7,,-11.62,-1.68,-13.3,20.45,18.12,,,,,,,73.0,1996,False,MAC
UL Monroe,Ind,,5,6,,-7.36,-6.62,-13.98,24.5,25.17,,,,,,,130.0,1996,False,Sun Belt
Eastern Michigan,MAC,,3,8,,-10.25,-3.86,-14.11,23.64,20.72,,,,,,,76.0,1996,False,MAC
UNLV,WAC (Pacific),,1,11,,-0.95,-13.34,-14.29,31.94,34.65,,,,,,,92.0,1996,False,MWC
San Jose St.,WAC (Pacific),,3,9,,-6.57,-8.03,-14.59,26.2,27.42,,,,,,,91.0,1996,False,MWC
Akron,MAC,,4,7,,-12.62,-4.07,-16.69,18.96,21.68,,,,,,,71.0,1996,False,MAC
Hawaii,WAC (Pacific),,2,10,,-13.68,-3.09,-16.77,19.3,26.24,,,,,,,87.0,1996,False,MWC
UTEP,WAC (Mountain),,2,9,,-11.03,-6.68,-17.71,22.04,22.42,,,,,,,62.0,1996,False,C-USA
Western Michigan,MAC,,2,9,,-10.95,-8.09,-19.04,23.57,24.8,,,,,,,82.0,1996,False,MAC
Kent State,MAC,,2,9,,-4.41,-17.65,-22.06,27.96,42.01,,,,,,,77.0,1996,False,MAC
New Mexico State,Big West,,1,10,,-14.3,-7.95,-22.25,19.96,29.19,,,,,,,69.0,1996,False,IND (FBS)
Boise St.,Big West,,2,10,,-9.0,-13.78,-22.78,22.8,32.98,,,,,,,84.0,1996,False,MWC
Northern Illinois,Ind,,1,10,,-12.03,-13.56,-25.59,20.27,32.6,,,,,,,79.0,1996,False,MAC
Florida St.,ACC,3.0,11,1,,11.93,11.45,23.38,54.38,1.97,,,,,,,16.0,1997,True,ACC
Nebraska,Big 12 (North),2.0,13,0,,12.38,9.93,22.3,57.31,3.69,,,,,,,34.0,1997,True,B1G
Florida,SEC (East),4.0,10,2,,9.77,11.29,21.07,51.06,1.41,,,,,,,110.0,1997,True,SEC
Tennessee,SEC (East),7.0,11,2,,14.53,6.33,20.87,50.86,6.14,,,,,,,118.0,1997,True,SEC
Michigan,Big Ten,1.0,12,0,,3.71,16.42,20.14,40.86,-3.41,,,,,,,31.0,1997,True,B1G
UCLA,Pac-10,5.0,10,2,,11.25,7.87,19.12,52.98,4.5,,,,,,,102.0,1997,True,Pac-12
Washington,Pac-10,18.0,8,4,,11.72,6.93,18.65,50.73,4.76,,,,,,,105.0,1997,True,Pac-12
Georgia,SEC (East),10.0,10,2,,7.03,10.4,17.42,45.91,4.1,,,,,,,111.0,1997,True,SEC
Ohio St.,Big Ten,12.0,10,3,,5.99,11.43,17.41,44.57,1.28,,,,,,,36.0,1997,True,B1G
North Carolina,ACC,6.0,11,1,,3.85,12.61,16.46,40.66,1.35,,,,,,,21.0,1997,True,ACC
Auburn,SEC (West),11.0,10,3,,7.15,9.18,16.33,42.62,3.74,,,,,,,109.0,1997,True,SEC
Kansas St.,Big 12 (North),8.0,11,1,,6.48,8.95,15.43,45.35,4.73,,,,,,,44.0,1997,True,Big 12
Washington St.,Pac-10,9.0,10,2,,12.27,1.94,14.21,53.04,11.06,,,,,,,106.0,1997,True,Pac-12
LSU,SEC (West),13.0,9,3,,5.82,8.35,14.18,45.92,5.41,,,,,,,113.0,1997,True,SEC
Arizona St.,Pac-10,14.0,9,3,,3.12,9.31,12.43,39.97,3.09,,,,,,,96.0,1997,True,Pac-12
Ole Miss,SEC (West),22.0,8,4,,4.43,7.4,11.83,38.54,6.0,,,,,,,116.0,1997,True,SEC
Colorado St.,WAC (Pacific),17.0,11,2,,2.57,8.74,11.31,44.91,5.26,,,,,,,85.0,1997,False,MWC
Penn State,Big Ten,16.0,9,3,,5.14,5.17,10.31,42.88,9.75,,,,,,,37.0,1997,True,B1G
USC,Pac-10,,6,5,,0.58,9.64,10.22,36.65,2.93,,,,,,,103.0,1997,True,Pac-12
Michigan St.,Big Ten,,7,5,,5.09,4.39,9.47,42.71,8.88,,,,,,,32.0,1997,True,B1G
Oregon,Pac-10,,7,5,,11.91,-2.62,9.29,47.9,14.6,,,,,,,99.0,1997,True,Pac-12
Mississippi St.,SEC (West),,7,4,,-0.04,9.05,9.0,34.84,6.29,,,,,,,114.0,1997,True,SEC
Iowa,Big Ten,,7,5,,0.2,8.57,8.77,44.62,4.07,,,,,,,29.0,1997,True,B1G
Southern Miss,CUSA,19.0,9,3,,1.35,7.27,8.62,37.62,6.96,,,,,,,60.0,1997,False,C-USA
Purdue,Big Ten,15.0,9,3,,7.78,0.71,8.49,45.99,13.4,,,,,,,38.0,1997,True,B1G
Clemson,ACC,,7,5,,2.04,6.37,8.41,37.02,6.84,,,,,,,14.0,1997,True,ACC
Georgia Tech,ACC,25.0,7,5,,6.21,1.86,8.07,40.39,11.96,,,,,,,17.0,1997,True,ACC
Arizona,Pac-10,,7,5,,5.49,2.43,7.91,41.24,10.13,,,,,,,95.0,1997,True,Pac-12
Marshall,MAC (East),,10,3,,5.99,1.56,7.55,42.26,13.28,,,,,,,55.0,1997,False,C-USA
Miami (OH),MAC (East),,8,3,,7.89,-0.37,7.51,44.02,15.33,,,,,,,78.0,1997,False,MAC
Texas A&M,Big 12 (South),20.0,9,4,,0.45,6.76,7.22,41.96,7.15,,,,,,,119.0,1997,True,SEC
NC State,ACC,,6,5,,7.9,-0.86,7.03,42.49,13.55,,,,,,,20.0,1997,True,ACC
South Carolina,SEC (East),,5,6,,3.89,2.96,6.85,39.83,10.89,,,,,,,117.0,1997,True,SEC
Virginia,ACC,,7,4,,2.62,4.16,6.79,38.82,9.97,,,,,,,24.0,1997,True,ACC
Notre Dame,Ind,,7,6,,0.5,6.12,6.62,35.71,6.88,,,,,,,70.0,1997,True,IND (FBS)
Syracuse,Big East,21.0,9,4,,0.72,5.61,6.34,41.9,8.36,,,,,,,23.0,1997,True,ACC
Alabama,SEC (West),,4,7,,2.15,3.4,5.55,36.91,9.71,,,,,,,107.0,1997,True,SEC
Colorado,Big 12 (North),,5,6,,6.68,-1.34,5.34,41.67,12.6,,,,,,,98.0,1997,True,Pac-12
Missouri,Big 12 (North),23.0,7,5,,9.19,-4.22,4.97,43.04,17.53,,,,,,,115.0,1997,True,SEC
Oklahoma St.,Big 12 (South),24.0,8,4,,1.19,3.66,4.86,35.61,9.76,,,,,,,46.0,1997,True,Big 12
Stanford,Pac-10,,5,6,,5.32,-0.68,4.64,40.64,13.35,,,,,,,101.0,1997,True,Pac-12
Tulane,CUSA,,7,4,,2.2,1.51,3.7,41.08,13.29,,,,,,,11.0,1997,False,AAC
Kentucky,SEC (East),,5,6,,9.36,-5.78,3.58,46.56,20.78,,,,,,,112.0,1997,True,SEC
Central Florida,Ind,,5,6,,7.22,-4.06,3.16,44.35,16.72,,,,,,,1.0,1997,False,AAC
Texas Tech,Big 12 (South),,6,5,,-2.99,6.04,3.05,31.75,8.2,,,,,,,49.0,1997,True,Big 12
Air Force,WAC (Pacific),,10,3,,-4.61,7.46,2.85,29.54,5.41,,,,,,,83.0,1997,False,MWC
Arkansas,SEC (West),,4,7,,-2.04,4.64,2.6,32.57,11.73,,,,,,,108.0,1997,True,SEC
Northwestern,Big Ten,,5,7,,0.27,2.29,2.56,34.12,11.44,,,,,,,35.0,1997,True,B1G
Toledo,MAC (West),,9,3,,0.39,1.89,2.28,34.4,13.37,,,,,,,81.0,1997,False,MAC
Navy,Ind,,7,4,,2.48,-0.21,2.27,40.79,14.46,,,,,,,7.0,1997,False,AAC
Wyoming,WAC (Pacific),,7,6,,-2.92,4.97,2.06,33.69,7.82,,,,,,,94.0,1997,False,MWC
New Mexico,WAC (Mountain),,9,4,,1.73,0.19,1.92,38.51,13.85,,,,,,,89.0,1997,False,MWC
Wisconsin,Big Ten,,8,5,,0.38,1.28,1.66,34.61,12.62,,,,,,,40.0,1997,True,B1G
West Virginia,Big East,,7,5,,2.71,-1.09,1.62,38.11,15.57,,,,,,,50.0,1997,True,Big 12
Ohio,MAC (East),,8,3,,-4.32,5.82,1.5,31.6,8.76,,,,,,,80.0,1997,False,MAC
Cincinnati,CUSA,,8,4,,0.45,0.96,1.41,33.73,13.38,,,,,,,2.0,1997,False,AAC
Wake Forest,ACC,,5,6,,0.46,0.79,1.25,34.18,14.93,,,,,,,26.0,1997,True,ACC
California,Pac-10,,3,8,,4.6,-3.37,1.24,40.66,15.93,,,,,,,97.0,1997,True,Pac-12
Virginia Tech,Big East,,7,5,,-3.94,4.98,1.04,34.15,10.89,,,,,,,25.0,1997,True,ACC
Louisiana Tech,Ind,,9,2,,4.76,-4.18,0.59,37.61,20.55,,,,,,,54.0,1997,False,C-USA
SMU,WAC (Mountain),,6,5,,-0.67,0.35,-0.33,32.52,13.78,,,,,,,8.0,1997,False,AAC
Rice,WAC (Mountain),,7,4,,3.01,-4.03,-1.02,37.18,19.04,,,,,,,59.0,1997,False,C-USA
Vanderbilt,SEC (East),,3,8,,-9.6,8.53,-1.07,25.39,4.82,,,,,,,120.0,1997,True,SEC
Miami (FL),Big East,,5,6,,0.68,-1.9,-1.22,36.25,17.18,,,,,,,19.0,1997,True,ACC
Fresno St.,WAC (Pacific),,6,6,,0.08,-1.35,-1.27,36.68,15.89,,,,,,,86.0,1997,False,MWC
BYU,WAC (Mountain),,6,5,,-1.5,-0.45,-1.95,32.52,14.26,,,,,,,66.0,1997,False,IND (FBS)
Utah St.,Big West,,6,6,,2.81,-5.18,-2.37,40.54,17.62,,,,,,,93.0,1997,False,MWC
Utah,WAC (Mountain),,6,5,,-7.66,5.0,-2.66,29.31,9.06,,,,,,,104.0,1997,True,Pac-12
East Carolina,CUSA,,5,6,,-3.88,0.82,-3.07,29.66,16.36,,,,,,,4.0,1997,False,AAC
Nevada,Big West,,5,6,,2.76,-5.84,-3.07,40.7,19.15,,,,,,,88.0,1997,False,MWC
Western Michigan,MAC (West),,8,3,,-0.49,-2.95,-3.44,31.68,19.18,,,,,,,82.0,1997,False,MAC
Oregon St.,Pac-10,,3,8,,-5.86,2.28,-3.58,30.55,10.29,,,,,,,100.0,1997,True,Pac-12
