Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
NYG,17,1995,1995-09-10,1:00,12:00,@,KAN,12,2,2,Sun,L 17-20,OT,17,20,-3,37,10,14,71.4,136,1,0,4,15,125.9,34,102,3.0,0,29,47,61.7,178,1,1,1,5,67.5,35,155,4.43,1
NYJ,18,1995,1995-09-10,4:00,4:00,,IND,6,2,2,Sun,L 24-27,OT,24,27,-3,51,19,30,63.3,198,2,0,0,0,104.6,32,146,4.56,0,23,34,67.6,239,2,1,4,25,95.1,31,122,3.94,0
HOU,19,1995,1995-09-10,1:00,12:00,,PIT,21,2,2,Sun,L 17-34,,17,34,-17,51,19,35,54.3,178,0,2,4,38,44.7,24,38,1.58,2,13,22,59.1,123,1,0,0,0,89.8,36,127,3.53,1
PHI,20,1995,1995-09-10,8:00,6:00,@,ARI,7,2,2,Sun,W 31-19,,31,19,12,50,11,21,52.4,170,1,1,1,4,75.5,34,168,4.94,2,19,30,63.3,244,1,2,1,8,72.1,23,30,1.3,1
PIT,21,1995,1995-09-10,1:00,12:00,@,HOU,19,2,2,Sun,W 34-17,,34,17,17,51,13,22,59.1,123,1,0,0,0,89.8,36,127,3.53,1,19,35,54.3,178,0,2,4,38,44.7,24,38,1.58,2
OAK,27,1995,1995-09-10,1:00,1:00,@,WAS,26,2,2,Sun,W 20-8,,20,8,12,28,22,29,75.9,205,2,0,0,0,117.7,36,153,4.25,0,20,34,58.8,260,0,1,2,12,70.7,24,98,4.08,0
LAR,22,1995,1995-09-10,1:00,12:00,,NOR,15,2,2,Sun,W 17-13,,17,13,4,30,12,32,37.5,171,1,0,3,17,66.0,32,151,4.72,0,24,40,60.0,211,1,1,5,36,72.0,15,97,6.47,0
LAC,23,1995,1995-09-10,4:00,1:00,,SEA,24,2,2,Sun,W 14-10,,14,10,4,24,23,35,65.7,251,2,1,1,9,93.9,36,146,4.06,0,13,29,44.8,127,1,2,1,0,40.4,22,82,3.73,0
SEA,24,1995,1995-09-10,4:00,1:00,@,LAC,23,2,2,Sun,L 10-14,,10,14,-4,24,13,29,44.8,127,1,2,1,0,40.4,22,82,3.73,0,23,35,65.7,251,2,1,1,9,93.9,36,146,4.06,0
SFO,28,1995,1995-09-10,4:00,1:00,,ATL,1,2,2,Sun,W 41-10,,41,10,31,51,27,40,67.5,331,3,1,0,0,107.4,31,158,5.1,1,27,48,56.3,242,1,3,2,14,50.9,11,25,2.27,0
TAM,25,1995,1995-09-10,1:00,1:00,@,CLE,31,2,2,Sun,L 6-22,,6,22,-16,28,20,36,55.6,210,0,2,7,45,49.5,26,101,3.88,1,17,27,63.0,253,2,0,1,3,118.3,31,70,2.26,0
WAS,26,1995,1995-09-10,1:00,1:00,,OAK,27,2,2,Sun,L 8-20,,8,20,-12,28,20,34,58.8,260,0,1,2,12,70.7,24,98,4.08,0,22,29,75.9,205,2,0,0,0,117.7,36,153,4.25,0
CHI,3,1995,1995-09-11,9:00,8:00,,GNB,11,2,2,Mon,L 24-27,,24,27,-3,51,15,25,60.0,151,1,1,2,11,73.9,24,92,3.83,2,21,38,55.3,306,3,1,2,6,97.0,36,125,3.47,0
GNB,11,1995,1995-09-11,9:00,8:00,@,CHI,3,2,2,Mon,W 27-24,,27,24,3,51,21,38,55.3,306,3,1,2,6,97.0,36,125,3.47,0,15,25,60.0,151,1,1,2,11,73.9,24,92,3.83,2
ATL,1,1995,1995-09-17,1:00,12:00,@,NOR,15,3,3,Sun,W 27-24,OT,27,24,3,51,27,39,69.2,337,1,1,7,49,93.6,31,124,4.0,1,30,44,68.2,360,3,0,3,19,115.7,22,50,2.27,0
BUF,2,1995,1995-09-17,1:00,1:00,,IND,6,3,3,Sun,W 20-14,,20,14,6,34,19,35,54.3,201,0,0,1,0,71.2,29,60,2.07,1,19,33,57.6,205,1,0,5,36,86.0,28,91,3.25,1
CAR,29,1995,1995-09-17,1:00,1:00,,LAR,22,3,3,Sun,L 10-31,,10,31,-21,41,26,47,55.3,205,0,5,2,8,26.8,20,89,4.45,1,16,27,59.3,202,1,0,2,20,95.0,29,116,4.0,1
CHI,3,1995,1995-09-17,4:00,4:00,@,TAM,25,3,3,Sun,W 25-6,,25,6,19,31,18,38,47.4,207,0,0,0,0,64.3,35,128,3.66,1,15,34,44.1,165,0,4,4,23,19.5,22,74,3.36,0
CIN,4,1995,1995-09-17,4:00,1:00,@,SEA,24,3,3,Sun,L 21-24,,21,24,-3,45,23,43,53.5,291,2,1,1,0,80.7,23,110,4.78,0,21,30,70.0,263,2,1,2,16,105.3,36,143,3.97,1
CLE,31,1995,1995-09-17,1:00,12:00,@,HOU,19,3,3,Sun,W 14-7,,14,7,7,21,10,23,43.5,138,2,0,1,9,92.3,30,132,4.4,0,22,41,53.7,256,1,4,1,12,41.4,29,71,2.45,0
IND,6,1995,1995-09-17,1:00,1:00,@,BUF,2,3,3,Sun,L 14-20,,14,20,-6,34,19,33,57.6,205,1,0,5,36,86.0,28,91,3.25,1,19,35,54.3,201,0,0,1,0,71.2,29,60,2.07,1
ARI,7,1995,1995-09-17,1:00,1:00,@,DET,10,3,3,Sun,W 20-17,,20,17,3,37,15,25,60.0,109,1,0,7,49,83.6,27,121,4.48,0,17,26,65.4,198,1,0,2,19,101.1,29,160,5.52,1
DAL,8,1995,1995-09-17,8:00,7:00,@,MIN,14,3,3,Sun,W 23-17,OT,23,17,6,40,24,38,63.2,233,1,0,2,13,89.0,23,154,6.7,2,22,38,57.9,160,2,0,3,25,85.4,27,92,3.41,0
DEN,9,1995,1995-09-17,4:00,2:00,,WAS,26,3,3,Sun,W 38-31,,38,31,7,69,30,47,63.8,318,2,0,1,9,97.7,33,158,4.79,3,16,26,61.5,225,3,1,1,8,111.9,20,129,6.45,1
DET,10,1995,1995-09-17,1:00,1:00,,ARI,7,3,3,Sun,L 17-20,,17,20,-3,37,17,26,65.4,198,1,0,2,19,101.1,29,160,5.52,1,15,25,60.0,109,1,0,7,49,83.6,27,121,4.48,0
GNB,11,1995,1995-09-17,1:00,12:00,,NYG,17,3,3,Sun,W 14-6,,14,6,8,20,14,25,56.0,113,2,0,4,28,94.2,25,85,3.4,0,23,50,46.0,187,0,1,2,12,47.7,24,116,4.83,0
JAX,30,1995,1995-09-17,4:00,4:00,@,NYJ,18,3,3,Sun,L 10-27,,10,27,-17,37,15,33,45.5,105,1,1,6,33,50.7,35,146,4.17,0,27,43,62.8,296,3,1,0,0,96.7,26,79,3.04,0
KAN,12,1995,1995-09-17,1:00,12:00,,OAK,27,3,3,Sun,W 23-17,OT,23,17,6,40,19,28,67.9,141,2,0,3,23,103.4,29,121,4.17,0,19,30,63.3,193,0,2,2,10,53.9,36,151,4.19,2
MIN,14,1995,1995-09-17,8:00,7:00,,DAL,8,3,3,Sun,L 17-23,OT,17,23,-6,40,22,38,57.9,160,2,0,3,25,85.4,27,92,3.41,0,24,38,63.2,233,1,0,2,13,89.0,23,154,6.7,2
NOR,15,1995,1995-09-17,1:00,12:00,,ATL,1,3,3,Sun,L 24-27,OT,24,27,-3,51,30,44,68.2,360,3,0,3,19,115.7,22,50,2.27,0,27,39,69.2,337,1,1,7,49,93.6,31,124,4.0,1
NEW,16,1995,1995-09-17,4:00,1:00,@,SFO,28,3,3,Sun,L 3-28,,3,28,-25,31,22,52,42.3,226,0,3,4,22,31.4,28,76,2.71,0,29,42,69.0,273,3,1,3,11,100.6,23,90,3.91,1
NYG,17,1995,1995-09-17,1:00,12:00,@,GNB,11,3,3,Sun,L 6-14,,6,14,-8,20,23,50,46.0,187,0,1,2,12,47.7,24,116,4.83,0,14,25,56.0,113,2,0,4,28,94.2,25,85,3.4,0
NYJ,18,1995,1995-09-17,4:00,4:00,,JAX,30,3,3,Sun,W 27-10,,27,10,17,37,27,43,62.8,296,3,1,0,0,96.7,26,79,3.04,0,15,33,45.5,105,1,1,6,33,50.7,35,146,4.17,0
HOU,19,1995,1995-09-17,1:00,12:00,,CLE,31,3,3,Sun,L 7-14,,7,14,-7,21,22,41,53.7,256,1,4,1,12,41.4,29,71,2.45,0,10,23,43.5,138,2,0,1,9,92.3,30,132,4.4,0
PHI,20,1995,1995-09-17,1:00,1:00,,LAC,23,3,3,Sun,L 21-27,,21,27,-6,48,23,39,59.0,181,3,1,2,15,85.5,33,138,4.18,0,10,23,43.5,139,1,0,1,4,78.0,30,131,4.37,0
OAK,27,1995,1995-09-17,1:00,12:00,@,KAN,12,3,3,Sun,L 17-23,OT,17,23,-6,40,19,30,63.3,193,0,2,2,10,53.9,36,151,4.19,2,19,28,67.9,141,2,0,3,23,103.4,29,121,4.17,0
LAR,22,1995,1995-09-17,1:00,1:00,@,CAR,29,3,3,Sun,W 31-10,,31,10,21,41,16,27,59.3,202,1,0,2,20,95.0,29,116,4.0,1,26,47,55.3,205,0,5,2,8,26.8,20,89,4.45,1
LAC,23,1995,1995-09-17,1:00,1:00,@,PHI,20,3,3,Sun,W 27-21,,27,21,6,48,10,23,43.5,139,1,0,1,4,78.0,30,131,4.37,0,23,39,59.0,181,3,1,2,15,85.5,33,138,4.18,0
SEA,24,1995,1995-09-17,4:00,1:00,,CIN,4,3,3,Sun,W 24-21,,24,21,3,45,21,30,70.0,263,2,1,2,16,105.3,36,143,3.97,1,23,43,53.5,291,2,1,1,0,80.7,23,110,4.78,0
SFO,28,1995,1995-09-17,4:00,1:00,,NEW,16,3,3,Sun,W 28-3,,28,3,25,31,29,42,69.0,273,3,1,3,11,100.6,23,90,3.91,1,22,52,42.3,226,0,3,4,22,31.4,28,76,2.71,0
TAM,25,1995,1995-09-17,4:00,4:00,,CHI,3,3,3,Sun,L 6-25,,6,25,-19,31,15,34,44.1,165,0,4,4,23,19.5,22,74,3.36,0,18,38,47.4,207,0,0,0,0,64.3,35,128,3.66,1
WAS,26,1995,1995-09-17,4:00,2:00,@,DEN,9,3,3,Sun,L 31-38,,31,38,-7,69,16,26,61.5,225,3,1,1,8,111.9,20,129,6.45,1,30,47,63.8,318,2,0,1,9,97.7,33,158,4.79,3
MIA,13,1995,1995-09-18,9:00,9:00,,PIT,21,3,3,Mon,W 23-10,,23,10,13,33,21,33,63.6,210,1,0,3,15,91.7,20,46,2.3,1,28,52,53.8,273,1,3,4,33,51.2,23,93,4.04,0
PIT,21,1995,1995-09-18,9:00,9:00,@,MIA,13,3,3,Mon,L 10-23,,10,23,-13,33,28,52,53.8,273,1,3,4,33,51.2,23,93,4.04,0,21,33,63.6,210,1,0,3,15,91.7,20,46,2.3,1
ATL,1,1995,1995-09-24,4:00,4:00,,NYJ,18,4,4,Sun,W 13-3,,13,3,10,16,22,35,62.9,200,1,1,3,24,75.9,28,148,5.29,0,20,37,54.1,176,0,3,2,14,33.2,21,94,4.48,0
CHI,3,1995,1995-09-24,1:00,12:00,@,LAR,22,4,4,Sun,L 28-34,,28,34,-6,62,27,38,71.1,317,4,0,0,0,131.1,20,47,2.35,0,23,33,69.7,233,3,0,2,16,119.9,33,106,3.21,0
CIN,4,1995,1995-09-24,4:00,4:00,,HOU,19,4,4,Sun,L 28-38,,28,38,-10,66,24,46,52.2,347,3,0,1,9,98.7,15,60,4.0,1,23,26,88.5,350,4,0,1,2,158.3,36,137,3.81,1
