School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Auburn,2006-09-02,1,,Washington State,W,2,14
Bowling Green State,2006-09-02,1,,Wisconsin,L,5,35
Brigham Young,2006-09-02,1,@,Arizona,L,1,16
California,2006-09-02,1,@,Tennessee,L,5,35
Cincinnati,2006-09-02,1,,Eastern Kentucky,W,0,0
Clemson,2006-09-02,1,,Florida Atlantic,W,0,6
Colorado,2006-09-02,1,,Montana State,L,1,19
Colorado State,2006-09-02,1,,Weber State,W,0,6
Duke,2006-09-02,1,,Richmond,L,1,13
East Carolina,2006-09-02,1,@,Navy,L,4,28
Florida,2006-09-02,1,,Southern Mississippi,W,1,7
Florida Atlantic,2006-09-02,1,@,Clemson,L,7,54
Georgia,2006-09-02,1,,Western Kentucky,W,1,12
Georgia Tech,2006-09-02,1,,Notre Dame,L,2,14
Hawaii,2006-09-02,1,@,Alabama,L,2,25
Houston,2006-09-02,1,@,Rice,W,4,30
Idaho,2006-09-02,1,@,Michigan State,L,3,27
Illinois,2006-09-02,1,,Eastern Illinois,W,2,17
Indiana,2006-09-02,1,,Western Michigan,W,2,20
Iowa,2006-09-02,1,,Montana,W,1,7
Kansas,2006-09-02,1,,Northwestern State,W,1,18
Kansas State,2006-09-02,1,,Illinois State,W,3,23
Louisiana,2006-09-02,1,@,Louisiana State,L,6,45
Louisiana Tech,2006-09-02,1,@,Nebraska,L,7,49
LSU,2006-09-02,1,,Louisiana,W,0,3
Marshall,2006-09-02,1,@,West Virginia,L,6,42
Maryland,2006-09-02,1,,William & Mary,W,2,14
Michigan,2006-09-02,1,,Vanderbilt,W,1,7
Michigan State,2006-09-02,1,,Idaho,W,2,17
Missouri,2006-09-02,1,,Murray State,W,1,7
Navy,2006-09-02,1,,East Carolina,W,3,23
Nebraska,2006-09-02,1,,Louisiana Tech,W,1,10
New Mexico,2006-09-02,1,,Portland State,L,2,17
North Carolina,2006-09-02,1,,Rutgers,L,3,21
North Carolina State,2006-09-02,1,,Appalachian State,W,1,10
North Texas,2006-09-02,1,@,Texas,L,8,56
Northern Illinois,2006-09-02,1,@,Ohio State,L,5,35
Notre Dame,2006-09-02,1,@,Georgia Tech,W,1,10
Ohio,2006-09-02,1,,Tennessee-Martin,W,0,3
Ohio State,2006-09-02,1,,Northern Illinois,W,1,12
Oklahoma,2006-09-02,1,,Alabama-Birmingham,W,2,17
Oklahoma State,2006-09-02,1,,Missouri State,W,1,10
Oregon,2006-09-02,1,,Stanford,W,1,10
Penn State,2006-09-02,1,,Akron,W,2,16
Pitt,2006-09-02,1,,Virginia,W,1,13
Purdue,2006-09-02,1,,Indiana State,W,5,35
Rice,2006-09-02,1,,Houston,L,4,31
Rutgers,2006-09-02,1,@,North Carolina,W,2,16
San Jose State,2006-09-02,1,@,Washington,L,5,35
SMU,2006-09-02,1,@,Texas Tech,L,5,35
South Florida,2006-09-02,1,,McNeese State,W,1,10
Southern Mississippi,2006-09-02,1,@,Florida,L,5,34
Stanford,2006-09-02,1,@,Oregon,L,6,48
Syracuse,2006-09-02,1,@,Wake Forest,L,2,20
Tennessee,2006-09-02,1,,California,W,2,18
Texas,2006-09-02,1,,North Texas,W,1,7
Texas A&M,2006-09-02,1,,Citadel,W,0,3
Texas Tech,2006-09-02,1,,Southern Methodist,W,0,3
Troy,2006-09-02,1,,Alabama State,W,0,0
UAB,2006-09-02,1,@,Oklahoma,L,3,24
UCF,2006-09-02,1,,Villanova,W,2,16
UCLA,2006-09-02,1,,Utah,W,1,10
UNLV,2006-09-02,1,,Idaho State,W,1,10
USC,2006-09-02,1,@,Arkansas,W,2,14
Utah,2006-09-02,1,@,UCLA,L,4,31
Utah State,2006-09-02,1,@,Wyoming,L,5,38
Vanderbilt,2006-09-02,1,@,Michigan,L,3,27
Virginia,2006-09-02,1,@,Pittsburgh,L,5,38
Virginia Tech,2006-09-02,1,,Northeastern,W,0,0
Wake Forest,2006-09-02,1,,Syracuse,W,1,10
Washington,2006-09-02,1,,San Jose State,W,3,29
Washington State,2006-09-02,1,@,Auburn,L,4,40
West Virginia,2006-09-02,1,,Marshall,W,1,10
Western Michigan,2006-09-02,1,@,Indiana,L,5,39
Wisconsin,2006-09-02,1,@,Bowling Green State,W,2,14
Wyoming,2006-09-02,1,,Utah State,W,1,7
Baylor,2006-09-03,1,,Texas Christian,L,2,17
Kentucky,2006-09-03,1,@,Louisville,L,8,59
Louisville,2006-09-03,1,,Kentucky,W,4,28
Memphis,2006-09-03,1,@,Mississippi,L,4,28
Ole Miss,2006-09-03,1,,Memphis,W,3,25
Texas Christian,2006-09-03,1,@,Baylor,W,1,7
Florida State,2006-09-04,1,@,Miami (FL),W,1,10
Miami (FL),2006-09-04,1,,Florida State,L,1,13
Boise State,2006-09-07,2,,Oregon State,W,2,14
Oregon State,2006-09-07,2,@,Boise State,L,6,42
Cincinnati,2006-09-08,2,,Pittsburgh,L,4,33
Pitt,2006-09-08,2,@,Cincinnati,W,2,15
Air Force,2006-09-09,1,@,Tennessee,L,4,31
Akron,2006-09-09,2,@,North Carolina State,W,2,17
Alabama,2006-09-09,2,,Vanderbilt,W,1,10
Arizona,2006-09-09,2,@,Louisiana State,L,6,45
Arizona State,2006-09-09,2,,Nevada,W,3,21
Arkansas,2006-09-09,2,,Utah State,W,0,0
Arkansas State,2006-09-09,2,,Oklahoma State,L,5,35
Army,2006-09-09,2,,Kent State,W,2,14
Auburn,2006-09-09,2,@,Mississippi State,W,0,0
Ball State,2006-09-09,2,,Indiana,L,3,24
Baylor,2006-09-09,2,,Northwestern State,W,1,10
Boston College,2006-09-09,2,,Clemson,W,4,33
Bowling Green State,2006-09-09,2,,Buffalo,W,5,40
Brigham Young,2006-09-09,2,,Tulsa,W,3,24
Buffalo,2006-09-09,2,@,Bowling Green State,L,7,48
California,2006-09-09,2,,Minnesota,W,2,17
Central Michigan,2006-09-09,2,@,Michigan,L,5,41
Clemson,2006-09-09,2,@,Boston College,L,4,34
Colorado,2006-09-09,2,N,Colorado State,L,2,14
Colorado State,2006-09-09,2,N,Colorado,W,1,10
Duke,2006-09-09,2,@,Wake Forest,L,2,14
East Carolina,2006-09-09,2,@,Alabama-Birmingham,L,2,17
Eastern Michigan,2006-09-09,2,@,Michigan State,L,7,52
Florida,2006-09-09,2,,Central Florida,W,0,0
Florida Atlantic,2006-09-09,2,@,Kansas State,L,6,45
Florida International,2006-09-09,2,@,South Florida,L,3,21
Florida State,2006-09-09,2,,Troy,W,2,17
Fresno State,2006-09-09,2,,Oregon,L,4,31
Georgia,2006-09-09,2,@,South Carolina,W,0,0
Georgia Tech,2006-09-09,2,,Samford,W,0,6
Houston,2006-09-09,2,,Tulane,W,1,7
Idaho,2006-09-09,2,@,Washington State,L,8,56
Illinois,2006-09-09,2,@,Rutgers,L,4,33
Indiana,2006-09-09,2,@,Ball State,W,3,23
Iowa,2006-09-09,2,@,Syracuse,W,1,13
Iowa State,2006-09-09,2,,Nevada-Las Vegas,W,1,10
Kansas,2006-09-09,2,,Louisiana-Monroe,W,3,19
Kansas State,2006-09-09,2,,Florida Atlantic,W,0,0
Kent State,2006-09-09,2,@,Army,L,2,17
Kentucky,2006-09-09,2,,Texas State,W,1,7
Louisiana,2006-09-09,2,@,Texas A&M,L,7,51
Louisiana-Monroe,2006-09-09,2,@,Kansas,L,3,21
Louisville,2006-09-09,2,@,Temple,W,0,0
LSU,2006-09-09,2,,Arizona,W,0,3
Marshall,2006-09-09,2,,Hofstra,W,4,31
Maryland,2006-09-09,2,,Middle Tennessee State,W,1,10
Memphis,2006-09-09,2,,Chattanooga,W,2,14
Miami (FL),2006-09-09,2,,Florida A&M,W,1,10
Miami (OH),2006-09-09,2,@,Purdue,L,5,38
Michigan,2006-09-09,2,,Central Michigan,W,2,17
Michigan State,2006-09-09,2,,Eastern Michigan,W,2,20
Middle Tennessee State,2006-09-09,2,@,Maryland,L,3,24
Minnesota,2006-09-09,2,@,California,L,6,42
Mississippi State,2006-09-09,2,,Auburn,L,4,34
Missouri,2006-09-09,2,,Mississippi,W,1,7
Navy,2006-09-09,2,,Massachusetts,W,2,20
Nebraska,2006-09-09,2,,Nicholls State,W,1,7
Nevada,2006-09-09,2,@,Arizona State,L,7,52
New Mexico,2006-09-09,2,@,New Mexico State,W,4,28
New Mexico State,2006-09-09,2,,New Mexico,L,4,34
North Carolina,2006-09-09,2,,Virginia Tech,L,5,35
North Carolina State,2006-09-09,2,,Akron,L,3,20
North Texas,2006-09-09,2,,Southern Methodist,W,1,6
Northern Illinois,2006-09-09,2,,Ohio,L,5,35
Northwestern,2006-09-09,2,,New Hampshire,L,5,34
Notre Dame,2006-09-09,2,,Penn State,W,2,17
Ohio,2006-09-09,2,@,Northern Illinois,W,3,23
Ohio State,2006-09-09,2,@,Texas,W,1,7
Oklahoma,2006-09-09,2,,Washington,W,2,20
Oklahoma State,2006-09-09,2,@,Arkansas State,W,1,7
Ole Miss,2006-09-09,2,@,Missouri,L,4,34
Oregon,2006-09-09,2,@,Fresno State,W,3,24
Penn State,2006-09-09,2,@,Notre Dame,L,5,41
Purdue,2006-09-09,2,,Miami (OH),W,4,31
Rice,2006-09-09,2,@,UCLA,L,2,26
Rutgers,2006-09-09,2,,Illinois,W,0,0
San Jose State,2006-09-09,2,,Stanford,W,5,34
SMU,2006-09-09,2,@,North Texas,L,3,24
South Carolina,2006-09-09,2,,Georgia,L,1,18
South Florida,2006-09-09,2,,Florida International,W,3,20
Southern Mississippi,2006-09-09,2,,Southeastern Louisiana,W,0,0
Stanford,2006-09-09,2,@,San Jose State,L,5,35
Syracuse,2006-09-09,2,,Iowa,L,2,20
Temple,2006-09-09,2,,Louisville,L,8,62
Tennessee,2006-09-09,2,,Air Force,W,4,30
Texas,2006-09-09,2,,Ohio State,L,3,24
Texas A&M,2006-09-09,2,,Louisiana,W,1,7
Texas Christian,2006-09-09,2,,California-Davis,W,1,13
Texas Tech,2006-09-09,2,@,Texas-El Paso,W,5,35
Toledo,2006-09-09,2,@,Western Michigan,L,4,31
Troy,2006-09-09,2,@,Florida State,L,3,24
Tulane,2006-09-09,1,@,Houston,L,6,45
Tulsa,2006-09-09,2,@,Brigham Young,L,7,49
UAB,2006-09-09,2,,East Carolina,W,1,12
UCF,2006-09-09,2,@,Florida,L,6,42
UCLA,2006-09-09,2,,Rice,W,2,16
UNLV,2006-09-09,2,@,Iowa State,L,2,16
Utah,2006-09-09,2,,Northern Arizona,W,1,7
Utah State,2006-09-09,2,@,Arkansas,L,3,20
UTEP,2006-09-09,2,,Texas Tech,L,4,38
Vanderbilt,2006-09-09,2,@,Alabama,L,1,13
Virginia,2006-09-09,2,,Wyoming,W,1,12
Virginia Tech,2006-09-09,2,@,North Carolina,W,1,10
Wake Forest,2006-09-09,2,,Duke,W,1,13
Washington,2006-09-09,2,@,Oklahoma,L,4,37
Washington State,2006-09-09,2,,Idaho,W,1,10
West Virginia,2006-09-09,2,,Eastern Washington,W,0,3
Western Michigan,2006-09-09,2,,Toledo,W,1,10
Wisconsin,2006-09-09,2,,Western Illinois,W,1,10
Wyoming,2006-09-09,2,@,Virginia,L,1,13
Maryland,2006-09-14,3,@,West Virginia,L,6,45
Middle Tennessee State,2006-09-14,3,,Tennessee Tech,W,0,0
West Virginia,2006-09-14,3,,Maryland,W,3,24
Kansas,2006-09-15,3,@,Toledo,L,5,37
Toledo,2006-09-15,3,,Kansas,W,4,31
Akron,2006-09-16,3,@,Central Michigan,L,3,24
Alabama,2006-09-16,3,,Louisiana-Monroe,W,1,7
Arizona,2006-09-16,3,,Stephen F. Austin,W,1,10
Arizona State,2006-09-16,3,@,Colorado,W,0,3
Arkansas,2006-09-16,3,@,Vanderbilt,W,3,19
Army,2006-09-16,3,@,Texas A&M,L,4,28
Auburn,2006-09-16,3,,Louisiana State,W,0,3
Ball State,2006-09-16,3,@,Purdue,L,5,38
Baylor,2006-09-16,3,@,Washington State,L,2,17
Boise State,2006-09-16,3,@,Wyoming,W,1,10
Boston College,2006-09-16,3,,Brigham Young,W,2,23
Bowling Green State,2006-09-16,3,@,Florida International,W,4,28
Brigham Young,2006-09-16,3,@,Boston College,L,4,30
Buffalo,2006-09-16,3,@,Northern Illinois,L,4,31
California,2006-09-16,3,,Portland State,W,2,16
Central Michigan,2006-09-16,3,,Akron,W,3,21
Cincinnati,2006-09-16,3,@,Ohio State,L,4,37
Clemson,2006-09-16,3,@,Florida State,W,2,20
Colorado,2006-09-16,3,,Arizona State,L,3,21
Colorado State,2006-09-16,3,@,Nevada,L,4,28
Connecticut,2006-09-16,2,,Wake Forest,L,3,24
Duke,2006-09-16,3,@,Virginia Tech,L,5,36
East Carolina,2006-09-16,3,,Memphis,W,3,20
Eastern Michigan,2006-09-16,3,@,Northwestern,L,2,14
Florida,2006-09-16,3,@,Tennessee,W,2,20
Florida Atlantic,2006-09-16,3,@,Oklahoma State,L,6,48
Florida International,2006-09-16,3,,Bowling Green State,L,4,33
Florida State,2006-09-16,3,,Clemson,L,4,27
Fresno State,2006-09-16,3,@,Washington,L,3,21
Georgia,2006-09-16,3,,Alabama-Birmingham,W,0,0
Georgia Tech,2006-09-16,3,,Troy,W,3,20
Hawaii,2006-09-16,2,,Nevada-Las Vegas,W,2,13
Houston,2006-09-16,3,,Grambling State,W,3,22
Idaho,2006-09-16,3,,Idaho State,W,3,24
Illinois,2006-09-16,3,,Syracuse,L,4,31
Indiana,2006-09-16,3,,Southern Illinois,L,5,35
Iowa,2006-09-16,3,,Iowa State,W,2,17
Iowa State,2006-09-16,3,@,Iowa,L,3,27
Kansas State,2006-09-16,3,,Marshall,W,1,7
Kent State,2006-09-16,3,@,Miami (OH),W,2,14
Kentucky,2006-09-16,3,,Mississippi,W,2,14
Louisiana Tech,2006-09-16,2,,Nicholls State,W,3,21
Louisiana-Monroe,2006-09-16,3,@,Alabama,L,5,41
Louisville,2006-09-16,3,,Miami (FL),W,1,7
LSU,2006-09-16,3,@,Auburn,L,1,7
Marshall,2006-09-16,3,@,Kansas State,L,2,23
Memphis,2006-09-16,3,@,East Carolina,L,5,35
Miami (FL),2006-09-16,3,@,Louisville,L,4,31
Miami (OH),2006-09-16,3,,Kent State,L,2,16
Michigan,2006-09-16,3,@,Notre Dame,W,3,21
Michigan State,2006-09-16,3,@,Pittsburgh,W,3,23
Minnesota,2006-09-16,3,,Temple,W,0,0
Mississippi State,2006-09-16,3,,Tulane,L,5,32
Missouri,2006-09-16,3,@,New Mexico,W,2,17
Navy,2006-09-16,3,@,Stanford,W,1,9
Nebraska,2006-09-16,3,@,Southern California,L,4,28
Nevada,2006-09-16,3,,Colorado State,W,1,10
New Mexico,2006-09-16,3,,Missouri,L,3,27
New Mexico State,2006-09-16,3,,Texas Southern,W,2,14
North Carolina,2006-09-16,3,,Furman,W,6,42
North Carolina State,2006-09-16,3,@,Southern Mississippi,L,4,37
North Texas,2006-09-16,3,@,Tulsa,L,4,28
Northern Illinois,2006-09-16,3,,Buffalo,W,2,13
Northwestern,2006-09-16,3,,Eastern Michigan,W,0,6
Notre Dame,2006-09-16,3,,Michigan,L,6,47
Ohio,2006-09-16,3,@,Rutgers,L,3,24
Ohio State,2006-09-16,3,,Cincinnati,W,1,7
Oklahoma,2006-09-16,3,@,Oregon,L,4,34
Oklahoma State,2006-09-16,3,,Florida Atlantic,W,1,8
Ole Miss,2006-09-16,3,@,Kentucky,L,4,31
Oregon,2006-09-16,3,,Oklahoma,W,3,33
Penn State,2006-09-16,3,,Youngstown State,W,0,3
Pitt,2006-09-16,3,,Michigan State,L,5,38
Purdue,2006-09-16,3,,Ball State,W,3,28
Rice,2006-09-16,3,,Texas,L,7,52
Rutgers,2006-09-16,3,,Ohio,W,1,7
San Diego State,2006-09-16,2,@,Wisconsin,L,2,14
SMU,2006-09-16,3,,Sam Houston State,W,2,14
South Carolina,2006-09-16,3,,Wofford,W,2,20
South Florida,2006-09-16,3,@,Central Florida,W,2,17
Southern Mississippi,2006-09-16,3,,North Carolina State,W,2,17
Stanford,2006-09-16,3,,Navy,L,4,37
Syracuse,2006-09-16,3,@,Illinois,W,3,21
Temple,2006-09-16,3,@,Minnesota,L,8,62
Tennessee,2006-09-16,3,,Florida,L,3,21
Texas,2006-09-16,3,@,Rice,W,1,7
Texas A&M,2006-09-16,3,,Army,W,3,24
Texas Christian,2006-09-16,3,,Texas Tech,W,0,3
Texas Tech,2006-09-16,3,@,Texas Christian,L,0,12
Troy,2006-09-16,3,@,Georgia Tech,L,5,35
Tulane,2006-09-16,2,@,Mississippi State,W,4,29
Tulsa,2006-09-16,3,,North Texas,W,0,3
UAB,2006-09-16,3,@,Georgia,L,4,34
UCF,2006-09-16,3,,South Florida,L,3,24
UNLV,2006-09-16,3,@,Hawaii,L,6,42
USC,2006-09-16,2,,Nebraska,W,1,10
Utah,2006-09-16,3,@,Utah State,W,0,0
Utah State,2006-09-16,3,,Utah,L,6,48
Vanderbilt,2006-09-16,3,,Arkansas,L,3,21
Virginia,2006-09-16,3,,Western Michigan,L,2,17
Virginia Tech,2006-09-16,3,,Duke,W,0,0
Wake Forest,2006-09-16,3,@,Connecticut,W,2,13
Washington,2006-09-16,3,,Fresno State,W,3,20
Washington State,2006-09-16,3,,Baylor,W,2,15
Western Michigan,2006-09-16,3,@,Virginia,W,1,10
Wisconsin,2006-09-16,3,,San Diego State,W,0,0
Wyoming,2006-09-16,3,,Boise State,L,2,17
Georgia Tech,2006-09-21,4,,Virginia,W,1,7
Virginia,2006-09-21,4,@,Georgia Tech,L,3,24
Nevada,2006-09-22,4,,Northwestern,W,3,21
Northwestern,2006-09-22,4,@,Nevada,L,4,31
Air Force,2006-09-23,2,@,Wyoming,W,3,24
Akron,2006-09-23,4,,North Texas,W,2,13
Alabama,2006-09-23,4,@,Arkansas,L,3,24
Arizona,2006-09-23,4,,Southern California,L,2,20
Arizona State,2006-09-23,4,@,California,L,7,49
Arkansas,2006-09-23,4,,Alabama,W,3,23
Arkansas State,2006-09-23,3,@,Southern Methodist,L,7,55
Army,2006-09-23,4,@,Baylor,W,2,20
Auburn,2006-09-23,4,,Buffalo,W,1,7
Ball State,2006-09-23,4,,North Dakota State,L,3,29
Baylor,2006-09-23,4,,Army,L,3,27
Boise State,2006-09-23,4,,Hawaii,W,5,34
Boston College,2006-09-23,4,@,North Carolina State,L,2,17
Bowling Green State,2006-09-23,4,,Kent State,L,5,38
Brigham Young,2006-09-23,4,,Utah State,W,0,0
Buffalo,2006-09-23,4,@,Auburn,L,5,38
California,2006-09-23,4,,Arizona State,W,3,21
Central Michigan,2006-09-23,4,@,Eastern Michigan,W,2,17
Cincinnati,2006-09-23,4,@,Virginia Tech,L,3,29
Clemson,2006-09-23,4,,North Carolina,W,1,7
Colorado,2006-09-23,4,@,Georgia,L,2,14
Connecticut,2006-09-23,3,@,Indiana,W,1,7
East Carolina,2006-09-23,4,,West Virginia,L,3,27
Eastern Michigan,2006-09-23,4,,Central Michigan,L,3,24
Florida,2006-09-23,4,,Kentucky,W,1,7
Florida Atlantic,2006-09-23,4,@,South Carolina,L,6,45
Florida International,2006-09-23,4,@,Maryland,L,2,14
Florida State,2006-09-23,4,,Rice,W,1,7
Georgia,2006-09-23,4,,Colorado,W,1,13
Hawaii,2006-09-23,3,@,Boise State,L,5,41
Houston,2006-09-23,4,,Oklahoma State,W,3,25
Idaho,2006-09-23,4,@,Oregon State,L,5,38
Illinois,2006-09-23,4,,Iowa,L,3,24
Indiana,2006-09-23,4,,Connecticut,L,2,14
Iowa,2006-09-23,4,@,Illinois,W,1,7
Iowa State,2006-09-23,4,@,Texas,L,5,37
Kansas,2006-09-23,4,,South Florida,W,1,7
Kansas State,2006-09-23,4,,Louisville,L,3,24
Kent State,2006-09-23,4,@,Bowling Green State,W,0,3
Kentucky,2006-09-23,4,@,Florida,L,4,26
Louisiana,2006-09-23,3,,North Carolina A&T,W,1,7
Louisiana Tech,2006-09-23,3,@,Texas A&M,L,6,45
Louisville,2006-09-23,4,@,Kansas State,W,1,6
LSU,2006-09-23,4,,Tulane,W,1,7
Marshall,2006-09-23,4,@,Tennessee,L,4,33
Maryland,2006-09-23,4,,Florida International,W,1,10
Miami (OH),2006-09-23,4,@,Syracuse,L,4,34
Michigan,2006-09-23,4,,Wisconsin,W,1,13
Michigan State,2006-09-23,4,,Notre Dame,L,6,40
Middle Tennessee State,2006-09-23,4,@,Oklahoma,L,8,59
Minnesota,2006-09-23,4,@,Purdue,L,3,27
Mississippi State,2006-09-23,4,@,Alabama-Birmingham,W,1,10
Missouri,2006-09-23,4,,Ohio,W,1,6
Navy,2006-09-23,4,,Tulsa,L,3,24
Nebraska,2006-09-23,4,,Troy,W,0,0
New Mexico,2006-09-23,4,,Texas-El Paso,W,1,13
North Carolina,2006-09-23,4,@,Clemson,L,7,52
North Carolina State,2006-09-23,4,,Boston College,W,2,15
North Texas,2006-09-23,4,@,Akron,L,5,33
Northern Illinois,2006-09-23,4,,Indiana State,W,2,14
Notre Dame,2006-09-23,4,@,Michigan State,W,5,37
Ohio,2006-09-23,4,@,Missouri,L,4,31
Ohio State,2006-09-23,4,,Penn State,W,0,6
Oklahoma,2006-09-23,4,,Middle Tennessee State,W,0,0
Oklahoma State,2006-09-23,4,@,Houston,L,4,34
Ole Miss,2006-09-23,4,,Wake Forest,L,3,27
Oregon State,2006-09-23,3,,Idaho,W,0,0
Penn State,2006-09-23,4,@,Ohio State,L,4,28
Pitt,2006-09-23,4,,Citadel,W,1,6
Purdue,2006-09-23,4,,Minnesota,W,3,21
Rice,2006-09-23,4,@,Florida State,L,7,55
Rutgers,2006-09-23,4,,Howard,W,1,7
San Diego State,2006-09-23,3,,Utah,L,5,38
San Jose State,2006-09-23,3,,Cal Poly,W,1,7
SMU,2006-09-23,4,,Arkansas State,W,1,9
South Carolina,2006-09-23,4,,Florida Atlantic,W,1,6
South Florida,2006-09-23,4,@,Kansas,L,1,13
Stanford,2006-09-23,4,,Washington State,L,5,36
Syracuse,2006-09-23,4,,Miami (OH),W,2,14
Temple,2006-09-23,4,@,Western Michigan,L,5,41
Tennessee,2006-09-23,4,,Marshall,W,1,7
Texas,2006-09-23,4,,Iowa State,W,2,14
Texas A&M,2006-09-23,4,,Louisiana Tech,W,2,14
Texas Tech,2006-09-23,4,,Southeastern Louisiana,W,0,0
Toledo,2006-09-23,4,,McNeese State,W,1,7
Troy,2006-09-23,4,@,Nebraska,L,8,56
Tulane,2006-09-23,3,@,Louisiana State,L,7,49
Tulsa,2006-09-23,4,@,Navy,W,3,23
UAB,2006-09-23,4,,Mississippi State,L,2,16
UCLA,2006-09-23,3,@,Washington,L,4,29
USC,2006-09-23,3,@,Arizona,W,0,3
Utah,2006-09-23,4,@,San Diego State,W,1,7
Utah State,2006-09-23,4,@,Brigham Young,L,5,38
UTEP,2006-09-23,3,@,New Mexico,L,3,26
Vanderbilt,2006-09-23,4,,Tennessee State,W,1,9
Virginia Tech,2006-09-23,4,,Cincinnati,W,1,13
Wake Forest,2006-09-23,4,@,Mississippi,W,0,3
Washington,2006-09-23,4,,UCLA,W,1,19
Washington State,2006-09-23,4,@,Stanford,W,1,10
West Virginia,2006-09-23,4,@,East Carolina,W,1,10
Western Michigan,2006-09-23,4,,Temple,W,1,7
Wisconsin,2006-09-23,4,@,Michigan,L,3,27
Wyoming,2006-09-23,4,,Air Force,L,4,31
Southern Mississippi,2006-09-26,4,@,Central Florida,W,2,14
UCF,2006-09-26,4,,Southern Mississippi,L,2,19
Auburn,2006-09-28,5,@,South Carolina,W,2,17
Brigham Young,2006-09-28,5,@,Texas Christian,W,2,17
South Carolina,2006-09-28,5,,Auburn,L,3,24
Texas Christian,2006-09-28,4,,Brigham Young,L,4,31
Rutgers,2006-09-29,5,@,South Florida,W,3,20
South Florida,2006-09-29,5,,Rutgers,L,2,22
Air Force,2006-09-30,3,,New Mexico,W,1,7
Akron,2006-09-30,5,@,Kent State,L,5,37
Alabama,2006-09-30,5,@,Florida,L,4,28
Arizona,2006-09-30,5,,Washington,L,3,21
Arizona State,2006-09-30,5,,Oregon,L,6,48
Arkansas State,2006-09-30,4,@,Florida International,W,1,6
Army,2006-09-30,5,,Rice,L,6,48
Ball State,2006-09-30,5,,Northern Illinois,L,5,40
Baylor,2006-09-30,5,,Kansas State,W,0,3
Boise State,2006-09-30,5,@,Utah,W,0,3
Boston College,2006-09-30,5,,Maine,W,0,0
Bowling Green State,2006-09-30,5,@,Ohio,W,1,9
California,2006-09-30,5,@,Oregon State,W,1,13
Central Michigan,2006-09-30,5,@,Kentucky,L,6,45
Cincinnati,2006-09-30,5,,Miami (OH),W,1,10
Clemson,2006-09-30,5,,Louisiana Tech,W,0,0
Colorado,2006-09-30,5,@,Missouri,L,4,28
Colorado State,2006-09-30,4,@,Fresno State,W,3,23
Connecticut,2006-09-30,4,,Navy,L,5,41
Duke,2006-09-30,4,,Virginia,L,5,37
Eastern Michigan,2006-09-30,5,@,Louisiana,L,4,33
Florida,2006-09-30,5,,Alabama,W,1,13
Florida Atlantic,2006-09-30,5,@,Louisiana-Monroe,W,2,19
Florida International,2006-09-30,5,,Arkansas State,L,4,31
Fresno State,2006-09-30,4,,Colorado State,L,5,35
Georgia,2006-09-30,5,@,Mississippi,W,1,9
Georgia Tech,2006-09-30,5,@,Virginia Tech,W,3,27
Hawaii,2006-09-30,4,,Eastern Illinois,W,1,9
Houston,2006-09-30,5,@,Miami (FL),L,2,14
Idaho,2006-09-30,5,@,Utah State,W,3,21
Illinois,2006-09-30,5,@,Michigan State,W,2,20
Indiana,2006-09-30,5,,Wisconsin,L,7,52
Iowa,2006-09-30,5,,Ohio State,L,5,38
Iowa State,2006-09-30,5,,Northern Iowa,W,3,27
Kansas,2006-09-30,5,@,Nebraska,L,5,39
Kansas State,2006-09-30,5,@,Baylor,L,2,17
