School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Arkansas State,2004-09-11,2,@,Louisiana State,L,7,53
Army,2004-09-11,1,,Louisville,L,7,52
Auburn,2004-09-11,2,@,Mississippi State,W,2,14
Ball State,2004-09-11,2,@,Purdue,L,8,59
Baylor,2004-09-11,2,,Texas State,W,2,17
Boston College,2004-09-11,2,,Penn State,W,1,7
Bowling Green State,2004-09-11,2,,Southeast Missouri State,W,1,10
Brigham Young,2004-09-11,2,@,Stanford,L,4,37
Buffalo,2004-09-11,2,,Syracuse,L,4,37
California,2004-09-11,2,,New Mexico State,W,2,14
Central Michigan,2004-09-11,2,@,Michigan State,L,3,24
Cincinnati,2004-09-11,2,,Miami (OH),W,4,26
Clemson,2004-09-11,2,,Georgia Tech,L,4,28
Colorado,2004-09-11,2,@,Washington State,W,1,12
Colorado State,2004-09-11,2,@,Southern California,L,7,49
Connecticut,2004-09-11,2,,Duke,W,2,20
Duke,2004-09-11,2,@,Connecticut,L,2,22
East Carolina,2004-09-11,2,,Wake Forest,L,4,31
Eastern Michigan,2004-09-11,2,@,Florida,L,7,49
Florida,2004-09-11,1,,Eastern Michigan,W,1,10
Florida A&M,2004-09-11,2,@,Tulane,L,6,39
Florida Atlantic,2004-09-11,2,@,North Texas,W,1,13
Florida International,2004-09-11,1,@,Youngstown State,W,1,16
Fresno State,2004-09-11,2,@,Kansas State,W,3,21
Georgia,2004-09-11,2,@,South Carolina,W,2,16
Georgia Tech,2004-09-11,2,@,Clemson,W,3,24
Houston,2004-09-11,2,@,Oklahoma,L,9,63
Idaho,2004-09-11,2,@,Utah State,L,2,14
Illinois,2004-09-11,2,,UCLA,L,5,35
Indiana,2004-09-11,2,@,Oregon,W,3,24
Iowa,2004-09-11,2,,Iowa State,W,1,10
Iowa State,2004-09-11,2,@,Iowa,L,2,17
Kansas,2004-09-11,2,,Toledo,W,2,14
Kansas State,2004-09-11,2,,Fresno State,L,6,45
Kent State,2004-09-11,2,,Liberty,W,1,10
Louisiana,2004-09-11,2,@,Louisiana Tech,L,3,24
Louisiana Tech,2004-09-11,2,,Louisiana,W,2,20
Louisville,2004-09-11,2,@,Army,W,3,21
LSU,2004-09-11,2,,Arkansas State,W,0,3
Marshall,2004-09-11,2,@,Ohio State,L,3,24
Maryland,2004-09-11,2,,Temple,W,3,22
Memphis,2004-09-11,2,,Chattanooga,W,3,21
Miami (OH),2004-09-11,3,@,Cincinnati,L,6,45
Michigan,2004-09-11,2,@,Notre Dame,L,4,28
Michigan State,2004-09-11,2,,Central Michigan,W,1,7
Middle Tennessee State,2004-09-11,1,@,Akron,W,3,24
Minnesota,2004-09-11,2,,Illinois State,W,3,21
Mississippi State,2004-09-11,2,,Auburn,L,6,43
Navy,2004-09-11,2,,Northeastern,W,3,24
Nebraska,2004-09-11,2,,Southern Mississippi,L,2,21
Nevada,2004-09-11,2,,Sacramento State,W,1,7
New Mexico,2004-09-11,2,,Texas Tech,W,3,24
New Mexico State,2004-09-11,2,@,California,L,6,41
North Carolina,2004-09-11,2,@,Virginia,L,8,56
North Texas,2004-09-11,2,,Florida Atlantic,L,2,20
Northern Illinois,2004-09-11,2,,Southern Illinois,W,2,22
Northwestern,2004-09-11,2,,Arizona State,L,3,30
Notre Dame,2004-09-11,2,,Michigan,W,1,20
Ohio,2004-09-11,2,@,Pittsburgh,L,3,24
Ohio State,2004-09-11,2,,Marshall,W,3,21
Oklahoma,2004-09-11,2,,Houston,W,2,13
Oklahoma State,2004-09-11,2,,Tulsa,W,3,21
Ole Miss,2004-09-11,2,@,Alabama,L,4,28
Oregon,2004-09-11,1,,Indiana,L,3,30
Penn State,2004-09-11,2,@,Boston College,L,3,21
Pitt,2004-09-11,1,,Ohio,W,0,3
Purdue,2004-09-11,2,,Ball State,W,1,7
Rutgers,2004-09-11,2,,New Hampshire,L,5,35
SMU,2004-09-11,2,@,Texas Christian,L,6,44
South Carolina,2004-09-11,2,,Georgia,L,2,20
South Florida,2004-09-11,1,,Tennessee Tech,W,1,7
Southern Mississippi,2004-09-11,1,@,Nebraska,W,2,17
Stanford,2004-09-11,2,,Brigham Young,W,1,10
Syracuse,2004-09-11,2,@,Buffalo,W,2,17
Temple,2004-09-11,2,@,Maryland,L,6,45
Texas,2004-09-11,2,@,Arkansas,W,2,20
Texas A&M,2004-09-11,2,,Wyoming,W,0,0
Texas Christian,2004-09-11,2,,Southern Methodist,W,0,0
Texas Tech,2004-09-11,2,@,New Mexico,L,3,27
Toledo,2004-09-11,2,@,Kansas,L,9,63
Tulane,2004-09-11,2,,Florida A&M,W,3,19
Tulsa,2004-09-11,2,@,Oklahoma State,L,5,38
UCF,2004-09-11,2,,West Virginia,L,6,45
UCLA,2004-09-11,2,@,Illinois,W,2,17
UNLV,2004-09-11,2,@,Wisconsin,L,2,18
USC,2004-09-11,2,,Colorado State,W,0,0
Utah,2004-09-11,2,@,Arizona,W,0,6
Utah State,2004-09-11,2,,Idaho,W,1,7
UTEP,2004-09-11,2,,Weber State,W,0,0
Virginia,2004-09-11,2,,North Carolina,W,3,24
Virginia Tech,2004-09-11,2,,Western Michigan,W,0,0
Wake Forest,2004-09-11,2,@,East Carolina,W,2,17
Washington State,2004-09-11,2,,Colorado,L,2,20
West Virginia,2004-09-11,2,@,Central Florida,W,2,20
Western Michigan,2004-09-11,2,@,Virginia Tech,L,9,63
Wisconsin,2004-09-11,2,,Nevada-Las Vegas,W,0,3
Wyoming,2004-09-11,2,@,Texas A&M,L,4,31
Boston College,2004-09-17,3,,Connecticut,W,1,7
Connecticut,2004-09-17,3,@,Boston College,L,3,27
Air Force,2004-09-18,3,@,Nevada-Las Vegas,W,1,10
Akron,2004-09-18,3,@,Virginia,L,7,51
Alabama,2004-09-18,3,,Western Carolina,W,0,0
Arizona,2004-09-18,3,,Wisconsin,L,1,9
Arizona State,2004-09-18,3,,Iowa,W,1,7
Arkansas,2004-09-18,3,,Louisiana-Monroe,W,2,20
Arkansas State,2004-09-18,3,,Memphis,L,5,47
Army,2004-09-18,2,@,Houston,L,4,35
Auburn,2004-09-18,3,,Louisiana State,W,1,9
Ball State,2004-09-18,3,@,Missouri,L,6,48
Boise State,2004-09-18,3,@,Texas-El Paso,W,4,31
Brigham Young,2004-09-18,3,,Southern California,L,6,42
Buffalo,2004-09-18,3,@,Nevada,L,5,38
Central Michigan,2004-09-18,3,,Southeast Missouri State,W,4,27
Cincinnati,2004-09-18,3,@,Syracuse,L,2,19
Clemson,2004-09-18,3,@,Texas A&M,L,3,27
Colorado,2004-09-18,3,,North Texas,W,3,21
Colorado State,2004-09-18,3,,Minnesota,L,4,34
Duke,2004-09-18,3,@,Virginia Tech,L,5,41
Eastern Michigan,2004-09-18,3,,Toledo,L,6,42
Florida,2004-09-18,2,@,Tennessee,L,4,30
Florida A&M,2004-09-18,3,@,Temple,L,5,38
Florida Atlantic,2004-09-18,3,@,Middle Tennessee State,W,2,20
Florida State,2004-09-18,2,,Alabama-Birmingham,W,1,7
Fresno State,2004-09-18,3,,Portland State,W,2,17
Georgia,2004-09-18,3,,Marshall,W,0,3
Georgia Tech,2004-09-18,3,@,North Carolina,L,5,34
Hawaii,2004-09-18,2,@,Rice,L,6,41
Houston,2004-09-18,3,,Army,W,3,21
Idaho,2004-09-18,3,@,Washington State,L,7,49
Illinois,2004-09-18,3,,Western Michigan,W,3,27
Indiana,2004-09-18,3,@,Kentucky,L,6,51
Iowa,2004-09-18,3,@,Arizona State,L,5,44
Iowa State,2004-09-18,3,,Northern Illinois,W,6,41
Kansas,2004-09-18,3,@,Northwestern,L,2,20
Kansas State,2004-09-18,3,,Louisiana,W,3,20
Kent State,2004-09-18,3,@,Rutgers,L,3,29
Kentucky,2004-09-18,2,,Indiana,W,4,32
Louisiana,2004-09-18,3,@,Kansas State,L,4,40
Louisiana Tech,2004-09-18,3,@,Miami (FL),L,6,48
Louisiana-Monroe,2004-09-18,2,@,Arkansas,L,7,49
LSU,2004-09-18,3,@,Auburn,L,1,10
Marshall,2004-09-18,3,@,Georgia,L,1,13
Maryland,2004-09-18,3,@,West Virginia,L,2,19
Memphis,2004-09-18,3,@,Arkansas State,W,5,35
Miami (FL),2004-09-18,2,,Louisiana Tech,W,0,0
Miami (OH),2004-09-18,4,,Ohio,W,3,20
Michigan,2004-09-18,3,,San Diego State,W,3,21
Michigan State,2004-09-18,3,,Notre Dame,L,4,31
Middle Tennessee State,2004-09-18,2,,Florida Atlantic,L,3,27
Minnesota,2004-09-18,3,@,Colorado State,W,1,16
Mississippi State,2004-09-18,3,,Maine,L,1,9
Missouri,2004-09-18,3,,Ball State,W,0,0
Navy,2004-09-18,3,@,Tulsa,W,0,0
Nebraska,2004-09-18,3,@,Pittsburgh,W,2,17
Nevada,2004-09-18,3,,Buffalo,W,1,13
New Mexico,2004-09-18,3,@,Oregon State,L,2,17
New Mexico State,2004-09-18,3,,Troy,W,2,18
North Carolina,2004-09-18,3,,Georgia Tech,W,1,13
North Carolina State,2004-09-18,2,,Ohio State,L,1,22
North Texas,2004-09-18,3,@,Colorado,L,7,52
Northern Illinois,2004-09-18,3,@,Iowa State,L,7,48
Northwestern,2004-09-18,3,,Kansas,W,2,17
Notre Dame,2004-09-18,3,@,Michigan State,W,3,24
Ohio,2004-09-18,3,@,Miami (OH),L,5,40
Ohio State,2004-09-18,3,@,North Carolina State,W,2,14
Oklahoma,2004-09-18,3,,Oregon,W,1,7
Oklahoma State,2004-09-18,3,,Southern Methodist,W,1,7
Ole Miss,2004-09-18,3,,Vanderbilt,W,3,23
Oregon,2004-09-18,2,@,Oklahoma,L,4,31
Oregon State,2004-09-18,3,,New Mexico,W,1,7
Penn State,2004-09-18,3,,Central Florida,W,1,13
Pitt,2004-09-18,2,,Nebraska,L,3,24
Rice,2004-09-18,2,,Hawaii,W,4,29
Rutgers,2004-09-18,3,,Kent State,W,3,21
San Diego State,2004-09-18,2,@,Michigan,L,3,24
San Jose State,2004-09-18,2,,Morgan State,W,4,28
SMU,2004-09-18,3,@,Oklahoma State,L,8,59
South Carolina,2004-09-18,3,,South Florida,W,0,3
South Florida,2004-09-18,2,@,South Carolina,L,4,34
Syracuse,2004-09-18,3,,Cincinnati,W,1,7
Temple,2004-09-18,3,,Florida A&M,W,1,7
Tennessee,2004-09-18,2,,Florida,W,4,28
Texas A&M,2004-09-18,3,,Clemson,W,1,6
Texas Christian,2004-09-18,3,@,Texas Tech,L,10,70
Texas Tech,2004-09-18,3,,Texas Christian,W,5,35
Toledo,2004-09-18,3,@,Eastern Michigan,W,4,32
Troy,2004-09-18,3,@,New Mexico State,L,2,22
Tulsa,2004-09-18,3,,Navy,L,4,29
UAB,2004-09-18,2,@,Florida State,L,4,34
UCF,2004-09-18,3,@,Penn State,L,5,37
UCLA,2004-09-18,3,@,Washington,W,4,31
UNLV,2004-09-18,3,,Air Force,L,3,27
USC,2004-09-18,3,@,Brigham Young,W,1,10
Utah,2004-09-18,3,@,Utah State,W,1,6
Utah State,2004-09-18,3,,Utah,L,7,48
UTEP,2004-09-18,3,,Boise State,L,6,47
Vanderbilt,2004-09-18,2,@,Mississippi,L,2,26
Virginia,2004-09-18,3,,Akron,W,0,0
Virginia Tech,2004-09-18,3,,Duke,W,2,17
Wake Forest,2004-09-18,3,,North Carolina A&T,W,0,3
Washington,2004-09-18,2,,UCLA,L,5,37
Washington State,2004-09-18,3,,Idaho,W,1,8
West Virginia,2004-09-18,3,,Maryland,W,1,16
Western Michigan,2004-09-18,3,@,Illinois,L,4,30
Wisconsin,2004-09-18,3,@,Arizona,W,1,7
Akron,2004-09-23,4,@,Kent State,W,3,19
Houston,2004-09-23,4,,Miami (FL),L,5,38
Kent State,2004-09-23,4,,Akron,L,3,24
Miami (FL),2004-09-23,3,@,Houston,W,1,13
Boise State,2004-09-24,4,,Brigham Young,W,3,27
Bowling Green State,2004-09-24,3,@,Northern Illinois,L,4,34
Brigham Young,2004-09-24,4,@,Boise State,L,3,28
Northern Illinois,2004-09-24,4,,Bowling Green State,W,2,17
Air Force,2004-09-25,4,@,Utah,L,7,49
Alabama,2004-09-25,4,@,Arkansas,L,4,27
Arizona,2004-09-25,4,,Washington State,L,3,20
Arizona State,2004-09-25,4,,Oregon State,W,2,14
Arkansas,2004-09-25,4,,Alabama,W,1,10
Arkansas State,2004-09-25,4,@,Louisiana-Monroe,W,3,21
Army,2004-09-25,3,@,Connecticut,L,5,40
Auburn,2004-09-25,4,,Citadel,W,0,3
Ball State,2004-09-25,4,,Western Michigan,W,2,14
Baylor,2004-09-25,3,,North Texas,W,2,14
Boston College,2004-09-25,4,@,Wake Forest,L,2,17
Buffalo,2004-09-25,4,@,Ohio,L,5,34
Cincinnati,2004-09-25,4,@,East Carolina,W,2,19
Clemson,2004-09-25,4,@,Florida State,L,5,41
Colorado State,2004-09-25,4,,Montana State,W,2,14
Connecticut,2004-09-25,4,,Army,W,0,3
Duke,2004-09-25,4,,Maryland,L,7,55
East Carolina,2004-09-25,3,,Cincinnati,L,3,24
Eastern Michigan,2004-09-25,4,,Eastern Illinois,L,4,31
Florida,2004-09-25,3,,Kentucky,W,0,3
Florida A&M,2004-09-25,4,N,Tennessee State,W,2,15
Florida State,2004-09-25,3,,Clemson,W,3,22
Idaho,2004-09-25,4,@,Oregon,L,7,48
Illinois,2004-09-25,4,,Purdue,L,5,38
Indiana,2004-09-25,4,,Michigan State,L,3,30
Iowa,2004-09-25,4,@,Michigan,L,4,30
Kansas,2004-09-25,4,,Texas Tech,L,4,31
Kentucky,2004-09-25,3,@,Florida,L,2,20
Louisiana,2004-09-25,4,,Middle Tennessee State,W,2,17
Louisiana Tech,2004-09-25,4,@,Tennessee,L,6,42
Louisiana-Monroe,2004-09-25,3,,Arkansas State,L,4,28
Louisville,2004-09-25,3,@,North Carolina,W,0,0
LSU,2004-09-25,4,,Mississippi State,W,0,0
Maryland,2004-09-25,4,@,Duke,W,3,21
Memphis,2004-09-25,4,@,Alabama-Birmingham,L,5,35
Michigan,2004-09-25,4,,Iowa,W,2,17
Michigan State,2004-09-25,4,@,Indiana,W,2,20
Middle Tennessee State,2004-09-25,3,@,Louisiana,L,3,24
Minnesota,2004-09-25,4,,Northwestern,W,2,17
Mississippi State,2004-09-25,4,@,Louisiana State,L,7,51
Navy,2004-09-25,4,,Vanderbilt,W,3,26
Nevada,2004-09-25,4,@,San Diego State,L,3,27
New Mexico,2004-09-25,4,@,New Mexico State,W,0,3
New Mexico State,2004-09-25,4,,New Mexico,L,5,38
North Carolina,2004-09-25,4,,Louisville,L,4,34
North Carolina State,2004-09-25,3,@,Virginia Tech,W,1,16
North Texas,2004-09-25,4,@,Baylor,L,4,37
Northwestern,2004-09-25,4,@,Minnesota,L,6,43
Notre Dame,2004-09-25,4,,Washington,W,0,3
Ohio,2004-09-25,4,,Buffalo,W,0,0
Ole Miss,2004-09-25,4,@,Wyoming,L,4,37
Oregon,2004-09-25,3,,Idaho,W,1,10
Oregon State,2004-09-25,4,@,Arizona State,L,3,27
Penn State,2004-09-25,4,@,Wisconsin,L,1,16
Pitt,2004-09-25,3,,Furman,W,5,38
Purdue,2004-09-25,3,@,Illinois,W,3,30
Rice,2004-09-25,3,@,Texas,L,5,35
San Diego State,2004-09-25,3,,Nevada,W,1,10
San Jose State,2004-09-25,3,@,Southern Methodist,L,5,36
SMU,2004-09-25,4,,San Jose State,W,1,13
South Carolina,2004-09-25,4,,Troy,W,1,7
South Florida,2004-09-25,3,@,Texas Christian,W,6,44
Southern Mississippi,2004-09-25,2,@,Tulane,W,2,14
Stanford,2004-09-25,3,,Southern California,L,4,31
Syracuse,2004-09-25,4,@,Virginia,L,4,31
Temple,2004-09-25,4,@,Toledo,L,6,45
Tennessee,2004-09-25,3,,Louisiana Tech,W,2,17
Texas,2004-09-25,3,,Rice,W,1,13
Texas Christian,2004-09-25,4,,South Florida,L,6,45
Texas Tech,2004-09-25,4,@,Kansas,W,4,30
Toledo,2004-09-25,4,,Temple,W,2,17
Troy,2004-09-25,4,@,South Carolina,L,2,17
Tulane,2004-09-25,3,,Southern Mississippi,L,4,32
Tulsa,2004-09-25,4,,Missouri State,W,1,7
UAB,2004-09-25,3,,Memphis,W,3,28
UNLV,2004-09-25,4,,Utah State,L,3,31
USC,2004-09-25,4,@,Stanford,W,4,28
Utah,2004-09-25,4,,Air Force,W,5,35
Utah State,2004-09-25,4,@,Nevada-Las Vegas,W,3,21
Vanderbilt,2004-09-25,3,@,Navy,L,4,29
Virginia,2004-09-25,4,,Syracuse,W,1,10
Virginia Tech,2004-09-25,4,,North Carolina State,L,2,17
Wake Forest,2004-09-25,4,,Boston College,W,2,14
Washington,2004-09-25,3,@,Notre Dame,L,5,38
Washington State,2004-09-25,4,@,Arizona,W,2,19
West Virginia,2004-09-25,4,,James Madison,W,1,10
Western Michigan,2004-09-25,4,@,Ball State,L,5,41
Wisconsin,2004-09-25,4,,Penn State,W,0,3
Wyoming,2004-09-25,3,,Mississippi,W,3,32
Marshall,2004-09-29,4,,Miami (OH),W,3,25
Miami (OH),2004-09-29,5,@,Marshall,L,4,33
Air Force,2004-09-30,5,,Navy,L,3,24
Connecticut,2004-09-30,5,,Pittsburgh,W,2,17
Navy,2004-09-30,5,@,Air Force,W,2,21
Pitt,2004-09-30,4,@,Connecticut,L,3,29
New Mexico,2004-10-01,5,,Utah,L,4,28
Utah,2004-10-01,5,@,New Mexico,W,1,7
Akron,2004-10-02,5,@,Northern Illinois,L,7,49
Alabama,2004-10-02,5,,South Carolina,L,2,20
Arizona State,2004-10-02,5,@,Oregon,W,1,13
Arkansas,2004-10-02,5,@,Florida,L,6,45
Arkansas State,2004-10-02,5,@,Mississippi,L,3,28
Army,2004-10-02,4,,Texas Christian,L,3,21
Auburn,2004-10-02,5,@,Tennessee,W,1,10
Ball State,2004-10-02,5,@,Toledo,L,7,52
Baylor,2004-10-02,4,@,Texas,L,6,44
Boise State,2004-10-02,5,,Southern Methodist,W,3,20
Boston College,2004-10-02,5,,Massachusetts,W,1,7
Bowling Green State,2004-10-02,4,@,Temple,W,2,16
Brigham Young,2004-10-02,5,@,Colorado State,W,3,21
Buffalo,2004-10-02,5,,Central Florida,W,3,20
California,2004-10-02,3,@,Oregon State,W,1,7
Central Michigan,2004-10-02,4,,Kent State,W,2,21
Cincinnati,2004-10-02,5,,Alabama-Birmingham,L,3,30
Colorado,2004-10-02,4,@,Missouri,L,2,17
Colorado State,2004-10-02,5,,Brigham Young,L,4,31
Duke,2004-10-02,5,,Citadel,W,1,10
East Carolina,2004-10-02,4,@,Louisville,L,8,59
Eastern Michigan,2004-10-02,5,,Idaho,L,6,45
Florida,2004-10-02,4,,Arkansas,W,4,30
Florida A&M,2004-10-02,5,,Virginia Union,W,1,10
Florida International,2004-10-02,2,,Louisiana,L,5,43
Florida State,2004-10-02,4,,North Carolina,W,1,16
Fresno State,2004-10-02,4,@,Louisiana Tech,L,4,28
Georgia,2004-10-02,4,,Louisiana State,W,2,16
Georgia Tech,2004-10-02,4,,Miami (FL),L,3,27
Hawaii,2004-10-02,3,,Tulsa,W,1,16
Houston,2004-10-02,5,@,Memphis,L,5,41
Idaho,2004-10-02,5,@,Eastern Michigan,W,5,41
Illinois,2004-10-02,5,@,Wisconsin,L,3,24
Indiana,2004-10-02,5,,Michigan,L,5,35
Iowa,2004-10-02,5,,Michigan State,W,1,16
Iowa State,2004-10-02,4,@,Oklahoma State,L,4,36
Kansas,2004-10-02,5,@,Nebraska,L,2,14
Kansas State,2004-10-02,4,@,Texas A&M,L,6,42
Kent State,2004-10-02,5,@,Central Michigan,L,3,24
Kentucky,2004-10-02,4,,Ohio,L,4,28
Louisiana,2004-10-02,5,@,Florida International,W,4,34
Louisiana Tech,2004-10-02,5,,Fresno State,W,2,21
Louisiana-Monroe,2004-10-02,4,@,Wyoming,L,4,31
Louisville,2004-10-02,4,,East Carolina,W,1,7
LSU,2004-10-02,5,@,Georgia,L,6,45
Memphis,2004-10-02,5,,Houston,W,2,14
Miami (FL),2004-10-02,4,@,Georgia Tech,W,0,3
Michigan,2004-10-02,5,@,Indiana,W,2,14
Michigan State,2004-10-02,5,@,Iowa,L,5,38
Middle Tennessee State,2004-10-02,4,@,North Texas,L,3,30
Minnesota,2004-10-02,5,,Penn State,W,1,7
Mississippi State,2004-10-02,5,@,Vanderbilt,L,4,31
Missouri,2004-10-02,4,,Colorado,W,1,9
Nebraska,2004-10-02,4,,Kansas,W,0,8
Nevada,2004-10-02,5,@,Nevada-Las Vegas,L,6,48
New Mexico State,2004-10-02,5,@,Texas-El Paso,L,6,45
North Carolina,2004-10-02,5,@,Florida State,L,5,38
North Carolina State,2004-10-02,4,,Wake Forest,W,3,21
North Texas,2004-10-02,5,,Middle Tennessee State,W,3,21
