School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Auburn,2018-09-01,1,N,Washington,W,1,16
Baylor,2018-09-01,1,,Abilene Christian,W,3,27
Boise State,2018-09-01,1,@,Troy,W,3,20
Boston College,2018-09-01,1,,Massachusetts,W,3,21
Bowling Green State,2018-09-01,1,@,Oregon,L,8,58
Brigham Young,2018-09-01,1,@,Arizona,W,3,23
Buffalo,2018-09-01,1,,Delaware State,W,1,10
California,2018-09-01,1,,North Carolina,W,2,17
Central Michigan,2018-09-01,1,@,Kentucky,L,5,35
Charlotte,2018-09-01,1,,Fordham,W,1,10
Cincinnati,2018-09-01,1,@,UCLA,W,2,17
Clemson,2018-09-01,1,,Furman,W,1,7
Coastal Carolina,2018-09-01,1,@,South Carolina,L,7,49
Florida,2018-09-01,1,,Charleston Southern,W,1,6
Florida Atlantic,2018-09-01,1,@,Oklahoma,L,9,63
Florida International,2018-09-01,1,,Indiana,L,5,38
Fresno State,2018-09-01,1,,Idaho,W,2,13
Georgia,2018-09-01,1,,Austin Peay,W,0,0
Georgia Southern,2018-09-01,1,,South Carolina State,W,1,6
Georgia Tech,2018-09-01,1,,Alcorn State,W,0,0
Hawaii,2018-09-01,2,,Navy,W,6,41
Houston,2018-09-01,1,@,Rice,W,3,27
Illinois,2018-09-01,1,,Kent State,W,3,24
Indiana,2018-09-01,1,@,Florida International,W,4,28
Iowa,2018-09-01,1,,Northern Illinois,W,1,7
Kansas,2018-09-01,1,,Nicholls State,L,3,26
Kansas State,2018-09-01,1,,South Dakota,W,3,24
Kent State,2018-09-01,1,@,Illinois,L,4,31
Kentucky,2018-09-01,1,,Central Michigan,W,2,20
Liberty,2018-09-01,1,,Old Dominion,W,1,10
Louisiana,2018-09-01,1,,Grambling State,W,2,17
Louisiana Tech,2018-09-01,1,@,South Alabama,W,4,26
Louisville,2018-09-01,1,N,Alabama,L,7,51
Marshall,2018-09-01,1,@,Miami (OH),W,4,28
Maryland,2018-09-01,1,N,Texas,W,4,29
Massachusetts,2018-09-01,2,@,Boston College,L,8,55
Memphis,2018-09-01,1,,Mercer,W,2,14
Miami (OH),2018-09-01,1,,Marshall,L,5,35
Michigan,2018-09-01,1,@,Notre Dame,L,3,24
Middle Tennessee State,2018-09-01,1,@,Vanderbilt,L,5,35
Mississippi State,2018-09-01,1,,Stephen F. Austin,W,0,6
Missouri,2018-09-01,1,,Tennessee-Martin,W,2,14
Navy,2018-09-01,1,@,Hawaii,L,8,59
New Mexico,2018-09-01,1,,Incarnate Word,W,4,30
North Carolina,2018-09-01,1,@,California,L,3,24
North Carolina State,2018-09-01,1,,James Madison,W,1,13
North Texas,2018-09-01,1,,Southern Methodist,W,3,23
Northern Illinois,2018-09-01,1,@,Iowa,L,4,33
Notre Dame,2018-09-01,1,,Michigan,W,2,17
Ohio,2018-09-01,1,,Howard,W,4,32
Ohio State,2018-09-01,1,,Oregon State,W,4,31
Oklahoma,2018-09-01,1,,Florida Atlantic,W,2,14
Old Dominion,2018-09-01,1,@,Liberty,L,7,52
Ole Miss,2018-09-01,1,N,Texas Tech,W,3,27
Oregon,2018-09-01,1,,Bowling Green State,W,3,24
Oregon State,2018-09-01,1,@,Ohio State,L,11,77
Penn State,2018-09-01,1,,Appalachian State,W,5,38
Pitt,2018-09-01,1,,Albany,W,1,7
Rice,2018-09-01,2,,Houston,L,6,45
Rutgers,2018-09-01,1,,Texas State,W,1,7
SMU,2018-09-01,1,@,North Texas,L,5,46
South Alabama,2018-09-01,1,,Louisiana Tech,L,4,30
South Carolina,2018-09-01,1,,Coastal Carolina,W,1,15
South Florida,2018-09-01,1,,Elon,W,2,14
Southern Mississippi,2018-09-01,1,,Jackson State,W,1,7
Temple,2018-09-01,1,,Villanova,L,3,19
Tennessee,2018-09-01,1,N,West Virginia,L,5,40
Texas,2018-09-01,1,N,Maryland,L,4,34
Texas Christian,2018-09-01,1,,Southern,W,1,7
Texas State,2018-09-01,1,@,Rutgers,L,5,35
Texas Tech,2018-09-01,1,N,Mississippi,L,5,47
Toledo,2018-09-01,1,,Virginia Military Institute,W,0,3
Troy,2018-09-01,1,,Boise State,L,8,56
Tulsa,2018-09-01,1,,Central Arkansas,W,3,27
UCLA,2018-09-01,1,,Cincinnati,L,3,26
UNLV,2018-09-01,1,@,Southern California,L,4,43
USC,2018-09-01,1,,Nevada-Las Vegas,W,3,21
UTEP,2018-09-01,1,,Northern Arizona,L,4,30
UTSA,2018-09-01,1,@,Arizona State,L,7,49
Vanderbilt,2018-09-01,1,,Middle Tennessee State,W,1,7
Virginia,2018-09-01,1,,Richmond,W,1,13
Washington,2018-09-01,1,N,Auburn,L,2,21
Washington State,2018-09-01,1,@,Wyoming,W,2,19
West Virginia,2018-09-01,1,N,Tennessee,W,2,14
Wyoming,2018-09-01,2,,Washington State,L,5,41
East Carolina,2018-09-02,1,,North Carolina A&T,L,4,28
LSU,2018-09-02,1,N,Miami (FL),W,2,17
Miami (FL),2018-09-02,1,N,Louisiana State,L,3,33
Florida State,2018-09-03,1,,Virginia Tech,L,3,24
Virginia Tech,2018-09-03,1,@,Florida State,W,0,3
SMU,2018-09-07,2,,Texas Christian,L,7,42
Texas Christian,2018-09-07,2,@,Southern Methodist,W,1,12
Air Force,2018-09-08,2,@,Florida Atlantic,L,4,33
Akron,2018-09-08,1,,Morgan State,W,1,7
Alabama,2018-09-08,2,,Arkansas State,W,1,7
Appalachian State,2018-09-08,2,@,Charlotte,W,0,9
Arizona,2018-09-08,2,@,Houston,L,6,45
Arizona State,2018-09-08,2,,Michigan State,W,1,13
Arkansas,2018-09-08,2,@,Colorado State,L,3,34
Arkansas State,2018-09-08,2,@,Alabama,L,8,57
Army,2018-09-08,2,,Liberty,W,2,14
Auburn,2018-09-08,2,,Alabama State,W,1,9
Ball State,2018-09-08,2,@,Notre Dame,L,3,24
Baylor,2018-09-08,2,@,Texas-San Antonio,W,2,20
Boise State,2018-09-08,2,,Connecticut,W,1,7
Boston College,2018-09-08,2,,Holy Cross,W,2,14
Bowling Green State,2018-09-08,2,,Maryland,L,6,45
Brigham Young,2018-09-08,2,,California,L,3,21
Buffalo,2018-09-08,2,@,Temple,W,4,29
California,2018-09-08,2,@,Brigham Young,W,2,18
Central Michigan,2018-09-08,2,,Kansas,L,4,31
Charlotte,2018-09-08,2,,Appalachian State,L,6,45
Cincinnati,2018-09-08,2,@,Miami (OH),W,0,0
Clemson,2018-09-08,2,@,Texas A&M,W,3,26
Coastal Carolina,2018-09-08,2,,Alabama-Birmingham,W,3,24
Colorado,2018-09-08,2,@,Nebraska,W,4,28
Colorado State,2018-09-08,3,,Arkansas,W,3,27
Connecticut,2018-09-08,2,@,Boise State,L,8,62
Duke,2018-09-08,2,@,Northwestern,W,1,7
East Carolina,2018-09-08,2,,North Carolina,W,1,19
Eastern Michigan,2018-09-08,2,@,Purdue,W,2,19
Florida,2018-09-08,2,,Kentucky,L,4,27
Florida Atlantic,2018-09-08,2,,Air Force,W,4,27
Florida International,2018-09-08,2,@,Old Dominion,W,2,20
Florida State,2018-09-08,2,,Samford,W,3,26
Fresno State,2018-09-08,2,@,Minnesota,L,2,21
Georgia,2018-09-08,2,@,South Carolina,W,2,17
Georgia Southern,2018-09-08,2,,Massachusetts,W,1,13
Georgia State,2018-09-08,2,@,North Carolina State,L,5,41
Georgia Tech,2018-09-08,2,@,South Florida,L,7,49
Hawaii,2018-09-08,3,,Rice,W,3,29
Houston,2018-09-08,2,,Arizona,W,2,18
Illinois,2018-09-08,2,,Western Illinois,W,2,14
Indiana,2018-09-08,2,,Virginia,W,2,16
Iowa,2018-09-08,2,,Iowa State,W,0,3
Iowa State,2018-09-08,1,@,Iowa,L,1,13
Kansas,2018-09-08,2,@,Central Michigan,W,1,7
Kansas State,2018-09-08,2,,Mississippi State,L,4,31
Kent State,2018-09-08,2,,Howard,W,2,14
Kentucky,2018-09-08,2,@,Florida,W,2,16
Liberty,2018-09-08,2,@,Army,L,5,38
Louisiana Tech,2018-09-08,2,,Southern,W,2,17
Louisiana-Monroe,2018-09-08,2,@,Southern Mississippi,W,2,20
Louisville,2018-09-08,2,,Indiana State,W,1,7
LSU,2018-09-08,2,,Southeastern Louisiana,W,0,0
Marshall,2018-09-08,2,,Eastern Kentucky,W,2,16
Maryland,2018-09-08,2,@,Bowling Green State,W,2,14
Massachusetts,2018-09-08,3,@,Georgia Southern,L,4,34
Memphis,2018-09-08,2,@,Navy,L,3,22
Miami (FL),2018-09-08,2,,Savannah State,W,0,0
Miami (OH),2018-09-08,2,,Cincinnati,L,3,21
Michigan,2018-09-08,2,,Western Michigan,W,0,3
Michigan State,2018-09-08,2,@,Arizona State,L,1,16
Middle Tennessee State,2018-09-08,2,,Tennessee-Martin,W,5,37
Minnesota,2018-09-08,2,,Fresno State,W,2,14
Mississippi State,2018-09-08,2,@,Kansas State,W,1,10
Missouri,2018-09-08,2,,Wyoming,W,1,13
Navy,2018-09-08,2,,Memphis,W,3,21
Nebraska,2018-09-08,1,,Colorado,L,4,33
Nevada,2018-09-08,2,@,Vanderbilt,L,5,41
New Mexico,2018-09-08,2,@,Wisconsin,L,6,45
New Mexico State,2018-09-08,3,@,Utah State,L,6,60
North Carolina,2018-09-08,2,@,East Carolina,L,5,41
North Carolina State,2018-09-08,2,,Georgia State,W,1,7
North Texas,2018-09-08,2,,Incarnate Word,W,2,16
Northern Illinois,2018-09-08,2,,Utah,L,2,17
Northwestern,2018-09-08,2,,Duke,L,3,21
Notre Dame,2018-09-08,2,,Ball State,W,1,16
Ohio State,2018-09-08,2,,Rutgers,W,0,3
Oklahoma,2018-09-08,2,,UCLA,W,3,21
Oklahoma State,2018-09-08,2,,South Alabama,W,2,13
Old Dominion,2018-09-08,2,,Florida International,L,4,28
Ole Miss,2018-09-08,2,,Southern Illinois,W,5,41
Oregon,2018-09-08,2,,Portland State,W,2,14
Oregon State,2018-09-08,2,,Southern Utah,W,3,25
Penn State,2018-09-08,2,@,Pittsburgh,W,1,6
Pitt,2018-09-08,2,,Penn State,L,7,51
Purdue,2018-09-08,2,,Eastern Michigan,L,2,20
Rice,2018-09-08,3,@,Hawaii,L,6,43
Rutgers,2018-09-08,2,@,Ohio State,L,7,52
San Diego State,2018-09-08,2,,Sacramento State,W,2,14
San Jose State,2018-09-08,2,@,Washington State,L,4,31
South Alabama,2018-09-08,2,@,Oklahoma State,L,7,55
South Carolina,2018-09-08,2,,Georgia,L,4,41
South Florida,2018-09-08,2,,Georgia Tech,W,5,38
Southern Mississippi,2018-09-08,2,,Louisiana-Monroe,L,3,21
Stanford,2018-09-08,2,,Southern California,W,0,3
Syracuse,2018-09-08,2,,Wagner,W,1,10
Temple,2018-09-08,2,,Buffalo,L,5,36
Tennessee,2018-09-08,2,,East Tennessee State,W,0,3
Texas,2018-09-08,2,,Tulsa,W,3,21
Texas A&M,2018-09-08,2,,Clemson,L,4,28
Texas State,2018-09-08,2,,Texas Southern,W,3,20
Texas Tech,2018-09-08,2,,Lamar,W,0,0
Troy,2018-09-08,2,,Florida A&M,W,1,7
Tulane,2018-09-08,2,,Nicholls State,W,2,17
Tulsa,2018-09-08,2,@,Texas,L,4,28
UAB,2018-09-08,2,@,Coastal Carolina,L,7,47
UCF,2018-09-08,2,,South Carolina State,W,0,0
UCLA,2018-09-08,2,@,Oklahoma,L,7,49
UNLV,2018-09-08,2,,Texas-El Paso,W,3,24
USC,2018-09-08,2,@,Stanford,L,2,17
Utah,2018-09-08,2,@,Northern Illinois,W,0,6
Utah State,2018-09-08,2,,New Mexico State,W,1,13
UTEP,2018-09-08,2,@,Nevada-Las Vegas,L,7,52
UTSA,2018-09-08,2,,Baylor,L,4,37
Vanderbilt,2018-09-08,2,,Nevada,W,1,10
Virginia,2018-09-08,2,@,Indiana,L,3,20
Virginia Tech,2018-09-08,2,,William & Mary,W,2,17
Wake Forest,2018-09-08,2,,Towson,W,3,20
Washington,2018-09-08,2,,North Dakota,W,0,3
Washington State,2018-09-08,2,,San Jose State,W,0,0
West Virginia,2018-09-08,2,,Youngstown State,W,2,17
Western Kentucky,2018-09-08,2,,Maine,L,4,31
Western Michigan,2018-09-08,2,@,Michigan,L,7,49
Wisconsin,2018-09-08,2,,New Mexico,W,2,14
Wyoming,2018-09-08,3,@,Missouri,L,5,40
Coastal Carolina,2018-09-12,3,@,Campbell,W,3,21
Boston College,2018-09-13,3,@,Wake Forest,W,4,34
Charlotte,2018-09-13,3,,Old Dominion,W,4,25
Old Dominion,2018-09-13,3,@,Charlotte,L,3,28
Utah State,2018-09-13,3,,Tennessee Tech,W,0,12
Wake Forest,2018-09-13,3,,Boston College,L,6,41
Georgia State,2018-09-14,3,@,Memphis,L,8,59
Memphis,2018-09-14,3,,Georgia State,W,3,22
Akron,2018-09-15,2,@,Northwestern,W,5,34
Alabama,2018-09-15,3,@,Mississippi,W,1,7
Arizona,2018-09-15,3,,Southern Utah,W,4,31
Arizona State,2018-09-15,3,@,San Diego State,L,3,28
Arkansas,2018-09-15,3,,North Texas,L,5,44
Arkansas State,2018-09-15,3,@,Tulsa,W,2,20
Army,2018-09-15,3,,Hawaii,W,3,21
Auburn,2018-09-15,3,,Louisiana State,L,2,22
Ball State,2018-09-15,3,@,Indiana,L,5,38
Baylor,2018-09-15,3,,Duke,L,4,40
Boise State,2018-09-15,3,@,Oklahoma State,L,5,44
Bowling Green State,2018-09-15,3,,Eastern Kentucky,W,5,35
Brigham Young,2018-09-15,3,@,Wisconsin,W,3,21
Buffalo,2018-09-15,3,,Eastern Michigan,W,4,28
California,2018-09-15,3,,Idaho State,W,3,23
Central Michigan,2018-09-15,3,@,Northern Illinois,L,3,24
Cincinnati,2018-09-15,3,,Alabama A&M,W,1,7
Clemson,2018-09-15,3,,Georgia Southern,W,1,7
Colorado,2018-09-15,3,,New Hampshire,W,2,14
Colorado State,2018-09-15,4,@,Florida,L,6,48
Connecticut,2018-09-15,3,,Rhode Island,W,7,49
Duke,2018-09-15,3,@,Baylor,W,4,27
Eastern Michigan,2018-09-15,3,@,Buffalo,L,5,35
Florida,2018-09-15,3,,Colorado State,W,1,10
Florida Atlantic,2018-09-15,3,,Bethune-Cookman,W,4,28
Florida International,2018-09-15,3,,Massachusetts,W,3,24
Florida State,2018-09-15,3,@,Syracuse,L,3,30
Fresno State,2018-09-15,3,@,UCLA,W,2,14
Georgia,2018-09-15,3,,Middle Tennessee State,W,1,7
Georgia Southern,2018-09-15,3,@,Clemson,L,5,38
Georgia Tech,2018-09-15,3,@,Pittsburgh,L,3,24
Hawaii,2018-09-15,4,@,Army,L,4,28
Houston,2018-09-15,3,@,Texas Tech,L,9,63
Illinois,2018-09-15,3,N,South Florida,L,3,25
Indiana,2018-09-15,3,,Ball State,W,1,10
Iowa,2018-09-15,3,,Northern Iowa,W,2,14
Iowa State,2018-09-15,2,,Oklahoma,L,4,37
Kansas,2018-09-15,3,,Rutgers,W,2,14
Kansas State,2018-09-15,3,,Texas-San Antonio,W,2,17
Kent State,2018-09-15,3,@,Penn State,L,9,63
Kentucky,2018-09-15,3,,Murray State,W,1,10
Louisiana,2018-09-15,2,@,Mississippi State,L,8,56
Louisiana-Monroe,2018-09-15,3,@,Texas A&M,L,6,48
Louisville,2018-09-15,3,,Western Kentucky,W,2,17
LSU,2018-09-15,3,@,Auburn,W,3,21
Maryland,2018-09-15,3,,Temple,L,5,35
Massachusetts,2018-09-15,4,@,Florida International,L,9,63
Miami (FL),2018-09-15,3,@,Toledo,W,3,24
Miami (OH),2018-09-15,3,@,Minnesota,L,3,26
Michigan,2018-09-15,3,,Southern Methodist,W,3,20
Middle Tennessee State,2018-09-15,3,@,Georgia,L,7,49
Minnesota,2018-09-15,3,,Miami (OH),W,0,3
Mississippi State,2018-09-15,3,,Louisiana,W,1,10
Missouri,2018-09-15,3,@,Purdue,W,4,37
Navy,2018-09-15,3,,Lehigh,W,3,21
Nebraska,2018-09-15,2,,Troy,L,3,24
Nevada,2018-09-15,3,,Oregon State,W,5,35
New Mexico,2018-09-15,3,@,New Mexico State,W,3,25
New Mexico State,2018-09-15,4,,New Mexico,L,6,42
North Texas,2018-09-15,3,@,Arkansas,W,2,17
Northern Illinois,2018-09-15,3,,Central Michigan,W,2,16
Northwestern,2018-09-15,3,,Akron,L,5,39
Notre Dame,2018-09-15,3,,Vanderbilt,W,2,17
Ohio,2018-09-15,2,N,Virginia,L,6,45
Ohio State,2018-09-15,3,N,Texas Christian,W,4,28
Oklahoma,2018-09-15,3,@,Iowa State,W,3,27
Oklahoma State,2018-09-15,3,,Boise State,W,3,21
Ole Miss,2018-09-15,3,,Alabama,L,8,62
Oregon,2018-09-15,3,,San Jose State,W,2,22
Oregon State,2018-09-15,3,@,Nevada,L,5,37
Penn State,2018-09-15,3,,Kent State,W,1,10
Pitt,2018-09-15,3,,Georgia Tech,W,3,19
Purdue,2018-09-15,3,,Missouri,L,4,40
Rutgers,2018-09-15,3,@,Kansas,L,7,55
San Diego State,2018-09-15,3,,Arizona State,W,3,21
San Jose State,2018-09-15,3,@,Oregon,L,5,35
SMU,2018-09-15,3,@,Michigan,L,6,45
South Alabama,2018-09-15,3,,Texas State,W,4,31
South Florida,2018-09-15,3,N,Illinois,W,1,19
Stanford,2018-09-15,3,,California-Davis,W,1,10
Syracuse,2018-09-15,3,,Florida State,W,1,7
Temple,2018-09-15,3,@,Maryland,W,2,14
Tennessee,2018-09-15,3,,Texas-El Paso,W,0,0
Texas,2018-09-15,3,,Southern California,W,2,14
Texas A&M,2018-09-15,3,,Louisiana-Monroe,W,1,10
Texas Christian,2018-09-15,3,N,Ohio State,L,5,40
Texas State,2018-09-15,3,@,South Alabama,L,5,41
Texas Tech,2018-09-15,3,,Houston,W,7,49
Toledo,2018-09-15,2,,Miami (FL),L,7,49
Troy,2018-09-15,3,@,Nebraska,W,2,19
Tulane,2018-09-15,3,@,Alabama-Birmingham,L,4,31
Tulsa,2018-09-15,3,,Arkansas State,L,3,29
UAB,2018-09-15,3,,Tulane,W,3,24
UCLA,2018-09-15,3,,Fresno State,L,5,38
UNLV,2018-09-15,3,,Prairie View A&M,W,2,17
USC,2018-09-15,3,@,Texas,L,4,37
Utah,2018-09-15,3,,Washington,L,3,21
UTEP,2018-09-15,3,@,Tennessee,L,3,24
UTSA,2018-09-15,3,@,Kansas State,L,5,41
Vanderbilt,2018-09-15,3,@,Notre Dame,L,2,22
Virginia,2018-09-15,3,N,Ohio,W,4,31
Washington,2018-09-15,3,@,Utah,W,1,7
Washington State,2018-09-15,3,,Eastern Washington,W,3,24
Western Kentucky,2018-09-15,3,@,Louisville,L,2,20
Western Michigan,2018-09-15,3,,Delaware State,W,0,0
Wisconsin,2018-09-15,3,,Brigham Young,L,3,24
Wyoming,2018-09-15,4,,Wofford,W,2,14
Temple,2018-09-20,4,,Tulsa,W,2,17
Tulsa,2018-09-20,4,@,Temple,L,4,31
Florida Atlantic,2018-09-21,4,@,Central Florida,L,8,56
Illinois,2018-09-21,4,,Penn State,L,9,63
Penn State,2018-09-21,4,@,Illinois,W,3,24
UCF,2018-09-21,3,,Florida Atlantic,W,5,36
USC,2018-09-21,4,,Washington State,W,5,36
Washington State,2018-09-21,4,@,Southern California,L,5,39
Air Force,2018-09-22,3,@,Utah State,L,6,42
Akron,2018-09-22,3,@,Iowa State,L,2,26
Alabama,2018-09-22,4,,Texas A&M,W,2,23
Appalachian State,2018-09-22,3,,Gardner-Webb,W,1,7
Arizona,2018-09-22,4,@,Oregon State,W,2,14
Arizona State,2018-09-22,4,@,Washington,L,3,27
Arkansas,2018-09-22,4,@,Auburn,L,4,34
Arkansas State,2018-09-22,4,,Nevada-Las Vegas,W,3,20
Army,2018-09-22,4,@,Oklahoma,L,4,28
Auburn,2018-09-22,4,,Arkansas,W,0,3
Ball State,2018-09-22,4,,Western Kentucky,L,4,28
Baylor,2018-09-22,4,,Kansas,W,1,7
Boston College,2018-09-22,4,@,Purdue,L,4,30
Bowling Green State,2018-09-22,4,,Miami (OH),L,5,38
Brigham Young,2018-09-22,4,,McNeese State,W,0,3
Buffalo,2018-09-22,4,@,Rutgers,W,1,13
Central Michigan,2018-09-22,4,,Maine,W,0,5
Charlotte,2018-09-22,4,@,Massachusetts,L,7,49
Cincinnati,2018-09-22,4,,Ohio,W,3,30
Clemson,2018-09-22,4,@,Georgia Tech,W,3,21
Coastal Carolina,2018-09-22,4,@,Louisiana,W,4,28
Colorado State,2018-09-22,5,,Illinois State,L,5,35
Connecticut,2018-09-22,4,@,Syracuse,L,6,51
Duke,2018-09-22,4,,North Carolina Central,W,2,13
East Carolina,2018-09-22,3,@,South Florida,L,3,20
Eastern Michigan,2018-09-22,4,@,San Diego State,L,2,23
Florida,2018-09-22,4,@,Tennessee,W,2,21
Florida International,2018-09-22,4,@,Miami (FL),L,4,31
Florida State,2018-09-22,4,,Northern Illinois,W,3,19
Georgia,2018-09-22,4,@,Missouri,W,4,29
Georgia State,2018-09-22,4,,Western Michigan,L,4,34
Georgia Tech,2018-09-22,4,,Clemson,L,7,49
Hawaii,2018-09-22,5,,Duquesne,W,3,21
Houston,2018-09-22,4,,Texas Southern,W,2,14
Indiana,2018-09-22,4,,Michigan State,L,5,35
Iowa,2018-09-22,4,,Wisconsin,L,4,28
Iowa State,2018-09-22,3,,Akron,W,1,13
Kansas,2018-09-22,4,@,Baylor,L,3,26
Kansas State,2018-09-22,4,@,West Virginia,L,5,35
Kent State,2018-09-22,4,@,Mississippi,L,5,38
Kentucky,2018-09-22,4,,Mississippi State,W,1,7
Liberty,2018-09-22,3,,North Texas,L,7,47
Louisiana,2018-09-22,3,,Coastal Carolina,L,4,30
Louisiana Tech,2018-09-22,3,@,Louisiana State,L,5,38
Louisiana-Monroe,2018-09-22,4,,Troy,L,5,35
Louisville,2018-09-22,4,@,Virginia,L,3,27
LSU,2018-09-22,4,,Louisiana Tech,W,3,21
Marshall,2018-09-22,3,,North Carolina State,L,4,37
Maryland,2018-09-22,4,,Minnesota,W,1,13
Massachusetts,2018-09-22,5,,Charlotte,W,4,31
Memphis,2018-09-22,4,,South Alabama,W,5,35
Miami (FL),2018-09-22,4,,Florida International,W,2,17
Miami (OH),2018-09-22,4,@,Bowling Green State,W,3,23
Michigan,2018-09-22,4,,Nebraska,W,1,10
Michigan State,2018-09-22,3,@,Indiana,W,2,21
Minnesota,2018-09-22,4,@,Maryland,L,6,42
Mississippi State,2018-09-22,4,@,Kentucky,L,4,28
Missouri,2018-09-22,4,,Georgia,L,5,43
Navy,2018-09-22,4,@,Southern Methodist,L,4,31
Nebraska,2018-09-22,3,@,Michigan,L,7,56
Nevada,2018-09-22,4,@,Toledo,L,9,63
New Mexico State,2018-09-22,5,@,Texas-El Paso,W,2,20
North Carolina,2018-09-22,3,,Pittsburgh,W,5,35
North Carolina State,2018-09-22,3,@,Marshall,W,2,20
North Texas,2018-09-22,4,@,Liberty,W,1,7
Northern Illinois,2018-09-22,4,@,Florida State,L,4,37
Notre Dame,2018-09-22,4,@,Wake Forest,W,3,27
Ohio,2018-09-22,3,@,Cincinnati,L,5,34
Ohio State,2018-09-22,4,,Tulane,W,1,6
Oklahoma,2018-09-22,4,,Army,W,3,21
Oklahoma State,2018-09-22,4,,Texas Tech,L,5,41
Old Dominion,2018-09-22,4,,Virginia Tech,W,5,35
Ole Miss,2018-09-22,4,,Kent State,W,2,17
Oregon,2018-09-22,4,,Stanford,L,5,38
Oregon State,2018-09-22,4,,Arizona,L,5,35
Pitt,2018-09-22,4,@,North Carolina,L,5,38
Purdue,2018-09-22,4,,Boston College,W,2,13
Rice,2018-09-22,4,@,Southern Mississippi,L,5,40
Rutgers,2018-09-22,4,,Buffalo,L,6,42
San Diego State,2018-09-22,4,,Eastern Michigan,W,2,20
SMU,2018-09-22,4,,Navy,W,4,30
South Alabama,2018-09-22,4,@,Memphis,L,7,52
South Carolina,2018-09-22,3,@,Vanderbilt,W,2,14
South Florida,2018-09-22,4,,East Carolina,W,1,13
Southern Mississippi,2018-09-22,3,,Rice,W,3,22
Stanford,2018-09-22,4,@,Oregon,W,4,31
Syracuse,2018-09-22,4,,Connecticut,W,3,21
Tennessee,2018-09-22,4,,Florida,L,6,47
Texas,2018-09-22,4,,Texas Christian,W,1,16
Texas A&M,2018-09-22,4,@,Alabama,L,6,45
Texas Christian,2018-09-22,4,@,Texas,L,4,31
Texas State,2018-09-22,4,@,Texas-San Antonio,L,2,25
Texas Tech,2018-09-22,4,@,Oklahoma State,W,2,17
Toledo,2018-09-22,3,,Nevada,W,6,44
Troy,2018-09-22,4,@,Louisiana-Monroe,W,4,27
Tulane,2018-09-22,4,@,Ohio State,L,7,49
UNLV,2018-09-22,4,@,Arkansas State,L,4,27
Utah State,2018-09-22,4,,Air Force,W,4,32
UTEP,2018-09-22,4,,New Mexico State,L,3,27
UTSA,2018-09-22,4,,Texas State,W,3,21
Vanderbilt,2018-09-22,4,,South Carolina,L,4,37
Virginia,2018-09-22,4,,Louisville,W,0,3
Virginia Tech,2018-09-22,3,@,Old Dominion,L,7,49
Wake Forest,2018-09-22,4,,Notre Dame,L,8,56
Washington,2018-09-22,4,,Arizona State,W,2,20
West Virginia,2018-09-22,3,,Kansas State,W,0,6
