School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Florida,2016-09-03,1,,Massachusetts,W,1,7
Florida Atlantic,2016-09-03,1,,Southern Illinois,W,4,30
Fresno State,2016-09-03,1,@,Nebraska,L,6,43
Georgia,2016-09-03,1,N,North Carolina,W,3,24
Georgia Southern,2016-09-03,1,,Savannah State,W,0,0
Georgia Tech,2016-09-03,1,N,Boston College,W,2,14
Hawaii,2016-09-03,2,@,Michigan,L,9,63
Houston,2016-09-03,1,N,Oklahoma,W,3,23
Illinois,2016-09-03,1,,Murray State,W,0,3
Iowa,2016-09-03,1,,Miami (OH),W,3,21
Iowa State,2016-09-03,1,,Northern Iowa,L,3,25
Kansas,2016-09-03,1,,Rhode Island,W,1,6
Kent State,2016-09-03,1,@,Penn State,L,4,33
Kentucky,2016-09-03,1,,Southern Mississippi,L,5,44
Louisiana,2016-09-03,1,,Boise State,L,6,45
Louisiana Tech,2016-09-03,1,@,Arkansas,L,3,21
Louisiana-Monroe,2016-09-03,1,,Southern,W,2,21
LSU,2016-09-03,1,N,Wisconsin,L,1,16
Maryland,2016-09-03,1,,Howard,W,2,13
Massachusetts,2016-09-03,1,@,Florida,L,2,24
Memphis,2016-09-03,1,,Southeast Missouri State,W,2,17
Miami (FL),2016-09-03,1,,Florida A&M,W,0,3
Miami (OH),2016-09-03,1,@,Iowa,L,6,45
Michigan,2016-09-03,1,,Hawaii,W,0,3
Middle Tennessee State,2016-09-03,1,,Alabama A&M,W,0,0
Mississippi State,2016-09-03,1,,South Alabama,L,3,21
Missouri,2016-09-03,1,@,West Virginia,L,2,26
Navy,2016-09-03,1,,Fordham,W,1,16
Nebraska,2016-09-03,1,,Fresno State,W,1,10
New Mexico State,2016-09-03,1,@,Texas-El Paso,L,5,38
North Carolina,2016-09-03,1,N,Georgia,L,4,33
North Texas,2016-09-03,1,,Southern Methodist,L,4,34
Northern Illinois,2016-09-03,1,@,Wyoming,L,5,40
Northwestern,2016-09-03,1,,Western Michigan,L,2,22
Ohio,2016-09-03,1,,Texas State,L,7,56
Ohio State,2016-09-03,1,,Bowling Green State,W,1,10
Oklahoma,2016-09-03,1,N,Houston,L,3,33
Oklahoma State,2016-09-03,1,,Southeastern Louisiana,W,1,7
Oregon,2016-09-03,1,,California-Davis,W,4,28
Penn State,2016-09-03,1,,Kent State,W,1,13
Pitt,2016-09-03,1,,Villanova,W,1,7
Purdue,2016-09-03,1,,Eastern Kentucky,W,3,24
Rutgers,2016-09-03,1,@,Washington,L,6,48
San Diego State,2016-09-03,1,,New Hampshire,W,0,0
San Jose State,2016-09-03,1,@,Tulsa,L,6,45
SMU,2016-09-03,1,@,North Texas,W,3,21
South Alabama,2016-09-03,1,@,Mississippi State,W,2,20
South Florida,2016-09-03,1,,Towson,W,2,20
Southern Mississippi,2016-09-03,1,@,Kentucky,W,5,35
Texas A&M,2016-09-03,1,,UCLA,W,2,24
Texas Christian,2016-09-03,1,,South Dakota State,W,5,41
Texas State,2016-09-03,1,@,Ohio,W,6,54
Texas Tech,2016-09-03,1,,Stephen F. Austin,W,2,17
Troy,2016-09-03,1,,Austin Peay,W,2,17
Tulsa,2016-09-03,1,,San Jose State,W,1,10
UCF,2016-09-03,1,,South Carolina State,W,0,0
UCLA,2016-09-03,1,@,Texas A&M,L,4,31
USC,2016-09-03,1,N,Alabama,L,7,52
UTEP,2016-09-03,1,,New Mexico State,W,3,22
UTSA,2016-09-03,1,,Alabama State,W,2,13
Virginia,2016-09-03,1,,Richmond,L,4,37
Virginia Tech,2016-09-03,1,,Liberty,W,2,13
Washington,2016-09-03,1,,Rutgers,W,1,13
Washington State,2016-09-03,1,,Eastern Washington,L,6,45
West Virginia,2016-09-03,1,,Missouri,W,1,11
Western Michigan,2016-09-03,1,@,Northwestern,W,3,21
Wisconsin,2016-09-03,1,N,Louisiana State,W,2,14
Wyoming,2016-09-03,1,,Northern Illinois,W,5,34
Notre Dame,2016-09-04,1,@,Texas,L,7,50
Old Dominion,2016-09-04,1,,Hampton,W,3,21
Texas,2016-09-04,1,,Notre Dame,W,6,47
Florida State,2016-09-05,1,N,Mississippi,W,5,34
Ole Miss,2016-09-05,1,N,Florida State,L,4,45
Florida International,2016-09-09,2,,Maryland,L,5,41
Louisville,2016-09-09,2,@,Syracuse,W,4,28
Maryland,2016-09-09,2,@,Florida International,W,2,14
Syracuse,2016-09-09,2,,Louisville,L,8,62
Air Force,2016-09-10,2,,Georgia State,W,2,14
Akron,2016-09-10,2,@,Wisconsin,L,7,54
Alabama,2016-09-10,2,,Western Kentucky,W,1,10
Appalachian State,2016-09-10,2,,Old Dominion,W,1,7
Arizona,2016-09-10,2,,Grambling State,W,3,21
Arizona State,2016-09-10,2,,Texas Tech,W,8,55
Arkansas,2016-09-10,2,@,Texas Christian,W,5,38
Arkansas State,2016-09-10,2,@,Auburn,L,6,51
Army,2016-09-10,2,,Rice,W,2,14
Auburn,2016-09-10,2,,Arkansas State,W,2,14
Ball State,2016-09-10,2,@,Indiana,L,3,30
Baylor,2016-09-10,2,,Southern Methodist,W,1,13
Boise State,2016-09-10,2,,Washington State,W,4,28
Boston College,2016-09-10,2,@,Massachusetts,W,1,7
Bowling Green State,2016-09-10,2,,North Dakota,W,3,26
Brigham Young,2016-09-10,2,@,Utah,L,2,20
California,2016-09-10,2,@,San Diego State,L,6,45
Central Michigan,2016-09-10,2,@,Oklahoma State,W,3,27
Charlotte,2016-09-10,2,,Elon,W,2,14
Cincinnati,2016-09-10,2,@,Purdue,W,3,20
Clemson,2016-09-10,2,,Troy,W,3,24
Colorado,2016-09-10,2,,Idaho State,W,1,7
Colorado State,2016-09-10,2,,Texas-San Antonio,W,2,14
Connecticut,2016-09-10,2,@,Navy,L,4,28
Duke,2016-09-10,2,,Wake Forest,L,3,24
East Carolina,2016-09-10,2,,North Carolina State,W,4,30
Eastern Michigan,2016-09-10,2,@,Missouri,L,9,61
Florida,2016-09-10,2,,Kentucky,W,1,7
Florida Atlantic,2016-09-10,2,@,Miami (FL),L,5,38
Florida State,2016-09-10,2,,Charleston Southern,W,1,8
Fresno State,2016-09-10,2,,Sacramento State,W,0,3
Georgia,2016-09-10,2,,Nicholls State,W,3,24
Georgia Southern,2016-09-10,2,@,South Alabama,W,0,9
Georgia State,2016-09-10,2,@,Air Force,L,6,48
Georgia Tech,2016-09-10,2,,Mercer,W,1,10
Hawaii,2016-09-10,3,,Tennessee-Martin,W,5,36
Houston,2016-09-10,2,,Lamar,W,0,0
Idaho,2016-09-10,2,@,Washington,L,8,59
Illinois,2016-09-10,2,,North Carolina,L,6,48
Indiana,2016-09-10,2,,Ball State,W,2,20
Iowa,2016-09-10,2,,Iowa State,W,0,3
Iowa State,2016-09-10,2,@,Iowa,L,6,42
Kansas,2016-09-10,2,,Ohio,L,3,37
Kent State,2016-09-10,2,,North Carolina A&T,L,5,39
Kentucky,2016-09-10,2,@,Florida,L,6,45
Louisiana,2016-09-10,2,,McNeese State,W,2,22
Louisiana Tech,2016-09-10,2,,South Carolina State,W,3,24
Louisiana-Monroe,2016-09-10,2,@,Oklahoma,L,8,59
LSU,2016-09-10,2,,Jacksonville State,W,1,13
Marshall,2016-09-10,1,,Morgan State,W,0,0
Massachusetts,2016-09-10,2,,Boston College,L,3,26
Miami (FL),2016-09-10,2,,Florida Atlantic,W,1,10
Miami (OH),2016-09-10,2,,Eastern Illinois,L,3,21
Michigan,2016-09-10,2,,Central Florida,W,2,14
Middle Tennessee State,2016-09-10,2,@,Vanderbilt,L,6,47
Minnesota,2016-09-10,2,,Indiana State,W,4,28
Mississippi State,2016-09-10,2,,South Carolina,W,2,14
Missouri,2016-09-10,2,,Eastern Michigan,W,3,21
Navy,2016-09-10,2,,Connecticut,W,3,24
Nebraska,2016-09-10,2,,Wyoming,W,2,17
Nevada,2016-09-10,2,@,Notre Dame,L,5,39
New Mexico,2016-09-10,2,@,New Mexico State,L,3,32
New Mexico State,2016-09-10,2,,New Mexico,W,4,31
North Carolina,2016-09-10,2,@,Illinois,W,3,23
North Carolina State,2016-09-10,2,@,East Carolina,L,4,33
North Texas,2016-09-10,2,,Bethune-Cookman,W,3,20
Northern Illinois,2016-09-10,2,@,South Florida,L,6,48
Northwestern,2016-09-10,2,,Illinois State,L,1,9
Notre Dame,2016-09-10,2,,Nevada,W,1,10
Ohio,2016-09-10,2,@,Kansas,W,3,21
Ohio State,2016-09-10,2,,Tulsa,W,0,3
Oklahoma,2016-09-10,2,,Louisiana-Monroe,W,2,17
Oklahoma State,2016-09-10,2,,Central Michigan,L,4,30
Old Dominion,2016-09-10,2,@,Appalachian State,L,4,31
Ole Miss,2016-09-10,2,,Wofford,W,1,13
Oregon,2016-09-10,2,,Virginia,W,4,26
Penn State,2016-09-10,2,@,Pittsburgh,L,6,42
Pitt,2016-09-10,2,,Penn State,W,5,39
Purdue,2016-09-10,2,,Cincinnati,L,5,38
Rice,2016-09-10,2,@,Army,L,4,31
Rutgers,2016-09-10,2,,Howard,W,2,14
San Diego State,2016-09-10,2,,California,W,5,40
San Jose State,2016-09-10,2,,Portland State,W,5,35
SMU,2016-09-10,2,@,Baylor,L,5,40
South Alabama,2016-09-10,2,,Georgia Southern,L,3,24
South Carolina,2016-09-10,2,@,Mississippi State,L,3,27
South Florida,2016-09-10,2,,Northern Illinois,W,2,17
Southern Mississippi,2016-09-10,2,,Savannah State,W,0,0
Temple,2016-09-10,2,,Stony Brook,W,0,0
Tennessee,2016-09-10,2,N,Virginia Tech,W,3,24
Texas,2016-09-10,2,,Texas-El Paso,W,1,7
Texas A&M,2016-09-10,2,,Prairie View A&M,W,0,0
Texas Christian,2016-09-10,2,,Arkansas,L,5,41
Texas Tech,2016-09-10,2,@,Arizona State,L,9,68
Toledo,2016-09-10,2,,Maine,W,0,3
Troy,2016-09-10,2,@,Clemson,L,3,30
Tulane,2016-09-10,2,,Southern,W,3,21
Tulsa,2016-09-10,2,@,Ohio State,L,6,48
UCF,2016-09-10,2,@,Michigan,L,6,51
UCLA,2016-09-10,2,,Nevada-Las Vegas,W,3,21
UNLV,2016-09-10,2,@,UCLA,L,6,42
USC,2016-09-10,2,,Utah State,W,1,7
Utah,2016-09-10,2,,Brigham Young,W,2,19
Utah State,2016-09-10,2,@,Southern California,L,6,45
UTEP,2016-09-10,2,@,Texas,L,5,41
UTSA,2016-09-10,2,@,Colorado State,L,2,23
Vanderbilt,2016-09-10,2,,Middle Tennessee State,W,3,24
Virginia,2016-09-10,2,@,Oregon,L,6,44
Virginia Tech,2016-09-10,2,N,Tennessee,L,6,45
Wake Forest,2016-09-10,2,@,Duke,W,2,14
Washington,2016-09-10,2,,Idaho,W,2,14
Washington State,2016-09-10,2,@,Boise State,L,4,31
West Virginia,2016-09-10,2,,Youngstown State,W,3,21
Western Kentucky,2016-09-10,2,@,Alabama,L,5,38
Western Michigan,2016-09-10,2,,North Carolina Central,W,3,21
Wisconsin,2016-09-10,2,,Akron,W,1,10
Wyoming,2016-09-10,2,@,Nebraska,L,7,52
Cincinnati,2016-09-15,3,,Houston,L,5,40
Houston,2016-09-15,3,@,Cincinnati,W,2,16
Arizona State,2016-09-16,3,@,Texas-San Antonio,W,4,28
Arkansas State,2016-09-16,3,@,Utah State,L,4,34
Baylor,2016-09-16,3,@,Rice,W,1,10
Rice,2016-09-16,3,,Baylor,L,5,38
Utah State,2016-09-16,3,,Arkansas State,W,2,20
UTSA,2016-09-16,3,,Arizona State,L,3,32
Akron,2016-09-17,3,@,Marshall,W,5,38
Alabama,2016-09-17,3,@,Mississippi,W,5,43
Appalachian State,2016-09-17,3,,Miami (FL),L,6,45
Arizona,2016-09-17,3,,Hawaii,W,4,28
Arkansas,2016-09-17,3,,Texas State,W,0,3
Army,2016-09-17,3,@,Texas-El Paso,W,2,14
Auburn,2016-09-17,3,,Texas A&M,L,2,29
Ball State,2016-09-17,3,,Eastern Kentucky,W,2,14
Boston College,2016-09-17,3,@,Virginia Tech,L,7,49
Bowling Green State,2016-09-17,3,,Middle Tennessee State,L,6,41
Brigham Young,2016-09-17,3,,UCLA,L,2,17
Buffalo,2016-09-17,2,@,Nevada,L,5,38
California,2016-09-17,3,,Texas,W,5,43
Central Michigan,2016-09-17,3,,Nevada-Las Vegas,W,3,21
Charlotte,2016-09-17,3,,Eastern Michigan,L,4,37
Clemson,2016-09-17,3,,South Carolina State,W,0,0
Colorado,2016-09-17,3,@,Michigan,L,6,45
Colorado State,2016-09-17,3,,Northern Colorado,W,3,21
Connecticut,2016-09-17,3,,Virginia,W,1,10
Duke,2016-09-17,3,@,Northwestern,L,3,24
East Carolina,2016-09-17,3,@,South Carolina,L,2,20
Eastern Michigan,2016-09-17,3,@,Charlotte,W,2,19
Florida,2016-09-17,3,,North Texas,W,0,0
Florida Atlantic,2016-09-17,3,@,Kansas State,L,9,63
Florida International,2016-09-17,3,@,Massachusetts,L,3,21
Florida State,2016-09-17,3,@,Louisville,L,9,63
Fresno State,2016-09-17,3,@,Toledo,L,7,52
Georgia,2016-09-17,3,@,Missouri,W,3,27
Georgia Southern,2016-09-17,3,,Louisiana-Monroe,W,3,21
Georgia State,2016-09-17,3,@,Wisconsin,L,2,23
Georgia Tech,2016-09-17,3,,Vanderbilt,W,1,7
Hawaii,2016-09-17,4,@,Arizona,L,6,47
Idaho,2016-09-17,3,@,Washington State,L,8,56
Illinois,2016-09-17,3,,Western Michigan,L,4,34
Iowa,2016-09-17,3,,North Dakota State,L,3,23
Iowa State,2016-09-17,3,@,Texas Christian,L,5,41
Kansas,2016-09-17,3,@,Memphis,L,5,43
Kansas State,2016-09-17,2,,Florida Atlantic,W,1,7
Kent State,2016-09-17,3,,Monmouth,W,1,7
Kentucky,2016-09-17,3,,New Mexico State,W,6,42
Louisiana,2016-09-17,3,,South Alabama,W,3,23
Louisiana Tech,2016-09-17,3,@,Texas Tech,L,8,59
Louisiana-Monroe,2016-09-17,3,@,Georgia Southern,L,2,23
Louisville,2016-09-17,3,,Florida State,W,2,20
LSU,2016-09-17,3,,Mississippi State,W,2,20
Marshall,2016-09-17,2,,Akron,L,9,65
Maryland,2016-09-17,3,@,Central Florida,W,3,24
Massachusetts,2016-09-17,3,,Florida International,W,1,13
Memphis,2016-09-17,2,,Kansas,W,1,7
Miami (FL),2016-09-17,3,@,Appalachian State,W,1,10
Miami (OH),2016-09-17,3,,Western Kentucky,L,4,31
Michigan,2016-09-17,3,,Colorado,W,4,28
Michigan State,2016-09-17,2,@,Notre Dame,W,4,28
Middle Tennessee State,2016-09-17,3,@,Bowling Green State,W,3,21
Mississippi State,2016-09-17,3,@,Louisiana State,L,3,23
Missouri,2016-09-17,3,,Georgia,L,4,28
Navy,2016-09-17,3,@,Tulane,W,2,14
Nebraska,2016-09-17,3,,Oregon,W,5,32
Nevada,2016-09-17,3,,Buffalo,W,2,14
New Mexico,2016-09-17,3,@,Rutgers,L,4,37
New Mexico State,2016-09-17,3,@,Kentucky,L,9,62
North Carolina,2016-09-17,3,,James Madison,W,4,28
North Carolina State,2016-09-17,3,,Old Dominion,W,3,22
North Texas,2016-09-17,3,@,Florida,L,4,32
Northern Illinois,2016-09-17,3,,San Diego State,L,6,42
Northwestern,2016-09-17,3,,Duke,W,2,13
Notre Dame,2016-09-17,3,,Michigan State,L,5,36
Ohio,2016-09-17,3,@,Tennessee,L,4,28
Ohio State,2016-09-17,3,@,Oklahoma,W,3,24
Oklahoma,2016-09-17,3,,Ohio State,L,6,45
Oklahoma State,2016-09-17,3,,Pittsburgh,W,5,38
Old Dominion,2016-09-17,3,@,North Carolina State,L,7,49
Ole Miss,2016-09-17,3,,Alabama,L,6,48
Oregon,2016-09-17,3,@,Nebraska,L,5,35
Oregon State,2016-09-17,2,,Idaho State,W,1,7
Penn State,2016-09-17,3,,Temple,W,3,27
Pitt,2016-09-17,3,@,Oklahoma State,L,6,45
Rutgers,2016-09-17,3,,New Mexico,W,4,28
San Diego State,2016-09-17,3,@,Northern Illinois,W,4,28
San Jose State,2016-09-17,3,,Utah,L,4,34
SMU,2016-09-17,3,,Liberty,W,2,14
South Alabama,2016-09-17,3,@,Louisiana,L,4,28
South Carolina,2016-09-17,3,,East Carolina,W,1,15
South Florida,2016-09-17,3,@,Syracuse,W,2,20
Southern Mississippi,2016-09-17,3,,Troy,L,4,37
Stanford,2016-09-17,2,,Southern California,W,1,10
Syracuse,2016-09-17,3,,South Florida,L,6,45
Temple,2016-09-17,3,@,Penn State,L,4,34
Tennessee,2016-09-17,3,,Ohio,W,1,19
Texas,2016-09-17,3,@,California,L,7,50
Texas A&M,2016-09-17,3,@,Auburn,W,2,16
Texas Christian,2016-09-17,3,,Iowa State,W,2,20
Texas State,2016-09-17,2,@,Arkansas,L,6,42
Texas Tech,2016-09-17,3,,Louisiana Tech,W,6,45
Toledo,2016-09-17,3,,Fresno State,W,2,17
Troy,2016-09-17,3,@,Southern Mississippi,W,4,31
Tulane,2016-09-17,3,,Navy,L,3,21
Tulsa,2016-09-17,3,,North Carolina A&T,W,3,21
UCF,2016-09-17,3,,Maryland,L,4,30
UCLA,2016-09-17,3,@,Brigham Young,W,2,14
UNLV,2016-09-17,3,@,Central Michigan,L,6,44
USC,2016-09-17,3,@,Stanford,L,3,27
Utah,2016-09-17,3,@,San Jose State,W,2,17
UTEP,2016-09-17,3,,Army,L,9,66
Vanderbilt,2016-09-17,3,@,Georgia Tech,L,5,38
Virginia,2016-09-17,3,@,Connecticut,L,1,13
Virginia Tech,2016-09-17,3,,Boston College,W,0,0
Wake Forest,2016-09-17,3,,Delaware,W,4,21
Washington,2016-09-17,3,,Portland State,W,0,3
Washington State,2016-09-17,3,,Idaho,W,0,6
Western Kentucky,2016-09-17,3,@,Miami (OH),W,3,24
Western Michigan,2016-09-17,3,@,Illinois,W,1,10
Wisconsin,2016-09-17,3,,Georgia State,W,2,17
Wyoming,2016-09-17,3,,California-Davis,W,3,22
Clemson,2016-09-22,4,@,Georgia Tech,W,1,7
Georgia Tech,2016-09-22,4,,Clemson,L,3,26
Eastern Michigan,2016-09-23,4,,Wyoming,W,3,24
SMU,2016-09-23,4,,Texas Christian,L,3,33
Texas Christian,2016-09-23,4,@,Southern Methodist,W,0,3
USC,2016-09-23,4,@,Utah,L,4,31
Utah,2016-09-23,4,,Southern California,W,3,27
Wyoming,2016-09-23,4,@,Eastern Michigan,L,3,27
Air Force,2016-09-24,3,@,Utah State,W,2,20
Akron,2016-09-24,4,,Appalachian State,L,6,45
Alabama,2016-09-24,4,,Kent State,W,0,0
Appalachian State,2016-09-24,4,@,Akron,W,5,38
Arizona,2016-09-24,4,,Washington,L,5,35
Arizona State,2016-09-24,4,,California,W,5,41
Arkansas,2016-09-24,4,N,Texas A&M,L,6,45
Arkansas State,2016-09-24,4,,Central Arkansas,L,3,28
Army,2016-09-24,4,@,Buffalo,L,3,23
Auburn,2016-09-24,4,,Louisiana State,W,1,13
Ball State,2016-09-24,4,@,Florida Atlantic,W,3,27
Baylor,2016-09-24,4,,Oklahoma State,W,3,24
Boise State,2016-09-24,3,@,Oregon State,W,3,24
Boston College,2016-09-24,4,,Wagner,W,1,10
Bowling Green State,2016-09-24,4,@,Memphis,L,11,77
Brigham Young,2016-09-24,4,N,West Virginia,L,5,35
Buffalo,2016-09-24,3,,Army,W,2,20
California,2016-09-24,4,@,Arizona State,L,5,51
Central Michigan,2016-09-24,4,@,Virginia,L,7,49
Charlotte,2016-09-24,4,@,Temple,L,6,48
Cincinnati,2016-09-24,4,,Miami (OH),W,2,20
Colorado,2016-09-24,4,@,Oregon,W,5,38
Colorado State,2016-09-24,4,@,Minnesota,L,4,31
Connecticut,2016-09-24,4,,Syracuse,L,4,31
Duke,2016-09-24,4,@,Notre Dame,W,5,35
East Carolina,2016-09-24,4,@,Virginia Tech,L,7,54
Florida,2016-09-24,4,@,Tennessee,L,5,38
Florida Atlantic,2016-09-24,4,,Ball State,L,4,31
Florida International,2016-09-24,4,,Central Florida,L,7,53
Florida State,2016-09-24,4,@,South Florida,W,5,35
Fresno State,2016-09-24,4,,Tulsa,L,6,48
Georgia,2016-09-24,4,@,Mississippi,L,6,45
Georgia Southern,2016-09-24,4,@,Western Michigan,L,7,49
Houston,2016-09-24,4,@,Texas State,W,0,3
Idaho,2016-09-24,4,@,Nevada-Las Vegas,W,3,30
Indiana,2016-09-24,3,,Wake Forest,L,4,33
Iowa,2016-09-24,4,@,Rutgers,W,1,7
Iowa State,2016-09-24,4,,San Jose State,W,1,10
Kansas State,2016-09-24,3,,Missouri State,W,0,0
Kent State,2016-09-24,4,@,Alabama,L,6,48
Kentucky,2016-09-24,4,,South Carolina,W,1,10
Louisiana,2016-09-24,4,@,Tulane,L,4,41
Louisiana Tech,2016-09-24,4,@,Middle Tennessee State,L,5,38
Louisville,2016-09-24,4,@,Marshall,W,4,28
LSU,2016-09-24,4,@,Auburn,L,0,18
Marshall,2016-09-24,3,,Louisville,L,8,59
Massachusetts,2016-09-24,4,,Mississippi State,L,5,47
Memphis,2016-09-24,3,,Bowling Green State,W,0,3
Miami (OH),2016-09-24,4,@,Cincinnati,L,3,27
Michigan,2016-09-24,4,,Penn State,W,1,10
Michigan State,2016-09-24,3,,Wisconsin,L,4,30
Middle Tennessee State,2016-09-24,4,,Louisiana Tech,W,4,34
Minnesota,2016-09-24,3,,Colorado State,W,3,24
Mississippi State,2016-09-24,4,@,Massachusetts,W,5,35
Missouri,2016-09-24,4,,Delaware State,W,0,0
Nebraska,2016-09-24,4,@,Northwestern,W,2,13
Nevada,2016-09-24,4,@,Purdue,L,3,24
New Mexico State,2016-09-24,4,@,Troy,L,7,52
North Carolina,2016-09-24,4,,Pittsburgh,W,4,36
North Texas,2016-09-24,4,@,Rice,W,4,35
Northern Illinois,2016-09-24,4,,Western Illinois,L,4,28
Northwestern,2016-09-24,4,,Nebraska,L,3,24
Notre Dame,2016-09-24,4,,Duke,L,5,38
Ohio,2016-09-24,4,,Gardner-Webb,W,3,21
Oklahoma State,2016-09-24,4,@,Baylor,L,5,35
Old Dominion,2016-09-24,4,,Texas-San Antonio,W,2,19
Ole Miss,2016-09-24,4,,Georgia,W,2,14
Oregon,2016-09-24,4,,Colorado,L,5,41
Oregon State,2016-09-24,3,,Boise State,L,5,38
Penn State,2016-09-24,4,@,Michigan,L,7,49
Pitt,2016-09-24,4,@,North Carolina,L,5,37
Purdue,2016-09-24,3,,Nevada,W,2,14
Rice,2016-09-24,4,,North Texas,L,6,42
Rutgers,2016-09-24,4,,Iowa,L,2,14
San Jose State,2016-09-24,4,@,Iowa State,L,6,44
South Alabama,2016-09-24,4,,Nicholls State,W,5,40
South Carolina,2016-09-24,4,@,Kentucky,L,2,17
South Florida,2016-09-24,4,,Florida State,L,7,55
Southern Mississippi,2016-09-24,4,@,Texas-El Paso,W,1,7
Stanford,2016-09-24,3,@,UCLA,W,1,13
Syracuse,2016-09-24,4,@,Connecticut,W,3,24
Temple,2016-09-24,4,,Charlotte,W,3,20
Tennessee,2016-09-24,4,,Florida,W,4,28
Texas A&M,2016-09-24,4,N,Arkansas,W,3,24
Texas State,2016-09-24,3,,Houston,L,9,64
Troy,2016-09-24,4,,New Mexico State,W,1,6
Tulane,2016-09-24,4,,Louisiana,W,4,39
Tulsa,2016-09-24,4,@,Fresno State,W,5,41
UCF,2016-09-24,4,@,Florida International,W,2,14
UCLA,2016-09-24,4,,Stanford,L,2,22
UNLV,2016-09-24,4,,Idaho,L,4,33
Utah State,2016-09-24,4,,Air Force,L,3,27
UTEP,2016-09-24,4,,Southern Mississippi,L,4,34
UTSA,2016-09-24,4,@,Old Dominion,L,5,33
Vanderbilt,2016-09-24,4,@,Western Kentucky,W,4,30
Virginia,2016-09-24,4,,Central Michigan,W,4,35
Virginia Tech,2016-09-24,4,,East Carolina,W,2,17
Wake Forest,2016-09-24,4,@,Indiana,W,4,28
Washington,2016-09-24,4,@,Arizona,W,4,28
West Virginia,2016-09-24,3,N,Brigham Young,W,4,32
Western Kentucky,2016-09-24,4,,Vanderbilt,L,4,31
Western Michigan,2016-09-24,4,,Georgia Southern,W,4,31
Wisconsin,2016-09-24,4,@,Michigan State,W,0,6
Connecticut,2016-09-29,5,@,Houston,L,6,42
Houston,2016-09-29,5,,Connecticut,W,2,14
Kansas,2016-09-29,4,@,Texas Tech,L,8,55
Texas Tech,2016-09-29,4,,Kansas,W,2,19
Brigham Young,2016-09-30,5,,Toledo,W,7,53
Stanford,2016-09-30,4,@,Washington,L,6,44
Toledo,2016-09-30,4,@,Brigham Young,L,7,55
Washington,2016-09-30,5,,Stanford,W,1,6
Air Force,2016-10-01,4,,Navy,W,2,14
