School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Nebraska,2004-09-04,1,,Western Illinois,W,16,31,51.6,218,4,39,363,9.3,4,2,4,6
New Mexico State,2004-09-04,1,@,Arkansas,L,17,26,65.4,161,2,29,55,1.9,0,3,0,3
North Carolina,2004-09-04,1,,William & Mary,W,14,24,58.3,234,2,45,341,7.6,5,3,1,4
North Carolina State,2004-09-04,1,,Richmond,W,24,32,75.0,229,2,37,174,4.7,2,1,0,1
North Texas,2004-09-04,1,@,Texas,L,10,23,43.5,92,0,26,38,1.5,0,3,0,3
Northern Illinois,2004-09-04,1,@,Maryland,L,19,37,51.4,219,1,38,118,3.1,0,1,2,3
Notre Dame,2004-09-04,1,@,Brigham Young,L,26,47,55.3,265,1,21,11,0.5,0,1,0,1
Ohio,2004-09-04,1,,Virginia Military Institute,W,14,25,56.0,229,3,52,230,4.4,1,1,0,1
Ohio State,2004-09-04,1,,Cincinnati,W,16,29,55.2,242,2,43,220,5.1,1,1,2,3
Oklahoma,2004-09-04,1,,Bowling Green State,W,21,31,67.7,238,3,52,258,5.0,2,1,1,2
Oklahoma State,2004-09-04,1,@,UCLA,W,2,8,25.0,23,0,67,426,6.4,4,0,0,0
Ole Miss,2004-09-04,1,,Memphis,L,11,31,35.5,182,0,33,58,1.8,1,0,0,0
Oregon State,2004-09-04,1,@,Louisiana State,L,26,47,55.3,231,3,31,84,2.7,0,2,1,3
Penn State,2004-09-04,1,,Akron,W,16,23,69.6,193,3,41,352,8.6,4,0,0,0
Rutgers,2004-09-04,1,,Michigan State,W,20,34,58.8,241,0,50,174,3.5,0,0,1,1
San Diego State,2004-09-04,1,,Idaho State,W,21,41,51.2,291,3,51,290,5.7,2,1,2,3
San Jose State,2004-09-04,1,@,Stanford,L,15,24,62.5,157,0,37,111,3.0,0,0,0,0
SMU,2004-09-04,1,,Texas Tech,L,18,37,48.6,162,0,39,160,4.1,1,2,1,3
South Carolina,2004-09-04,1,@,Vanderbilt,W,13,20,65.0,184,1,57,269,4.7,2,1,0,1
Stanford,2004-09-04,1,,San Jose State,W,20,33,60.6,333,2,39,132,3.4,4,0,0,0
Temple,2004-09-04,1,,Virginia,L,11,24,45.8,132,0,34,128,3.8,2,2,0,2
Texas,2004-09-04,1,,North Texas,W,15,22,68.2,160,1,60,513,8.6,7,0,0,0
Texas Tech,2004-09-04,1,@,Southern Methodist,W,40,66,60.6,470,4,22,67,3.0,0,0,0,0
Toledo,2004-09-04,1,@,Minnesota,L,24,38,63.2,312,2,21,94,4.5,1,1,0,1
Troy,2004-09-04,1,@,Marshall,W,13,27,48.1,196,0,42,65,1.5,2,0,2,2
Tulane,2004-09-04,1,@,Mississippi State,L,16,31,51.6,135,1,29,70,2.4,0,0,2,2
Tulsa,2004-09-04,1,@,Kansas,L,11,24,45.8,91,0,35,50,1.4,0,1,2,3
UAB,2004-09-04,1,,Baylor,W,9,17,52.9,173,3,53,343,6.5,3,1,1,2
UCF,2004-09-04,1,@,Wisconsin,L,13,24,54.2,177,0,35,53,1.5,0,1,1,2
UCLA,2004-09-04,1,,Oklahoma State,L,16,36,44.4,252,0,33,191,5.8,2,2,2,4
Utah State,2004-09-04,1,@,Alabama,L,17,34,50.0,205,2,25,61,2.4,0,0,2,2
Vanderbilt,2004-09-04,1,,South Carolina,L,24,38,63.2,270,0,22,36,1.6,1,2,2,4
Virginia,2004-09-04,1,@,Temple,W,18,24,75.0,218,1,57,286,5.0,4,0,0,0
Wake Forest,2004-09-04,1,@,Clemson,L,10,25,40.0,156,1,54,254,4.7,2,1,0,1
West Virginia,2004-09-04,1,,East Carolina,W,6,15,40.0,143,1,56,478,8.5,6,0,2,2
Wisconsin,2004-09-04,1,,Central Florida,W,9,20,45.0,170,2,49,230,4.7,2,1,0,1
Wyoming,2004-09-04,1,,Appalachian State,W,18,32,56.3,271,2,51,266,5.2,3,1,0,1
Fresno State,2004-09-05,1,@,Washington,W,13,21,61.9,125,1,35,137,3.9,1,1,1,2
Houston,2004-09-05,1,N,Rice,L,15,33,45.5,204,1,32,8,0.3,0,1,1,2
Kentucky,2004-09-05,1,@,Louisville,L,14,34,41.2,172,0,26,66,2.5,0,1,2,3
Louisville,2004-09-05,1,,Kentucky,W,14,21,66.7,178,1,49,261,5.3,2,0,1,1
Purdue,2004-09-05,1,,Syracuse,W,17,32,53.1,334,5,41,237,5.8,2,0,0,0
Rice,2004-09-05,1,N,Houston,W,3,7,42.9,28,0,55,163,3.0,1,1,1,2
Syracuse,2004-09-05,1,@,Purdue,L,15,26,57.7,157,0,32,40,1.3,0,1,2,3
Tennessee,2004-09-05,1,,Nevada-Las Vegas,W,17,27,63.0,241,3,45,272,6.0,3,1,0,1
UNLV,2004-09-05,1,@,Tennessee,L,13,25,52.0,175,0,37,164,4.4,2,1,1,2
Washington,2004-09-05,1,,Fresno State,L,21,48,43.8,190,0,41,170,4.1,2,1,4,5
Louisiana Tech,2004-09-06,1,,Nevada,W,8,16,50.0,149,0,47,285,6.1,5,3,1,4
Nevada,2004-09-06,1,@,Louisiana Tech,L,23,38,60.5,244,3,34,7,0.2,0,2,0,2
Missouri,2004-09-09,2,@,Troy,L,25,46,54.3,224,1,36,112,3.1,1,1,2,3
Troy,2004-09-09,2,,Missouri,W,8,21,38.1,121,2,41,172,4.2,1,0,3,3
Boise State,2004-09-10,2,,Oregon State,W,21,35,60.0,246,4,52,246,4.7,1,0,1,1
Florida State,2004-09-10,1,@,Miami (FL),L,12,28,42.9,108,0,35,57,1.6,0,2,2,4
Miami (FL),2004-09-10,1,,Florida State,W,20,36,55.6,255,1,32,109,3.4,1,2,1,3
Oregon State,2004-09-10,2,@,Boise State,L,22,42,52.4,411,4,15,58,3.9,1,0,4,4
Air Force,2004-09-11,2,,Eastern Washington,W,11,16,68.8,145,2,52,353,6.8,4,0,1,1
Akron,2004-09-11,2,,Middle Tennessee State,L,31,44,70.5,399,2,34,103,3.0,1,2,1,3
Alabama,2004-09-11,2,,Mississippi,W,14,22,63.6,169,2,47,221,4.7,2,2,0,2
Arizona,2004-09-11,2,,Utah,L,19,25,76.0,198,0,33,114,3.5,0,3,1,4
Arizona State,2004-09-11,2,@,Northwestern,W,19,36,52.8,292,3,41,139,3.4,0,0,0,0
Arkansas,2004-09-11,2,,Texas,L,14,29,48.3,283,1,45,175,3.9,1,2,2,4
Arkansas State,2004-09-11,2,@,Louisiana State,L,9,22,40.9,147,0,33,54,1.6,0,2,1,3
Army,2004-09-11,1,,Louisville,L,17,32,53.1,217,2,27,133,4.9,1,1,0,1
Auburn,2004-09-11,2,@,Mississippi State,W,13,22,59.1,182,4,41,283,6.9,2,1,0,1
Ball State,2004-09-11,2,@,Purdue,L,11,16,68.8,126,1,37,71,1.9,0,0,0,0
Baylor,2004-09-11,2,,Texas State,W,16,30,53.3,224,2,45,97,2.2,0,0,2,2
Boston College,2004-09-11,2,,Penn State,W,23,31,74.2,199,3,40,129,3.2,0,1,0,1
Bowling Green State,2004-09-11,2,,Southeast Missouri State,W,24,38,63.2,285,4,50,216,4.3,0,1,1,2
Brigham Young,2004-09-11,2,@,Stanford,L,28,56,50.0,288,0,27,41,1.5,1,3,4,7
Buffalo,2004-09-11,2,,Syracuse,L,16,32,50.0,122,0,39,109,2.8,0,1,2,3
California,2004-09-11,2,,New Mexico State,W,21,28,75.0,275,2,41,336,8.2,4,2,0,2
Central Michigan,2004-09-11,2,@,Michigan State,L,10,30,33.3,93,0,44,236,5.4,1,0,0,0
Cincinnati,2004-09-11,2,,Miami (OH),W,12,23,52.2,258,2,43,341,7.9,4,1,1,2
Clemson,2004-09-11,2,,Georgia Tech,L,20,43,46.5,275,1,30,186,6.2,2,0,2,2
Colorado,2004-09-11,2,@,Washington State,W,12,24,50.0,78,0,37,47,1.3,0,2,1,3
Colorado State,2004-09-11,2,@,Southern California,L,19,35,54.3,233,0,27,48,1.8,0,2,4,6
Connecticut,2004-09-11,2,,Duke,W,23,34,67.6,290,0,35,112,3.2,1,1,1,2
Duke,2004-09-11,2,@,Connecticut,L,16,29,55.2,184,1,32,61,1.9,0,1,1,2
East Carolina,2004-09-11,2,,Wake Forest,L,20,40,50.0,233,1,23,236,10.3,1,0,2,2
Eastern Michigan,2004-09-11,2,@,Florida,L,19,40,47.5,201,1,36,95,2.6,0,1,0,1
Florida,2004-09-11,1,,Eastern Michigan,W,17,28,60.7,250,3,38,159,4.2,4,1,0,1
Florida A&M,2004-09-11,2,@,Tulane,L,31,42,73.8,314,2,40,74,1.9,1,1,0,1
Florida Atlantic,2004-09-11,2,@,North Texas,W,20,28,71.4,280,0,44,177,4.0,2,1,0,1
Florida International,2004-09-11,1,@,Youngstown State,W,32,58,55.2,338,3,28,123,4.4,0,1,0,1
Fresno State,2004-09-11,2,@,Kansas State,W,17,30,56.7,244,2,48,156,3.3,4,0,3,3
Georgia,2004-09-11,2,@,South Carolina,W,19,38,50.0,213,2,37,154,4.2,0,2,1,3
Georgia Tech,2004-09-11,2,@,Clemson,W,20,36,55.6,251,4,48,112,2.3,0,0,1,1
Houston,2004-09-11,2,@,Oklahoma,L,15,22,68.2,221,0,37,61,1.6,2,1,0,1
Idaho,2004-09-11,2,@,Utah State,L,17,23,73.9,101,1,47,133,2.8,0,1,1,2
Illinois,2004-09-11,2,,UCLA,L,23,38,60.5,248,1,41,208,5.1,1,2,1,3
Indiana,2004-09-11,2,@,Oregon,W,6,18,33.3,71,1,53,127,2.4,1,1,1,2
Iowa,2004-09-11,2,,Iowa State,W,16,22,72.7,220,1,44,85,1.9,1,0,1,1
Iowa State,2004-09-11,2,@,Iowa,L,15,30,50.0,170,1,34,66,1.9,0,0,0,0
Kansas,2004-09-11,2,,Toledo,W,25,36,69.4,327,4,41,174,4.2,4,1,1,2
Kansas State,2004-09-11,2,,Fresno State,L,8,23,34.8,121,2,33,59,1.8,0,0,2,2
Kent State,2004-09-11,2,,Liberty,W,20,30,66.7,144,2,37,201,5.4,3,1,1,2
Louisiana,2004-09-11,2,@,Louisiana Tech,L,31,54,57.4,327,1,27,83,3.1,1,0,2,2
Louisiana Tech,2004-09-11,2,,Louisiana,W,17,28,60.7,183,1,43,308,7.2,2,2,1,3
Louisville,2004-09-11,2,@,Army,W,26,34,76.5,342,1,54,230,4.3,6,1,0,1
LSU,2004-09-11,2,,Arkansas State,W,12,20,60.0,210,3,40,251,6.3,3,1,0,1
Marshall,2004-09-11,2,@,Ohio State,L,22,35,62.9,140,1,44,150,3.4,1,0,0,0
Maryland,2004-09-11,2,,Temple,W,18,28,64.3,268,2,49,203,4.1,3,1,0,1
Memphis,2004-09-11,2,,Chattanooga,W,12,28,42.9,336,4,35,160,4.6,3,0,1,1
Miami (OH),2004-09-11,3,@,Cincinnati,L,26,43,60.5,416,4,24,37,1.5,0,1,0,1
Michigan,2004-09-11,2,@,Notre Dame,L,25,40,62.5,240,1,30,56,1.9,0,2,1,3
Michigan State,2004-09-11,2,,Central Michigan,W,10,22,45.5,192,1,44,213,4.8,2,0,0,0
Middle Tennessee State,2004-09-11,1,@,Akron,W,33,41,80.5,339,0,29,64,2.2,3,2,2,4
Minnesota,2004-09-11,2,,Illinois State,W,11,23,47.8,206,2,42,303,7.2,3,1,0,1
Mississippi State,2004-09-11,2,,Auburn,L,24,36,66.7,190,2,29,81,2.8,0,0,1,1
Navy,2004-09-11,2,,Northeastern,W,2,6,33.3,36,0,58,300,5.2,4,1,2,3
Nebraska,2004-09-11,2,,Southern Mississippi,L,22,42,52.4,202,2,46,274,6.0,0,2,3,5
Nevada,2004-09-11,2,,Sacramento State,W,24,33,72.7,286,3,51,312,6.1,5,0,0,0
New Mexico,2004-09-11,2,,Texas Tech,W,12,26,46.2,173,1,39,142,3.6,2,2,0,2
New Mexico State,2004-09-11,2,@,California,L,14,23,60.9,175,1,36,37,1.0,1,0,0,0
North Carolina,2004-09-11,2,@,Virginia,L,19,24,79.2,299,2,35,135,3.9,1,1,1,2
North Texas,2004-09-11,2,,Florida Atlantic,L,8,22,36.4,165,0,36,116,3.2,1,0,0,0
Northern Illinois,2004-09-11,2,,Southern Illinois,W,12,23,52.2,209,2,41,191,4.7,0,0,0,0
Northwestern,2004-09-11,2,,Arizona State,L,21,38,55.3,228,0,42,235,5.6,3,1,0,1
Notre Dame,2004-09-11,2,,Michigan,W,10,21,47.6,178,2,40,135,3.4,2,1,3,4
Ohio,2004-09-11,2,@,Pittsburgh,L,22,51,43.1,202,0,26,88,3.4,0,1,2,3
Ohio State,2004-09-11,2,,Marshall,W,18,33,54.5,324,3,26,79,3.0,0,2,2,4
Oklahoma,2004-09-11,2,,Houston,W,22,27,81.5,307,3,49,276,5.6,5,1,0,1
Oklahoma State,2004-09-11,2,,Tulsa,W,3,8,37.5,70,1,60,276,4.6,3,0,0,0
Ole Miss,2004-09-11,2,@,Alabama,L,10,27,37.0,117,1,29,75,2.6,0,1,0,1
Oregon,2004-09-11,1,,Indiana,L,24,45,53.3,317,3,33,178,5.4,0,4,3,7
Penn State,2004-09-11,2,@,Boston College,L,23,41,56.1,254,1,21,73,3.5,0,1,4,5
Pitt,2004-09-11,1,,Ohio,W,6,19,31.6,49,1,47,168,3.6,1,0,1,1
Purdue,2004-09-11,2,,Ball State,W,26,30,86.7,368,5,42,231,5.5,3,0,0,0
Rutgers,2004-09-11,2,,New Hampshire,L,30,50,60.0,307,2,36,50,1.4,1,1,1,2
SMU,2004-09-11,2,@,Texas Christian,L,14,29,48.3,164,0,30,6,0.2,0,1,2,3
South Carolina,2004-09-11,2,,Georgia,L,13,21,61.9,200,1,31,73,2.4,0,1,1,2
South Florida,2004-09-11,1,,Tennessee Tech,W,13,23,56.5,93,0,43,185,4.3,2,1,1,2
Southern Mississippi,2004-09-11,1,@,Nebraska,W,12,28,42.9,142,1,33,97,2.9,0,0,1,1
Stanford,2004-09-11,2,,Brigham Young,W,20,42,47.6,297,3,35,72,2.1,0,2,0,2
Syracuse,2004-09-11,2,@,Buffalo,W,9,24,37.5,84,0,48,191,4.0,2,2,1,3
Temple,2004-09-11,2,@,Maryland,L,16,27,59.3,188,0,37,158,4.3,3,2,0,2
Texas,2004-09-11,2,@,Arkansas,W,11,22,50.0,150,2,46,259,5.6,1,0,0,0
Texas A&M,2004-09-11,2,,Wyoming,W,20,29,69.0,325,1,42,156,3.7,2,0,0,0
Texas Christian,2004-09-11,2,,Southern Methodist,W,26,35,74.3,397,3,51,165,3.2,3,0,0,0
Texas Tech,2004-09-11,2,@,New Mexico,L,44,69,63.8,449,1,23,31,1.3,2,1,2,3
Toledo,2004-09-11,2,@,Kansas,L,17,35,48.6,234,2,37,64,1.7,0,3,2,5
Tulane,2004-09-11,2,,Florida A&M,W,16,24,66.7,224,3,44,233,5.3,3,2,1,3
Tulsa,2004-09-11,2,@,Oklahoma State,L,15,28,53.6,168,2,35,100,2.9,1,1,0,1
UCF,2004-09-11,2,,West Virginia,L,13,25,52.0,130,1,46,169,3.7,1,0,0,0
UCLA,2004-09-11,2,@,Illinois,W,14,21,66.7,208,3,47,273,5.8,2,0,1,1
UNLV,2004-09-11,2,@,Wisconsin,L,13,29,44.8,102,0,27,72,2.7,0,0,0,0
USC,2004-09-11,2,,Colorado State,W,20,31,64.5,231,2,45,322,7.2,4,2,0,2
Utah,2004-09-11,2,@,Arizona,W,12,22,54.5,170,2,38,156,4.1,1,0,0,0
Utah State,2004-09-11,2,,Idaho,W,20,31,64.5,214,2,25,58,2.3,0,3,2,5
UTEP,2004-09-11,2,,Weber State,W,18,29,62.1,223,0,54,276,5.1,3,0,0,0
Virginia,2004-09-11,2,,North Carolina,W,13,16,81.3,250,0,48,299,6.2,7,0,0,0
Virginia Tech,2004-09-11,2,,Western Michigan,W,19,25,76.0,332,4,35,155,4.4,3,0,1,1
Wake Forest,2004-09-11,2,@,East Carolina,W,16,21,76.2,344,2,57,240,4.2,2,1,1,2
Washington State,2004-09-11,2,,Colorado,L,19,52,36.5,387,1,40,15,0.4,0,2,1,3
West Virginia,2004-09-11,2,@,Central Florida,W,14,18,77.8,225,4,45,235,5.2,2,2,0,2
Western Michigan,2004-09-11,2,@,Virginia Tech,L,26,39,66.7,163,0,31,109,3.5,0,2,2,4
Wisconsin,2004-09-11,2,,Nevada-Las Vegas,W,14,24,58.3,131,1,44,145,3.3,0,0,1,1
Wyoming,2004-09-11,2,@,Texas A&M,L,19,36,52.8,184,0,26,-3,-0.1,0,0,3,3
Boston College,2004-09-17,3,,Connecticut,W,14,23,60.9,193,2,43,141,3.3,1,1,1,2
Connecticut,2004-09-17,3,@,Boston College,L,22,32,68.8,193,0,29,98,3.4,1,1,1,2
Air Force,2004-09-18,3,@,Nevada-Las Vegas,W,12,14,85.7,139,2,71,278,3.9,1,0,0,0
Akron,2004-09-18,3,@,Virginia,L,12,27,44.4,78,0,31,6,0.2,0,0,2,2
Alabama,2004-09-18,3,,Western Carolina,W,20,31,64.5,231,3,42,247,5.9,3,1,0,1
Arizona,2004-09-18,3,,Wisconsin,L,9,15,60.0,103,1,33,96,2.9,0,0,0,0
Arizona State,2004-09-18,3,,Iowa,W,33,46,71.7,435,5,34,76,2.2,0,0,1,1
Arkansas,2004-09-18,3,,Louisiana-Monroe,W,19,29,65.5,282,4,44,289,6.6,3,1,1,2
Arkansas State,2004-09-18,3,,Memphis,L,29,41,70.7,418,4,32,89,2.8,0,1,3,4
Army,2004-09-18,2,@,Houston,L,7,21,33.3,103,1,31,234,7.5,2,0,1,1
Auburn,2004-09-18,3,,Louisiana State,W,16,27,59.3,170,1,34,131,3.9,0,1,0,1
Ball State,2004-09-18,3,@,Missouri,L,12,19,63.2,77,0,36,65,1.8,0,1,1,2
Boise State,2004-09-18,3,@,Texas-El Paso,W,26,37,70.3,392,2,49,175,3.6,4,2,2,4
Brigham Young,2004-09-18,3,,Southern California,L,18,33,54.5,194,1,25,13,0.5,0,1,3,4
Buffalo,2004-09-18,3,@,Nevada,L,11,28,39.3,105,0,43,183,4.3,1,0,2,2
Central Michigan,2004-09-18,3,,Southeast Missouri State,W,17,33,51.5,303,2,42,195,4.6,3,0,0,0
Cincinnati,2004-09-18,3,@,Syracuse,L,14,26,53.8,155,1,36,138,3.8,0,2,4,6
Clemson,2004-09-18,3,@,Texas A&M,L,20,36,55.6,192,1,27,58,2.1,0,1,3,4
Colorado,2004-09-18,3,,North Texas,W,28,35,80.0,383,3,37,203,5.5,4,0,0,0
Colorado State,2004-09-18,3,,Minnesota,L,25,41,61.0,298,1,35,126,3.6,0,1,3,4
Duke,2004-09-18,3,@,Virginia Tech,L,6,20,30.0,89,1,42,108,2.6,1,0,2,2
Eastern Michigan,2004-09-18,3,,Toledo,L,25,50,50.0,314,3,46,224,4.9,1,0,2,2
Florida,2004-09-18,2,@,Tennessee,L,22,31,71.0,286,3,35,135,3.9,1,0,1,1
Florida A&M,2004-09-18,3,@,Temple,L,26,51,51.0,229,0,23,118,5.1,1,1,0,1
Florida Atlantic,2004-09-18,3,@,Middle Tennessee State,W,23,33,69.7,335,3,35,87,2.5,0,0,0,0
Florida State,2004-09-18,2,,Alabama-Birmingham,W,24,38,63.2,238,0,47,251,5.3,4,0,1,1
Fresno State,2004-09-18,3,,Portland State,W,13,25,52.0,142,0,46,263,5.7,2,1,2,3
Georgia,2004-09-18,3,,Marshall,W,18,31,58.1,225,0,41,146,3.6,1,1,0,1
Georgia Tech,2004-09-18,3,@,North Carolina,L,12,29,41.4,164,1,43,229,5.3,0,2,3,5
Hawaii,2004-09-18,2,@,Rice,L,34,51,66.7,363,3,13,7,0.5,1,0,0,0
Houston,2004-09-18,3,,Army,W,20,34,58.8,278,1,57,369,6.5,3,1,1,2
Idaho,2004-09-18,3,@,Washington State,L,18,24,75.0,145,1,39,131,3.4,0,3,1,4
Illinois,2004-09-18,3,,Western Michigan,W,10,19,52.6,177,1,45,176,3.9,2,1,2,3
Indiana,2004-09-18,3,@,Kentucky,L,12,26,46.2,236,2,39,176,4.5,1,1,1,2
Iowa,2004-09-18,3,@,Arizona State,L,8,19,42.1,44,0,27,56,2.1,0,0,1,1
Iowa State,2004-09-18,3,,Northern Illinois,W,14,28,50.0,225,3,39,117,3.0,1,0,2,2
Kansas,2004-09-18,3,@,Northwestern,L,32,51,62.7,303,2,26,47,1.8,0,1,0,1
Kansas State,2004-09-18,3,,Louisiana,W,7,10,70.0,52,1,62,393,6.3,3,2,0,2
Kent State,2004-09-18,3,@,Rutgers,L,29,47,61.7,311,1,38,30,0.8,2,3,1,4
Kentucky,2004-09-18,2,,Indiana,W,21,30,70.0,205,2,43,355,8.3,4,1,0,1
Louisiana,2004-09-18,3,@,Kansas State,L,9,23,39.1,128,1,34,214,6.3,2,1,2,3
Louisiana Tech,2004-09-18,3,@,Miami (FL),L,8,20,40.0,131,0,41,52,1.3,0,3,0,3
Louisiana-Monroe,2004-09-18,2,@,Arkansas,L,15,34,44.1,303,1,34,93,2.7,1,1,3,4
