School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Louisiana Tech,2013-08-31,1,@,North Carolina State,L,4,40
Louisiana-Monroe,2013-08-31,1,@,Oklahoma,L,4,34
LSU,2013-08-31,1,N,Texas Christian,W,3,27
Marshall,2013-08-31,1,,Miami (OH),W,2,14
Maryland,2013-08-31,1,,Florida International,W,1,10
Massachusetts,2013-08-31,1,@,Wisconsin,L,6,45
Miami (OH),2013-08-31,1,@,Marshall,L,7,52
Michigan,2013-08-31,1,,Central Michigan,W,0,9
Mississippi State,2013-08-31,1,N,Oklahoma State,L,3,21
Missouri,2013-08-31,1,,Murray State,W,2,14
Nebraska,2013-08-31,1,,Wyoming,W,5,34
Nevada,2013-08-31,1,@,UCLA,L,7,58
New Mexico,2013-08-31,1,,Texas-San Antonio,L,3,21
New Mexico State,2013-08-31,1,@,Texas,L,8,56
North Carolina State,2013-08-31,1,,Louisiana Tech,W,2,14
North Texas,2013-08-31,1,,Idaho,W,1,6
Northern Illinois,2013-08-31,1,@,Iowa,W,3,27
Northwestern,2013-08-31,1,@,California,W,3,30
Notre Dame,2013-08-31,1,,Temple,W,1,6
Ohio State,2013-08-31,1,,Buffalo,W,3,20
Oklahoma,2013-08-31,1,,Louisiana-Monroe,W,0,0
Oklahoma State,2013-08-31,1,N,Mississippi State,W,0,3
Oregon,2013-08-31,1,,Nicholls State,W,0,3
Oregon State,2013-08-31,1,,Eastern Washington,L,6,49
Penn State,2013-08-31,1,N,Syracuse,W,2,17
Purdue,2013-08-31,1,@,Cincinnati,L,6,42
Rice,2013-08-31,1,@,Texas A&M,L,7,52
San Diego State,2013-08-31,1,,Eastern Illinois,L,6,40
South Florida,2013-08-31,1,,McNeese State,L,6,53
Southern Mississippi,2013-08-31,1,,Texas State,L,3,22
Syracuse,2013-08-31,1,N,Penn State,L,2,23
Temple,2013-08-31,1,@,Notre Dame,L,4,28
Tennessee,2013-08-31,1,,Austin Peay,W,0,0
Texas,2013-08-31,1,,New Mexico State,W,1,7
Texas A&M,2013-08-31,1,,Rice,W,4,31
Texas Christian,2013-08-31,1,N,Louisiana State,L,4,37
Texas State,2013-08-31,1,@,Southern Mississippi,W,1,15
Toledo,2013-08-31,1,@,Florida,L,3,24
Troy,2013-08-31,1,,Alabama-Birmingham,W,4,31
UAB,2013-08-31,1,@,Troy,L,4,34
UCLA,2013-08-31,1,,Nevada,W,2,20
UTSA,2013-08-31,1,@,New Mexico,W,2,13
Virginia,2013-08-31,1,,Brigham Young,W,2,16
Virginia Tech,2013-08-31,1,N,Alabama,L,5,35
Washington,2013-08-31,1,,Boise State,W,0,6
Washington State,2013-08-31,1,@,Auburn,L,3,31
West Virginia,2013-08-31,1,,William & Mary,W,2,17
Western Kentucky,2013-08-31,1,N,Kentucky,W,3,26
Wisconsin,2013-08-31,1,,Massachusetts,W,0,0
Wyoming,2013-08-31,1,@,Nebraska,L,5,37
Colorado,2013-09-01,1,N,Colorado State,W,3,27
Colorado State,2013-09-01,1,N,Colorado,L,4,41
Louisville,2013-09-01,1,,Ohio,W,1,7
Ohio,2013-09-01,1,@,Louisville,L,7,49
Florida State,2013-09-02,1,@,Pittsburgh,W,1,13
Pitt,2013-09-02,1,,Florida State,L,5,41
Arizona State,2013-09-05,1,,Sacramento State,W,0,0
East Carolina,2013-09-05,2,,Florida Atlantic,W,1,13
Florida Atlantic,2013-09-05,2,@,East Carolina,L,4,31
Boston College,2013-09-06,2,,Wake Forest,W,1,10
Florida International,2013-09-06,2,,Central Florida,L,5,38
UCF,2013-09-06,2,@,Florida International,W,0,0
Wake Forest,2013-09-06,2,@,Boston College,L,3,24
Air Force,2013-09-07,2,,Utah State,L,7,52
Akron,2013-09-07,1,,James Madison,W,4,33
Arizona,2013-09-07,2,@,Nevada-Las Vegas,W,2,13
Arkansas,2013-09-07,1,,Samford,W,3,21
Arkansas State,2013-09-07,2,@,Auburn,L,5,38
Army,2013-09-07,2,@,Ball State,L,4,40
Auburn,2013-09-07,2,,Arkansas State,W,0,9
Ball State,2013-09-07,2,,Army,W,2,14
Baylor,2013-09-07,2,,Buffalo,W,2,13
Boise State,2013-09-07,1,,Tennessee-Martin,W,2,14
Bowling Green State,2013-09-07,2,@,Kent State,W,3,22
Brigham Young,2013-09-07,2,,Texas,W,3,21
Buffalo,2013-09-07,2,@,Baylor,L,10,70
California,2013-09-07,1,,Portland State,W,4,30
Central Michigan,2013-09-07,1,,New Hampshire,W,3,21
Cincinnati,2013-09-07,2,@,Illinois,L,6,45
Clemson,2013-09-07,1,,South Carolina State,W,2,13
Colorado,2013-09-07,1,,Central Arkansas,W,3,24
Colorado State,2013-09-07,2,@,Tulsa,L,3,30
Duke,2013-09-07,2,@,Memphis,W,2,14
Eastern Michigan,2013-09-07,2,@,Penn State,L,6,45
Florida,2013-09-07,2,@,Miami (FL),L,3,21
Fresno State,2013-09-07,1,,Cal Poly,W,3,25
Georgia,2013-09-07,2,,South Carolina,W,4,30
Georgia State,2013-09-07,0,,Chattanooga,L,6,42
Hawaii,2013-09-07,2,@,Oregon State,L,4,33
Houston,2013-09-07,2,@,Temple,W,2,13
Idaho,2013-09-07,2,@,Wyoming,L,6,42
Illinois,2013-09-07,2,,Cincinnati,W,2,17
Indiana,2013-09-07,2,,Navy,L,5,41
Iowa,2013-09-07,1,,Missouri State,W,2,14
Kansas,2013-09-07,1,,South Dakota,W,2,14
Kansas State,2013-09-07,2,,Louisiana,W,3,27
Kent State,2013-09-07,2,,Bowling Green State,L,5,41
Kentucky,2013-09-07,2,,Miami (OH),W,1,7
Louisiana,2013-09-07,2,@,Kansas State,L,6,48
Louisiana Tech,2013-09-07,1,,Lamar,W,2,14
Louisiana-Monroe,2013-09-07,1,,Grambling State,W,1,10
Louisville,2013-09-07,1,,Eastern Kentucky,W,1,7
LSU,2013-09-07,2,,Alabama-Birmingham,W,2,17
Marshall,2013-09-07,1,,Gardner-Webb,W,0,0
Maryland,2013-09-07,1,,Old Dominion,W,1,10
Massachusetts,2013-09-07,1,,Maine,L,3,24
Memphis,2013-09-07,1,,Duke,L,4,28
Miami (FL),2013-09-07,2,,Florida,W,2,16
Miami (OH),2013-09-07,2,@,Kentucky,L,5,41
Michigan,2013-09-07,2,,Notre Dame,W,3,30
Michigan State,2013-09-07,2,,South Florida,W,0,6
Middle Tennessee State,2013-09-07,2,@,North Carolina,L,5,40
Minnesota,2013-09-07,2,@,New Mexico State,W,3,21
Mississippi State,2013-09-07,1,,Alcorn State,W,1,7
Missouri,2013-09-07,2,,Toledo,W,2,23
Navy,2013-09-07,1,@,Indiana,W,5,35
Nebraska,2013-09-07,2,,Southern Mississippi,W,1,13
Nevada,2013-09-07,1,,California-Davis,W,1,7
New Mexico,2013-09-07,2,@,Texas-El Paso,W,5,35
New Mexico State,2013-09-07,2,,Minnesota,L,5,44
North Carolina,2013-09-07,2,,Middle Tennessee State,W,3,20
North Carolina State,2013-09-07,1,,Richmond,W,3,21
North Texas,2013-09-07,2,@,Ohio,L,3,27
Northwestern,2013-09-07,2,,Syracuse,W,4,27
Notre Dame,2013-09-07,2,@,Michigan,L,5,41
Ohio,2013-09-07,2,,North Texas,W,3,21
Ohio State,2013-09-07,2,,San Diego State,W,1,7
Oklahoma,2013-09-07,2,,West Virginia,W,1,7
Oklahoma State,2013-09-07,2,@,Texas-San Antonio,W,5,35
Ole Miss,2013-09-07,1,,Southeast Missouri State,W,2,13
Oregon,2013-09-07,2,@,Virginia,W,1,10
Oregon State,2013-09-07,2,,Hawaii,W,2,14
Penn State,2013-09-07,2,,Eastern Michigan,W,1,7
Purdue,2013-09-07,1,,Indiana State,W,2,14
Rutgers,2013-09-07,1,,Norfolk State,W,0,0
San Diego State,2013-09-07,2,@,Ohio State,L,6,42
San Jose State,2013-09-07,2,@,Stanford,L,4,34
SMU,2013-09-07,1,,Montana State,W,4,30
South Alabama,2013-09-07,2,@,Tulane,W,5,39
South Carolina,2013-09-07,2,@,Georgia,L,5,41
South Florida,2013-09-07,2,@,Michigan State,L,3,21
Southern Mississippi,2013-09-07,2,@,Nebraska,L,8,56
Stanford,2013-09-07,1,,San Jose State,W,1,13
Syracuse,2013-09-07,2,@,Northwestern,L,6,48
Temple,2013-09-07,2,,Houston,L,1,22
Tennessee,2013-09-07,2,,Western Kentucky,W,2,20
Texas,2013-09-07,2,@,Brigham Young,L,4,40
Texas A&M,2013-09-07,1,,Sam Houston State,W,4,28
Texas Christian,2013-09-07,1,,Southeastern Louisiana,W,2,17
Texas State,2013-09-07,1,,Prairie View A&M,W,0,3
Texas Tech,2013-09-07,1,,Stephen F. Austin,W,2,13
Toledo,2013-09-07,2,@,Missouri,L,5,38
Troy,2013-09-07,1,,Savannah State,W,0,3
Tulane,2013-09-07,2,,South Alabama,L,5,41
Tulsa,2013-09-07,2,,Colorado State,W,3,27
UAB,2013-09-07,2,@,Louisiana State,L,8,56
UNLV,2013-09-07,2,,Arizona,L,7,58
USC,2013-09-07,2,,Washington State,L,1,10
Utah,2013-09-07,1,,Weber State,W,1,7
Utah State,2013-09-07,2,@,Air Force,W,2,20
UTEP,2013-09-07,1,,New Mexico,L,6,42
UTSA,2013-09-07,2,,Oklahoma State,L,8,56
Vanderbilt,2013-09-07,1,,Austin Peay,W,0,3
Virginia,2013-09-07,2,,Oregon,L,8,59
Virginia Tech,2013-09-07,1,,Western Carolina,W,0,3
Washington State,2013-09-07,2,@,Southern California,W,1,7
West Virginia,2013-09-07,2,@,Oklahoma,L,1,16
Western Kentucky,2013-09-07,2,@,Tennessee,L,7,52
Western Michigan,2013-09-07,1,,Nicholls State,L,3,27
Wisconsin,2013-09-07,1,,Tennessee Tech,W,0,0
Wyoming,2013-09-07,2,,Idaho,W,1,10
Arkansas State,2013-09-12,3,,Troy,W,5,34
Louisiana Tech,2013-09-12,3,,Tulane,L,3,24
Texas Christian,2013-09-12,3,@,Texas Tech,L,2,20
Texas Tech,2013-09-12,3,,Texas Christian,W,1,10
Troy,2013-09-12,3,@,Arkansas State,L,6,41
Tulane,2013-09-12,3,@,Louisiana Tech,W,1,15
Air Force,2013-09-13,3,@,Boise State,L,6,42
Boise State,2013-09-13,3,,Air Force,W,2,20
Akron,2013-09-14,3,@,Michigan,L,4,28
Alabama,2013-09-14,2,@,Texas A&M,W,6,42
Arizona,2013-09-14,3,,Texas-San Antonio,W,1,13
Arizona State,2013-09-14,2,,Wisconsin,W,4,30
Arkansas,2013-09-14,3,,Southern Mississippi,W,0,3
Army,2013-09-14,3,,Stanford,L,4,34
Auburn,2013-09-14,3,,Mississippi State,W,3,20
Ball State,2013-09-14,3,@,North Texas,L,3,34
Boston College,2013-09-14,3,@,Southern California,L,5,35
Bowling Green State,2013-09-14,3,@,Indiana,L,6,42
Buffalo,2013-09-14,2,,Stony Brook,W,2,23
California,2013-09-14,3,,Ohio State,L,7,52
Central Michigan,2013-09-14,3,@,Nevada-Las Vegas,L,4,31
Cincinnati,2013-09-14,2,,Northwestern State,W,1,9
Colorado State,2013-09-14,2,,Cal Poly,W,2,17
Connecticut,2013-09-14,2,,Maryland,L,3,32
Duke,2013-09-14,3,,Georgia Tech,L,5,38
East Carolina,2013-09-14,3,,Virginia Tech,L,2,15
Eastern Michigan,2013-09-14,3,@,Rutgers,L,4,28
Florida Atlantic,2013-09-14,3,@,South Florida,W,1,10
Florida International,2013-09-14,2,,Bethune-Cookman,L,5,34
Florida State,2013-09-14,2,,Nevada,W,1,7
Georgia State,2013-09-14,3,@,West Virginia,L,5,41
Georgia Tech,2013-09-14,2,@,Duke,W,2,14
Idaho,2013-09-14,3,,Northern Illinois,L,6,45
Illinois,2013-09-14,3,N,Washington,L,4,34
Indiana,2013-09-14,3,,Bowling Green State,W,1,10
Iowa,2013-09-14,3,@,Iowa State,W,3,21
Iowa State,2013-09-14,2,,Iowa,L,3,27
Kansas,2013-09-14,2,@,Rice,L,2,23
Kansas State,2013-09-14,3,,Massachusetts,W,1,7
Kent State,2013-09-14,3,@,Louisiana State,L,6,45
Kentucky,2013-09-14,3,,Louisville,L,3,27
Louisiana,2013-09-14,2,,Nicholls State,W,1,7
Louisiana-Monroe,2013-09-14,3,@,Wake Forest,W,2,19
Louisville,2013-09-14,3,@,Kentucky,W,1,13
LSU,2013-09-14,3,,Kent State,W,1,13
Marshall,2013-09-14,3,@,Ohio,L,4,34
Maryland,2013-09-14,3,@,Connecticut,W,2,21
Massachusetts,2013-09-14,3,@,Kansas State,L,5,37
Memphis,2013-09-14,2,@,Middle Tennessee State,L,2,17
Michigan,2013-09-14,3,,Akron,W,3,24
Michigan State,2013-09-14,2,,Youngstown State,W,2,17
Middle Tennessee State,2013-09-14,3,,Memphis,W,1,15
Minnesota,2013-09-14,2,,Western Illinois,W,2,12
Mississippi State,2013-09-14,3,@,Auburn,L,2,24
Navy,2013-09-14,1,,Delaware,W,1,7
Nebraska,2013-09-14,3,,UCLA,L,5,41
Nevada,2013-09-14,3,@,Florida State,L,8,62
New Mexico,2013-09-14,3,@,Pittsburgh,L,7,49
New Mexico State,2013-09-14,3,,Texas-El Paso,L,6,42
North Texas,2013-09-14,3,,Ball State,W,4,27
Northern Illinois,2013-09-14,2,@,Idaho,W,5,35
Northwestern,2013-09-14,3,,Western Michigan,W,2,17
Notre Dame,2013-09-14,3,@,Purdue,W,3,24
Ohio,2013-09-14,3,,Marshall,W,4,31
Ohio State,2013-09-14,3,@,California,W,4,34
Oklahoma,2013-09-14,3,,Tulsa,W,2,20
Oklahoma State,2013-09-14,2,,Lamar,W,0,3
Ole Miss,2013-09-14,3,@,Texas,W,2,23
Oregon,2013-09-14,3,,Tennessee,W,2,14
Oregon State,2013-09-14,3,@,Utah,W,6,48
Penn State,2013-09-14,3,,Central Florida,L,4,34
Pitt,2013-09-14,2,,New Mexico,W,3,27
Purdue,2013-09-14,3,,Notre Dame,L,4,31
Rice,2013-09-14,2,,Kansas,W,2,14
Rutgers,2013-09-14,3,,Eastern Michigan,W,1,10
South Alabama,2013-09-14,3,,Western Kentucky,W,3,24
South Carolina,2013-09-14,3,,Vanderbilt,W,3,25
South Florida,2013-09-14,3,,Florida Atlantic,L,4,28
Southern Mississippi,2013-09-14,3,@,Arkansas,L,3,24
Stanford,2013-09-14,2,@,Army,W,2,20
Syracuse,2013-09-14,2,,Wagner,W,0,0
Temple,2013-09-14,2,,Fordham,L,3,30
Tennessee,2013-09-14,3,@,Oregon,L,8,59
Texas,2013-09-14,3,,Mississippi,L,6,44
Texas A&M,2013-09-14,3,,Alabama,L,7,49
Toledo,2013-09-14,2,,Eastern Washington,W,3,21
Tulsa,2013-09-14,3,@,Oklahoma,L,6,51
UCF,2013-09-14,3,@,Penn State,W,4,31
UCLA,2013-09-14,2,@,Nebraska,W,3,21
UNLV,2013-09-14,3,,Central Michigan,W,3,21
USC,2013-09-14,3,,Boston College,W,1,7
Utah,2013-09-14,3,,Oregon State,L,6,51
Utah State,2013-09-14,2,,Weber State,W,1,6
UTEP,2013-09-14,2,@,New Mexico State,W,3,21
UTSA,2013-09-14,3,@,Arizona,L,5,38
Vanderbilt,2013-09-14,3,@,South Carolina,L,5,35
Virginia Tech,2013-09-14,3,@,East Carolina,W,1,10
Wake Forest,2013-09-14,3,,Louisiana-Monroe,L,3,21
Washington,2013-09-14,2,N,Illinois,W,3,24
Washington State,2013-09-14,2,,Southern Utah,W,1,10
West Virginia,2013-09-14,3,,Georgia State,W,1,7
Western Kentucky,2013-09-14,3,@,South Alabama,L,3,31
Western Michigan,2013-09-14,3,@,Northwestern,L,5,38
Wisconsin,2013-09-14,3,@,Arizona State,L,4,32
Wyoming,2013-09-14,2,,Northern Colorado,W,1,7
Clemson,2013-09-19,3,@,North Carolina State,W,2,14
North Carolina State,2013-09-19,3,,Clemson,L,3,26
Boise State,2013-09-20,4,@,Fresno State,L,5,41
Fresno State,2013-09-20,4,,Boise State,W,5,40
Air Force,2013-09-21,4,,Wyoming,L,8,56
Akron,2013-09-21,4,,Louisiana,L,5,35
Alabama,2013-09-21,3,,Colorado State,W,0,6
Arizona State,2013-09-21,3,@,Stanford,L,5,42
Arkansas,2013-09-21,4,@,Rutgers,L,4,28
Arkansas State,2013-09-21,4,@,Memphis,L,4,31
Army,2013-09-21,4,,Wake Forest,L,3,25
Auburn,2013-09-21,4,@,Louisiana State,L,5,35
Ball State,2013-09-21,4,@,Eastern Michigan,W,3,20
Baylor,2013-09-21,3,,Louisiana-Monroe,W,1,7
Bowling Green State,2013-09-21,3,,Murray State,W,1,7
Brigham Young,2013-09-21,3,,Utah,L,2,20
Central Michigan,2013-09-21,4,,Toledo,L,5,38
Cincinnati,2013-09-21,4,@,Miami (OH),W,0,0
Colorado State,2013-09-21,4,@,Alabama,L,4,31
Connecticut,2013-09-21,3,,Michigan,L,3,24
Duke,2013-09-21,4,,Pittsburgh,L,8,58
Eastern Michigan,2013-09-21,4,,Ball State,L,7,51
Florida,2013-09-21,3,,Tennessee,W,2,17
Florida Atlantic,2013-09-21,4,,Middle Tennessee State,L,6,42
Florida International,2013-09-21,4,@,Louisville,L,10,72
Florida State,2013-09-21,2,,Bethune-Cookman,W,0,6
Georgia,2013-09-21,3,,North Texas,W,3,21
Georgia State,2013-09-21,3,,Jacksonville State,L,4,32
Georgia Tech,2013-09-21,3,,North Carolina,W,3,20
Hawaii,2013-09-21,3,@,Nevada,L,4,31
Houston,2013-09-21,3,N,Rice,W,4,26
Idaho,2013-09-21,4,@,Washington State,L,6,42
Indiana,2013-09-21,4,,Missouri,L,6,45
Iowa,2013-09-21,4,,Western Michigan,W,0,3
Kansas,2013-09-21,3,,Louisiana Tech,W,1,10
Kansas State,2013-09-21,4,@,Texas,L,4,31
Kent State,2013-09-21,4,@,Penn State,L,4,34
Louisiana,2013-09-21,4,@,Akron,W,4,30
Louisiana Tech,2013-09-21,4,@,Kansas,L,1,13
Louisiana-Monroe,2013-09-21,4,@,Baylor,L,10,70
Louisville,2013-09-21,4,,Florida International,W,0,0
LSU,2013-09-21,4,,Auburn,W,3,21
Marshall,2013-09-21,4,@,Virginia Tech,L,4,29
Maryland,2013-09-21,4,N,West Virginia,W,0,0
Massachusetts,2013-09-21,4,,Vanderbilt,L,3,24
Memphis,2013-09-21,3,,Arkansas State,W,1,7
Miami (FL),2013-09-21,2,,Savannah State,W,1,7
Miami (OH),2013-09-21,3,,Cincinnati,L,2,14
Michigan,2013-09-21,4,@,Connecticut,W,3,21
Michigan State,2013-09-21,4,@,Notre Dame,L,2,17
Middle Tennessee State,2013-09-21,4,@,Florida Atlantic,W,5,35
Minnesota,2013-09-21,4,,San Jose State,W,3,24
Mississippi State,2013-09-21,4,,Troy,W,1,7
Missouri,2013-09-21,3,@,Indiana,W,4,28
Nebraska,2013-09-21,3,,South Dakota State,W,2,20
Nevada,2013-09-21,4,,Hawaii,W,1,9
New Mexico State,2013-09-21,4,@,UCLA,L,8,59
North Carolina,2013-09-21,3,@,Georgia Tech,L,4,28
North Texas,2013-09-21,4,@,Georgia,L,6,45
Northern Illinois,2013-09-21,3,,Eastern Illinois,W,6,39
Northwestern,2013-09-21,3,,Maine,W,3,21
Notre Dame,2013-09-21,4,,Michigan State,W,1,13
Ohio,2013-09-21,3,,Austin Peay,W,0,0
Ohio State,2013-09-21,3,,Florida A&M,W,0,0
Oregon State,2013-09-21,4,@,San Diego State,W,3,30
Penn State,2013-09-21,4,,Kent State,W,0,0
Pitt,2013-09-21,3,@,Duke,W,8,55
Purdue,2013-09-21,4,@,Wisconsin,L,5,41
Rice,2013-09-21,3,N,Houston,L,4,31
Rutgers,2013-09-21,4,,Arkansas,W,3,24
San Diego State,2013-09-21,3,,Oregon State,L,5,34
San Jose State,2013-09-21,3,@,Minnesota,L,6,43
SMU,2013-09-21,3,@,Texas A&M,L,6,42
Stanford,2013-09-21,3,,Arizona State,W,4,28
Syracuse,2013-09-21,4,,Tulane,W,2,17
Tennessee,2013-09-21,4,@,Florida,L,4,31
Texas,2013-09-21,4,,Kansas State,W,3,21
Texas A&M,2013-09-21,4,,Southern Methodist,W,1,13
Texas State,2013-09-21,3,@,Texas Tech,L,3,33
Texas Tech,2013-09-21,4,,Texas State,W,1,7
Toledo,2013-09-21,4,@,Central Michigan,W,2,17
Troy,2013-09-21,4,@,Mississippi State,L,8,62
Tulane,2013-09-21,4,@,Syracuse,L,7,52
UAB,2013-09-21,2,,Northwestern State,W,4,28
UCLA,2013-09-21,3,,New Mexico State,W,2,13
UNLV,2013-09-21,3,,Western Illinois,W,1,7
USC,2013-09-21,4,,Utah State,W,2,14
Utah,2013-09-21,4,@,Brigham Young,W,1,13
Utah State,2013-09-21,4,@,Southern California,L,2,17
UTEP,2013-09-21,3,,Texas-San Antonio,L,4,32
UTSA,2013-09-21,4,@,Texas-El Paso,W,1,13
Vanderbilt,2013-09-21,4,@,Massachusetts,W,1,7
Virginia,2013-09-21,2,,Virginia Military Institute,W,0,0
Virginia Tech,2013-09-21,4,,Marshall,W,3,21
Wake Forest,2013-09-21,4,@,Army,W,0,11
Washington,2013-09-21,2,,Idaho State,W,0,0
Washington State,2013-09-21,4,,Idaho,W,0,0
West Virginia,2013-09-21,4,N,Maryland,L,4,37
Western Kentucky,2013-09-21,3,,Morgan State,W,2,17
Western Michigan,2013-09-21,4,@,Iowa,L,8,59
Wisconsin,2013-09-21,4,,Purdue,W,1,10
Wyoming,2013-09-21,4,@,Air Force,W,3,23
Georgia Tech,2013-09-26,4,,Virginia Tech,L,2,17
Iowa State,2013-09-26,3,@,Tulsa,W,3,21
Tulsa,2013-09-26,4,,Iowa State,L,5,38
Virginia Tech,2013-09-26,5,@,Georgia Tech,W,1,10
Brigham Young,2013-09-27,4,,Middle Tennessee State,W,1,10
Middle Tennessee State,2013-09-27,5,@,Brigham Young,L,5,37
San Jose State,2013-09-27,4,,Utah State,L,4,40
Utah State,2013-09-27,5,@,San Jose State,W,1,12
Air Force,2013-09-28,5,@,Nevada,L,6,45
Akron,2013-09-28,5,@,Bowling Green State,L,4,31
Alabama,2013-09-28,4,,Mississippi,W,0,0
Arizona,2013-09-28,4,@,Washington,L,4,31
Arizona State,2013-09-28,4,,Southern California,W,6,41
Arkansas,2013-09-28,5,,Texas A&M,L,6,45
Arkansas State,2013-09-28,5,@,Missouri,L,6,41
Army,2013-09-28,5,N,Louisiana Tech,W,2,16
Ball State,2013-09-28,5,,Toledo,W,3,24
Boise State,2013-09-28,5,,Southern Mississippi,W,1,7
Boston College,2013-09-28,4,,Florida State,L,6,48
Bowling Green State,2013-09-28,5,,Akron,W,2,14
Buffalo,2013-09-28,4,,Connecticut,W,1,12
California,2013-09-28,4,@,Oregon,L,8,55
Central Michigan,2013-09-28,5,@,North Carolina State,L,6,48
Clemson,2013-09-28,4,,Wake Forest,W,1,7
Colorado,2013-09-28,4,@,Oregon State,L,6,44
Colorado State,2013-09-28,5,,Texas-El Paso,W,6,42
Connecticut,2013-09-28,4,@,Buffalo,L,5,41
Duke,2013-09-28,5,,Troy,W,4,31
East Carolina,2013-09-28,4,@,North Carolina,W,4,31
Florida,2013-09-28,4,@,Kentucky,W,1,7
Florida Atlantic,2013-09-28,5,@,Rice,L,2,18
Florida State,2013-09-28,4,@,Boston College,W,4,34
Fresno State,2013-09-28,5,@,Hawaii,W,5,37
Georgia,2013-09-28,4,,Louisiana State,W,5,41
Hawaii,2013-09-28,4,,Fresno State,L,6,42
Houston,2013-09-28,4,@,Texas-San Antonio,W,4,28
Idaho,2013-09-28,5,,Temple,W,3,24
Illinois,2013-09-28,4,,Miami (OH),W,2,14
Iowa,2013-09-28,5,@,Minnesota,W,1,7
Kent State,2013-09-28,5,@,Western Michigan,W,2,14
Kentucky,2013-09-28,4,,Florida,L,3,24
Louisiana Tech,2013-09-28,5,N,Army,L,5,35
Louisiana-Monroe,2013-09-28,5,,Tulane,L,4,31
LSU,2013-09-28,5,@,Georgia,L,5,44
Miami (FL),2013-09-28,4,@,South Florida,W,3,21
Miami (OH),2013-09-28,4,@,Illinois,L,7,50
Minnesota,2013-09-28,5,,Iowa,L,2,23
Missouri,2013-09-28,4,,Arkansas State,W,1,19
