School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
San Jose State,2000-09-02,1,@,Nebraska,L,14,37,37.8,153,2,29,193,6.7,0,0,1,1
SMU,2000-09-02,1,,Kansas,W,14,25,56.0,164,2,44,151,3.4,2,0,1,1
South Carolina,2000-09-02,1,,New Mexico State,W,14,26,53.8,149,0,39,204,5.2,3,2,1,3
South Florida,2000-09-02,1,,Jacksonville State,W,19,30,63.3,224,2,50,289,5.8,2,1,1,2
Southern Mississippi,2000-09-02,1,@,Tennessee,L,22,30,73.3,232,2,31,71,2.3,0,2,0,2
Stanford,2000-09-02,1,@,Washington State,W,17,28,60.7,256,2,38,118,3.1,1,1,0,1
Syracuse,2000-09-02,1,,Buffalo,W,6,9,66.7,82,1,50,298,6.0,6,0,1,1
Temple,2000-09-02,1,@,Navy,W,17,27,63.0,188,0,58,231,4.0,2,2,0,2
Tennessee,2000-09-02,1,,Southern Mississippi,W,13,25,52.0,125,2,40,145,3.6,0,0,1,1
Texas A&M,2000-09-02,1,@,Notre Dame,L,16,28,57.1,165,0,37,90,2.4,1,0,1,1
Texas Tech,2000-09-02,2,,Utah State,W,37,57,64.9,505,3,28,77,2.8,1,0,1,1
Toledo,2000-09-02,1,@,Penn State,W,18,28,64.3,140,1,54,245,4.5,2,0,0,0
Tulane,2000-09-02,1,@,Mississippi,L,17,39,43.6,204,1,35,120,3.4,1,0,1,1
Tulsa,2000-09-02,1,@,North Carolina,L,17,38,44.7,214,1,27,19,0.7,0,1,0,1
UCF,2000-09-02,1,@,Georgia Tech,L,16,31,51.6,247,1,26,8,0.3,1,1,1,2
UCLA,2000-09-02,1,,Alabama,W,15,27,55.6,225,2,57,171,3.0,3,0,1,1
Utah,2000-09-02,1,,Arizona,L,21,51,41.2,310,0,39,60,1.5,0,3,2,5
Utah State,2000-09-02,1,@,Texas Tech,L,16,35,45.7,153,2,28,147,5.3,0,2,1,3
UTEP,2000-09-02,1,@,Oklahoma,L,21,42,50.0,217,1,38,125,3.3,1,5,2,7
Vanderbilt,2000-09-02,1,,Miami (OH),L,18,25,72.0,307,2,32,56,1.8,2,0,0,0
Virginia,2000-09-02,1,,Brigham Young,L,13,23,56.5,217,1,42,270,6.4,4,0,1,1
Virginia Tech,2000-09-02,1,,Akron,W,9,16,56.3,214,2,48,335,7.0,4,3,1,4
Washington,2000-09-02,1,,Idaho,W,17,31,54.8,235,1,44,239,5.4,4,0,1,1
Washington State,2000-09-02,1,,Stanford,L,20,36,55.6,161,0,36,91,2.5,0,0,2,2
West Virginia,2000-09-02,1,,Boston College,W,7,19,36.8,166,0,53,189,3.6,2,0,0,0
Army,2000-09-04,1,@,Cincinnati,L,14,29,48.3,123,1,34,120,3.5,1,1,1,2
Cincinnati,2000-09-04,1,,Army,W,18,29,62.1,239,1,51,198,3.9,1,0,2,2
East Carolina,2000-09-07,2,,Virginia Tech,L,23,47,48.9,331,2,39,87,2.2,1,0,3,3
UAB,2000-09-07,1,,Chattanooga,W,13,28,46.4,223,1,38,177,4.7,2,3,2,5
Virginia Tech,2000-09-07,2,@,East Carolina,W,9,16,56.3,106,1,36,205,5.7,3,1,0,1
Air Force,2000-09-09,2,,Brigham Young,W,11,16,68.8,203,4,53,186,3.5,0,0,0,0
Akron,2000-09-09,2,@,Central Michigan,L,8,24,33.3,68,0,39,184,4.7,1,0,2,2
Alabama,2000-09-09,2,,Vanderbilt,W,6,15,40.0,57,0,42,292,7.0,3,0,0,0
Arizona,2000-09-09,2,,Ohio State,L,11,23,47.8,137,1,39,57,1.5,1,1,0,1
Arkansas State,2000-09-09,2,@,Oklahoma,L,21,33,63.6,191,0,21,84,4.0,1,0,1,1
Army,2000-09-09,2,,Boston College,L,20,38,52.6,193,1,39,161,4.1,1,0,3,3
Auburn,2000-09-09,2,@,Mississippi,W,13,26,50.0,160,0,51,261,5.1,5,1,0,1
Ball State,2000-09-09,2,,Western Illinois,L,16,33,48.5,156,2,36,165,4.6,0,1,4,5
Boise State,2000-09-09,2,,Northern Iowa,W,17,26,65.4,351,3,37,238,6.4,3,0,2,2
Boston College,2000-09-09,2,@,Army,W,20,30,66.7,335,3,48,252,5.3,3,0,0,0
Bowling Green State,2000-09-09,2,,Pittsburgh,L,19,39,48.7,197,1,39,35,0.9,1,1,1,2
Brigham Young,2000-09-09,3,@,Air Force,L,18,40,45.0,235,1,26,125,4.8,1,2,1,3
Buffalo,2000-09-09,2,@,Rutgers,L,24,45,53.3,223,0,37,-7,-0.2,0,3,1,4
California,2000-09-09,1,,Utah,W,18,28,64.3,209,1,45,120,2.7,2,2,1,3
Central Michigan,2000-09-09,2,,Akron,W,9,19,47.4,173,1,50,171,3.4,1,0,0,0
Cincinnati,2000-09-09,2,,Syracuse,W,16,35,45.7,188,0,35,155,4.4,0,2,0,2
Clemson,2000-09-09,2,,Missouri,W,15,24,62.5,275,2,50,206,4.1,6,1,0,1
Colorado,2000-09-09,2,@,Southern California,L,17,27,63.0,231,2,38,137,3.6,0,1,0,1
Colorado State,2000-09-09,2,,East Tennessee State,W,22,34,64.7,219,1,43,297,6.9,5,1,1,2
Connecticut,2000-09-09,2,,Colgate,W,25,36,69.4,327,2,34,83,2.4,3,0,0,0
Duke,2000-09-09,2,@,Northwestern,L,11,32,34.4,130,0,32,44,1.4,0,0,4,4
Eastern Michigan,2000-09-09,2,,Miami (OH),L,23,43,53.5,228,1,32,135,4.2,1,0,1,1
Florida,2000-09-09,2,,Middle Tennessee State,W,26,41,63.4,299,4,30,158,5.3,1,2,1,3
Florida State,2000-09-09,2,@,Georgia Tech,W,26,40,65.0,463,2,34,73,2.1,1,1,1,2
Fresno State,2000-09-09,2,@,UCLA,L,20,33,60.6,249,3,23,26,1.1,0,1,0,1
Georgia,2000-09-09,2,@,South Carolina,L,10,24,41.7,108,0,28,94,3.4,1,0,5,5
Georgia Tech,2000-09-09,2,,Florida State,L,22,37,59.5,219,1,34,79,2.3,1,0,0,0
Hawaii,2000-09-09,1,,Portland State,L,28,57,49.1,367,2,20,53,2.7,0,1,2,3
Houston,2000-09-09,2,@,Louisiana State,L,29,54,53.7,354,2,27,84,3.1,0,2,2,4
Idaho,2000-09-09,2,,Montana,L,31,47,66.0,303,4,39,131,3.4,1,0,3,3
Illinois,2000-09-09,2,@,San Diego State,W,19,26,73.1,158,3,44,259,5.9,4,2,0,2
Indiana,2000-09-09,1,,North Carolina State,L,14,27,51.9,240,2,44,236,5.4,3,1,0,1
Iowa,2000-09-09,2,,Western Michigan,L,23,34,67.6,314,2,31,49,1.6,0,2,0,2
Iowa State,2000-09-09,2,,Nevada-Las Vegas,W,16,31,51.6,286,2,42,150,3.6,1,0,1,1
Kent State,2000-09-09,2,@,Purdue,L,20,30,66.7,190,1,33,129,3.9,0,1,0,1
Kentucky,2000-09-09,2,,South Florida,W,30,58,51.7,382,3,30,145,4.8,0,0,1,1
Louisiana,2000-09-09,2,@,Texas,L,17,34,50.0,183,0,42,68,1.6,0,0,2,2
Louisiana Tech,2000-09-09,3,@,Penn State,L,16,33,48.5,122,1,19,45,2.4,0,2,5,7
Louisiana-Monroe,2000-09-09,2,@,Memphis,L,17,43,39.5,132,0,19,44,2.3,0,1,2,3
Louisville,2000-09-09,2,,Grambling State,W,15,26,57.7,202,4,39,226,5.8,3,2,1,3
LSU,2000-09-09,2,,Houston,W,11,25,44.0,175,2,39,120,3.1,1,1,2,3
Marshall,2000-09-09,2,@,Michigan State,L,27,44,61.4,227,3,19,51,2.7,0,1,3,4
Maryland,2000-09-09,1,,Temple,W,11,23,47.8,154,0,36,100,2.8,2,3,0,3
Memphis,2000-09-09,2,,Louisiana-Monroe,W,13,24,54.2,98,0,46,180,3.9,4,2,0,2
Miami (FL),2000-09-09,2,@,Washington,L,15,34,44.1,215,1,33,158,4.8,3,3,0,3
Miami (OH),2000-09-09,2,@,Eastern Michigan,W,13,29,44.8,232,0,42,179,4.3,2,1,1,2
Michigan,2000-09-09,2,,Rice,W,13,19,68.4,166,3,49,230,4.7,2,0,0,0
Michigan State,2000-09-09,1,,Marshall,W,21,31,67.7,212,2,43,221,5.1,2,1,2,3
Middle Tennessee State,2000-09-09,2,@,Florida,L,17,32,53.1,139,0,35,90,2.6,0,4,1,5
Minnesota,2000-09-09,2,,Ohio,L,10,28,35.7,223,2,26,147,5.7,0,1,1,2
Missouri,2000-09-09,2,@,Clemson,L,14,28,50.0,144,0,36,72,2.0,1,3,3,6
Nebraska,2000-09-09,2,@,Notre Dame,W,7,15,46.7,103,0,59,274,4.6,4,0,1,1
Nevada,2000-09-09,2,,Texas Christian,L,23,47,48.9,259,0,36,11,0.3,1,1,0,1
New Mexico,2000-09-09,3,,Oregon State,L,12,21,57.1,130,2,31,42,1.4,0,1,2,3
North Carolina,2000-09-09,2,@,Wake Forest,W,7,13,53.8,194,2,49,129,2.6,0,1,0,1
North Carolina State,2000-09-09,2,@,Indiana,W,31,52,59.6,401,5,23,73,3.2,0,0,1,1
North Texas,2000-09-09,2,@,Texas Tech,L,6,13,46.2,107,0,33,49,1.5,0,2,0,2
Northern Illinois,2000-09-09,2,,Illinois State,W,9,18,50.0,117,0,65,305,4.7,6,0,1,1
Northwestern,2000-09-09,2,,Duke,W,18,30,60.0,213,2,52,259,5.0,3,0,0,0
Notre Dame,2000-09-09,2,,Nebraska,L,3,15,20.0,40,0,40,184,4.6,1,0,1,1
Ohio,2000-09-09,2,@,Minnesota,W,3,9,33.3,90,2,73,363,5.0,1,0,0,0
Ohio State,2000-09-09,2,@,Arizona,W,12,20,60.0,240,2,40,101,2.5,1,2,1,3
Oklahoma,2000-09-09,2,,Arkansas State,W,26,34,76.5,325,3,35,208,5.9,2,0,1,1
Oklahoma State,2000-09-09,1,@,Tulsa,W,11,20,55.0,166,3,38,247,6.5,1,1,0,1
Ole Miss,2000-09-09,2,,Auburn,L,11,26,42.3,105,1,32,152,4.8,2,0,3,3
Oregon,2000-09-09,2,@,Wisconsin,L,22,49,44.9,362,1,25,92,3.7,0,0,3,3
Oregon State,2000-09-09,2,@,New Mexico,W,12,28,42.9,78,1,49,222,4.5,2,1,0,1
Penn State,2000-09-09,3,,Louisiana Tech,W,16,22,72.7,194,5,63,299,4.7,3,2,0,2
Pitt,2000-09-09,2,@,Bowling Green State,W,22,32,68.8,321,4,35,36,1.0,0,3,0,3
Purdue,2000-09-09,2,,Kent State,W,36,54,66.7,437,3,37,168,4.5,3,2,1,3
Rice,2000-09-09,2,@,Michigan,L,5,11,45.5,107,1,46,164,3.6,0,2,0,2
Rutgers,2000-09-09,2,,Buffalo,W,19,29,65.5,266,5,39,187,4.8,3,1,0,1
San Diego State,2000-09-09,2,,Illinois,L,19,36,52.8,151,0,34,99,2.9,1,0,2,2
San Jose State,2000-09-09,2,@,Stanford,W,18,30,60.0,199,2,34,284,8.4,3,1,0,1
SMU,2000-09-09,2,@,Texas-El Paso,L,22,45,48.9,420,2,25,77,3.1,1,0,2,2
South Carolina,2000-09-09,2,,Georgia,W,18,28,64.3,154,0,43,133,3.1,3,0,1,1
South Florida,2000-09-09,2,@,Kentucky,L,12,24,50.0,81,0,36,134,3.7,1,1,1,2
Stanford,2000-09-09,2,,San Jose State,L,18,42,42.9,373,4,44,241,5.5,0,2,1,3
Syracuse,2000-09-09,2,@,Cincinnati,L,21,30,70.0,221,1,37,105,2.8,0,1,2,3
Temple,2000-09-09,2,@,Maryland,L,25,37,67.6,339,0,36,104,2.9,1,1,1,2
Texas,2000-09-09,1,,Louisiana,W,25,40,62.5,403,5,23,87,3.8,2,1,1,2
Texas A&M,2000-09-09,2,,Wyoming,W,16,25,64.0,299,2,37,191,5.2,5,2,0,2
Texas Christian,2000-09-09,1,@,Nevada,W,3,10,30.0,53,0,55,317,5.8,4,2,2,4
Texas Tech,2000-09-09,3,,North Texas,W,42,55,76.4,238,1,29,80,2.8,0,0,3,3
Toledo,2000-09-09,2,,Weber State,W,18,27,66.7,201,2,45,205,4.6,4,1,0,1
Tulsa,2000-09-09,2,,Oklahoma State,L,28,49,57.1,373,2,30,62,2.1,1,2,1,3
UCF,2000-09-09,2,,Northwestern State,W,21,34,61.8,253,1,33,132,4.0,1,0,1,1
UCLA,2000-09-09,2,,Fresno State,W,17,33,51.5,135,1,48,135,2.8,2,0,0,0
UNLV,2000-09-09,1,@,Iowa State,L,9,25,36.0,190,2,47,197,4.2,1,1,1,2
USC,2000-09-09,2,,Colorado,W,25,31,80.6,275,1,38,158,4.2,1,0,1,1
Utah,2000-09-09,2,@,California,L,16,31,51.6,158,0,38,139,3.7,1,3,1,4
Utah State,2000-09-09,2,,Southern Utah,W,15,28,53.6,225,4,26,29,1.1,0,1,0,1
UTEP,2000-09-09,2,,Southern Methodist,W,13,19,68.4,206,3,46,206,4.5,1,0,0,0
Vanderbilt,2000-09-09,2,@,Alabama,L,12,26,46.2,172,0,31,85,2.7,1,0,0,0
Virginia,2000-09-09,2,,Richmond,W,19,28,67.9,299,1,32,107,3.3,3,0,0,0
Wake Forest,2000-09-09,2,,North Carolina,L,14,34,41.2,164,0,40,-2,-0.1,1,1,0,1
Washington,2000-09-09,2,,Miami (FL),W,18,31,58.1,223,1,46,128,2.8,4,1,2,3
Western Michigan,2000-09-09,2,@,Iowa,W,21,31,67.7,294,2,36,59,1.6,1,1,1,2
Wisconsin,2000-09-09,2,,Oregon,W,5,13,38.5,65,0,43,302,7.0,3,0,1,1
Wyoming,2000-09-09,2,@,Texas A&M,L,17,32,53.1,130,0,42,83,2.0,0,2,1,3
Brigham Young,2000-09-14,4,,Mississippi State,L,27,50,54.0,268,2,32,74,2.3,2,2,2,4
Mississippi State,2000-09-14,2,@,Brigham Young,W,13,20,65.0,167,1,32,217,6.8,2,2,0,2
Akron,2000-09-16,3,,Central Florida,W,15,25,60.0,228,2,50,279,5.6,3,1,1,2
Alabama,2000-09-16,3,,Southern Mississippi,L,19,35,54.3,122,0,33,95,2.9,0,2,2,4
Arizona,2000-09-16,3,,San Diego State,W,19,31,61.3,200,1,36,185,5.1,0,3,1,4
Arizona State,2000-09-16,2,,Colorado State,W,11,24,45.8,77,0,48,184,3.8,1,0,0,0
Arkansas,2000-09-16,2,,Boise State,W,12,28,42.9,249,2,46,217,4.7,2,1,1,2
Arkansas State,2000-09-16,3,,Memphis,L,17,30,56.7,222,1,28,102,3.6,1,0,1,1
Army,2000-09-16,3,@,Houston,L,21,41,51.2,305,1,26,52,2.0,1,0,0,0
Auburn,2000-09-16,3,,Louisiana State,W,21,30,70.0,225,2,48,196,4.1,1,1,0,1
Ball State,2000-09-16,3,@,Kansas State,L,1,8,12.5,5,0,45,46,1.0,0,1,2,3
Baylor,2000-09-16,2,,Minnesota,L,15,40,37.5,123,1,26,56,2.2,0,1,1,2
Boise State,2000-09-16,3,@,Arkansas,L,23,48,47.9,304,2,26,74,2.8,0,0,2,2
Bowling Green State,2000-09-16,3,@,Temple,L,14,28,50.0,164,2,29,26,0.9,0,0,0,0
Buffalo,2000-09-16,3,,Connecticut,L,26,40,65.0,259,2,36,101,2.8,0,1,1,2
California,2000-09-16,2,@,Illinois,L,15,32,46.9,162,2,33,114,3.5,0,1,0,1
Central Michigan,2000-09-16,3,@,Wyoming,L,18,36,50.0,240,1,31,43,1.4,0,2,0,2
Cincinnati,2000-09-16,3,@,Wisconsin,L,19,37,51.4,238,2,37,113,3.1,0,0,1,1
Clemson,2000-09-16,3,,Wake Forest,W,10,21,47.6,187,2,66,436,6.6,5,0,0,0
Colorado,2000-09-16,3,,Washington,L,15,27,55.6,174,1,35,69,2.0,0,2,0,2
Colorado State,2000-09-16,3,@,Arizona State,L,14,31,45.2,225,1,34,64,1.9,0,1,1,2
Connecticut,2000-09-16,3,@,Buffalo,W,20,37,54.1,199,2,38,139,3.7,1,1,0,1
Duke,2000-09-16,3,,Virginia,L,18,36,50.0,198,0,34,133,3.9,1,0,1,1
East Carolina,2000-09-16,3,,Tulane,W,13,33,39.4,258,3,44,247,5.6,2,0,0,0
Eastern Michigan,2000-09-16,3,@,South Carolina,L,20,33,60.6,149,0,27,43,1.6,0,1,0,1
Florida,2000-09-16,3,@,Tennessee,W,20,43,46.5,290,1,21,39,1.9,1,0,1,1
Florida State,2000-09-16,3,,North Carolina,W,15,27,55.6,346,5,41,194,4.7,3,0,0,0
Georgia Tech,2000-09-16,3,,Navy,W,10,19,52.6,166,3,40,139,3.5,1,1,0,1
Houston,2000-09-16,3,,Army,W,31,48,64.6,336,1,44,188,4.3,3,2,2,4
Idaho,2000-09-16,3,@,Oregon,L,15,35,42.9,186,1,25,119,4.8,1,2,0,2
Illinois,2000-09-16,3,,California,W,7,24,29.2,112,1,57,222,3.9,1,1,0,1
Indiana,2000-09-16,2,@,Kentucky,L,11,26,42.3,143,2,43,232,5.4,2,2,0,2
Iowa,2000-09-16,3,,Iowa State,L,22,41,53.7,235,2,28,93,3.3,0,0,1,1
Iowa State,2000-09-16,3,@,Iowa,W,18,27,66.7,239,0,46,246,5.3,3,0,1,1
Kansas,2000-09-16,2,,Alabama-Birmingham,W,10,23,43.5,152,1,44,209,4.8,2,2,2,4
Kansas State,2000-09-16,3,,Ball State,W,8,12,66.7,192,3,57,322,5.6,7,0,0,0
Kent State,2000-09-16,3,,Youngstown State,L,20,34,58.8,178,1,36,97,2.7,2,0,1,1
Kentucky,2000-09-16,3,,Indiana,W,33,48,68.8,339,2,26,79,3.0,2,0,0,0
Louisiana,2000-09-16,3,@,Texas Tech,L,11,22,50.0,85,0,34,94,2.8,0,0,3,3
Louisiana Tech,2000-09-16,4,,Stephen F. Austin,L,26,38,68.4,282,3,38,187,4.9,1,1,1,2
Louisiana-Monroe,2000-09-16,3,,Nicholls State,W,25,37,67.6,369,1,38,69,1.8,1,1,2,3
LSU,2000-09-16,3,@,Auburn,L,13,30,43.3,214,2,26,83,3.2,0,0,1,1
Maryland,2000-09-16,2,@,West Virginia,L,19,30,63.3,215,0,30,71,2.4,1,0,1,1
Memphis,2000-09-16,3,@,Arkansas State,W,14,23,60.9,122,1,44,147,3.3,0,0,0,0
Miami (OH),2000-09-16,3,@,Ohio State,L,21,48,43.8,236,2,22,132,6.0,0,0,3,3
Michigan,2000-09-16,3,@,UCLA,L,8,28,28.6,111,1,46,263,5.7,2,1,1,2
Michigan State,2000-09-16,2,@,Missouri,W,10,24,41.7,157,0,46,140,3.0,1,1,1,2
Middle Tennessee State,2000-09-16,3,,Murray State,W,22,35,62.9,260,0,51,273,5.4,5,1,1,2
Minnesota,2000-09-16,3,@,Baylor,W,14,20,70.0,172,2,55,289,5.3,2,1,1,2
