School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Missouri,2006-09-02,1,,Murray State,W,6,47,40,20,30,66.7,123,1,25,27,1.1,0,1,1,2
Navy,2006-09-02,1,,East Carolina,W,4,28,5,24,35,68.6,283,2,25,76,3.0,1,1,0,1
Nebraska,2006-09-02,1,,Louisiana Tech,W,7,49,39,13,32,40.6,238,1,21,67,3.2,0,2,1,3
New Mexico,2006-09-02,1,,Portland State,L,0,6,-11,13,30,43.3,173,2,25,60,2.4,0,0,1,1
North Carolina,2006-09-02,1,,Rutgers,L,2,16,-5,14,20,70.0,145,0,41,217,5.3,3,1,0,1
North Carolina State,2006-09-02,1,,Appalachian State,W,3,23,13,5,16,31.3,66,0,37,67,1.8,1,1,1,2
North Texas,2006-09-02,1,@,Texas,L,1,7,-49,15,26,57.7,198,3,44,212,4.8,4,1,1,2
Northern Illinois,2006-09-02,1,@,Ohio State,L,1,12,-23,20,27,74.1,315,3,36,173,4.8,2,2,0,2
Notre Dame,2006-09-02,1,@,Georgia Tech,W,2,14,4,12,24,50.0,140,1,28,119,4.3,0,0,0,0
Ohio,2006-09-02,1,,Tennessee-Martin,W,3,29,26,12,24,50.0,74,0,29,49,1.7,0,1,0,1
Ohio State,2006-09-02,1,,Northern Illinois,W,5,35,23,16,30,53.3,192,1,33,151,4.6,0,0,1,1
Oklahoma,2006-09-02,1,,Alabama-Birmingham,W,3,24,7,11,17,64.7,169,1,40,135,3.4,1,1,0,1
Oklahoma State,2006-09-02,1,,Missouri State,W,7,52,42,19,31,61.3,266,0,30,68,2.3,1,1,1,2
Oregon,2006-09-02,1,,Stanford,W,6,48,38,20,34,58.8,224,1,35,100,2.9,0,1,0,1
Penn State,2006-09-02,1,,Akron,W,4,34,18,23,43,53.5,192,1,34,33,1.0,1,1,2,3
Pitt,2006-09-02,1,,Virginia,W,5,38,25,19,38,50.0,159,0,21,52,2.5,1,0,2,2
Purdue,2006-09-02,1,,Indiana State,W,8,60,25,23,36,63.9,235,1,32,152,4.8,3,0,2,2
Rice,2006-09-02,1,,Houston,L,4,30,-1,22,35,62.9,233,3,28,96,3.4,1,0,0,0
Rutgers,2006-09-02,1,@,North Carolina,W,3,21,5,24,36,66.7,234,1,32,169,5.3,1,1,2,3
San Jose State,2006-09-02,1,@,Washington,L,3,29,-6,16,25,64.0,168,1,41,300,7.3,4,2,1,3
SMU,2006-09-02,1,@,Texas Tech,L,0,3,-32,38,54,70.4,363,5,23,138,6.0,0,0,1,1
South Florida,2006-09-02,1,,McNeese State,W,6,41,31,7,19,36.8,81,0,37,82,2.2,0,0,2,2
Southern Mississippi,2006-09-02,1,@,Florida,L,1,7,-27,21,30,70.0,248,3,29,143,4.9,2,0,1,1
Stanford,2006-09-02,1,@,Oregon,L,1,10,-38,21,30,70.0,236,1,41,298,7.3,4,1,0,1
Syracuse,2006-09-02,1,@,Wake Forest,L,1,10,-10,15,23,65.2,118,1,49,245,5.0,1,1,1,2
Tennessee,2006-09-02,1,,California,W,5,35,17,20,42,47.6,272,1,23,64,2.8,1,0,2,2
Texas,2006-09-02,1,,North Texas,W,8,56,49,9,19,47.4,87,1,28,8,0.3,0,2,0,2
Texas A&M,2006-09-02,1,,Citadel,W,5,35,32,19,38,50.0,128,0,33,115,3.5,0,1,0,1
Texas Tech,2006-09-02,1,,Southern Methodist,W,5,35,32,10,19,52.6,71,0,34,118,3.5,0,1,0,1
Troy,2006-09-02,1,,Alabama State,W,5,38,38,11,22,50.0,69,0,33,65,2.0,0,1,0,1
UAB,2006-09-02,1,@,Oklahoma,L,2,17,-7,14,24,58.3,227,2,29,143,4.9,1,2,2,4
UCF,2006-09-02,1,,Villanova,W,5,35,19,22,32,68.8,241,1,31,81,2.6,1,0,1,1
UCLA,2006-09-02,1,,Utah,W,4,31,21,14,34,41.2,175,1,23,112,4.9,0,1,2,3
UNLV,2006-09-02,1,,Idaho State,W,7,54,44,19,36,52.8,288,1,29,62,2.1,0,1,1,2
USC,2006-09-02,1,@,Arkansas,W,6,50,36,16,32,50.0,157,0,27,130,4.8,2,2,3,5
Utah,2006-09-02,1,@,UCLA,L,1,10,-21,25,34,73.5,318,3,41,107,2.6,0,0,0,0
Utah State,2006-09-02,1,@,Wyoming,L,1,7,-31,18,27,66.7,239,3,51,221,4.3,1,2,1,3
Vanderbilt,2006-09-02,1,@,Michigan,L,1,7,-20,10,22,45.5,135,2,51,246,4.8,1,1,0,1
Virginia,2006-09-02,1,@,Pittsburgh,L,1,13,-25,17,22,77.3,283,3,33,107,3.2,0,0,1,1
Virginia Tech,2006-09-02,1,,Northeastern,W,5,38,38,15,26,57.7,106,0,37,101,2.7,0,0,2,2
Wake Forest,2006-09-02,1,,Syracuse,W,2,20,10,6,19,31.6,45,1,30,91,3.0,0,1,0,1
Washington,2006-09-02,1,,San Jose State,W,5,35,6,28,37,75.7,323,3,29,50,1.7,0,0,0,0
Washington State,2006-09-02,1,@,Auburn,L,2,14,-26,11,19,57.9,191,1,44,293,6.7,3,0,0,0
West Virginia,2006-09-02,1,,Marshall,W,6,42,32,12,22,54.5,168,1,34,154,4.5,0,0,1,1
Western Michigan,2006-09-02,1,@,Indiana,L,2,20,-19,20,35,57.1,252,2,28,71,2.5,1,1,1,2
Wisconsin,2006-09-02,1,@,Bowling Green State,W,5,35,21,12,19,63.2,82,0,46,219,4.8,2,0,0,0
Wyoming,2006-09-02,1,,Utah State,W,5,38,31,10,22,45.5,74,0,26,55,2.1,0,0,1,1
Baylor,2006-09-03,1,,Texas Christian,L,1,7,-10,18,27,66.7,233,2,35,98,2.8,0,0,1,1
Kentucky,2006-09-03,1,@,Louisville,L,4,28,-31,20,32,62.5,268,1,55,363,6.6,6,1,0,1
Louisville,2006-09-03,1,,Kentucky,W,8,59,31,10,26,38.5,238,3,19,22,1.2,0,1,0,1
Memphis,2006-09-03,1,@,Mississippi,L,3,25,-3,7,16,43.8,97,0,45,240,5.3,4,0,0,0
Ole Miss,2006-09-03,1,,Memphis,W,4,28,3,23,31,74.2,225,3,37,149,4.0,0,1,0,1
Texas Christian,2006-09-03,1,@,Baylor,W,2,17,10,31,47,66.0,286,1,20,47,2.4,0,1,1,2
Florida State,2006-09-04,1,@,Miami (FL),W,1,13,3,18,27,66.7,132,0,26,2,0.1,1,0,1,1
Miami (FL),2006-09-04,1,,Florida State,L,1,10,-3,16,32,50.0,175,0,25,1,0.0,1,0,1,1
Boise State,2006-09-07,2,,Oregon State,W,6,42,28,20,29,69.0,205,1,32,58,1.8,0,2,1,3
Oregon State,2006-09-07,2,@,Boise State,L,2,14,-28,8,14,57.1,105,1,42,302,7.2,5,1,0,1
Cincinnati,2006-09-08,2,,Pittsburgh,L,2,15,-18,11,21,52.4,267,3,35,90,2.6,0,3,0,3
Pitt,2006-09-08,2,@,Cincinnati,W,4,33,18,25,40,62.5,221,1,30,35,1.2,1,1,2,3
Air Force,2006-09-09,1,@,Tennessee,L,4,30,-1,24,29,82.8,333,3,32,79,2.5,1,1,1,2
Akron,2006-09-09,2,@,North Carolina State,W,3,20,3,16,32,50.0,209,2,32,81,2.5,0,2,1,3
Alabama,2006-09-09,2,,Vanderbilt,W,1,13,3,16,24,66.7,155,1,23,80,3.5,0,1,3,4
Arizona,2006-09-09,2,@,Louisiana State,L,0,3,-42,16,23,69.6,230,2,38,231,6.1,3,2,1,3
Arizona State,2006-09-09,2,,Nevada,W,7,52,31,18,31,58.1,170,2,37,135,3.6,0,1,3,4
Arkansas,2006-09-09,2,,Utah State,W,3,20,20,11,28,39.3,114,0,39,135,3.5,0,0,0,0
Arkansas State,2006-09-09,2,,Oklahoma State,L,1,7,-28,11,18,61.1,167,2,41,171,4.2,3,0,3,3
Army,2006-09-09,2,,Kent State,W,2,17,3,9,23,39.1,92,1,41,198,4.8,1,1,1,2
Auburn,2006-09-09,2,@,Mississippi State,W,4,34,34,12,25,48.0,82,0,33,79,2.4,0,2,1,3
Ball State,2006-09-09,2,,Indiana,L,3,23,-1,16,33,48.5,226,1,29,147,5.1,1,0,0,0
Baylor,2006-09-09,2,,Northwestern State,W,6,47,37,14,28,50.0,182,1,39,147,3.8,0,2,3,5
Boston College,2006-09-09,2,,Clemson,W,4,34,1,25,40,62.5,343,2,41,136,3.3,2,1,0,1
Bowling Green State,2006-09-09,2,,Buffalo,W,7,48,8,21,32,65.6,138,0,47,105,2.2,3,1,0,1
Brigham Young,2006-09-09,2,,Tulsa,W,7,49,25,21,35,60.0,221,1,31,82,2.6,2,0,1,1
Buffalo,2006-09-09,2,@,Bowling Green State,L,5,40,-8,18,26,69.2,214,3,58,356,6.1,4,1,1,2
California,2006-09-09,2,,Minnesota,W,6,42,25,21,33,63.6,243,0,32,109,3.4,1,0,2,2
Central Michigan,2006-09-09,2,@,Michigan,L,2,17,-24,13,21,61.9,134,0,50,252,5.0,4,0,0,0
Clemson,2006-09-09,2,@,Boston College,L,4,33,-1,22,38,57.9,212,1,37,110,3.0,2,1,0,1
Colorado,2006-09-09,2,N,Colorado State,L,1,10,-4,20,23,87.0,233,1,34,15,0.4,1,1,0,1
Colorado State,2006-09-09,2,N,Colorado,W,2,14,4,9,15,60.0,71,0,33,75,2.3,1,0,0,0
Duke,2006-09-09,2,@,Wake Forest,L,1,13,-1,22,29,75.9,235,1,24,57,2.4,1,2,0,2
East Carolina,2006-09-09,2,@,Alabama-Birmingham,L,1,12,-5,17,23,73.9,199,2,42,124,3.0,0,3,0,3
Eastern Michigan,2006-09-09,2,@,Michigan State,L,2,20,-32,29,37,78.4,322,5,40,264,6.6,2,1,1,2
Florida,2006-09-09,2,,Central Florida,W,6,42,42,17,36,47.2,132,0,24,21,0.9,0,0,0,0
Florida Atlantic,2006-09-09,2,@,Kansas State,L,0,0,-45,10,24,41.7,125,2,30,221,7.4,3,0,1,1
Florida International,2006-09-09,2,@,South Florida,L,3,20,-1,15,28,53.6,174,1,34,123,3.6,1,1,2,3
Florida State,2006-09-09,2,,Troy,W,3,24,7,31,48,64.6,271,1,14,24,1.7,1,0,3,3
Fresno State,2006-09-09,2,,Oregon,L,3,24,-7,23,36,63.9,240,0,34,139,4.1,4,1,0,1
Georgia,2006-09-09,2,@,South Carolina,W,1,18,18,23,33,69.7,220,0,22,35,1.6,0,3,0,3
Georgia Tech,2006-09-09,2,,Samford,W,5,38,32,20,45,44.4,152,0,15,11,0.7,0,0,2,2
Houston,2006-09-09,2,,Tulane,W,6,45,38,16,29,55.2,169,1,23,55,2.4,0,1,1,2
Idaho,2006-09-09,2,@,Washington State,L,1,10,-46,18,24,75.0,293,4,43,344,8.0,4,1,0,1
Illinois,2006-09-09,2,@,Rutgers,L,0,0,-33,14,25,56.0,145,1,40,166,4.2,1,2,1,3
Indiana,2006-09-09,2,@,Ball State,W,3,24,1,21,33,63.6,289,3,22,41,1.9,0,0,1,1
Iowa,2006-09-09,2,@,Syracuse,W,2,20,7,21,38,55.3,210,1,44,70,1.6,0,0,0,0
Iowa State,2006-09-09,2,,Nevada-Las Vegas,W,2,16,6,24,35,68.6,218,1,31,74,2.4,0,0,1,1
Kansas,2006-09-09,2,,Louisiana-Monroe,W,3,21,2,24,41,58.5,377,2,23,51,2.2,1,0,0,0
Kansas State,2006-09-09,2,,Florida Atlantic,W,6,45,45,12,25,48.0,141,0,42,59,1.4,0,0,1,1
Kent State,2006-09-09,2,@,Army,L,2,14,-3,14,28,50.0,104,0,47,171,3.6,2,0,2,2
Kentucky,2006-09-09,2,,Texas State,W,6,41,34,13,27,48.1,155,1,26,55,2.1,0,1,1,2
Louisiana,2006-09-09,2,@,Texas A&M,L,1,7,-44,23,32,71.9,271,2,40,225,5.6,5,0,0,0
Louisiana-Monroe,2006-09-09,2,@,Kansas,L,3,19,-2,17,28,60.7,190,2,40,161,4.0,1,0,2,2
Louisville,2006-09-09,2,@,Temple,W,8,62,62,14,29,48.3,214,0,27,16,0.6,0,1,1,2
LSU,2006-09-09,2,,Arizona,W,6,45,42,16,36,44.4,117,0,21,35,1.7,0,1,3,4
Marshall,2006-09-09,2,,Hofstra,W,8,54,23,26,50,52.0,269,2,18,-5,-0.3,2,2,0,2
Maryland,2006-09-09,2,,Middle Tennessee State,W,3,24,14,22,41,53.7,216,0,33,105,3.2,1,2,1,3
Memphis,2006-09-09,2,,Chattanooga,W,4,33,19,15,27,55.6,111,2,28,138,4.9,0,0,1,1
Miami (FL),2006-09-09,2,,Florida A&M,W,7,51,41,11,20,55.0,143,1,23,82,3.6,0,2,0,2
Miami (OH),2006-09-09,2,@,Purdue,L,4,31,-7,18,32,56.3,220,1,28,171,6.1,4,0,3,3
Michigan,2006-09-09,2,,Central Michigan,W,5,41,24,18,39,46.2,188,2,21,16,0.8,0,2,1,3
Michigan State,2006-09-09,2,,Eastern Michigan,W,7,52,32,19,31,61.3,230,2,28,42,1.5,0,1,0,1
Middle Tennessee State,2006-09-09,2,@,Maryland,L,1,10,-14,11,16,68.8,139,0,34,135,4.0,3,1,0,1
Minnesota,2006-09-09,2,@,California,L,2,17,-25,22,31,71.0,300,4,48,231,4.8,2,1,0,1
Mississippi State,2006-09-09,2,,Auburn,L,0,0,-34,22,32,68.8,277,2,36,111,3.1,2,2,0,2
Missouri,2006-09-09,2,,Mississippi,W,4,34,27,13,29,44.8,90,1,28,72,2.6,0,0,3,3
Navy,2006-09-09,2,,Massachusetts,W,3,21,1,17,30,56.7,187,1,36,109,3.0,1,1,2,3
Nebraska,2006-09-09,2,,Nicholls State,W,8,56,49,0,3,0.0,0,0,47,187,4.0,1,3,0,3
Nevada,2006-09-09,2,@,Arizona State,L,3,21,-31,19,30,63.3,337,5,31,149,4.8,1,1,1,2
New Mexico,2006-09-09,2,@,New Mexico State,W,4,34,6,37,57,64.9,472,4,30,60,2.0,0,4,1,5
New Mexico State,2006-09-09,2,,New Mexico,L,4,28,-6,12,28,42.9,317,4,26,109,4.2,0,0,0,0
North Carolina,2006-09-09,2,,Virginia Tech,L,1,10,-25,11,18,61.1,107,1,30,117,3.9,3,3,0,3
North Carolina State,2006-09-09,2,,Akron,L,2,17,-3,13,32,40.6,267,0,42,114,2.7,3,0,0,0
North Texas,2006-09-09,2,,Southern Methodist,W,3,24,18,20,29,69.0,159,1,32,111,3.5,0,1,2,3
Northern Illinois,2006-09-09,2,,Ohio,L,3,23,-12,25,34,73.5,332,3,37,177,4.8,2,2,0,2
Northwestern,2006-09-09,2,,New Hampshire,L,2,17,-17,18,24,75.0,206,2,43,123,2.9,3,0,0,0
Notre Dame,2006-09-09,2,,Penn State,W,5,41,24,24,41,58.5,225,1,33,158,4.8,1,2,1,3
Ohio,2006-09-09,2,@,Northern Illinois,W,5,35,12,19,42,45.2,261,1,26,201,7.7,2,0,0,0
Ohio State,2006-09-09,2,@,Texas,W,3,24,17,19,32,59.4,154,1,31,172,5.5,0,1,1,2
Oklahoma,2006-09-09,2,,Washington,W,4,37,17,14,30,46.7,180,1,40,204,5.1,1,1,0,1
Oklahoma State,2006-09-09,2,@,Arkansas State,W,5,35,28,7,19,36.8,78,0,39,110,2.8,0,2,1,3
Ole Miss,2006-09-09,2,@,Missouri,L,1,7,-27,25,41,61.0,253,1,42,218,5.2,3,1,0,1
Oregon,2006-09-09,2,@,Fresno State,W,4,31,7,16,33,48.5,150,1,41,206,5.0,2,0,2,2
Penn State,2006-09-09,2,@,Notre Dame,L,2,17,-24,25,36,69.4,287,3,36,110,3.1,1,0,0,0
Purdue,2006-09-09,2,,Miami (OH),W,5,38,7,31,46,67.4,386,4,37,97,2.6,0,0,2,2
Rice,2006-09-09,2,@,UCLA,L,2,16,-10,13,20,65.0,124,2,52,277,5.3,0,3,1,4
Rutgers,2006-09-09,2,,Illinois,W,4,33,33,7,21,33.3,60,0,29,66,2.3,0,1,2,3
San Jose State,2006-09-09,2,,Stanford,W,5,35,1,18,28,64.3,233,4,43,185,4.3,1,2,1,3
SMU,2006-09-09,2,@,North Texas,L,1,6,-18,12,17,70.6,145,0,38,168,4.4,2,1,0,1
South Carolina,2006-09-09,2,,Georgia,L,0,0,-18,10,22,45.5,189,0,39,198,5.1,1,0,3,3
South Florida,2006-09-09,2,,Florida International,W,3,21,1,20,33,60.6,238,1,31,24,0.8,0,1,1,2
Southern Mississippi,2006-09-09,2,,Southeastern Louisiana,W,6,45,45,18,33,54.5,107,0,34,112,3.3,0,1,2,3
Stanford,2006-09-09,2,@,San Jose State,L,5,34,-1,15,17,88.2,115,1,49,342,7.0,4,1,1,2
Syracuse,2006-09-09,2,,Iowa,L,1,13,-7,16,32,50.0,202,1,37,149,4.0,1,0,4,4
Temple,2006-09-09,2,,Louisville,L,0,0,-62,21,35,60.0,359,1,43,312,7.3,7,0,1,1
Tennessee,2006-09-09,2,,Air Force,W,4,31,1,7,9,77.8,127,0,51,281,5.5,4,0,0,0
Texas,2006-09-09,2,,Ohio State,L,1,7,-17,17,26,65.4,269,2,29,79,2.7,1,0,0,0
Texas A&M,2006-09-09,2,,Louisiana,W,7,51,44,2,12,16.7,17,0,38,154,4.1,1,2,0,2
Texas Christian,2006-09-09,2,,California-Davis,W,6,46,33,15,28,53.6,225,0,28,26,0.9,1,0,2,2
Texas Tech,2006-09-09,2,@,Texas-El Paso,W,4,38,3,35,52,67.3,375,4,26,120,4.6,1,0,2,2
Toledo,2006-09-09,2,@,Western Michigan,L,1,10,-21,11,15,73.3,98,2,32,163,5.1,1,0,0,0
Troy,2006-09-09,2,@,Florida State,L,2,17,-7,30,43,69.8,336,2,28,45,1.6,1,3,1,4
Tulane,2006-09-09,1,@,Houston,L,1,7,-38,27,45,60.0,377,3,35,244,7.0,3,1,1,2
Tulsa,2006-09-09,2,@,Brigham Young,L,3,24,-25,17,24,70.8,247,4,41,220,5.4,3,0,0,0
UAB,2006-09-09,2,,East Carolina,W,2,17,5,20,38,52.6,280,1,27,96,3.6,0,2,1,3
UCF,2006-09-09,2,@,Florida,L,0,0,-42,25,38,65.8,433,4,36,204,5.7,2,2,2,4
UCLA,2006-09-09,2,,Rice,W,2,26,10,13,21,61.9,131,1,31,53,1.7,1,1,0,1
UNLV,2006-09-09,2,@,Iowa State,L,1,10,-6,14,21,66.7,203,0,37,137,3.7,2,0,1,1
Utah,2006-09-09,2,,Northern Arizona,W,6,45,38,12,23,52.2,131,1,26,74,2.8,0,0,1,1
Utah State,2006-09-09,2,@,Arkansas,L,0,0,-20,11,22,50.0,178,1,38,279,7.3,2,1,0,1
UTEP,2006-09-09,2,,Texas Tech,L,5,35,-3,40,53,75.5,376,2,18,103,5.7,2,0,1,1
Vanderbilt,2006-09-09,2,@,Alabama,L,1,10,-3,18,29,62.1,207,1,40,134,3.4,0,2,1,3
Virginia,2006-09-09,2,,Wyoming,W,1,13,1,23,32,71.9,145,1,38,168,4.4,0,1,1,2
Virginia Tech,2006-09-09,2,@,North Carolina,W,5,35,25,19,38,50.0,179,1,31,89,2.9,0,1,4,5
Wake Forest,2006-09-09,2,,Duke,W,2,14,1,21,32,65.6,305,1,39,62,1.6,0,2,0,2
Washington,2006-09-09,2,@,Oklahoma,L,2,20,-17,21,33,63.6,272,2,35,181,5.2,2,1,1,2
Washington State,2006-09-09,2,,Idaho,W,8,56,46,14,36,38.9,220,0,32,83,2.6,1,1,1,2
West Virginia,2006-09-09,2,,Eastern Washington,W,7,52,49,15,31,48.4,109,0,21,76,3.6,0,0,1,1
Western Michigan,2006-09-09,2,,Toledo,W,4,31,21,18,31,58.1,218,0,32,88,2.8,1,1,3,4
Wisconsin,2006-09-09,2,,Western Illinois,W,4,34,24,21,42,50.0,166,0,22,80,3.6,0,0,3,3
Wyoming,2006-09-09,2,@,Virginia,L,1,12,-1,20,34,58.8,174,1,22,32,1.5,0,0,1,1
Maryland,2006-09-14,3,@,West Virginia,L,3,24,-21,6,9,66.7,43,1,43,340,7.9,4,1,0,1
Middle Tennessee State,2006-09-14,3,,Tennessee Tech,W,6,44,44,13,28,46.4,125,0,33,10,0.3,0,2,3,5
