School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
New Mexico,2003-08-30,1,,Texas State,W,15,23,65.2,257,4,54,299,5.5,6,0,1,1
North Carolina,2003-08-30,1,,Florida State,L,27,47,57.4,223,0,27,72,2.7,0,1,2,3
North Carolina State,2003-08-30,1,,Western Carolina,W,34,39,87.2,403,4,34,91,2.7,3,1,0,1
North Texas,2003-08-30,1,@,Oklahoma,L,7,25,28.0,79,0,35,75,2.1,0,1,1,2
Northwestern,2003-08-30,1,@,Kansas,W,23,36,63.9,219,0,51,248,4.9,4,0,1,1
Ohio State,2003-08-30,1,,Washington,W,15,28,53.6,203,0,43,142,3.3,4,2,0,2
Oklahoma,2003-08-30,1,,North Texas,W,28,41,68.3,286,4,32,105,3.3,0,0,1,1
Oklahoma State,2003-08-30,1,@,Nebraska,L,13,28,46.4,97,1,30,86,2.9,0,2,3,5
Ole Miss,2003-08-30,1,@,Vanderbilt,W,22,33,66.7,275,1,33,95,2.9,1,1,0,1
Oregon,2003-08-30,1,@,Mississippi State,W,22,29,75.9,358,4,51,198,3.9,2,2,0,2
Penn State,2003-08-30,1,,Temple,W,6,19,31.6,79,1,41,231,5.6,1,0,1,1
Rice,2003-08-30,1,@,Houston,L,6,13,46.2,36,0,46,206,4.5,2,0,2,2
Rutgers,2003-08-30,1,,Buffalo,W,21,31,67.7,225,1,43,181,4.2,1,0,0,0
San Diego State,2003-08-30,1,,Eastern Washington,W,17,33,51.5,151,0,34,167,4.9,2,1,1,2
San Jose State,2003-08-30,2,@,Florida,L,19,37,51.4,98,0,27,87,3.2,0,1,2,3
SMU,2003-08-30,1,@,Texas Tech,L,21,44,47.7,195,1,40,85,2.1,0,1,3,4
South Carolina,2003-08-30,1,,Louisiana,W,16,34,47.1,185,1,36,141,3.9,1,1,0,1
South Florida,2003-08-30,1,@,Alabama,L,18,34,52.9,205,1,22,51,2.3,1,2,1,3
Southern Mississippi,2003-08-30,1,@,California,L,20,34,58.8,212,0,36,65,1.8,0,0,1,1
Temple,2003-08-30,1,@,Penn State,L,17,37,45.9,195,0,40,162,4.1,1,0,0,0
Tennessee,2003-08-30,1,,Fresno State,W,18,31,58.1,159,2,44,274,6.2,1,0,2,2
Texas A&M,2003-08-30,1,,Arkansas State,W,12,20,60.0,126,0,34,131,3.9,2,1,2,3
Texas Tech,2003-08-30,1,,Southern Methodist,W,26,41,63.4,314,3,23,123,5.3,3,1,1,2
Troy,2003-08-30,1,@,Kansas State,L,11,30,36.7,99,0,37,39,1.1,0,1,2,3
Tulsa,2003-08-30,1,@,Minnesota,L,18,32,56.3,171,0,37,94,2.5,1,0,0,0
UAB,2003-08-30,1,@,Baylor,W,14,31,45.2,254,2,35,149,4.3,1,1,0,1
USC,2003-08-30,1,@,Auburn,W,17,30,56.7,192,1,36,123,3.4,1,0,0,0
UTEP,2003-08-30,1,@,Arizona,L,21,43,48.8,204,0,33,71,2.2,0,2,1,3
Vanderbilt,2003-08-30,1,,Mississippi,L,21,33,63.6,298,3,38,101,2.7,0,1,1,2
Virginia,2003-08-30,1,,Duke,W,12,22,54.5,169,1,41,204,5.0,2,0,0,0
Wake Forest,2003-08-30,1,@,Boston College,W,13,23,56.5,149,2,40,160,4.0,2,1,2,3
Washington,2003-08-30,1,@,Ohio State,L,26,49,53.1,255,0,24,7,0.3,1,0,0,0
Washington State,2003-08-30,1,N,Idaho,W,13,23,56.5,127,0,50,339,6.8,2,1,1,2
West Virginia,2003-08-30,1,,Wisconsin,L,15,26,57.7,138,0,38,162,4.3,2,0,0,0
Western Michigan,2003-08-30,1,@,Michigan State,L,30,50,60.0,333,2,24,6,0.3,1,0,2,2
Wisconsin,2003-08-30,1,@,West Virginia,W,20,34,58.8,215,1,45,223,5.0,1,0,0,0
Wyoming,2003-08-30,1,,Montana State,W,17,28,60.7,203,1,30,31,1.0,1,1,0,1
Kentucky,2003-08-31,1,,Louisville,L,18,32,56.3,236,2,36,108,3.0,1,0,2,2
Louisville,2003-08-31,1,@,Kentucky,W,14,23,60.9,180,1,44,240,5.5,3,0,1,1
New Mexico State,2003-08-31,1,@,Texas,L,8,15,53.3,75,0,55,150,2.7,1,2,3,5
Texas,2003-08-31,1,,New Mexico State,W,8,16,50.0,216,2,33,168,5.1,3,1,0,1
UCF,2003-08-31,1,@,Virginia Tech,L,24,36,66.7,259,3,19,76,4.0,1,1,1,2
Virginia Tech,2003-08-31,1,,Central Florida,W,29,38,76.3,380,4,43,152,3.5,2,1,0,1
Cincinnati,2003-09-01,1,,East Carolina,W,14,27,51.9,128,1,56,361,6.4,4,2,0,2
East Carolina,2003-09-01,1,@,Cincinnati,L,16,26,61.5,146,0,32,57,1.8,0,0,1,1
Texas Christian,2003-09-01,1,@,Tulane,W,17,27,63.0,243,1,61,221,3.6,4,2,1,3
Tulane,2003-09-01,1,,Texas Christian,L,25,43,58.1,303,2,26,66,2.5,1,0,2,2
Eastern Michigan,2003-09-04,2,,Western Illinois,L,26,44,59.1,252,0,21,-2,-0.1,0,1,0,1
Southern Mississippi,2003-09-04,2,@,Alabama-Birmingham,W,14,20,70.0,197,1,48,117,2.4,1,1,1,2
UAB,2003-09-04,2,,Southern Mississippi,L,23,37,62.2,262,1,32,114,3.6,0,4,0,4
Fresno State,2003-09-05,2,,Oregon State,W,22,49,44.9,276,1,32,60,1.9,0,0,3,3
Oregon State,2003-09-05,2,@,Fresno State,L,15,44,34.1,285,1,38,121,3.2,1,0,5,5
Air Force,2003-09-06,2,@,Northwestern,W,6,12,50.0,139,0,53,270,5.1,2,2,0,2
Akron,2003-09-06,2,@,Wisconsin,L,31,52,59.6,372,1,40,162,4.1,3,0,2,2
Alabama,2003-09-06,2,,Oklahoma,L,24,42,57.1,195,1,32,108,3.4,0,0,2,2
Arizona,2003-09-06,2,,Louisiana State,L,10,32,31.3,91,0,27,91,3.4,1,1,2,3
Arizona State,2003-09-06,1,,Northern Arizona,W,16,26,61.5,234,4,31,137,4.4,0,1,0,1
Arkansas,2003-09-06,1,,Tulsa,W,11,20,55.0,188,2,37,294,7.9,4,0,0,0
Arkansas State,2003-09-06,2,,Tennessee-Martin,W,8,19,42.1,90,0,44,437,9.9,8,2,0,2
Army,2003-09-06,1,,Connecticut,L,26,51,51.0,200,2,37,44,1.2,0,0,1,1
Auburn,2003-09-06,2,@,Georgia Tech,L,20,33,60.6,190,0,38,40,1.1,0,1,1,2
Ball State,2003-09-06,2,,Missouri,L,23,34,67.6,203,1,28,41,1.5,0,0,0,0
Baylor,2003-09-06,2,@,North Texas,L,19,29,65.5,183,1,33,85,2.6,1,3,3,6
Boise State,2003-09-06,1,,Idaho State,W,20,39,51.3,328,2,47,259,5.5,6,2,0,2
Boston College,2003-09-06,2,@,Penn State,W,10,22,45.5,145,2,46,238,5.2,1,0,1,1
Bowling Green State,2003-09-06,2,@,Purdue,W,22,40,55.0,357,3,41,50,1.2,0,0,1,1
Brigham Young,2003-09-06,2,@,Southern California,L,29,46,63.0,313,1,26,46,1.8,0,2,3,5
Buffalo,2003-09-06,2,@,Iowa,L,7,19,36.8,58,0,56,227,4.1,1,2,1,3
California,2003-09-06,3,,Colorado State,L,23,35,65.7,248,3,31,51,1.6,0,0,2,2
Central Michigan,2003-09-06,2,,New Hampshire,W,19,28,67.9,172,1,60,352,5.9,4,2,0,2
Clemson,2003-09-06,2,,Furman,W,23,31,74.2,301,2,40,124,3.1,1,0,1,1
Colorado,2003-09-06,2,,UCLA,W,21,31,67.7,157,1,47,88,1.9,1,1,0,1
Colorado State,2003-09-06,2,@,California,W,15,24,62.5,317,2,39,131,3.4,0,1,1,2
Connecticut,2003-09-06,2,@,Army,W,26,36,72.2,317,5,31,164,5.3,2,0,2,2
Duke,2003-09-06,2,,Western Carolina,W,18,29,62.1,181,2,57,215,3.8,2,0,0,0
East Carolina,2003-09-06,2,,West Virginia,L,25,38,65.8,226,0,36,102,2.8,1,3,2,5
Florida,2003-09-06,2,@,Miami (FL),L,18,27,66.7,219,1,39,178,4.6,2,0,1,1
Florida State,2003-09-06,2,,Maryland,W,17,30,56.7,231,2,46,196,4.3,3,0,1,1
Georgia,2003-09-06,2,,Middle Tennessee State,W,25,35,71.4,317,0,36,150,4.2,3,0,0,0
Georgia Tech,2003-09-06,2,,Auburn,W,9,21,42.9,149,1,39,102,2.6,1,1,0,1
Houston,2003-09-06,2,@,Michigan,L,15,31,48.4,64,0,28,74,2.6,0,1,0,1
Idaho,2003-09-06,2,,Eastern Washington,L,17,39,43.6,153,0,37,142,3.8,0,2,0,2
Illinois,2003-09-06,2,,Illinois State,W,16,24,66.7,207,4,41,254,6.2,1,0,1,1
Indiana,2003-09-06,2,@,Washington,L,16,30,53.3,199,0,40,85,2.1,1,1,1,2
Iowa,2003-09-06,2,,Buffalo,W,12,19,63.2,150,2,45,292,6.5,4,0,0,0
Iowa State,2003-09-06,2,,Ohio,W,14,27,51.9,252,2,51,271,5.3,4,0,0,0
Kansas,2003-09-06,2,,Nevada-Las Vegas,W,22,31,71.0,270,3,48,276,5.8,1,1,1,2
Kansas State,2003-09-06,3,,McNeese State,W,8,21,38.1,146,1,44,254,5.8,4,0,1,1
Kent State,2003-09-06,2,@,Pittsburgh,L,12,28,42.9,88,0,36,73,2.0,0,1,1,2
Kentucky,2003-09-06,2,,Murray State,W,15,24,62.5,205,4,29,103,3.6,1,0,1,1
Louisiana,2003-09-06,2,,Louisiana Tech,L,24,39,61.5,197,0,23,95,4.1,0,2,1,3
Louisiana Tech,2003-09-06,2,@,Louisiana,W,21,35,60.0,266,2,39,183,4.7,2,1,1,2
Louisiana-Monroe,2003-09-06,2,,Stephen F. Austin,L,21,40,52.5,201,1,36,149,4.1,2,1,2,3
LSU,2003-09-06,2,@,Arizona,W,19,25,76.0,299,2,56,182,3.3,5,3,1,4
Marshall,2003-09-06,2,@,Tennessee,L,23,34,67.6,294,3,31,88,2.8,0,0,1,1
Maryland,2003-09-06,2,@,Florida State,L,14,31,45.2,124,0,31,73,2.4,0,2,1,3
Memphis,2003-09-06,2,,Mississippi,W,19,34,55.9,389,3,36,117,3.3,2,2,0,2
Miami (FL),2003-09-06,2,,Florida,W,27,41,65.9,340,2,30,114,3.8,2,2,2,4
Michigan,2003-09-06,2,,Houston,W,14,31,45.2,144,1,51,392,7.7,5,0,0,0
Michigan State,2003-09-06,2,,Rutgers,W,21,34,61.8,351,3,40,134,3.4,0,1,2,3
Middle Tennessee State,2003-09-06,2,@,Georgia,L,18,25,72.0,173,1,27,67,2.5,0,1,0,1
Minnesota,2003-09-06,2,,Troy,W,11,18,61.1,176,1,55,292,5.3,4,0,2,2
Missouri,2003-09-06,2,@,Ball State,W,18,29,62.1,171,1,47,290,6.2,4,0,0,0
Navy,2003-09-06,2,@,Texas Christian,L,7,15,46.7,75,0,54,132,2.4,0,1,1,2
Nebraska,2003-09-06,2,,Utah State,W,12,17,70.6,132,0,64,273,4.3,3,2,0,2
Nevada,2003-09-06,2,@,Oregon,L,17,42,40.5,244,2,30,57,1.9,1,0,2,2
New Mexico,2003-09-06,2,@,Texas Tech,L,22,42,52.4,349,1,51,235,4.6,3,1,3,4
New Mexico State,2003-09-06,2,,Western New Mexico,W,12,17,70.6,175,1,58,290,5.0,6,1,1,2
North Carolina,2003-09-06,2,,Syracuse,L,32,45,71.1,340,5,42,165,3.9,1,1,1,2
North Carolina State,2003-09-06,2,@,Wake Forest,L,38,49,77.6,433,3,25,78,3.1,0,0,2,2
North Texas,2003-09-06,2,,Baylor,W,9,15,60.0,124,0,47,327,7.0,6,1,1,2
Northern Illinois,2003-09-06,2,,Tennessee Tech,W,18,29,62.1,261,3,40,160,4.0,2,1,0,1
Northwestern,2003-09-06,2,,Air Force,L,15,38,39.5,234,1,41,218,5.3,2,0,4,4
Notre Dame,2003-09-06,1,,Washington State,W,21,34,61.8,149,1,45,167,3.7,1,3,1,4
Ohio,2003-09-06,2,@,Iowa State,L,12,22,54.5,237,1,38,167,4.4,2,2,0,2
Ohio State,2003-09-06,2,,San Diego State,W,5,20,25.0,76,0,37,120,3.2,0,1,1,2
Oklahoma,2003-09-06,2,@,Alabama,W,22,36,61.1,281,2,27,74,2.7,0,0,0,0
Oklahoma State,2003-09-06,2,,Wyoming,W,19,33,57.6,260,0,50,334,6.7,5,0,0,0
Ole Miss,2003-09-06,2,@,Memphis,L,26,48,54.2,292,4,30,116,3.9,0,1,2,3
Oregon,2003-09-06,2,,Nevada,W,13,28,46.4,211,3,41,188,4.6,0,2,0,2
Penn State,2003-09-06,2,,Boston College,L,19,39,48.7,185,0,38,133,3.5,2,2,1,3
Pitt,2003-09-06,1,,Kent State,W,20,36,55.6,320,4,45,202,4.5,1,1,0,1
Purdue,2003-09-06,1,,Bowling Green State,L,26,42,61.9,255,3,28,95,3.4,0,1,0,1
Rutgers,2003-09-06,2,@,Michigan State,L,14,31,45.2,266,2,36,-2,-0.1,1,0,2,2
San Diego State,2003-09-06,2,@,Ohio State,L,24,41,58.5,188,1,26,28,1.1,0,2,2,4
San Jose State,2003-09-06,3,@,Stanford,L,28,67,41.8,261,0,16,9,0.6,1,1,1,2
South Carolina,2003-09-06,2,,Virginia,W,9,24,37.5,162,1,49,261,5.3,3,0,1,1
South Florida,2003-09-06,2,,Nicholls State,W,16,31,51.6,288,4,42,242,5.8,0,2,1,3
Stanford,2003-09-06,1,,San Jose State,W,24,45,53.3,293,2,41,164,4.0,2,1,2,3
Syracuse,2003-09-06,1,@,North Carolina,W,20,33,60.6,288,3,47,230,4.9,3,0,0,0
Temple,2003-09-06,2,,Villanova,L,18,28,64.3,264,1,46,94,2.0,1,1,0,1
Tennessee,2003-09-06,2,,Marshall,W,21,33,63.6,235,3,40,223,5.6,1,0,1,1
Texas A&M,2003-09-06,2,,Utah,W,12,18,66.7,145,1,38,223,5.9,3,3,0,3
Texas Christian,2003-09-06,2,,Navy,W,14,20,70.0,173,0,45,161,3.6,2,2,1,3
Texas Tech,2003-09-06,2,,New Mexico,W,37,54,68.5,418,5,19,38,2.0,1,2,1,3
Toledo,2003-09-06,2,,Liberty,W,23,28,82.1,304,3,35,197,5.6,3,0,0,0
Troy,2003-09-06,2,@,Minnesota,L,10,31,32.3,64,0,40,125,3.1,1,2,0,2
Tulane,2003-09-06,2,,Northwestern State,W,29,48,60.4,353,4,24,83,3.5,0,2,1,3
Tulsa,2003-09-06,2,@,Arkansas,L,16,36,44.4,159,0,39,212,5.4,1,0,1,1
UCLA,2003-09-06,1,@,Colorado,L,17,30,56.7,205,2,26,38,1.5,0,1,0,1
UNLV,2003-09-06,2,@,Kansas,L,17,30,56.7,177,0,35,244,7.0,3,0,2,2
USC,2003-09-06,2,,Brigham Young,W,19,34,55.9,235,3,33,71,2.2,1,0,3,3
Utah,2003-09-06,2,@,Texas A&M,L,18,40,45.0,210,1,57,205,3.6,3,3,0,3
Utah State,2003-09-06,2,@,Nebraska,L,17,35,48.6,178,1,23,60,2.6,0,2,1,3
UTEP,2003-09-06,2,,Cal Poly,L,13,25,52.0,141,2,36,115,3.2,0,3,2,5
Vanderbilt,2003-09-06,2,,Chattanooga,W,14,23,60.9,255,2,58,284,4.9,4,1,1,2
Virginia,2003-09-06,2,@,South Carolina,L,10,20,50.0,54,0,38,116,3.1,1,1,2,3
Virginia Tech,2003-09-06,2,,James Madison,W,14,22,63.6,184,0,53,303,5.7,5,2,0,2
Wake Forest,2003-09-06,2,,North Carolina State,W,9,11,81.8,173,0,50,202,4.0,4,0,0,0
Washington,2003-09-06,2,,Indiana,W,19,27,70.4,295,3,52,195,3.8,2,2,1,3
Washington State,2003-09-06,2,@,Notre Dame,L,22,39,56.4,274,2,31,55,1.8,0,2,1,3
West Virginia,2003-09-06,2,@,East Carolina,W,11,18,61.1,194,4,48,361,7.5,3,0,0,0
Western Michigan,2003-09-06,2,,William & Mary,W,27,39,69.2,489,6,31,149,4.8,2,2,1,3
Wisconsin,2003-09-06,2,,Akron,W,14,25,56.0,281,2,44,310,7.0,4,1,1,2
Wyoming,2003-09-06,2,@,Oklahoma State,L,17,38,44.7,306,3,29,75,2.6,0,0,0,0
California,2003-09-11,4,@,Utah,L,19,32,59.4,246,2,34,119,3.5,1,3,0,3
Utah,2003-09-11,3,,California,W,18,28,64.3,136,0,48,200,4.2,4,2,0,2
Marshall,2003-09-12,3,,Toledo,L,31,39,79.5,289,1,42,139,3.3,1,3,2,5
Toledo,2003-09-12,3,@,Marshall,W,10,20,50.0,147,2,47,269,5.7,1,0,0,0
Air Force,2003-09-13,3,,North Texas,W,10,16,62.5,156,3,60,271,4.5,1,3,1,4
Akron,2003-09-13,3,,Eastern Michigan,W,22,33,66.7,303,1,44,168,3.8,1,1,1,2
Alabama,2003-09-13,3,,Kentucky,W,14,27,51.9,198,0,53,266,5.0,3,0,1,1
Arizona,2003-09-13,3,,Oregon,L,16,36,44.4,146,1,25,34,1.4,0,1,0,1
Arizona State,2003-09-13,2,,Utah State,W,20,37,54.1,277,2,37,161,4.4,1,3,1,4
Arkansas,2003-09-13,2,@,Texas,W,9,18,50.0,173,1,60,265,4.4,4,1,0,1
Arkansas State,2003-09-13,3,,Southeast Missouri State,W,13,22,59.1,211,1,40,101,2.5,2,0,1,1
Army,2003-09-13,2,,Rutgers,L,24,48,50.0,251,1,30,55,1.8,2,3,1,4
Auburn,2003-09-13,3,@,Vanderbilt,W,17,26,65.4,264,2,54,219,4.1,4,0,0,0
Ball State,2003-09-13,3,@,Pittsburgh,L,19,30,63.3,192,3,37,92,2.5,0,0,0,0
Baylor,2003-09-13,3,,Southern Methodist,W,12,27,44.4,102,0,39,80,2.1,1,1,1,2
Boise State,2003-09-13,2,@,Idaho,W,15,25,60.0,165,0,43,263,6.1,3,2,0,2
Boston College,2003-09-13,3,@,Connecticut,W,15,29,51.7,151,2,41,193,4.7,1,0,1,1
Bowling Green State,2003-09-13,3,,Liberty,W,18,25,72.0,308,4,49,367,7.5,5,0,0,0
Brigham Young,2003-09-13,3,@,New Mexico,W,20,37,54.1,172,1,29,136,4.7,0,0,0,0
Buffalo,2003-09-13,3,,Colgate,L,13,24,54.2,124,0,37,119,3.2,2,1,0,1
Central Michigan,2003-09-13,3,,Eastern Kentucky,W,18,32,56.3,234,3,38,139,3.7,3,0,1,1
Cincinnati,2003-09-13,2,@,West Virginia,W,17,36,47.2,146,1,49,165,3.4,0,5,0,5
Clemson,2003-09-13,3,,Middle Tennessee State,W,23,28,82.1,298,4,44,183,4.2,1,0,0,0
Colorado,2003-09-13,3,,Washington State,L,32,55,58.2,348,4,34,97,2.9,0,3,2,5
Colorado State,2003-09-13,3,,Weber State,W,21,32,65.6,233,2,50,261,5.2,2,2,1,3
Connecticut,2003-09-13,3,,Boston College,L,26,55,47.3,258,2,34,128,3.8,0,0,3,3
Duke,2003-09-13,3,,Rice,W,16,32,50.0,188,2,43,222,5.2,1,1,1,2
East Carolina,2003-09-13,3,@,Miami (FL),L,16,24,66.7,126,0,36,103,2.9,0,3,2,5
Eastern Michigan,2003-09-13,3,@,Akron,L,25,47,53.2,225,0,27,59,2.2,2,0,1,1
Florida,2003-09-13,3,,Florida A&M,W,17,22,77.3,227,2,45,309,6.9,7,1,1,2
Florida State,2003-09-13,3,,Georgia Tech,W,15,30,50.0,160,1,32,91,2.8,1,1,2,3
Fresno State,2003-09-13,3,@,Oklahoma,L,20,31,64.5,142,2,22,123,5.6,2,0,1,1
Georgia,2003-09-13,3,,South Carolina,W,17,29,58.6,213,2,34,165,4.9,1,1,0,1
Georgia Tech,2003-09-13,3,@,Florida State,L,12,25,48.0,128,0,39,112,2.9,1,2,1,3
Hawaii,2003-09-13,2,@,Southern California,L,40,67,59.7,399,4,16,63,3.9,0,1,2,3
Houston,2003-09-13,3,@,Louisiana,W,8,18,44.4,157,1,51,256,5.0,2,4,1,5
Idaho,2003-09-13,3,,Boise State,L,25,51,49.0,273,1,29,55,1.9,0,1,0,1
Illinois,2003-09-13,3,@,UCLA,L,26,42,61.9,216,0,26,67,2.6,0,1,3,4
Indiana,2003-09-13,3,,Indiana State,W,12,20,60.0,146,0,49,196,4.0,4,1,0,1
Iowa,2003-09-13,3,@,Iowa State,W,7,14,50.0,72,1,37,171,4.6,2,1,0,1
Iowa State,2003-09-13,3,,Iowa,L,26,45,57.8,319,2,40,71,1.8,1,1,1,2
Kansas,2003-09-13,3,@,Wyoming,W,13,16,81.3,295,4,40,162,4.1,1,0,0,0
Kansas State,2003-09-13,4,,Massachusetts,W,18,28,64.3,255,1,50,235,4.7,4,1,3,4
Kent State,2003-09-13,3,,Youngstown State,W,11,23,47.8,124,0,65,282,4.3,1,1,2,3
Kentucky,2003-09-13,3,@,Alabama,L,15,24,62.5,169,1,23,26,1.1,1,0,0,0
Louisiana,2003-09-13,3,,Houston,L,5,22,22.7,57,0,40,139,3.5,2,1,0,1
