School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Louisiana,2001-11-10,9,@,North Texas,L,35,67,52.2,344,1,20,100,5.0,1,1,1,2
Louisiana Tech,2001-11-10,9,@,Texas-El Paso,W,20,31,64.5,227,5,43,223,5.2,1,0,1,1
Louisiana-Monroe,2001-11-10,9,,Troy,L,9,27,33.3,142,1,22,74,3.4,0,1,5,6
Louisville,2001-11-10,10,,Houston,W,20,30,66.7,274,2,34,91,2.7,1,1,0,1
LSU,2001-11-10,9,,Middle Tennessee State,W,26,37,70.3,318,2,32,145,4.5,2,0,0,0
Marshall,2001-11-10,9,@,Miami (OH),W,30,43,69.8,333,2,37,90,2.4,1,1,0,1
Maryland,2001-11-10,10,,Clemson,W,12,21,57.1,189,2,53,218,4.1,2,1,0,1
Memphis,2001-11-10,9,@,Tennessee,L,18,37,48.6,281,3,27,23,0.9,1,2,2,4
Miami (FL),2001-11-10,8,@,Boston College,W,20,41,48.8,222,0,40,165,4.1,0,1,4,5
Miami (OH),2001-11-10,10,,Marshall,L,16,29,55.2,210,0,31,123,4.0,3,0,0,0
Michigan,2001-11-10,9,,Minnesota,W,14,26,53.8,153,0,56,300,5.4,4,0,1,1
Michigan State,2001-11-10,8,,Indiana,L,20,30,66.7,288,3,30,110,3.7,1,1,2,3
Middle Tennessee State,2001-11-10,10,@,Louisiana State,L,22,30,73.3,195,2,29,178,6.1,0,1,0,1
Minnesota,2001-11-10,9,@,Michigan,L,12,25,48.0,140,1,30,150,5.0,0,0,0,0
Mississippi State,2001-11-10,8,@,Alabama,L,19,37,51.4,183,2,32,117,3.7,0,0,1,1
Missouri,2001-11-10,9,,Baylor,W,25,36,69.4,380,4,39,151,3.9,2,1,0,1
Navy,2001-11-10,8,,Tulane,L,10,34,29.4,113,1,56,300,5.4,3,1,2,3
Nebraska,2001-11-10,11,,Kansas State,W,3,7,42.9,60,0,58,264,4.6,2,1,2,3
Nevada,2001-11-10,9,@,San Jose State,L,26,49,53.1,565,2,36,226,6.3,4,0,1,1
New Mexico,2001-11-10,9,,Nevada-Las Vegas,W,11,27,40.7,140,0,45,200,4.4,3,1,0,1
New Mexico State,2001-11-10,10,,Arkansas State,W,11,18,61.1,161,0,37,215,5.8,3,3,0,3
North Carolina,2001-11-10,10,,Wake Forest,L,24,32,75.0,361,4,34,54,1.6,0,3,1,4
North Carolina State,2001-11-10,9,@,Florida State,W,27,35,77.1,276,0,38,187,4.9,4,0,1,1
North Texas,2001-11-10,9,,Louisiana,W,7,11,63.6,139,3,52,256,4.9,2,1,0,1
