School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Texas Tech,2016-10-29,8,@,Texas Christian,W,3,27,3,22,47,46.8,246,1,39,172,4.4,2,0,1,1
Tulane,2016-10-29,8,,Southern Methodist,L,4,31,-4,16,31,51.6,302,2,43,137,3.2,3,0,2,2
Tulsa,2016-10-29,8,@,Memphis,W,8,59,29,19,40,47.5,349,3,42,159,3.8,1,2,2,4
UCF,2016-10-29,8,@,Houston,L,3,24,-7,26,37,70.3,240,1,49,158,3.2,3,1,3,4
UNLV,2016-10-29,9,@,San Jose State,L,3,24,-6,24,40,60.0,292,2,42,132,3.1,1,0,0,0
Utah,2016-10-29,9,,Washington,L,3,24,-7,12,20,60.0,186,2,36,199,5.5,1,0,1,1
UTEP,2016-10-29,8,,Old Dominion,L,3,21,-10,14,22,63.6,262,2,30,131,4.4,2,0,1,1
UTSA,2016-10-29,8,,North Texas,W,4,31,14,27,38,71.1,257,1,34,152,4.5,1,2,2,4
Virginia,2016-10-29,8,,Louisville,L,3,25,-7,24,41,58.5,361,4,34,147,4.3,0,1,1,2
Wake Forest,2016-10-29,8,,Army,L,1,13,-8,6,9,66.7,145,1,64,238,3.7,2,1,1,2
Washington,2016-10-29,8,@,Utah,W,4,31,7,14,33,42.4,163,2,47,213,4.5,1,0,0,0
Washington State,2016-10-29,8,@,Oregon State,W,5,35,4,23,39,59.0,327,2,28,171,6.1,2,0,0,0
West Virginia,2016-10-29,7,@,Oklahoma State,L,2,20,-17,26,36,72.2,273,3,31,85,2.7,1,0,0,0
Western Kentucky,2016-10-29,9,@,Florida Atlantic,W,7,52,49,15,34,44.1,77,0,33,125,3.8,0,1,1,2
Wisconsin,2016-10-29,8,,Nebraska,W,3,23,6,12,31,38.7,153,0,44,152,3.5,2,0,2,2
Wyoming,2016-10-29,8,,Boise State,W,3,30,2,23,36,63.9,328,1,27,159,5.9,3,1,1,2
Ball State,2016-11-01,9,,Western Michigan,L,2,20,-32,23,34,67.6,367,3,28,186,6.6,3,0,0,0
Bowling Green State,2016-11-01,9,@,Northern Illinois,L,3,20,-25,21,31,67.7,193,0,49,286,5.8,6,0,1,1
Northern Illinois,2016-11-01,9,,Bowling Green State,W,6,45,25,21,43,48.8,224,3,35,90,2.6,0,0,2,2
Western Michigan,2016-11-01,9,@,Ball State,W,7,52,32,20,38,52.6,199,1,42,298,7.1,1,1,2,3
Akron,2016-11-02,10,,Toledo,L,2,17,-31,27,38,71.1,332,3,48,290,6.0,3,0,0,0
Toledo,2016-11-02,9,@,Akron,W,6,48,31,18,36,50.0,348,2,25,96,3.8,0,0,2,2
Arkansas State,2016-11-03,8,@,Georgia State,W,4,31,15,22,46,47.8,237,1,31,94,3.0,0,0,2,2
Buffalo,2016-11-03,9,@,Ohio,L,1,10,-24,12,22,54.5,216,2,39,156,4.0,2,0,0,0
Colorado,2016-11-03,9,,UCLA,W,2,20,10,15,29,51.7,185,1,30,25,0.8,0,0,1,1
Georgia State,2016-11-03,9,,Arkansas State,L,2,16,-15,15,35,42.9,212,0,41,93,2.3,2,1,0,1
Iowa State,2016-11-03,9,,Oklahoma,L,3,24,-10,25,34,73.5,328,4,42,149,3.5,0,0,1,1
Ohio,2016-11-03,10,,Buffalo,W,4,34,24,24,40,60.0,308,1,38,105,2.8,0,1,1,2
Oklahoma,2016-11-03,9,@,Iowa State,W,4,34,10,16,30,53.3,160,2,26,130,5.0,1,0,0,0
UCLA,2016-11-03,9,@,Colorado,L,1,10,-10,20,33,60.6,160,0,52,144,2.8,1,1,3,4
Boise State,2016-11-04,9,,San Jose State,W,6,45,14,23,35,65.7,278,2,31,209,6.7,1,0,1,1
Central Michigan,2016-11-04,10,@,Miami (OH),L,2,17,-20,13,21,61.9,218,4,41,218,5.3,1,0,0,0
Connecticut,2016-11-04,10,,Temple,L,0,0,-21,12,18,66.7,215,3,46,216,4.7,0,1,2,3
Miami (OH),2016-11-04,10,,Central Michigan,W,5,37,20,21,32,65.6,242,0,23,50,2.2,2,1,1,2
San Jose State,2016-11-04,10,@,Boise State,L,3,31,-14,16,21,76.2,219,3,54,298,5.5,3,0,0,0
Temple,2016-11-04,10,@,Connecticut,W,3,21,21,12,21,57.1,69,0,28,91,3.3,0,0,0,0
Air Force,2016-11-05,9,@,Army,W,4,31,19,5,16,31.3,84,1,40,144,3.6,1,0,2,2
Alabama,2016-11-05,9,@,Louisiana State,W,1,10,10,11,24,45.8,92,0,27,33,1.2,0,0,1,1
Appalachian State,2016-11-05,9,,Texas State,W,5,35,25,28,38,73.7,183,0,28,14,0.5,1,0,1,1
Arizona,2016-11-05,9,@,Washington State,L,1,7,-62,47,52,90.4,474,6,32,140,4.4,3,0,0,0
Arkansas,2016-11-05,9,,Florida,W,4,31,21,19,37,51.4,229,0,14,12,0.9,0,0,2,2
Army,2016-11-05,9,,Air Force,L,2,12,-19,6,9,66.7,195,1,52,249,4.8,3,1,0,1
Auburn,2016-11-05,9,,Vanderbilt,W,2,23,7,24,38,63.2,221,1,33,120,3.6,0,0,1,1
Baylor,2016-11-05,8,,Texas Christian,L,3,22,-40,18,31,58.1,257,1,59,431,7.3,6,0,0,0
Boston College,2016-11-05,9,,Louisville,L,1,7,-45,19,29,65.5,305,4,36,210,5.8,3,2,1,3
Brigham Young,2016-11-05,9,@,Cincinnati,W,2,20,17,19,32,59.4,199,0,25,96,3.8,0,0,1,1
California,2016-11-05,9,,Washington,L,3,27,-39,20,29,69.0,417,7,44,287,6.5,2,1,0,1
Charlotte,2016-11-05,9,@,Southern Mississippi,W,5,38,11,32,53,60.4,404,2,29,94,3.2,2,0,3,3
Cincinnati,2016-11-05,9,,Brigham Young,L,0,3,-17,15,25,60.0,130,0,47,207,4.4,2,0,1,1
Clemson,2016-11-05,9,,Syracuse,W,7,54,54,24,40,60.0,172,0,28,105,3.8,0,0,3,3
Colorado State,2016-11-05,9,,Fresno State,W,5,37,37,12,25,48.0,155,0,34,77,2.3,0,0,1,1
Duke,2016-11-05,9,,Virginia Tech,L,3,21,-3,15,27,55.6,192,0,52,207,4.0,2,0,0,0
East Carolina,2016-11-05,9,@,Tulsa,L,3,24,-21,22,38,57.9,274,3,54,342,6.3,3,0,0,0
Florida,2016-11-05,8,@,Arkansas,L,1,10,-21,15,26,57.7,243,1,49,223,4.6,2,0,1,1
Florida Atlantic,2016-11-05,9,@,Rice,W,6,42,17,20,33,60.6,281,1,45,159,3.5,2,1,2,3
Florida International,2016-11-05,10,@,Western Kentucky,L,3,21,-28,18,32,56.3,284,1,37,225,6.1,5,2,0,2
Florida State,2016-11-05,9,@,North Carolina State,W,3,24,4,25,41,61.0,304,1,41,165,4.0,1,0,1,1
Fresno State,2016-11-05,10,@,Colorado State,L,0,0,-37,18,25,72.0,237,2,48,257,5.4,3,0,0,0
Georgia,2016-11-05,9,@,Kentucky,W,2,27,3,11,21,52.4,122,0,40,186,4.7,3,1,1,2
Georgia Southern,2016-11-05,9,@,Mississippi,L,3,27,-10,17,28,60.7,245,1,45,196,4.4,3,0,1,1
Georgia Tech,2016-11-05,9,@,North Carolina,L,2,20,-28,23,35,65.7,353,1,35,283,8.1,5,0,0,0
Hawaii,2016-11-05,10,@,San Diego State,L,0,0,-55,8,16,50.0,97,3,42,296,7.0,2,0,1,1
Idaho,2016-11-05,9,@,Louisiana,W,2,23,10,17,30,56.7,161,0,40,105,2.6,1,0,0,0
Illinois,2016-11-05,9,,Michigan State,W,4,31,4,29,47,61.7,315,1,43,175,4.1,1,1,0,1
Indiana,2016-11-05,9,@,Rutgers,W,5,33,6,19,36,52.8,258,1,34,93,2.7,1,1,0,1
Iowa,2016-11-05,9,@,Penn State,L,2,14,-27,11,18,61.1,240,2,52,359,6.9,3,0,0,0
Kansas,2016-11-05,9,@,West Virginia,L,3,21,-27,17,28,60.7,264,3,47,341,7.3,3,1,0,1
Kansas State,2016-11-05,9,,Oklahoma State,L,5,37,-6,29,38,76.3,457,5,26,180,6.9,1,1,2,3
Kentucky,2016-11-05,9,,Georgia,L,3,24,-3,17,31,54.8,245,1,42,215,5.1,1,3,0,3
Louisiana,2016-11-05,8,,Idaho,L,1,13,-10,20,30,66.7,227,0,40,157,3.9,2,0,0,0
Louisiana Tech,2016-11-05,10,@,North Texas,W,6,45,21,23,34,67.6,207,1,30,82,2.7,2,0,1,1
Louisiana-Monroe,2016-11-05,9,,South Alabama,W,6,42,7,23,37,62.2,307,1,41,209,5.1,4,0,1,1
Louisville,2016-11-05,9,@,Boston College,W,7,52,45,14,25,56.0,150,1,37,57,1.5,0,2,1,3
LSU,2016-11-05,8,,Alabama,L,0,0,-10,10,19,52.6,107,0,51,216,4.2,1,1,1,2
Marshall,2016-11-05,9,@,Old Dominion,L,2,14,-24,16,27,59.3,199,3,50,262,5.2,2,0,0,0
Maryland,2016-11-05,9,@,Michigan,L,0,3,-56,21,27,77.8,387,3,39,273,7.0,5,0,0,0
Massachusetts,2016-11-05,10,@,Troy,L,4,31,-21,29,39,74.4,287,4,38,198,5.2,3,0,1,1
Memphis,2016-11-05,9,@,Southern Methodist,W,6,51,44,21,40,52.5,208,1,32,100,3.1,0,2,1,3
Miami (FL),2016-11-05,9,,Pittsburgh,W,6,51,23,17,36,47.2,287,2,34,130,3.8,1,1,1,2
Michigan,2016-11-05,9,,Maryland,W,8,59,56,17,28,60.7,289,0,38,78,2.1,0,0,2,2
Michigan State,2016-11-05,9,@,Illinois,L,2,27,-4,13,29,44.8,140,2,24,164,6.8,2,0,0,0
Middle Tennessee State,2016-11-05,9,,Texas-San Antonio,L,3,25,-20,9,21,42.9,108,1,58,271,4.7,5,0,2,2
Minnesota,2016-11-05,9,,Purdue,W,5,44,13,29,49,59.2,391,4,28,23,0.8,0,2,1,3
Mississippi State,2016-11-05,9,,Texas A&M,W,5,35,7,16,31,51.6,265,2,32,117,3.7,1,1,1,2
Missouri,2016-11-05,9,@,South Carolina,L,3,21,-10,22,28,78.6,254,2,49,174,3.6,2,0,0,0
Navy,2016-11-05,8,N,Notre Dame,W,4,28,1,19,27,70.4,223,3,29,147,5.1,0,0,0,0
Nebraska,2016-11-05,9,@,Ohio State,L,0,3,-59,32,44,72.7,352,4,42,238,5.7,2,1,0,1
Nevada,2016-11-05,9,@,New Mexico,L,4,26,-9,8,12,66.7,100,1,64,373,5.8,4,1,1,2
New Mexico,2016-11-05,9,,Nevada,W,5,35,9,19,34,55.9,301,3,23,108,4.7,1,0,2,2
North Carolina,2016-11-05,9,,Georgia Tech,W,6,48,28,4,9,44.4,144,1,59,374,6.3,1,2,0,2
North Carolina State,2016-11-05,9,,Florida State,L,2,20,-4,22,39,56.4,330,1,24,63,2.6,2,1,0,1
North Texas,2016-11-05,9,,Louisiana Tech,L,3,24,-21,18,30,60.0,253,4,40,226,5.7,2,0,1,1
