"Team (Record)","Rating","Offense","Defense","Special Teams"
"42. App. State (3-0)",6.6,"40.5 (12)","33.9 (100)","0.1 (45)"
"43. SMU (4-0)",6,"35.0 (27)","28.9 (69)","-0.1 (98)"
"44. California (4-0)",5.9,"23.9 (92)","18.0 (21)","0.0 (58)"
"45. S. Carolina (1-3)",5.8,"28.0 (76)","22.5 (41)","0.3 (17)"
"46. Temple (2-1)",5.7,"22.6 (96)","16.5 (14)","-0.4 (124)"
"47. Navy (2-0)",5.6,"31.7 (49)","26.7 (56)","0.6 (1)"
"48. NC State (3-1)",5.4,"29.1 (65)","23.6 (46)","0.0 (57)"
"49. Air Force (2-1)",5.2,"32.3 (44)","27.3 (63)","0.2 (27)"
"50. N. Texas (2-2)",4.7,"30.5 (56)","26.1 (54)","0.3 (22)"
"51. Minnesota (3-0)",4.6,"35.8 (22)","31.0 (79)","-0.2 (109)"
"52. Kentucky (2-2)",4.3,"33.5 (35)","29.3 (71)","0.0 (52)"
"53. Va. Tech (2-1)",4.3,"27.0 (78)","22.7 (43)","0.0 (66)"
"54. Ole Miss (2-2)",4,"23.3 (94)","19.2 (30)","-0.2 (100)"
"55. Colorado (3-1)",3.7,"41.0 (11)","37.6 (113)","0.4 (10)"
"56. UL-Lafayette (3-1)",3.2,"36.1 (20)","32.8 (90)","0.0 (56)"
"57. Florida State (2-2)",3.2,"37.1 (19)","33.9 (98)","0.0 (74)"
"58. Tulane (3-1)",3,"30.2 (59)","27.4 (65)","0.2 (24)"
"59. Cincinnati (2-1)",3,"22.3 (100)","19.2 (31)","-0.1 (91)"
"60. Duke (2-1)",2.6,"29.0 (66)","26.5 (55)","0.1 (31)"
"61. Marshall (2-1)",2.2,"31.9 (46)","30.0 (75)","0.3 (15)"
"62. Pittsburgh (2-2)",1.5,"20.0 (111)","18.4 (26)","-0.2 (107)"
"63. Tennessee (1-3)",1.3,"24.7 (91)","23.5 (45)","0.1 (36)"
"64. BYU (2-2)",0.8,"25.7 (83)","25.0 (48)","0.1 (44)"
"65. North Carolina (2-2)",0.4,"30.8 (55)","30.3 (76)","-0.1 (88)"
"66. Troy (2-1)",0.1,"35.2 (25)","35.0 (106)","-0.1 (81)"
"67. Fresno State (1-2)",-0.3,"28.3 (71)","28.5 (67)","-0.1 (79)"
"68. Illinois (2-2)",-0.3,"32.8 (40)","33.6 (96)","0.5 (3)"
"69. Louisville (2-2)",-0.6,"28.7 (68)","29.4 (72)","0.1 (35)"
"70. Army (3-1)",-0.6,"25.1 (88)","25.8 (51)","0.1 (34)"
"71. San Diego St. (3-1)",-0.8,"14.6 (124)","15.5 (13)","0.2 (28)"
"72. Purdue (1-2)",-1.1,"34.5 (33)","35.6 (108)","0.1 (47)"
"73. Boston College (3-1)",-1.4,"32.8 (41)","34.0 (103)","-0.2 (108)"
"74. West Virginia (3-1)",-1.6,"25.4 (84)","26.8 (57)","-0.2 (99)"
"75. Syracuse (2-2)",-2,"28.3 (74)","30.6 (77)","0.3 (14)"
"76. FAU (2-2)",-2,"27.8 (77)","29.8 (73)","0.0 (64)"
"77. Kansas (2-2)",-2.4,"25.1 (89)","27.4 (64)","0.0 (71)"
"78. UCLA (1-3)",-2.5,"30.3 (57)","32.6 (87)","-0.2 (105)"
"79. Arkansas State (2-2)",-2.6,"30.3 (58)","32.8 (91)","0.0 (72)"
"80. Oregon State (1-2)",-2.9,"35.9 (21)","38.9 (117)","0.1 (37)"
"81. Tulsa (2-2)",-3,"22.5 (98)","25.4 (50)","-0.1 (83)"
"82. Arkansas (2-2)",-3.1,"23.6 (93)","26.8 (58)","0.1 (46)"
"83. WMU (2-2)",-3.2,"33.3 (38)","36.5 (109)","0.0 (68)"
"84. Houston (1-3)",-3.3,"34.8 (29)","38.1 (114)","0.0 (67)"
"85. So. Miss (2-2)",-3.6,"29.4 (63)","32.8 (89)","-0.2 (102)"
"86. UAB (3-0)",-3.8,"19.0 (116)","22.5 (42)","-0.3 (115)"
"87. Toledo (2-1)",-4.4,"35.1 (26)","39.8 (119)","0.4 (9)"
"88. Stanford (1-3)",-4.6,"21.5 (104)","26.0 (53)","-0.1 (93)"
"89. Hawaii (3-1)",-5.6,"33.5 (36)","38.8 (116)","-0.3 (117)"
"90. USF (1-2)",-5.8,"16.7 (122)","22.3 (40)","-0.2 (104)"
"91. Coastal Caro. (3-1)",-6.1,"22.8 (95)","28.6 (68)","-0.3 (114)"
"92. La. Tech (3-1)",-6.2,"27.0 (79)","33.1 (93)","-0.1 (97)"
"93. Northwestern (1-2)",-6.3,"13.6 (126)","19.7 (33)","-0.1 (82)"
"94. Liberty (2-2)",-6.7,"26.2 (81)","32.7 (88)","-0.2 (106)"
"95. Ga. Tech (1-2)",-7.1,"20.3 (108)","27.2 (61)","-0.1 (96)"
"96. Wyoming (3-1)",-7.3,"20.0 (110)","27.3 (62)","0.0 (73)"
"97. Ohio (1-3)",-7.6,"29.5 (62)","37.3 (111)","0.2 (30)"
"98. Charlotte (2-2)",-7.7,"32.7 (42)","40.5 (122)","0.0 (55)"
"99. Ball State (1-3)",-9.1,"24.8 (90)","33.7 (97)","-0.2 (110)"
"100. EMU (3-1)",-9.3,"28.9 (67)","38.3 (115)","0.1 (40)"
"101. Colorado St. (1-3)",-9.6,"34.5 (32)","44.2 (127)","0.1 (48)"
"102. FIU (1-3)",-9.8,"22.0 (103)","31.5 (81)","-0.2 (111)"
"103. Nevada (3-1)",-10,"22.1 (101)","32.2 (84)","0.1 (39)"
"104. Ga. Southern (1-2)",-10.7,"18.4 (117)","29.1 (70)","0.0 (50)"
"105. Rutgers (1-2)",-10.9,"19.8 (112)","31.0 (78)","0.3 (16)"
"106. WKU (1-2)",-11.2,"20.6 (106)","31.7 (82)","-0.1 (94)"
"107. San Jose St. (2-1)",-11.3,"22.0 (102)","33.1 (94)","-0.2 (103)"
"108. Vanderbilt (0-3)",-11.6,"28.2 (75)","39.9 (120)","0.1 (33)"
"109. MTSU (1-2)",-12.1,"29.8 (61)","42.0 (123)","0.1 (43)"
"110. Buffalo (2-2)",-12.6,"19.4 (115)","31.7 (83)","-0.3 (122)"
"111. ECU (2-2)",-13.1,"20.1 (109)","33.3 (95)","0.0 (54)"
"112. NIU (1-2)",-13.5,"19.6 (113)","33.0 (92)","0.0 (70)"
"113. Miami-OH (1-3)",-14.2,"22.4 (99)","36.6 (110)","0.0 (63)"
"114. UL-Monroe (1-2)",-14.3,"28.4 (70)","42.4 (124)","-0.3 (113)"
"115. UNLV (1-2)",-14.5,"20.6 (105)","34.8 (105)","-0.3 (116)"
"116. ODU (1-2)",-14.8,"15.2 (123)","29.9 (74)","-0.1 (86)"
"117. Kent St. (2-2)",-14.8,"22.5 (97)","37.5 (112)","0.1 (38)"
"118. Texas St. (1-3)",-14.9,"17.7 (118)","32.2 (85)","-0.4 (123)"
"119. CMU (2-2)",-17,"17.3 (120)","34.3 (104)","-0.1 (78)"
"120. Georgia St. (2-2)",-18.2,"25.8 (82)","44.0 (126)","0.0 (49)"
"121. S. Alabama (1-3)",-21,"13.0 (128)","33.9 (99)","0.0 (75)"
"122. Rice (0-4)",-21.8,"13.9 (125)","35.5 (107)","-0.2 (101)"
"123. New Mexico (2-1)",-22.8,"25.2 (86)","48.3 (129)","0.3 (23)"
"124. UConn (1-2)",-23.6,"8.8 (130)","32.4 (86)","0.0 (60)"
"125. UTSA (1-3)",-23.8,"17.0 (121)","40.3 (121)","-0.5 (130)"
"126. NMSU (0-4)",-23.9,"19.6 (114)","43.5 (125)","0.0 (59)"
"127. Akron (0-4)",-25.2,"9.1 (129)","33.9 (101)","-0.4 (126)"
"128. BGSU (1-3)",-26.4,"13.0 (127)","39.0 (118)","-0.4 (128)"
"129. UTEP (1-2)",-27.1,"17.4 (119)","44.4 (128)","-0.1 (87)"
"130. UMass (0-4)",-31.3,"20.3 (107)","51.3 (130)","-0.3 (118)"
