"Team (Record)","Rating","Offense","Defense","Special Teams"
"51. Marshall (1-0)",4.5,"34.0 (70)","29.5 (49)","0.3 (18)"
"52. Boston College (1-0)",4,"40.5 (39)","36.6 (79)","0.2 (30)"
"53. Virginia Tech (0-1)",3.9,"42.0 (34)","38.1 (89)","0.0 (54)"
"54. Nebraska (1-0)",3.6,"31.6 (79)","28.0 (41)","0.2 (37)"
"55. Colorado (1-0)",3.6,"53.9 (3)","50.3 (123)","0.1 (47)"
"56. Air Force (1-0)",3.5,"35.1 (63)","31.6 (60)","0.6 (2)"
"57. Vanderbilt (0-1)",3.3,"32.4 (78)","29.1 (47)","0.2 (35)"
"58. Temple (1-0)",3.3,"36.4 (53)","33.1 (66)","-0.4 (121)"
"59. Fresno State (0-1)",2.9,"38.4 (48)","35.5 (75)","-0.2 (106)"
"60. California (1-0)",2.9,"23.8 (109)","20.9 (23)","-0.1 (88)"
"61. Utah State (0-1)",2.6,"44.9 (22)","42.3 (105)","0.0 (56)"
"62. Arkansas (1-0)",2.6,"17.6 (121)","15.0 (9)","0.0 (60)"
"63. Western Michigan (1-0)",2.4,"40.1 (41)","37.6 (86)","0.1 (48)"
"64. Indiana (1-0)",2.2,"34.7 (64)","32.5 (62)","-0.2 (101)"
"65. Purdue (0-1)",2.1,"36.9 (51)","34.8 (72)","0.5 (3)"
"66. Northern Illinois (1-0)",1.9,"18.8 (119)","16.8 (14)","-0.1 (91)"
"67. Tulane (1-0)",1.5,"36.3 (54)","34.8 (71)","0.3 (24)"
"68. Wyoming (1-0)",1.2,"46.4 (15)","45.2 (113)","0.1 (45)"
"69. Illinois (1-0)",1.2,"31.5 (82)","30.4 (51)","-0.1 (76)"
"70. Ohio (1-0)",1.1,"45.7 (18)","44.6 (111)","0.2 (34)"
"71. San Diego State (1-0)",1,"8.8 (128)","7.7 (1)","-0.3 (107)"
"72. Troy (1-0)",0.9,"31.6 (81)","30.7 (53)","0.0 (70)"
"73. West Virginia (1-0)",0.8,"28.0 (96)","27.3 (39)","-0.1 (87)"
"74. North Texas (1-0)",0.4,"43.2 (27)","42.8 (108)","-0.3 (111)"
"75. BYU (0-1)",-0.1,"32.5 (77)","32.6 (63)","0.0 (73)"
"76. Houston (0-1)",-0.1,"46.8 (14)","46.9 (118)","-0.1 (89)"
"77. Northwestern (0-1)",-0.8,"14.0 (123)","14.7 (8)","0.3 (23)"
"78. Arizona (0-1)",-0.9,"51.0 (4)","51.9 (126)","0.0 (67)"
"79. SMU (1-0)",-1.1,"35.5 (62)","36.6 (80)","0.4 (9)"
"80. UCLA (0-1)",-1.3,"27.1 (99)","28.4 (43)","-0.2 (105)"
"81. Nevada (1-0)",-1.6,"40.4 (40)","42.0 (102)","0.0 (57)"
"82. Louisville (0-1)",-1.8,"34.2 (69)","36.0 (77)","0.1 (51)"
"83. Florida Atlantic (0-1)",-2,"34.4 (68)","36.4 (78)","-0.4 (120)"
"84. UNLV (1-0)",-2.2,"38.9 (47)","41.1 (97)","-0.2 (98)"
"85. Hawaii (1-0)",-2.4,"49.4 (7)","51.9 (125)","0.0 (62)"
"86. Duke (0-1)",-2.4,"28.6 (92)","31.0 (57)","0.0 (72)"
"87. Pittsburgh (0-1)",-3.3,"25.8 (103)","29.1 (46)","0.3 (22)"
"88. Arkansas State (0-1)",-3.8,"41.4 (38)","45.1 (112)","-0.1 (85)"
"89. Toledo (0-1)",-5.1,"43.0 (28)","48.0 (121)","-0.3 (115)"
"90. Army (1-0)",-5.2,"29.1 (91)","34.3 (67)","0.3 (20)"
"91. UL-Lafayette (0-1)",-5.6,"41.6 (36)","47.3 (119)","-0.2 (99)"
"92. Rutgers (1-0)",-6.5,"33.0 (73)","39.5 (94)","-0.3 (108)"
"93. Oregon State (0-1)",-6.6,"50.0 (6)","56.5 (128)","-0.3 (109)"
"94. Georgia Tech (0-1)",-6.7,"30.3 (86)","37.1 (83)","-0.3 (116)"
"95. Middle Tennessee (0-1)",-7.3,"34.4 (67)","41.7 (99)","0.4 (10)"
"96. UL-Monroe (1-0)",-7.3,"34.7 (65)","42.0 (103)","-0.1 (92)"
"97. Eastern Michigan (1-0)",-7.8,"35.7 (59)","43.6 (109)","0.2 (27)"
"98. Navy (1-0)",-8.2,"33.3 (72)","41.5 (98)","0.2 (28)"
"99. South Florida (0-1)",-8.2,"24.4 (106)","32.7 (64)","0.1 (49)"
"100. Tulsa (0-1)",-9.2,"22.5 (111)","31.6 (61)","-0.5 (126)"
"101. Buffalo (1-0)",-9.6,"33.0 (74)","42.6 (106)","-0.1 (81)"
"102. Louisiana Tech (0-1)",-9.7,"29.3 (89)","39.0 (93)","-0.1 (75)"
"103. Georgia Southern (0-1)",-9.7,"28.3 (95)","38.0 (88)","-0.3 (117)"
"104. San Jose State (1-0)",-9.8,"26.2 (100)","36.0 (76)","-0.3 (114)"
"105. Miami-OH (0-1)",-9.9,"35.7 (58)","45.7 (115)","-0.3 (112)"
"106. Florida International (0-1)",-10.7,"35.7 (60)","46.5 (117)","0.1 (42)"
"107. Ball State (0-1)",-10.8,"31.4 (83)","42.2 (104)","-0.2 (104)"
"108. Kansas (1-0)",-11.6,"16.1 (122)","27.7 (40)","0.1 (50)"
"109. Georgia State (1-0)",-12.1,"37.2 (50)","49.4 (122)","0.0 (59)"
"110. Charlotte (1-0)",-12.5,"30.2 (87)","42.8 (107)","-0.4 (123)"
"111. Texas State (0-1)",-12.6,"25.9 (102)","38.4 (90)","0.1 (52)"
"112. UAB (1-0)",-13.6,"13.2 (124)","26.8 (38)","-0.2 (103)"
"113. Central Michigan (1-0)",-14,"28.0 (97)","41.9 (101)","0.1 (44)"
"114. New Mexico (1-0)",-14.4,"31.6 (80)","46.0 (116)","-0.1 (77)"
"115. Bowling Green (1-0)",-14.8,"23.2 (110)","38.0 (87)","0.2 (33)"
"116. Coastal Carolina (0-1)",-14.8,"29.1 (90)","44.0 (110)","0.1 (41)"
"117. Western Kentucky (0-1)",-15.1,"35.6 (61)","50.7 (124)","-0.2 (100)"
"118. Colorado State (0-1)",-15.5,"41.4 (37)","56.9 (130)","0.0 (58)"
"119. UTSA (1-0)",-15.7,"19.0 (118)","34.7 (70)","0.0 (74)"
"120. Liberty (0-1)",-16.4,"5.7 (130)","22.0 (25)","-0.1 (80)"
"121. Kent State (0-1)",-16.8,"20.8 (114)","37.6 (85)","0.4 (15)"
"122. South Alabama (0-1)",-18.2,"10.2 (127)","28.5 (44)","-0.1 (82)"
"123. East Carolina (0-1)",-18.3,"20.3 (117)","38.5 (91)","-0.2 (94)"
"124. Rice (0-1)",-20.3,"10.9 (126)","31.2 (59)","-0.2 (102)"
"125. Old Dominion (1-0)",-20.3,"21.5 (112)","41.8 (100)","0.1 (46)"
"126. New Mexico State (0-1)",-23.5,"24.3 (107)","47.8 (120)","-0.6 (130)"
"127. Akron (0-1)",-26,"8.5 (129)","34.5 (69)","-0.6 (128)"
"128. Connecticut (1-0)",-26.1,"12.8 (125)","38.9 (92)","-0.6 (129)"
"129. Massachusetts (0-1)",-27.3,"25.5 (104)","52.8 (127)","0.0 (71)"
"130. UTEP (1-0)",-29.2,"27.6 (98)","56.8 (129)","-0.1 (79)"
