"Team (Record)","Rating","Offense","Defense","Special Teams"
"79. San Diego St. (5-1)",-3.1,"14.5 (125)","18.0 (22)","0.3 (19)"
"80. Wyoming (4-2)",-4.1,"22.7 (101)","26.8 (61)","0.0 (60)"
"81. USF (3-3)",-4.2,"23.4 (94)","27.3 (63)","-0.3 (117)"
"82. BYU (2-4)",-4.4,"23.0 (99)","27.4 (64)","0.0 (69)"
"83. FAU (4-2)",-4.9,"27.5 (73)","32.4 (86)","0.0 (57)"
"84. Hawaii (4-2)",-5.3,"33.1 (40)","38.0 (119)","-0.4 (122)"
"85. Arkansas St. (3-3)",-5.4,"32.2 (46)","37.8 (117)","0.2 (31)"
"86. Ga. Tech (1-5)",-5.5,"20.0 (106)","25.3 (51)","-0.2 (100)"
"87. N. Texas (2-4)",-5.7,"28.0 (69)","34.0 (97)","0.3 (20)"
"88. Marshall (3-3)",-5.7,"26.0 (82)","31.9 (82)","0.2 (32)"
"89. WKU (4-2)",-5.8,"16.3 (119)","22.0 (39)","-0.1 (81)"
"90. So. Miss (4-2)",-6,"28.7 (64)","34.4 (100)","-0.3 (115)"
"91. FIU (3-3)",-6.2,"26.0 (81)","32.0 (85)","-0.3 (110)"
"92. UAB (5-1)",-6.5,"17.3 (115)","23.8 (46)","-0.1 (74)"
"93. La. Tech (5-1)",-6.6,"26.2 (79)","32.7 (88)","-0.1 (84)"
"94. Vanderbilt (1-5)",-7,"27.0 (76)","34.3 (99)","0.4 (15)"
"95. WMU (4-3)",-8,"26.2 (78)","34.0 (98)","-0.2 (107)"
"96. Liberty (4-2)",-8,"23.2 (95)","31.1 (80)","-0.1 (86)"
"97. Rutgers (1-5)",-8.6,"19.7 (108)","28.3 (68)","0.0 (59)"
"98. Troy (2-3)",-9.3,"30.2 (54)","39.5 (123)","0.0 (61)"
"99. ECU (3-3)",-9.8,"19.4 (109)","29.1 (69)","-0.2 (91)"
"100. Colorado St. (2-5)",-10.3,"25.7 (83)","36.0 (108)","-0.1 (78)"
"101. Ohio (2-4)",-10.3,"29.2 (60)","39.8 (124)","0.3 (22)"
"102. Coastal Caro. (3-3)",-11.4,"22.7 (100)","33.8 (95)","-0.3 (119)"
"103. Toledo (4-2)",-12.2,"25.2 (87)","37.3 (116)","-0.1 (87)"
"104. Nevada (4-2)",-12.5,"21.9 (102)","34.5 (102)","0.1 (39)"
"105. Texas St. (2-4)",-12.5,"16.9 (117)","29.1 (70)","-0.3 (120)"
"106. UL-Monroe (3-3)",-12.6,"25.4 (86)","37.8 (118)","-0.2 (98)"
"107. Ball St. (3-3)",-12.7,"20.2 (105)","32.7 (87)","-0.2 (105)"
"108. Ga. Southern (2-3)",-13.2,"16.1 (121)","29.3 (71)","0.0 (72)"
"109. Charlotte (2-4)",-13.3,"30.8 (51)","44.1 (129)","0.0 (53)"
"110. San Jose St. (3-3)",-13.6,"23.7 (93)","37.1 (115)","-0.2 (99)"
"111. Georgia St. (4-2)",-14.1,"27.3 (75)","41.1 (126)","-0.4 (121)"
"112. MTSU (2-4)",-14.4,"24.1 (90)","38.1 (120)","-0.3 (118)"
"113. Buffalo (2-4)",-14.4,"17.2 (116)","31.0 (79)","-0.6 (129)"
"114. CMU (4-3)",-15,"18.9 (112)","33.8 (96)","-0.1 (77)"
"115. NIU (2-4)",-15.1,"21.3 (104)","36.1 (111)","-0.2 (104)"
"116. Kent St. (3-3)",-16.2,"19.1 (111)","35.5 (105)","0.2 (28)"
"117. UNLV (2-4)",-16.3,"19.8 (107)","36.0 (109)","-0.1 (83)"
"118. EMU (3-3)",-16.7,"23.8 (91)","40.7 (125)","0.1 (36)"
"119. Miami-OH (2-4)",-17.1,"16.2 (120)","33.4 (93)","0.2 (33)"
"120. New Mexico (2-4)",-17.7,"23.8 (92)","41.9 (127)","0.4 (11)"
"121. ODU (1-5)",-18.8,"11.9 (128)","30.7 (77)","0.1 (48)"
"122. Rice (0-6)",-20.1,"15.6 (122)","35.6 (106)","-0.2 (106)"
"123. NMSU (0-7)",-20.2,"19.2 (110)","39.4 (122)","-0.1 (76)"
"124. UConn (1-5)",-22,"14.4 (126)","36.2 (112)","-0.2 (94)"
"125. S. Alabama (1-5)",-22,"11.8 (129)","33.6 (94)","-0.2 (102)"
"126. UTSA (2-4)",-22.9,"16.8 (118)","39.2 (121)","-0.5 (127)"
"127. BGSU (2-4)",-24.5,"12.9 (127)","36.8 (114)","-0.6 (130)"
"128. Akron (0-6)",-27,"8.3 (130)","34.7 (103)","-0.5 (128)"
"129. UTEP (1-4)",-27.8,"15.2 (123)","43.0 (128)","0.0 (66)"
"130. UMass (1-6)",-28.5,"18.6 (113)","47.0 (130)","0.0 (73)"
