"Team (Record)","Rating","Offense","Defense","Special Teams"
"89. Marshall (4-3)",-5.2,"27.0 (74)","32.4 (89)","0.2 (33)"
"90. USF (3-4)",-5.7,"22.5 (97)","27.7 (63)","-0.4 (124)"
"91. Vanderbilt (2-5)",-5.8,"25.6 (81)","31.8 (86)","0.4 (14)"
"92. So. Miss (4-3)",-5.9,"29.5 (59)","35.3 (106)","-0.2 (91)"
"93. Troy (3-3)",-6,"29.7 (58)","35.6 (108)","0.0 (61)"
"94. Hawaii (4-3)",-6.2,"33.8 (35)","39.7 (123)","-0.3 (118)"
"95. Ga. Tech (2-5)",-6.6,"19.3 (111)","25.7 (52)","-0.2 (102)"
"96. WMU (4-4)",-6.8,"28.9 (64)","35.5 (107)","-0.2 (104)"
"97. Liberty (5-2)",-6.9,"26.5 (78)","33.5 (98)","0.1 (53)"
"98. Ohio (3-4)",-7.7,"32.1 (46)","40.0 (125)","0.2 (31)"
"99. Ball St. (4-3)",-8.5,"22.4 (98)","30.7 (79)","-0.2 (101)"
"100. Ga. Southern (3-3)",-9.7,"16.7 (119)","26.4 (56)","-0.1 (79)"
"101. ECU (3-4)",-11.1,"20.6 (105)","31.6 (84)","0.0 (73)"
"102. Colorado St. (2-5)",-11.3,"25.1 (86)","36.4 (110)","0.0 (75)"
"103. Texas St. (2-4)",-11.6,"17.4 (114)","28.6 (68)","-0.3 (121)"
"104. Coastal Caro. (3-4)",-11.7,"21.3 (102)","32.7 (93)","-0.2 (95)"
"105. Georgia St. (5-2)",-11.8,"27.8 (71)","39.3 (121)","-0.3 (120)"
"106. Buffalo (3-4)",-12.6,"15.4 (122)","27.4 (62)","-0.6 (129)"
"107. Rutgers (1-6)",-12.6,"17.2 (117)","29.7 (74)","-0.1 (82)"
"108. CMU (5-3)",-12.9,"20.1 (108)","33.0 (95)","-0.1 (81)"
"109. NIU (2-5)",-13.3,"21.8 (100)","34.8 (105)","-0.2 (111)"
"110. Toledo (4-3)",-13.3,"24.3 (92)","37.3 (114)","-0.3 (112)"
"111. Charlotte (2-5)",-13.3,"29.3 (61)","42.6 (128)","0.0 (60)"
"112. UL-Monroe (3-4)",-13.4,"26.6 (77)","39.8 (124)","-0.2 (100)"
"113. Nevada (4-3)",-13.4,"19.2 (113)","32.7 (92)","0.1 (51)"
"114. San Jose St. (3-4)",-13.8,"23.3 (94)","37.0 (113)","0.0 (68)"
"115. MTSU (2-5)",-14.1,"24.5 (91)","38.5 (118)","-0.2 (96)"
"116. EMU (4-3)",-14.2,"26.7 (76)","40.9 (127)","0.0 (58)"
"117. Miami-OH (3-4)",-16.1,"16.8 (118)","33.1 (96)","0.1 (39)"
"118. Kent St. (3-4)",-16.5,"21.5 (101)","38.3 (117)","0.2 (35)"
"119. UNLV (2-5)",-17.6,"20.7 (104)","38.2 (116)","0.0 (72)"
"120. New Mexico (2-5)",-18.4,"20.9 (103)","39.7 (122)","0.4 (10)"
"121. NMSU (0-7)",-20,"19.3 (112)","39.2 (120)","0.0 (71)"
"122. ODU (1-6)",-20.7,"11.3 (129)","32.2 (88)","0.1 (41)"
"123. Rice (0-7)",-21.9,"14.9 (124)","36.8 (112)","-0.1 (85)"
"124. S. Alabama (1-6)",-22.4,"11.5 (128)","33.6 (99)","-0.3 (117)"
"125. UTSA (3-4)",-23.2,"17.4 (116)","40.2 (126)","-0.4 (122)"
"126. UConn (1-6)",-23.5,"12.5 (127)","35.8 (109)","-0.2 (93)"
"127. BGSU (2-5)",-26.1,"13.0 (126)","38.6 (119)","-0.6 (130)"
"128. Akron (0-7)",-27,"8.2 (130)","34.8 (104)","-0.5 (128)"
"129. UTEP (1-5)",-28,"15.4 (123)","43.3 (129)","-0.1 (77)"
"130. UMass (1-6)",-30.7,"17.4 (115)","48.0 (130)","0.0 (67)"
