"Team (Record)","Rating","Offense","Defense","Special Teams"
"26. Wash. St. (3-0)",12.3,"40.3 (12)","28.2 (66)","0.2 (31)"
"27. South Carolina (1-2)",12.3,"35.8 (27)","23.7 (46)","0.2 (26)"
"28. Texas (2-1)",12,"40.3 (11)","28.7 (71)","0.4 (5)"
"29. Baylor (2-0)",11.5,"34.6 (33)","23.0 (43)","0.0 (53)"
"30. Boise St. (3-0)",10.9,"28.8 (67)","17.9 (21)","0.0 (51)"
"31. Virginia (3-0)",10.8,"29.1 (63)","18.5 (23)","0.2 (33)"
"32. USC (2-1)",10,"36.7 (22)","26.7 (63)","0.0 (65)"
"33. App. St. (2-0)",10,"42.7 (5)","32.7 (91)","-0.1 (81)"
"34. Utah St. (1-1)",8.9,"35.3 (28)","26.4 (59)","0.0 (54)"
"35. Iowa St. (1-1)",8.6,"30.1 (57)","21.3 (37)","-0.2 (110)"
"36. Tennessee (1-2)",8.4,"29.9 (59)","21.8 (39)","0.3 (16)"
"37. Kentucky (2-1)",8.4,"37.2 (20)","28.9 (73)","0.1 (45)"
"38. Ole Miss (2-1)",8,"23.9 (88)","15.8 (16)","-0.1 (97)"
"39. Nebraska (2-1)",7.5,"33.6 (37)","26.0 (56)","-0.1 (82)"
"40. Va. Tech (2-1)",7.2,"28.7 (68)","21.5 (38)","0.0 (66)"
"41. Minnesota (3-0)",7.2,"37.2 (21)","29.7 (77)","-0.2 (104)"
"42. Florida St. (1-2)",7.2,"39.9 (13)","33.0 (93)","0.3 (20)"
"43. NC State (2-1)",6.3,"29.9 (60)","23.5 (44)","-0.1 (93)"
"44. Texas Tech (2-1)",6.2,"26.2 (79)","20.4 (34)","0.4 (12)"
"45. Arizona St. (3-0)",6,"18.8 (111)","13.1 (8)","0.4 (7)"
"46. BYU (2-1)",5.7,"26.3 (78)","20.6 (35)","-0.1 (77)"
"47. Temple (2-0)",5.5,"25.8 (82)","19.8 (31)","-0.5 (129)"
"48. Indiana (2-1)",5.2,"29.6 (61)","24.7 (50)","0.2 (28)"
"49. Kansas St. (3-0)",5,"27.4 (73)","22.3 (40)","-0.1 (75)"
"50. Cincinnati (2-1)",4.9,"23.3 (92)","18.2 (22)","-0.1 (89)"
"51. Wake Forest (3-0)",4.9,"33.2 (40)","28.3 (67)","0.0 (59)"
"52. Fresno St. (0-2)",4.3,"33.8 (35)","29.5 (76)","0.0 (64)"
"53. Arizona (2-1)",4.2,"40.6 (9)","36.3 (109)","-0.1 (94)"
"54. Maryland (2-1)",4.1,"28.8 (66)","24.2 (48)","-0.4 (126)"
"55. Duke (2-1)",3.6,"29.4 (62)","25.8 (54)","0.1 (36)"
"56. West Virginia (2-1)",3.3,"26.0 (80)","22.5 (41)","-0.2 (106)"
"57. Stanford (1-2)",3.2,"28.1 (70)","24.6 (49)","-0.3 (114)"
"58. Purdue (1-2)",2.8,"36.5 (23)","33.7 (97)","0.0 (49)"
"59. Pittsburgh (1-2)",2.5,"19.2 (110)","16.6 (20)","-0.2 (98)"
"60. California (3-0)",2.4,"17.0 (117)","14.6 (15)","0.0 (67)"
"61. Arkansas (2-1)",2.4,"25.4 (83)","23.0 (42)","0.0 (61)"
"62. San Diego St. (3-0)",2.3,"13.8 (122)","11.6 (6)","0.1 (42)"
"63. Air Force (2-0)",2.2,"28.5 (69)","26.4 (60)","0.2 (34)"
"64. North Carolina (2-1)",1.3,"30.0 (58)","28.5 (70)","-0.1 (96)"
"65. Colorado (2-1)",1,"39.8 (14)","39.2 (118)","0.4 (10)"
"66. Syracuse (1-2)",0.8,"25.3 (84)","24.8 (51)","0.4 (8)"
"67. Louisville (2-1)",0.5,"26.6 (77)","26.1 (57)","0.0 (57)"
"68. Marshall (2-1)",0.3,"31.0 (51)","31.0 (82)","0.3 (18)"
"69. Northwestern (1-1)",0,"16.0 (119)","16.0 (17)","-0.1 (85)"
"70. Vanderbilt (0-2)",0,"31.8 (45)","31.9 (84)","0.1 (46)"
"71. SMU (3-0)",-0.3,"32.8 (42)","32.9 (92)","-0.2 (102)"
"72. Boston Coll. (2-1)",-0.6,"33.7 (36)","34.1 (101)","-0.2 (111)"
"73. Arkansas St. (1-2)",-0.8,"27.9 (71)","28.5 (69)","-0.2 (101)"
"74. Tulane (2-1)",-0.8,"22.8 (95)","23.9 (47)","0.3 (22)"
"75. Houston (1-2)",-0.9,"34.6 (30)","35.7 (107)","0.1 (38)"
"76. So. Miss (2-1)",-1.2,"31.0 (52)","32.1 (86)","-0.1 (86)"
"77. WMU (2-1)",-2.1,"32.9 (41)","35.0 (104)","0.0 (71)"
"78. UCLA (0-3)",-2.2,"24.5 (87)","26.5 (62)","-0.2 (107)"
"79. North Texas (1-2)",-2.4,"27.1 (75)","29.9 (78)","0.3 (14)"
"80. Toledo (1-1)",-2.5,"31.5 (49)","34.4 (103)","0.4 (6)"
"81. Wyoming (3-0)",-2.5,"23.9 (89)","26.4 (58)","0.0 (72)"
"82. Army (2-1)",-2.8,"21.1 (103)","23.6 (45)","-0.2 (109)"
"83. Illinois (2-1)",-2.8,"28.9 (64)","32.1 (85)","0.4 (4)"
"84. Troy (1-1)",-3.4,"35.8 (26)","39.0 (117)","-0.2 (103)"
"85. Ohio (1-2)",-3.4,"31.6 (47)","35.1 (105)","0.1 (41)"
"86. USF (1-2)",-3.5,"17.8 (114)","21.1 (36)","-0.2 (99)"
"87. UL-Lafayette (2-1)",-3.5,"32.3 (43)","35.8 (108)","-0.1 (79)"
"88. FAU (1-2)",-3.8,"27.8 (72)","31.5 (83)","-0.1 (84)"
"89. Ga. Tech (1-2)",-3.9,"22.1 (101)","25.9 (55)","-0.1 (95)"
"90. NIU (1-2)",-5,"23.9 (90)","28.8 (72)","0.0 (73)"
"91. La. Tech (2-1)",-5.4,"23.8 (91)","28.9 (74)","-0.3 (122)"
"92. Ga. Southern (1-2)",-5.9,"21.0 (105)","26.9 (64)","0.0 (58)"
"93. EMU (2-1)",-6.1,"30.7 (54)","37.1 (111)","0.2 (27)"
"94. Tulsa (1-2)",-6.2,"23.0 (93)","29.2 (75)","0.0 (56)"
"95. Hawaii (2-1)",-6.9,"34.3 (34)","40.9 (121)","-0.3 (119)"
"96. Oregon St. (1-2)",-7.4,"33.6 (38)","41.0 (122)","0.1 (39)"
"97. Navy (2-0)",-7.6,"25.1 (86)","33.3 (94)","0.6 (1)"
"98. Miami-OH (1-2)",-7.7,"26.0 (81)","33.7 (96)","0.0 (62)"
"99. Nevada (2-1)",-8.1,"22.7 (96)","30.8 (81)","0.0 (52)"
"100. FIU (1-2)",-9.9,"17.7 (115)","27.4 (65)","-0.3 (115)"
"101. Kansas (2-1)",-10,"18.4 (112)","28.4 (68)","0.0 (63)"
"102. UL-Monroe (1-1)",-10.1,"30.3 (56)","40.4 (120)","-0.1 (91)"
"103. MTSU (1-2)",-10.9,"30.5 (55)","41.4 (123)","0.1 (47)"
"104. UNLV (1-2)",-11.2,"22.4 (99)","33.3 (95)","-0.3 (112)"
"105. Colorado St. (1-2)",-11.4,"32.2 (44)","43.6 (127)","0.0 (60)"
"106. WKU (1-2)",-12.3,"20.1 (107)","32.3 (87)","-0.1 (90)"
"107. UAB (2-0)",-12.5,"12.6 (125)","24.9 (52)","-0.2 (100)"
"108. Charlotte (2-1)",-12.6,"31.8 (46)","44.5 (128)","0.1 (37)"
"109. Ball St. (1-2)",-12.7,"25.2 (85)","37.6 (113)","-0.3 (113)"
"110. Texas St. (0-3)",-12.8,"20.1 (108)","32.4 (88)","-0.5 (130)"
"111. Buffalo (1-2)",-12.9,"22.7 (97)","35.2 (106)","-0.3 (121)"
"112. Rutgers (1-1)",-13.1,"17.4 (116)","30.6 (79)","0.2 (32)"
"113. Liberty (1-2)",-13.5,"20.6 (106)","33.8 (98)","-0.3 (118)"
"114. Coastal Carolina (2-1)",-15.3,"15.8 (120)","30.7 (80)","-0.3 (120)"
"115. San Jose St. (1-1)",-15.8,"18.1 (113)","33.8 (100)","-0.1 (87)"
"116. ECU (1-2)",-16.2,"22.1 (100)","38.3 (115)","0.0 (55)"
"117. Kent St. (1-2)",-17,"21.0 (104)","38.2 (114)","0.1 (35)"
"118. Georgia St. (2-1)",-17.4,"31.0 (53)","48.6 (129)","0.2 (23)"
"119. CMU (2-1)",-19.8,"20.0 (109)","39.8 (119)","-0.1 (78)"
"120. New Mexico (1-1)",-20.5,"21.8 (102)","42.6 (126)","0.3 (21)"
"121. ODU (1-1)",-21.2,"12.9 (124)","34.2 (102)","0.1 (44)"
"122. S. Alabama (1-2)",-21.4,"11.2 (127)","32.6 (89)","0.0 (70)"
"123. NMSU (0-3)",-22.6,"15.0 (121)","37.5 (112)","-0.1 (74)"
"124. UConn (1-1)",-24.5,"8.2 (130)","32.6 (90)","-0.1 (76)"
"125. UTSA (1-2)",-24.9,"17.0 (118)","41.5 (124)","-0.4 (124)"
"126. Akron (0-3)",-25.1,"9.2 (129)","33.8 (99)","-0.4 (125)"
"127. BGSU (1-2)",-25.4,"11.3 (126)","36.3 (110)","-0.4 (127)"
"128. Rice (0-3)",-25.6,"13.3 (123)","38.6 (116)","-0.3 (117)"
"129. UMass (0-3)",-27.8,"22.6 (98)","50.3 (130)","0.0 (68)"
"130. UTEP (1-1)",-31.3,"10.4 (128)","41.7 (125)","-0.1 (80)"
