"Team (Record)","Rating","Offense","Defense","Special Teams"
"24. Texas (1-1)",12.6,"49.4 (6)","36.9 (85)","0.1 (21)"
"25. Baylor (2-0)",12.4,"41.2 (36)","28.9 (45)","0.0 (68)"
"26. Memphis (2-0)",12.2,"30.8 (80)","18.8 (13)","0.2 (8)"
"27. Oklahoma St. (2-0)",12.2,"45.9 (13)","33.6 (69)","0.0 (78)"
"28. S. Carolina (1-1)",11.9,"38.5 (47)","26.7 (35)","0.1 (16)"
"29. Miami (0-2)",11.5,"39.3 (43)","27.8 (38)","0.0 (66)"
"30. TCU (1-0)",11,"31.0 (79)","20.0 (16)","0.1 (27)"
"31. NC St. (2-0)",11,"36.0 (58)","24.9 (31)","0.0 (72)"
"32. Virginia (2-0)",11,"32.1 (72)","21.1 (19)","0.0 (50)"
"33. Boise St. (2-0)",10.7,"31.6 (76)","20.8 (18)","-0.1 (100)"
"34. Kentucky (2-0)",9.5,"44.1 (20)","34.7 (74)","0.1 (35)"
"35. Ole Miss (1-1)",9.4,"26.8 (99)","17.3 (8)","0.0 (86)"
"36. App. St. (2-0)",9.4,"46.1 (11)","36.7 (83)","-0.1 (93)"
"37. Iowa St. (1-0)",8.7,"30.0 (86)","21.3 (21)","0.1 (41)"
"38. Maryland (2-0)",8.5,"41.5 (34)","32.9 (64)","0.0 (73)"
"39. Texas Tech (2-0)",8.5,"33.3 (69)","24.9 (32)","0.2 (14)"
"40. Indiana (2-0)",7.5,"36.1 (57)","28.8 (44)","0.2 (1)"
"41. Kansas St. (2-0)",7.3,"36.3 (55)","28.9 (47)","-0.1 (109)"
"42. Minnesota (2-0)",7.1,"46.6 (10)","39.5 (96)","0.1 (37)"
"43. Arizona St. (2-0)",6.8,"23.7 (109)","17.0 (7)","0.2 (12)"
"44. Temple (1-0)",6.6,"38.2 (49)","31.6 (57)","0.0 (63)"
"45. Va. Tech (1-1)",6.4,"39.5 (40)","33.1 (66)","0.0 (90)"
"46. Florida St. (1-1)",4.7,"47.6 (9)","43.1 (109)","0.1 (18)"
"47. Tennessee (0-2)",4.4,"37.5 (52)","33.2 (67)","0.1 (19)"
"48. Boston Coll. (2-0)",4.4,"43.2 (23)","38.7 (93)","-0.1 (114)"
"49. BYU (1-1)",4.1,"33.5 (68)","29.4 (50)","0.0 (55)"
"50. Wake Forest (2-0)",3.9,"42.0 (32)","38.0 (88)","0.0 (57)"
"51. Fresno St. (0-2)",3.9,"42.0 (31)","38.1 (89)","0.0 (47)"
"52. Nebraska (1-1)",3.8,"31.7 (75)","27.9 (39)","-0.1 (95)"
"53. Colorado (2-0)",3.8,"50.2 (4)","46.6 (117)","0.2 (15)"
"54. Utah St. (0-1)",3.7,"45.4 (17)","41.6 (100)","0.0 (74)"
"55. California (2-0)",3.7,"27.2 (96)","23.4 (25)","-0.1 (98)"
"56. N. Carolina (2-0)",3.7,"39.5 (41)","35.7 (79)","-0.2 (117)"
"57. Purdue (1-1)",3.4,"42.4 (28)","39.0 (95)","0.0 (71)"
"58. San Diego St. (2-0)",3.3,"16.2 (126)","13.0 (1)","0.1 (32)"
"59. Arkansas St. (1-1)",2.7,"36.8 (53)","34.1 (72)","0.0 (67)"
"60. Air Force (1-0)",2.6,"34.9 (65)","32.2 (61)","-0.1 (106)"
"61. Stanford (1-1)",2.6,"27.4 (94)","24.7 (30)","-0.2 (115)"
"62. Cincinnati (1-1)",2.1,"26.7 (100)","24.6 (29)","0.0 (61)"
"63. Arizona (1-1)",1.8,"48.5 (7)","46.8 (120)","0.0 (45)"
"64. Duke (1-1)",1.5,"32.0 (73)","30.6 (53)","0.1 (40)"
"65. SMU (2-0)",1.2,"41.5 (33)","40.1 (97)","-0.2 (116)"
"66. Marshall (1-1)",0.9,"32.0 (74)","31.2 (54)","0.1 (36)"
"67. Arkansas (1-1)",0.4,"21.6 (116)","21.2 (20)","0.0 (64)"
"68. Ohio (1-0)",0.3,"45.1 (18)","44.9 (112)","0.1 (17)"
"69. Houston (1-1)",0.2,"41.2 (37)","41.1 (99)","0.1 (28)"
"70. Syracuse (1-1)",0.1,"30.3 (85)","30.4 (52)","0.2 (5)"
"71. Wyoming (2-0)",0.1,"35.5 (61)","35.4 (78)","0.0 (76)"
"72. Vanderbilt (0-2)",0,"37.6 (51)","37.6 (86)","0.0 (53)"
"73. Illinois (2-0)",-0.6,"27.6 (93)","28.3 (40)","0.1 (24)"
"74. Tulane (1-1)",-0.8,"26.0 (104)","26.9 (36)","0.2 (13)"
"75. Louisville (1-1)",-0.9,"30.6 (82)","31.4 (56)","0.0 (83)"
"76. Troy (1-0)",-0.9,"30.4 (84)","31.3 (55)","0.1 (31)"
"77. So. Miss (1-1)",-1.1,"31.1 (78)","32.2 (62)","0.0 (59)"
"78. West Virginia (1-1)",-1.8,"27.2 (95)","28.9 (46)","-0.2 (121)"
"79. Army (1-1)",-2.4,"27.0 (97)","29.3 (49)","0.0 (91)"
"80. NIU (1-1)",-2.8,"29.9 (87)","32.7 (63)","0.0 (51)"
"81. UCLA (0-2)",-2.8,"26.0 (103)","28.6 (43)","-0.2 (126)"
"82. Pittsburgh (0-1)",-3.1,"25.5 (105)","28.4 (42)","-0.2 (125)"
"83. Hawaii (2-0)",-3.2,"43.5 (22)","46.7 (119)","-0.1 (102)"
"84. Northwestern (0-1)",-3.4,"11.8 (129)","15.1 (5)","-0.1 (104)"
"85. UL-Lafayette (1-1)",-4.1,"42.0 (30)","46.0 (115)","-0.1 (108)"
"86. Tulsa (1-1)",-4.4,"30.5 (83)","34.9 (77)","0.1 (39)"
"87. Toledo (0-1)",-4.9,"42.8 (26)","47.9 (126)","0.2 (11)"
"88. Miami-OH (1-1)",-5.1,"32.8 (70)","37.9 (87)","0.0 (65)"
"89. Ga. Tech (1-1)",-5.5,"24.8 (107)","30.0 (51)","-0.2 (124)"
"90. FAU (0-2)",-5.7,"29.2 (90)","34.8 (75)","0.0 (88)"
"91. N. Texas (1-1)",-5.8,"41.5 (35)","47.4 (123)","0.2 (10)"
"92. WMU (1-1)",-6.6,"35.6 (60)","42.2 (105)","0.0 (69)"
"93. Ga. Southern (1-1)",-7.5,"26.9 (98)","34.4 (73)","0.0 (75)"
"94. EMU (1-1)",-7.7,"36.0 (59)","43.7 (110)","0.0 (48)"
"95. MTSU (1-1)",-7.7,"38.6 (46)","46.3 (116)","0.0 (80)"
"96. Oregon St. (0-2)",-7.9,"44.1 (19)","52.1 (128)","0.0 (49)"
"97. USF (0-2)",-8.3,"18.2 (122)","26.4 (34)","-0.2 (118)"
"98. UL-Monroe (1-1)",-9.3,"37.8 (50)","47.1 (122)","0.0 (85)"
"99. Buffalo (1-1)",-9.5,"29.5 (88)","39.0 (94)","0.0 (62)"
"100. La. Tech (1-1)",-9.7,"28.8 (91)","38.4 (92)","-0.1 (112)"
"101. Ball St. (1-1)",-9.8,"35.3 (63)","44.9 (113)","-0.2 (123)"
"102. Navy (1-0)",-9.9,"32.5 (71)","42.7 (107)","0.2 (3)"
"103. Colorado St. (1-1)",-10.4,"34.7 (66)","45.1 (114)","0.0 (79)"
"104. WKU (1-1)",-10.5,"26.5 (101)","36.9 (84)","-0.1 (113)"
"105. UNLV (1-1)",-10.7,"31.3 (77)","42.0 (104)","0.0 (89)"
"106. Nevada (1-1)",-11,"30.6 (81)","41.7 (101)","0.0 (52)"
"107. Rutgers (1-1)",-11.2,"22.8 (113)","34.1 (71)","0.1 (42)"
"108. Texas St. (0-2)",-11.7,"20.5 (117)","32.0 (59)","-0.2 (122)"
"109. UAB (2-0)",-11.7,"16.8 (125)","28.4 (41)","-0.1 (107)"
"110. Georgia St. (2-0)",-12.7,"42.5 (27)","55.2 (130)","0.0 (44)"
"111. Charlotte (1-1)",-12.9,"34.9 (64)","47.8 (125)","0.0 (58)"
"112. FIU (0-2)",-12.9,"23.5 (110)","36.1 (81)","-0.3 (129)"
"113. ECU (1-1)",-13.8,"28.4 (92)","42.3 (106)","0.1 (33)"
"114. Kansas (1-1)",-14.2,"15.1 (127)","29.3 (48)","0.0 (56)"
"115. San Jose St. (1-1)",-15.5,"26.2 (102)","41.7 (102)","-0.1 (94)"
"116. Coastal Caro. (1-1)",-15.5,"22.9 (112)","38.2 (91)","-0.2 (128)"
"117. Kent St. (1-1)",-15.7,"20.0 (118)","35.8 (80)","0.1 (22)"
"118. S. Alabama (1-1)",-18,"16.9 (124)","34.9 (76)","0.0 (82)"
"119. New Mexico (1-0)",-18,"29.3 (89)","47.6 (124)","0.2 (6)"
"120. Liberty (0-2)",-18.4,"19.9 (119)","38.1 (90)","-0.1 (111)"
"121. ODU (1-1)",-19.4,"22.5 (114)","41.9 (103)","0.0 (60)"
"122. UConn (1-1)",-21.8,"14.4 (128)","36.2 (82)","0.0 (46)"
"123. Rice (0-2)",-22.3,"18.6 (120)","40.8 (98)","-0.1 (101)"
"124. CMU (1-1)",-22.7,"22.0 (115)","44.8 (111)","0.1 (38)"
"125. NMSU (0-2)",-23.2,"23.4 (111)","46.6 (118)","-0.1 (96)"
"126. UTSA (1-1)",-24.1,"24.9 (106)","49.0 (127)","-0.1 (97)"
"127. BGSU (1-1)",-24.7,"18.3 (121)","42.8 (108)","-0.2 (120)"
"128. Akron (0-2)",-24.9,"9.2 (130)","33.8 (70)","-0.3 (130)"
"129. UMass (0-2)",-28,"24.2 (108)","52.1 (129)","-0.1 (103)"
"130. UTEP (1-1)",-29.6,"17.1 (123)","46.8 (121)","0.0 (54)"
