"Team (Record)","Rating","Offense","Defense","Special Teams"
"47. Texas Tech (3-5)",4.6,"33.6 (40)","29.2 (72)","0.3 (24)"
"48. Pittsburgh (6-3)",4.2,"17.9 (115)","13.6 (10)","-0.2 (90)"
"49. N. Carolina (4-5)",3.9,"32.4 (48)","28.3 (66)","-0.1 (85)"
"50. Nebraska (4-5)",3.7,"31.8 (49)","27.8 (65)","-0.4 (123)"
"51. Florida St. (4-5)",3.4,"30.3 (58)","26.7 (57)","-0.2 (98)"
"52. Temple (5-3)",3,"26.3 (81)","23.5 (40)","0.2 (37)"
"53. Louisville (5-3)",2.5,"34.0 (36)","31.6 (88)","0.0 (56)"
"54. Ole Miss (3-6)",2.5,"26.6 (75)","23.8 (41)","-0.3 (117)"
"55. Purdue (3-6)",2.5,"31.6 (52)","29.1 (70)","0.0 (66)"
"56. Kentucky (4-4)",2.2,"26.3 (84)","24.2 (44)","0.1 (40)"
"57. Illinois (5-4)",2.2,"27.8 (67)","26.0 (51)","0.4 (6)"
"58. UCLA (4-5)",1.9,"31.3 (53)","29.5 (74)","0.0 (55)"
"59. Oregon St. (4-4)",1.7,"36.2 (22)","34.3 (102)","-0.2 (107)"
"60. Boston Coll. (5-4)",1.7,"36.0 (25)","34.1 (100)","-0.2 (99)"
"61. Duke (4-4)",1.1,"23.6 (95)","22.7 (37)","0.2 (31)"
"62. FAU (6-3)",0.2,"29.4 (62)","29.3 (73)","0.1 (49)"
"63. Maryland (3-6)",0.2,"28.0 (65)","27.2 (61)","-0.5 (129)"
"64. Va. Tech (5-3)",-0.2,"26.3 (82)","26.6 (55)","0.0 (62)"
"65. NC St. (4-4)",-0.4,"24.6 (92)","25.1 (46)","0.2 (35)"
"66. Fresno St. (4-4)",-0.5,"32.7 (47)","32.9 (93)","-0.2 (103)"
"67. Houston (3-6)",-1.1,"31.7 (51)","33.1 (94)","0.3 (20)"
"68. San Diego St. (7-1)",-1.2,"15.9 (123)","17.6 (20)","0.4 (5)"
"69. Arizona (4-5)",-1.3,"36.1 (23)","37.1 (111)","-0.2 (108)"
"70. Wyoming (6-2)",-1.8,"23.5 (97)","25.3 (48)","0.0 (57)"
"71. Utah St. (4-4)",-1.8,"24.8 (90)","26.8 (58)","0.2 (33)"
"72. California (4-4)",-2.2,"18.3 (113)","20.3 (28)","-0.2 (89)"
"73. BYU (4-4)",-2.2,"27.6 (68)","29.7 (77)","-0.1 (81)"
"74. La. Tech (7-1)",-2.5,"30.2 (59)","32.6 (91)","-0.1 (74)"
"75. Army (3-6)",-2.7,"26.4 (77)","29.2 (71)","0.1 (52)"
"76. USF (4-4)",-3.1,"24.6 (91)","27.3 (62)","-0.4 (124)"
"77. Stanford (4-4)",-3.1,"26.3 (83)","29.5 (75)","0.1 (53)"
"78. UAB (6-2)",-3.8,"18.1 (114)","21.7 (32)","-0.2 (97)"
"79. Colorado (3-6)",-3.8,"33.6 (39)","37.5 (115)","0.1 (50)"
"80. WMU (5-4)",-4,"30.9 (55)","34.7 (104)","-0.2 (101)"
"81. Hawaii (5-4)",-4.6,"34.7 (29)","39.1 (122)","-0.2 (96)"
"82. Tulsa (2-7)",-4.6,"22.9 (100)","27.1 (60)","-0.4 (125)"
"83. Ga. Southern (5-3)",-4.7,"19.5 (107)","24.1 (43)","-0.1 (79)"
"84. Marshall (6-3)",-4.7,"25.6 (87)","30.4 (79)","0.1 (43)"
"85. Arkansas St. (5-4)",-4.7,"31.8 (50)","36.7 (110)","0.2 (28)"
"86. WKU (5-4)",-4.7,"19.2 (108)","23.9 (42)","0.0 (73)"
"87. Ohio (4-4)",-4.9,"32.8 (45)","37.8 (117)","0.2 (36)"
"88. W. Virginia (3-5)",-4.9,"26.7 (74)","31.3 (85)","-0.2 (109)"
"89. N. Texas (4-5)",-4.9,"29.7 (60)","35.0 (107)","0.3 (13)"
"90. Liberty (6-3)",-5,"29.0 (63)","34.1 (101)","0.1 (41)"
"91. Troy (3-5)",-5.1,"32.8 (44)","37.7 (116)","-0.2 (100)"
"92. Syracuse (3-6)",-5.1,"23.2 (99)","28.6 (69)","0.3 (17)"
"93. So. Miss (5-3)",-5.2,"27.2 (71)","32.2 (89)","-0.2 (105)"
"94. Northwestern (1-7)",-5.3,"12.5 (126)","17.6 (21)","-0.2 (95)"
"95. Kansas (3-6)",-5.6,"28.5 (64)","33.9 (98)","-0.3 (111)"
"96. FIU (5-4)",-6.3,"23.7 (94)","29.9 (78)","-0.1 (86)"
"97. Ga. Tech (2-6)",-7.7,"17.3 (119)","24.6 (45)","-0.3 (121)"
"98. Ball St. (4-4)",-8.1,"23.5 (96)","31.3 (84)","-0.3 (119)"
"99. Colorado St. (4-5)",-8.1,"26.5 (76)","34.7 (103)","0.1 (45)"
"100. Arkansas (2-7)",-8.4,"22.9 (101)","31.4 (87)","0.1 (51)"
"101. Buffalo (5-4)",-8.4,"18.5 (110)","26.4 (53)","-0.5 (130)"
"102. CMU (6-4)",-8.7,"22.5 (103)","30.9 (81)","-0.3 (112)"
"103. Georgia St. (6-2)",-9,"30.7 (57)","39.3 (123)","-0.3 (116)"
"104. Vanderbilt (2-6)",-9,"24.1 (93)","33.4 (95)","0.3 (22)"
"105. Charlotte (4-5)",-10.3,"31.3 (54)","41.6 (127)","0.0 (67)"
"106. Coastal Caro. (4-4)",-10.7,"23.2 (98)","33.8 (97)","-0.2 (92)"
"107. Rutgers (2-7)",-11,"20.3 (105)","31.3 (83)","0.0 (64)"
"108. MTSU (3-6)",-11.9,"26.4 (78)","38.1 (119)","-0.1 (80)"
"109. ECU (3-6)",-12,"22.8 (102)","34.8 (106)","0.0 (61)"
"110. San Jose St. (4-5)",-12.4,"26.4 (79)","38.8 (121)","0.0 (65)"
"111. Toledo (5-3)",-12.5,"25.0 (89)","37.2 (113)","-0.2 (106)"
"112. UL-Monroe (3-5)",-13.1,"27.6 (69)","40.5 (125)","-0.3 (115)"
"113. NIU (3-6)",-13.3,"20.9 (104)","34.0 (99)","-0.2 (93)"
"114. Texas St. (2-6)",-13.4,"16.4 (122)","29.5 (76)","-0.3 (118)"
"115. Miami-OH (4-4)",-13.9,"16.8 (121)","30.8 (80)","0.1 (42)"
"116. EMU (4-5)",-15.1,"26.1 (85)","41.1 (126)","-0.1 (77)"
"117. Nevada (5-4)",-15.2,"17.4 (118)","32.7 (92)","0.0 (59)"
"118. Kent St. (3-5)",-17.2,"19.8 (106)","37.1 (112)","0.2 (30)"
"119. UNLV (2-7)",-18,"18.5 (112)","36.3 (109)","-0.1 (83)"
"120. New Mexico (2-7)",-19.5,"18.9 (109)","38.7 (120)","0.3 (15)"
"121. NMSU (0-8)",-21.7,"17.7 (117)","39.4 (124)","0.0 (70)"
"122. UConn (2-7)",-22.5,"15.8 (124)","38.0 (118)","-0.2 (104)"
"123. ODU (1-8)",-23.3,"9.2 (129)","32.4 (90)","0.0 (72)"
"124. S. Alabama (1-7)",-23.4,"10.5 (128)","33.5 (96)","-0.5 (127)"
"125. Rice (0-9)",-23.8,"11.0 (127)","34.7 (105)","-0.1 (82)"
"126. BGSU (3-6)",-24,"14.0 (125)","37.4 (114)","-0.5 (128)"
"127. UTSA (3-5)",-25.4,"17.8 (116)","42.8 (128)","-0.4 (122)"
"128. UTEP (1-7)",-28.4,"17.1 (120)","45.4 (129)","-0.1 (76)"
"129. Akron (0-9)",-28.5,"7.5 (130)","35.5 (108)","-0.4 (126)"
"130. UMass (1-8)",-32.6,"18.5 (111)","51.0 (130)","0.0 (63)"
