"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Bill Sampy","bill-sampy-1","['WR']","2003-09-27",5,"Louisiana",126,"@","North Texas",57,"L",,,,,,,,1,-6,-6,0,6,41,6.8,1,,,,,,,,,,,,,,,,,,,,,1,7,7,0,,,,
"Steve Savoy","steve-savoy-1","[]","2003-09-27",4,"Utah",104,"@","Colorado St.",85,"W",,,,,,,,,,,,2,16,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Sawyer","ryan-sawyer-1","[]","2003-09-27",4,"Virginia",24,,"Wake Forest",26,"W",,,,,,,,,,,,5,42,8.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bo Scaife","bo-scaife-1","[]","2003-09-27",4,"Texas",48,,"Tulane",11,"W",,,,,,,,,,,,2,24,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Schieffer","joe-schieffer-1","[]","2003-09-27",5,"Air Force",83,"@","BYU",66,"W",,,,,,,,2,24,12,0,1,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Schmidt","josh-schmidt-1","[]","2003-09-27",4,"Notre Dame",70,"@","Purdue",38,"L",,,,,,,,,,,,1,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derek Schouman","derek-schouman-1","['TE']","2003-09-27",4,"Boise St.",84,,"Wyoming",94,"W",,,,,,,,,,,,2,39,19.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jason Schule","jason-schule-1","['RB', 'LB']","2003-09-27",5,"UL Monroe",130,"@","Utah St.",93,"L",,,,,,,,3,10,3.3,0,1,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin Scott","austin-scott-1","['RB']","2003-09-27",5,"Penn State",37,,"Minnesota",33,"L",,,,,,,,20,95,4.8,1,2,13,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chad Scott","chad-scott-2","[]","2003-09-27",4,"North Carolina",21,"@","NC State",20,"L",,,,,,,,1,-3,-3,0,3,34,11.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jerramy Scott","jerramy-scott-1","['RB', 'WR']","2003-09-27",5,"Michigan St.",32,,"Iowa",29,"W",,,,,,,,,,,,2,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McKinley Scott","mckinley-scott-1","[]","2003-09-27",4,"Mississippi St.",114,,"LSU",113,"L",,,,,,,,,,,,4,40,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victor Sesay","victor-sesay-1","[]","2003-09-27",5,"Missouri",115,"@","Kansas",43,"L",,,,,,,,,,,,3,25,8.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agim Shabaj","agim-shabaj-1","[]","2003-09-27",5,"Michigan St.",32,,"Iowa",29,"W",,,,,,,,1,-2,-2,0,9,62,6.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
