"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Warren Braxton","warren-braxton-1","[]","2004-09-04",1,"Wake Forest",26,"@","Clemson",14,"L",,,,,,,,,,,,,,,,,,,,,1,10,0,,,,,,,,,,,,,,,,,,,,
"Darrell Brooks","darrell-brooks-1","['DB']","2004-09-04",1,"Arizona",95,,"Northern Arizona",137,"W",,,,,,,,,,,,,,,,,,,,,1,8,0,,,,,,,,,,,,,,,,,,,,
"Daniel Bullocks","daniel-bullocks-1","['DB']","2004-09-04",1,"Nebraska",34,,"Western Illinois",190,"W",,,,,,,,,,,,,,,,,,,,,1,58,0,,,,,,,,,,,,,,,,,,,,
"Terrance Butler","terrance-butler-1","['DB']","2004-09-04",1,"Wyoming",94,,"Appalachian St.",121,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Antoine Cason","antoine-cason-1","['DB']","2004-09-04",1,"Arizona",95,,"Northern Arizona",137,"W",,,,,,,,,,,,,,,,,,,,,1,4,0,,,,,,,,,,,,,,,,,,,,
"Simeon Castille","simeon-castille-1","['DB']","2004-09-04",1,"Alabama",107,,"Utah St.",93,"W",,,,,,,,,,,,,,,,,,,,,1,31,1,,,,,,,,,,,,,,,,,,,,
"Ira Cooper","ira-cooper-1","[]","2004-09-04",1,"Nebraska",34,,"Western Illinois",190,"W",,,,,,,,,,,,,,,,,,,,,1,51,0,,,,,,,,,,,,,,,,,,,,
"Markus Curry","markus-curry-1","[]","2004-09-04",1,"Michigan",31,,"Miami (OH)",78,"W",,,,,,,,,,,,,,,,,,,,,2,46,0,,,,,,,,,,,,,,,,,,,,
"Thomas Davis","thomas-davis-1","[]","2004-09-04",1,"Georgia",111,,"Georgia Southern",124,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Josh Dean","josh-dean-1","[]","2004-09-04",1,"San Diego St.",90,,"Idaho State",134,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Abraham Elimimian","abraham-elimimian-1","[]","2004-09-04",1,"Hawaii",87,,"Florida Atlantic",52,"L",,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,
"Robby Farmer","robby-farmer-1","[]","2004-09-04",1,"Troy",129,"@","Marshall",55,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Heath Farwell","heath-farwell-1","[]","2004-09-04",1,"San Diego St.",90,,"Idaho State",134,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Alfred Fincher","alfred-fincher-1","[]","2004-09-04",1,"Connecticut",3,,"Murray State",205,"W",,,,,,,,,,,,,,,,,,,,,1,16,1,,,,,,,,,,,,,,,,,,,,
"Wilrey Fontenot","wilrey-fontenot-1","['DB']","2004-09-04",1,"Arizona",95,,"Northern Arizona",137,"W",,,,,,,,,,,,,,,,,,,,,1,7,0,,,,,,,,,,,,,,,,,,,,
"Gabe Franklin","gabe-franklin-1","[]","2004-09-04",1,"Boise St.",84,,"Idaho",133,"W",,,,,,,,,,,,,,,,,,,,,1,20,0,,,,,,,,,,,,,,,,,,,,
"Josh Gattis","josh-gattis-1","['DB']","2004-09-04",1,"Wake Forest",26,"@","Clemson",14,"L",,,,,,,,,,,,,,,,,,,,,1,37,0,,,,,,,,,,,,,,,,,,,,
"Matt Giordano","matt-giordano-1","[]","2004-09-04",1,"California",97,"@","Air Force",83,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Vernon Grant","vernon-grant-1","[]","2004-09-04",1,"Oklahoma St.",46,"@","UCLA",102,"W",,,,,,,,,,,,,,,,,,,,,1,3,0,,,,,,,,,,,,,,,,,,,,
"Chad Greenway","chad-greenway-1","['LB']","2004-09-04",1,"Iowa",29,,"Kent State",77,"W",,,,,,,,,,,,,,,,,,,,,2,54,1,,,,,,,,,,,,,,,,,1,9,9,0
"JaJuan Hall","jajuan-hall-1","['DB']","2004-09-04",1,"Cincinnati",2,"@","Ohio St.",36,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Adriel Hansbro","adriel-hansbro-1","['DB']","2004-09-04",1,"Northern Illinois",79,"@","Maryland",30,"L",,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,
"Jason Harmon","jason-harmon-2","[]","2004-09-04",1,"Michigan St.",32,"@","Rutgers",39,"L",,,,,,,,,,,,,,,,,,,,,1,19,0,,,,,,,,,,,,,,,,,,,,
"Roman Harper","roman-harper-1","['DB']","2004-09-04",1,"Alabama",107,,"Utah St.",93,"W",,,,,,,,,,,,,,,,,,,,,1,26,0,,,,,,,,,,,,,,,,,,,,
"Jermaine Harris","jermaine-harris-1","[]","2004-09-04",1,"South Carolina",117,"@","Vanderbilt",120,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Anttaj Hawthorne","anttaj-hawthorne-1","[]","2004-09-04",1,"Wisconsin",40,,"Central Florida",1,"W",,,,,,,,,,,,,,,,,,,,,1,15,0,,,,,,,,,,,,,,,,,,,,
"Kelvin Hayden","kelvin-hayden-1","[]","2004-09-04",1,"Illinois",27,,"Florida A&M",175,"W",,,,,,,,,,,,,,,,,,,,,2,23,1,,,,,,,,,,,,,,,,,,,,
"Will Herring","will-herring-1","['DB', 'LB']","2004-09-04",1,"Auburn",109,,"UL Monroe",130,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Marcus Hudson","marcus-hudson-1","['DB']","2004-09-04",1,"NC State",20,,"Richmond",159,"W",,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,
"Antonio Huffman","antonio-huffman-1","['DB']","2004-09-04",1,"Texas Tech",49,"@","SMU",8,"W",,,,,,,,,,,,,,,,,,,,,1,12,0,,,,,,,,,,,,,,,,,,,,
"Ernest Hunter","ernest-hunter-1","['DB', 'DL']","2004-09-04",1,"West Virginia",50,,"East Carolina",4,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Brian Iwuh","brian-iwuh-1","['LB']","2004-09-04",1,"Colorado",98,,"Colorado St.",85,"W",,,,,,,,,,,,,,,,,,,,,1,37,1,,,,,,,,,,,,,,,,,,,,
"D'Qwell Jackson","dqwell-jackson-1","['LB']","2004-09-04",1,"Maryland",30,,"Northern Illinois",79,"W",,,,,,,,,,,,,,,,,,,,,2,36,0,,,,,,,,,,,,,,,,,,,,
"Jamacia Jackson","jamacia-jackson-1","[]","2004-09-04",1,"South Carolina",117,"@","Vanderbilt",120,"W",,,,,,,,,,,,,,,,,,,,,1,98,1,,,,,,,,,,,,,,,,,,,,
"Preston Jackson","preston-jackson-1","[]","2004-09-04",1,"Notre Dame",70,"@","BYU",66,"L",,,,,,,,,,,,,,,,,,,,,1,38,1,,,,,,,,,,,,,,,,,,,,
"J.J. Jones","jj-jones-2","['DB']","2004-09-04",1,"NC State",20,,"Richmond",159,"W",,,,,,,,,,,,,,,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,
"Kevin Kane","kevin-kane-1","['LB']","2004-09-04",1,"Kansas",43,,"Tulsa",12,"W",,,,,,,,,,,,,,,,,,,,,1,18,0,,,,,,,,,,,,,,,,,,,,
"Miles Kochevar","miles-kochevar-1","['DB']","2004-09-04",1,"Colorado St.",85,"@","Colorado",98,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Richard Koonce","richard-koonce-1","['DL', 'LB']","2004-09-04",1,"East Carolina",4,"@","West Virginia",50,"L",,,,,,,,,,,,,,,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,
"Laron Landry","laron-landry-1","['DB']","2004-09-04",1,"LSU",113,,"Oregon St.",100,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Maurice Linguist","maurice-linguist-1","['DB']","2004-09-04",1,"Baylor",41,"@","UAB",61,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Marcus Mark","marcus-mark-1","['LB']","2004-09-04",1,"UAB",61,,"Baylor",41,"W",,,,,,,,,,,,,,,,,,,,,1,31,1,,,,,,,,,,,,,,,,,,,,
"Trumaine McBride","trumaine-mcbride-1","['DB']","2004-09-04",1,"Ole Miss",116,,"Memphis",6,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Clarence McDougal","clarence-mcdougal-1","['LB']","2004-09-04",1,"Mississippi St.",114,,"Tulane",11,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Corey McKeon","corey-mckeon-1","['LB']","2004-09-04",1,"Nebraska",34,,"Western Illinois",190,"W",,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,
"Doug Monaghan","doug-monaghan-1","[]","2004-09-04",1,"Cincinnati",2,"@","Ohio St.",36,"L",,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,
"Ryan Mundy","ryan-mundy-1","['DB']","2004-09-04",1,"Michigan",31,,"Miami (OH)",78,"W",,,,,,,,,,,,,,,,,,,,,1,38,0,,,,,,,,,,,,,,,,,,,,
"Ryan Neill","ryan-neill-1","['DL']","2004-09-04",1,"Rutgers",39,,"Michigan St.",32,"W",,,,,,,,,,,,,,,,,,,,,1,31,1,,,,,,,,,,,,,,,,,,,,
"Keon Newson","keon-newson-1","[]","2004-09-04",1,"Bowling Green",73,"@","Oklahoma",45,"L",,,,,,,,,,,,,,,,,,,,,1,28,1,,,,,,,,,,,,,,,,,,,,
"Alex Peoples","alex-peoples-1","[]","2004-09-04",1,"Arkansas St.",122,"@","Missouri",115,"L",,,,,,,,,,,,,,,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,
"Leonard Peters","leonard-peters-1","['DB']","2004-09-04",1,"Hawaii",87,,"Florida Atlantic",52,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Anwar Phillips","anwar-phillips-1","['DB']","2004-09-04",1,"Penn State",37,,"Akron",71,"W",,,,,,,,,,,,,,,,,,,,,2,47,0,,,,,,,,,,,,,,,,,,,,
"Sabby Piscitelli","sabby-piscitelli-1","['DB']","2004-09-04",1,"Oregon St.",100,"@","LSU",113,"L",,,,,,,,,,,,,,,,,,,,,1,7,0,,,,,,,,,,,,,,,,,,,,
"Phil Pitts","phil-pitts-1","[]","2004-09-04",1,"Missouri",115,,"Arkansas St.",122,"W",,,,,,,,,,,,,,,,,,,,,1,49,1,,,,,,,,,,,,,,,,,,,,
"Tracy Porter","tracy-porter-1","['DB']","2004-09-04",1,"Indiana",28,,"Central Michigan",75,"W",,,,,,,,,,,,,,,,,,,,,2,98,1,,,,,,,,,,,,,,,,,,,,
"Matt Pusateri","matt-pusateri-1","[]","2004-09-04",2,"Miami (OH)",78,"@","Michigan",31,"L",,,,,,,,,,,,,,,,,,,,,1,18,0,,,,,,,,,,,,,,,,,,,,
"Brandon Register","brandon-register-1","['DB']","2004-09-04",1,"UAB",61,,"Baylor",41,"W",,,,,,,,,,,,,,,,,,,,,1,24,0,,,,,,,,,,,,,,,,,,,,
"Ron Rockett","ron-rockett-1","['DB']","2004-09-04",1,"Wyoming",94,,"Appalachian St.",121,"W",,,,,,,,,,,,,,,,,,,,,1,33,0,,,,,,,,,,,,,,,,,,,,
"DeMarcus Rodgers","demarcus-rodgers-1","[]","2004-09-04",1,"UAB",61,,"Baylor",41,"W",,,,,,,,,,,,,,,,,,,,,1,7,0,,,,,,,,,,,,,,,,,,,,
"Chris Royal","chris-royal-1","['DB']","2004-09-04",1,"Marshall",55,,"Troy",129,"L",,,,,,,,,,,,,,,,,,,,,2,42,0,,,,,,,,,,,,,2,26,13,0,,,,
"J.R. Ruffin","jr-ruffin-1","[]","2004-09-04",1,"Idaho",133,"@","Boise St.",84,"L",,,,,,,,,,,,,,,,,,,,,1,17,0,,,,,,,,,,,,,4,79,19.8,0,,,,
"Ernest Shazor","ernest-shazor-1","[]","2004-09-04",1,"Michigan",31,,"Miami (OH)",78,"W",,,,,,,,,,,,,,,,,,,,,1,88,1,,,,,,,,,,,,,,,,,,,,
"Antwain Spann","antwain-spann-1","[]","2004-09-04",1,"Louisiana",126,,"Northwestern State",243,"W",,,,,,,,,,,,,,,,,,,,,1,14,0,,,,,,,,,,,,,,,,,,,,
"Jacob Stewart","jacob-stewart-1","[]","2004-09-04",1,"Michigan",31,,"Miami (OH)",78,"W",,,,,,,,,,,,,,,,,,,,,1,31,0,,,,,,,,,,,,,,,,,,,,
"Jamie Thompson","jamie-thompson-1","['DB']","2004-09-04",1,"Oklahoma St.",46,"@","UCLA",102,"W",,,,,,,,,,,,,,,,,,,,,1,26,0,,,,,,,,,,,,,,,,,,,,
"Guy Tuell","guy-tuell-1","[]","2004-09-04",1,"Wyoming",94,,"Appalachian St.",121,"W",,,,,,,,1,14,14,0,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Fabian Washington","fabian-washington-1","[]","2004-09-04",1,"Nebraska",34,,"Western Illinois",190,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Donald Whitehead","donald-whitehead-1","[]","2004-09-04",1,"East Carolina",4,"@","West Virginia",50,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Darren Williams","darren-williams-1","[]","2004-09-04",1,"Mississippi St.",114,,"Tulane",11,"W",,,,,,,,,,,,,,,,,,,,,1,19,0,,,,,,,,,,,,,,,,,,,,
"Jack Williams","jack-williams-1","['DB']","2004-09-04",1,"Kent State",77,"@","Iowa",29,"L",,,,,,,,,,,,,,,,,,,,,1,99,1,,,,,,,,,,,,,,,,,,,,
"Larry Williams","larry-williams-1","['DB']","2004-09-04",1,"West Virginia",50,,"East Carolina",4,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Shelton Williams","shelton-williams-1","['DB']","2004-09-04",1,"UL Monroe",130,"@","Auburn",109,"L",,,,,,,,,,,,,,,,,,,,,1,42,0,,,,,,,,,,,,,,,,,,,,
"T.J. Wright","tj-wright-1","['DB']","2004-09-04",1,"Ohio",80,,"VMI",233,"W",,,,,,,,,,,,,,,,,,,,,1,41,1,,,,,,,,,,,,,,,,,,,,
"Chad Anderson","chad-anderson-1","[]","2004-09-05",1,"Kentucky",112,"@","Louisville",18,"L",,,,,,,,,,,,,,,,,,,,,1,14,0,,,,,,,,,,,,,,,,,,,,
"Evan Benjamin","evan-benjamin-1","['DB', 'LB']","2004-09-05",1,"Washington",105,,"Fresno St.",86,"L",,,,,,,,,,,,,,,,,,,,,1,15,0,,,,,,,,,,,,,,,,,,,,
"Corey Campbell","corey-campbell-1","['DB']","2004-09-05",1,"Tennessee",118,,"UNLV",92,"W",,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,
"Awan Diles","awan-diles-1","['DB']","2004-09-05",1,"Fresno St.",86,"@","Washington",105,"W",,,,,,,,,,,,,,,,,,,,,1,34,0,,,,,,,,,,,,,,,,,,,,
"Will Gulley","will-gulley-1","['DB']","2004-09-05",1,"Houston",5,"N","Rice",59,"L",,,,,,,,,,,,,,,,,,,,,1,16,0,,,,,,,,,,,,,,,,,,,,
"Terry Holley","terry-holley-1","[]","2004-09-05",1,"Rice",59,"N","Houston",5,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Paul Long","paul-long-1","['DB']","2004-09-05",1,"Purdue",38,,"Syracuse",23,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Richard Marshall","richard-marshall-1","['DB']","2004-09-05",1,"Fresno St.",86,"@","Washington",105,"W",,,,,,,,,,,,,,,,,,,,,1,75,1,,,,,,,,,,,,,,,,,,,,
"Bernard Pollard","bernard-pollard-1","['DB']","2004-09-05",1,"Purdue",38,,"Syracuse",23,"W",,,,,,,,,,,,,,,,,,,,,1,19,0,,,,,,,,,,,,,,,,,,,,
"Kerry Rhodes","kerry-rhodes-1","[]","2004-09-05",1,"Louisville",18,,"Kentucky",112,"W",,,,,,,,,,,,,,,,,,,,,2,56,1,,,,,,,,,,,,,,,,,,,,
"James Sanders","james-sanders-1","[]","2004-09-05",1,"Fresno St.",86,"@","Washington",105,"W",,,,,,,,,,,,,,,,,,,,,2,19,1,,,,,,,,,,,,,,,,,,,,
"Nick Hawthrone","nick-hawthrone-1","['LB', 'DB']","2004-09-06",1,"Nevada",88,"@","Louisiana Tech",54,"L",,,,,,,,,,,,,,,,,,,,,1,17,0,,,,,,,,,,,,,,,,,,,,
"Arthur Adams","arthur-adams-1","[]","2004-09-09",2,"Troy",129,,"Missouri",115,"W",,,,,,,,,,,,,,,,,,,,,1,8,0,,,,,,,,,,,,,,,,,,,,
"Johnny Faulk","johnny-faulk-1","['DB']","2004-09-09",2,"Troy",129,,"Missouri",115,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,4,26,6.5,0
"A.J. Kincade","aj-kincade-1","['DB']","2004-09-09",2,"Missouri",115,"@","Troy",129,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Marcus King","marcus-king-1","['DB']","2004-09-09",2,"Missouri",115,"@","Troy",129,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Shridonya Mitchell","shridonya-mitchell-1","[]","2004-09-09",2,"Missouri",115,"@","Troy",129,"L",,,,,,,,,,,,,,,,,,,,,1,26,0,,,,,,,,,,,,,1,18,18,0,2,10,5,0
"Deshan Cabaong","deshan-cabaong-1","[]","2004-09-10",2,"Boise St.",84,,"Oregon St.",100,"W",,,,,,,,,,,,,,,,,,,,,1,28,0,,,,,,,,,,,,,,,,,,,,
"Antonio Cromartie","antonio-cromartie-1","[]","2004-09-10",1,"Florida St.",16,"@","Miami (FL)",19,"L",,,,,,,,,,,,,,,,,,,,,1,-3,0,,,,,,,,,,,,,,,,,,,,
"Korey Hall","korey-hall-1","['LB']","2004-09-10",2,"Boise St.",84,,"Oregon St.",100,"W",,,,,,,,,,,,,,,,,,,,,3,46,1,,,,,,,,,,,,,,,,,,,,
"Kelly Jennings","kelly-jennings-1","['DB']","2004-09-10",1,"Miami (FL)",19,,"Florida St.",16,"W",,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,
"Sabby Piscitelli","sabby-piscitelli-1","['DB']","2004-09-10",2,"Oregon St.",100,"@","Boise St.",84,"L",,,,,,,,,,,,,,,,,,,,,1,17,0,,,,,,,,,,,,,,,,,,,,
"Greg Threat","greg-threat-1","['DB']","2004-09-10",1,"Miami (FL)",19,,"Florida St.",16,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Mike Anderson","mike-anderson-1","['LB', 'DL']","2004-09-11",2,"Idaho",133,"@","Utah St.",93,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Oshiomogho Atogwe","oshiomogho-atogwe-1","[]","2004-09-11",2,"Stanford",101,,"BYU",66,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Zachary Baker","zachary-baker-1","['DB']","2004-09-11",2,"East Carolina",4,,"Wake Forest",26,"L",,,,,,,,,,,,,,,,,,,,,1,7,0,,,,,,,,,,,,,,,,,,,,
"Trumaine Banks","trumaine-banks-1","['DB']","2004-09-11",2,"Minnesota",33,,"Illinois State",182,"W",,,,,,,,,,,,,,,,,,,,,1,20,0,,,,,,,,,,,,,,,,,,,,
"Tramaine Billie","tramaine-billie-1","['DB', 'LB']","2004-09-11",2,"Clemson",14,,"Georgia Tech",17,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Will Blackmon","will-blackmon-1","['DB', 'WR']","2004-09-11",2,"Boston College",13,,"Penn State",37,"W",,,,,,,,,,,,,,,,,,,,,1,-5,0,,,,,,,,,,,,,1,26,26,0,,,,
"Jeremy Bohannon","jeremy-bohannon-1","[]","2004-09-11",2,"Washington St.",106,,"Colorado",98,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Eric Brock","eric-brock-1","['DB']","2004-09-11",2,"Auburn",109,"@","Mississippi St.",114,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Aaron Brown","aaron-brown-1","[]","2004-09-11",2,"Texas A&M",119,,"Wyoming",94,"W",,,,,,,,,,,,,,,,,,,,,1,6,0,,,,,,,,,,,,,,,,,,,,
"Jonte' Buhl","jonte-buhl-1","[]","2004-09-11",2,"Texas A&M",119,,"Wyoming",94,"W",,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,
"Daniel Bullocks","daniel-bullocks-1","['DB']","2004-09-11",2,"Nebraska",34,,"Southern Miss",60,"L",,,,,,,,,,,,,,,,,,,,,1,16,0,,,,,,,,,,,,,,,,,,,,
"Casey Carroll","casey-carroll-1","[]","2004-09-11",2,"Stanford",101,,"BYU",66,"W",,,,,,,,,,,,,,,,,,,,,1,6,0,,,,,,,,,,,,,,,,,,,,
"Markus Curry","markus-curry-1","[]","2004-09-11",2,"Michigan",31,"@","Notre Dame",70,"L",,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,
"Shannon Davis","shannon-davis-1","[]","2004-09-11",2,"Kent State",77,,"Liberty",67,"W",,,,,,,,,,,,,,,,,,,,,1,45,0,,,,,,,,,,,,,,,,,,,,
"Ukee Dozier","ukee-dozier-1","[]","2004-09-11",2,"Minnesota",33,,"Illinois State",182,"W",,,,,,,,,,,,,,,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,
"Dion Elie","dion-elie-1","['DB']","2004-09-11",2,"Akron",71,,"Middle Tennessee",56,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Dwight Ellick","dwight-ellick-1","[]","2004-09-11",2,"Notre Dame",70,,"Michigan",31,"W",,,,,,,,,,,,,,,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,
"John Eubanks","john-eubanks-1","['DB']","2004-09-11",1,"Southern Miss",60,"@","Nebraska",34,"W",,,,,,,,,,,,,,,,,,,,,1,12,0,,,,,,,,,,,,,,,,,,,,
