Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Bryan Williamson,2004-09-02,1,Ball State,,Boston College,L,1,3,3.0,0,bryan-williamson-1
Tyrone Wilson,2004-09-02,1,Buffalo,@,Eastern Michigan,L,1,6,6.0,0,tyrone-wilson-1
Jesse Woods,2004-09-02,1,Texas A&M,@,Utah,L,1,12,12.0,0,jesse-woods-1
Jerome Wright,2004-09-02,1,Utah,,Texas A&M,W,2,24,12.0,1,jerome-wright-1
Charles Wynn,2004-09-02,1,Ball State,,Boston College,L,1,2,2.0,0,charles-wynn-1
Mike Augustyniak,2004-09-03,1,New Mexico,,Washington State,L,1,18,18.0,0,mike-augustyniak-1
Hank Baskett,2004-09-03,1,New Mexico,,Washington State,L,9,165,18.3,0,hank-baskett-1
Troy Bienemann,2004-09-03,1,Washington State,@,New Mexico,W,5,56,11.2,1,troy-bienemann-1
Michael Bumpus,2004-09-03,1,Washington State,@,New Mexico,W,1,4,4.0,0,michael-bumpus-1
Anthony Carter,2004-09-03,1,New Mexico,,Washington State,L,1,9,9.0,0,anthony-carter-1
Logan Hall,2004-09-03,1,New Mexico,,Washington State,L,2,14,7.0,0,logan-hall-1
Jerome Harrison,2004-09-03,1,Washington State,@,New Mexico,W,3,36,12.0,0,jerome-harrison-1
Trandon Harvey,2004-09-03,1,Washington State,@,New Mexico,W,6,46,7.7,1,trandon-harvey-1
Jason Hill,2004-09-03,1,Washington State,@,New Mexico,W,2,34,17.0,0,jason-hill-1
Chris Jordan,2004-09-03,1,Washington State,@,New Mexico,W,3,28,9.3,1,chris-jordan-1
Dontrell Moore,2004-09-03,1,New Mexico,,Washington State,L,3,23,7.7,0,dontrell-moore-1
Greg Prator,2004-09-03,1,Washington State,@,New Mexico,W,4,36,9.0,0,greg-prator-1
Rob Abiamiri,2004-09-04,1,Maryland,,Northern Illinois,W,1,2,2.0,0,rob-abiamiri-1
T.J. Acree,2004-09-04,1,Boise State,,Idaho,W,1,21,21.0,0,tj-acree-1
Joseph Addai,2004-09-04,1,Louisiana State,,Oregon State,W,5,65,13.0,0,joseph-addai-1
Ade Adeyemo,2004-09-04,1,Illinois,,Florida A&M,W,3,42,14.0,0,ade-adeyemo-1
Aaron Alexander,2004-09-04,1,Michigan State,@,Rutgers,L,2,14,7.0,0,aaron-alexander-1
Josh Allen,2004-09-04,1,Maryland,,Northern Illinois,W,1,1,1.0,0,josh-allen-1
David Alston,2004-09-04,1,Kent State,@,Iowa,L,4,-1,-0.3,0,david-alston-1
Willie Amos,2004-09-04,1,Nebraska,,Western Illinois,W,2,54,27.0,2,willie-amos-1
David Anderson,2004-09-04,1,Colorado State,@,Colorado,L,9,156,17.3,0,david-anderson-1
Jason Anderson,2004-09-04,1,Wake Forest,@,Clemson,L,7,139,19.9,1,jason-anderson-1
Ryan Antle,2004-09-04,1,Ohio,,Virginia Military Institute,W,3,45,15.0,1,ryan-antle-1
Devin Aromashodu,2004-09-04,1,Auburn,,Louisiana-Monroe,W,2,53,26.5,1,devin-aromashodu-1
J.J. Arrington,2004-09-04,1,California,@,Air Force,W,2,20,10.0,0,jj-arrington-1
Jabari Arthur,2004-09-04,1,Akron,@,Penn State,L,8,61,7.6,0,jabari-arthur-1
