"Player","Date","G","School","Loc","Opponent","WL","Rush Att","Rush Yard","Rush Avg","Rush TD","unique_id"
"Nolan Eriksen","2018-09-01",1,"Air Force",,"Stony Brook","W",4,23,5.8,0,"nolan-eriksen-1"
"Emmanuel Esukpa","2018-09-01",2,"Rice",,"Houston","L",17,81,4.8,0,"emmanuel-esukpa-1"
"Travis Etienne","2018-09-01",1,"Clemson",,"Furman","W",11,63,5.7,1,"travis-etienne-1"
"Chris Evans","2018-09-01",1,"Michigan","@","Notre Dame","L",2,1,0.5,0,"chris-evans-2"
"Darrynton Evans","2018-09-01",1,"Appalachian State","@","Penn State","L",3,9,3,0,"darrynton-evans-1"
"Nico Evans","2018-09-01",2,"Wyoming",,"Washington State","L",18,89,4.9,1,"nico-evans-1"
"John Fadule","2018-09-01",1,"Boston College",,"Massachusetts","W",3,1,0.3,0,"john-fadule-1"
"Cole Fagan","2018-09-01",1,"Air Force",,"Stony Brook","W",18,67,3.7,1,"cole-fagan-1"
"Tavien Feaster","2018-09-01",1,"Clemson",,"Furman","W",3,24,8,0,"tavien-feaster-1"
"Darrian Felix","2018-09-01",1,"Oregon",,"Bowling Green State","W",8,38,4.8,0,"darrian-felix-1"
"Maurice Ffrench","2018-09-01",1,"Pittsburgh",,"Albany","W",2,17,8.5,1,"maurice-ffrench-1"
"Joshua Fields","2018-09-01",1,"Texas-El Paso",,"Northern Arizona","L",2,9,4.5,0,"joshua-fields-1"
"Justin Fields","2018-09-01",1,"Georgia",,"Austin Peay","W",3,33,11,0,"justin-fields-2"
"Wesley Fields","2018-09-01",1,"Georgia Southern",,"South Carolina State","W",12,32,2.7,1,"wesley-fields-1"
"Mason Fine","2018-09-01",1,"North Texas",,"Southern Methodist","W",5,-19,-3.8,0,"mason-fine-1"
"Matt Fink","2018-09-01",1,"Southern California",,"Nevada-Las Vegas","W",2,-2,-1,0,"matt-fink-1"
"Ryan Finley","2018-09-01",1,"North Carolina State",,"James Madison","W",3,6,2,0,"ryan-finley-1"
"Josh Fleeks","2018-09-01",1,"Baylor",,"Abilene Christian","W",2,12,6,0,"josh-fleeks-1"
"Tayon Fleet-Davis","2018-09-01",1,"Maryland","N","Texas","W",7,31,4.4,1,"tayon-fleet-davis-1"
"Cameron Fleming","2018-09-01",1,"Memphis",,"Mercer","W",5,21,4.2,0,"cameron-fleming-2"
"Isaiah Floyd","2018-09-01",1,"Arizona State",,"Texas-San Antonio","W",9,79,8.8,1,"isaiah-floyd-1"
"Andrew Ford","2018-09-01",2,"Massachusetts","@","Boston College","L",4,-14,-3.5,0,"andrew-ford-1"
"Jerome Ford","2018-09-01",1,"Alabama","N","Louisville","W",2,4,2,0,"jerome-ford-1"
"Johnny Ford","2018-09-01",1,"South Florida",,"Elon","W",8,43,5.4,0,"johnny-ford-1"
"Keynan Foster","2018-09-01",1,"Texas-El Paso",,"Northern Arizona","L",1,12,12,0,"keynan-foster-1"
"Miles Fox","2018-09-01",1,"Old Dominion","@","Liberty","L",1,-4,-4,0,"miles-fox-1"
"Feleipe Franks","2018-09-01",1,"Florida",,"Charleston Southern","W",5,34,6.8,0,"feleipe-franks-1"
"Jordan Fredericks","2018-09-01",2,"Massachusetts","@","Boston College","L",4,21,5.3,0,"jordan-fredericks-1"
"Ke'Mon Freemon","2018-09-01",1,"Southern Methodist","@","North Texas","L",3,3,1,0,"kemon-freemon-1"
"Jabir Frye","2018-09-01",1,"Troy",,"Boise State","L",7,41,5.9,1,"jabir-frye-1"
"Jake Funk","2018-09-01",1,"Maryland","N","Texas","W",2,-2,-1,0,"jake-funk-1"
"Kenny Gainwell","2018-09-01",1,"Memphis",,"Mercer","W",2,11,5.5,0,"kenny-gainwell-1"
