Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Landon Keopple,2005-09-01,1,Tulsa,,Minnesota,L,3,21,7.0,0,landon-keopple-1
Nate Kimbrough,2005-09-01,1,Arizona State,,Temple,W,2,28,14.0,1,nate-kimbrough-1
Steven King,2005-09-01,1,Buffalo,@,Connecticut,L,4,41,10.3,0,steven-king-1
Kinsmon Lancaster,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,2,21,10.5,0,kinsmon-lancaster-1
Shawn Lauzon,2005-09-01,1,Marshall,,William & Mary,W,5,55,11.0,1,shawn-lauzon-1
Travis Lee,2005-09-01,1,South Carolina,,Central Florida,W,1,40,40.0,0,travis-lee-1
Pete Lepley,2005-09-01,1,Toledo,,Western Illinois,W,1,13,13.0,0,pete-lepley-1
Jamaal Lewis,2005-09-01,1,Arizona State,,Temple,W,2,52,26.0,1,jamaal-lewis-1
Travis Lewis,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,3,28,9.3,0,travis-lewis-1
Conner Long,2005-09-01,1,Tulsa,,Minnesota,L,1,6,6.0,0,conner-long-1
Rolly Lumbala,2005-09-01,1,Idaho,@,Washington State,L,2,31,15.5,0,rolly-lumbala-1
Kevin Marion,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,45,45.0,0,kevin-marion-1
Brandon Marshall,2005-09-01,1,Central Florida,@,South Carolina,L,10,102,10.2,0,brandon-marshall-1
Vincent Marshall,2005-09-01,1,Houston,,Oregon,L,5,17,3.4,0,vincent-marshall-1
Perry McDaniel,2005-09-01,1,Houston,,Oregon,L,2,12,6.0,0,perry-mcdaniel-1
John McGilvray,2005-09-01,1,Houston,,Oregon,L,1,16,16.0,0,john-mcgilvray-1
Brandon McLean,2005-09-01,1,Connecticut,,Buffalo,W,3,28,9.3,0,brandon-mclean-1
Joe Merritt,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,2,24,12.0,0,joe-merritt-1
Brent Miller,2005-09-01,1,Arizona State,,Temple,W,1,15,15.0,0,brent-miller-1
Zach Miller,2005-09-01,1,Arizona State,,Temple,W,3,26,8.7,1,zach-miller-1
Garrett Mills,2005-09-01,1,Tulsa,,Minnesota,L,5,38,7.6,0,garrett-mills-1
Vincent Mitchell,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,7,7.0,0,vincent-mitchell-1
Greg Moore,2005-09-01,1,Cincinnati,,Eastern Michigan,W,1,38,38.0,1,greg-moore-1
Hiram Moore,2005-09-01,1,Marshall,,William & Mary,W,5,56,11.2,1,hiram-moore-1
Matt Morris,2005-09-01,1,Marshall,,William & Mary,W,1,12,12.0,0,matt-morris-1
Nate Morton,2005-09-01,1,Wake Forest,,Vanderbilt,L,5,85,17.0,0,nate-morton-1
Idris Moss,2005-09-01,1,Tulsa,,Minnesota,L,3,51,17.0,0,idris-moss-1
Jeff Mullins,2005-09-01,1,Marshall,,William & Mary,W,1,2,2.0,0,jeff-mullins-1
Dan Murray,2005-09-01,1,Connecticut,,Buffalo,W,2,37,18.5,2,dan-murray-1
Moey Mutz,2005-09-01,1,Arizona State,,Temple,W,2,35,17.5,0,moey-mutz-1
Syvelle Newton,2005-09-01,1,South Carolina,,Central Florida,W,6,63,10.5,1,syvelle-newton-1
D.J. Nichols,2005-09-01,1,Toledo,,Western Illinois,W,2,13,6.5,0,dj-nichols-1
Monroe Nichols,2005-09-01,1,Tulsa,,Minnesota,L,3,22,7.3,0,monroe-nichols-1
Steve Odom,2005-09-01,1,Toledo,,Western Illinois,W,4,43,10.8,0,steve-odom-1
Uril Parrish,2005-09-01,1,Tulsa,,Minnesota,L,1,4,4.0,0,uril-parrish-1
Jared Patterson,2005-09-01,1,Buffalo,@,Connecticut,L,2,13,6.5,0,jared-patterson-1
Kevin Payne,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,16,16.0,0,kevin-payne-1
Logan Payne,2005-09-01,1,Minnesota,@,Tulsa,W,3,66,22.0,0,logan-payne-1
Jason Peters,2005-09-01,1,Central Florida,@,South Carolina,L,1,1,1.0,0,jason-peters-1
Bill Poland,2005-09-01,1,Cincinnati,,Eastern Michigan,W,1,11,11.0,0,bill-poland-1
Josh Powell,2005-09-01,1,Toledo,,Western Illinois,W,2,13,6.5,0,josh-powell-2
Drouzon Quillen,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,6,94,15.7,1,drouzon-quillen-1
Andre Redd,2005-09-01,1,Toledo,,Western Illinois,W,1,26,26.0,0,andre-redd-1
Trumaine Riley,2005-09-01,1,Eastern Michigan,@,Cincinnati,L,4,34,8.5,0,trumaine-riley-1
Dante Rosario,2005-09-01,1,Oregon,@,Houston,W,2,28,14.0,1,dante-rosario-1
Derick Ross,2005-09-01,1,Cincinnati,,Eastern Michigan,W,4,27,6.8,0,derick-ross-1
Rocky Ross,2005-09-01,1,Central Florida,@,South Carolina,L,3,13,4.3,0,rocky-ross-1
Antwaun Sherman,2005-09-01,1,Idaho,@,Washington State,L,1,2,2.0,0,antwaun-sherman-1
Jimmy Skinner,2005-09-01,1,Marshall,,William & Mary,W,1,-10,-10.0,0,jimmy-skinner-1
Daniel Smith,2005-09-01,1,Idaho,@,Washington State,L,10,103,10.3,1,daniel-smith-1
George Smith,2005-09-01,1,Vanderbilt,@,Wake Forest,W,2,14,7.0,0,george-smith-1
Garren Strong,2005-09-01,1,Oregon,@,Houston,W,2,19,9.5,0,garren-strong-1
Larry Taylor,2005-09-01,1,Connecticut,,Buffalo,W,3,19,6.3,0,larry-taylor-1
Carlos Thomas,2005-09-01,1,South Carolina,,Central Florida,W,1,22,22.0,0,carlos-thomas-1
Joey Trappey,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,3,42,14.0,0,joey-trappey-1
Brooks Turner,2005-09-01,1,Central Florida,@,South Carolina,L,1,21,21.0,0,brooks-turner-1
Mike Walker,2005-09-01,1,Central Florida,@,South Carolina,L,9,105,11.7,1,mike-walker-1
Evan Wallace,2005-09-01,1,Buffalo,@,Connecticut,L,1,-2,-2.0,0,evan-wallace-1
Jakari Wallace,2005-09-01,1,Minnesota,@,Tulsa,W,1,8,8.0,0,jakari-wallace-1
Ernie Wheelwright,2005-09-01,1,Minnesota,@,Tulsa,W,5,96,19.2,1,ernie-wheelwright-1
Marlon White,2005-09-01,1,Vanderbilt,@,Wake Forest,W,7,89,12.7,1,marlon-white-1
Terrence Whitehead,2005-09-01,1,Oregon,@,Houston,W,2,11,5.5,0,terrence-whitehead-1
Noah Whiteside,2005-09-01,1,South Carolina,,Central Florida,W,3,76,25.3,1,noah-whiteside-1
Demetrius Williams,2005-09-01,1,Oregon,@,Houston,W,9,133,14.8,1,demetrius-williams-1
Eddie Williams,2005-09-01,1,Idaho,@,Washington State,L,1,9,9.0,1,eddie-williams-1
Jason Williams,2005-09-01,1,Connecticut,,Buffalo,W,1,6,6.0,0,jason-williams-1
Brandon Young,2005-09-01,1,Connecticut,,Buffalo,W,1,15,15.0,0,brandon-young-1
James Bailey,2005-09-02,1,Indiana,@,Central Michigan,W,2,18,9.0,0,james-bailey-1
Mike Bell,2005-09-02,1,Arizona,@,Utah,L,2,3,1.5,0,mike-bell-1
Jacob Brown,2005-09-02,1,Central Michigan,,Indiana,L,2,50,25.0,0,jacob-brown-1
Brent Casteel,2005-09-02,1,Utah,,Arizona,W,3,31,10.3,0,brent-casteel-1
Obed Cetoute,2005-09-02,1,Central Michigan,,Indiana,L,2,33,16.5,0,obed-cetoute-1
Quinton Ganther,2005-09-02,1,Utah,,Arizona,W,2,50,25.0,1,quinton-ganther-1
Jahkeen Gilmore,2005-09-02,1,Indiana,@,Central Michigan,W,4,48,12.0,0,jahkeen-gilmore-1
James Hardy,2005-09-02,1,Indiana,@,Central Michigan,W,5,107,21.4,1,james-hardy-1
Justin Harper,2005-09-02,1,Central Michigan,,Indiana,L,3,12,4.0,0,justin-harper-1
Gilbert Harris,2005-09-02,1,Arizona,@,Utah,L,3,31,10.3,0,gilbert-harris-1
Brian Hernandez,2005-09-02,1,Utah,,Arizona,W,4,43,10.8,0,brian-hernandez-1
Jemmy Jasmin,2005-09-02,1,Central Michigan,,Indiana,L,3,38,12.7,0,jemmy-jasmin-1
Anthony Johnson,2005-09-02,1,Arizona,@,Utah,L,3,22,7.3,0,anthony-johnson-1
Travis Latendresse,2005-09-02,1,Utah,,Arizona,W,5,69,13.8,0,travis-latendresse-1
Spencer Lewis,2005-09-02,1,Central Michigan,,Indiana,L,1,8,8.0,0,spencer-lewis-1
Damien Linson,2005-09-02,1,Central Michigan,,Indiana,L,2,69,34.5,0,damien-linson-1
Darrell Mack,2005-09-02,1,Utah,,Arizona,W,1,4,4.0,0,darrell-mack-1
John Madsen,2005-09-02,1,Utah,,Arizona,W,3,14,4.7,0,john-madsen-1
Matt O'Neal,2005-09-02,1,Indiana,@,Central Michigan,W,2,15,7.5,1,matt-oneal-1
Derrek Richards,2005-09-02,1,Utah,,Arizona,W,1,9,9.0,0,derrek-richards-1
Ontario Sneed,2005-09-02,1,Central Michigan,,Indiana,L,4,9,2.3,0,ontario-sneed-1
Syndric Steptoe,2005-09-02,1,Arizona,@,Utah,L,6,90,15.0,0,syndric-steptoe-1
Chris Taylor,2005-09-02,1,Indiana,@,Central Michigan,W,1,0,0.0,0,chris-taylor-1
Marcus Thigpen,2005-09-02,1,Indiana,@,Central Michigan,W,2,92,46.0,1,marcus-thigpen-1
Mike Thomas,2005-09-02,1,Arizona,@,Utah,L,7,92,13.1,1,mike-thomas-9
Yamar Washington,2005-09-02,1,Indiana,@,Central Michigan,W,1,-4,-4.0,0,yamar-washington-1
Brad Wood,2005-09-02,1,Arizona,@,Utah,L,3,49,16.3,1,brad-wood-1
Frayne Abernathy,2005-09-03,1,Northwestern,,Ohio,W,1,15,15.0,0,frayne-abernathy-1
Deon Adams,2005-09-03,1,Duke,@,East Carolina,L,1,8,8.0,0,deon-adams-1
Brandon Allen,2005-09-03,1,New Mexico State,,Texas-El Paso,L,2,20,10.0,0,brandon-allen-1
Josh Allen,2005-09-03,1,Troy,,Cal Poly,W,3,33,11.0,0,josh-allen-2
Matt Allen,2005-09-03,1,Brigham Young,,Boston College,L,2,22,11.0,0,matt-allen-1
Aundrae Allison,2005-09-03,1,East Carolina,,Duke,W,10,163,16.3,1,aundrae-allison-1
Ryan Allison,2005-09-03,1,Michigan State,,Kent State,W,1,9,9.0,0,ryan-allison-1
Cory Anderson,2005-09-03,1,Tennessee,,Alabama-Birmingham,W,3,32,10.7,0,cory-anderson-1
David Anderson,2005-09-03,1,Colorado State,@,Colorado,L,12,119,9.9,1,david-anderson-1
Ottowa Anderson,2005-09-03,1,Virginia,,Western Michigan,W,3,109,36.3,0,ottowa-anderson-1
Chad Andrus,2005-09-03,1,Texas Christian,@,Oklahoma,W,3,22,7.3,0,chad-andrus-1
Devin Aromashodu,2005-09-03,1,Auburn,,Georgia Tech,L,3,62,20.7,1,devin-aromashodu-1
Matt Austin,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,2,18,9.0,0,matt-austin-1
Jason Avant,2005-09-03,1,Michigan,,Northern Illinois,W,9,127,14.1,1,jason-avant-1
Ryan Babb,2005-09-03,1,Troy,,Cal Poly,W,1,4,4.0,0,ryan-babb-1
Curtis Baham,2005-09-03,1,Clemson,,Texas A&M,W,3,49,16.3,0,curtis-baham-1
Sean Bailey,2005-09-03,1,Georgia,,Boise State,W,4,78,19.5,2,sean-bailey-1
Dallas Baker,2005-09-03,1,Florida,,Wyoming,W,5,44,8.8,0,dallas-baker-1
Lance Ball,2005-09-03,1,Maryland,N,Navy,W,2,37,18.5,0,lance-ball-1
Gary Banks,2005-09-03,1,Troy,,Cal Poly,W,5,63,12.6,1,gary-banks-1
Ben Barkema,2005-09-03,1,Iowa State,,Illinois State,W,2,50,25.0,0,ben-barkema-1
Alvin Barnett,2005-09-03,1,Colorado,,Colorado State,W,1,6,6.0,0,alvin-barnett-1
Matt Bartz,2005-09-03,1,Colorado State,@,Colorado,L,3,36,12.0,1,matt-bartz-1
Andrew Baumgartner,2005-09-03,1,UCLA,@,San Diego State,W,1,2,2.0,0,andrew-baumgartner-1
Shawn Bayes,2005-09-03,1,Kent State,@,Michigan State,L,2,71,35.5,0,shawn-bayes-1
Brian Bell,2005-09-03,1,Kent State,@,Michigan State,L,3,34,11.3,0,brian-bell-1
Yvenson Bernard,2005-09-03,1,Oregon State,,Portland State,W,9,109,12.1,1,yvenson-bernard-1
Davone Bess,2005-09-03,1,Hawaii,,Southern California,L,4,26,6.5,0,davone-bess-1
Wade Betschart,2005-09-03,1,Wyoming,@,Florida,L,1,2,2.0,0,wade-betschart-1
Damarius Bilbo,2005-09-03,1,Georgia Tech,@,Auburn,W,2,21,10.5,0,damarius-bilbo-1
Will Blackmon,2005-09-03,1,Boston College,@,Brigham Young,W,8,100,12.5,0,will-blackmon-1
Will Bleakley,2005-09-03,1,South Florida,@,Penn State,L,1,13,13.0,0,will-bleakley-1
Todd Blythe,2005-09-03,1,Iowa State,,Illinois State,W,5,53,10.6,1,todd-blythe-1
Cameron Bobb,2005-09-03,1,Kent State,@,Michigan State,L,3,27,9.0,0,cameron-bobb-1
Mark Bonds,2005-09-03,1,Western Michigan,@,Virginia,L,2,3,1.5,0,mark-bonds-1
Brandon Bornes,2005-09-03,1,San Diego State,,UCLA,L,3,31,10.3,0,brandon-bornes-1
Jovon Bouknight,2005-09-03,1,Wyoming,@,Florida,L,5,54,10.8,1,jovon-bouknight-1
Jayson Boyd,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,3,51,17.0,0,jayson-boyd-2
Justin Boyle,2005-09-03,1,Duke,@,East Carolina,L,1,3,3.0,0,justin-boyle-1
Shermar Bracey,2005-09-03,1,Arkansas State,@,Missouri,L,1,7,7.0,0,shermar-bracey-1
Steve Breaston,2005-09-03,1,Michigan,,Northern Illinois,W,2,15,7.5,0,steve-breaston-1
Brandon Breazell,2005-09-03,1,UCLA,@,San Diego State,W,1,15,15.0,0,brandon-breazell-1
Arnold Britt,2005-09-03,1,Missouri,,Arkansas State,W,2,16,8.0,0,arnold-britt-1
Andy Brodell,2005-09-03,1,Iowa,,Ball State,W,2,23,11.5,0,andy-brodell-1
John Broussard,2005-09-03,1,San Jose State,,Eastern Washington,W,2,27,13.5,1,john-broussard-1
Chris Brown,2005-09-03,1,Tennessee,,Alabama-Birmingham,W,2,17,8.5,0,chris-brown-5
Curtis Brown,2005-09-03,1,Brigham Young,,Boston College,L,6,43,7.2,0,curtis-brown-3
Jason Brown,2005-09-03,1,Air Force,@,Washington,W,4,52,13.0,0,jason-brown-3
Keith Brown,2005-09-03,1,Alabama,,Middle Tennessee State,W,5,84,16.8,0,keith-brown-2
Kyle Brown,2005-09-03,1,Michigan State,,Kent State,W,6,61,10.2,1,kyle-brown-2
Kyle Browning,2005-09-03,1,Clemson,,Texas A&M,W,1,33,33.0,0,kyle-browning-1
A.J. Bryant,2005-09-03,1,Georgia,,Boise State,W,1,6,6.0,0,aj-bryant-1
Melvin Bryant,2005-09-03,1,Illinois,,Rutgers,W,1,8,8.0,0,melvin-bryant-1
Walter Bryant,2005-09-03,1,Texas Christian,@,Oklahoma,W,2,7,3.5,0,walter-bryant-1
Steve Buches,2005-09-03,1,Pittsburgh,,Notre Dame,L,4,39,9.8,0,steve-buches-1
Dan Burks,2005-09-03,1,Alabama-Birmingham,@,Tennessee,L,1,12,12.0,0,dan-burks-1
Manuel Burton,2005-09-03,1,Arkansas State,@,Missouri,L,1,16,16.0,0,manuel-burton-1
Derrick Bush,2005-09-03,1,Kent State,@,Michigan State,L,4,34,8.5,0,derrick-bush-1
Reggie Bush,2005-09-03,1,Southern California,@,Hawaii,W,4,58,14.5,0,reggie-bush-1
Ryan Busing,2005-09-03,1,Miami (OH),@,Ohio State,L,1,12,12.0,0,ryan-busing-1
Eric Butler,2005-09-03,1,Mississippi State,,Murray State,W,3,29,9.7,1,eric-butler-2
Dominique Byrd,2005-09-03,1,Southern California,@,Hawaii,W,1,3,3.0,0,dominique-byrd-1
Matt Caddell,2005-09-03,1,Alabama,,Middle Tennessee State,W,3,50,16.7,0,matt-caddell-1
Andre Caldwell,2005-09-03,1,Florida,,Wyoming,W,7,99,14.1,0,andre-caldwell-1
Brian Calhoun,2005-09-03,1,Wisconsin,,Bowling Green State,W,1,39,39.0,0,brian-calhoun-1
Jimmy Calhoun,2005-09-03,1,Miami (OH),@,Ohio State,L,1,6,6.0,0,jimmy-calhoun-1
Andre Callender,2005-09-03,1,Boston College,@,Brigham Young,W,1,9,9.0,0,andre-callender-1
J.T. Callier,2005-09-03,1,San Jose State,,Eastern Washington,W,3,45,15.0,0,jt-callier-1
Reggie Campbell,2005-09-03,1,Navy,N,Maryland,L,1,17,17.0,0,reggie-campbell-1
John Carlson,2005-09-03,1,Notre Dame,@,Pittsburgh,W,2,3,1.5,0,john-carlson-1
Jeff Carpenter,2005-09-03,1,Boise State,@,Georgia,L,3,14,4.7,0,jeff-carpenter-1
Brian Carter,2005-09-03,1,Texas,,Louisiana,W,3,65,21.7,0,brian-carter-1
Jarret Carter,2005-09-03,1,Northern Illinois,@,Michigan,L,1,5,5.0,0,jarret-carter-1
Jason Carter,2005-09-03,1,Texas A&M,@,Clemson,L,3,21,7.0,0,jason-carter-2
Tate Casey,2005-09-03,1,Florida,,Wyoming,W,1,9,9.0,0,tate-casey-1
Tim Castille,2005-09-03,1,Alabama,,Middle Tennessee State,W,2,13,6.5,0,tim-castille-1
Kevin Challenger,2005-09-03,1,Boston College,@,Brigham Young,W,3,14,4.7,0,kevin-challenger-1
Craig Chambers,2005-09-03,1,Washington,,Air Force,L,1,19,19.0,0,craig-chambers-1
Jackie Chambers,2005-09-03,1,South Florida,@,Penn State,L,4,35,8.8,0,jackie-chambers-1
Josh Chamois,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,1,7,7.0,0,josh-chamois-1
Scott Chandler,2005-09-03,1,Iowa,,Ball State,W,1,7,7.0,0,scott-chandler-1
Quentin Chaney,2005-09-03,1,Oklahoma,,Texas Christian,L,1,17,17.0,0,quentin-chaney-1
Joe Chapple,2005-09-03,1,Western Michigan,@,Virginia,L,6,45,7.5,0,joe-chapple-1
Hugh Charles,2005-09-03,1,Colorado,,Colorado State,W,3,34,11.3,0,hugh-charles-1
Jamaal Charles,2005-09-03,1,Texas,,Louisiana,W,1,18,18.0,0,jamaal-charles-1
Bobby Chase,2005-09-03,1,Southern Methodist,,Baylor,L,6,74,12.3,1,bobby-chase-1
Jason Chery,2005-09-03,1,Louisiana,@,Texas,L,1,7,7.0,0,jason-chery-1
Kennon Christian,2005-09-03,1,Iowa,,Ball State,W,1,9,9.0,0,kennon-christian-1
Chris Clancy,2005-09-03,1,Ball State,@,Iowa,L,2,11,5.5,0,chris-clancy-1
Pat Clark,2005-09-03,1,Georgia Tech,@,Auburn,W,6,36,6.0,0,pat-clark-1
Thomas Clayton,2005-09-03,1,Kansas State,,Florida International,W,1,2,2.0,0,thomas-clayton-1
Chico Cleveland,2005-09-03,1,Alabama-Birmingham,@,Tennessee,L,2,30,15.0,0,chico-cleveland-1
Daniel Coats,2005-09-03,1,Brigham Young,,Boston College,L,4,32,8.0,0,daniel-coats-1
Erryn Cobb,2005-09-03,1,Northwestern,,Ohio,W,2,29,14.5,0,erryn-cobb-1
Dave Cody,2005-09-03,1,Ohio,@,Northwestern,L,1,3,3.0,0,dave-cody-1
Glen Coffee,2005-09-03,1,Alabama,,Middle Tennessee State,W,1,8,8.0,0,glen-coffee-1
Sean Coffey,2005-09-03,1,Missouri,,Arkansas State,W,4,82,20.5,0,sean-coffey-1
Chase Coffman,2005-09-03,1,Missouri,,Arkansas State,W,3,36,12.0,1,chase-coffman-1
Chester Coleman,2005-09-03,1,San Jose State,,Eastern Washington,W,1,9,9.0,0,chester-coleman-1
Duane Coleman,2005-09-03,1,Clemson,,Texas A&M,W,1,3,3.0,0,duane-coleman-1
Zac Collie,2005-09-03,1,Brigham Young,,Boston College,L,3,44,14.7,0,zac-collie-1
Jhun Cook,2005-09-03,1,Alabama-Birmingham,@,Tennessee,L,3,43,14.3,0,jhun-cook-1
Jemalle Cornelius,2005-09-03,1,Florida,,Wyoming,W,1,19,19.0,0,jemalle-cornelius-1
Kyle Cornwell,2005-09-03,1,Ball State,@,Iowa,L,1,2,2.0,0,kyle-cornwell-1
Quan Cosby,2005-09-03,1,Texas,,Louisiana,W,1,7,7.0,0,quan-cosby-1
James Earl Cray,2005-09-03,1,Troy,,Cal Poly,W,1,14,14.0,0,james-earl-cray-1
