Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Richaud Floyd,2019-08-31,1,Missouri,@,Wyoming,L,2,50,25.0,0,richaud-floyd-1
Adrian Frye,2019-08-31,1,Texas Tech,,Montana State,W,3,21,7.0,0,adrian-frye-1
Justin Garrett,2019-08-31,1,Texas-El Paso,,,W,1,3,3.0,0,justin-garrett-3
Jacob Gasser,2019-08-31,1,Nevada-Las Vegas,,Southern Utah,W,4,9,2.3,0,jacob-gasser-1
Kaylon Geiger,2019-08-31,1,Troy,,Campbell,W,2,7,3.5,0,kaylon-geiger-1
Hezekiah Grimsley,2019-08-31,1,Virginia Tech,@,Boston College,L,2,9,4.5,0,hezekiah-grimsley-1
Justin Hall,2019-08-31,1,Ball State,N,Indiana,L,1,0,0.0,0,justin-hall-3
KJ Hamler,2019-08-31,1,Penn State,,Idaho,W,4,28,7.0,0,kj-hamler-1
Thomas Hennigan,2019-08-31,1,Appalachian State,,East Tennessee State,W,2,15,7.5,0,thomas-hennigan-1
Jake Herslow,2019-08-31,1,Old Dominion,,Norfolk State,W,2,-2,-1.0,0,jake-herslow-1
K.J. Hill,2019-08-31,1,Ohio State,,Florida Atlantic,W,2,13,6.5,0,kj-hill-1
Lavert Hill,2019-08-31,1,Michigan,,Middle Tennessee State,W,3,-1,-0.3,0,lavert-hill-1
Mac Hippenhammer,2019-08-31,1,Penn State,,Idaho,W,2,13,6.5,0,mac-hippenhammer-1
Jevon Holland,2019-08-31,1,Oregon,N,Auburn,L,3,131,43.7,0,jevon-holland-1
Jordan Holmes,2019-08-31,1,Illinois,,Akron,W,1,5,5.0,0,jordan-holmes-2
Kearis Jackson,2019-08-31,1,Georgia,@,Vanderbilt,W,1,6,6.0,0,kearis-jackson-1
Jeremy Jennings,2019-08-31,1,Temple,,Bucknell,W,1,1,1.0,0,jeremy-jennings-1
Kirk Johnson,2019-08-31,1,Texas-San Antonio,,Incarnate Word,W,3,11,3.7,0,kirk-johnson-6
Talik Keaton,2019-08-31,1,Marshall,,Virginia Military Institute,W,5,109,21.8,1,talik-keaton-1
Jeremiah Knight,2019-08-31,1,Akron,@,Illinois,L,2,23,11.5,0,jeremiah-knight-1
Kwamie Lassiter II,2019-08-31,1,Kansas,,Indiana State,W,1,11,11.0,0,kwamie-lassiter-ii-1
Ty Lee,2019-08-31,1,Middle Tennessee State,@,Michigan,L,1,7,7.0,0,ty-lee-1
Riley Lees,2019-08-31,1,Northwestern,@,Stanford,L,1,20,20.0,0,riley-lees-1
Travis Levy,2019-08-31,1,Boston College,,Virginia Tech,W,4,23,5.8,0,travis-levy-1
Rayshad Lewis,2019-08-31,1,Maryland,,Howard,W,2,-1,-0.5,0,rayshad-lewis-2
D.J. Matthews,2019-08-31,1,Florida State,,Boise State,L,1,22,22.0,0,dj-matthews-1
Demario McCall,2019-08-31,1,Ohio State,,Florida Atlantic,W,2,40,20.0,0,demario-mccall-1
Chico McClatcher,2019-08-31,1,Washington,,Eastern Washington,W,1,6,6.0,0,chico-mcclatcher-1
Danzel Mckinley-Lewis,2019-08-31,1,Toledo,@,Kentucky,L,3,6,2.0,0,danzel-mckinley-lewis-1
Tra Minter,2019-08-31,1,South Alabama,@,Nebraska,L,1,0,0.0,0,tra-minter-1
Keith Mixon,2019-08-31,1,Western Michigan,,Monmouth,W,1,21,21.0,0,keith-mixon-1
Elijah Moore,2019-08-31,1,Mississippi,@,Memphis,L,2,2,1.0,0,elijah-moore-1
Donny Navarro,2019-08-31,1,Illinois,,Akron,W,1,13,13.0,0,donny-navarro-1
Dazz Newsome,2019-08-31,1,North Carolina,N,South Carolina,W,1,15,15.0,0,dazz-newsome-1
Ben Peterson,2019-08-31,1,Air Force,,Colgate,W,1,0,0.0,0,ben-peterson-1
Whop Philyor,2019-08-31,1,Indiana,N,Ball State,W,1,11,11.0,0,whop-philyor-1
James Proche,2019-08-31,1,Southern Methodist,@,Arkansas State,W,1,1,1.0,0,james-proche-1
Nico Ragaini,2019-08-31,1,Iowa,,Miami (OH),W,2,16,8.0,0,nico-ragaini-1
Jalen Reagor,2019-08-31,1,Texas Christian,,Arkansas-Pine Bluff,W,6,62,10.3,0,jalen-reagor-1
Nikko Remigio,2019-08-31,1,California,,California-Davis,W,3,42,14.0,0,nikko-remigio-1
Sean Riley,2019-08-31,1,Syracuse,@,Liberty,W,3,41,13.7,0,sean-riley-2
De'John Rogers,2019-08-31,1,New Mexico,,Sam Houston State,W,5,47,9.4,0,dejohn-rogers-1
Michael Sam,2019-08-31,1,Louisiana Tech,@,Texas,L,1,0,0.0,0,michael-sam-4
Sean Savoy,2019-08-31,1,Maryland,,Howard,W,1,0,0.0,0,sean-savoy-1
Tyler Simmons,2019-08-31,1,Georgia,@,Vanderbilt,W,3,55,18.3,0,tyler-simmons-2
Alec Sinkfield,2019-08-31,1,West Virginia,,James Madison,W,1,4,4.0,0,alec-sinkfield-1
Tyler Snead,2019-08-31,1,East Carolina,@,North Carolina State,L,1,12,12.0,0,tyler-snead-1
R.J. Sneed,2019-08-31,1,Baylor,,Stephen F. Austin,W,1,1,1.0,0,rj-sneed-1
JD Spielman,2019-08-31,1,Nebraska,,South Alabama,W,4,80,20.0,1,jd-spielman-1
Jake Springer,2019-08-31,1,Navy,,Holy Cross,W,1,-7,-7.0,0,jake-springer-1
Derek Stingley Jr.,2019-08-31,1,Louisiana State,,Georgia Southern,W,4,52,13.0,0,derek-stingley-jr-1
D.J. Stubbs,2019-08-31,1,Liberty,,Syracuse,L,3,2,0.7,0,dj-stubbs-1
Noah Taylor,2019-08-31,1,Virginia,@,Pittsburgh,W,1,2,2.0,0,noah-taylor-1
Thayer Thomas,2019-08-31,1,North Carolina State,,East Carolina,W,3,26,8.7,0,thayer-thomas-1
Tariq Thompson,2019-08-31,1,San Diego State,,Weber State,W,1,3,3.0,0,tariq-thompson-2
Reginald Todd,2019-08-31,1,Troy,,Campbell,W,2,2,1.0,0,reginald-todd-1
Cole Tucker,2019-08-31,1,Northern Illinois,,Illinois State,W,2,12,6.0,0,cole-tucker-1
DJ Turner,2019-08-31,1,Maryland,,Howard,W,2,52,26.0,1,dj-turner-1
Christian Tutt,2019-08-31,1,Auburn,N,Oregon,W,5,64,12.8,0,christian-tutt-1
Ky'Jon Tyler,2019-08-31,1,Coastal Carolina,,Eastern Michigan,L,2,42,21.0,0,kyjon-tyler-1
Tyler Vaughns,2019-08-31,1,Southern California,,Fresno State,W,1,3,3.0,0,tyler-vaughns-1
Avery Williams,2019-08-31,1,Boise State,@,Florida State,W,1,-3,-3.0,0,avery-williams-6
John Williams,2019-08-31,1,Memphis,,Mississippi,W,3,27,9.0,0,john-williams-16
Malik Williams,2019-08-31,1,Appalachian State,,East Tennessee State,W,1,33,33.0,0,malik-williams-2
Michael Wilson,2019-08-31,1,Stanford,,Northwestern,W,2,-1,-0.5,0,michael-wilson-3
Isaiah Wright,2019-08-31,1,Temple,,Bucknell,W,5,40,8.0,0,isaiah-wright-1
CeeDee Lamb,2019-09-01,1,Oklahoma,,Houston,W,3,26,8.7,0,ceedee-lamb-1
Chris Finke,2019-09-02,1,Notre Dame,@,Louisville,W,1,-2,-2.0,0,chris-finke-1
Brandon Aiyuk,2019-09-06,2,Arizona State,,Sacramento State,W,1,38,38.0,0,brandon-aiyuk-1
Chuck Davis,2019-09-06,2,Virginia,,William & Mary,W,1,-12,-12.0,0,chuck-davis-3
Jalen Jones,2019-09-06,2,Arizona State,,Sacramento State,W,1,-2,-2.0,0,jack-jones-5
Billy Kemp,2019-09-06,2,Virginia,,William & Mary,W,4,51,12.8,0,billy-kemp-2
Sage Surratt,2019-09-06,2,Wake Forest,@,Rice,W,1,13,13.0,0,sage-surratt-1
Austin Trammell,2019-09-06,2,Rice,,Wake Forest,L,1,34,34.0,0,austin-trammell-1
Avery Williams,2019-09-06,2,Boise State,,Marshall,W,2,0,0.0,0,avery-williams-6
Jaylond Adams,2019-09-07,2,Southern Mississippi,@,Mississippi State,L,1,2,2.0,0,jaylond-adams-1
Maurice Alexander,2019-09-07,2,Florida International,,Western Kentucky,L,3,29,9.7,0,maurice-alexander-2
Otis Anderson,2019-09-07,2,Central Florida,@,Florida Atlantic,W,1,3,3.0,0,otis-anderson-1
Grayland Arnold,2019-09-07,2,Baylor,,Texas-San Antonio,W,3,83,27.7,1,grayland-arnold-1
Chatarius Atwell,2019-09-07,2,Louisville,,Eastern Kentucky,W,2,36,18.0,0,chatarius-atwell-1
Brandius Batiste,2019-09-07,2,Louisiana-Monroe,@,Florida State,L,1,5,5.0,0,brandius-batiste-1
Ronnie Bell,2019-09-07,2,Michigan,,Army,W,1,-5,-5.0,0,ronnie-bell-3
Josh Blackwell,2019-09-07,2,Duke,,North Carolina A&T,W,2,26,13.0,0,josh-blackwell-1
Dominick Blaylock,2019-09-07,2,Georgia,,Murray State,W,1,11,11.0,0,dominick-blaylock-1
Lynn Bowden Jr.,2019-09-07,2,Kentucky,,Eastern Michigan,W,1,29,29.0,0,lynn-bowden-jr-1
Scott Bracey,2019-09-07,2,Duke,,North Carolina A&T,W,1,3,3.0,0,scott-bracey-1
Phillip Brooks,2019-09-07,2,Kansas State,,Bowling Green State,W,2,0,0.0,0,phillip-brooks-1
Keith Brown Jr.,2019-09-07,2,Memphis,,Southern,W,1,27,27.0,1,keith-brown-jr-1
Ahmarean Brown,2019-09-07,2,Georgia Tech,,South Florida,W,5,23,4.6,0,ahmarean-brown-1
Jerome Buckner,2019-09-07,2,Ohio,@,Pittsburgh,L,1,14,14.0,0,jerome-buckner-1
Treylon Burks,2019-09-07,2,Arkansas,@,Mississippi,L,2,28,14.0,0,treylon-burks-1
Rodjay Burns,2019-09-07,2,Louisville,,Eastern Kentucky,W,1,1,1.0,0,rodjay-burns-1
Clayton Bush,2019-09-07,2,Western Kentucky,@,Florida International,W,3,-6,-2.0,0,clayton-bush-1
Jordan Byrd,2019-09-07,2,San Diego State,@,UCLA,W,1,17,17.0,0,jordan-byrd-1
Marquez Callaway,2019-09-07,2,Tennessee,,Brigham Young,L,1,-4,-4.0,0,marquez-callaway-1
Marshaun Cameron,2019-09-07,2,Colorado State,,Western Illinois,W,1,-3,-3.0,0,marshaun-cameron-1
Brian Casteel,2019-09-07,2,Arizona,,Northern Arizona,W,1,42,42.0,0,brian-casteel-1
OJ Clark,2019-09-07,2,New Mexico State,@,Alabama,L,1,1,1.0,0,oj-clark-1
Austin Conway,2019-09-07,2,Wyoming,@,Texas State,W,1,7,7.0,0,austin-conway-1
Ron Cook Jr.,2019-09-07,2,Buffalo,@,Penn State,L,1,11,11.0,0,ron-cook-jr-1
Keith Corbin,2019-09-07,2,Houston,,Prairie View A&M,W,1,8,8.0,0,keith-corbin-1
Britain Covey,2019-09-07,2,Utah,,Northern Illinois,W,1,1,1.0,0,britain-covey-1
Isiah Cox,2019-09-07,2,Ohio,@,Pittsburgh,L,1,1,1.0,0,isiah-cox-1
Dashawn Crawford,2019-09-07,2,Virginia Tech,,Old Dominion,W,1,1,1.0,0,dashawn-crawford-1
Aron Cruickshank,2019-09-07,2,Wisconsin,,Central Michigan,W,2,14,7.0,0,aron-cruickshank-1
Malik Dear,2019-09-07,2,Mississippi State,,Southern Mississippi,W,1,8,8.0,0,malik-dear-1
Demetrius Douglas,2019-09-07,2,Minnesota,@,Fresno State,W,1,0,0.0,0,demetrius-douglas-2
Jack Dunn,2019-09-07,2,Wisconsin,,Central Michigan,W,5,51,10.2,0,jack-dunn-1
B.J. Edmonds,2019-09-07,2,Arkansas State,@,Nevada-Las Vegas,W,3,47,15.7,0,bj-edmonds-1
David Ellis,2019-09-07,2,Indiana,,Eastern Illinois,W,1,9,9.0,0,david-ellis-2
Maurice Ffrench,2019-09-07,2,Pittsburgh,,Ohio,W,7,25,3.6,0,maurice-ffrench-1
Adrian Frye,2019-09-07,2,Texas Tech,,Texas-El Paso,W,1,0,0.0,0,adrian-frye-1
Aaron Fuller,2019-09-07,2,Washington,,California,L,3,21,7.0,0,aaron-fuller-1
Justin Garrett,2019-09-07,2,Texas-El Paso,@,Texas Tech,L,1,5,5.0,0,justin-garrett-3
Eric Garror,2019-09-07,2,Louisiana,,Liberty,W,3,-29,-9.7,0,eric-garror-1
Jacob Gasser,2019-09-07,2,Nevada-Las Vegas,,Arkansas State,L,1,10,10.0,0,jacob-gasser-1
Jonathan Haden,2019-09-07,2,Alabama-Birmingham,@,Akron,W,1,4,4.0,0,jonathan-haden-1
Austin Hall,2019-09-07,2,Memphis,,Southern,W,1,10,10.0,0,austin-hall-3
Justin Hall,2019-09-07,2,Ball State,,Fordham,W,3,20,6.7,0,justin-hall-3
KJ Hamler,2019-09-07,2,Penn State,,Buffalo,W,1,22,22.0,0,kj-hamler-1
Travell Harris,2019-09-07,2,Washington State,,Northern Colorado,W,1,16,16.0,0,travell-harris-1
Jaivon Heiligh,2019-09-07,2,Coastal Carolina,@,Kansas,W,1,12,12.0,0,jaivon-heiligh-1
Thomas Hennigan,2019-09-07,2,Appalachian State,,UNC Charlotte,W,1,14,14.0,0,thomas-hennigan-1
Aleva Hifo,2019-09-07,2,Brigham Young,@,Tennessee,W,1,0,0.0,0,aleva-hifo-1
K.J. Hill,2019-09-07,2,Ohio State,,Cincinnati,W,3,25,8.3,0,kj-hill-1
Tabari Hines,2019-09-07,2,North Carolina State,,Western Carolina,W,1,9,9.0,0,tabari-hines-1
Jevon Holland,2019-09-07,2,Oregon,,Nevada,W,1,8,8.0,0,jevon-holland-1
Jesiah Irish,2019-09-07,2,Oregon State,@,Hawaii,L,1,12,12.0,0,jesiah-irish-1
Kirk Johnson,2019-09-07,2,Texas-San Antonio,@,Baylor,L,1,2,2.0,0,kirk-johnson-6
Shaun Jolly,2019-09-07,2,Appalachian State,,UNC Charlotte,W,1,10,10.0,0,shaun-jolly-1
Amare Jones,2019-09-07,2,Tulane,@,Auburn,L,2,48,24.0,0,amare-jones-1
Derion Kendrick,2019-09-07,2,Clemson,,Texas A&M,W,2,8,4.0,0,derion-kendrick-1
Jeremiah Knight,2019-09-07,2,Akron,,Alabama-Birmingham,L,2,-3,-1.5,0,jeremiah-knight-1
CeeDee Lamb,2019-09-07,2,Oklahoma,,South Dakota,W,2,23,11.5,0,ceedee-lamb-1
Kwamie Lassiter II,2019-09-07,2,Kansas,,Coastal Carolina,L,2,7,3.5,0,kwamie-lassiter-ii-1
Jessie Liptrot,2019-09-07,2,Georgia Southern,,Maine,W,2,25,12.5,0,jessie-liptrot-1
Nafees Lyon,2019-09-07,2,UNC Charlotte,@,Appalachian State,L,2,-14,-7.0,0,nafees-lyon-1
D.J. Matthews,2019-09-07,2,Florida State,,Louisiana-Monroe,W,2,32,16.0,0,dj-matthews-1
Demario McCall,2019-09-07,2,Ohio State,,Cincinnati,W,1,3,3.0,0,demario-mccall-1
Cornelius McCoy,2019-09-07,2,Georgia State,,Furman,W,1,0,0.0,0,cornelius-mccoy-1
Isaiah McKoy,2019-09-07,2,Kent State,,,W,1,2,2.0,0,isaiah-mckoy-1
Tra Minter,2019-09-07,2,South Alabama,,Jackson State,W,1,1,1.0,0,tra-minter-1
Akyah Miranda,2019-09-07,2,Army,@,Michigan,L,1,12,12.0,0,akyah-miranda-1
Myron Mitchell,2019-09-07,2,Alabama-Birmingham,@,Akron,W,1,-3,-3.0,0,myron-mitchell-1
Rondale Moore,2019-09-07,2,Purdue,,Vanderbilt,W,2,8,4.0,0,rondale-moore-1
Jordan Nathan,2019-09-07,2,Utah State,,Stony Brook,W,2,27,13.5,0,jordan-nathan-1
Donny Navarro,2019-09-07,2,Illinois,@,Connecticut,W,2,7,3.5,0,donny-navarro-1
Dazz Newsome,2019-09-07,2,North Carolina,,Miami (FL),W,1,0,0.0,0,dazz-newsome-1
K.D. Nixon,2019-09-07,2,Colorado,,Nebraska,W,1,4,4.0,0,kd-nixon-1
Kyle Phillips,2019-09-07,2,UCLA,,San Diego State,L,2,43,21.5,0,kyle-phillips-4
Whop Philyor,2019-09-07,2,Indiana,,Eastern Illinois,W,2,4,2.0,0,whop-philyor-1
Seth Porter,2019-09-07,2,Kansas State,,Bowling Green State,W,1,8,8.0,0,seth-porter-1
Kavious Price,2019-09-07,2,Kent State,,,W,1,-1,-1.0,0,kavious-price-1
James Proche,2019-09-07,2,Southern Methodist,,North Texas,W,1,-2,-2.0,0,james-proche-1
Nico Ragaini,2019-09-07,2,Iowa,,Rutgers,W,2,11,5.5,0,nico-ragaini-1
Sean Riley,2019-09-07,2,Syracuse,@,Maryland,L,1,15,15.0,0,sean-riley-2
Isaiah Rodgers,2019-09-07,2,Massachusetts,,Southern Illinois,L,1,9,9.0,0,isaiah-rodgers-1
Michael Sam,2019-09-07,2,Louisiana Tech,,Grambling State,W,1,27,27.0,0,michael-sam-4
Bentlee Sanders,2019-09-07,2,South Florida,@,Georgia Tech,L,3,8,2.7,0,bentlee-sanders-1
Rocky Shelton II,2019-09-07,2,Duke,,North Carolina A&T,W,1,10,10.0,0,rocky-shelton-ii-1
Tyler Simmons,2019-09-07,2,Georgia,,Murray State,W,3,65,21.7,0,tyler-simmons-2
Bryson Smith,2019-09-07,2,Houston,,Prairie View A&M,W,1,13,13.0,0,bryson-smith-1
Jake Smith,2019-09-07,2,Texas,,Louisiana State,L,1,2,2.0,0,jake-smith-7
Tyler Snead,2019-09-07,2,East Carolina,,Gardner-Webb,W,3,-3,-1.0,0,tyler-snead-1
Nate Stewart,2019-09-07,2,Akron,,Alabama-Birmingham,L,1,1,1.0,0,nate-stewart-1
Derek Stingley Jr.,2019-09-07,2,Louisiana State,@,Texas,W,1,11,11.0,0,derek-stingley-jr-1
Melquise Stovall,2019-09-07,2,Hawaii,,Oregon State,W,3,10,3.3,0,melquise-stovall-1
Freddie Swain,2019-09-07,2,Florida,,Tennessee-Martin,W,3,3,1.0,0,freddie-swain-1
Maurice Thomas,2019-09-07,2,Miami (OH),,Tennessee Tech,W,2,33,16.5,0,maurice-thomas-2
Thayer Thomas,2019-09-07,2,North Carolina State,,Western Carolina,W,2,15,7.5,0,thayer-thomas-1
Devin Thompkins,2019-09-07,2,Utah State,,Stony Brook,W,1,45,45.0,1,devin-thompkins-1
Christian Tutt,2019-09-07,2,Auburn,,Tulane,W,3,50,16.7,0,christian-tutt-1
Josh Vann,2019-09-07,2,South Carolina,,Charleston Southern,W,2,24,12.0,0,josh-vann-1
Tyler Vaughns,2019-09-07,2,Southern California,,Stanford,W,1,14,14.0,0,tyler-vaughns-1
Jaylen Waddle,2019-09-07,2,Alabama,,New Mexico State,W,3,28,9.3,0,jaylen-waddle-1
Cody White,2019-09-07,2,Michigan State,,Western Michigan,W,1,10,10.0,0,cody-white-3
Hutch White,2019-09-07,2,Texas State,,Wyoming,L,1,11,11.0,0,hutch-white-1
John Williams,2019-09-07,2,Memphis,,Southern,W,2,5,2.5,0,john-williams-16
Michael Wilson,2019-09-07,2,Stanford,@,Southern California,L,1,15,15.0,0,michael-wilson-3
Haki Woods Jr.,2019-09-07,2,Oregon,,Nevada,W,1,0,0.0,0,haki-woods-jr-1
Dante Wright,2019-09-07,2,Colorado State,,Western Illinois,W,4,35,8.8,0,dante-wright-1
Avery Young,2019-09-07,2,Rutgers,@,Iowa,L,2,10,5.0,0,avery-young-2
Dazz Newsome,2019-09-13,3,North Carolina,@,Wake Forest,L,1,9,9.0,0,dazz-newsome-1
Sage Surratt,2019-09-13,3,Wake Forest,,North Carolina,W,3,3,1.0,0,sage-surratt-1
Jaylond Adams,2019-09-14,3,Southern Mississippi,@,Troy,W,1,5,5.0,0,jaylond-adams-1
Brandon Aiyuk,2019-09-14,3,Arizona State,@,Michigan State,W,1,-3,-3.0,0,brandon-aiyuk-1
Maurice Alexander,2019-09-14,3,Florida International,,New Hampshire,W,1,3,3.0,0,maurice-alexander-2
Otis Anderson,2019-09-14,3,Central Florida,,Stanford,W,2,4,2.0,0,otis-anderson-1
Calvin Austin III,2019-09-14,3,Memphis,@,South Alabama,W,1,-1,-1.0,0,calvin-austin-iii-1
Stanley Berryhill III,2019-09-14,3,Arizona,,Texas Tech,W,1,-1,-1.0,0,stanley-berryhill-iii-1
Phillip Brooks,2019-09-14,3,Kansas State,@,Mississippi State,W,2,45,22.5,0,phillip-brooks-1
Ahmarean Brown,2019-09-14,3,Georgia Tech,,Citadel,L,2,0,0.0,0,ahmarean-brown-1
Jordon Brown,2019-09-14,3,Kansas State,@,Mississippi State,W,1,0,0.0,0,jordon-brown-1
Jerome Buckner,2019-09-14,3,Ohio,@,Marshall,L,2,32,16.0,0,jerome-buckner-1
Treylon Burks,2019-09-14,3,Arkansas,,Colorado State,W,3,8,2.7,0,treylon-burks-1
Rodjay Burns,2019-09-14,3,Louisville,N,Western Kentucky,W,3,22,7.3,0,rodjay-burns-1
Jordan Byrd,2019-09-14,3,San Diego State,@,New Mexico State,W,1,4,4.0,0,jordan-byrd-1
Tyler Byrd,2019-09-14,3,Tennessee,,Chattanooga,W,1,16,16.0,0,tyler-byrd-1
OJ Clark,2019-09-14,3,New Mexico State,,San Diego State,L,1,11,11.0,0,oj-clark-1
Austin Conway,2019-09-14,3,Wyoming,,Idaho,W,3,49,16.3,0,austin-conway-1
