"Player","Date","G","School","Loc","Opponent","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","unique_id"
"Brandon Silvers","2017-09-02",1,"Troy","@","Boise State","L",17,33,51.5,139,0,1,80.8,"brandon-silvers-2"
"Elijah Sindelar","2017-09-02",1,"Purdue","N","Louisville","L",15,31,48.4,118,2,1,95.2,"elijah-sindelar-1"
"Thomas Sirk","2017-09-02",1,"East Carolina",,"James Madison","L",21,35,60,210,0,2,99,"thomas-sirk-1"
"J'mar Smith","2017-09-02",1,"Louisiana Tech",,"Northwestern State","W",18,35,51.4,276,2,0,136.5,"jmar-smith-1"
"Zach Smith","2017-09-02",1,"Baylor",,"Liberty","L",0,1,0,0,0,1,-200,"zach-smith-6"
"Anu Solomon","2017-09-02",1,"Baylor",,"Liberty","L",14,29,48.3,278,3,1,156,"anu-solomon-1"
"Wilton Speight","2017-09-02",1,"Michigan","N","Florida","W",11,25,44,181,1,2,102,"wilton-speight-1"
"Nathan Stanley","2017-09-02",1,"Iowa",,"Wyoming","W",8,15,53.3,125,3,1,176,"nathan-stanley-2"
"Tommy Stevens","2017-09-02",1,"Penn State",,"Akron","W",3,6,50,42,0,0,108.8,"tommy-stevens-1"
"Jarrett Stidham","2017-09-02",1,"Auburn",,"Georgia Southern","W",14,24,58.3,185,2,1,142.3,"jarrett-stidham-1"
"Brent Stockstill","2017-09-02",1,"Middle Tennessee State",,"Vanderbilt","L",18,31,58.1,166,1,1,107.2,"brent-stockstill-1"
"Chazz Surratt","2017-09-02",1,"North Carolina",,"California","L",18,28,64.3,161,1,0,124.4,"chazz-surratt-1"
"Khalil Tate","2017-09-02",1,"Arizona",,"Northern Arizona","W",0,1,0,0,0,0,0,"khalil-tate-1"
"Damion Terry","2017-09-02",1,"Michigan State",,"Bowling Green State","W",0,3,0,0,0,0,0,"damion-terry-1"
"Zac Thomas","2017-09-02",1,"Appalachian State","@","Georgia","L",3,5,60,20,0,0,93.6,"zac-thomas-2"
"Keytaon Thompson","2017-09-02",1,"Mississippi State",,"Charleston Southern","W",4,7,57.1,35,1,0,146.3,"keytaon-thompson-1"
"Clayton Thorson","2017-09-02",1,"Northwestern",,"Nevada","W",28,38,73.7,352,2,1,163.6,"clayton-thorson-1"
"Mark Torrez","2017-09-02",1,"Texas-El Paso","@","Oklahoma","L",1,1,100,7,0,0,158.8,"mark-torrez-1"
"Tevaka Tuioti","2017-09-02",1,"New Mexico",,"Abilene Christian","W",1,1,100,9,0,0,175.6,"tevaka-tuioti-1"
"Chason Virgil","2017-09-02",1,"Fresno State",,"Incarnate Word","W",16,29,55.2,246,1,0,137.8,"chason-virgil-1"
"Jon Wassink","2017-09-02",1,"Western Michigan","@","Southern California","L",11,22,50,67,0,1,66.5,"jon-wassink-1"
"Keishawn Watson","2017-09-02",1,"Western Michigan","@","Southern California","L",1,1,100,27,1,0,656.8,"keishawn-watson-1"
"Shai Werts","2017-09-02",1,"Georgia Southern","@","Auburn","L",4,8,50,8,0,1,33.4,"shai-werts-1"
"Mike White","2017-09-02",1,"Western Kentucky",,"Eastern Kentucky","W",20,31,64.5,264,1,0,146.7,"mike-white-6"
"Damian Williams","2017-09-02",1,"Texas State",,,"W",18,28,64.3,135,0,1,97.6,"damian-williams-3"
"Brandon Wimbush","2017-09-02",1,"Notre Dame",,"Temple","W",17,30,56.7,184,2,1,123.5,"brandon-wimbush-1"
"Thomas Woodson","2017-09-02",1,"Akron","@","Penn State","L",12,23,52.2,71,0,1,69.4,"thomas-woodson-1"
"Arion Worthman","2017-09-02",1,"Air Force",,"Virginia Military Institute","W",8,12,66.7,172,2,0,242.1,"arion-worthman-1"
"Malik Zaire","2017-09-02",1,"Florida","N","Michigan","L",9,17,52.9,106,0,0,105.3,"malik-zaire-1"
"Will Grier","2017-09-03",1,"West Virginia","N","Virginia Tech","L",31,53,58.5,371,3,1,132.2,"will-grier-1"
"Josh Jackson","2017-09-03",1,"Virginia Tech","N","West Virginia","W",15,26,57.7,235,1,0,146.3,"josh-jackson-5"
"Kellen Mond","2017-09-03",1,"Texas A&M","@","UCLA","L",3,17,17.6,27,0,0,31,"kellen-mond-1"
"Cam Phillips","2017-09-03",1,"Virginia Tech","N","West Virginia","W",0,1,0,0,0,0,0,"cam-phillips-1"
"Josh Rosen","2017-09-03",1,"UCLA",,"Texas A&M","W",35,59,59.3,491,4,0,151.6,"josh-rosen-1"
"Nick Starkel","2017-09-03",1,"Texas A&M","@","UCLA","L",6,13,46.2,62,0,0,86.2,"nick-starkel-1"
"Quinten Dormady","2017-09-04",1,"Tennessee","N","Georgia Tech","W",20,37,54.1,221,2,0,122.1,"quinten-dormady-1"
"Matthew Jordan","2017-09-04",1,"Georgia Tech","N","Tennessee","L",0,1,0,0,0,0,0,"matthew-jordan-1"
"TaQuon Marshall","2017-09-04",1,"Georgia Tech","N","Tennessee","L",5,9,55.6,120,0,0,167.6,"taquon-marshall-1"
"Jordan Love","2017-09-07",2,"Utah State",,"Idaho State","W",3,6,50,18,0,0,75.2,"jordan-love-2"
"Kent Myers","2017-09-07",2,"Utah State",,"Idaho State","W",24,26,92.3,323,2,1,214.4,"kent-myers-1"
"David Blough","2017-09-08",2,"Purdue",,"Ohio","W",11,13,84.6,235,3,0,312.6,"david-blough-1"
"Dallas Davis","2017-09-08",2,"South Alabama",,"Oklahoma State","L",13,23,56.5,126,1,1,108.2,"dallas-davis-2"
"Cole Garvin","2017-09-08",2,"South Alabama",,"Oklahoma State","L",1,1,100,8,0,0,167.2,"cole-garvin-1"
"Quinton Maxwell","2017-09-08",2,"Ohio","@","Purdue","L",1,6,16.7,12,0,0,33.5,"quinton-maxwell-1"
"Alex McGough","2017-09-08",2,"Florida International","N","Alcorn State","W",21,33,63.6,328,0,0,147.1,"alex-mcgough-1"
"Nathan Rourke","2017-09-08",2,"Ohio","@","Purdue","L",16,23,69.6,211,1,0,161,"nathan-rourke-1"
"Mason Rudolph","2017-09-08",2,"Oklahoma State","@","South Alabama","W",25,38,65.8,335,3,0,165.9,"mason-rudolph-1"
"Elijah Sindelar","2017-09-08",2,"Purdue",,"Ohio","W",5,11,45.5,60,1,0,121.3,"elijah-sindelar-1"
"Keondre Wudtee","2017-09-08",2,"Oklahoma State","@","South Alabama","W",1,3,33.3,7,0,0,52.9,"keondre-wudtee-1"
"Montel Aaron","2017-09-09",3,"San Jose State","@","Texas","L",12,23,52.2,104,0,1,81.5,"montel-aaron-1"
"Zach Abey","2017-09-09",2,"Navy",,"Tulane","W",4,12,33.3,132,1,1,136.6,"zach-abey-1"
"Austin Allen","2017-09-09",2,"Arkansas",,"Texas Christian","L",9,23,39.1,138,1,0,103.9,"austin-allen-1"
"Josh Allen","2017-09-09",2,"Wyoming",,"Gardner-Webb","W",22,32,68.8,328,2,0,175.5,"josh-allen-7"
"Kyle Allen","2017-09-09",1,"Houston","@","Arizona","W",25,32,78.1,225,1,2,135,"kyle-allen-1"
"Sam Allen","2017-09-09",3,"San Jose State","@","Texas","L",3,6,50,25,0,0,85,"sam-allen-1"
"Matt Alviti","2017-09-09",2,"Northwestern","@","Duke","L",3,4,75,49,1,0,260.4,"matt-alviti-1"
"Jonathan Banks","2017-09-09",2,"Tulane","@","Navy","L",3,5,60,13,0,0,81.8,"jonathan-banks-1"
"Brooks Barden","2017-09-09",2,"UNC Charlotte","@","Kansas State","L",2,6,33.3,25,0,1,35,"brooks-barden-1"
"Drew Barker","2017-09-09",2,"Kentucky",,"Eastern Kentucky","W",1,2,50,5,0,0,71,"drew-barker-1"
"Kaleb Barker","2017-09-09",2,"Troy",,"Alabama State","W",1,2,50,9,0,0,87.8,"kaleb-barker-1"
"J.T. Barrett","2017-09-09",2,"Ohio State",,"Oklahoma","L",19,35,54.3,183,0,1,92.5,"jt-barrett-1"
"Peyton Bender","2017-09-09",2,"Kansas",,"Central Michigan","L",32,62,51.6,323,0,2,88.9,"peyton-bender-1"
"Kurt Benkert","2017-09-09",2,"Virginia",,"Indiana","L",39,66,59.1,259,1,0,97.1,"kurt-benkert-1"
"Jake Bentley","2017-09-09",2,"South Carolina","@","Missouri","W",18,28,64.3,187,1,0,132.2,"jake-bentley-2"
"Jamauri Bogan","2017-09-09",2,"Western Michigan","@","Michigan State","L",1,1,100,0,0,0,100,"jamauri-bogan-1"
"Kyle Bolin","2017-09-09",2,"Rutgers",,"Eastern Michigan","L",17,37,45.9,198,0,2,80.1,"kyle-bolin-1"
"Max Bortenschlager","2017-09-09",2,"Maryland",,"Towson","W",1,2,50,4,0,0,66.8,"max-bortenschlager-1"
"Ross Bowers","2017-09-09",2,"California",,"Weber State","W",20,28,71.4,200,0,0,131.4,"ross-bowers-1"
"Ja'Marcus Bradley","2017-09-09",2,"Louisiana","@","Tulsa","L",0,1,0,0,0,0,0,"jamarcus-bradley-1"
"Ahmad Bradshaw","2017-09-09",2,"Army",,"Buffalo","W",2,8,25,17,0,0,42.9,"ahmad-bradshaw-2"
"Johnathan Brantley","2017-09-09",2,"Tulane","@","Navy","L",5,8,62.5,58,0,0,123.4,"johnathan-brantley-1"
"Myles Brennan","2017-09-09",2,"Louisiana State",,"Chattanooga","W",1,4,25,5,0,0,35.5,"myles-brennan-1"
"Anthony Brown","2017-09-09",2,"Boston College",,"Wake Forest","L",11,29,37.9,119,1,3,63.1,"anthony-brown-11"
"Dru Brown","2017-09-09",3,"Hawaii","@","UCLA","L",23,38,60.5,227,2,1,122.8,"dru-brown-1"
"Max Browne","2017-09-09",2,"Pittsburgh","@","Penn State","L",19,32,59.4,138,0,2,83.1,"max-browne-1"
"Cole Brownholtz","2017-09-09",3,"Hawaii","@","UCLA","L",1,1,100,7,0,0,158.8,"cole-brownholtz-1"
"Jake Browning","2017-09-09",2,"Washington",,"Montana","W",22,26,84.6,259,2,1,186,"jake-browning-1"
"Kelly Bryant","2017-09-09",2,"Clemson",,"Auburn","W",19,29,65.5,181,0,0,117.9,"kelly-bryant-1"
