"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Eric Luna","2017-11-24",12,"Texas State","@","Troy","L",1,1,2,0,0,"eric-luna-1"
"Shawun Lurry","2017-11-24",12,"Northern Illinois","@","Central Michigan","L",2,0,2,0,0,"shawun-lurry-1"
"James Lynch","2017-11-24",12,"Baylor","@","Texas Christian","L",5,2,7,1,0,"james-lynch-3"
"Jordan Mack","2017-11-24",12,"Virginia",,"Virginia Tech","L",2,11,13,0.5,0,"jordan-mack-1"
"Avonte Maddox","2017-11-24",12,"Pittsburgh",,"Miami (FL)","W",3,1,4,2,2,"avonte-maddox-1"
"DeAngelo Malone","2017-11-24",12,"Western Kentucky","@","Florida International","L",2,1,3,0,0,"deangelo-malone-1"
"Eldridge Massington","2017-11-24",12,"UCLA",,"California","W",1,0,1,0,0,"eldridge-massington-1"
"Trevon Mathis","2017-11-24",12,"Toledo",,"Western Michigan","W",0,2,2,0,0,"trevon-mathis-1"
"Lucas Maynard","2017-11-24",12,"Toledo",,"Western Michigan","W",0,1,1,0,0,"lucas-maynard-1"
"Zach McCloud","2017-11-24",11,"Miami (FL)","@","Pittsburgh","L",8,2,10,0,0,"zach-mccloud-1"
"Greg McCrae","2017-11-24",11,"Central Florida",,"South Florida","W",1,1,2,0,0,"greg-mccrae-1"
"Khalid McGee","2017-11-24",11,"South Florida","@","Central Florida","L",7,3,10,2,0,"khalid-mcgee-1"
"RJ McIntosh","2017-11-24",11,"Miami (FL)","@","Pittsburgh","L",3,3,6,2,0,"rj-mcintosh-1"
"Anthony McKee","2017-11-24",12,"Pittsburgh",,"Miami (FL)","W",1,0,1,0,0,"anthony-mckee-1"
"Luke McNitt","2017-11-24",12,"Nebraska",,"Iowa","L",1,0,1,0,0,"luke-mcnitt-1"
"Nathan Meadors","2017-11-24",12,"UCLA",,"California","W",2,2,4,0.5,0,"nathan-meadors-1"
"Tony Mekari","2017-11-24",12,"California","@","UCLA","L",1,0,1,0,0,"tony-mekari-1"
"Aaron Mends","2017-11-24",12,"Iowa","@","Nebraska","W",0,1,1,0,0,"aaron-mends-1"
"Elijah Merchant","2017-11-24",11,"Navy","@","Houston","L",1,1,2,0,0,"elijah-merchant-1"
"John Milani","2017-11-24",12,"Iowa","@","Nebraska","W",0,1,1,0,0,"john-milani-1"
"Chris Miller","2017-11-24",12,"Baylor","@","Texas Christian","L",1,1,2,0,0,"chris-miller-11"
