Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Breece Johnson,2011-09-01,1,North Texas,@,Florida International,L,1,7,7.0,0,breece-johnson-1
Michael Johnson,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,7,51,7.3,0,michael-johnson-8
Joe Jones,2011-09-01,1,Temple,,Villanova,W,1,15,15.0,0,joe-jones-1
Kadeem Jones,2011-09-01,1,Western Kentucky,N,Kentucky,L,1,2,2.0,0,kadeem-jones-1
Roddy Jones,2011-09-01,1,Georgia Tech,,Western Carolina,W,1,26,26.0,1,roddy-jones-1
Shaun Joplin,2011-09-01,1,Bowling Green State,@,Idaho,W,2,31,15.5,0,shaun-joplin-1
Kamar Jorden,2011-09-01,1,Bowling Green State,@,Idaho,W,4,23,5.8,0,kamar-jorden-1
La'Rod King,2011-09-01,1,Kentucky,N,Western Kentucky,W,2,42,21.0,1,larod-king-1
Michael Lagrone,2011-09-01,1,Idaho,,Bowling Green State,L,1,5,5.0,1,michael-lagrone-1
Alec Lemon,2011-09-01,1,Syracuse,,Wake Forest,W,7,52,7.4,0,alec-lemon-1
Jameon Lewis,2011-09-01,1,Mississippi State,@,Memphis,W,4,113,28.3,1,jameon-lewis-1
Tyler Lombardo,2011-09-01,1,Central Michigan,,South Carolina State,W,1,5,5.0,0,tyler-lombardo-1
Angelo Magee,2011-09-01,1,Arizona State,,California-Davis,W,1,12,12.0,0,angelo-magee-1
Cameron Marshall,2011-09-01,1,Arizona State,,California-Davis,W,4,86,21.5,0,cameron-marshall-1
Joe Martinek,2011-09-01,1,Rutgers,,North Carolina Central,W,2,13,6.5,0,joe-martinek-1
Luke Matthews,2011-09-01,1,Utah,,Montana State,W,1,8,8.0,0,luke-matthews-1
Princeton McCarty,2011-09-01,1,Idaho,,Bowling Green State,L,3,21,7.0,0,princeton-mccarty-1
Gene McCaskill,2011-09-01,1,Kentucky,N,Western Kentucky,W,1,34,34.0,0,gene-mccaskill-1
Cassius McDowell,2011-09-01,1,Toledo,,New Hampshire,W,1,7,7.0,0,cassius-mcdowell-1
Tyler Melton,2011-09-01,1,Georgia Tech,,Western Carolina,W,1,66,66.0,0,tyler-melton-1
Kyle Middlebrooks,2011-09-01,1,Arizona State,,California-Davis,W,2,14,7.0,0,kyle-middlebrooks-1
Deon Miller,2011-09-01,1,Temple,,Villanova,W,4,74,18.5,1,deon-miller-1
Kendrick Moeai,2011-09-01,1,Utah,,Montana State,W,5,23,4.6,0,kendrick-moeai-1
Danny Noble,2011-09-01,1,Toledo,,New Hampshire,W,1,8,8.0,1,danny-noble-1
Michael Outlaw,2011-09-01,1,North Texas,@,Florida International,L,4,59,14.8,0,michael-outlaw-1
Kevin Ozier,2011-09-01,1,Arizona State,,California-Davis,W,3,29,9.7,0,kevin-ozier-1
Eric Page,2011-09-01,1,Toledo,,New Hampshire,W,5,60,12.0,1,eric-page-1
Parker,2011-09-01,1,Louisville,,Murray State,W,3,55,18.3,1,parker-1
Andrew Parker,2011-09-01,1,Wake Forest,@,Syracuse,L,1,8,8.0,0,andrew-parker-1
Phillip Payne,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,4,29,7.3,1,phillip-payne-1
Jacob Pedersen,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,2,20,10.0,1,jacob-pedersen-1
Embry Peeples,2011-09-01,1,Georgia Tech,,Western Carolina,W,1,21,21.0,0,embry-peeples-1
Brandon Pendergrass,2011-09-01,1,Wake Forest,@,Syracuse,L,2,15,7.5,0,brandon-pendergrass-1
Charles Perkins,2011-09-01,1,Georgia Tech,,Western Carolina,W,1,9,9.0,0,charles-perkins-1
Ladarius Perkins,2011-09-01,1,Mississippi State,@,Memphis,W,2,-2,-1.0,0,ladarius-perkins-1
Aaron Pflugrad,2011-09-01,1,Arizona State,,California-Davis,W,3,50,16.7,2,aaron-pflugrad-1
A.J. Pickens,2011-09-01,1,Arizona State,,California-Davis,W,1,-3,-3.0,0,aj-pickens-1
Marcel Posey,2011-09-01,1,Idaho,,Bowling Green State,L,4,45,11.3,0,marcel-posey-1
Andrew Power,2011-09-01,1,North Texas,@,Florida International,L,1,7,7.0,0,andrew-power-1
Quron Pratt,2011-09-01,1,Rutgers,,North Carolina Central,W,1,15,15.0,0,quron-pratt-1
Joe Price,2011-09-01,1,Memphis,,Mississippi State,L,1,0,0.0,0,joe-price-1
Daniel Prior,2011-09-01,1,North Texas,@,Florida International,L,1,0,0.0,0,daniel-prior-1
Nick Provo,2011-09-01,1,Syracuse,,Wake Forest,W,3,33,11.0,1,nick-provo-1
Scott Radcliff,2011-09-01,1,Louisville,,Murray State,W,3,21,7.0,1,scott-radcliff-1
Bobby Rainey,2011-09-01,1,Western Kentucky,N,Kentucky,L,2,21,10.5,0,bobby-rainey-1
Bradley Randle,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,2,35,17.5,0,bradley-randle-1
Dexter Ransom,2011-09-01,1,Utah,,Montana State,W,1,8,8.0,0,dexter-ransom-1
Bernard Reedy,2011-09-01,1,Toledo,,New Hampshire,W,5,113,22.6,2,bernard-reedy-1
Darius Reeves,2011-09-01,1,Toledo,,New Hampshire,W,2,13,6.5,0,darius-reeves-1
Tannar Rehrer,2011-09-01,1,Memphis,,Mississippi State,L,3,17,5.7,0,tannar-rehrer-1
Jerrell Rhodes,2011-09-01,1,Memphis,,Mississippi State,L,2,8,4.0,0,jerrell-rhodes-1
Kedrick Rhodes,2011-09-01,1,Florida International,,North Texas,W,1,0,0.0,0,kedrick-rhodes-1
Matt Roark,2011-09-01,1,Kentucky,N,Western Kentucky,W,2,11,5.5,0,matt-roark-1
Gerell Robinson,2011-09-01,1,Arizona State,,California-Davis,W,4,48,12.0,0,gerell-robinson-1
Evan Rodriguez,2011-09-01,1,Temple,,Villanova,W,6,68,11.3,0,evan-rodriguez-1
Dallin Rogers,2011-09-01,1,Utah,,Montana State,W,5,46,9.2,0,dallin-rogers-1
Rashad Ross,2011-09-01,1,Arizona State,,California-Davis,W,1,7,7.0,0,rashad-ross-1
Marcus Rucker,2011-09-01,1,Memphis,,Mississippi State,L,7,73,10.4,1,marcus-rucker-1
Anthon Samuel,2011-09-01,1,Bowling Green State,@,Idaho,W,1,6,6.0,0,anthon-samuel-1
Mohamed Sanu,2011-09-01,1,Rutgers,,North Carolina Central,W,7,68,9.7,1,mohamed-sanu-1
Cordale Scott,2011-09-01,1,Toledo,,New Hampshire,W,1,2,2.0,0,cordale-scott-2
Mike Scott,2011-09-01,1,Idaho,,Bowling Green State,L,6,89,14.8,0,mike-scott-5
Chris Smith,2011-09-01,1,Mississippi State,@,Memphis,W,2,11,5.5,0,chris-smith-4
Orwin Smith,2011-09-01,1,Georgia Tech,,Western Carolina,W,2,43,21.5,0,orwin-smith-1
Caleb Southworth,2011-09-01,1,Central Michigan,,South Carolina State,W,1,4,4.0,0,caleb-southworth-1
Kenny Stafford,2011-09-01,1,Toledo,,New Hampshire,W,2,26,13.0,0,kenny-stafford-1
David Stevens,2011-09-01,1,Syracuse,,Wake Forest,W,2,6,3.0,0,david-stevens-1
Tyler Stradford,2011-09-01,1,North Texas,@,Florida International,L,2,8,4.0,0,tyler-stradford-1
Jared Strait,2011-09-01,1,Toledo,,New Hampshire,W,1,14,14.0,0,jared-strait-1
Rod Streater,2011-09-01,1,Temple,,Villanova,W,2,68,34.0,1,rod-streater-1
Willie Taylor,2011-09-01,1,North Texas,@,Florida International,L,2,2,1.0,0,willie-taylor-1
Adonis Thomas,2011-09-01,1,Toledo,,New Hampshire,W,4,26,6.5,0,adonis-thomas-1
Wayne Times,2011-09-01,1,Florida International,,North Texas,W,5,34,6.8,0,wayne-times-1
Zurlon Tipton,2011-09-01,1,Central Michigan,,South Carolina State,W,2,14,7.0,0,zurlon-tipton-1
Nick Toon,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,2,54,27.0,0,nick-toon-1
Reggie Travis,2011-09-01,1,Memphis,,Mississippi State,L,5,43,8.6,0,reggie-travis-1
Marcus Vasquez,2011-09-01,1,Western Kentucky,N,Kentucky,L,3,32,10.7,0,marcus-vasquez-1
William Vea,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,2,14,7.0,1,william-vea-1
Anthony Vidal,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,1,6,6.0,0,anthony-vidal-1
James White,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,40,40.0,0,james-white-2
John White,2011-09-01,1,Utah,,Montana State,W,1,5,5.0,1,john-white-9
Morgan Williams,2011-09-01,1,Toledo,,New Hampshire,W,1,15,15.0,1,morgan-williams-1
Sam Williams,2011-09-01,1,Mississippi State,@,Memphis,W,3,27,9.0,0,sam-williams-5
Mike Willie,2011-09-01,1,Arizona State,,California-Davis,W,1,5,5.0,0,mike-willie-1
Cody Wilson,2011-09-01,1,Central Michigan,,South Carolina State,W,4,53,13.3,1,cody-wilson-1
Kevin Wright,2011-09-01,1,Memphis,,Mississippi State,L,3,37,12.3,0,kevin-wright-1
Tim Wright,2011-09-01,1,Rutgers,,North Carolina Central,W,1,13,13.0,0,tim-wright-2
Tony Zenon,2011-09-01,1,Georgia Tech,,Western Carolina,W,1,19,19.0,0,tony-zenon-1
Todd Anderson,2011-09-02,1,Michigan State,,Youngstown State,W,1,2,2.0,0,todd-anderson-1
Josh Boyce,2011-09-02,1,Texas Christian,@,Baylor,L,9,96,10.7,1,josh-boyce-1
Logan Brock,2011-09-02,1,Texas Christian,@,Baylor,L,4,41,10.3,2,logan-brock-1
Larry Caper,2011-09-02,1,Michigan State,,Youngstown State,W,3,37,12.3,0,larry-caper-1
Brandon Carter,2011-09-02,1,Texas Christian,@,Baylor,L,1,6,6.0,0,brandon-carter-3
B.J. Cunningham,2011-09-02,1,Michigan State,,Youngstown State,W,9,130,14.4,1,bj-cunningham-1
Skye Dawson,2011-09-02,1,Texas Christian,@,Baylor,L,2,18,9.0,0,skye-dawson-1
Robert Griffin III,2011-09-02,1,Baylor,,Texas Christian,W,1,15,15.0,0,robert-griffin-iii-1
Waymon James,2011-09-02,1,Texas Christian,@,Baylor,L,2,8,4.0,0,waymon-james-1
Jonathan Jones,2011-09-02,1,Texas Christian,@,Baylor,L,2,16,8.0,0,jonathan-jones-1
Brian Linthicum,2011-09-02,1,Michigan State,,Youngstown State,W,2,11,5.5,0,brian-linthicum-1
Tony Lippett,2011-09-02,1,Michigan State,,Youngstown State,W,1,15,15.0,0,tony-lippett-1
Keshawn Martin,2011-09-02,1,Michigan State,,Youngstown State,W,2,28,14.0,0,keshawn-martin-1
Jordan Najvar,2011-09-02,1,Baylor,,Texas Christian,W,2,18,9.0,1,jordan-najvar-1
Keith Nichol,2011-09-02,1,Michigan State,,Youngstown State,W,1,14,14.0,0,keith-nichol-1
David Porter,2011-09-02,1,Texas Christian,@,Baylor,L,1,19,19.0,1,david-porter-1
Tevin Reese,2011-09-02,1,Baylor,,Texas Christian,W,1,2,2.0,0,tevin-reese-1
Lanear Sampson,2011-09-02,1,Baylor,,Texas Christian,W,1,64,64.0,1,lanear-sampson-1
Luke Shivers,2011-09-02,1,Texas Christian,@,Baylor,L,1,3,3.0,0,luke-shivers-1
Matthew Tucker,2011-09-02,1,Texas Christian,@,Baylor,L,1,30,30.0,0,matthew-tucker-1
Cam White,2011-09-02,1,Texas Christian,@,Baylor,L,2,14,7.0,0,cam-white-1
Terrance Williams,2011-09-02,1,Baylor,,Texas Christian,W,6,126,21.0,2,terrance-williams-2
Kendall Wright,2011-09-02,1,Baylor,,Texas Christian,W,12,189,15.8,2,kendall-wright-1
Ralph David Abernathy IV,2011-09-03,1,Cincinnati,,Austin Peay,W,1,-4,-4.0,0,ralph-david-abernathy-iv-1
Joe Adams,2011-09-03,1,Arkansas,,Missouri State,W,1,11,11.0,0,joe-adams-1
Eric Adeyemi,2011-09-03,1,Kent State,@,Alabama,L,1,2,2.0,0,eric-adeyemi-2
Devin Aguilar,2011-09-03,1,Washington,,Eastern Washington,W,1,8,8.0,0,devin-aguilar-1
Tyler Ahles,2011-09-03,1,Colorado,@,Hawaii,L,1,6,6.0,0,tyler-ahles-1
Andrew Aho,2011-09-03,1,New Mexico,,Colorado State,L,1,12,12.0,0,andrew-aho-1
Matt Aiken,2011-09-03,1,Navy,,Delaware,W,1,5,5.0,0,matt-aiken-1
Justin Albert,2011-09-03,1,Troy,@,Clemson,L,6,45,7.5,0,justin-albert-1
Alvester Alexander,2011-09-03,1,Wyoming,,Weber State,W,6,62,10.3,0,alvester-alexander-1
Michael Alisa,2011-09-03,1,Brigham Young,@,Mississippi,W,3,28,9.3,0,michael-alisa-1
Dwayne Allen,2011-09-03,1,Clemson,,Troy,W,1,54,54.0,1,dwayne-allen-1
Ferbia Allen,2011-09-03,1,Mississippi,,Brigham Young,L,1,13,13.0,0,ferbia-allen-1
Keenan Allen,2011-09-03,1,California,N,Fresno State,W,8,112,14.0,0,keenan-allen-1
Alex Amidon,2011-09-03,1,Boston College,,Northwestern,L,4,37,9.3,0,alex-amidon-1
Anthony Amos,2011-09-03,1,Middle Tennessee State,@,Purdue,L,3,30,10.0,0,anthony-amos-1
Jonathan Amosa,2011-09-03,1,Washington,,Eastern Washington,W,1,7,7.0,1,jonathan-amosa-1
Chris Anderson,2011-09-03,1,Troy,@,Clemson,L,1,7,7.0,0,chris-anderson-1
Isaiah Anderson,2011-09-03,1,Oklahoma State,,Louisiana,W,2,27,13.5,1,isaiah-anderson-1
Keola Antolin,2011-09-03,1,Arizona,,Northern Arizona,W,5,51,10.2,1,keola-antolin-1
Ross Apo,2011-09-03,1,Brigham Young,@,Mississippi,W,4,46,11.5,1,ross-apo-1
Robert Arnheim,2011-09-03,1,Western Michigan,@,Michigan,L,3,11,3.7,0,robert-arnheim-1
Stanley Arukwe,2011-09-03,1,Troy,@,Clemson,L,1,6,6.0,0,stanley-arukwe-1
Matt Austin,2011-09-03,1,Utah State,@,Auburn,L,6,67,11.2,0,matt-austin-2
Ryan Balentine,2011-09-03,1,Southern Mississippi,,Louisiana Tech,W,6,80,13.3,0,ryan-balentine-1
Andrew Banks,2011-09-03,1,Middle Tennessee State,@,Purdue,L,2,19,9.5,0,andrew-banks-1
Joe Banyard,2011-09-03,1,Texas-El Paso,,Stony Brook,W,2,3,1.5,0,joe-banyard-1
Brandon Barden,2011-09-03,1,Vanderbilt,,Elon,W,2,25,12.5,0,brandon-barden-1
Kenjon Barner,2011-09-03,1,Oregon,N,Louisiana State,L,1,9,9.0,0,kenjon-barner-1
Anthony Barr,2011-09-03,1,UCLA,@,Houston,L,1,11,11.0,1,anthony-barr-1
Ben Bartholomew,2011-09-03,1,Tennessee,,Montana,W,1,18,18.0,0,ben-bartholomew-1
Isiah Barton,2011-09-03,1,Washington State,,Idaho State,W,2,34,17.0,1,isiah-barton-1
Kemonte Bateman,2011-09-03,1,New Mexico State,,Ohio,L,3,41,13.7,0,kemonte-bateman-1
Phil Bates,2011-09-03,1,Ohio,@,New Mexico State,W,1,-3,-3.0,0,phil-bates-1
Dillon Baxter,2011-09-03,1,Southern California,,Minnesota,W,1,3,3.0,0,dillon-baxter-1
Brandon Beachum,2011-09-03,1,Penn State,,Indiana State,W,1,8,8.0,0,brandon-beachum-1
Bryce Beall,2011-09-03,1,Houston,,UCLA,W,1,19,19.0,0,bryce-beall-1
Odell Beckham Jr.,2011-09-03,1,Louisiana State,N,Oregon,W,2,10,5.0,0,odell-beckham-jr-1
Damarlo Belcher,2011-09-03,1,Indiana,N,Ball State,L,4,101,25.3,1,damarlo-belcher-1
Giovani Bernard,2011-09-03,1,North Carolina,,James Madison,W,2,8,4.0,0,giovani-bernard-1
Orne Bey,2011-09-03,1,Miami (OH),@,Missouri,L,3,-3,-1.0,0,orne-bey-1
Malcolm Beyah,2011-09-03,1,Middle Tennessee State,@,Purdue,L,4,89,22.3,1,malcolm-beyah-1
Tim Biere,2011-09-03,1,Kansas,,McNeese State,W,1,5,5.0,0,tim-biere-1
Jordan Bishop,2011-09-03,1,Oregon State,,Sacramento State,L,2,13,6.5,0,jordan-bishop-1
Justin Blackmon,2011-09-03,1,Oklahoma State,,Louisiana,W,8,144,18.0,0,justin-blackmon-1
Emory Blake,2011-09-03,1,Auburn,,Utah State,W,3,95,31.7,1,emory-blake-1
Shane Blissard,2011-09-03,1,Middle Tennessee State,@,Purdue,L,1,6,6.0,0,shane-blissard-1
Andrew Bodenheimer,2011-09-03,1,East Carolina,N,South Carolina,L,3,10,3.3,0,andrew-bodenheimer-1
Zach Boren,2011-09-03,1,Ohio State,,Akron,W,1,8,8.0,0,zach-boren-1
Karl Bostick,2011-09-03,1,Akron,@,Ohio State,L,1,1,1.0,0,karl-bostick-1
Chris Boyd,2011-09-03,1,Vanderbilt,,Elon,W,2,41,20.5,2,chris-boyd-1
Jheranie Boyd,2011-09-03,1,North Carolina,,James Madison,W,1,15,15.0,0,jheranie-boyd-1
Jarrett Boykin,2011-09-03,1,Virginia Tech,,Appalachian State,W,2,16,8.0,1,jarrett-boykin-1
Ryan Boykin,2011-09-03,1,Ohio,@,New Mexico State,W,1,10,10.0,0,ryan-boykin-1
Reid Branderhorst,2011-09-03,1,Iowa State,,Northern Iowa,W,2,12,6.0,0,reid-branderhorst-1
Brandon Braxton,2011-09-03,1,Duke,,Richmond,L,5,30,6.0,0,brandon-braxton-1
Lavon Brazill,2011-09-03,1,Ohio,@,New Mexico State,W,3,64,21.3,0,lavon-brazill-1
Davyd Brooks,2011-09-03,1,Army,@,Northern Illinois,L,1,37,37.0,0,davyd-brooks-1
Bryce Brown,2011-09-03,1,Kansas State,,Eastern Kentucky,W,1,3,3.0,0,bryce-brown-1
Charles Brown,2011-09-03,1,Northwestern,@,Boston College,W,2,26,13.0,0,charles-brown-3
Corey Brown,2011-09-03,1,Ohio State,,Akron,W,1,6,6.0,0,corey-brown-2
Jaron Brown,2011-09-03,1,Clemson,,Troy,W,3,26,8.7,1,jaron-brown-1
Joe Brown,2011-09-03,1,Colorado State,@,New Mexico,W,7,45,6.4,0,joe-brown-1
Justin Brown,2011-09-03,1,Penn State,,Indiana State,W,1,12,12.0,0,justin-brown-1
Malcolm Brown,2011-09-03,1,Army,@,Northern Illinois,L,1,25,25.0,0,malcolm-brown-1
Marlon Brown,2011-09-03,1,Georgia,,Boise State,L,2,12,6.0,0,marlon-brown-1
Zach Brown,2011-09-03,1,Pittsburgh,,Buffalo,W,2,22,11.0,0,zach-brown-3
Ryan Broyles,2011-09-03,1,Oklahoma,,Tulsa,W,14,158,11.3,1,ryan-broyles-1
Kendrick Bruton,2011-09-03,1,Miami (OH),@,Missouri,L,3,12,4.0,0,kendrick-bruton-1
Martavis Bryant,2011-09-03,1,Clemson,,Troy,W,1,54,54.0,0,martavis-bryant-1
Dan Buckner,2011-09-03,1,Arizona,,Northern Arizona,W,4,38,9.5,0,dan-buckner-1
Reggie Bullock,2011-09-03,1,East Carolina,N,South Carolina,L,3,15,5.0,0,reggie-bullock-1
Kris Burd,2011-09-03,1,Virginia,,William & Mary,W,4,29,7.3,0,kris-burd-1
Bryan Burnham,2011-09-03,1,Tulsa,@,Oklahoma,L,3,68,22.7,1,bryan-burnham-1
Dallas Burroughs,2011-09-03,1,Boise State,@,Georgia,W,1,3,3.0,0,dallas-burroughs-1
Mitch Burroughs,2011-09-03,1,Boise State,@,Georgia,W,5,43,8.6,0,mitch-burroughs-1
Isaiah Burse,2011-09-03,1,Fresno State,N,California,L,4,-7,-1.8,0,isaiah-burse-1
Trey Burton,2011-09-03,1,Florida,,Florida Atlantic,W,1,11,11.0,0,trey-burton-1
Gary Bush,2011-09-03,1,Purdue,,Middle Tennessee State,W,3,21,7.0,0,gary-bush-1
Bakari Bussey,2011-09-03,1,Ohio,@,New Mexico State,W,1,3,3.0,0,bakari-bussey-1
Brice Butler,2011-09-03,1,Southern California,,Minnesota,W,3,27,9.0,0,brice-butler-1
Jesse Callier,2011-09-03,1,Washington,,Eastern Washington,W,1,7,7.0,0,jesse-callier-1
Michael Calvin,2011-09-03,1,California,N,Fresno State,W,1,4,4.0,0,michael-calvin-1
Diandre Campbell,2011-09-03,1,Washington,,Eastern Washington,W,1,7,7.0,0,diandre-campbell-1
Ka'Deem Carey,2011-09-03,1,Arizona,,Northern Arizona,W,1,5,5.0,0,kadeem-carey-1
Jabari Carr,2011-09-03,1,San Jose State,@,Stanford,L,3,78,26.0,0,jabari-carr-1
Russell Carr,2011-09-03,1,Texas-El Paso,,Stony Brook,W,1,29,29.0,0,russell-carr-1
Tyron Carrier,2011-09-03,1,Houston,,UCLA,W,10,138,13.8,1,tyron-carrier-1
