coach_name,last_year_bonus,max_bonus,other_pay,school_pay,total_pay,year,school,conference
David Shaw,0.0,0.0,0.0,2012666.0,2012666,2014,Stanford,Pac-12
David Shaw,0.0,0.0,0.0,0.0,0,2013,Stanford,Pac-12
David Shaw,0.0,0.0,0.0,0.0,0,2012,Stanford,Pac-12
David Shaw,0.0,0.0,0.0,0.0,0,2011,Stanford,Pac-12
Will Muschamp,100000.0,1400000.0,0.0,4200000.0,4200000,2018,South Carolina,SEC
Will Muschamp,125000.0,1075000.0,0.0,3100000.0,3100000,2017,South Carolina,SEC
Will Muschamp,0.0,1075000.0,2500.0,3000000.0,3002500,2016,South Carolina,SEC
Mark Richt,0.0,0.0,0.0,4058061.0,4058061,2018,Miami (FL),ACC
Mark Richt,0.0,0.0,0.0,0.0,0,2017,Miami (FL),ACC
Mark Richt,0.0,0.0,0.0,0.0,0,2016,Miami (FL),ACC
Mark Stoops,300000.0,3100000.0,13600.0,4000000.0,4013600,2018,Kentucky,SEC
Mark Stoops,425000.0,3100000.0,13600.0,3750000.0,3763600,2017,Kentucky,SEC
Mark Stoops,50000.0,2800000.0,13600.0,3500000.0,3513600,2016,Kentucky,SEC
Mark Stoops,125000.0,2775000.0,13600.0,3250000.0,3263600,2015,Kentucky,SEC
Mark Stoops,0.0,1475000.0,1600.0,2700000.0,2701600,2014,Kentucky,SEC
Mark Stoops,0.0,1475000.0,0.0,2001250.0,2001250,2013,Kentucky,SEC
Justin Fuente,75000.0,435000.0,0.0,4000000.0,4000000,2018,Virginia Tech,ACC
Justin Fuente,125000.0,435000.0,0.0,3250000.0,3250000,2017,Virginia Tech,ACC
Justin Fuente,0.0,400000.0,0.0,3200000.0,3200000,2016,Virginia Tech,ACC
Bobby Petrino,869917.0,1472917.0,0.0,3980434.0,3980434,2018,Louisville,ACC
Bobby Petrino,989584.0,1468750.0,0.0,3930434.0,3930434,2017,Louisville,ACC
Bobby Petrino,794667.0,1464583.0,30000.0,3880434.0,3910434,2016,Louisville,ACC
Bobby Petrino,782667.0,1341667.0,3500.0,3000000.0,3003500,2015,Louisville,ACC
Bobby Petrino,0.0,1266667.0,0.0,3000000.0,3000000,2014,Louisville,ACC
Bobby Petrino,0.0,766667.0,941000.0,810000.0,1751000,2006,Louisville,ACC
Jeremy Pruitt,0.0,1200000.0,0.0,3846000.0,3846000,2018,Tennessee,SEC
Jeff Brohm,180000.0,1290000.0,0.0,3800000.0,3800000,2018,Purdue,Big Ten
Jeff Brohm,0.0,1200000.0,0.0,3333333.0,3333333,2017,Purdue,Big Ten
Kyle Whittingham,279167.0,935000.0,0.0,3787917.0,3787917,2018,Utah,Pac-12
Kyle Whittingham,330833.0,935000.0,0.0,3687917.0,3687917,2017,Utah,Pac-12
Kyle Whittingham,334167.0,935000.0,0.0,3650000.0,3650000,2016,Utah,Pac-12
Kyle Whittingham,195000.0,935000.0,0.0,2600000.0,2600000,2015,Utah,Pac-12
Kyle Whittingham,0.0,740000.0,0.0,2200000.0,2200000,2014,Utah,Pac-12
Kyle Whittingham,0.0,740000.0,0.0,2427100.0,2427100,2013,Utah,Pac-12
Kyle Whittingham,0.0,740000.0,0.0,2000000.0,2000000,2012,Utah,Pac-12
Kyle Whittingham,0.0,740000.0,0.0,1700000.0,1700000,2011,Utah,Pac-12
Kyle Whittingham,0.0,485000.0,0.0,1175000.0,1175000,2010,Utah,Pac-12
Kyle Whittingham,0.0,485000.0,937500.0,270000.0,1207500,2009,Utah,Pac-12
Kyle Whittingham,0.0,350000.0,467000.0,211120.0,678120,2007,Utah,Pac-12
Kyle Whittingham,0.0,280000.0,467000.0,205000.0,672000,2006,Utah,Pac-12
Paul Chryst,290000.0,0.0,0.0,3750000.0,3750000,2018,Wisconsin,Big Ten
Paul Chryst,260000.0,0.0,0.0,3200000.0,3200000,2017,Wisconsin,Big Ten
Paul Chryst,100000.0,440000.0,6200.0,2700000.0,2706200,2016,Wisconsin,Big Ten
Paul Chryst,0.0,440000.0,0.0,2300000.0,2300000,2015,Wisconsin,Big Ten
Kliff Kingsbury,25000.0,1500000.0,0.0,3703975.0,3703975,2018,Texas Tech,Big 12
Kliff Kingsbury,90000.0,1500000.0,0.0,3503975.0,3503975,2017,Texas Tech,Big 12
