coach,last_year_bonus,max_bonus,other_pay,position,school_name,school_pay,total_pay,year
Gary Patterson,0.0,0.0,0.0,coach,TCU,4008150.0,4008150,2014
Gary Patterson,0.0,0.0,0.0,coach,TCU,3120760.0,3120760,2013
Gary Patterson,0.0,0.0,0.0,coach,TCU,3467926.0,3467926,2012
Gary Patterson,0.0,0.0,0.0,coach,TCU,2018362.0,2018362,2011
Gary Patterson,0.0,0.0,0.0,coach,TCU,1642089.0,1642089,2010
Gary Patterson,0.0,0.0,0.0,coach,TCU,1800000.0,1800000,2009
Gary Patterson,0.0,0.0,0.0,coach,TCU,1219212.0,1219212,2007
Gary Patterson,0.0,0.0,0.0,coach,TCU,952162.0,952162,2006
James Franklin,300000.0,1000000.0,0.0,coach,Penn State,4800000.0,4800000,2018
James Franklin,900000.0,1000000.0,0.0,coach,Penn State,4600000.0,4600000,2017
James Franklin,200000.0,1000000.0,0.0,coach,Penn State,4500000.0,4500000,2016
James Franklin,200000.0,1000000.0,0.0,coach,Penn State,4400000.0,4400000,2015
James Franklin,0.0,1000000.0,0.0,coach,Penn State,4300000.0,4300000,2014
James Franklin,0.0,0.0,0.0,coach,Vanderbilt,1842771.0,1842771,2013
James Franklin,0.0,0.0,0.0,coach,Vanderbilt,0.0,0,2012
James Franklin,0.0,0.0,0.0,coach,Vanderbilt,0.0,0,2011
James Franklin,0.0,160000.0,0.0,assistant,Maryland,486500.0,486500,2010
James Franklin,0.0,160000.0,165000.0,assistant,Maryland,303954.0,468954,2009
Lincoln Riley,180000.0,700000.0,0.0,coach,Oklahoma,4800000.0,4800000,2018
Lincoln Riley,0.0,700000.0,0.0,coach,Oklahoma,2116666.0,2116666,2017
Lincoln Riley,0.0,119000.0,5000.0,assistant,Oklahoma,900000.0,905000,2016
Lincoln Riley,0.0,70000.0,0.0,assistant,Oklahoma,500000.0,500000,2015
Lincoln Riley,0.0,0.0,3800.0,assistant,East Carolina,275000.0,278800,2014
Lincoln Riley,0.0,0.0,1725.0,assistant,East Carolina,200000.0,201725,2013
Lincoln Riley,0.0,0.0,1800.0,assistant,East Carolina,151800.0,153600,2012
Lincoln Riley,0.0,0.0,1725.0,assistant,East Carolina,150000.0,151725,2011
Lincoln Riley,0.0,150000.0,0.0,assistant,East Carolina,150000.0,150000,2010
Lincoln Riley,0.0,15833.0,7500.0,assistant,Texas Tech,190000.0,197500,2009
Kirk Ferentz,600000.0,2875000.0,0.0,coach,Iowa,4700000.0,4700000,2018
