School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
UTSA,C-USA,Patrick Toney,70000,70000,0,1055000,
Texas State,Sun Belt,Tyler Santucci,70000,70000,0,925000,
UTEP,C-USA,Derrius Bell,70000,70000,33333,1201860,
Charlotte,C-USA,Damien Gary,70000,70000,3500,954000,
Kent State,MAC,Jeff Burrow,69891,69891,0,733900,
Kent State,MAC,Doc Gamble,68912,69112,0,733900,
Toledo,MAC,Robby Discher,68000,68000,0,944000,
Idaho,Sun Belt,Al Pupunu,67267,67767,0,995385,
Northern Illinois,MAC,John Homolka,67000,67000,22083,921018,
Northern Illinois,MAC,Melvin Rice,67000,67000,22083,921018,
Miami (OH),MAC,Israel Woolfork,67000,67000,0,897288,
New Mexico State,Sun Belt,Kerry Locklin,65650,66150,0,707608,
Idaho,Sun Belt,Troy Purcell,65728,65728,0,995385,
Massachusetts,Ind.,Darrius Smith,64189,65689,12849,854284,
Akron,MAC,Eric Hickson,65000,65000,17500,919220,
Massachusetts,Ind.,Jason Palermo,65000,65000,12500,854284,
Akron,MAC,Brett Ekkens,65000,65000,17501,919220,
New Mexico State,Sun Belt,Brian Bell,64000,64500,0,707608,
Georgia State,Sun Belt,Larry Knight,59800,61800,0,1049750,
New Mexico State,Sun Belt,Kevin McKeethan,60801,61601,0,707608,
Buffalo,MAC,Alan Hensell,60000,60000,23000,927911,
New Mexico State,Sun Belt,Cory Martin,60000,60000,0,707608,
Middle Tennessee,C-USA,Jeff Beckles,60000,60000,7500,1257257,
Idaho,Sun Belt,Eric Brown,55203,55203,0,995385,
Louisiana-Lafayette,Sun Belt,Michael Desormeaux,55000,55000,0,989800,
Buffalo,MAC,Taiwo Onatolu,55000,55000,18333,927911,
Massachusetts,Ind.,Steve Costello,53419,53419,11952,854284,
Old Dominion,C-USA,Sam Perryman,50000,53000,0,1090666,
Old Dominion,C-USA,Arick Forest,50000,51000,0,1090666,
New Mexico State,Sun Belt,Matt Christian,50000,50425,0,707608,
Western Kentucky,C-USA,Tony Levine,50004,50004,0,1005036,
Georgia Southern,Sun Belt,Pat Bastien,50000,50000,0,1010000,
Charlotte,C-USA,Johnson Richardson,50000,50000,2500,954000,
Charlotte,C-USA,Aaron Curry,50000,50000,2500,954000,
Southern Miss,C-USA,Shannon Dawson,50000,50000,4167,900500,
LSU,SEC,Dennis Johnson,45000,45000,0,5781500,
Kent State,MAC,Colin Ferrell,42840,42840,0,733900,
Georgia State,Sun Belt,Rick Minter,30000,32000,0,1049750,
Penn State,Big Ten,Joe Moorhead,,,,,
Air Force,Mt. West,Jake Moreland,,,,1618000,
USC,Pac-12,Johnny Nansen,,,,,
Rice,C-USA,Darrell Patterson,,,,,
Vanderbilt,SEC,Cameron Norcross,,,,,
Tulsa,AAC,Brian Norwood,,,,,
Navy,AAC,Danny O'Rourke,,,,,
Northwestern,Big Ten,Marty Long,,,,,
TCU,Big 12,Curtis Luper,,,,,
Vanderbilt,SEC,Andy Ludwig,,,,,
Southern Methodist,AAC,Van Malone,,,,,
Northwestern,Big Ten,Matt MacPherson,,,,,
USC,Pac-12,Tee Martin,,,,,
Syracuse,ACC,Kim McCloud,,,,,
Northwestern,Big Ten,Mick McCall,,,,,
Penn State,Big Ten,Brent Pry,,,,,
Penn State,Big Ten,Ricky Rahne,,,,,
USC,Pac-12,Tommie Robinson,,,,,
Pittsburgh,ACC,Andre Powell,,,,,
Tulane,AAC,Kevin Peoples,,,,,
Pittsburgh,ACC,John Peterson,,,,,
Navy,AAC,Dale Pehrson,,,,,
Pittsburgh,ACC,Tim Salem,,,,,
Tulane,AAC,Doug Ruse,,,,,
Wake Forest,ACC,Warren Ruggiero,,,,,
Duke,ACC,Zac Roper,,,,,
TCU,Big 12,Dan Sharp,,,,,
Pittsburgh,ACC,Kevin Sherman,,,,,
Wake Forest,ACC,Adam Scheier,,,,,
Miami (FL),ACC,Stacy Searels,,,,,
Temple,AAC,Phil Snow,,,,,
Miami (FL),ACC,Ron Dugans,,,,,
Notre Dame,Ind.,Harry Hiestand,,,,,
Navy,AAC,Napoleon Sykes,,,,,
Notre Dame,Ind.,Mike Denbrock,,,,,
Notre Dame,Ind.,Mike Sanford Jr.,,,,,
Temple,AAC,Frisman Jackson,,,,,
Wake Forest,ACC,Dave Cohen,,,,,
Boston College,ACC,Jim Reid,,,,,
Southern Methodist,AAC,Jess Loepp,,,,,
Wake Forest,ACC,Clark Lea,,,,,
TCU,Big 12,Sonny Cumbie,,,,,
Southern Methodist,AAC,Buddy Wyatt,,,,,
Duke,ACC,Jim Knowles,,,,,
USC,Pac-12,Clancy Pendergast,,,,,
Syracuse,ACC,Nick Monroe,,,,,
Boston College,ACC,Paul Pasqualoni,,,,,
Tulsa,AAC,Bill Young,,,,,
Brigham Young,Ind.,Ilaisa Tuiaki,,,,,
Rice,C-USA,Ronnie Vinklarek,,,,,
Boston College,ACC,Brian White,,,,,
Air Force,Mt. West,Matt Weikert,,,,1618000,
Hawaii,Mt. West,Brian Smith,,,,,
Pittsburgh,ACC,Tom Sims,,,,,
Temple,AAC,Mike Siravo,,,,,
Penn State,Big Ten,Sean Spencer,,,,,
Northwestern,Big Ten,Dennis Springer,,,,,
Rice,C-USA,Chris Thurmond,,,,,
Notre Dame,Ind.,Scott Booker,,,,,
USC,Pac-12,John Baxter,,,,,
Northwestern,Big Ten,Randy Bates,,,,,
Penn State,Big Ten,Tim Banks,,,,,
USC,Pac-12,Neil Callaway,,,,,
TCU,Big 12,Jarrett Anderson,,,,,
Stanford,Pac-12,Lance Anderson,,,,,
Vanderbilt,SEC,Jeff Genyk,,,,,
Stanford,Pac-12,Duane Akina,,,,,
Stanford,Pac-12,Pete Alamar,,,,,
Baylor,Big 12,Chris Achuff,,,,,
Pittsburgh,ACC,Matt Canada,,,,,
TCU,Big 12,Rusty Burns,,,,,
Baylor,Big 12,Carlton Buckels,,,,,
Northwestern,Big Ten,Jerry Brown,,,,,
Duke,ACC,Jim Bridge,,,,,
Baylor,Big 12,Kendal Briles,,,,,
Miami (FL),ACC,Manny Diaz,,,,,
Navy,AAC,Justin Davis,,,,,
Navy,AAC,Chris Culton,,,,,
Tulane,AAC,Jack Curtis,,,,,
Northwestern,Big Ten,Adam Cushing,,,,,
Baylor,Big 12,Randy Clements,,,,,
Northwestern,Big Ten,Mike Hankwitz,,,,,
TCU,Big 12,Chad Glasgow,,,,,
Vanderbilt,SEC,Gerry Gdowski,,,,,
Notre Dame,Ind.,Keith Gilmore,,,,,
Rice,C-USA,Larry Edmondson,,,,,
Wake Forest,ACC,Mike Elko,,,,,
Notre Dame,Ind.,Mike Elston,,,,,
Temple,AAC,Ed Foley,,,,,
Vanderbilt,SEC,Osia Lewis,,,,,
Penn State,Big Ten,Matt Limegrover,,,,,
Boston College,ACC,Scot Loeffler,,,,,
Hawaii,Mt. West,Kevin Lempa,,,,,
Miami (FL),ACC,Craig Kuligowski,,,,,
Duke,ACC,Derek Jones,,,,,
Navy,AAC,Mike Judge,,,,,
Brigham Young,Ind.,Steve Kaufusi,,,,,
Navy,AAC,Steve Johns,,,,,
Navy,AAC,Ivin Jasper,,,,,
Wake Forest,ACC,Derrick Jackson,,,,,
Navy,AAC,Ashley Ingram,,,,,
Wake Forest,ACC,John Hunter,,,,,
Rice,C-USA,Larry Hoefer,,,,,
Northwestern,Big Ten,Bob Heffner,,,,,
USC,Pac-12,Tyson Helton,,,,,
Syracuse,ACC,Reno Ferri,,,,,
Brigham Young,Ind.,Mike Empey,,,,,
TCU,Big 12,Paul Gonzales,,,,,
Boston College,ACC,Rich Gunnell,,,,,
Brigham Young,Ind.,Jernaro Gilford,,,,,
TCU,Big 12,Zarnell Fitch,,,,,
Hawaii,Mt. West,Kefense Hynson,,,,,
Tulane,AAC,Chris Hampton,,,,,
Miami (FL),ACC,Ephraim Banda,,,,,
Vanderbilt,SEC,C.J. Ah You,,,,,
Vanderbilt,SEC,Cortez Hankton,,,,,
Vanderbilt,SEC,Marc Mattioli,,,,,
Tulsa,AAC,Mike Bloesch,,,,,
Brigham Young,Ind.,Ty Detmer,,,,,
Hawaii,Mt. West,Sean Duggan,,,,,
Navy,AAC,Robert Green,,,,,
Duke,ACC,Marcus Johnson,,,,,
Brigham Young,Ind.,Steve Clark,,,,,
Brigham Young,Ind.,Ed Lamb,,,,,
USC,Pac-12,Kenechi Udeze,,,,,
Miami (FL),ACC,Jon Richt,,,,,
Rice,C-USA,Frank Okam,,,,,
Miami (FL),ACC,Mike Rumph,,,,,
Tulsa,AAC,Beau Trahan,,,,,
Hawaii,Mt. West,Craig Stutzmann,,,,,
Hawaii,Mt. West,Legi Suiaunoa,,,,,
Tulane,AAC,Slade Nagle,,,,,
Brigham Young,Ind.,Reno Mahe,,,,,
Vanderbilt,SEC,Chris Marve,,,,,
Syracuse,ACC,Brian Ward,,,,,
Hawaii,Mt. West,Abe Elimimian,,,,,
Duke,ACC,Mike Guerrieri,,,,,
Stanford,Pac-12,Diron Reynolds,,,,,
Notre Dame,Ind.,Todd Lyght,,,,,
Southern Methodist,AAC,Joe Craddock,,,,,
Southern Methodist,AAC,Dustin Fry,,,,,
Southern Methodist,AAC,Keith Gunn,,,,,
Southern Methodist,AAC,Claude Mathis,,,,,
Temple,AAC,Glenn Thomas,,,,,
Tulsa,AAC,Jermial Ashley,,,,,
Tulsa,AAC,Aaron Fletcher,,,,,
Tulsa,AAC,Joseph Gillespie,,,,,
Tulsa,AAC,Justin Hill,,,,,
Tulsa,AAC,Calvin Lowry,,,,,
Air Force,Mt. West,Ross Weaver,,,,1618000,
Baylor,Big 12,Cris Dishman,,,,,
Baylor,Big 12,Tate Wallis,,,,,
Stanford,Pac-12,Lance Taylor,,,,,
Wake Forest,ACC,Kevin Higgins,,,,,
Stanford,Pac-12,Peter Hansen,,,,,
Temple,AAC,Elijah Robinson,,,,,
Rice,C-USA,Anthony Steward,,,,,
Navy,AAC,Dan O'Brien,,,,,
Notre Dame,Ind.,Autry Denson,,,,,
Pittsburgh,ACC,Rob Harley,,,,,
Tulane,AAC,Michael Mutz,,,,,
Tulane,AAC,Alex Atkins,,,,,
Syracuse,ACC,Vinson Reynolds,,,,,
Pittsburgh,ACC,Josh Conklin,,,,,
Tulane,AAC,Jeff Conway,,,,,
Boston College,ACC,Frank Leonard,,,,,
Baylor,Big 12,Jeff Lebby,,,,,
Syracuse,ACC,Mike Hart,,,,,
Navy,AAC,Shaun Nua,,,,,
Temple,AAC,George DeLeone,,,,,
Penn State,Big Ten,Josh Gattis,,,,,
Miami (FL),ACC,Todd Hartley,,,,,
USC,Pac-12,Ronnie Bradford,,,,,
Penn State,Big Ten,Charles Huff,,,,,
Navy,AAC,Mick Yokitis,,,,,
Stanford,Pac-12,Mike Bloomgren,,,,,
Duke,ACC,Ben Albert,,,,,
Southern Methodist,AAC,Archie McDaniel,,,,,
Boston College,ACC,Justin Frye,,,,,
Baylor,Big 12,Jim Gush,,,,,
Brigham Young,Ind.,Ben Cahoon,,,,,
Rice,C-USA,Billy Lynch,,,,,
Temple,AAC,Francis Brown,,,,,
Miami (FL),ACC,Thomas Brown,,,,,
Duke,ACC,Re'quan Boyette,,,,,
Hawaii,Mt. West,Mayur Chaudhari,,,,,
Boston College,ACC,Anthony Campanile,,,,,
Pittsburgh,ACC,Renaldo Hill,,,,,
Boston College,ACC,Al Washington,,,,,
Wake Forest,ACC,Nicholas Tabacca,,,,,
Rice,C-USA,David Sloan,,,,,
Temple,AAC,Chris Wiesehan,,,,,
Stanford,Pac-12,Tavita Pritchard,,,,,
Hawaii,Mt. West,Chris Naeole,,,,,
Penn State,Big Ten,Terry Smith,,,,,
Southern Methodist,AAC,Justin Stepp,,,,,
Stanford,Pac-12,Morgan Turner,,,,,
Duke,ACC,Jeffrey Faris,,,,,
Syracuse,ACC,Tom Kaufman,,,,,
Syracuse,ACC,Sean Lewis,,,,,
Syracuse,ACC,Mike Lynch,,,,,
Air Force,Mt. West,Dylan Newman,,,,1618000,
Tulane,AAC,Jamaal Fobbs,,,,,
