School,Conf,Coach,School Pay,Total Pay,Max Bonus,Bonuses Paid (2016-17),Asst Pay Total,School Buyout AS OF 12/1/17,Conference,Division,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Iowa State,Big 12,Matt Campbell,2100000.0,2100000.0,1000000.0,0.0,,9575000.0,Big 12,,5.0,4,235,170,7,5,359,252,3,3,4,2,L1,2,1,2,1,2017
Rutgers,Big Ten,Chris Ash,2100000.0,2100000.0,960000.0,50000.0,,7425000.0,Big Ten,East,3.0,6,124,294,4,8,216,340,3,4,1,4,L3,0,4,0,4,2017
SMU,AAC,Chad Morris,2095793.0,2095793.0,,,,,American Athletic,West,4.0,4,290,303,7,5,482,426,6,1,1,4,W1,0,3,0,3,2017
UCF,AAC,Scott Frost,2000000.0,2000000.0,250000.0,45000.0,,4125000.0,American Athletic,East,8.0,0,359,187,12,0,593,302,7,0,5,0,W12,3,0,3,0,2017
Navy,AAC,Ken Niumatalolo,2000000.0,2000000.0,,,,,American Athletic,West,4.0,4,227,233,6,6,347,335,4,1,2,4,L3,0,3,0,3,2017
Cincinnati,AAC,Luke Fickell,1900000.0,1900000.0,625000.0,,,9100000.0,American Athletic,East,2.0,6,169,277,4,8,251,382,2,4,2,4,W1,0,2,0,2,2017
Memphis,AAC,Mike Norvell,1860000.0,1860000.0,570000.0,125000.0,,4379667.0,American Athletic,West,7.0,1,388,234,10,2,572,401,7,0,3,2,L1,0,2,0,2,2017
Indiana,Big Ten,Tom Allen,1830000.0,1830000.0,1441668.0,,,2500000.0,Big Ten,East,2.0,7,209,270,5,7,322,304,3,3,2,4,L1,0,4,0,4,2017
Pittsburgh,ACC,Pat Narduzzi,1827735.0,1827735.0,,,,,Atlantic Coast,Coastal,3.0,5,182,196,5,7,287,319,4,3,1,4,W1,1,3,1,3,2017
Wake Forest,ACC,Dave Clawson,1827370.0,1827370.0,,,,,Atlantic Coast,Atlantic,4.0,4,250,232,7,5,404,316,4,2,3,3,L1,0,2,0,2,2017
Houston,AAC,Major Applewhite,1750000.0,1750000.0,782500.0,,,2762500.0,American Athletic,West,5.0,3,231,207,7,4,312,253,4,2,3,2,W1,1,1,1,1,2017
Notre Dame,Ind.,Brian Kelly,1645867.0,1645867.0,,,,,FBS Independents,,,-,--,--,9,3,424,262,6,1,3,2,L1,2,3,2,3,2017
Kansas,Big 12,David Beaty,1601109.0,1601109.0,1750000.0,25000.0,,3000000.0,Big 12,,0.0,9,129,418,1,11,224,521,1,6,0,5,L11,0,3,0,3,2017
California,Pac-12,Justin Wilcox,1600000.0,1600000.0,900000.0,,,8708500.0,Pac-12,North,2.0,7,238,275,5,7,333,341,4,2,1,5,L2,1,3,1,3,2017
Boise State,Mt. West,Bryan Harsin,1550004.0,1550004.0,475000.0,55000.0,,7366925.0,Mountain West,Mountain,7.0,1,285,169,10,3,417,292,6,1,4,2,W1,1,2,1,1,2017
Colorado State,Mt. West,Mike Bobo,1550000.0,1550000.0,785000.0,50000.0,,3000000.0,Mountain West,Mountain,5.0,3,284,235,7,5,406,330,4,2,3,2,W1,0,1,0,1,2017
Fresno State,Mt. West,Jeff Tedford,1550000.0,1550000.0,2765000.0,,,5080000.0,Mountain West,West,7.0,1,221,105,9,4,347,224,5,1,4,3,L1,0,2,1,2,2017
Wyoming,Mt. West,Craig Bohl,1412000.0,1412000.0,450000.0,213750.0,,9417667.0,Mountain West,Mountain,5.0,3,180,131,7,5,268,214,5,2,2,3,L2,0,1,0,1,2017
Tulsa,AAC,Philip Montgomery,1398038.0,1398038.0,,,,,American Athletic,West,1.0,7,198,279,2,10,352,450,2,4,0,6,L5,0,3,0,3,2017
Ole Miss,SEC,Matt Luke,1160000.0,1160000.0,0.0,,,1430000.0,Southeastern,West,3.0,5,236,316,6,6,394,415,4,3,2,3,W1,1,3,1,3,2017
Louisiana-Lafayette,Sun Belt,Mark Hudspeth,1150000.0,1150000.0,155000.0,25000.0,,1591667.0,Sun Belt,,4.0,4,202,271,5,7,338,480,3,2,2,5,L2,0,0,0,1,2017
UTSA,C-USA,Frank Wilson,1137500.0,1137500.0,185000.0,17500.0,,4675000.0,Conference USA,West,3.0,5,147,146,6,5,259,187,3,2,3,3,L1,0,0,0,0,2017
Utah State,Mt. West,Matt Wells,1050000.0,1050000.0,730000.0,10000.0,,1920833.0,Mountain West,Mountain,4.0,4,261,182,6,6,372,324,3,3,3,3,L1,0,2,0,2,2017
ECU,AAC,Scottie Montgomery,1050000.0,1050000.0,850000.0,75000.0,,1633333.0,American Athletic,East,2.0,6,215,369,3,9,299,540,2,5,1,4,L1,0,4,0,4,2017
South Florida,AAC,Charlie Strong,1000000.0,1000000.0,815000.0,,,192308.0,American Athletic,East,6.0,2,301,186,9,2,421,248,5,1,4,1,L1,0,1,0,1,2017
UConn,AAC,Randy Edsall,1000000.0,1000000.0,650000.0,,,2000000.0,American Athletic,East,2.0,6,210,306,3,9,283,455,2,4,1,4,L5,0,3,0,3,2017
North Texas,C-USA,Seth Littrell,991416.0,991416.0,580000.0,35000.0,,3300000.0,Conference USA,West,7.0,1,293,251,9,4,467,440,6,0,3,4,L1,0,1,0,0,2017
FAU,C-USA,Lane Kiffin,950000.0,950000.0,350000.0,,,2850000.0,Conference USA,East,8.0,0,368,191,10,3,518,315,6,1,4,2,W9,0,1,0,1,2017
FIU,C-USA,Butch Davis,900000.0,900000.0,550000.0,,,4110569.0,Conference USA,East,5.0,3,210,216,8,4,330,342,5,1,2,3,W2,0,1,0,1,2017
San Diego State,Mt. West,Rocky Long,826304.0,828304.0,735000.0,198150.0,,374148.0,Mountain West,West,6.0,2,243,139,10,2,365,221,5,2,5,0,W4,1,1,1,1,2017
New Mexico,Mt. West,Bob Davie,822690.0,823940.0,490000.0,20000.0,,1725984.0,Mountain West,Mountain,1.0,7,152,270,3,9,248,382,2,4,1,5,L7,0,1,0,1,2017
Middle Tennessee,C-USA,Rick Stockstill,801504.0,801504.0,126142.0,65142.0,,5112070.0,Conference USA,East,4.0,4,234,193,6,6,297,291,4,2,2,4,W1,0,0,0,0,2017
Troy,Sun Belt,Neal Brown,800000.0,800000.0,490000.0,80000.0,,2894167.0,Sun Belt,,7.0,1,266,141,10,2,359,210,5,1,5,1,W6,1,0,1,0,2017
Western Michigan,MAC,Tim Lester,800000.0,800000.0,322000.0,,,1000000.0,Mid-American,West,4.0,4,276,229,6,6,407,348,4,2,2,4,L2,0,2,0,2,2017
WKU,C-USA,Mike Sanford Jr.,800000.0,800000.0,400000.0,,,1266667.0,Conference USA,East,4.0,4,226,233,6,6,314,322,4,2,2,4,L1,0,0,0,0,2017
Rice,C-USA,David Bailiff,772883.0,772883.0,,,,,Conference USA,West,1.0,7,163,238,1,11,195,429,0,5,1,5,L10,0,1,0,1,2017
Marshall,C-USA,Doc Holliday,762570.0,762570.0,145000.0,25000.0,,2707208.0,Conference USA,East,4.0,4,206,147,7,5,316,231,4,2,3,3,L2,0,1,0,1,2017
Arkansas State,Sun Belt,Blake Anderson,750000.0,750000.0,185000.0,50000.0,,500000.0,Sun Belt,,6.0,2,319,183,7,4,424,273,4,1,3,3,L1,0,0,0,0,2017
Louisiana Tech,C-USA,Skip Holtz,700000.0,704000.0,395000.0,50000.0,,3208333.0,Conference USA,West,4.0,4,222,206,6,6,345,320,3,4,3,2,W2,0,1,0,1,2017
Toledo,MAC,Jason Candle,700000.0,700950.0,615000.0,57500.0,,1985417.0,Mid-American,West,7.0,1,296,165,11,2,509,333,6,0,4,2,W3,0,1,0,1,2017
Appalachian State,Sun Belt,Scott Satterfield,675000.0,675000.0,270000.0,155000.0,,1735417.0,Sun Belt,,7.0,1,291,175,8,4,401,263,5,1,3,3,W3,0,1,0,1,2017
Texas State,Sun Belt,Everett Withers,675000.0,675000.0,68750.0,0.0,,1120161.0,Sun Belt,,1.0,7,160,266,2,10,207,403,1,5,1,5,L4,0,0,0,0,2017
Old Dominion,C-USA,Bobby Wilder,650000.0,650000.0,504506.0,10000.0,,1500000.0,Conference USA,East,3.0,5,177,265,5,7,248,380,3,3,2,4,L1,0,1,0,1,2017
UAB,C-USA,Bill Clark,630000.0,630000.0,685000.0,,,1575000.0,Conference USA,West,6.0,2,249,175,8,4,355,292,6,0,2,4,W1,0,0,0,0,2017
Charlotte,C-USA,Brad Lambert,625000.0,625000.0,120000.0,0.0,,813184.0,Conference USA,East,1.0,7,125,251,1,11,170,393,1,5,0,6,L4,0,1,0,1,2017
Northern Illinois,MAC,Rod Carey,623000.0,623000.0,205000.0,17500.0,,952000.0,Mid-American,West,6.0,2,256,166,8,4,363,250,5,1,3,3,L1,0,1,0,1,2017
