birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
,,1191,Luke Wells,http://www.gannett-cdn.com/media/None,Utah State,,USU
,,463,Ross Els,http://www.gannett-cdn.com/media/None,Colorado,,COLO
,,1458,Matt Simon,http://www.gannett-cdn.com/media/None,Minnesota,,MINN
,,2656,Diron Reynolds,http://www.gannett-cdn.com/media/None,Stanford,,STAN
,,2358,Tim Rattay,http://www.gannett-cdn.com/media/None,Louisiana Tech,,LT
,,3062,Jayden Everett,http://www.gannett-cdn.com/media/None,Central Michigan,,CMU
,,1377,Raymond Woodie,http://www.gannett-cdn.com/media/None,Oregon,,ORE
,,3063,Bojay Filmoeatu,http://www.gannett-cdn.com/media/None,San Jose State,,SJSU
,,901,Joe Pannunzio,http://www.gannett-cdn.com/media/None,Alabama,,ALA
,,2961,Brian Brohm,http://www.gannett-cdn.com/media/None,Purdue,,PUR
,,707,Vic Koenning,http://www.gannett-cdn.com/media/None,Troy,,TROY
,,3134,Bert Watts,http://www.gannett-cdn.com/media/None,Fresno State,,FRES
,,2926,Marcus Johnson,http://www.gannett-cdn.com/media/None,Duke,,DUKE
,,568,Dan Hammerschmidt,http://www.gannett-cdn.com/media/None,Oklahoma State,,OKST
,,1005,Doug Ruse,http://www.gannett-cdn.com/media/None,Tulane,,TULN
,,1521,George DeLeone,http://www.gannett-cdn.com/media/None,Baylor,,BAY
,,2680,Jermial Ashley,http://www.gannett-cdn.com/media/None,Tulsa,,TLSA
,,3044,Maurice Crum,http://www.gannett-cdn.com/media/None,Western Kentucky,,WKY
,,1344,Kasey Dunn,http://www.gannett-cdn.com/media/None,Oklahoma State,,OKST
,,285,Greg Brown,http://www.gannett-cdn.com/media/None,Auburn,,AUB
,,2681,Aaron Fletcher,http://www.gannett-cdn.com/media/None,Tulsa,,TLSA
,,263,Tim Bowens,http://www.gannett-cdn.com/media/None,South Alabama,,USA
,,1160,Ron Vanderlinden,http://www.gannett-cdn.com/media/None,Air Force,,AFA
,,2684,Calvin Lowry,http://www.gannett-cdn.com/media/None,Tulsa,,TLSA
,,2824,Ernie Lawson,http://www.gannett-cdn.com/media/None,San Diego State,,SDSU
,,3017,Todd Bates,http://www.gannett-cdn.com/media/None,Clemson,,CLEM
,,2118,D.K. McDonald,http://www.gannett-cdn.com/media/None,Iowa State,,ISU
,,1073,DeAndre Smith,http://www.gannett-cdn.com/media/None,North Carolina,,UNC
,,3054,Kenny Dillingham,http://www.gannett-cdn.com/media/None,Memphis,,MEM
,,2867,Mike Rumph,http://www.gannett-cdn.com/media/None,Miami (FL),,MIA
,,3071,Colin Hitschler,http://www.gannett-cdn.com/media/None,South Alabama,,USA
,,242,Keith Bhonapha,http://www.gannett-cdn.com/media/None,Washington,,WASH
,,461,Steve Ellis,http://www.gannett-cdn.com/media/None,Middle Tennessee,,MTSU
,,2508,Bill Brechin,http://www.gannett-cdn.com/media/None,Miami (OH),,MUO
,,3016,Beau Baldwin,http://www.gannett-cdn.com/media/None,California,,CAL
,,1449,John Garrison,http://www.gannett-cdn.com/media/None,UNLV,,UNLV
,,2273,Mike Bellamy,http://www.gannett-cdn.com/media/None,Toledo,,TOL
,,2454,Sean Lewis,http://www.gannett-cdn.com/media/None,Syracuse,,SYR
,,1364,Clark Lea,http://www.gannett-cdn.com/media/None,Notre Dame,,ND
,,2673,Mike DeBord,http://www.gannett-cdn.com/media/None,Indiana,,IU
,,1505,Jim Michalczik,http://www.gannett-cdn.com/media/None,Arizona,,ARIZ
,,1428,Charles Clark,http://www.gannett-cdn.com/media/None,Oregon,,ORE
,,2458,Kenny Perry,http://www.gannett-cdn.com/media/None,Kansas,,KU
,,3067,Ryan Gunderson,http://www.gannett-cdn.com/media/None,San Jose State,,SJSU
,,880,Cameron Norcross,http://www.gannett-cdn.com/media/None,Vanderbilt,,VAN
,,2124,Eric Morris,http://www.gannett-cdn.com/media/None,Texas Tech,,TTU
,,1261,Noel Mazzone,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/noel_mazzone_s.jpg,Texas A&M,,TAM
,,3140,Rusty Wright,http://www.gannett-cdn.com/media/None,Georgia State,,GAST
,,859,John Mumford,http://www.gannett-cdn.com/media/None,New Mexico State,,NMSU
,,441,Stanley Drayton,http://www.gannett-cdn.com/media/None,Texas,,TEX
,,2366,Blake Seiler,http://www.gannett-cdn.com/media/None,Kansas State,,KSU
,,2383,Lamar Thomas,http://www.gannett-cdn.com/media/None,Kentucky,,UK
,,3074,Reggie Jackson,http://www.gannett-cdn.com/media/None,Purdue,,PUR
,,2485,Chad Lunsford,http://www.gannett-cdn.com/media/None,Georgia Southern,,GASO
,,2486,Michael Mutz,http://www.gannett-cdn.com/media/None,Tulane,,TULN
,,2941,Brian Baker,http://www.gannett-cdn.com/media/None,Mississippi State,,MSST
,,2732,Mike Bloesch,http://www.gannett-cdn.com/media/None,Tulsa,,TLSA
,,1367,Jovon Bouknight,http://www.gannett-cdn.com/media/None,Utah State,,USU
,,1239,Marcel Yates,http://www.gannett-cdn.com/media/None,Arizona,,ARIZ
,,1351,Nick Toth,http://www.gannett-cdn.com/media/None,Air Force,,AFA
,,916,Brent Pease,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brent_pease_s.jpg,UTEP,,UTEP
,,1096,Steve Stanard,http://www.gannett-cdn.com/media/None,Syracuse,,SYR
,,662,Steve Johns,http://www.gannett-cdn.com/media/None,Navy,,NAVY
,,3022,Jack Bicknell Jr.,http://www.gannett-cdn.com/media/None,Ole Miss,,MISS
,,2645,Tim Harris Jr.,http://www.gannett-cdn.com/media/None,Florida International,,FIU
,,2787,Lanier Goethie,http://www.gannett-cdn.com/media/None,Louisiana Tech,,LT
,,2079,Eliah Drinkwitz,http://www.gannett-cdn.com/media/None,North Carolina State,,NCST
,,2586,Shawn Slocum,http://www.gannett-cdn.com/media/None,Arizona State,,AZST
,,2524,Zach Arnett,http://www.gannett-cdn.com/media/None,San Diego State,,SDSU
,,3101,Matt Mumme,http://www.gannett-cdn.com/media/None,Nevada,,NEV
,,1538,Sean Reagan,http://www.gannett-cdn.com/media/None,Troy,,TROY
,,2053,Michael Breske,http://www.gannett-cdn.com/media/None,Idaho,,IDAH
,,2077,Kerry Dixon,http://www.gannett-cdn.com/media/None,Florida,,FLA
,,3106,Chris Ostrowsky,http://www.gannett-cdn.com/media/None,Central Michigan,,CMU
,,779,Tee Martin,http://www.gannett-cdn.com/media/None,USC,,USC
,,3029,Travis Burkett,http://www.gannett-cdn.com/media/None,UNLV,,UNLV
,,571,Herb Hand,http://www.gannett-cdn.com/media/None,Auburn,,AUB
,,2674,Jeff Traylor,http://www.gannett-cdn.com/media/None,Southern Methodist,,SMU
,,3013,Cory Bailey,http://www.gannett-cdn.com/media/None,Coastal Carolina,,
,,2205,Jimmy Lake,http://www.gannett-cdn.com/media/None,Washington,,WASH
,,1182,Shawn Watson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/shawn_watson_s.jpg,Pittsburgh,,PITT
,,185,Robert Anae,http://www.gannett-cdn.com/media/None,Virginia,,UVA
,,211,Dave Baldwin,http://www.gannett-cdn.com/media/None,Oregon State,,ORST
,,172,Deke Adams,http://www.gannett-cdn.com/media/None,North Carolina,,UNC
,,3047,Brian Daboll,http://www.gannett-cdn.com/media/None,Alabama,,ALA
,,206,Jerry Azzinaro,http://www.gannett-cdn.com/media/None,California,,CAL
,,145,Brent Guy,http://www.gannett-cdn.com/media/None,Florida International,,FIU
,,2651,Andy Richman,http://www.gannett-cdn.com/media/None,New Mexico State,,NMSU
,,2957,Cory Robinson,http://www.gannett-cdn.com/media/None,Temple,,TEM
,,2160,Nicholas Tabacca,http://www.gannett-cdn.com/media/None,Wake Forest,,WAKE
,,726,Bill Legg,http://www.gannett-cdn.com/media/None,Marshall,,MRSH
,,3119,Larry Smith,http://www.gannett-cdn.com/media/None,UAB,,UAB
,,2279,Eric Brown,http://www.gannett-cdn.com/media/None,Idaho,,IDAH
,,2769,Ulrick Edmonds,http://www.gannett-cdn.com/media/None,Charlotte,,CHA
,,746,David Lockwood,http://www.gannett-cdn.com/media/None,UNLV,,UNLV
,,1094,Steve Spurrier Jr.,http://www.gannett-cdn.com/media/None,Western Kentucky,,WKY
,,2906,Rob Zeitman,http://www.gannett-cdn.com/media/None,Kent State,,KENT
,,1414,Tony Petersen,http://www.gannett-cdn.com/media/None,East Carolina,,ECU
,,892,Derrick Odum,http://www.gannett-cdn.com/media/None,San Jose State,,SJSU
,,943,Kenith Pope,http://www.gannett-cdn.com/media/None,Houston,,HOU
,,515,Rodney Garner,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rodney_garner_s.jpg,Auburn,,AUB
,,1193,Walt Wells,http://www.gannett-cdn.com/media/None,Tennessee,,TENN
,,683,Chris Kapilovic,http://www.gannett-cdn.com/media/None,North Carolina,,UNC
,,217,Jeff Banks,http://www.gannett-cdn.com/media/None,Texas A&M,,TAM
,,2865,Jon Richt,http://www.gannett-cdn.com/media/None,Miami (FL),,MIA
,,2509,Pat Welsh,http://www.gannett-cdn.com/media/None,Miami (OH),,MUO
,,2506,Corey Brown,http://www.gannett-cdn.com/media/None,Miami (OH),,MUO
,,793,Bryan McClendon,http://www.gannett-cdn.com/media/None,South Carolina,,SCAR
,,1063,Tyler Siskey,http://www.gannett-cdn.com/media/None,South Alabama,,USA
,,2682,Joseph Gillespie,http://www.gannett-cdn.com/media/None,Tulsa,,TLSA
,,254,Jim Bollman,http://www.gannett-cdn.com/media/None,Michigan State,,MSU
