Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-05, Arizona State, 92, 41, 199, 41, 25, 6, 45, 2, 0, 19, 18, 5, 2, 0, 1891, 17, Texas A&M, 178, 45, 247, 35, 19, 5, 50, 1, 2, 22, 18, 8, 1, 0, 1709, 38
2015-09-05, Morgan State, 53, 34, 142, 25, 13, 9, 55, 1, 1, 12, 16, 7, 0, 0, 1808, 7, Air Force, 394, 63, 119, 7, 4, 6, 57, 0, 0, 29, 10, 8, 0, 0, 1792, 63
2015-09-05, Akron, 138, 44, 88, 26, 6, 9, 62, 1, 0, 10, 19, 4, 0, 0, 1968, 3, Oklahoma, 100, 33, 439, 42, 28, 9, 90, 1, 1, 26, 13, 4, 1, 1, 1632, 41
2015-09-05, South Dakota, 61, 36, 205, 30, 18, 2, 11, 1, 0, 16, 18, 8, 2, 0, 1845, 0, Kansas State, 189, 41, 147, 18, 9, 8, 70, 1, 0, 16, 12, 5, 0, 0, 1755, 34
2015-09-05, Youngstown St, 129, 30, 278, 40, 20, 4, 34, 0, 0, 16, 16, 3, 2, 0, 1816, 37, Pitt, 325, 43, 133, 18, 11, 4, 23, 1, 2, 16, 14, 5, 0, 0, 1784, 45
2015-09-05, Illinois State, 35, 28, 196, 27, 16, 2, 10, 0, 0, 14, 14, 7, 1, 0, 1652, 14, Iowa, 210, 44, 221, 25, 16, 5, 51, 1, 0, 22, 12, 6, 3, 2, 1948, 31
2015-09-05, S Illinois, 248, 46, 411, 32, 24, 6, 68, 2, 0, 26, 17, 11, 0, 0, 1832, 47, Indiana, 246, 42, 349, 32, 19, 6, 43, 0, 0, 23, 13, 5, 1, 1, 1768, 48
2015-09-05, Texas, 60, 29, 103, 23, 8, 4, 50, 0, 0, 8, 14, 2, 0, 0, 1250, 3, Notre Dame, 214, 52, 313, 23, 19, 6, 39, 0, 0, 30, 14, 8, 0, 0, 2350, 38
2015-09-05, South Dakota St, 170, 39, 293, 33, 17, 3, 25, 0, 0, 25, 14, 5, 2, 2, 1796, 41, Kansas, 285, 51, 291, 40, 25, 7, 75, 1, 1, 29, 16, 7, 5, 4, 1804, 38
2015-09-05, Presbyterian, 155, 41, 163, 27, 14, 12, 97, 1, 1, 17, 16, 4, 2, 1, 2042, 7, Miami (OH), 205, 40, 261, 23, 17, 13, 126, 2, 0, 18, 13, 5, 0, 0, 1558, 26
2015-09-05, Kent State, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99, Illinois, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99
2015-09-05, Towson, 179, 44, 237, 33, 17, 5, 42, 1, 1, 27, 15, 7, 4, 1, 2016, 20, ECU, 192, 33, 235, 37, 29, 8, 89, 0, 0, 23, 17, 10, 3, 2, 1584, 28
2015-09-05, Albany (N.Y.), 141, 35, 128, 25, 13, 5, 56, 1, 2, 13, 14, 7, 0, 0, 1724, 14, Buffalo, 212, 43, 255, 29, 22, 7, 56, 0, 0, 24, 14, 5, 3, 3, 1876, 51
2015-09-05, Ga Southern, 195, 57, 29, 13, 2, 1, 15, 1, 4, 14, 16, 5, 4, 0, 2047, 0, West Virginia, 185, 40, 359, 26, 16, 5, 37, 0, 0, 21, 12, 3, 2, 1, 1553, 44
2015-09-05, UL Monroe, 45, 26, 206, 29, 23, 5, 30, 0, 1, 12, 14, 5, 0, 0, 1600, 14, Georgia, 243, 38, 192, 14, 10, 4, 30, 0, 0, 19, 9, 5, 0, 0, 1406, 51
2015-09-05, UNLV, 164, 47, 329, 40, 22, 3, 30, 0, 1, 28, 18, 8, 2, 1, 2134, 30, N Illinois, 185, 42, 360, 26, 21, 7, 55, 0, 0, 24, 13, 6, 2, 0, 1466, 38
2015-09-05, Troy, 121, 25, 184, 21, 14, 5, 54, 1, 1, 13, 9, 1, 0, 0, 1106, 21, North Carolina St, 251, 58, 199, 26, 22, 1, 15, 0, 0, 30, 13, 5, 4, 3, 2494, 49
2015-09-05, Old Dominion, 229, 41, 184, 32, 18, 6, 75, 0, 0, 25, 15, 7, 0, 0, 1663, 38, E Michigan, 256, 47, 188, 36, 22, 7, 78, 1, 2, 27, 15, 8, 2, 1, 1937, 34
2015-09-05, SE Missouri St, 135, 42, 56, 22, 12, 10, 103, 1, 0, 10, 18, 4, 0, 0, 1913, 3, Missouri, 88, 33, 319, 32, 18, 6, 44, 0, 1, 19, 14, 5, 1, 0, 1687, 34
