Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2017-11-11, Maine, 148, 29, 232, 41, 16, 12, 124, 0, 2, 17, 14, 1, 3, 1, 1711, 31, UMass, 100, 36, 355, 39, 21, 13, 96, 0, 0, 23, 14, 3, 3, 1, 1889, 44
2017-11-12, UAB, 216, 53, 49, 13, 8, 6, 61, 1, 1, 16, 14, 6, 1, 1, 1894, 24, UTSA, 137, 36, 162, 37, 17, 5, 35, 2, 1, 18, 19, 8, 2, 2, 1706, 19
2017-11-11, SMU, 165, 31, 261, 30, 16, 7, 65, 0, 2, 21, 11, 5, 1, 1, 1297, 40, Navy, 559, 72, 0, 1, 0, 5, 68, 1, 1, 24, 13, 5, 5, 3, 2303, 43
2017-11-11, Troy, 122, 36, 259, 33, 21, 4, 29, 0, 1, 24, 13, 7, 2, 2, 1731, 42, Coastal Carolina, 94, 37, 164, 28, 14, 5, 59, 0, 2, 16, 14, 3, 4, 3, 1869, 17
2017-11-11, Mid Tennessee, 202, 41, 255, 31, 18, 9, 85, 0, 0, 21, 13, 6, 1, 0, 1932, 35, Charlotte, 98, 32, 258, 30, 18, 7, 78, 0, 1, 16, 13, 3, 2, 0, 1668, 21
2017-11-11, FSU, 21, 24, 208, 32, 13, 4, 55, 1, 1, 12, 13, 3, 2, 0, 1430, 14, Clemson, 227, 52, 151, 30, 20, 7, 80, 2, 0, 24, 15, 8, 0, 0, 2170, 31
2017-11-11, Georgia, 46, 32, 184, 29, 13, 7, 75, 1, 0, 13, 14, 3, 2, 2, 1614, 17, Auburn, 237, 46, 251, 25, 17, 5, 29, 0, 0, 25, 13, 4, 0, 0, 1986, 40
2017-11-11, BYU, 265, 42, 160, 22, 14, 2, 20, 0, 0, 24, 10, 2, 2, 1, 1804, 31, UNLV, 122, 34, 325, 33, 20, 6, 75, 0, 2, 21, 14, 6, 3, 2, 1796, 21
2017-11-11, Kansas, 96, 35, 268, 43, 27, 5, 45, 1, 3, 19, 19, 7, 1, 0, 1823, 27, Texas, 113, 40, 258, 34, 24, 8, 68, 1, 1, 18, 17, 5, 6, 4, 1777, 42
2017-11-12, Notre Dame, 109, 36, 152, 27, 13, 6, 49, 1, 3, 13, 16, 6, 2, 1, 1561, 8, Miami (FL), 237, 42, 137, 24, 15, 1, 5, 0, 0, 18, 13, 2, 3, 3, 2039, 41
2017-11-11, Iowa, 25, 26, 41, 24, 8, 5, 32, 2, 1, 5, 13, 0, 1, 1, 1293, 14, Wisconsin, 247, 49, 135, 18, 11, 6, 54, 1, 3, 18, 13, 5, 0, 0, 2307, 38
2017-11-12, Oregon State, 151, 40, 209, 28, 16, 5, 39, 0, 1, 22, 14, 6, 2, 2, 2029, 28, Arizona, 534, 55, 68, 7, 5, 5, 70, 0, 1, 26, 9, 7, 0, 0, 1571, 49
2017-11-11, UConn, 212, 45, 201, 31, 18, 8, 79, 1, 1, 23, 15, 6, 3, 0, 1935, 24, UCF, 173, 35, 346, 38, 25, 10, 84, 1, 0, 22, 16, 8, 2, 0, 1665, 49
2017-11-12, Alabama, 202, 38, 242, 19, 10, 5, 60, 0, 0, 19, 10, 3, 1, 1, 1264, 31, Miss St, 172, 49, 158, 24, 13, 4, 30, 0, 0, 22, 15, 8, 0, 0, 2336, 24
2017-11-11, VT, 105, 36, 153, 26, 14, 4, 42, 0, 0, 14, 15, 4, 4, 2, 1574, 22, Georgia Tech, 261, 57, 140, 8, 2, 5, 45, 0, 1, 19, 11, 4, 3, 1, 2026, 28
2017-11-11, Rutgers, 157, 39, 43, 20, 7, 4, 41, 1, 0, 10, 15, 3, 4, 2, 1949, 6, Penn State, 90, 31, 214, 21, 16, 4, 20, 0, 0, 18, 9, 4, 0, 0, 1651, 35
2017-11-11, FAU, 194, 33, 221, 17, 14, 2, 22, 1, 0, 19, 7, 2, 2, 2, 1207, 48, LA Tech, 186, 45, 326, 51, 30, 5, 58, 0, 0, 32, 19, 7, 5, 3, 2393, 23
2017-11-11, Oklahoma State, 146, 37, 376, 31, 25, 9, 105, 0, 0, 23, 13, 5, 1, 1, 1894, 49, Iowa State, 105, 29, 386, 47, 30, 7, 40, 0, 1, 30, 13, 4, 1, 1, 1706, 42
2017-11-11, Florida, 78, 22, 223, 39, 17, 10, 56, 2, 1, 12, 15, 2, 2, 2, 1459, 20, South Carolina, 220, 47, 249, 29, 19, 3, 26, 1, 3, 24, 13, 5, 2, 1, 2141, 28
2017-11-11, Kentucky, 232, 47, 195, 17, 13, 9, 61, 1, 0, 21, 12, 5, 0, 0, 2009, 44, Vanderbilt, 60, 20, 308, 43, 30, 4, 48, 0, 4, 21, 13, 5, 3, 2, 1591, 21
2017-11-11, Michigan, 160, 38, 145, 18, 9, 1, 10, 0, 0, 16, 11, 4, 0, 0, 1658, 35, Maryland, 180, 32, 160, 38, 18, 7, 59, 0, 2, 15, 16, 3, 4, 3, 1942, 10
2017-11-11, Arkansas State, 66, 33, 299, 45, 28, 7, 40, 2, 4, 23, 15, 6, 1, 1, 1620, 19, South Alabama, -3, 32, 343, 46, 25, 9, 81, 1, 0, 18, 20, 7, 1, 1, 1980, 24
2017-11-11, W Kentucky, 34, 19, 334, 42, 28, 6, 63, 1, 1, 21, 11, 4, 2, 1, 1396, 23, Marshall, 144, 49, 190, 28, 17, 7, 69, 0, 1, 22, 16, 7, 2, 1, 2204, 30
2017-11-11, Washington, 135, 33, 190, 23, 17, 7, 73, 1, 0, 20, 8, 2, 2, 0, 1435, 22, Stanford, 195, 44, 211, 27, 16, 5, 50, 0, 0, 21, 18, 10, 1, 1, 2165, 30
2017-11-11, Wake Forest, 371, 51, 363, 38, 25, 10, 62, 1, 0, 33, 16, 8, 2, 2, 1816, 64, Syracuse, 178, 32, 443, 67, 38, 3, 25, 0, 2, 33, 18, 6, 5, 3, 1784, 43
2017-11-12, Arizona State, 294, 61, 290, 37, 21, 4, 41, 0, 1, 29, 22, 11, 3, 1, 2168, 37, UCLA, 192, 33, 381, 45, 25, 5, 39, 0, 1, 25, 16, 6, 1, 0, 1432, 44
2017-11-11, Indiana, 139, 42, 289, 48, 32, 5, 49, 0, 1, 22, 20, 5, 4, 3, 2065, 24, Illinois, 33, 30, 261, 26, 13, 8, 73, 1, 2, 10, 14, 2, 0, 0, 1535, 14
2017-11-11, Southern Miss, 186, 36, 331, 31, 22, 10, 86, 0, 0, 28, 9, 5, 2, 2, 1638, 43, Rice, 254, 49, 127, 16, 10, 3, 30, 0, 0, 26, 11, 7, 2, 1, 1962, 34
2017-11-11, USC, 193, 38, 329, 34, 21, 9, 79, 0, 0, 23, 14, 4, 3, 1, 1890, 38, Colorado, 110, 34, 376, 49, 27, 4, 45, 0, 2, 23, 17, 5, 5, 2, 1710, 24
2017-11-12, Tennessee, 146, 36, 139, 32, 16, 4, 36, 2, 2, 16, 14, 4, 1, 1, 1849, 17, Missouri, 433, 53, 226, 30, 14, 7, 60, 0, 1, 29, 13, 6, 0, 0, 1751, 50
2017-11-11, Washington St, 27, 17, 311, 69, 40, 10, 66, 0, 2, 20, 21, 10, 0, 0, 1981, 33, Utah, 62, 36, 305, 40, 21, 7, 69, 3, 4, 27, 12, 4, 0, 0, 1619, 25
2017-11-11, West Virginia, 120, 26, 372, 46, 27, 3, 21, 2, 2, 20, 12, 3, 1, 1, 1439, 28, Kansas State, 173, 42, 159, 26, 13, 5, 61, 0, 2, 14, 15, 2, 0, 0, 2161, 23
2017-11-12, Boise State, 310, 39, 331, 45, 23, 6, 54, 1, 1, 33, 13, 9, 0, 0, 1466, 59, Colorado State, 261, 52, 309, 43, 29, 2, 19, 1, 1, 33, 16, 8, 1, 1, 2134, 52
2017-11-12, TCU, 155, 32, 269, 29, 14, 7, 60, 0, 0, 19, 13, 4, 1, 0, 1551, 20, Oklahoma, 200, 41, 333, 27, 18, 4, 29, 0, 0, 21, 13, 5, 2, 1, 2049, 38
2017-11-11, Michigan State, 64, 34, 131, 36, 18, 5, 58, 1, 2, 15, 17, 4, 3, 2, 2084, 3, OSU, 335, 42, 189, 23, 15, 2, 27, 0, 2, 25, 12, 7, 0, 0, 1516, 48
2017-11-12, Oregon State, 151, 40, 209, 28, 16, 5, 39, 0, 1, 22, 14, 6, 2, 2, 2029, 28, Arizona, 534, 55, 68, 7, 5, 5, 70, 0, 1, 26, 9, 7, 0, 0, 1571, 49
2017-11-12, Boise State, 310, 39, 331, 45, 23, 6, 54, 1, 1, 33, 13, 9, 0, 0, 1466, 59, Colorado State, 261, 52, 309, 43, 29, 2, 19, 1, 1, 33, 16, 8, 1, 1, 2134, 52
2017-11-12, TCU, 155, 32, 269, 29, 14, 7, 60, 0, 0, 19, 13, 4, 1, 0, 1551, 20, Oklahoma, 200, 41, 333, 27, 18, 4, 29, 0, 0, 21, 13, 5, 2, 1, 2049, 38
2017-11-12, Old Dominion, 199, 36, 240, 24, 17, 2, 15, 0, 0, 21, 10, 3, 1, 0, 1595, 37, FIU, 164, 35, 323, 50, 35, 9, 84, 2, 0, 27, 18, 7, 3, 2, 2005, 30
2017-11-12, Fresno State, 175, 36, 226, 36, 19, 6, 46, 0, 2, 24, 12, 5, 0, 0, 1864, 31, Hawaii, 118, 37, 154, 31, 18, 4, 36, 1, 1, 16, 15, 7, 2, 1, 1736, 21
2017-11-12, Alabama, 202, 38, 242, 19, 10, 5, 60, 0, 0, 19, 10, 3, 1, 1, 1264, 31, Miss St, 172, 49, 158, 24, 13, 4, 30, 0, 0, 22, 15, 8, 0, 0, 2336, 24
2017-11-12, Notre Dame, 109, 36, 152, 27, 13, 6, 49, 1, 3, 13, 16, 6, 2, 1, 1561, 8, Miami (FL), 237, 42, 137, 24, 15, 1, 5, 0, 0, 18, 13, 2, 3, 3, 2039, 41
2017-11-12, UAB, 216, 53, 49, 13, 8, 6, 61, 1, 1, 16, 14, 6, 1, 1, 1894, 24, UTSA, 137, 36, 162, 37, 17, 5, 35, 2, 1, 18, 19, 8, 2, 2, 1706, 19
2017-11-12, Arizona State, 294, 61, 290, 37, 21, 4, 41, 0, 1, 29, 22, 11, 3, 1, 2168, 37, UCLA, 192, 33, 381, 45, 25, 5, 39, 0, 1, 25, 16, 6, 1, 0, 1432, 44
2017-11-12, Tulane, 325, 52, 121, 20, 12, 8, 70, 1, 2, 22, 15, 6, 3, 3, 2051, 31, ECU, 161, 32, 228, 53, 25, 2, 20, 0, 1, 24, 18, 8, 5, 2, 1549, 24
2017-11-12, New Mexico, 120, 42, 24, 17, 7, 2, 19, 0, 1, 11, 14, 4, 0, 0, 2079, 14, Texas A&M, 63, 23, 499, 43, 30, 6, 69, 0, 0, 25, 11, 5, 0, 0, 1521, 55
2017-11-12, Purdue, 40, 22, 398, 61, 38, 5, 50, 0, 1, 22, 19, 7, 4, 1, 1633, 13, Northwestern, 94, 38, 296, 46, 26, 4, 40, 0, 0, 22, 22, 9, 4, 2, 1967, 23
2017-11-12, Wyoming, 100, 43, 129, 15, 11, 5, 50, 1, 0, 16, 11, 4, 0, 0, 1699, 28, Air Force, 203, 61, 175, 22, 10, 5, 55, 2, 1, 22, 18, 6, 6, 2, 1901, 14
2017-11-12, Tennessee, 146, 36, 139, 32, 16, 4, 36, 2, 2, 16, 14, 4, 1, 1, 1849, 17, Missouri, 433, 53, 226, 30, 14, 7, 60, 0, 1, 29, 13, 6, 0, 0, 1751, 50
