School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Connecticut,3,2003-08-30,1,,Indiana,28,W,34,10,24,26,42,61.9,307,3,1,38,200,5.3,1,0,1,4,13,29,44.8,211,1,42,110,2.6,0,3,0,3,1
Duke,15,2003-08-30,1,@,Virginia,24,L,0,27,-27,11,29,37.9,120,0,0,35,152,4.3,0,0,0,0,12,22,54.5,169,1,41,204,5.0,2,0,0,0,3
Florida,110,2003-08-30,1,,San Jose St.,91,W,65,3,62,27,41,65.9,357,3,1,34,155,4.6,3,1,2,8,19,37,51.4,98,0,27,87,3.2,0,1,2,3,0
Florida St.,16,2003-08-30,1,@,North Carolina,21,W,37,0,37,24,37,64.9,317,1,0,42,236,5.6,4,2,2,5,27,47,57.4,223,0,27,72,2.7,0,1,2,3,0
Fresno St.,86,2003-08-30,1,@,Tennessee,118,L,6,24,-18,13,24,54.2,118,0,0,24,-1,0.0,0,0,0,1,18,31,58.1,159,2,44,274,6.2,1,0,2,2,3
Georgia,111,2003-08-30,1,@,Clemson,14,W,30,0,30,13,21,61.9,214,1,0,49,197,4.0,2,0,0,3,20,37,54.1,164,0,24,35,1.5,0,2,1,3,0
Hawaii,87,2003-08-30,1,,Appalachian St.,121,W,40,17,23,22,38,57.9,359,3,3,27,91,3.4,1,0,3,5,13,23,56.5,137,2,36,122,3.4,0,0,1,1,2
Houston,5,2003-08-30,1,,Rice,59,W,48,14,34,17,23,73.9,246,2,0,49,194,4.0,4,0,0,6,6,13,46.2,36,0,46,206,4.5,2,0,2,2,2
Idaho,133,2003-08-30,1,N,Washington St.,106,L,0,25,-25,16,36,44.4,167,0,3,26,83,3.2,0,0,3,0,13,23,56.5,127,0,50,339,6.8,2,1,1,2,2
Illinois,27,2003-08-30,1,N,Missouri,115,L,15,22,-7,31,45,68.9,284,1,0,34,127,3.7,0,1,1,1,12,18,66.7,102,2,41,121,3.0,1,0,0,0,3
Indiana,28,2003-08-30,1,@,Connecticut,3,L,10,34,-24,13,29,44.8,211,1,0,42,110,2.6,0,3,3,1,26,42,61.9,307,3,38,200,5.3,1,0,1,1,4
Iowa,29,2003-08-30,1,,Miami (OH),78,W,21,3,18,12,19,63.2,129,2,0,40,232,5.8,1,1,1,3,27,42,64.3,250,0,29,54,1.9,0,0,4,4,0
Iowa St.,42,2003-08-30,1,,Northern Iowa,186,W,17,10,7,9,18,50.0,158,1,1,45,169,3.8,1,0,1,2,21,33,63.6,142,0,37,119,3.2,1,0,0,0,1
Kansas,43,2003-08-30,1,,Northwestern,35,L,20,28,-8,13,30,43.3,255,1,2,27,100,3.7,0,3,5,3,23,36,63.9,219,0,51,248,4.9,4,0,1,1,4
Kansas St.,44,2003-08-30,2,,Troy,129,W,41,5,36,10,24,41.7,245,1,2,43,147,3.4,4,1,3,6,11,30,36.7,99,0,37,39,1.1,0,1,2,3,0
Louisiana,126,2003-08-30,1,@,South Carolina,117,L,7,14,-7,12,27,44.4,134,0,1,35,134,3.8,0,2,3,1,16,34,47.1,185,1,36,141,3.9,1,1,0,1,2
UL Monroe,130,2003-08-30,1,@,LSU,113,L,7,49,-42,15,34,44.1,181,0,1,26,59,2.3,1,1,2,1,18,35,51.4,306,4,43,168,3.9,2,0,1,1,7
LSU,113,2003-08-30,1,,UL Monroe,130,W,49,7,42,18,35,51.4,306,4,1,43,168,3.9,2,0,1,7,15,34,44.1,181,0,26,59,2.3,1,1,1,2,1
Marshall,55,2003-08-30,1,,Hofstra,326,W,45,21,24,26,38,68.4,347,2,3,50,261,5.2,4,2,5,6,15,31,48.4,125,1,27,116,4.3,2,1,0,1,3
Memphis,6,2003-08-30,1,,Tennessee Tech,208,W,40,10,30,24,38,63.2,390,2,0,44,177,4.0,3,0,0,5,16,30,53.3,183,1,25,138,5.5,0,2,0,2,1
Miami (OH),78,2003-08-30,1,@,Iowa,29,L,3,21,-18,27,42,64.3,250,0,4,29,54,1.9,0,0,4,0,12,19,63.2,129,2,40,232,5.8,1,1,0,1,3
Michigan,31,2003-08-30,1,,Central Michigan,75,W,45,7,38,22,36,61.1,273,2,1,46,342,7.4,4,0,1,6,18,29,62.1,150,0,45,218,4.8,1,1,1,2,1
Michigan St.,32,2003-08-30,1,,Western Michigan,82,W,26,21,5,21,34,61.8,324,3,2,30,97,3.2,0,0,2,3,30,50,60.0,333,2,24,6,0.3,1,0,2,2,3
Minnesota,33,2003-08-30,1,,Tulsa,12,W,49,10,39,16,26,61.5,277,3,0,49,254,5.2,4,0,0,7,18,32,56.3,171,0,37,94,2.5,1,0,0,0,1
Mississippi St.,114,2003-08-30,1,,Oregon,99,L,34,42,-8,23,40,57.5,285,3,1,22,124,5.6,2,2,3,5,22,29,75.9,358,4,51,198,3.9,2,2,0,2,6
Missouri,115,2003-08-30,1,N,Illinois,27,W,22,15,7,12,18,66.7,102,2,0,41,121,3.0,1,0,0,3,31,45,68.9,284,1,34,127,3.7,0,1,0,1,1
Navy,7,2003-08-30,1,,VMI,233,W,37,10,27,11,23,47.8,228,0,1,53,370,7.0,5,1,2,5,16,29,55.2,165,0,40,131,3.3,1,2,1,3,1
Nebraska,34,2003-08-30,1,,Oklahoma St.,46,W,17,7,10,8,16,50.0,78,0,1,65,268,4.1,1,1,2,2,13,28,46.4,97,1,30,86,2.9,0,2,3,5,1
Nevada,88,2003-08-30,1,,Southern Utah,141,W,24,23,1,19,32,59.4,195,2,0,46,203,4.4,0,3,3,3,27,49,55.1,261,2,25,77,3.1,0,1,3,4,3
New Mexico,89,2003-08-30,1,,Texas St.,128,W,72,8,64,15,23,65.2,257,4,1,54,299,5.5,6,0,1,10,27,60,45.0,321,1,24,59,2.5,0,1,2,3,1
North Carolina,21,2003-08-30,1,,Florida St.,16,L,0,37,-37,27,47,57.4,223,0,2,27,72,2.7,0,1,3,0,24,37,64.9,317,1,42,236,5.6,4,2,0,2,5
NC State,20,2003-08-30,1,,Western Carolina,234,W,59,20,39,34,39,87.2,403,4,0,34,91,2.7,3,1,1,8,22,41,53.7,192,1,24,43,1.8,2,0,0,0,3
North Texas,57,2003-08-30,1,@,Oklahoma,45,L,3,37,-34,7,25,28.0,79,0,1,35,75,2.1,0,1,2,0,28,41,68.3,286,4,32,105,3.3,0,0,1,1,4
Northwestern,35,2003-08-30,1,@,Kansas,43,W,28,20,8,23,36,63.9,219,0,1,51,248,4.9,4,0,1,4,13,30,43.3,255,1,27,100,3.7,0,3,2,5,3
Ohio St.,36,2003-08-30,1,,Washington,105,W,28,9,19,15,28,53.6,203,0,0,43,142,3.3,4,2,2,4,26,49,53.1,255,0,24,7,0.3,1,0,0,0,1
Oklahoma,45,2003-08-30,1,,North Texas,57,W,37,3,34,28,41,68.3,286,4,1,32,105,3.3,0,0,1,4,7,25,28.0,79,0,35,75,2.1,0,1,1,2,0
Oklahoma St.,46,2003-08-30,1,@,Nebraska,34,L,7,17,-10,13,28,46.4,97,1,3,30,86,2.9,0,2,5,1,8,16,50.0,78,0,65,268,4.1,1,1,1,2,2
Ole Miss,116,2003-08-30,1,@,Vanderbilt,120,W,24,21,3,22,33,66.7,275,1,0,33,95,2.9,1,1,1,2,21,33,63.6,298,3,38,101,2.7,0,1,1,2,3
Oregon,99,2003-08-30,1,@,Mississippi St.,114,W,42,34,8,22,29,75.9,358,4,0,51,198,3.9,2,2,2,6,23,40,57.5,285,3,22,124,5.6,2,2,1,3,5
Penn State,37,2003-08-30,1,,Temple,10,W,23,10,13,6,19,31.6,79,1,1,41,231,5.6,1,0,1,2,17,37,45.9,195,0,40,162,4.1,1,0,0,0,1
Rice,59,2003-08-30,1,@,Houston,5,L,14,48,-34,6,13,46.2,36,0,2,46,206,4.5,2,0,2,2,17,23,73.9,246,2,49,194,4.0,4,0,0,0,6
Rutgers,39,2003-08-30,1,,Buffalo,74,W,24,10,14,21,31,67.7,225,1,0,43,181,4.2,1,0,0,3,7,21,33.3,60,0,41,232,5.7,1,1,0,1,1
San Diego St.,90,2003-08-30,1,,Eastern Washington,132,W,19,9,10,17,33,51.5,151,0,1,34,167,4.9,2,1,2,2,17,33,51.5,100,1,43,117,2.7,0,0,0,0,1
San Jose St.,91,2003-08-30,2,@,Florida,110,L,3,65,-62,19,37,51.4,98,0,2,27,87,3.2,0,1,3,0,27,41,65.9,357,3,34,155,4.6,3,1,1,2,8
SMU,8,2003-08-30,1,@,Texas Tech,49,L,10,58,-48,21,44,47.7,195,1,3,40,85,2.1,0,1,4,1,26,41,63.4,314,3,23,123,5.3,3,1,1,2,8
South Carolina,117,2003-08-30,1,,Louisiana,126,W,14,7,7,16,34,47.1,185,1,0,36,141,3.9,1,1,1,2,12,27,44.4,134,0,35,134,3.8,0,2,1,3,1
South Florida,9,2003-08-30,1,@,Alabama,107,L,17,40,-23,18,34,52.9,205,1,1,22,51,2.3,1,2,3,2,14,27,51.9,203,1,48,188,3.9,2,1,0,1,5
Southern Miss,60,2003-08-30,1,@,California,97,L,2,34,-32,20,34,58.8,212,0,1,36,65,1.8,0,0,1,0,11,18,61.1,157,2,48,260,5.4,1,1,0,1,4
Temple,10,2003-08-30,1,@,Penn State,37,L,10,23,-13,17,37,45.9,195,0,0,40,162,4.1,1,0,0,1,6,19,31.6,79,1,41,231,5.6,1,0,1,1,2
Tennessee,118,2003-08-30,1,,Fresno St.,86,W,24,6,18,18,31,58.1,159,2,2,44,274,6.2,1,0,2,3,13,24,54.2,118,0,24,-1,0.0,0,0,0,0,1
Texas A&M,119,2003-08-30,1,,Arkansas St.,122,W,26,11,15,12,20,60.0,126,0,2,34,131,3.9,2,1,3,2,11,20,55.0,94,0,38,114,3.0,0,1,1,2,1
Texas Tech,49,2003-08-30,1,,SMU,8,W,58,10,48,26,41,63.4,314,3,1,23,123,5.3,3,1,2,8,21,44,47.7,195,1,40,85,2.1,0,1,3,4,1
Troy,129,2003-08-30,1,@,Kansas St.,44,L,5,41,-36,11,30,36.7,99,0,2,37,39,1.1,0,1,3,0,10,24,41.7,245,1,43,147,3.4,4,1,2,3,6
Tulsa,12,2003-08-30,1,@,Minnesota,33,L,10,49,-39,18,32,56.3,171,0,0,37,94,2.5,1,0,0,1,16,26,61.5,277,3,49,254,5.2,4,0,0,0,7
UAB,61,2003-08-30,1,@,Baylor,41,W,24,19,5,14,31,45.2,254,2,0,35,149,4.3,1,1,1,3,20,38,52.6,227,2,37,166,4.5,0,1,0,1,2
USC,103,2003-08-30,1,@,Auburn,109,W,23,0,23,17,30,56.7,192,1,0,36,123,3.4,1,0,0,2,12,26,46.2,121,0,36,43,1.2,0,2,1,3,0
UTEP,62,2003-08-30,1,@,Arizona,95,L,7,42,-35,21,43,48.8,204,0,1,33,71,2.2,0,2,3,1,14,26,53.8,229,2,43,217,5.0,4,0,2,2,6
Vanderbilt,120,2003-08-30,1,,Ole Miss,116,L,21,24,-3,21,33,63.6,298,3,1,38,101,2.7,0,1,2,3,22,33,66.7,275,1,33,95,2.9,1,1,0,1,2
Virginia,24,2003-08-30,1,,Duke,15,W,27,0,27,12,22,54.5,169,1,0,41,204,5.0,2,0,0,3,11,29,37.9,120,0,35,152,4.3,0,0,0,0,0
Wake Forest,26,2003-08-30,1,@,Boston College,13,W,32,28,4,13,23,56.5,149,2,2,40,160,4.0,2,1,3,5,26,44,59.1,292,2,46,155,3.4,2,3,0,3,4
Washington,105,2003-08-30,1,@,Ohio St.,36,L,9,28,-19,26,49,53.1,255,0,0,24,7,0.3,1,0,0,1,15,28,53.6,203,0,43,142,3.3,4,2,0,2,4
Washington St.,106,2003-08-30,1,N,Idaho,133,W,25,0,25,13,23,56.5,127,0,1,50,339,6.8,2,1,2,2,16,36,44.4,167,0,26,83,3.2,0,0,3,3,0
West Virginia,50,2003-08-30,1,,Wisconsin,40,L,17,24,-7,15,26,57.7,138,0,0,38,162,4.3,2,0,0,2,20,34,58.8,215,1,45,223,5.0,1,0,0,0,3
Western Michigan,82,2003-08-30,1,@,Michigan St.,32,L,21,26,-5,30,50,60.0,333,2,2,24,6,0.3,1,0,2,3,21,34,61.8,324,3,30,97,3.2,0,0,2,2,3
Wisconsin,40,2003-08-30,1,@,West Virginia,50,W,24,17,7,20,34,58.8,215,1,0,45,223,5.0,1,0,0,3,15,26,57.7,138,0,38,162,4.3,2,0,0,0,2
Wyoming,94,2003-08-30,1,,Montana State,136,W,21,10,11,17,28,60.7,203,1,0,30,31,1.0,1,1,1,3,18,39,46.2,223,1,33,130,3.9,0,1,4,5,1
Kentucky,112,2003-08-31,1,,Louisville,18,L,24,40,-16,18,32,56.3,236,2,2,36,108,3.0,1,0,2,3,14,23,60.9,180,1,44,240,5.5,3,0,1,1,5
Louisville,18,2003-08-31,1,@,Kentucky,112,W,40,24,16,14,23,60.9,180,1,1,44,240,5.5,3,0,1,5,18,32,56.3,236,2,36,108,3.0,1,0,2,2,3
New Mexico State,69,2003-08-31,1,@,Texas,48,L,7,66,-59,8,15,53.3,75,0,3,55,150,2.7,1,2,5,1,8,16,50.0,216,2,33,168,5.1,3,1,0,1,9
Texas,48,2003-08-31,1,,New Mexico State,69,W,66,7,59,8,16,50.0,216,2,0,33,168,5.1,3,1,1,9,8,15,53.3,75,0,55,150,2.7,1,2,3,5,1
Central Florida,1,2003-08-31,1,@,Virginia Tech,25,L,28,49,-21,24,36,66.7,259,3,1,19,76,4.0,1,1,2,4,29,38,76.3,380,4,43,152,3.5,2,1,0,1,7
Virginia Tech,25,2003-08-31,1,,Central Florida,1,W,49,28,21,29,38,76.3,380,4,0,43,152,3.5,2,1,1,7,24,36,66.7,259,3,19,76,4.0,1,1,1,2,4
Cincinnati,2,2003-09-01,1,,East Carolina,4,W,40,3,37,14,27,51.9,128,1,0,56,361,6.4,4,2,2,5,16,26,61.5,146,0,32,57,1.8,0,0,1,1,0
East Carolina,4,2003-09-01,1,@,Cincinnati,2,L,3,40,-37,16,26,61.5,146,0,1,32,57,1.8,0,0,1,0,14,27,51.9,128,1,56,361,6.4,4,2,0,2,5
TCU,47,2003-09-01,1,@,Tulane,11,W,38,35,3,17,27,63.0,243,1,1,61,221,3.6,4,2,3,5,25,43,58.1,303,2,26,66,2.5,1,0,2,2,5
Tulane,11,2003-09-01,1,,TCU,47,L,35,38,-3,25,43,58.1,303,2,2,26,66,2.5,1,0,2,5,17,27,63.0,243,1,61,221,3.6,4,2,1,3,5
Eastern Michigan,76,2003-09-04,2,,Western Illinois,190,L,12,34,-22,26,44,59.1,252,0,0,21,-2,-0.1,0,1,1,0,9,21,42.9,201,0,48,203,4.2,4,2,0,2,5
Southern Miss,60,2003-09-04,2,@,UAB,61,W,17,12,5,14,20,70.0,197,1,1,48,117,2.4,1,1,2,2,23,37,62.2,262,1,32,114,3.6,0,4,0,4,1
UAB,61,2003-09-04,2,,Southern Miss,60,L,12,17,-5,23,37,62.2,262,1,0,32,114,3.6,0,4,4,1,14,20,70.0,197,1,48,117,2.4,1,1,1,2,2
Fresno St.,86,2003-09-05,2,,Oregon St.,100,W,16,14,2,22,49,44.9,276,1,3,32,60,1.9,0,0,3,1,15,44,34.1,285,1,38,121,3.2,1,0,5,5,2
Oregon St.,100,2003-09-05,2,@,Fresno St.,86,L,14,16,-2,15,44,34.1,285,1,5,38,121,3.2,1,0,5,2,22,49,44.9,276,1,32,60,1.9,0,0,3,3,1
Air Force,83,2003-09-06,2,@,Northwestern,35,W,22,21,1,6,12,50.0,139,0,0,53,270,5.1,2,2,2,3,15,38,39.5,234,1,41,218,5.3,2,0,4,4,3
Akron,71,2003-09-06,2,@,Wisconsin,40,L,31,48,-17,31,52,59.6,372,1,2,40,162,4.1,3,0,2,4,14,25,56.0,281,2,44,310,7.0,4,1,1,2,6
Alabama,107,2003-09-06,2,,Oklahoma,45,L,13,20,-7,24,42,57.1,195,1,2,32,108,3.4,0,0,2,1,22,36,61.1,281,2,27,74,2.7,0,0,0,0,2
Arizona,95,2003-09-06,2,,LSU,113,L,13,59,-46,10,32,31.3,91,0,2,27,91,3.4,1,1,3,2,19,25,76.0,299,2,56,182,3.3,5,3,1,4,8
Arizona St.,96,2003-09-06,1,,Northern Arizona,137,W,34,14,20,16,26,61.5,234,4,0,31,137,4.4,0,1,1,5,25,40,62.5,315,2,36,57,1.6,0,0,1,1,2
Arkansas,108,2003-09-06,1,,Tulsa,12,W,45,13,32,11,20,55.0,188,2,0,37,294,7.9,4,0,0,6,16,36,44.4,159,0,39,212,5.4,1,0,1,1,1
Arkansas St.,122,2003-09-06,2,,Tennessee-Martin,209,W,63,6,57,8,19,42.1,90,0,0,44,437,9.9,8,2,2,9,20,34,58.8,180,1,32,73,2.3,0,2,0,2,1
Army,65,2003-09-06,1,,Connecticut,3,L,21,48,-27,26,51,51.0,200,2,1,37,44,1.2,0,0,1,3,26,36,72.2,317,5,31,164,5.3,2,0,2,2,7
Auburn,109,2003-09-06,2,@,Georgia Tech,17,L,3,17,-14,20,33,60.6,190,0,1,38,40,1.1,0,1,2,0,9,21,42.9,149,1,39,102,2.6,1,1,0,1,2
Ball St.,72,2003-09-06,2,,Missouri,115,L,7,35,-28,23,34,67.6,203,1,0,28,41,1.5,0,0,0,1,18,29,62.1,171,1,47,290,6.2,4,0,0,0,5
Baylor,41,2003-09-06,2,@,North Texas,57,L,14,52,-38,19,29,65.5,183,1,3,33,85,2.6,1,3,6,2,9,15,60.0,124,0,47,327,7.0,6,1,1,2,7
Boise St.,84,2003-09-06,1,,Idaho State,134,W,62,0,62,20,39,51.3,328,2,0,47,259,5.5,6,2,2,8,23,53,43.4,146,0,17,6,0.4,0,1,2,3,0
Boston College,13,2003-09-06,2,@,Penn State,37,W,27,14,13,10,22,45.5,145,2,1,46,238,5.2,1,0,1,3,19,39,48.7,185,0,38,133,3.5,2,2,1,3,2
Bowling Green,73,2003-09-06,2,@,Purdue,38,W,27,26,1,22,40,55.0,357,3,1,41,50,1.2,0,0,1,3,26,42,61.9,255,3,28,95,3.4,0,1,0,1,3
BYU,66,2003-09-06,2,@,USC,103,L,18,35,-17,29,46,63.0,313,1,3,26,46,1.8,0,2,5,1,19,34,55.9,235,3,33,71,2.2,1,0,3,3,5
Buffalo,74,2003-09-06,2,@,Iowa,29,L,7,56,-49,7,19,36.8,58,0,1,56,227,4.1,1,2,3,1,12,19,63.2,150,2,45,292,6.5,4,0,0,0,8
California,97,2003-09-06,3,,Colorado St.,85,L,21,23,-2,23,35,65.7,248,3,2,31,51,1.6,0,0,2,3,15,24,62.5,317,2,39,131,3.4,0,1,1,2,2
Central Michigan,75,2003-09-06,2,,New Hampshire,157,W,40,33,7,19,28,67.9,172,1,0,60,352,5.9,4,2,2,5,25,44,56.8,212,2,38,149,3.9,2,1,1,2,4
Clemson,14,2003-09-06,2,,Furman,230,W,28,17,11,23,31,74.2,301,2,1,40,124,3.1,1,0,1,4,10,15,66.7,80,1,48,94,2.0,1,1,0,1,2
Colorado,98,2003-09-06,2,,UCLA,102,W,16,14,2,21,31,67.7,157,1,0,47,88,1.9,1,1,1,2,17,30,56.7,205,2,26,38,1.5,0,1,0,1,2
Colorado St.,85,2003-09-06,2,@,California,97,W,23,21,2,15,24,62.5,317,2,1,39,131,3.4,0,1,2,2,23,35,65.7,248,3,31,51,1.6,0,0,2,2,3
Connecticut,3,2003-09-06,2,@,Army,65,W,48,21,27,26,36,72.2,317,5,2,31,164,5.3,2,0,2,7,26,51,51.0,200,2,37,44,1.2,0,0,1,1,3
Duke,15,2003-09-06,2,,Western Carolina,234,W,29,3,26,18,29,62.1,181,2,0,57,215,3.8,2,0,0,4,18,33,54.5,181,0,19,4,0.2,0,1,3,4,0
East Carolina,4,2003-09-06,2,,West Virginia,50,L,7,48,-41,25,38,65.8,226,0,2,36,102,2.8,1,3,5,1,11,18,61.1,194,4,48,361,7.5,3,0,0,0,7
Florida,110,2003-09-06,2,@,Miami (FL),19,L,33,38,-5,18,27,66.7,219,1,1,39,178,4.6,2,0,1,4,27,41,65.9,340,2,30,114,3.8,2,2,2,4,5
Florida St.,16,2003-09-06,2,,Maryland,30,W,35,10,25,17,30,56.7,231,2,1,46,196,4.3,3,0,1,5,14,31,45.2,124,0,31,73,2.4,0,2,1,3,1
Georgia,111,2003-09-06,2,,Middle Tennessee,56,W,29,10,19,25,35,71.4,317,0,0,36,150,4.2,3,0,0,3,18,25,72.0,173,1,27,67,2.5,0,1,0,1,1
Georgia Tech,17,2003-09-06,2,,Auburn,109,W,17,3,14,9,21,42.9,149,1,0,39,102,2.6,1,1,1,2,20,33,60.6,190,0,38,40,1.1,0,1,1,2,0
