School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Bowling Green,73,2004-09-04,1,@,Oklahoma,45,L,24,40,-16,24,41,58.5,218,2,0,19,51,2.7,0,1,1,3,21,31,67.7,238,3,52,258,5.0,2,1,1,2,5
BYU,66,2004-09-04,1,,Notre Dame,70,W,20,17,3,22,33,66.7,263,1,1,35,22,0.6,1,1,2,2,26,47,55.3,265,1,21,11,0.5,0,1,0,1,2
California,97,2004-09-04,1,@,Air Force,83,W,56,14,42,12,18,66.7,231,1,0,44,342,7.8,7,0,0,8,9,18,50.0,89,1,53,182,3.4,1,1,1,2,2
Central Michigan,75,2004-09-04,1,@,Indiana,28,L,10,41,-31,23,43,53.5,275,1,2,34,114,3.4,0,0,2,1,11,17,64.7,131,1,51,203,4.0,4,2,0,2,6
Cincinnati,2,2004-09-04,1,@,Ohio St.,36,L,6,27,-21,17,37,45.9,162,0,0,26,76,2.9,0,0,0,0,16,29,55.2,242,2,43,220,5.1,1,1,2,3,3
Clemson,14,2004-09-04,1,,Wake Forest,26,W,37,30,7,20,41,48.8,288,2,2,35,83,2.4,1,1,3,4,10,25,40.0,156,1,54,254,4.7,2,1,0,1,3
Colorado,98,2004-09-04,1,,Colorado St.,85,W,27,24,3,13,25,52.0,117,0,1,45,255,5.7,2,0,1,3,29,42,69.0,403,2,28,44,1.6,1,0,1,1,3
Colorado St.,85,2004-09-04,1,@,Colorado,98,L,24,27,-3,29,42,69.0,403,2,1,28,44,1.6,1,0,1,3,13,25,52.0,117,0,45,255,5.7,2,0,1,1,3
Connecticut,3,2004-09-04,1,,Murray State,205,W,52,14,38,20,32,62.5,386,5,2,40,144,3.6,1,0,2,7,7,19,36.8,91,0,39,76,1.9,1,0,1,1,2
Duke,15,2004-09-04,1,@,Navy,7,L,12,27,-15,13,22,59.1,90,0,0,39,175,4.5,1,0,0,1,8,9,88.9,129,1,57,301,5.3,3,3,0,3,4
East Carolina,4,2004-09-04,1,@,West Virginia,50,L,23,56,-33,26,51,51.0,322,3,2,28,59,2.1,0,1,3,3,6,15,40.0,143,1,56,478,8.5,6,0,2,2,8
Florida A&M,175,2004-09-04,1,@,Illinois,27,L,13,52,-39,37,55,67.3,287,0,2,25,71,2.8,2,1,3,2,18,23,78.3,258,1,48,296,6.2,5,0,0,0,7
Florida Atlantic,52,2004-09-04,1,@,Hawaii,87,W,35,28,7,29,46,63.0,298,2,3,39,147,3.8,2,0,3,4,38,66,57.6,302,2,10,27,2.7,2,0,0,0,4
Georgia,111,2004-09-04,1,,Georgia Southern,124,W,48,28,20,11,22,50.0,231,1,0,31,191,6.2,4,0,0,6,6,15,40.0,54,1,63,294,4.7,3,1,1,2,4
Georgia Tech,17,2004-09-04,1,,Samford,232,W,28,7,21,14,22,63.6,201,2,1,45,268,6.0,2,1,2,4,29,44,65.9,169,1,16,42,2.6,0,1,0,1,1
Hawaii,87,2004-09-04,1,,Florida Atlantic,52,L,28,35,-7,38,66,57.6,302,2,0,10,27,2.7,2,0,0,4,29,46,63.0,298,2,39,147,3.8,2,0,3,3,4
Idaho,133,2004-09-04,1,@,Boise St.,84,L,7,65,-58,13,29,44.8,91,0,1,33,121,3.7,1,1,2,1,16,22,72.7,318,0,47,254,5.4,8,2,1,3,9
Illinois,27,2004-09-04,1,,Florida A&M,175,W,52,13,39,18,23,78.3,258,1,0,48,296,6.2,5,0,0,7,37,55,67.3,287,0,25,71,2.8,2,1,2,3,2
Indiana,28,2004-09-04,1,,Central Michigan,75,W,41,10,31,11,17,64.7,131,1,0,51,203,4.0,4,2,2,6,23,43,53.5,275,1,34,114,3.4,0,0,2,2,1
Iowa,29,2004-09-04,1,,Kent State,77,W,39,7,32,18,30,60.0,223,2,1,60,214,3.6,2,0,1,5,19,36,52.8,123,0,19,-13,-0.7,0,2,2,4,1
Iowa St.,42,2004-09-04,1,,Northern Iowa,186,W,23,0,23,17,28,60.7,176,2,0,56,202,3.6,1,0,0,3,8,19,42.1,63,0,32,36,1.1,0,0,0,0,0
Kansas,43,2004-09-04,1,,Tulsa,12,W,21,3,18,14,31,45.2,99,1,1,36,102,2.8,1,0,1,2,11,24,45.8,91,0,35,50,1.4,0,1,2,3,0
Kansas St.,44,2004-09-04,1,,Western Kentucky,64,W,27,13,14,14,21,66.7,196,0,0,60,306,5.1,3,1,1,3,10,21,47.6,182,1,25,77,3.1,1,0,0,0,2
Kent State,77,2004-09-04,1,@,Iowa,29,L,7,39,-32,19,36,52.8,123,0,2,19,-13,-0.7,0,2,4,1,18,30,60.0,223,2,60,214,3.6,2,0,1,1,5
Louisiana,126,2004-09-04,1,,Northwestern State,243,W,14,7,7,17,26,65.4,176,1,1,42,112,2.7,1,1,2,2,16,31,51.6,166,1,40,177,4.4,0,3,1,4,1
UL Monroe,130,2004-09-04,1,@,Auburn,109,L,0,31,-31,17,23,73.9,99,0,1,35,140,4.0,0,2,3,0,14,24,58.3,186,2,41,194,4.7,2,1,1,2,4
LSU,113,2004-09-04,1,,Oregon St.,100,W,22,21,1,16,44,36.4,211,2,1,30,91,3.0,1,1,2,3,26,47,55.3,231,3,31,84,2.7,0,2,1,3,3
Marshall,55,2004-09-04,1,,Troy,129,L,15,17,-2,14,28,50.0,152,1,1,34,25,0.7,0,1,2,1,13,27,48.1,196,0,42,65,1.5,2,0,2,2,2
Maryland,30,2004-09-04,1,,Northern Illinois,79,W,23,20,3,12,22,54.5,169,0,1,46,198,4.3,2,2,3,2,19,37,51.4,219,1,38,118,3.1,0,1,2,3,2
Memphis,6,2004-09-04,1,@,Ole Miss,116,W,20,13,7,21,43,48.8,266,1,1,44,126,2.9,1,0,1,2,11,31,35.5,182,0,33,58,1.8,1,0,0,0,1
Miami (OH),78,2004-09-04,2,@,Michigan,31,L,10,43,-33,19,40,47.5,217,0,5,25,33,1.3,1,2,7,1,16,28,57.1,159,2,40,115,2.9,3,0,1,1,6
Michigan,31,2004-09-04,1,,Miami (OH),78,W,43,10,33,16,28,57.1,159,2,1,40,115,2.9,3,0,1,6,19,40,47.5,217,0,25,33,1.3,1,2,5,7,1
Michigan St.,32,2004-09-04,1,@,Rutgers,39,L,14,19,-5,22,39,56.4,270,2,1,22,90,4.1,0,2,3,2,20,34,58.8,241,0,50,174,3.5,0,0,1,1,1
Minnesota,33,2004-09-04,1,,Toledo,81,W,63,21,42,11,13,84.6,289,2,0,68,415,6.1,7,0,0,9,24,38,63.2,312,2,21,94,4.5,1,1,0,1,3
Mississippi St.,114,2004-09-04,1,,Tulane,11,W,28,7,21,10,20,50.0,111,1,0,47,199,4.2,3,0,0,4,16,31,51.6,135,1,29,70,2.4,0,0,2,2,1
Missouri,115,2004-09-04,1,,Arkansas St.,122,W,52,20,32,16,24,66.7,243,3,1,34,263,7.7,3,1,2,7,26,37,70.3,350,2,36,88,2.4,0,1,1,2,2
Navy,7,2004-09-04,1,,Duke,15,W,27,12,15,8,9,88.9,129,1,0,57,301,5.3,3,3,3,4,13,22,59.1,90,0,39,175,4.5,1,0,0,0,1
Nebraska,34,2004-09-04,1,,Western Illinois,190,W,56,17,39,16,31,51.6,218,4,4,39,363,9.3,4,2,6,8,20,42,47.6,223,1,35,-3,-0.1,0,1,4,5,2
New Mexico State,69,2004-09-04,1,@,Arkansas,108,L,13,63,-50,17,26,65.4,161,2,0,29,55,1.9,0,3,3,2,18,24,75.0,327,3,54,221,4.1,5,0,0,0,9
North Carolina,21,2004-09-04,1,,William & Mary,163,W,49,38,11,14,24,58.3,234,2,1,45,341,7.6,5,3,4,7,23,41,56.1,322,2,31,120,3.9,3,0,0,0,5
NC State,20,2004-09-04,1,,Richmond,159,W,42,0,42,24,32,75.0,229,2,0,37,174,4.7,2,1,1,5,10,27,37.0,63,0,36,104,2.9,0,1,2,3,0
North Texas,57,2004-09-04,1,@,Texas,48,L,0,65,-65,10,23,43.5,92,0,0,26,38,1.5,0,3,3,0,15,22,68.2,160,1,60,513,8.6,7,0,0,0,8
Northern Illinois,79,2004-09-04,1,@,Maryland,30,L,20,23,-3,19,37,51.4,219,1,2,38,118,3.1,0,1,3,2,12,22,54.5,169,0,46,198,4.3,2,2,1,3,2
Notre Dame,70,2004-09-04,1,@,BYU,66,L,17,20,-3,26,47,55.3,265,1,0,21,11,0.5,0,1,1,2,22,33,66.7,263,1,35,22,0.6,1,1,1,2,2
Ohio,80,2004-09-04,1,,VMI,233,W,42,14,28,14,25,56.0,229,3,0,52,230,4.4,1,1,1,6,23,39,59.0,222,2,29,67,2.3,0,2,1,3,2
Ohio St.,36,2004-09-04,1,,Cincinnati,2,W,27,6,21,16,29,55.2,242,2,2,43,220,5.1,1,1,3,3,17,37,45.9,162,0,26,76,2.9,0,0,0,0,0
Oklahoma,45,2004-09-04,1,,Bowling Green,73,W,40,24,16,21,31,67.7,238,3,1,52,258,5.0,2,1,2,5,24,41,58.5,218,2,19,51,2.7,0,1,0,1,3
Oklahoma St.,46,2004-09-04,1,@,UCLA,102,W,31,20,11,2,8,25.0,23,0,0,67,426,6.4,4,0,0,4,16,36,44.4,252,0,33,191,5.8,2,2,2,4,2
Ole Miss,116,2004-09-04,1,,Memphis,6,L,13,20,-7,11,31,35.5,182,0,0,33,58,1.8,1,0,0,1,21,43,48.8,266,1,44,126,2.9,1,0,1,1,2
Oregon St.,100,2004-09-04,1,@,LSU,113,L,21,22,-1,26,47,55.3,231,3,1,31,84,2.7,0,2,3,3,16,44,36.4,211,2,30,91,3.0,1,1,1,2,3
Penn State,37,2004-09-04,1,,Akron,71,W,48,10,38,16,23,69.6,193,3,0,41,352,8.6,4,0,0,7,29,36,80.6,223,0,31,72,2.3,1,1,2,3,1
Rutgers,39,2004-09-04,1,,Michigan St.,32,W,19,14,5,20,34,58.8,241,0,1,50,174,3.5,0,0,1,1,22,39,56.4,270,2,22,90,4.1,0,2,1,3,2
San Diego St.,90,2004-09-04,1,,Idaho State,134,W,38,21,17,21,41,51.2,291,3,2,51,290,5.7,2,1,3,5,37,69,53.6,352,2,17,46,2.7,1,1,3,4,3
San Jose St.,91,2004-09-04,1,@,Stanford,101,L,3,43,-40,15,24,62.5,157,0,0,37,111,3.0,0,0,0,0,20,33,60.6,333,2,39,132,3.4,4,0,0,0,6
SMU,8,2004-09-04,1,,Texas Tech,49,L,13,27,-14,18,37,48.6,162,0,1,39,160,4.1,1,2,3,1,40,66,60.6,470,4,22,67,3.0,0,0,0,0,4
South Carolina,117,2004-09-04,1,@,Vanderbilt,120,W,31,6,25,13,20,65.0,184,1,0,57,269,4.7,2,1,1,4,24,38,63.2,270,0,22,36,1.6,1,2,2,4,1
Stanford,101,2004-09-04,1,,San Jose St.,91,W,43,3,40,20,33,60.6,333,2,0,39,132,3.4,4,0,0,6,15,24,62.5,157,0,37,111,3.0,0,0,0,0,0
Temple,10,2004-09-04,1,,Virginia,24,L,14,44,-30,11,24,45.8,132,0,0,34,128,3.8,2,2,2,2,18,24,75.0,218,1,57,286,5.0,4,0,0,0,6
Texas,48,2004-09-04,1,,North Texas,57,W,65,0,65,15,22,68.2,160,1,0,60,513,8.6,7,0,0,8,10,23,43.5,92,0,26,38,1.5,0,3,0,3,0
Texas Tech,49,2004-09-04,1,@,SMU,8,W,27,13,14,40,66,60.6,470,4,0,22,67,3.0,0,0,0,4,18,37,48.6,162,0,39,160,4.1,1,2,1,3,1
Toledo,81,2004-09-04,1,@,Minnesota,33,L,21,63,-42,24,38,63.2,312,2,0,21,94,4.5,1,1,1,3,11,13,84.6,289,2,68,415,6.1,7,0,0,0,9
Troy,129,2004-09-04,1,@,Marshall,55,W,17,15,2,13,27,48.1,196,0,2,42,65,1.5,2,0,2,2,14,28,50.0,152,1,34,25,0.7,0,1,1,2,1
Tulane,11,2004-09-04,1,@,Mississippi St.,114,L,7,28,-21,16,31,51.6,135,1,2,29,70,2.4,0,0,2,1,10,20,50.0,111,1,47,199,4.2,3,0,0,0,4
Tulsa,12,2004-09-04,1,@,Kansas,43,L,3,21,-18,11,24,45.8,91,0,2,35,50,1.4,0,1,3,0,14,31,45.2,99,1,36,102,2.8,1,0,1,1,2
UAB,61,2004-09-04,1,,Baylor,41,W,56,14,42,9,17,52.9,173,3,1,53,343,6.5,3,1,2,8,28,43,65.1,228,1,27,50,1.9,1,3,3,6,2
Central Florida,1,2004-09-04,1,@,Wisconsin,40,L,6,34,-28,13,24,54.2,177,0,1,35,53,1.5,0,1,2,0,9,20,45.0,170,2,49,230,4.7,2,1,0,1,4
UCLA,102,2004-09-04,1,,Oklahoma St.,46,L,20,31,-11,16,36,44.4,252,0,2,33,191,5.8,2,2,4,2,2,8,25.0,23,0,67,426,6.4,4,0,0,0,4
Utah St.,93,2004-09-04,1,@,Alabama,107,L,17,48,-31,17,34,50.0,205,2,2,25,61,2.4,0,0,2,2,16,22,72.7,205,2,44,255,5.8,3,0,0,0,6
Vanderbilt,120,2004-09-04,1,,South Carolina,117,L,6,31,-25,24,38,63.2,270,0,2,22,36,1.6,1,2,4,1,13,20,65.0,184,1,57,269,4.7,2,1,0,1,4
Virginia,24,2004-09-04,1,@,Temple,10,W,44,14,30,18,24,75.0,218,1,0,57,286,5.0,4,0,0,6,11,24,45.8,132,0,34,128,3.8,2,2,0,2,2
Wake Forest,26,2004-09-04,1,@,Clemson,14,L,30,37,-7,10,25,40.0,156,1,0,54,254,4.7,2,1,1,3,20,41,48.8,288,2,35,83,2.4,1,1,2,3,4
West Virginia,50,2004-09-04,1,,East Carolina,4,W,56,23,33,6,15,40.0,143,1,2,56,478,8.5,6,0,2,8,26,51,51.0,322,3,28,59,2.1,0,1,2,3,3
Wisconsin,40,2004-09-04,1,,Central Florida,1,W,34,6,28,9,20,45.0,170,2,0,49,230,4.7,2,1,1,4,13,24,54.2,177,0,35,53,1.5,0,1,1,2,0
Wyoming,94,2004-09-04,1,,Appalachian St.,121,W,53,7,46,18,32,56.3,271,2,0,51,266,5.2,3,1,1,6,16,31,51.6,200,1,32,30,0.9,0,2,3,5,1
Fresno St.,86,2004-09-05,1,@,Washington,105,W,35,16,19,13,21,61.9,125,1,1,35,137,3.9,1,1,2,5,21,48,43.8,190,0,41,170,4.1,2,1,4,5,2
Houston,5,2004-09-05,1,N,Rice,59,L,7,10,-3,15,33,45.5,204,1,1,32,8,0.3,0,1,2,1,3,7,42.9,28,0,55,163,3.0,1,1,1,2,1
Kentucky,112,2004-09-05,1,@,Louisville,18,L,0,28,-28,14,34,41.2,172,0,2,26,66,2.5,0,1,3,0,14,21,66.7,178,1,49,261,5.3,2,0,1,1,4
Louisville,18,2004-09-05,1,,Kentucky,112,W,28,0,28,14,21,66.7,178,1,1,49,261,5.3,2,0,1,4,14,34,41.2,172,0,26,66,2.5,0,1,2,3,0
Purdue,38,2004-09-05,1,,Syracuse,23,W,51,0,51,17,32,53.1,334,5,0,41,237,5.8,2,0,0,7,15,26,57.7,157,0,32,40,1.3,0,1,2,3,0
Rice,59,2004-09-05,1,N,Houston,5,W,10,7,3,3,7,42.9,28,0,1,55,163,3.0,1,1,2,1,15,33,45.5,204,1,32,8,0.3,0,1,1,2,1
Syracuse,23,2004-09-05,1,@,Purdue,38,L,0,51,-51,15,26,57.7,157,0,2,32,40,1.3,0,1,3,0,17,32,53.1,334,5,41,237,5.8,2,0,0,0,7
Tennessee,118,2004-09-05,1,,UNLV,92,W,42,17,25,17,27,63.0,241,3,0,45,272,6.0,3,1,1,6,13,25,52.0,175,0,37,164,4.4,2,1,1,2,2
UNLV,92,2004-09-05,1,@,Tennessee,118,L,17,42,-25,13,25,52.0,175,0,1,37,164,4.4,2,1,2,2,17,27,63.0,241,3,45,272,6.0,3,1,0,1,6
Washington,105,2004-09-05,1,,Fresno St.,86,L,16,35,-19,21,48,43.8,190,0,4,41,170,4.1,2,1,5,2,13,21,61.9,125,1,35,137,3.9,1,1,1,2,5
Louisiana Tech,54,2004-09-06,1,,Nevada,88,W,38,21,17,8,16,50.0,149,0,1,47,285,6.1,5,3,4,5,23,38,60.5,244,3,34,7,0.2,0,2,0,2,3
Nevada,88,2004-09-06,1,@,Louisiana Tech,54,L,21,38,-17,23,38,60.5,244,3,0,34,7,0.2,0,2,2,3,8,16,50.0,149,0,47,285,6.1,5,3,1,4,5
Missouri,115,2004-09-09,2,@,Troy,129,L,14,24,-10,25,46,54.3,224,1,2,36,112,3.1,1,1,3,2,8,21,38.1,121,2,41,172,4.2,1,0,3,3,3
Troy,129,2004-09-09,2,,Missouri,115,W,24,14,10,8,21,38.1,121,2,3,41,172,4.2,1,0,3,3,25,46,54.3,224,1,36,112,3.1,1,1,2,3,2
Boise St.,84,2004-09-10,2,,Oregon St.,100,W,53,34,19,21,35,60.0,246,4,1,52,246,4.7,1,0,1,6,22,42,52.4,411,4,15,58,3.9,1,0,4,4,5
Florida St.,16,2004-09-10,1,@,Miami (FL),19,L,10,16,-6,12,28,42.9,108,0,2,35,57,1.6,0,2,4,1,20,36,55.6,255,1,32,109,3.4,1,2,1,3,2
Miami (FL),19,2004-09-10,1,,Florida St.,16,W,16,10,6,20,36,55.6,255,1,1,32,109,3.4,1,2,3,2,12,28,42.9,108,0,35,57,1.6,0,2,2,4,1
Oregon St.,100,2004-09-10,2,@,Boise St.,84,L,34,53,-19,22,42,52.4,411,4,4,15,58,3.9,1,0,4,5,21,35,60.0,246,4,52,246,4.7,1,0,1,1,6
Air Force,83,2004-09-11,2,,Eastern Washington,132,W,42,20,22,11,16,68.8,145,2,1,52,353,6.8,4,0,1,6,21,38,55.3,293,3,40,120,3.0,0,1,1,2,3
Akron,71,2004-09-11,2,,Middle Tennessee,56,L,24,31,-7,31,44,70.5,399,2,1,34,103,3.0,1,2,3,3,33,41,80.5,339,0,29,64,2.2,3,2,2,4,4
Alabama,107,2004-09-11,2,,Ole Miss,116,W,28,7,21,14,22,63.6,169,2,0,47,221,4.7,2,2,2,4,10,27,37.0,117,1,29,75,2.6,0,1,0,1,1
Arizona,95,2004-09-11,2,,Utah,104,L,6,23,-17,19,25,76.0,198,0,1,33,114,3.5,0,3,4,0,12,22,54.5,170,2,38,156,4.1,1,0,0,0,3
Arizona St.,96,2004-09-11,2,@,Northwestern,35,W,30,21,9,19,36,52.8,292,3,0,41,139,3.4,0,0,0,3,21,38,55.3,228,0,42,235,5.6,3,1,0,1,3
Arkansas,108,2004-09-11,2,,Texas,48,L,20,22,-2,14,29,48.3,283,1,2,45,175,3.9,1,2,4,2,11,22,50.0,150,2,46,259,5.6,1,0,0,0,3
Arkansas St.,122,2004-09-11,2,@,LSU,113,L,3,53,-50,9,22,40.9,147,0,1,33,54,1.6,0,2,3,0,12,20,60.0,210,3,40,251,6.3,3,1,0,1,7
Army,65,2004-09-11,1,,Louisville,18,L,21,52,-31,17,32,53.1,217,2,0,27,133,4.9,1,1,1,3,26,34,76.5,342,1,54,230,4.3,6,1,0,1,7
Auburn,109,2004-09-11,2,@,Mississippi St.,114,W,43,14,29,13,22,59.1,182,4,0,41,283,6.9,2,1,1,6,24,36,66.7,190,2,29,81,2.8,0,0,1,1,2
Ball St.,72,2004-09-11,2,@,Purdue,38,L,7,59,-52,11,16,68.8,126,1,0,37,71,1.9,0,0,0,1,26,30,86.7,368,5,42,231,5.5,3,0,0,0,8
Baylor,41,2004-09-11,2,,Texas St.,128,W,24,17,7,16,30,53.3,224,2,2,45,97,2.2,0,0,2,3,12,27,44.4,164,1,40,131,3.3,1,2,0,2,2
Boston College,13,2004-09-11,2,,Penn State,37,W,21,7,14,23,31,74.2,199,3,0,40,129,3.2,0,1,1,3,23,41,56.1,254,1,21,73,3.5,0,1,4,5,1
Bowling Green,73,2004-09-11,2,,Southeast Missouri,206,W,49,10,39,24,38,63.2,285,4,1,50,216,4.3,0,1,2,5,27,41,65.9,278,0,24,81,3.4,1,3,1,4,1
BYU,66,2004-09-11,2,@,Stanford,101,L,10,37,-27,28,56,50.0,288,0,4,27,41,1.5,1,3,7,1,20,42,47.6,297,3,35,72,2.1,0,2,0,2,4
Buffalo,74,2004-09-11,2,,Syracuse,23,L,17,37,-20,16,32,50.0,122,0,2,39,109,2.8,0,1,3,2,9,24,37.5,84,0,48,191,4.0,2,2,1,3,4
California,97,2004-09-11,2,,New Mexico State,69,W,41,14,27,21,28,75.0,275,2,0,41,336,8.2,4,2,2,6,14,23,60.9,175,1,36,37,1.0,1,0,0,0,2
Central Michigan,75,2004-09-11,2,@,Michigan St.,32,L,7,24,-17,10,30,33.3,93,0,0,44,236,5.4,1,0,0,1,10,22,45.5,192,1,44,213,4.8,2,0,0,0,3
Cincinnati,2,2004-09-11,2,,Miami (OH),78,W,45,26,19,12,23,52.2,258,2,1,43,341,7.9,4,1,2,6,26,43,60.5,416,4,24,37,1.5,0,1,0,1,4
Clemson,14,2004-09-11,2,,Georgia Tech,17,L,24,28,-4,20,43,46.5,275,1,2,30,186,6.2,2,0,2,3,20,36,55.6,251,4,48,112,2.3,0,0,1,1,4
Colorado,98,2004-09-11,2,@,Washington St.,106,W,20,12,8,12,24,50.0,78,0,1,37,47,1.3,0,2,3,2,19,52,36.5,387,1,40,15,0.4,0,2,1,3,1
Colorado St.,85,2004-09-11,2,@,USC,103,L,0,49,-49,19,35,54.3,233,0,4,27,48,1.8,0,2,6,0,20,31,64.5,231,2,45,322,7.2,4,2,0,2,7
Connecticut,3,2004-09-11,2,,Duke,15,W,22,20,2,23,34,67.6,290,0,1,35,112,3.2,1,1,2,2,16,29,55.2,184,1,32,61,1.9,0,1,1,2,2
Duke,15,2004-09-11,2,@,Connecticut,3,L,20,22,-2,16,29,55.2,184,1,1,32,61,1.9,0,1,2,2,23,34,67.6,290,0,35,112,3.2,1,1,1,2,2
East Carolina,4,2004-09-11,2,,Wake Forest,26,L,17,31,-14,20,40,50.0,233,1,2,23,236,10.3,1,0,2,2,16,21,76.2,344,2,57,240,4.2,2,1,1,2,4
Eastern Michigan,76,2004-09-11,2,@,Florida,110,L,10,49,-39,19,40,47.5,201,1,0,36,95,2.6,0,1,1,1,17,28,60.7,250,3,38,159,4.2,4,1,0,1,7
Florida,110,2004-09-11,1,,Eastern Michigan,76,W,49,10,39,17,28,60.7,250,3,0,38,159,4.2,4,1,1,7,19,40,47.5,201,1,36,95,2.6,0,1,0,1,1
