School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Idaho,133,2000-09-02,1,@,Washington,105,L,20,44,-24,23,30,76.7,256,2,1,33,145,4.4,1,4,5,3,17,31,54.8,235,1,44,239,5.4,4,0,1,1,6
Illinois,27,2000-09-02,1,,Middle Tennessee,56,W,35,6,29,19,27,70.4,190,3,1,49,285,5.8,2,0,1,5,25,40,62.5,262,0,35,207,5.9,0,0,2,2,0
Iowa St.,42,2000-09-02,1,,Ohio,80,W,25,15,10,16,30,53.3,196,0,1,40,204,5.1,3,0,1,3,9,25,36.0,130,1,41,179,4.4,1,2,2,4,2
Kansas,43,2000-09-02,1,@,SMU,8,L,17,31,-14,16,42,38.1,210,1,0,32,81,2.5,1,3,3,2,14,25,56.0,164,2,44,151,3.4,2,0,1,1,4
Kansas St.,44,2000-09-02,2,,Louisiana Tech,54,W,54,10,44,13,23,56.5,233,3,0,41,267,6.5,2,2,2,6,33,54,61.1,319,1,29,72,2.5,0,1,4,5,1
Kent State,77,2000-09-02,1,@,Pittsburgh,22,L,7,30,-23,18,32,56.3,205,1,2,35,83,2.4,0,0,2,1,13,26,50.0,293,3,32,119,3.7,0,0,0,0,3
Kentucky,112,2000-09-02,1,@,Louisville,18,L,34,40,-6,22,34,64.7,322,3,3,21,95,4.5,1,2,5,5,23,30,76.7,256,3,48,186,3.9,3,4,0,4,6
Louisiana,126,2000-09-02,1,,Sam Houston State,244,L,14,21,-7,9,24,37.5,90,1,0,44,150,3.4,1,1,1,2,17,30,56.7,151,1,35,98,2.8,1,1,1,2,3
Louisiana Tech,54,2000-09-02,2,@,Kansas St.,44,L,10,54,-44,33,54,61.1,319,1,4,29,72,2.5,0,1,5,1,13,23,56.5,233,3,41,267,6.5,2,2,0,2,6
UL Monroe,130,2000-09-02,1,@,Minnesota,33,L,10,47,-37,17,32,53.1,173,0,0,33,59,1.8,1,2,2,1,18,28,64.3,258,3,46,172,3.7,3,0,0,0,6
Louisville,18,2000-09-02,1,,Kentucky,112,W,40,34,6,23,30,76.7,256,3,0,48,186,3.9,3,4,4,6,22,34,64.7,322,3,21,95,4.5,1,2,3,5,5
LSU,113,2000-09-02,1,,Western Carolina,234,W,58,0,58,23,28,82.1,485,5,0,43,195,4.5,3,0,0,8,11,22,50.0,71,0,32,96,3.0,0,1,1,2,0
Memphis,6,2000-09-02,1,,Mississippi St.,114,L,3,17,-14,10,34,29.4,81,0,2,41,87,2.1,0,3,5,0,10,20,50.0,82,0,35,45,1.3,2,1,1,2,2
Miami (OH),78,2000-09-02,1,@,Vanderbilt,120,W,33,30,3,24,42,57.1,358,4,1,28,71,2.5,0,1,2,4,18,25,72.0,307,2,32,56,1.8,2,0,0,0,4
Michigan,31,2000-09-02,1,,Bowling Green,73,W,42,7,35,15,19,78.9,265,4,0,53,289,5.5,2,2,2,6,18,42,42.9,213,1,28,58,2.1,0,0,1,1,1
Middle Tennessee,56,2000-09-02,1,@,Illinois,27,L,6,35,-29,25,40,62.5,262,0,2,35,207,5.9,0,0,2,0,19,27,70.4,190,3,49,285,5.8,2,0,1,1,5
Minnesota,33,2000-09-02,1,,UL Monroe,130,W,47,10,37,18,28,64.3,258,3,0,46,172,3.7,3,0,0,6,17,32,53.1,173,0,33,59,1.8,1,2,0,2,1
Mississippi St.,114,2000-09-02,1,@,Memphis,6,W,17,3,14,10,20,50.0,82,0,1,35,45,1.3,2,1,2,2,10,34,29.4,81,0,41,87,2.1,0,3,2,5,0
Missouri,115,2000-09-02,1,,Western Illinois,190,W,50,20,30,11,26,42.3,166,3,1,43,137,3.2,3,1,2,7,16,35,45.7,253,2,39,-2,-0.1,0,3,1,4,3
Navy,7,2000-09-02,1,,Temple,10,L,6,17,-11,6,13,46.2,75,0,0,30,73,2.4,1,0,0,1,17,27,63.0,188,0,58,231,4.0,2,2,0,2,2
Nebraska,34,2000-09-02,1,,San Jose St.,91,W,49,13,36,5,13,38.5,91,1,3,60,505,8.4,6,0,3,7,14,37,37.8,153,2,29,193,6.7,0,0,1,1,2
Nevada,88,2000-09-02,1,@,Oregon,99,L,7,36,-29,8,30,26.7,106,1,3,34,-3,-0.1,0,0,3,1,12,27,44.4,231,0,42,225,5.4,4,1,1,2,4
New Mexico,89,2000-09-02,2,,Boise St.,84,L,14,31,-17,12,26,46.2,122,0,2,44,156,3.5,2,0,2,2,17,34,50.0,168,1,35,139,4.0,2,0,0,0,4
New Mexico State,69,2000-09-02,1,@,South Carolina,117,L,0,31,-31,8,19,42.1,76,0,2,46,121,2.6,0,1,3,0,14,26,53.8,149,0,39,204,5.2,3,2,1,3,4
North Carolina,21,2000-09-02,1,,Tulsa,12,W,30,9,21,16,30,53.3,242,1,0,44,173,3.9,2,2,2,3,17,38,44.7,214,1,27,19,0.7,0,1,0,1,1
NC State,20,2000-09-02,1,,Arkansas St.,122,W,38,31,7,29,57,50.9,397,3,0,35,142,4.1,2,3,3,5,13,25,52.0,152,1,45,179,4.0,2,2,0,2,4
Notre Dame,70,2000-09-02,1,,Texas A&M,119,W,24,10,14,10,16,62.5,133,2,0,49,194,4.0,1,0,0,3,16,28,57.1,165,0,37,90,2.4,1,0,1,1,1
Ohio,80,2000-09-02,1,@,Iowa St.,42,L,15,25,-10,9,25,36.0,130,1,2,41,179,4.4,1,2,4,2,16,30,53.3,196,0,40,204,5.1,3,0,1,1,3
Ohio St.,36,2000-09-02,1,,Fresno St.,86,W,43,10,33,11,20,55.0,166,2,0,50,223,4.5,0,1,1,6,31,51,60.8,285,1,27,87,3.2,0,2,4,6,1
Oklahoma,45,2000-09-02,1,,UTEP,62,W,55,14,41,19,39,48.7,287,2,1,33,122,3.7,4,2,3,7,21,42,50.0,217,1,38,125,3.3,1,5,2,7,2
Ole Miss,116,2000-09-02,1,,Tulane,11,W,49,20,29,19,31,61.3,306,3,0,35,118,3.4,3,0,0,7,17,39,43.6,204,1,35,120,3.4,1,0,1,1,2
Oregon,99,2000-09-02,1,,Nevada,88,W,36,7,29,12,27,44.4,231,0,1,42,225,5.4,4,1,2,4,8,30,26.7,106,1,34,-3,-0.1,0,0,3,3,1
Oregon St.,100,2000-09-02,1,,Eastern Washington,132,W,21,19,2,13,29,44.8,132,0,2,49,194,4.0,3,2,4,3,13,30,43.3,139,0,33,58,1.8,2,2,1,3,2
Penn State,37,2000-09-02,2,,Toledo,81,L,6,24,-18,10,24,41.7,136,1,0,27,30,1.1,0,1,1,1,18,28,64.3,140,1,54,245,4.5,2,0,0,0,3
Pittsburgh,22,2000-09-02,1,,Kent State,77,W,30,7,23,13,26,50.0,293,3,0,32,119,3.7,0,0,0,3,18,32,56.3,205,1,35,83,2.4,0,0,2,2,1
Purdue,38,2000-09-02,1,,Central Michigan,75,W,48,0,48,26,45,57.8,336,3,0,40,145,3.6,3,0,0,6,16,28,57.1,150,0,38,65,1.7,0,3,0,3,0
Rice,59,2000-09-02,1,,Houston,5,W,30,27,3,5,16,31.3,85,0,0,61,198,3.2,2,2,2,4,32,47,68.1,349,2,29,45,1.6,1,2,1,3,3
Rutgers,39,2000-09-02,1,,Villanova,162,W,34,21,13,27,44,61.4,323,5,1,32,46,1.4,0,0,1,5,29,49,59.2,285,3,23,57,2.5,0,1,2,3,3
San Jose St.,91,2000-09-02,1,@,Nebraska,34,L,13,49,-36,14,37,37.8,153,2,1,29,193,6.7,0,0,1,2,5,13,38.5,91,1,60,505,8.4,6,0,3,3,7
SMU,8,2000-09-02,1,,Kansas,43,W,31,17,14,14,25,56.0,164,2,1,44,151,3.4,2,0,1,4,16,42,38.1,210,1,32,81,2.5,1,3,0,3,2
South Carolina,117,2000-09-02,1,,New Mexico State,69,W,31,0,31,14,26,53.8,149,0,1,39,204,5.2,3,2,3,4,8,19,42.1,76,0,46,121,2.6,0,1,2,3,0
South Florida,9,2000-09-02,1,,Jacksonville State,204,W,40,0,40,19,30,63.3,224,2,1,50,289,5.8,2,1,2,4,11,20,55.0,124,0,27,27,1.0,0,3,0,3,0
Southern Miss,60,2000-09-02,1,@,Tennessee,118,L,16,19,-3,22,30,73.3,232,2,0,31,71,2.3,0,2,2,2,13,25,52.0,125,2,40,145,3.6,0,0,1,1,2
Stanford,101,2000-09-02,1,@,Washington St.,106,W,24,10,14,17,28,60.7,256,2,0,38,118,3.1,1,1,1,3,20,36,55.6,161,0,36,91,2.5,0,0,2,2,1
Syracuse,23,2000-09-02,1,,Buffalo,74,W,63,7,56,6,9,66.7,82,1,1,50,298,6.0,6,0,1,9,16,36,44.4,182,1,33,88,2.7,0,3,2,5,1
Temple,10,2000-09-02,1,@,Navy,7,W,17,6,11,17,27,63.0,188,0,0,58,231,4.0,2,2,2,2,6,13,46.2,75,0,30,73,2.4,1,0,0,0,1
Tennessee,118,2000-09-02,1,,Southern Miss,60,W,19,16,3,13,25,52.0,125,2,1,40,145,3.6,0,0,1,2,22,30,73.3,232,2,31,71,2.3,0,2,0,2,2
Texas A&M,119,2000-09-02,1,@,Notre Dame,70,L,10,24,-14,16,28,57.1,165,0,1,37,90,2.4,1,0,1,1,10,16,62.5,133,2,49,194,4.0,1,0,0,0,3
Texas Tech,49,2000-09-02,2,,Utah St.,93,W,38,16,22,37,57,64.9,505,3,1,28,77,2.8,1,0,1,5,16,35,45.7,153,2,28,147,5.3,0,2,1,3,2
Toledo,81,2000-09-02,1,@,Penn State,37,W,24,6,18,18,28,64.3,140,1,0,54,245,4.5,2,0,0,3,10,24,41.7,136,1,27,30,1.1,0,1,0,1,1
Tulane,11,2000-09-02,1,@,Ole Miss,116,L,20,49,-29,17,39,43.6,204,1,1,35,120,3.4,1,0,1,2,19,31,61.3,306,3,35,118,3.4,3,0,0,0,7
Tulsa,12,2000-09-02,1,@,North Carolina,21,L,9,30,-21,17,38,44.7,214,1,0,27,19,0.7,0,1,1,1,16,30,53.3,242,1,44,173,3.9,2,2,0,2,3
Central Florida,1,2000-09-02,1,@,Georgia Tech,17,L,17,21,-4,16,31,51.6,247,1,1,26,8,0.3,1,1,2,2,23,41,56.1,226,3,44,110,2.5,0,2,0,2,3
UCLA,102,2000-09-02,1,,Alabama,107,W,35,24,11,15,27,55.6,225,2,1,57,171,3.0,3,0,1,5,11,30,36.7,119,0,30,146,4.9,1,2,1,3,3
Utah,104,2000-09-02,1,,Arizona,95,L,3,17,-14,21,51,41.2,310,0,2,39,60,1.5,0,3,5,0,3,15,20.0,11,0,39,135,3.5,1,0,0,0,2
Utah St.,93,2000-09-02,1,@,Texas Tech,49,L,16,38,-22,16,35,45.7,153,2,1,28,147,5.3,0,2,3,2,37,57,64.9,505,3,28,77,2.8,1,0,1,1,5
UTEP,62,2000-09-02,1,@,Oklahoma,45,L,14,55,-41,21,42,50.0,217,1,2,38,125,3.3,1,5,7,2,19,39,48.7,287,2,33,122,3.7,4,2,1,3,7
Vanderbilt,120,2000-09-02,1,,Miami (OH),78,L,30,33,-3,18,25,72.0,307,2,0,32,56,1.8,2,0,0,4,24,42,57.1,358,4,28,71,2.5,0,1,1,2,4
Virginia,24,2000-09-02,1,,BYU,66,L,35,38,-3,13,23,56.5,217,1,1,42,270,6.4,4,0,1,5,34,42,81.0,447,2,34,93,2.7,3,1,2,3,5
Virginia Tech,25,2000-09-02,1,,Akron,71,W,52,23,29,9,16,56.3,214,2,1,48,335,7.0,4,3,4,7,14,30,46.7,248,1,44,162,3.7,1,1,1,2,3
Washington,105,2000-09-02,1,,Idaho,133,W,44,20,24,17,31,54.8,235,1,1,44,239,5.4,4,0,1,6,23,30,76.7,256,2,33,145,4.4,1,4,1,5,3
Washington St.,106,2000-09-02,1,,Stanford,101,L,10,24,-14,20,36,55.6,161,0,2,36,91,2.5,0,0,2,1,17,28,60.7,256,2,38,118,3.1,1,1,0,1,3
West Virginia,50,2000-09-02,1,,Boston College,13,W,34,14,20,7,19,36.8,166,0,0,53,189,3.6,2,0,0,4,15,33,45.5,127,1,33,79,2.4,1,2,3,5,2
Army,65,2000-09-04,1,@,Cincinnati,2,L,17,23,-6,14,29,48.3,123,1,1,34,120,3.5,1,1,2,2,18,29,62.1,239,1,51,198,3.9,1,0,2,2,2
Cincinnati,2,2000-09-04,1,,Army,65,W,23,17,6,18,29,62.1,239,1,2,51,198,3.9,1,0,2,2,14,29,48.3,123,1,34,120,3.5,1,1,1,2,2
East Carolina,4,2000-09-07,2,,Virginia Tech,25,L,28,45,-17,23,47,48.9,331,2,3,39,87,2.2,1,0,3,4,9,16,56.3,106,1,36,205,5.7,3,1,0,1,6
UAB,61,2000-09-07,1,,Chattanooga,227,W,20,15,5,13,28,46.4,223,1,2,38,177,4.7,2,3,5,3,24,43,55.8,272,0,29,25,0.9,1,1,2,3,1
Virginia Tech,25,2000-09-07,2,@,East Carolina,4,W,45,28,17,9,16,56.3,106,1,0,36,205,5.7,3,1,1,6,23,47,48.9,331,2,39,87,2.2,1,0,3,3,4
Air Force,83,2000-09-09,2,,BYU,66,W,31,23,8,11,16,68.8,203,4,0,53,186,3.5,0,0,0,4,18,40,45.0,235,1,26,125,4.8,1,2,1,3,2
Akron,71,2000-09-09,2,@,Central Michigan,75,L,7,17,-10,8,24,33.3,68,0,2,39,184,4.7,1,0,2,1,9,19,47.4,173,1,50,171,3.4,1,0,0,0,2
Alabama,107,2000-09-09,2,,Vanderbilt,120,W,28,10,18,6,15,40.0,57,0,0,42,292,7.0,3,0,0,3,12,26,46.2,172,0,31,85,2.7,1,0,0,0,1
Arizona,95,2000-09-09,2,,Ohio St.,36,L,17,27,-10,11,23,47.8,137,1,0,39,57,1.5,1,1,1,2,12,20,60.0,240,2,40,101,2.5,1,2,1,3,3
Arkansas St.,122,2000-09-09,2,@,Oklahoma,45,L,7,45,-38,21,33,63.6,191,0,1,21,84,4.0,1,0,1,1,26,34,76.5,325,3,35,208,5.9,2,0,1,1,6
Army,65,2000-09-09,2,,Boston College,13,L,17,55,-38,20,38,52.6,193,1,3,39,161,4.1,1,0,3,2,20,30,66.7,335,3,48,252,5.3,3,0,0,0,7
Auburn,109,2000-09-09,2,@,Ole Miss,116,W,35,27,8,13,26,50.0,160,0,0,51,261,5.1,5,1,1,5,11,26,42.3,105,1,32,152,4.8,2,0,3,3,4
Ball St.,72,2000-09-09,2,,Western Illinois,190,L,14,24,-10,16,33,48.5,156,2,4,36,165,4.6,0,1,5,2,6,18,33.3,66,1,50,196,3.9,1,1,1,2,3
Boise St.,84,2000-09-09,2,,Northern Iowa,186,W,42,17,25,17,26,65.4,351,3,2,37,238,6.4,3,0,2,6,18,36,50.0,243,0,43,134,3.1,2,1,0,1,2
Boston College,13,2000-09-09,2,@,Army,65,W,55,17,38,20,30,66.7,335,3,0,48,252,5.3,3,0,0,7,20,38,52.6,193,1,39,161,4.1,1,0,3,3,2
Bowling Green,73,2000-09-09,2,,Pittsburgh,22,L,16,34,-18,19,39,48.7,197,1,1,39,35,0.9,1,1,2,2,22,32,68.8,321,4,35,36,1.0,0,3,0,3,4
BYU,66,2000-09-09,3,@,Air Force,83,L,23,31,-8,18,40,45.0,235,1,1,26,125,4.8,1,2,3,2,11,16,68.8,203,4,53,186,3.5,0,0,0,0,4
Buffalo,74,2000-09-09,2,@,Rutgers,39,L,0,59,-59,24,45,53.3,223,0,1,37,-7,-0.2,0,3,4,0,19,29,65.5,266,5,39,187,4.8,3,1,0,1,8
California,97,2000-09-09,1,,Utah,104,W,24,21,3,18,28,64.3,209,1,1,45,120,2.7,2,2,3,3,16,31,51.6,158,0,38,139,3.7,1,3,1,4,3
Central Michigan,75,2000-09-09,2,,Akron,71,W,17,7,10,9,19,47.4,173,1,0,50,171,3.4,1,0,0,2,8,24,33.3,68,0,39,184,4.7,1,0,2,2,1
Cincinnati,2,2000-09-09,2,,Syracuse,23,W,12,10,2,16,35,45.7,188,0,0,35,155,4.4,0,2,2,0,21,30,70.0,221,1,37,105,2.8,0,1,2,3,1
Clemson,14,2000-09-09,2,,Missouri,115,W,62,9,53,15,24,62.5,275,2,0,50,206,4.1,6,1,1,9,14,28,50.0,144,0,36,72,2.0,1,3,3,6,1
Colorado,98,2000-09-09,2,@,USC,103,L,14,17,-3,17,27,63.0,231,2,0,38,137,3.6,0,1,1,2,25,31,80.6,275,1,38,158,4.2,1,0,1,1,2
Colorado St.,85,2000-09-09,2,,East Tennessee St.,229,W,41,7,34,22,34,64.7,219,1,1,43,297,6.9,5,1,2,6,13,25,52.0,154,1,36,127,3.5,0,3,1,4,1
Connecticut,3,2000-09-09,2,,Colgate,211,W,37,7,30,25,36,69.4,327,2,0,34,83,2.4,3,0,0,5,12,27,44.4,184,0,47,222,4.7,1,0,2,2,1
Duke,15,2000-09-09,2,@,Northwestern,35,L,5,38,-33,11,32,34.4,130,0,4,32,44,1.4,0,0,4,0,18,30,60.0,213,2,52,259,5.0,3,0,0,0,5
Eastern Michigan,76,2000-09-09,2,,Miami (OH),78,L,17,34,-17,23,43,53.5,228,1,1,32,135,4.2,1,0,1,2,13,29,44.8,232,0,42,179,4.3,2,1,1,2,4
Florida,110,2000-09-09,2,,Middle Tennessee,56,W,55,0,55,26,41,63.4,299,4,1,30,158,5.3,1,2,3,7,17,32,53.1,139,0,35,90,2.6,0,4,1,5,0
Florida St.,16,2000-09-09,2,@,Georgia Tech,17,W,26,21,5,26,40,65.0,463,2,1,34,73,2.1,1,1,2,3,22,37,59.5,219,1,34,79,2.3,1,0,0,0,3
Fresno St.,86,2000-09-09,2,@,UCLA,102,L,21,24,-3,20,33,60.6,249,3,0,23,26,1.1,0,1,1,3,17,33,51.5,135,1,48,135,2.8,2,0,0,0,3
Georgia,111,2000-09-09,2,@,South Carolina,117,L,10,21,-11,10,24,41.7,108,0,5,28,94,3.4,1,0,5,1,18,28,64.3,154,0,43,133,3.1,3,0,1,1,3
Georgia Tech,17,2000-09-09,2,,Florida St.,16,L,21,26,-5,22,37,59.5,219,1,0,34,79,2.3,1,0,0,3,26,40,65.0,463,2,34,73,2.1,1,1,1,2,3
