School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
SMU,8,2019-08-31,1,@,Arkansas St.,122,W,37,30,7,30,49,61.2,360,0,1,45,148,3.3,3,7,2.0,0,1,4,32,50,64.0,324,4,24,90,3.8,0,2,1,3,4
South Alabama,127,2019-08-31,1,@,Nebraska,34,L,21,35,-14,19,35,54.3,231,2,3,44,83,1.9,1,5,2.0,2,5,3,13,22,59.1,178,0,44,98,2.2,2,2,1,3,5
South Carolina,117,2019-08-31,1,N,North Carolina,21,L,20,24,-4,16,30,53.3,142,1,2,31,128,4.1,1,6,3.0,0,2,2,15,24,62.5,245,2,52,238,4.6,0,1,0,1,2
Southern Miss,60,2019-08-31,1,,Alcorn State,249,W,38,10,28,18,28,64.3,293,1,1,31,96,3.1,1,8,5.0,1,2,4,18,32,56.3,149,0,35,80,2.3,1,1,1,2,1
Stanford,101,2019-08-31,1,,Northwestern,35,W,17,7,10,23,34,67.6,233,1,0,39,132,3.4,0,5,3.0,2,2,2,12,27,44.4,117,0,33,93,2.8,1,2,2,4,1
Syracuse,23,2019-08-31,1,@,Liberty,67,W,24,0,24,17,35,48.6,176,0,2,44,192,4.4,3,14,8.0,1,3,3,21,42,50.0,238,0,34,-4,-0.1,0,2,2,4,0
Temple,10,2019-08-31,1,,Bucknell,210,W,56,12,44,36,46,78.3,507,5,1,36,188,5.2,3,5,2.0,0,1,8,20,42,47.6,190,0,26,21,0.8,0,0,0,0,1
Tennessee,118,2019-08-31,1,,Georgia St.,125,L,30,38,-8,26,40,65.0,311,2,1,31,93,3.0,1,6,2.0,2,3,3,11,24,45.8,139,2,53,213,4.0,3,1,0,1,5
Texas,48,2019-08-31,1,,Louisiana Tech,54,W,45,14,31,31,43,72.1,301,4,0,30,153,5.1,2,5,1.0,1,1,6,35,54,64.8,340,2,26,73,2.8,0,1,2,3,2
TCU,47,2019-08-31,1,,Arkansas-Pine Bluff,250,W,39,7,32,26,45,57.8,284,1,0,36,200,5.6,2,10,2.0,2,2,3,13,28,46.4,114,0,34,101,3.0,1,0,2,2,1
