School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
Idaho,133,2005-11-12,9,,Louisiana Tech,54,L,27,51,52.9,343,2,27,81,3.0,0,78,424,5.4,3,38,-3
Illinois,27,2005-11-12,10,@,Purdue,38,L,11,28,39.3,97,0,42,168,4.0,0,70,265,3.8,0,3,-34
Indiana,28,2005-11-12,10,@,Michigan,31,L,13,30,43.3,147,2,28,63,2.3,0,58,210,3.6,2,14,-27
Iowa,29,2005-11-12,10,@,Wisconsin,40,W,21,34,61.8,224,2,37,166,4.5,0,71,390,5.5,2,20,10
Iowa St.,42,2005-11-12,10,,Colorado,98,W,20,38,52.6,251,1,25,36,1.4,0,63,287,4.6,3,30,14
Kansas,43,2005-11-12,10,@,Texas,48,L,17,35,48.6,148,0,22,119,5.4,2,57,267,4.7,2,14,-52
Kansas St.,44,2005-11-12,10,@,Nebraska,34,L,6,30,20.0,103,0,50,248,5.0,3,80,351,4.4,3,25,-2
Kent State,77,2005-11-12,10,,Buffalo,74,L,23,40,57.5,175,0,20,-37,-1.9,0,60,138,2.3,0,6,-4
Kentucky,112,2005-11-12,9,@,Vanderbilt,120,W,12,20,60.0,155,0,43,210,4.9,5,63,365,5.8,6,48,5
Louisiana,126,2005-11-12,10,,Florida Intl,53,W,11,13,84.6,105,0,65,308,4.7,4,78,413,5.3,4,28,21
Louisiana Tech,54,2005-11-12,9,@,Idaho,133,W,18,32,56.3,284,3,40,215,5.4,2,72,499,6.9,5,41,3
UL Monroe,130,2005-11-12,9,@,Middle Tennessee,56,W,28,44,63.6,227,2,41,232,5.7,2,85,459,5.4,4,34,3
