School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
Buffalo,74,2014-08-30,1,,Duquesne,194,W,25,36,69.4,298,3,49,174,3.6,2,85,472,5.6,5,38,10
California,97,2014-08-30,1,@,Northwestern,35,W,23,39,59.0,300,3,45,114,2.5,1,84,414,4.9,4,31,7
Clemson,14,2014-08-30,1,@,Georgia,111,L,18,33,54.5,203,1,43,88,2.0,2,76,291,3.8,3,21,-24
Duke,15,2014-08-30,1,,Elon,154,W,28,42,66.7,292,4,44,275,6.3,3,86,567,6.6,7,52,39
East Carolina,4,2014-08-30,1,,North Carolina Central,180,W,33,46,71.7,374,4,28,208,7.4,3,74,582,7.9,7,52,45
Eastern Michigan,76,2014-08-30,1,,Morgan State,177,W,18,30,60.0,99,0,56,292,5.2,3,86,391,4.5,4,31,3
Florida Atlantic,52,2014-08-30,1,@,Nebraska,34,L,11,30,36.7,95,1,30,105,3.5,0,60,200,3.3,1,7,-48
Florida Intl,53,2014-08-30,1,,Bethune-Cookman,173,L,16,33,48.5,143,1,32,43,1.3,0,65,186,2.9,1,12,-2
Florida St.,16,2014-08-30,1,N,Oklahoma St.,46,W,25,40,62.5,370,1,31,106,3.4,2,71,476,6.7,4,37,6
Fresno St.,86,2014-08-30,1,@,USC,103,L,18,36,50.0,160,0,33,157,4.8,2,69,317,4.6,2,13,-39
Georgia,111,2014-08-30,1,,Clemson,14,W,18,26,69.2,131,0,41,328,8.0,5,67,459,6.9,6,45,24
Georgia Southern,124,2014-08-30,1,@,NC State,20,L,10,17,58.8,192,1,47,246,5.2,1,64,438,6.8,2,23,-1
Georgia Tech,17,2014-08-30,1,,Wofford,235,W,11,16,68.8,282,2,43,226,5.3,3,59,508,8.6,5,38,19
Hawaii,87,2014-08-30,1,,Washington,105,L,23,43,53.5,207,0,54,217,4.0,1,97,424,4.4,1,16,-1
Illinois,27,2014-08-30,1,,Youngstown State,191,W,24,38,63.2,285,4,22,78,3.5,0,60,363,6.1,4,28,11
Indiana,28,2014-08-30,1,,Indiana State,183,W,11,18,61.1,111,0,69,455,6.6,4,87,566,6.5,4,28,18
Iowa,29,2014-08-30,1,,Northern Iowa,186,W,31,41,75.6,250,2,36,151,4.2,2,77,401,5.2,4,31,8
Iowa St.,42,2014-08-30,1,,North Dakota State,185,L,20,31,64.5,151,0,26,102,3.9,2,57,253,4.4,2,14,-20
Kansas St.,44,2014-08-30,1,,Stephen F. Austin,246,W,20,30,66.7,238,3,51,240,4.7,4,81,478,5.9,7,55,39
Kent State,77,2014-08-30,1,,Ohio,80,L,30,41,73.2,264,2,22,31,1.4,0,63,295,4.7,2,14,-3
Kentucky,112,2014-08-30,1,,Tennessee-Martin,209,W,22,33,66.7,422,1,28,234,8.4,6,61,656,10.8,8,59,45
Louisiana,126,2014-08-30,1,,Southern,255,W,24,36,66.7,264,4,41,248,6.0,2,77,512,6.6,6,45,39
Louisiana Tech,54,2014-08-30,1,@,Oklahoma,45,L,22,36,61.1,191,2,29,54,1.9,0,65,245,3.8,2,16,-32
LSU,113,2014-08-30,1,N,Wisconsin,40,W,9,21,42.9,239,2,47,126,2.7,1,68,365,5.4,3,28,4
Marshall,55,2014-08-30,1,@,Miami (OH),78,W,20,32,62.5,261,3,36,171,4.8,3,68,432,6.4,6,42,15
Maryland,30,2014-08-30,1,,James Madison,155,W,18,35,51.4,186,2,50,285,5.7,5,85,471,5.5,7,52,45
Massachusetts,68,2014-08-30,1,N,Boston College,13,L,9,22,40.9,147,1,22,55,2.5,0,44,202,4.6,1,7,-23
Memphis,6,2014-08-30,1,,Austin Peay,201,W,20,27,74.1,242,2,55,303,5.5,7,82,545,6.6,9,63,63
Miami (OH),78,2014-08-30,1,,Marshall,55,L,24,49,49.0,318,3,36,100,2.8,0,85,418,4.9,3,27,-15
Michigan,31,2014-08-30,1,,Appalachian St.,121,W,16,19,84.2,210,3,36,350,9.7,3,55,560,10.2,7,52,38
Middle Tennessee,56,2014-08-30,1,,Savannah State,383,W,17,20,85.0,291,1,46,228,5.0,6,66,519,7.9,9,61,54
Mississippi St.,114,2014-08-30,1,,Southern Miss,60,W,23,34,67.6,349,5,44,201,4.6,1,78,550,7.1,7,49,49
Missouri,115,2014-08-30,1,,South Dakota State,188,W,13,21,61.9,178,3,39,215,5.5,1,60,393,6.6,5,38,20
Navy,7,2014-08-30,1,N,Ohio St.,36,L,2,4,50.0,20,0,63,370,5.9,2,67,390,5.8,2,17,-17
Nebraska,34,2014-08-30,1,,Florida Atlantic,52,W,17,35,48.6,286,2,57,498,8.7,5,92,784,8.5,7,55,48
Nevada,88,2014-08-30,1,,Southern Utah,141,W,30,41,73.2,303,1,55,244,4.4,3,96,547,5.7,4,28,9
New Mexico,89,2014-08-30,1,,UTEP,62,L,5,9,55.6,67,0,52,410,7.9,3,61,477,7.8,3,24,-7
North Carolina,21,2014-08-30,1,,Liberty,67,W,29,45,64.4,235,3,48,208,4.3,4,93,443,4.8,8,56,27
NC State,20,2014-08-30,1,,Georgia Southern,124,W,28,40,70.0,291,3,35,173,4.9,0,75,464,6.2,3,24,1
North Texas,57,2014-08-30,1,@,Texas,48,L,3,17,17.6,15,0,43,79,1.8,0,60,94,1.6,1,7,-31
Northwestern,35,2014-08-30,1,,California,97,L,24,44,54.5,246,2,36,108,3.0,1,80,354,4.4,3,24,-7
Notre Dame,70,2014-08-30,1,,Rice,59,W,14,22,63.6,295,2,42,281,6.7,4,64,576,9.0,6,48,31
Ohio,80,2014-08-30,1,@,Kent State,77,W,18,24,75.0,262,2,44,175,4.0,0,68,437,6.4,2,17,3
Ohio St.,36,2014-08-30,1,N,Navy,7,W,12,15,80.0,226,2,40,194,4.9,1,55,420,7.6,4,34,17
Oklahoma,45,2014-08-30,1,,Louisiana Tech,54,W,19,34,55.9,253,1,40,183,4.6,5,74,436,5.9,6,48,32
Oklahoma St.,46,2014-08-30,1,N,Florida St.,16,L,15,28,53.6,203,1,42,161,3.8,3,70,364,5.2,4,31,-6
Oregon,99,2014-08-30,1,,South Dakota,187,W,25,32,78.1,380,4,38,293,7.7,4,70,673,9.6,9,62,49
Oregon St.,100,2014-08-30,1,,Portland State,139,W,26,45,57.8,328,1,37,177,4.8,1,82,505,6.2,2,29,15
Penn State,37,2014-08-30,1,N,Central Florida,1,W,32,47,68.1,454,1,28,57,2.0,1,75,511,6.8,2,26,2
Pittsburgh,22,2014-08-30,1,,Delaware,153,W,11,14,78.6,92,2,56,409,7.3,7,70,501,7.2,9,62,62
Purdue,38,2014-08-30,1,,Western Michigan,82,W,19,38,50.0,181,2,39,226,5.8,3,77,407,5.3,5,43,9
Rice,59,2014-08-30,1,@,Notre Dame,70,L,15,26,57.7,226,2,40,141,3.5,0,66,367,5.6,2,17,-31
San Diego St.,90,2014-08-30,1,,Northern Arizona,137,W,18,29,62.1,205,1,37,194,5.2,3,66,399,6.0,5,38,31
South Florida,9,2014-08-30,1,,Western Carolina,234,W,10,27,37.0,191,0,33,294,8.9,4,60,485,8.1,4,36,5
Southern Miss,60,2014-08-30,1,@,Mississippi St.,114,L,20,42,47.6,212,0,33,71,2.2,0,75,283,3.8,0,0,-49
Stanford,101,2014-08-30,1,,UC Davis,142,W,21,30,70.0,312,4,32,149,4.7,1,62,461,7.4,6,45,45
Texas,48,2014-08-30,1,,North Texas,57,W,19,34,55.9,190,1,40,163,4.1,3,74,353,4.8,5,38,31
TCU,47,2014-08-30,1,,Samford,232,W,33,50,66.0,355,3,46,200,4.3,3,96,555,5.8,6,48,34
Texas St.,128,2014-08-30,1,,Arkansas-Pine Bluff,250,W,25,30,83.3,319,4,50,378,7.6,5,80,697,8.7,9,65,65
Texas Tech,49,2014-08-30,1,,Central Arkansas,237,W,39,53,73.6,452,4,36,184,5.1,2,89,636,7.1,6,42,7
Toledo,81,2014-08-30,1,,New Hampshire,157,W,25,35,71.4,360,4,45,306,6.8,3,80,666,8.3,7,54,34
Troy,129,2014-08-30,1,@,UAB,61,L,21,31,67.7,201,0,37,71,1.9,1,68,272,4.0,1,10,-38
UAB,61,2014-08-30,1,,Troy,129,W,12,19,63.2,150,2,55,339,6.2,4,74,489,6.6,6,48,38
Central Florida,1,2014-08-30,1,N,Penn State,37,L,12,22,54.5,222,1,29,24,0.8,2,51,246,4.8,3,24,-2
UCLA,102,2014-08-30,1,@,Virginia,24,W,20,34,58.8,242,0,39,116,3.0,1,73,358,4.9,4,28,8
USC,103,2014-08-30,1,,Fresno St.,86,W,28,41,68.3,424,4,64,277,4.3,3,105,701,6.7,7,52,39
UTEP,62,2014-08-30,1,@,New Mexico,89,W,11,22,50.0,116,1,44,330,7.5,3,66,446,6.8,4,31,7
Virginia,24,2014-08-30,1,,UCLA,102,L,29,45,64.4,266,2,39,120,3.1,0,84,386,4.6,2,20,-8
Virginia Tech,25,2014-08-30,1,,William & Mary,163,W,24,31,77.4,266,2,42,222,5.3,2,73,488,6.7,4,34,25
Washington,105,2014-08-30,1,@,Hawaii,87,W,10,26,38.5,162,1,48,174,3.6,1,74,336,4.5,2,17,1
West Virginia,50,2014-08-30,1,N,Alabama,107,L,29,45,64.4,365,1,24,28,1.2,0,69,393,5.7,2,23,-10
Western Michigan,82,2014-08-30,1,@,Purdue,38,L,23,41,56.1,243,2,32,213,6.7,3,73,456,6.2,5,34,-9
Wisconsin,40,2014-08-30,1,N,LSU,113,L,8,24,33.3,50,0,39,268,6.9,3,63,318,5.0,3,24,-4
Wyoming,94,2014-08-30,1,,Montana,135,W,13,21,61.9,92,0,46,209,4.5,2,67,301,4.5,2,17,5
Baylor,41,2014-08-31,1,,SMU,8,W,27,47,57.4,313,3,50,261,5.2,3,97,574,5.9,6,45,45
SMU,8,2014-08-31,1,@,Baylor,41,L,21,40,52.5,91,0,25,-24,-1.0,0,65,67,1.0,0,0,-45
Tennessee,118,2014-08-31,1,,Utah St.,93,W,28,40,70.0,273,3,39,110,2.8,2,79,383,4.8,5,38,31
Utah St.,93,2014-08-31,1,@,Tennessee,118,L,18,35,51.4,144,1,24,100,4.2,0,59,244,4.1,1,7,-31
Louisville,18,2014-09-01,1,,Miami (FL),19,W,20,28,71.4,206,2,43,130,3.0,1,71,336,4.7,4,31,18
Miami (FL),19,2014-09-01,1,@,Louisville,18,L,17,29,58.6,174,1,27,70,2.6,0,56,244,4.4,1,13,-18
Arizona,95,2014-09-04,2,@,UTSA,63,W,17,32,53.1,231,1,44,223,5.1,1,76,454,6.0,2,26,3
UTSA,63,2014-09-04,2,,Arizona,95,L,22,33,66.7,228,1,39,121,3.1,2,72,349,4.8,3,23,-3
Boston College,13,2014-09-05,2,,Pittsburgh,22,L,10,28,35.7,134,1,34,142,4.2,2,62,276,4.5,3,20,-10
Nevada,88,2014-09-05,2,,Washington St.,106,W,12,21,57.1,110,0,56,214,3.8,3,77,324,4.2,3,24,11
Pittsburgh,22,2014-09-05,2,@,Boston College,13,W,10,20,50.0,111,2,50,302,6.0,1,70,413,5.9,3,30,10
Washington St.,106,2014-09-05,2,@,Nevada,88,L,38,57,66.7,389,1,18,38,2.1,0,75,427,5.7,1,13,-11
Air Force,83,2014-09-06,2,@,Wyoming,94,L,17,32,53.1,226,0,52,151,2.9,1,84,377,4.5,1,13,-4
Akron,71,2014-09-06,2,@,Penn State,37,L,24,46,52.2,208,0,25,69,2.8,0,71,277,3.9,0,3,-18
Alabama,107,2014-09-06,2,,Florida Atlantic,52,W,27,38,71.1,430,3,32,190,5.9,2,70,620,8.9,5,41,41
Arizona St.,96,2014-09-06,2,@,New Mexico,89,W,12,21,57.1,198,2,48,423,8.8,6,69,621,9.0,8,58,35
Arkansas,108,2014-09-06,2,,Nicholls State,242,W,8,14,57.1,189,4,40,495,12.4,6,54,684,12.7,10,73,66
Arkansas St.,122,2014-09-06,2,@,Tennessee,118,L,22,36,61.1,190,1,42,141,3.4,2,78,331,4.2,3,19,-15
Army,65,2014-09-06,1,,Buffalo,74,W,7,7,100.0,125,0,54,341,6.3,7,61,466,7.6,7,47,8
Auburn,109,2014-09-06,2,,San Jose St.,91,W,13,23,56.5,135,1,50,358,7.2,6,73,493,6.8,8,59,46
Ball St.,72,2014-09-06,2,@,Iowa,29,L,15,30,50.0,129,0,36,90,2.5,0,66,219,3.3,1,13,-4
Baylor,41,2014-09-06,2,,Northwestern State,243,W,19,28,67.9,455,5,50,265,5.3,5,78,720,9.2,10,70,64
Boise St.,84,2014-09-06,2,,Colorado St.,85,W,22,33,66.7,352,2,56,324,5.8,3,89,676,7.6,5,37,13
Bowling Green,73,2014-09-06,2,,VMI,233,W,25,34,73.5,266,1,37,260,7.0,4,71,526,7.4,7,48,41
BYU,66,2014-09-06,2,@,Texas,48,W,18,28,64.3,181,0,60,248,4.1,5,88,429,4.9,5,41,34
Buffalo,74,2014-09-06,2,@,Army,65,L,34,50,68.0,396,5,29,153,5.3,0,79,549,6.9,5,39,-8
California,97,2014-09-06,2,,Sacramento State,140,W,21,29,72.4,326,5,47,253,5.4,2,76,579,7.6,7,55,41
Central Michigan,75,2014-09-06,2,@,Purdue,38,W,11,16,68.8,172,2,43,161,3.7,2,59,333,5.6,5,38,21
Clemson,14,2014-09-06,2,,South Carolina State,181,W,32,42,76.2,467,4,51,268,5.3,4,93,735,7.9,9,73,66
Colorado,98,2014-09-06,2,N,Massachusetts,68,W,26,42,61.9,318,3,47,156,3.3,2,89,474,5.3,5,41,3
Colorado St.,85,2014-09-06,2,@,Boise St.,84,L,31,58,53.4,434,3,23,28,1.2,0,81,462,5.7,3,24,-13
Connecticut,3,2014-09-06,2,,Stony Brook,160,W,12,27,44.4,142,1,37,81,2.2,0,64,223,3.5,2,19,3
Duke,15,2014-09-06,2,@,Troy,129,W,28,42,66.7,270,2,41,182,4.4,2,83,452,5.4,4,34,17
East Carolina,4,2014-09-06,2,@,South Carolina,117,L,32,46,69.6,321,1,21,132,6.3,1,67,453,6.8,2,23,-10
Eastern Michigan,76,2014-09-06,2,@,Florida,110,L,9,21,42.9,45,0,34,80,2.4,0,55,125,2.3,0,0,-65
Florida,110,2014-09-06,2,,Eastern Michigan,76,W,33,47,70.2,396,3,39,259,6.6,4,86,655,7.6,8,65,65
Florida Atlantic,52,2014-09-06,2,@,Alabama,107,L,12,19,63.2,88,0,24,57,2.4,0,43,145,3.4,0,0,-41
Florida Intl,53,2014-09-06,2,,Wagner,200,W,23,33,69.7,229,2,34,148,4.4,1,67,377,5.6,4,34,31
Florida St.,16,2014-09-06,2,,Citadel,228,W,25,32,78.1,284,2,35,210,6.0,2,67,494,7.4,4,37,25
Fresno St.,86,2014-09-06,2,@,Utah,104,L,24,40,60.0,283,3,40,55,1.4,1,80,338,4.2,4,27,-32
Georgia St.,125,2014-09-06,2,,New Mexico State,69,L,21,37,56.8,294,1,39,162,4.2,3,76,456,6.0,4,31,-3
Georgia Tech,17,2014-09-06,2,@,Tulane,11,W,3,8,37.5,15,0,57,344,6.0,4,65,359,5.5,5,38,17
Hawaii,87,2014-09-06,2,,Oregon St.,100,L,20,51,39.2,236,0,33,100,3.0,4,84,336,4.0,4,30,-8
Houston,5,2014-09-06,2,,Grambling,251,W,15,26,57.7,202,1,40,275,6.9,3,66,477,7.2,5,47,47
Idaho,133,2014-09-06,2,@,UL Monroe,130,L,26,47,55.3,324,3,36,118,3.3,1,83,442,5.3,4,31,-7
Illinois,27,2014-09-06,2,,Western Kentucky,64,W,35,50,70.0,456,3,35,64,1.8,2,85,520,6.1,6,42,8
Iowa,29,2014-09-06,2,,Ball St.,72,W,35,55,63.6,342,2,29,113,3.9,0,84,455,5.4,2,17,4
Iowa St.,42,2014-09-06,2,,Kansas St.,44,L,22,33,66.7,214,2,37,105,2.8,1,70,319,4.6,4,28,-4
Kansas,43,2014-09-06,1,,Southeast Missouri,206,W,12,24,50.0,196,3,49,261,5.3,1,73,457,6.3,4,34,6
Kansas St.,44,2014-09-06,2,@,Iowa St.,42,W,16,29,55.2,239,0,41,232,5.7,4,70,471,6.7,4,32,4
Kent State,77,2014-09-06,2,,South Alabama,127,L,17,40,42.5,213,2,28,64,2.3,0,68,277,4.1,2,13,-10
Kentucky,112,2014-09-06,2,,Ohio,80,W,17,31,54.8,170,1,52,232,4.5,1,83,402,4.8,2,20,17
Louisiana,126,2014-09-06,2,,Louisiana Tech,54,L,29,44,65.9,237,2,34,178,5.2,1,78,415,5.3,3,20,-28
Louisiana Tech,54,2014-09-06,2,@,Louisiana,126,W,22,33,66.7,295,2,35,238,6.8,3,68,533,7.8,6,48,28
UL Monroe,130,2014-09-06,2,,Idaho,133,W,24,45,53.3,384,2,37,150,4.1,3,82,534,6.5,5,38,7
Louisville,18,2014-09-06,2,,Murray State,205,W,25,39,64.1,278,3,49,325,6.6,6,88,603,6.9,9,66,45
LSU,113,2014-09-06,2,,Sam Houston State,244,W,11,18,61.1,250,4,58,334,5.8,4,76,584,7.7,8,56,56
Marshall,55,2014-09-06,2,,Rhode Island,158,W,18,35,51.4,292,2,46,432,9.4,4,81,724,8.9,6,48,41
Maryland,30,2014-09-06,2,@,South Florida,9,W,17,28,60.7,201,2,40,116,2.9,0,68,317,4.7,3,24,7
Massachusetts,68,2014-09-06,2,N,Colorado,98,L,20,38,52.6,267,3,30,104,3.5,2,68,371,5.5,5,38,-3
Memphis,6,2014-09-06,2,@,UCLA,102,L,27,42,64.3,305,1,39,164,4.2,3,81,469,5.8,5,35,-7
Miami (FL),19,2014-09-06,2,,Florida A&M,175,W,17,30,56.7,218,2,33,198,6.0,3,63,416,6.6,5,41,34
Miami (OH),78,2014-09-06,2,,Eastern Kentucky,203,L,25,52,48.1,359,1,38,60,1.6,0,90,419,4.7,1,10,-7
Michigan,31,2014-09-06,2,@,Notre Dame,70,L,19,32,59.4,189,0,35,100,2.9,0,67,289,4.3,0,0,-31
Michigan St.,32,2014-09-06,2,@,Oregon,99,L,29,47,61.7,343,2,36,123,3.4,1,83,466,5.6,3,27,-19
Middle Tennessee,56,2014-09-06,2,@,Minnesota,33,L,22,38,57.9,255,1,43,190,4.4,2,81,445,5.5,3,24,-11
Minnesota,33,2014-09-06,2,,Middle Tennessee,56,W,5,11,45.5,67,1,50,284,5.7,3,61,351,5.8,5,35,11
Mississippi St.,114,2014-09-06,2,,UAB,61,W,14,31,45.2,224,4,57,292,5.1,2,88,516,5.9,7,47,13
Missouri,115,2014-09-06,2,@,Toledo,81,W,21,33,63.6,325,5,47,177,3.8,2,80,502,6.3,7,49,25
Navy,7,2014-09-06,2,@,Temple,10,W,4,8,50.0,30,0,63,487,7.7,4,71,517,7.3,4,31,7
Nebraska,34,2014-09-06,2,,McNeese State,241,W,16,31,51.6,242,2,33,195,5.9,2,64,437,6.8,4,31,7
New Mexico,89,2014-09-06,2,,Arizona St.,96,L,7,11,63.6,130,1,57,207,3.6,2,68,337,5.0,3,23,-35
New Mexico State,69,2014-09-06,2,@,Georgia St.,125,W,25,44,56.8,241,3,41,194,4.7,0,85,435,5.1,4,34,3
North Carolina,21,2014-09-06,2,,San Diego St.,90,W,21,31,67.7,263,2,33,131,4.0,1,64,394,6.2,4,31,4
NC State,20,2014-09-06,2,,Old Dominion,58,W,21,29,72.4,253,2,39,242,6.2,4,68,495,7.3,6,46,12
North Texas,57,2014-09-06,2,,SMU,8,W,12,17,70.6,108,0,55,245,4.5,3,72,353,4.9,4,43,37
Northern Illinois,79,2014-09-06,2,@,Northwestern,35,W,13,23,56.5,180,2,55,221,4.0,1,78,401,5.1,3,23,8
Northwestern,35,2014-09-06,2,,Northern Illinois,79,L,28,43,65.1,322,2,37,72,1.9,0,80,394,4.9,2,15,-8
Notre Dame,70,2014-09-06,2,,Michigan,31,W,23,34,67.6,226,3,31,54,1.7,1,65,280,4.3,4,31,31
Ohio,80,2014-09-06,2,@,Kentucky,112,L,14,32,43.8,149,0,28,74,2.6,0,60,223,3.7,0,3,-17
Ohio St.,36,2014-09-06,2,,Virginia Tech,25,L,9,29,31.0,219,1,40,108,2.7,2,69,327,4.7,3,21,-14
Oklahoma,45,2014-09-06,2,@,Tulsa,12,W,24,38,63.2,319,2,31,261,8.4,4,69,580,8.4,7,52,45
Oklahoma St.,46,2014-09-06,2,,Missouri State,184,W,21,35,60.0,274,2,35,206,5.9,2,70,480,6.9,4,40,17
Old Dominion,58,2014-09-06,2,@,NC State,20,L,36,50,72.0,308,2,37,196,5.3,3,87,504,5.8,5,34,-12
Ole Miss,116,2014-09-06,2,N,Vanderbilt,120,W,28,38,73.7,367,1,50,180,3.6,3,88,547,6.2,5,41,38
Oregon,99,2014-09-06,2,,Michigan St.,32,W,17,28,60.7,318,3,40,173,4.3,3,68,491,7.2,6,46,19
Oregon St.,100,2014-09-06,2,@,Hawaii,87,W,26,37,70.3,300,3,36,164,4.6,2,73,464,6.4,5,38,8
Penn State,37,2014-09-06,2,,Akron,71,W,22,37,59.5,319,3,31,106,3.4,0,68,425,6.3,3,21,18
Purdue,38,2014-09-06,2,,Central Michigan,75,L,24,49,49.0,204,1,34,122,3.6,1,83,326,3.9,2,17,-21
Rutgers,39,2014-09-06,2,,Howard,176,W,16,22,72.7,288,4,38,109,2.9,1,60,397,6.6,5,38,13
San Diego St.,90,2014-09-06,2,@,North Carolina,21,L,23,39,59.0,341,1,35,168,4.8,2,74,509,6.9,3,27,-4
San Jose St.,91,2014-09-06,2,@,Auburn,109,L,19,32,59.4,254,1,45,65,1.4,0,77,319,4.1,1,13,-46
SMU,8,2014-09-06,2,@,North Texas,57,L,24,45,53.3,266,1,14,8,0.6,0,59,274,4.6,1,6,-37
South Alabama,127,2014-09-06,1,@,Kent State,77,W,15,25,60.0,161,1,50,186,3.7,2,75,347,4.6,3,23,10
South Carolina,117,2014-09-06,2,,East Carolina,4,W,25,38,65.8,266,1,38,175,4.6,2,76,441,5.8,3,33,10
South Florida,9,2014-09-06,2,,Maryland,30,L,15,37,40.5,174,0,37,83,2.2,1,74,257,3.5,2,17,-7
Southern Miss,60,2014-09-06,2,,Alcorn State,249,W,21,33,63.6,208,2,42,207,4.9,0,75,415,5.5,2,26,6
