School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Northern Illinois,79,2010-09-02,1,@,Iowa St.,42,L,10,27,-17,14,29,48.3,93,0,3,36,156,4.3,1,5,1,0,3,1,27,36,75.0,265,0,37,138,3.7,3,1,2,3,3
Ohio St.,36,2010-09-02,1,,Marshall,55,W,45,7,38,18,27,66.7,249,3,0,41,280,6.8,2,6,1,0,0,6,18,35,51.4,155,0,21,44,2.1,0,2,1,3,1
Pittsburgh,22,2010-09-02,1,@,Utah,104,L,24,27,-3,16,28,57.1,184,1,1,36,82,2.3,1,1,0,1,2,2,21,36,58.3,283,3,27,122,4.5,0,2,1,3,3
Rutgers,39,2010-09-02,1,,Norfolk State,178,W,31,0,31,11,21,52.4,154,1,0,50,268,5.4,1,8,2,0,0,3,11,24,45.8,131,0,24,25,1.0,0,1,0,1,0
South Carolina,117,2010-09-02,1,,Southern Miss,60,W,41,13,28,20,30,66.7,225,1,1,35,224,6.4,4,4,1,0,1,5,38,57,66.7,337,1,27,67,2.5,0,1,1,2,1
Southern Miss,60,2010-09-02,1,@,South Carolina,117,L,13,41,-28,38,57,66.7,337,1,1,27,67,2.5,0,5,3,1,2,1,20,30,66.7,225,1,35,224,6.4,4,0,1,1,5
Tulane,11,2010-09-02,1,,Southeastern Louisiana,245,W,27,21,6,17,26,65.4,129,0,1,41,123,3.0,3,8,2,1,2,3,17,35,48.6,202,3,28,64,2.3,0,3,1,4,3
UAB,61,2010-09-02,1,,Florida Atlantic,52,L,31,32,-1,9,19,47.4,79,1,1,47,345,7.3,3,8,3,0,1,4,15,25,60.0,257,3,27,90,3.3,1,0,1,1,5
USC,103,2010-09-02,1,@,Hawaii,87,W,49,36,13,20,27,74.1,278,5,0,35,246,7.0,1,6,4,1,1,7,27,49,55.1,459,3,29,129,4.4,1,0,0,0,4
Utah,104,2010-09-02,1,,Pittsburgh,22,W,27,24,3,21,36,58.3,283,3,1,27,122,4.5,0,4,2,2,3,3,16,28,57.1,184,1,36,82,2.3,1,1,1,2,2
Wake Forest,26,2010-09-02,1,,Presbyterian,151,W,53,13,40,10,24,41.7,94,0,0,50,415,8.3,6,10,4,1,1,7,24,42,57.1,292,2,34,70,2.1,0,0,1,1,2
Arizona,95,2010-09-03,1,@,Toledo,81,W,41,2,39,37,44,84.1,413,3,1,25,105,4.2,3,7,2,0,1,6,14,23,60.9,103,0,28,80,2.9,0,1,1,2,0
Temple,10,2010-09-03,1,,Villanova,162,W,31,24,7,16,27,59.3,200,1,0,37,122,3.3,1,6,1,1,1,3,20,28,71.4,172,2,32,139,4.3,1,1,1,2,3
Toledo,81,2010-09-03,1,,Arizona,95,L,2,41,-39,14,23,60.9,103,0,1,28,80,2.9,0,3,1,1,2,0,37,44,84.1,413,3,25,105,4.2,3,0,1,1,6
Air Force,83,2010-09-04,1,,Northwestern State,243,W,65,21,44,7,12,58.3,179,2,0,61,437,7.2,7,8,5,1,1,9,22,37,59.5,249,2,32,62,1.9,1,0,1,1,3
Akron,71,2010-09-04,1,,Syracuse,23,L,3,29,-26,12,35,34.3,111,0,0,24,55,2.3,0,2,1,0,0,0,17,27,63.0,229,2,45,202,4.5,1,2,1,3,4
Alabama,107,2010-09-04,1,,San Jose St.,91,W,48,3,45,22,30,73.3,334,2,0,41,257,6.3,4,2,1,1,1,6,8,19,42.1,86,0,29,89,3.1,0,0,1,1,0
Arizona St.,96,2010-09-04,1,,Portland State,139,W,54,9,45,20,31,64.5,311,2,1,35,242,6.9,5,9,3,0,1,7,18,36,50.0,209,0,30,47,1.6,0,0,3,3,0
Arkansas,108,2010-09-04,1,,Tennessee Tech,208,W,44,3,41,23,30,76.7,323,3,2,28,196,7.0,3,10,3,1,3,6,7,14,50.0,108,0,43,79,1.8,0,0,0,0,0
Arkansas St.,122,2010-09-04,1,@,Auburn,109,L,26,52,-26,33,49,67.3,323,1,0,35,43,1.2,2,6,1,0,0,3,11,16,68.8,241,3,49,367,7.5,4,2,0,2,7
Army,65,2010-09-04,1,@,Eastern Michigan,76,W,31,27,4,5,11,45.5,65,0,0,55,309,5.6,4,6,1,1,1,4,4,9,44.4,31,1,51,285,5.6,3,2,1,3,4
Auburn,109,2010-09-04,1,,Arkansas St.,122,W,52,26,26,11,16,68.8,241,3,0,49,367,7.5,4,10,4,2,2,7,33,49,67.3,323,1,35,43,1.2,2,0,0,0,3
Baylor,41,2010-09-04,1,,Sam Houston State,244,W,34,3,31,21,42,50.0,263,2,0,25,200,8.0,2,10,2,1,1,4,13,27,48.1,107,0,39,88,2.3,0,1,0,1,0
Boston College,13,2010-09-04,1,,Weber State,143,W,38,20,18,12,23,52.2,223,3,2,33,188,5.7,1,6,1,1,3,5,29,47,61.7,277,1,39,104,2.7,1,2,1,3,2
Bowling Green,73,2010-09-04,1,@,Troy,129,L,27,30,-3,22,43,51.2,221,1,1,25,108,4.3,1,5,3,2,3,3,28,41,68.3,268,1,43,207,4.8,2,0,2,2,3
BYU,66,2010-09-04,1,,Washington,105,W,23,17,6,24,40,60.0,262,2,0,33,146,4.4,0,3,1,0,0,2,20,39,51.3,266,1,31,128,4.1,1,0,0,0,2
California,97,2010-09-04,1,,UC Davis,142,W,52,3,49,20,28,71.4,287,3,0,47,230,4.9,4,4,2,1,1,7,9,26,34.6,67,0,19,14,0.7,0,1,0,1,0
Cincinnati,2,2010-09-04,1,@,Fresno St.,86,L,14,28,-14,24,41,58.5,219,1,0,32,15,0.5,1,5,2,1,1,2,18,24,75.0,247,4,30,49,1.6,0,0,1,1,4
Clemson,14,2010-09-04,1,,North Texas,57,W,35,10,25,10,21,47.6,176,2,1,25,246,9.8,3,13,6,0,1,5,22,34,64.7,269,1,49,193,3.9,0,0,2,2,1
Colorado,98,2010-09-04,1,N,Colorado St.,85,W,24,3,21,17,25,68.0,192,2,1,35,115,3.3,1,8,3,0,1,3,24,33,72.7,196,0,25,49,2.0,0,0,3,3,0
Colorado St.,85,2010-09-04,1,N,Colorado,98,L,3,24,-21,24,33,72.7,196,0,3,25,49,2.0,0,4,2,0,3,0,17,25,68.0,192,2,35,115,3.3,1,0,1,1,3
Connecticut,3,2010-09-04,1,@,Michigan,31,L,10,30,-20,18,38,47.4,205,0,0,30,138,4.6,1,11,0,1,1,1,19,22,86.4,186,1,61,287,4.7,3,0,0,0,4
Duke,15,2010-09-04,1,,Elon,154,W,41,27,14,31,39,79.5,350,2,0,45,192,4.3,3,4,2,0,0,5,22,42,52.4,281,1,21,125,6.0,2,0,2,2,3
Eastern Michigan,76,2010-09-04,1,,Army,65,L,27,31,-4,4,9,44.4,31,1,1,51,285,5.6,3,2,1,2,3,4,5,11,45.5,65,0,55,309,5.6,4,1,0,1,4
Florida,110,2010-09-04,1,,Miami (OH),78,W,34,12,22,17,25,68.0,113,2,0,31,99,3.2,2,8,2,3,3,5,26,46,56.5,208,0,22,4,0.2,0,0,4,4,0
Florida St.,16,2010-09-04,1,,Samford,232,W,59,6,53,22,27,81.5,296,4,2,26,185,7.1,3,10,4,0,2,8,27,39,69.2,223,0,38,77,2.0,0,0,1,1,0
Fresno St.,86,2010-09-04,1,,Cincinnati,2,W,28,14,14,18,24,75.0,247,4,1,30,49,1.6,0,12,8,0,1,4,24,41,58.5,219,1,32,15,0.5,1,1,0,1,2
Georgia,111,2010-09-04,1,,Louisiana,126,W,55,7,48,19,31,61.3,193,4,1,37,184,5.0,2,9,3,0,1,7,8,24,33.3,114,1,29,14,0.5,0,0,3,3,1
Georgia Tech,17,2010-09-04,1,,South Carolina State,181,W,41,10,31,2,8,25.0,12,0,1,56,372,6.6,6,7,0,1,2,6,11,25,44.0,94,0,39,178,4.6,1,1,0,1,1
Houston,5,2010-09-04,1,,Texas St.,128,W,68,28,40,25,33,75.8,346,6,2,22,151,6.9,3,8,3,0,2,10,15,31,48.4,165,1,57,180,3.2,3,1,3,4,4
Illinois,27,2010-09-04,1,N,Missouri,115,L,13,23,-10,9,23,39.1,81,1,3,41,200,4.9,0,8,1,1,4,1,34,48,70.8,281,2,29,98,3.4,0,1,0,1,2
Iowa,29,2010-09-04,1,,Eastern Illinois,202,W,37,7,30,21,26,80.8,256,1,0,39,179,4.6,3,7,2,2,2,5,13,20,65.0,92,1,24,65,2.7,0,0,0,0,1
Kansas,43,2010-09-04,1,,North Dakota State,185,L,3,6,-3,19,33,57.6,197,0,1,32,96,3.0,0,7,1,2,3,0,12,22,54.5,95,0,32,73,2.3,0,0,1,1,0
Kansas St.,44,2010-09-04,1,,UCLA,102,W,31,22,9,12,17,70.6,64,1,0,54,313,5.8,3,5,3,2,2,4,9,26,34.6,120,1,37,193,5.2,1,1,2,3,2
Kentucky,112,2010-09-04,1,@,Louisville,18,W,23,16,7,18,27,66.7,236,0,0,37,230,6.2,3,8,2,0,0,3,14,29,48.3,127,0,32,190,5.9,1,1,1,2,1
Louisiana,126,2010-09-04,1,@,Georgia,111,L,7,55,-48,8,24,33.3,114,1,3,29,14,0.5,0,7,0,0,3,1,19,31,61.3,193,4,37,184,5.0,2,0,1,1,7
Louisiana Tech,54,2010-09-04,1,,Grambling,251,W,20,6,14,23,31,74.2,196,0,0,38,140,3.7,2,6,3,1,1,2,15,25,60.0,158,0,37,102,2.8,0,0,2,2,0
Louisville,18,2010-09-04,1,,Kentucky,112,L,16,23,-7,14,29,48.3,127,0,1,32,190,5.9,1,4,0,1,2,1,18,27,66.7,236,0,37,230,6.2,3,0,0,0,3
LSU,113,2010-09-04,1,N,North Carolina,21,W,30,24,6,15,21,71.4,151,2,1,36,162,4.5,1,11,4,4,5,4,28,46,60.9,412,3,33,24,0.7,0,3,0,3,3
Memphis,6,2010-09-04,1,@,Mississippi St.,114,L,7,49,-42,20,32,62.5,196,1,2,21,41,2.0,0,5,1,0,2,1,20,25,80.0,372,5,41,197,4.8,2,0,1,1,7
Miami (OH),78,2010-09-04,1,@,Florida,110,L,12,34,-22,26,46,56.5,208,0,4,22,4,0.2,0,7,0,0,4,0,17,25,68.0,113,2,31,99,3.2,2,3,0,3,5
Michigan,31,2010-09-04,1,,Connecticut,3,W,30,10,20,19,22,86.4,186,1,0,61,287,4.7,3,4,0,0,0,4,18,38,47.4,205,0,30,138,4.6,1,1,0,1,1
Michigan St.,32,2010-09-04,1,,Western Michigan,82,W,38,14,24,13,22,59.1,186,1,0,37,297,8.0,4,5,1,2,2,5,30,53,56.6,238,2,32,85,2.7,0,2,1,3,2
Mississippi St.,114,2010-09-04,1,,Memphis,6,W,49,7,42,20,25,80.0,372,5,1,41,197,4.8,2,6,1,0,1,7,20,32,62.5,196,1,21,41,2.0,0,0,2,2,1
Missouri,115,2010-09-04,1,N,Illinois,27,W,23,13,10,34,48,70.8,281,2,0,29,98,3.4,0,7,2,1,1,2,9,23,39.1,81,1,41,200,4.9,0,1,3,4,1
Nebraska,34,2010-09-04,1,,Western Kentucky,64,W,49,10,39,17,25,68.0,247,1,0,33,289,8.8,6,2,1,2,2,7,12,22,54.5,120,0,40,179,4.5,1,1,1,2,1
New Mexico,89,2010-09-04,1,@,Oregon,99,L,0,72,-72,13,29,44.8,82,0,2,32,25,0.8,0,2,0,3,5,0,23,37,62.2,351,2,58,369,6.4,5,0,1,1,9
North Carolina,21,2010-09-04,1,N,LSU,113,L,24,30,-6,28,46,60.9,412,3,0,33,24,0.7,0,6,1,3,3,3,15,21,71.4,151,2,36,162,4.5,1,4,1,5,4
NC State,20,2010-09-04,1,,Western Carolina,234,W,48,7,41,25,38,65.8,351,4,0,36,129,3.6,2,6,4,0,0,6,10,18,55.6,103,1,31,86,2.8,0,1,0,1,1
North Texas,57,2010-09-04,1,@,Clemson,14,L,10,35,-25,22,34,64.7,269,1,2,49,193,3.9,0,1,0,0,2,1,10,21,47.6,176,2,25,246,9.8,3,0,1,1,5
Northwestern,35,2010-09-04,1,@,Vanderbilt,120,W,23,21,2,19,21,90.5,222,3,0,46,143,3.1,0,5,1,1,1,3,19,33,57.6,240,1,38,192,5.1,2,0,1,1,3
Notre Dame,70,2010-09-04,1,,Purdue,38,W,23,12,11,19,26,73.1,205,1,0,36,153,4.3,1,5,4,1,1,2,31,42,73.8,220,0,32,102,3.2,1,0,2,2,1
Ohio,80,2010-09-04,1,,Wofford,235,W,33,10,23,8,17,47.1,101,0,1,47,230,4.9,3,3,0,1,2,4,0,4,0.0,0,0,51,220,4.3,1,3,0,3,1
Oklahoma,45,2010-09-04,1,,Utah St.,93,W,31,24,7,17,36,47.2,217,2,2,45,195,4.3,2,9,3,0,2,4,17,37,45.9,341,2,38,80,2.1,1,1,3,4,3
Oklahoma St.,46,2010-09-04,1,,Washington St.,106,W,65,17,48,27,37,73.0,253,3,0,44,291,6.6,5,7,3,0,0,9,14,30,46.7,212,1,41,112,2.7,1,2,0,2,2
Ole Miss,116,2010-09-04,1,,Jacksonville State,204,L,48,49,-1,13,20,65.0,242,3,1,52,237,4.6,3,5,2,2,3,6,22,36,61.1,252,4,33,103,3.1,1,0,0,0,6
Oregon,99,2010-09-04,1,,New Mexico,89,W,72,0,72,23,37,62.2,351,2,1,58,369,6.4,5,8,1,0,1,9,13,29,44.8,82,0,32,25,0.8,0,3,2,5,0
Oregon St.,100,2010-09-04,1,@,TCU,47,L,21,30,-9,10,26,38.5,182,2,0,25,73,2.9,1,2,1,0,0,3,17,27,63.0,175,1,54,278,5.1,3,0,2,2,4
Penn State,37,2010-09-04,1,,Youngstown State,191,W,44,14,30,20,29,69.0,239,2,1,29,132,4.6,2,5,1,0,1,5,21,25,84.0,189,2,34,75,2.2,0,0,0,0,2
Purdue,38,2010-09-04,1,@,Notre Dame,70,L,12,23,-11,31,42,73.8,220,0,2,32,102,3.2,1,7,3,0,2,1,19,26,73.1,205,1,36,153,4.3,1,1,0,1,2
Rice,59,2010-09-04,1,,Texas,48,L,17,34,-17,12,18,66.7,131,1,1,42,88,2.1,1,2,0,1,2,2,14,24,58.3,172,0,46,197,4.3,3,1,0,1,4
San Diego St.,90,2010-09-04,1,,Nicholls State,242,W,47,0,47,18,27,66.7,313,2,0,34,218,6.4,4,12,3,1,1,6,12,26,46.2,83,0,37,88,2.4,0,1,0,1,0
San Jose St.,91,2010-09-04,1,@,Alabama,107,L,3,48,-45,8,19,42.1,86,0,1,29,89,3.1,0,4,1,0,1,0,22,30,73.3,334,2,41,257,6.3,4,1,0,1,6
South Florida,9,2010-09-04,1,,Stony Brook,160,W,59,14,45,24,36,66.7,383,3,0,32,180,5.6,3,3,1,2,2,8,9,21,42.9,112,1,37,142,3.8,1,0,4,4,2
Stanford,101,2010-09-04,1,,Sacramento State,140,W,52,17,35,17,24,70.8,316,4,0,38,213,5.6,3,7,3,2,2,7,15,27,55.6,113,0,30,44,1.5,1,1,0,1,2
Syracuse,23,2010-09-04,1,@,Akron,71,W,29,3,26,17,27,63.0,229,2,1,45,202,4.5,1,4,3,2,3,4,12,35,34.3,111,0,24,55,2.3,0,0,0,0,0
Tennessee,118,2010-09-04,1,,Tennessee-Martin,209,W,50,0,50,17,30,56.7,205,1,1,43,332,7.7,4,9,1,1,2,6,11,26,42.3,86,0,29,56,1.9,0,0,2,2,0
Texas,48,2010-09-04,1,@,Rice,59,W,34,17,17,14,24,58.3,172,0,0,46,197,4.3,3,9,3,1,1,4,12,18,66.7,131,1,42,88,2.1,1,1,1,2,2
Texas A&M,119,2010-09-04,1,,Stephen F. Austin,246,W,48,7,41,31,44,70.5,347,2,0,55,192,3.5,3,6,1,0,0,6,26,45,57.8,235,1,17,31,1.8,0,1,1,2,1
TCU,47,2010-09-04,1,,Oregon St.,100,W,30,21,9,17,27,63.0,175,1,2,54,278,5.1,3,5,2,0,2,4,10,26,38.5,182,2,25,73,2.9,1,0,0,0,3
Troy,129,2010-09-04,1,,Bowling Green,73,W,30,27,3,28,41,68.3,268,1,2,43,207,4.8,2,6,2,0,2,3,22,43,51.2,221,1,25,108,4.3,1,2,1,3,3
Central Florida,1,2010-09-04,1,,South Dakota,187,W,38,7,31,18,22,81.8,241,2,0,46,231,5.0,3,7,1,0,0,5,10,19,52.6,104,0,26,116,4.5,1,0,0,0,1
UCLA,102,2010-09-04,1,@,Kansas St.,44,L,22,31,-9,9,26,34.6,120,1,2,37,193,5.2,1,9,6,1,3,2,12,17,70.6,64,1,54,313,5.8,3,2,0,2,4
UNLV,92,2010-09-04,1,,Wisconsin,40,L,21,41,-20,10,26,38.5,105,2,0,27,112,4.1,0,4,0,1,1,3,15,20,75.0,197,0,50,278,5.6,4,1,1,2,5
Utah St.,93,2010-09-04,1,@,Oklahoma,45,L,24,31,-7,17,37,45.9,341,2,3,38,80,2.1,1,6,3,1,4,3,17,36,47.2,217,2,45,195,4.3,2,0,2,2,4
UTEP,62,2010-09-04,1,,Arkansas-Pine Bluff,250,W,31,10,21,17,28,60.7,229,0,1,40,234,5.9,4,3,2,1,2,4,20,33,60.6,202,1,26,76,2.9,0,0,2,2,1
Vanderbilt,120,2010-09-04,1,,Northwestern,35,L,21,23,-2,19,33,57.6,240,1,1,38,192,5.1,2,11,3,0,1,3,19,21,90.5,222,3,46,143,3.1,0,1,0,1,3
Virginia,24,2010-09-04,1,,Richmond,159,W,34,13,21,24,35,68.6,283,1,0,35,205,5.9,4,8,2,1,1,5,19,33,57.6,189,0,30,144,4.8,1,0,1,1,1
Washington,105,2010-09-04,1,@,BYU,66,L,17,23,-6,20,39,51.3,266,1,0,31,128,4.1,1,4,0,0,0,2,24,40,60.0,262,2,33,146,4.4,0,0,0,0,2
Washington St.,106,2010-09-04,1,@,Oklahoma St.,46,L,17,65,-48,14,30,46.7,212,1,0,41,112,2.7,1,4,2,2,2,2,27,37,73.0,253,3,44,291,6.6,5,0,0,0,9
West Virginia,50,2010-09-04,1,,Coastal Carolina,123,W,31,0,31,23,32,71.9,216,2,1,39,184,4.7,2,7,0,2,3,4,14,27,51.9,123,0,33,63,1.9,0,1,1,2,0
Western Kentucky,64,2010-09-04,1,@,Nebraska,34,L,10,49,-39,12,22,54.5,120,0,1,40,179,4.5,1,3,1,1,2,1,17,25,68.0,247,1,33,289,8.8,6,2,0,2,7
Western Michigan,82,2010-09-04,1,@,Michigan St.,32,L,14,38,-24,30,53,56.6,238,2,1,32,85,2.7,0,3,2,2,3,2,13,22,59.1,186,1,37,297,8.0,4,2,0,2,5
Wisconsin,40,2010-09-04,1,@,UNLV,92,W,41,21,20,15,20,75.0,197,0,1,50,278,5.6,4,6,4,1,2,5,10,26,38.5,105,2,27,112,4.1,0,1,0,1,3
Wyoming,94,2010-09-04,1,,Southern Utah,141,W,28,20,8,26,32,81.3,319,3,1,25,36,1.4,1,7,4,1,2,4,22,37,59.5,193,1,42,191,4.5,1,0,0,0,2
East Carolina,4,2010-09-05,1,,Tulsa,12,W,51,49,2,27,47,57.4,383,5,1,34,155,4.6,2,8,1,0,1,7,28,43,65.1,399,5,41,180,4.4,2,1,1,2,7
SMU,8,2010-09-05,1,@,Texas Tech,49,L,27,35,-8,21,38,55.3,218,2,3,27,109,4.0,1,6,2,1,4,3,34,53,64.2,359,4,31,72,2.3,1,1,0,1,5
Texas Tech,49,2010-09-05,1,,SMU,8,W,35,27,8,34,53,64.2,359,4,0,31,72,2.3,1,6,5,1,1,5,21,38,55.3,218,2,27,109,4.0,1,1,3,4,3
Tulsa,12,2010-09-05,1,@,East Carolina,4,L,49,51,-2,28,43,65.1,399,5,1,41,180,4.4,2,5,1,1,2,7,27,47,57.4,383,5,34,155,4.6,2,0,1,1,7
Boise St.,84,2010-09-06,1,@,Virginia Tech,25,W,33,30,3,23,38,60.5,215,3,0,24,168,7.0,1,11,3,2,2,4,15,22,68.2,186,2,44,128,2.9,2,1,0,1,4
Maryland,30,2010-09-06,1,N,Navy,7,W,17,14,3,2,5,40.0,11,0,1,34,261,7.7,2,6,2,1,2,2,6,10,60.0,73,0,72,412,5.7,2,2,0,2,2
Navy,7,2010-09-06,1,N,Maryland,30,L,14,17,-3,6,10,60.0,73,0,0,72,412,5.7,2,1,1,2,2,2,2,5,40.0,11,0,34,261,7.7,2,1,1,2,2
Virginia Tech,25,2010-09-06,1,,Boise St.,84,L,30,33,-3,15,22,68.2,186,2,0,44,128,2.9,2,3,1,1,1,4,23,38,60.5,215,3,24,168,7.0,1,2,0,2,4
Auburn,109,2010-09-09,2,@,Mississippi St.,114,W,17,14,3,12,21,57.1,158,2,1,46,190,4.1,0,7,3,1,2,2,16,35,45.7,129,0,33,117,3.5,2,1,1,2,2
Central Michigan,75,2010-09-09,2,@,Temple,10,L,10,13,-3,25,35,71.4,299,0,2,33,43,1.3,1,8,4,1,3,1,16,22,72.7,151,0,36,114,3.2,1,2,0,2,1
Mississippi St.,114,2010-09-09,2,,Auburn,109,L,14,17,-3,16,35,45.7,129,0,1,33,117,3.5,2,6,2,1,2,2,12,21,57.1,158,2,46,190,4.1,0,1,1,2,2
Temple,10,2010-09-09,2,,Central Michigan,75,W,13,10,3,16,22,72.7,151,0,0,36,114,3.2,1,8,2,2,2,1,25,35,71.4,299,0,33,43,1.3,1,1,2,3,1
Houston,5,2010-09-10,2,,UTEP,62,W,54,24,30,24,34,70.6,348,1,1,42,308,7.3,6,7,1,1,2,7,30,55,54.5,340,3,21,100,4.8,0,1,0,1,3
Marshall,55,2010-09-10,2,,West Virginia,50,L,21,24,-3,20,29,69.0,229,3,0,27,135,5.0,0,9,4,1,1,3,32,45,71.1,316,1,42,153,3.6,1,2,0,2,2
UTEP,62,2010-09-10,2,@,Houston,5,L,24,54,-30,30,55,54.5,340,3,0,21,100,4.8,0,1,0,1,1,3,24,34,70.6,348,1,42,308,7.3,6,1,1,2,7
West Virginia,50,2010-09-10,2,@,Marshall,55,W,24,21,3,32,45,71.1,316,1,0,42,153,3.6,1,4,0,2,2,2,20,29,69.0,229,3,27,135,5.0,0,1,0,1,3
Air Force,83,2010-09-11,2,,BYU,66,W,35,14,21,5,13,38.5,68,1,1,65,409,6.3,4,3,1,0,1,5,10,25,40.0,88,0,34,221,6.5,2,2,1,3,2
Akron,71,2010-09-11,2,,Gardner-Webb,146,L,37,38,-1,14,21,66.7,165,1,1,44,224,5.1,4,6,3,1,2,5,25,43,58.1,290,3,37,101,2.7,2,0,1,1,5
Alabama,107,2010-09-11,2,,Penn State,37,W,24,3,21,16,24,66.7,229,2,0,34,180,5.3,1,1,0,1,1,3,14,31,45.2,156,0,31,127,4.1,0,1,3,4,0
Arizona,95,2010-09-11,2,,Citadel,228,W,52,6,46,25,33,75.8,275,2,1,36,214,5.9,5,5,3,0,1,7,3,14,21.4,21,0,50,150,3.0,0,3,0,3,0
Arizona St.,96,2010-09-11,2,,Northern Arizona,137,W,41,20,21,34,52,65.4,394,3,2,29,56,1.9,2,4,1,0,2,5,15,28,53.6,169,1,34,69,2.0,1,0,1,1,2
Arkansas,108,2010-09-11,2,N,UL Monroe,130,W,31,7,24,28,43,65.1,400,3,1,31,99,3.2,1,9,3,2,3,4,8,19,42.1,72,1,37,116,3.1,0,1,1,2,1
Arkansas St.,122,2010-09-11,2,@,Louisiana,126,L,24,31,-7,25,46,54.3,438,2,1,19,18,0.9,1,5,2,2,3,3,17,28,60.7,214,2,43,224,5.2,2,0,0,0,4
Army,65,2010-09-11,2,,Hawaii,87,L,28,31,-3,4,6,66.7,58,0,0,64,250,3.9,4,4,3,2,2,4,25,37,67.6,343,3,11,10,0.9,1,2,0,2,4
Ball St.,72,2010-09-11,2,,Liberty,67,L,23,27,-4,18,31,58.1,193,1,0,34,145,4.3,0,5,1,2,2,2,24,38,63.2,276,2,28,119,4.3,2,0,3,3,4
Baylor,41,2010-09-11,2,,Buffalo,74,W,34,6,28,22,37,59.5,320,2,1,38,173,4.6,2,10,2,1,2,4,18,47,38.3,163,0,35,162,4.6,0,1,1,2,0
Boston College,13,2010-09-11,2,,Kent State,77,W,26,13,13,19,30,63.3,218,2,1,40,87,2.2,0,10,1,1,2,2,23,37,62.2,201,1,17,4,0.2,0,2,3,5,1
Bowling Green,73,2010-09-11,2,@,Tulsa,12,L,20,33,-13,29,40,72.5,262,0,3,25,41,1.6,3,1,1,0,3,3,27,48,56.3,356,2,40,190,4.8,1,1,1,2,3
