School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Eastern Michigan,76,2002-08-31,1,@,Michigan St.,32,L,7,56,-49,23,49,46.9,187,0,0,20,54,2.7,1,0,0,1,15,25,60.0,256,4,48,369,7.7,4,0,1,1,8
Florida,110,2002-08-31,1,,UAB,61,W,51,3,48,20,32,62.5,410,2,1,38,233,6.1,5,0,1,7,11,31,35.5,90,0,37,150,4.1,0,1,0,1,0
Florida St.,16,2002-08-31,2,,Virginia,24,W,40,19,21,14,23,60.9,157,0,2,60,397,6.6,5,2,4,5,20,32,62.5,251,3,33,62,1.9,0,3,0,3,3
Georgia,111,2002-08-31,1,,Clemson,14,W,31,28,3,15,25,60.0,117,2,1,39,86,2.2,1,2,3,4,17,37,45.9,165,1,34,68,2.0,2,0,1,1,4
Georgia Tech,17,2002-08-31,1,,Vanderbilt,120,W,45,3,42,15,24,62.5,182,3,0,51,279,5.5,3,0,0,6,13,28,46.4,116,0,31,109,3.5,0,0,2,2,0
Hawaii,87,2002-08-31,1,,Eastern Illinois,202,W,61,36,25,24,40,60.0,453,4,1,23,125,5.4,2,1,2,8,30,55,54.5,319,4,39,156,4.0,1,1,2,3,5
Houston,5,2002-08-31,1,@,Rice,59,W,24,10,14,11,15,73.3,161,1,0,60,305,5.1,2,3,3,3,8,27,29.6,84,0,37,188,5.1,1,2,0,2,1
Idaho,133,2002-08-31,1,@,Boise St.,84,L,21,38,-17,26,41,63.4,272,2,2,32,93,2.9,1,0,2,3,20,25,80.0,270,1,37,233,6.3,4,0,0,0,5
Illinois,27,2002-08-31,1,N,Missouri,115,L,20,33,-13,18,42,42.9,246,2,1,34,67,2.0,1,2,3,3,15,26,57.7,152,0,54,285,5.3,4,2,0,2,5
Indiana,28,2002-08-31,1,,William & Mary,163,W,25,17,8,16,32,50.0,165,3,3,42,103,2.5,0,1,4,3,20,41,48.8,259,2,29,-32,-1.1,0,2,2,4,2
Iowa,29,2002-08-31,1,,Akron,71,W,57,21,36,12,20,60.0,217,2,0,45,376,8.4,4,1,1,7,28,38,73.7,296,2,36,67,1.9,1,2,1,3,3
Iowa St.,42,2002-08-31,2,,Kansas,43,W,45,3,42,16,25,64.0,234,0,1,53,277,5.2,6,0,1,6,10,32,31.3,81,0,33,69,2.1,0,0,3,3,0
Kansas,43,2002-08-31,1,@,Iowa St.,42,L,3,45,-42,10,32,31.3,81,0,3,33,69,2.1,0,0,3,0,16,25,64.0,234,0,53,277,5.2,6,0,1,1,6
Kansas St.,44,2002-08-31,1,,Western Kentucky,64,W,48,3,45,9,14,64.3,172,0,0,51,235,4.6,5,0,0,6,7,12,58.3,73,0,47,110,2.3,0,0,2,2,0
Louisiana,126,2002-08-31,1,@,Texas A&M,119,L,7,31,-24,16,42,38.1,194,1,6,23,11,0.5,0,4,10,1,18,47,38.3,244,0,47,179,3.8,3,0,2,2,4
Louisiana Tech,54,2002-08-31,1,,Oklahoma St.,46,W,39,36,3,38,66,57.6,448,3,0,23,38,1.7,2,1,1,5,22,41,53.7,204,3,30,158,5.3,2,0,0,0,5
UL Monroe,130,2002-08-31,1,@,Ole Miss,116,L,3,31,-28,9,23,39.1,110,0,2,43,118,2.7,0,0,2,0,18,33,54.5,198,1,35,180,5.1,3,1,1,2,4
Marshall,55,2002-08-31,1,,Appalachian St.,121,W,50,17,33,28,43,65.1,498,4,0,39,136,3.5,3,2,2,7,9,24,37.5,64,0,36,76,2.1,1,1,0,1,2
Maryland,30,2002-08-31,1,N,Notre Dame,70,L,0,22,-22,12,32,37.5,117,0,3,21,16,0.8,0,0,3,0,17,27,63.0,226,0,45,130,2.9,0,0,0,0,1
Memphis,6,2002-08-31,1,,Murray State,205,W,52,6,46,24,33,72.7,255,5,0,34,267,7.9,1,4,4,7,13,25,52.0,75,0,42,210,5.0,1,2,2,4,1
Miami (FL),19,2002-08-31,1,,Florida A&M,175,W,63,17,46,12,26,46.2,204,5,1,33,312,9.5,4,3,4,9,16,36,44.4,94,1,44,61,1.4,1,1,1,2,2
Miami (OH),78,2002-08-31,1,@,North Carolina,21,W,27,21,6,16,33,48.5,204,1,0,56,175,3.1,3,2,2,4,28,46,60.9,353,2,28,94,3.4,1,6,3,9,3
Michigan,31,2002-08-31,1,,Washington,105,W,31,29,2,22,39,56.4,268,1,1,36,150,4.2,3,1,2,4,28,45,62.2,318,2,34,81,2.4,2,1,1,2,4
Michigan St.,32,2002-08-31,1,,Eastern Michigan,76,W,56,7,49,15,25,60.0,256,4,1,48,369,7.7,4,0,1,8,23,49,46.9,187,0,20,54,2.7,1,0,0,0,1
Middle Tennessee,56,2002-08-31,1,@,Alabama,107,L,34,39,-5,17,25,68.0,202,0,1,38,183,4.8,4,0,1,4,16,22,72.7,236,2,43,194,4.5,2,0,0,0,5
Minnesota,33,2002-08-31,1,,,,W,42,0,42,8,11,72.7,193,2,0,40,202,5.1,4,2,2,6,8,16,50.0,54,0,44,75,1.7,0,1,1,2,0
Mississippi St.,114,2002-08-31,1,@,Oregon,99,L,13,36,-23,18,37,48.6,192,1,2,24,31,1.3,1,2,4,2,14,28,50.0,166,3,53,205,3.9,1,1,0,1,4
Missouri,115,2002-08-31,1,N,Illinois,27,W,33,20,13,15,26,57.7,152,0,0,54,285,5.3,4,2,2,5,18,42,42.9,246,2,34,67,2.0,1,2,1,3,3
