Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fantasy Pts,PPR,DK Pts,FD Pts,Pass_cmp,Pass_att,Pass_yds,Pass_td,Pass_int,Run_att,Run_yds,Run_td,Rec,Rec_yds,Rec_td,Fmb,FGM,FGA,XPM,XPA,unique_id
Phil Dawson,K,27.228,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,15.00,15.0,,16.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,dawsophi01
Corey Dillon,HB,27.319,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,3.20,6.2,6.2,4.7,0,0,0,0,0,9,10,0,3,22,0,0,,,,,DillCo00
Chris Doering,WR,29.112,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,1.30,2.3,2.3,1.8,0,0,0,0,0,0,0,0,1,13,0,0,,,,,DoerCh00
Donald Driver,WR,27.218,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,7.80,14.8,14.8,11.3,0,0,0,0,0,0,0,0,7,78,0,0,,,,,DrivDo00
T.J. Duckett,RB,21.203,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,3.90,4.9,4.9,4.4,0,0,0,0,0,6,39,0,1,0,0,0,,,,,DuckT.00
Ron Dugans,WR,25.134,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,2.30,4.3,4.3,3.3,0,0,0,0,0,0,0,0,2,23,0,0,,,,,DugaRo00
Warrick Dunn,RB,27.246,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,20.80,24.8,24.8,22.8,0,0,0,0,0,15,69,2,4,19,0,0,,,,,DunnWa00
Tim Dwight,WR,27.057,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,6.50,9.5,9.5,8.0,0,0,0,0,0,1,20,0,3,45,0,0,,,,,DwigTi00
Paul Edinger,K,24.234,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,9.00,9.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,edingpau01
Robert Edwards,RB,27.341,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,17.80,21.8,21.8,19.8,0,0,0,0,0,4,20,1,4,38,1,0,,,,,EdwaRo00
Jason Elam,K,32.184,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,11.00,11.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,elamxjas01
Bobby Engram,WR,29.244,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,2.50,4.5,4.5,3.5,0,0,0,0,0,0,0,0,2,25,0,0,,,,,EngrBo00
Hayden Epstein,PK,21.296,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,5.00,5.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,epstehay01
Danny Farmer,WR,25.110,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,5.40,7.4,7.4,6.4,0,0,0,0,0,0,0,0,2,54,0,0,,,,,FarmDa00
Marshall Faulk*,RB,29.194,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,17.00,31.0,31.0,24.0,0,0,0,0,0,10,19,1,14,91,0,0,,,,,FaulMa00
Brett Favre*,QB,32.333,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,19.96,20.0,20.0,20.0,25,36,284,2,0,2,6,0,0,0,0,0,,,,,FavrBr00
Jay Feely,K,26.108,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,12.00,12.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,feelyjay01
Jay Fiedler,QB,30.253,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,21.18,21.2,21.2,21.2,18,27,207,3,0,3,9,0,0,0,0,0,,,,,FiedJa00
Brian Finneran,WR,26.220,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,2.00,4.0,4.0,3.0,0,0,0,0,0,0,0,0,2,20,0,0,,,,,FinnBr00
Zeron Flemister,TE,26.000,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,1.90,2.9,2.9,2.4,0,0,0,0,0,0,0,0,1,19,0,0,,,,,FlemZe00
Terrell Fletcher,RB,28.359,2002-09-08,NFL,SDG,@,CIN,W 34-6,1,1,Sun,13.30,13.3,13.3,13.3,0,0,0,0,0,16,73,1,0,0,0,0,,,,,FletTe00
Antonio Freeman,WR,30.104,2002-09-08,NFL,PHI,@,TEN,L 24-27,1,1,Sun,5.40,8.4,8.4,6.9,0,0,0,0,0,0,0,0,3,54,0,0,,,,,FreeAn00
Gus Frerotte,QB,31.039,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,7.32,7.3,8.3,8.3,18,31,198,0,1,2,14,0,0,0,0,0,,,,,FrerGu00
Oronde Gadsden,WR,31.019,2002-09-08,NFL,MIA,,DET,W 49-21,1,1,Sun,1.80,3.8,3.8,2.8,0,0,0,0,0,0,0,0,2,18,0,0,,,,,GadsOr00
Joey Galloway,WR,30.292,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,9.00,15.0,15.0,12.0,0,0,0,0,0,1,21,0,6,69,0,0,,,,,GallJo00
Rich Gannon,QB,36.262,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,15.96,16.0,17.0,17.0,19,28,214,2,1,3,14,0,0,0,0,0,,,,,GannRi00
Rod Gardner,WR,24.317,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,19.10,26.1,29.1,22.6,0,0,0,0,0,0,0,0,7,131,1,0,,,,,GardRo00
Charlie Garner,RB,30.207,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,31.10,36.1,39.1,33.6,0,0,0,0,0,15,127,1,5,64,1,0,,,,,GarnCh00
Olandis Gary,RB,27.113,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,8.50,13.5,13.5,11.0,0,0,0,0,0,11,37,0,5,48,0,0,,,,,GaryOl00
Eddie George,RB,28.349,2002-09-08,NFL,TEN,,PHI,W 27-24,1,1,Sun,20.00,24.0,24.0,22.0,0,0,0,0,0,18,42,1,4,38,1,0,,,,,GeorEd00
Terry Glenn,WR,28.047,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,6.00,8.0,8.0,7.0,0,0,0,0,0,0,0,0,2,60,0,0,,,,,GlenTe00
Nick Goings,RB,24.225,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,1.60,2.6,2.6,2.1,0,0,0,0,0,4,19,0,1,-3,0,0,,,,,GoinNi00
Tony Gonzalez*,TE,26.193,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,14.70,19.7,19.7,17.2,0,0,0,0,0,0,0,0,5,87,1,0,,,,,GonzTo00
Bill Gramatica,K,24.060,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,11.00,11.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,gramabil01
Martin Gramatica,K,26.285,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,10.00,10.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,gramamar01
Ahman Green,RB,25.204,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,17.70,23.7,27.7,20.7,0,0,0,0,0,27,155,0,6,42,0,0,,,,,GreeAh00
Trent Green,QB,32.061,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,14.74,14.7,15.7,15.7,20,29,276,1,1,2,17,0,0,0,0,0,,,,,GreeTr00
William Green,RB,22.265,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,1.70,1.7,1.7,1.7,0,0,0,0,0,8,17,0,0,0,0,0,,,,,GreeWi01
Brian Griese,QB,27.174,2002-09-08,NFL,DEN,,STL,W 23-16,1,1,Sun,13.68,13.7,15.7,15.7,18,27,202,2,2,3,16,0,0,0,0,0,,,,,GrieBr00
Az-Zahir Hakim,WR,25.097,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,9.70,18.7,18.7,14.2,0,0,0,0,0,0,0,0,9,97,0,0,,,,,HakiAz00
Dante Hall,KR/W,24.007,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,1.80,2.8,2.8,2.3,0,0,0,0,0,2,14,0,1,4,0,0,,,,,HallDa00
John Hall,K,28.175,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,11.00,11.0,,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,hallxjoh01
Troy Hambrick,RB,25.306,2002-09-08,NFL,DAL,@,HOU,L 10-19,1,1,Sun,1.90,2.9,2.9,2.4,0,0,0,0,0,4,16,0,1,3,0,0,,,,,HambTr00
Joey Harrington,QB,23.322,2002-09-08,NFL,DET,@,MIA,L 21-49,1,1,Sun,1.64,1.6,1.6,1.6,4,11,41,0,0,0,0,0,0,0,0,0,,,,,HarrJo00
Marvin Harrison*,WR,30.014,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,9.40,13.4,13.4,11.4,0,0,0,0,0,0,0,0,4,34,1,0,,,,,HarrMa00
Matt Hasselbeck,QB,26.348,2002-09-08,NFL,SEA,@,OAK,L 17-31,1,1,Sun,14.80,14.8,14.8,14.8,23,32,155,2,0,2,6,0,0,0,0,0,,,,,HassMa00
Todd Heap,TE,22.176,2002-09-08,NFL,BAL,@,CAR,L 7-10,1,1,Sun,2.00,7.0,7.0,4.5,0,0,0,0,0,0,0,0,5,20,0,0,,,,,HeapTo00
William Henderson,FB,31.201,2002-09-08,NFL,GNB,,ATL,W 37-34,1,1,Sun,8.40,10.4,10.4,9.4,0,0,0,0,0,1,1,1,2,23,0,0,,,,,HendWi00
Travis Henry,HB,23.314,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,33.80,39.8,43.8,36.8,0,0,0,0,0,31,149,3,6,29,0,0,,,,,HenrTr00
Kelly Holcomb,QB,29.061,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,23.04,23.0,27.0,23.0,27,39,326,3,0,0,0,0,0,0,0,0,,,,,HolcKe00
Mike Hollis,PK,30.109,2002-09-08,NFL,BUF,,NYJ,L 31-37,1,1,Sun,9.00,9.0,,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,hollimik01
Priest Holmes,RB,28.336,2002-09-08,NFL,KAN,@,CLE,W 40-39,1,1,Sun,38.10,44.1,47.1,41.1,0,0,0,0,0,22,122,4,6,19,0,0,,,,,HolmPr00
Torry Holt,WR,26.095,2002-09-08,NFL,STL,@,DEN,L 16-23,1,1,Sun,9.10,14.1,14.1,11.6,0,0,0,0,0,0,0,0,5,91,0,0,,,,,HoltTo00
Brad Hoover,FB,25.301,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,4.10,5.1,5.1,4.6,0,0,0,0,0,5,29,0,1,12,0,0,,,,,HoovBr00
Joe Horn,WR,30.235,2002-09-08,NFL,NOR,@,TAM,W 26-20,1,1,Sun,10.80,18.8,21.8,14.8,0,0,0,0,0,0,0,0,8,108,0,0,,,,,HornJo00
T.J. Houshmandzadeh,WR,24.347,2002-09-08,NFL,CIN,,SDG,L 6-34,1,1,Sun,2.70,4.7,4.7,3.7,0,0,0,0,0,0,0,0,2,27,0,0,,,,,HousTJ00
Qadry Ismail,WR,31.304,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,20.40,26.4,26.4,23.4,0,0,0,0,0,0,0,0,6,84,2,0,,,,,IsmaQa00
Willie Jackson,WR,31.023,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,5.30,9.3,10.3,7.3,0,0,0,0,0,0,0,0,4,73,0,0,,,,,JackWi00
Edgerrin James,RB,24.038,2002-09-08,NFL,IND,@,JAX,W 28-25,1,1,Sun,9.00,11.0,12.0,10.0,0,0,0,0,0,26,99,0,2,11,0,0,,,,,JameEd00
Sebastian Janikowski,K,24.190,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,7.00,7.0,,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,janikseb01
Shawn Jefferson,WR,33.198,2002-09-08,NFL,ATL,@,GNB,L 34-37,1,1,Sun,2.80,3.8,3.8,3.3,0,0,0,0,0,0,0,0,1,28,0,0,,,,,JeffSh00
MarTay Jenkins,WR,27.192,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,1.80,2.8,2.8,2.3,0,0,0,0,0,0,0,0,1,18,0,0,,,,,JenkMa00
Brad Johnson,QB,33.360,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,20.22,20.2,20.2,20.2,28,52,278,2,0,3,11,0,0,0,0,0,,,,,JohnBr00
Bryan Johnson,FB,24.233,2002-09-08,NFL,WAS,,ARI,W 31-23,1,1,Sun,1.70,3.7,3.7,2.7,0,0,0,0,0,0,0,0,2,17,0,0,,,,,JohnBr01
Kevin Johnson,WR,26.055,2002-09-08,NFL,CLE,,KAN,L 39-40,1,1,Sun,14.92,22.9,22.9,18.9,1,1,33,1,0,0,0,0,8,96,0,0,,,,,JohnKe01
Keyshawn Johnson,WR,30.048,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,7.60,12.6,12.6,10.1,0,0,0,0,0,0,0,0,5,76,0,0,,,,,JohnKe00
Leon Johnson,RB,28.057,2002-09-08,NFL,CHI,,MIN,W 27-23,1,1,Sun,3.30,4.3,4.3,3.8,0,0,0,0,0,4,31,0,1,2,0,0,,,,,JohnLe00
Patrick Johnson,WR,26.029,2002-09-08,NFL,JAX,,IND,L 25-28,1,1,Sun,7.80,8.8,8.8,8.3,0,0,0,0,0,0,0,0,1,18,1,0,,,,,JohnPa00
Ron Johnson,WR,22.108,2002-09-08,NFL,BAL,@,CAR,L 7-10,1,1,Sun,8.20,10.2,10.2,9.2,0,0,0,0,0,0,0,0,2,22,1,0,,,,,JohnRo03
Freddie Jones,TE,27.357,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,1.00,2.0,2.0,1.5,0,0,0,0,0,0,0,0,1,10,0,0,,,,,JoneFr00
Thomas Jones,RB,24.020,2002-09-08,NFL,ARI,@,WAS,L 23-31,1,1,Sun,6.10,9.1,9.1,7.6,0,0,0,0,0,17,54,0,3,7,0,0,,,,,JoneTh00
LaMont Jordan,RB-K,23.301,2002-09-08,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,1.90,2.9,3.9,2.4,0,0,0,0,0,7,32,0,1,7,0,0,,,,,JordLa00
Randy Jordan,RB,32.094,2002-09-08,NFL,OAK,,SEA,W 31-17,1,1,Sun,8.90,9.9,9.9,9.4,0,0,0,0,0,2,14,1,1,15,0,0,,,,,JordRa00
Joe Jurevicius,WR,27.259,2002-09-08,NFL,TAM,,NOR,L 20-26,1,1,Sun,9.70,13.7,13.7,11.7,0,0,0,0,0,0,0,0,4,37,1,0,,,,,JureJo00
John Kasay,K,32.316,2002-09-08,NFL,CAR,,BAL,W 10-7,1,1,Sun,4.00,4.0,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,kasayjoh01
