Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Marquise Goodwin,WR,28.300,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,3,3,77,25.67,1,100.0%,25.67,GoodMa00
Josh Gordon,WR,28.155,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,5,2,19,9.50,0,40.0%,3.80,GordJo02
Frank Gore,RB,36.124,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,2,2,15,7.50,0,100.0%,7.50,GoreFr00
Jakeem Grant,WR,26.350,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,7,3,22,7.33,0,42.9%,3.14,GranJa00
Ryan Grant,WR,28.270,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,5,1,-2,-2.00,0,20.0%,-0.40,GranRy01
Virgil Green,TE,31.043,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,2,1,9,9.00,0,50.0%,4.50,GreeVi00
Todd Gurley,RB,25.043,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,4,3,4,1.33,0,75.0%,1.00,GurlTo01
DaeSean Hamilton,WR,24.189,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,6,2,15,7.50,0,33.3%,2.50,HamiDa01
Mecole Hardman,WR,21.187,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,6,4,61,15.25,1,66.7%,10.17,HardMe00
Deonte Harris,WR/RS,21.285,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,1,1,-7,-7.00,0,100.0%,-7.00,HarrDe07
Derrick Henry,RB,25.254,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,3,2,12,6.00,0,66.7%,4.00,HenrDe00
Jeff Heuerman,TE,26.295,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,5,4,21,5.25,0,80.0%,4.20,HeueJe00
Tyler Higbee,TE,26.257,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,3,2,21,10.50,0,66.7%,7.00,HigbTy00
Justice Hill,RB,21.305,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,2,1,10,10.00,0,50.0%,5.00,HillJu00
Taysom Hill,QB,29.023,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,3,2,16,8.00,0,66.7%,5.33,HillTa00
T.Y. Hilton,WR,29.305,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,6,4,43,10.75,1,66.7%,7.17,HiltT.00
Nyheim Hines,RB,22.307,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,2,1,5,5.00,0,50.0%,2.50,HineNy00
T.J. Hockenson,TE,22.074,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,3,1,7,7.00,0,33.3%,2.33,HockTJ00
Mack Hollins,WR,25.364,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,8,5,50,10.00,0,62.5%,6.25,HollMa00
Austin Hooper,TE,24.315,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,6,4,34,8.50,0,66.7%,5.67,HoopAu00
DeAndre Hopkins,WR,27.101,2019-09-15,NFL,HOU,,JAX,W 13-12,2,2,Sun,8,5,40,8.00,0,62.5%,5.00,HopkDe00
Jordan Howard,RB,24.317,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,1,1,8,8.00,0,100.0%,8.00,HowaJo00
Adam Humphries,WR,26.083,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,2,2,-1,-0.50,0,100.0%,-0.50,HumpAd00
Allen Hurns,WR,27.307,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,2,1,13,13.00,0,50.0%,6.50,HurnAl01
Hayden Hurst,TE,26.022,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,1,1,1,1.00,1,100.0%,1.00,HursHa00
Mark Ingram,RB,29.268,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,2,2,30,15.00,0,100.0%,15.00,IngrMa01
Dontrelle Inman,WR,30.227,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,2,1,28,28.00,0,50.0%,14.00,InmaDo00
Justin Jackson,RB,24.146,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,1,1,5,5.00,0,100.0%,5.00,JackJu01
Jesse James,TE,25.103,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,4,3,18,6.00,0,75.0%,4.50,JameJe00
Richie James,WR,24.010,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,4,1,7,7.00,0,25.0%,1.75,JameRi00
Blake Jarwin,TE,25.061,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,1,1,22,22.00,0,100.0%,22.00,JarwBl00
Darius Jennings,WR,27.079,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,1,1,11,11.00,0,100.0%,11.00,JennDa00
David Johnson,RB,27.273,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,1,1,0,0.00,0,100.0%,0.00,JohnDa08
Diontae Johnson,WR,23.072,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,4,1,17,17.00,0,25.0%,4.25,JohnDi01
KeeSean Johnson,WR,22.341,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,2,1,31,31.00,0,50.0%,15.50,JohnKe07
Kerryon Johnson,RB,22.077,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,3,2,47,23.50,1,66.7%,15.67,JohnKe06
Ty Johnson,RB,21.363,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,2,2,6,3.00,0,100.0%,3.00,JohnTy02
Aaron Jones,RB,24.287,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,6,4,34,8.50,0,66.7%,5.67,JoneAa00
Julio Jones,WR,30.219,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,10,5,106,21.20,2,50.0%,10.60,JoneJu02
Marvin Jones,WR,29.187,2019-09-15,NFL,DET,,LAC,W 13-10,2,2,Sun,6,5,43,8.60,0,83.3%,7.17,JoneMa02
T.J. Jones,WR,27.058,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,4,3,38,12.67,1,75.0%,9.50,JoneT.00
Zay Jones,WR,24.169,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,3,1,14,14.00,0,33.3%,4.67,JoneZa00
Kyle Juszczyk,RB,28.145,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,2,1,5,5.00,0,50.0%,2.50,JuszKy00
Alvin Kamara,RB,24.052,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,3,1,15,15.00,0,33.3%,5.00,KamaAl00
Travis Kelce,TE,29.345,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,9,7,107,15.29,1,77.8%,11.89,KelcTr00
Christian Kirk,WR,22.301,2019-09-15,NFL,ARI,@,BAL,L 17-23,2,2,Sun,8,6,114,19.00,0,75.0%,14.25,KirkCh01
George Kittle,TE,25.341,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,3,3,54,18.00,0,100.0%,18.00,KittGe00
Dawson Knox,TE,22.315,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,4,1,18,18.00,0,25.0%,4.50,KnoxDa00
Jake Kumerow,WR,27.210,2019-09-15,NFL,GNB,,MIN,W 21-16,2,2,Sun,1,1,12,12.00,0,100.0%,12.00,KumeJa00
Cooper Kupp,WR,26.092,2019-09-15,NFL,LAR,,NOR,W 27-9,2,2,Sun,9,5,120,24.00,0,55.6%,13.33,KuppCo00
Matt LaCosse,TE,26.359,2019-09-15,NFL,NWE,@,MIA,W 43-0,2,2,Sun,2,2,33,16.50,0,100.0%,16.50,LaCoMa00
Cody Latimer,WR,26.340,2019-09-15,NFL,NYG,,BUF,L 14-28,2,2,Sun,5,3,30,10.00,0,60.0%,6.00,LatiCo00
Dion Lewis,RB,28.353,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,1,1,5,5.00,0,100.0%,5.00,LewiDi00
Phillip Lindsay,RB,25.053,2019-09-15,NFL,DEN,,CHI,L 14-16,2,2,Sun,7,4,30,7.50,0,57.1%,4.29,LindPh00
Tyler Lockett,WR,26.352,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,12,10,79,7.90,0,83.3%,6.58,LockTy00
Marlon Mack,RB,23.192,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,3,2,12,6.00,0,66.7%,4.00,MackMa00
LeSean McCoy,RB,31.065,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,3,3,0,0.00,0,100.0%,0.00,McCoLe01
Vance McDonald,TE,29.094,2019-09-15,NFL,PIT,,SEA,L 26-28,2,2,Sun,7,7,38,5.43,2,100.0%,5.43,McDoVa00
Isaiah McKenzie,WR,24.159,2019-09-15,NFL,BUF,@,NYG,W 28-14,2,2,Sun,2,2,40,20.00,1,100.0%,20.00,McKeIs00
Terry McLaurin,WR,23.153,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,9,5,62,12.40,1,55.6%,6.89,McLaTe00
D.K. Metcalf,WR,21.275,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,7,3,61,20.33,1,42.9%,8.71,MetcDK00
Anthony Miller,WR,24.341,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,1,1,2,2.00,0,100.0%,2.00,MillAn02
Joe Mixon,HB,23.053,2019-09-15,NFL,CIN,,SFO,L 17-41,2,2,Sun,5,3,10,3.33,0,60.0%,2.00,MixoJo00
David Montgomery,RB,22.100,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,3,1,6,6.00,0,33.3%,2.00,MontDa01
Raheem Mostert,RB,27.159,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,4,3,68,22.67,1,75.0%,17.00,MostRa00
Latavius Murray,RB,29.240,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,1,1,16,16.00,0,100.0%,16.00,MurrLa00
Nick O'Leary,TE,27.015,2019-09-15,NFL,MIA,,NWE,L 0-43,2,2,Sun,1,1,6,6.00,0,100.0%,6.00,OLeaNi00
James O'Shaughnessy,TE,27.244,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,4,4,28,7.00,0,100.0%,7.00,O'ShJa00
Rashaad Penny,RB,23.225,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,1,1,3,3.00,0,100.0%,3.00,PennRa00
Adrian Peterson,RB,34.178,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,2,2,7,3.50,0,100.0%,3.50,PeteAd01
Tony Pollard,RB,22.138,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,1,1,3,3.00,0,100.0%,3.00,PollTo00
C.J. Prosise,RB,25.118,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,3,3,13,4.33,0,100.0%,4.33,ProsC.00
David Quessenberry,OL,29.022,2019-09-15,NFL,TEN,,IND,L 17-19,2,2,Sun,1,1,1,1.00,1,100.0%,1.00,QuesDa00
Trey Quinn,WR,23.282,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,7,4,36,9.00,0,57.1%,5.14,QuinTr00
Hunter Renfrow,WR,23.268,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,8,4,30,7.50,0,50.0%,3.75,RenfHu00
Patrick Ricard,FB/DL,25.111,2019-09-15,NFL,BAL,,ARI,W 23-17,2,2,Sun,1,1,3,3.00,0,100.0%,3.00,RicaPa00
Jalen Richard,RB,25.335,2019-09-15,NFL,OAK,,KAN,L 10-28,2,2,Sun,3,2,2,1.00,0,66.7%,0.67,RichJa01
Paul Richardson,WR,27.155,2019-09-15,NFL,WAS,,DAL,L 21-31,2,2,Sun,3,3,16,5.33,1,100.0%,5.33,RichPa01
Calvin Ridley,WR,24.269,2019-09-15,NFL,ATL,,PHI,W 24-20,2,2,Sun,10,8,105,13.13,1,80.0%,10.50,RidlCa00
Allen Robinson,WR,26.022,2019-09-15,NFL,CHI,@,DEN,W 16-14,2,2,Sun,7,4,41,10.25,0,57.1%,5.86,RobiAl02
Demarcus Robinson,WR,24.359,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,6,6,172,28.67,2,100.0%,28.67,RobiDe01
Chester Rogers,WR,25.246,2019-09-15,NFL,IND,@,TEN,W 19-17,2,2,Sun,4,3,24,8.00,0,75.0%,6.00,RogeCh02
John Ross,WR,24.292,2019-09-15,NFL,CIN,,SFO,L 17-41,2,2,Sun,8,4,112,28.00,1,50.0%,14.00,RossJo00
Kyle Rudolph,TE,29.310,2019-09-15,NFL,MIN,@,GNB,L 16-21,2,2,Sun,4,3,9,3.00,0,75.0%,2.25,RudoKy00
Drew Sample,TE,23.152,2019-09-15,NFL,CIN,,SFO,L 17-41,2,2,Sun,3,2,25,12.50,0,66.7%,8.33,SampDr00
Deebo Samuel,WR,23.243,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,7,5,86,17.20,1,71.4%,12.29,SamuDe00
