Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
London Fletcher,MLB,24.116,1999-09-12,NFL,STL,,BAL,W 27-10,1,1,Sun,0.0,3,0,3,0,,FletLo20
Chris Floyd,FB,24.081,1999-09-12,NFL,NWE,@,NYJ,W 30-28,1,1,Sun,0.0,0,1,1,0,,FloyCh00
Steve Foley,LOLB,24.001,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,2,0,2,0,,FoleSt21
Marlon Forbes,DB,27.261,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,0.0,1,0,1,0,,ForbMa20
Henry Ford,RDE,27.317,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,0.0,3,1,4,1,,FordHe21
Rob Fredrickson,LLB,28.122,1999-09-12,NFL,ARI,@,PHI,W 25-24,1,1,Sun,0.0,4,0,4,0,,FredRo20
Corey Fuller,LCB,28.134,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,0.0,6,2,8,0,,FullCo20
Sam Garnes,SS,25.062,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,0.0,4,3,7,0,,GarnSa20
Ron George,LB,29.176,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,0.0,2,0,2,0,,GeorRo20
Spencer George,RB,25.319,1999-09-12,NFL,TEN,,CIN,W 36-35,1,1,Sun,0.0,0,1,1,0,,GeorSp00
Damon Gibson,WR,24.199,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,0.0,1,0,1,0,,GibsDa00
Oliver Gibson,NT,27.181,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,1,1,2,0,,GibsOl20
Sean Gilbert,RDT,29.155,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,0.0,0,2,2,0,,GilbSe00
Jason Gildon,OLB,27.043,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,1.0,1,0,1,1,,GildJa00
Aaron Glenn,LCB,27.058,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,5,0,5,0,,GlenAa00
La'Roi Glover,RDT,25.070,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,1.5,5,2,7,2,,GlovLa00
Randall Godfrey,MLB,26.159,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,0.0,6,0,6,0,,GodfRa20
Dwayne Gordon,LB,29.314,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,2,0,2,0,,GordDw20
Carlton Gray,CB,28.078,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,0.0,4,0,4,0,,GrayCa20
Darrell Green*,CB,39.209,1999-09-12,NFL,WAS,,DAL,L 35-41,1,1,Sun,0.0,3,0,3,0,,GreeDa00
Victor Green,LS,29.278,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,4,2,6,0,,GreeVi20
