Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Kenjon Barner,RB,29.147,2019-09-22,NFL,ATL,@,IND,L 24-27,3,3,Sun,1,10,10.00,0,BarnKe00
Chad Beebe,WR,25.113,2019-09-22,NFL,MIN,,OAK,W 34-14,3,3,Sun,3,21,7.00,0,BeebCh00
DeAndre Carter,WR,26.165,2019-09-22,NFL,HOU,@,LAC,W 27-20,3,3,Sun,2,34,17.00,0,CartDe02
Alex Erickson,WR,26.320,2019-09-22,NFL,CIN,@,BUF,L 17-21,3,3,Sun,2,8,4.00,0,EricAl01
Jakeem Grant,WR,26.357,2019-09-22,NFL,MIA,@,DAL,L 6-31,3,3,Sun,2,1,0.50,0,GranJa00
Deonte Harris,WR/RS,21.292,2019-09-22,NFL,NOR,@,SEA,W 33-27,3,3,Sun,3,53,17.67,1,HarrDe07
Richie James,WR,24.017,2019-09-22,NFL,SFO,,PIT,W 24-20,3,3,Sun,5,53,10.60,0,JameRi00
T.J. Jones,WR,27.065,2019-09-22,NFL,NYG,@,TAM,W 32-31,3,3,Sun,1,13,13.00,0,JoneT.00
Desmond King,DB,24.282,2019-09-22,NFL,LAC,,HOU,L 20-27,3,3,Sun,2,-1,-0.50,0,KingDe01
Christian Kirk,WR,22.308,2019-09-22,NFL,ARI,,CAR,L 20-38,3,3,Sun,2,20,10.00,0,KirkCh01
Tyler Lockett,WR,26.359,2019-09-22,NFL,SEA,,NOR,L 27-33,3,3,Sun,3,12,4.00,0,LockTy00
Ray-Ray McCloud,WR,22.342,2019-09-22,NFL,CAR,@,ARI,W 38-20,3,3,Sun,1,0,0.00,0,McClRa00
Jojo Natson,WR,25.233,2019-09-22,NFL,LAR,@,CLE,W 20-13,3,3,Sun,2,0,0.00,0,NatsJo00
Gunner Olszewski,WR,22.300,2019-09-22,NFL,NWE,,NYJ,W 30-14,3,3,Sun,8,44,5.50,0,OlszGu00
Jalen Richard,RB,25.342,2019-09-22,NFL,OAK,@,MIN,L 14-34,3,3,Sun,2,0,0.00,0,RichJa01
Andre Roberts,WR,31.256,2019-09-22,NFL,BUF,,CIN,W 21-17,3,3,Sun,3,4,1.33,0,RobeAn00
Diontae Spencer,WR,27.187,2019-09-22,NFL,DEN,@,GNB,L 16-27,3,3,Sun,1,3,3.00,0,SpenDi00
Darren Sproles,RB,36.094,2019-09-22,NFL,PHI,,DET,L 24-27,3,3,Sun,1,2,2.00,0,SproDa00
Ryan Switzer,WR,24.322,2019-09-22,NFL,PIT,@,SFO,L 20-24,3,3,Sun,1,0,0.00,0,SwitRy00
De'Anthony Thomas,WR,26.260,2019-09-22,NFL,KAN,,BAL,W 33-28,3,3,Sun,1,9,9.00,0,ThomDe05
Bobo Wilson,WR,24.240,2019-09-22,NFL,TAM,,NYG,L 31-32,3,3,Sun,5,9,1.80,0,WilsJe00
Cedrick Wilson,WR,23.306,2019-09-22,NFL,DAL,,MIA,W 31-6,3,3,Sun,1,13,13.00,0,WilsCe01
Tarik Cohen,RB,24.059,2019-09-23,NFL,CHI,@,WAS,W 31-15,3,3,Mon,1,3,3.00,0,CoheTa00
Trey Quinn,WR,23.290,2019-09-23,NFL,WAS,,CHI,L 15-31,3,3,Mon,2,15,7.50,0,QuinTr00
Darrius Shepherd,WR,23.329,2019-09-26,NFL,GNB,,PHI,L 27-34,4,4,Thu,1,0,0.00,0,ShepDa00
Jamal Agnew,CB,24.179,2019-09-29,NFL,DET,,KAN,L 30-34,4,4,Sun,1,-1,-1.00,0,AgneJa00
Tavon Austin,WR,29.198,2019-09-29,NFL,DAL,@,NOR,L 10-12,4,4,Sun,1,0,0.00,0,AustTa00
Fred Brown,WR,25.302,2019-09-29,NFL,DEN,,JAX,L 24-26,4,4,Sun,1,0,0.00,0,BrowFr01
DeAndre Carter,WR,26.172,2019-09-29,NFL,HOU,,CAR,L 10-16,4,4,Sun,1,18,18.00,0,CartDe02
