Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Chris Owens,CB,23.285,2010-09-12,NFL,ATL,@,PIT,L 9-15,1,1,Sun,0,0,0,1,OwenCh99
Julian Peterson,OLB,32.046,2010-09-12,NFL,DET,@,CHI,L 14-19,1,1,Sun,0,0,0,1,PeteJu00
Mike Peterson,OLB,34.087,2010-09-12,NFL,ATL,@,PIT,L 9-15,1,1,Sun,1,1,0,1,PeteMi20
Kenny Phillips,SS,23.292,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,1,0,0,1,PhilKe99
Troy Polamalu,SS,29.146,2010-09-12,NFL,PIT,,ATL,W 15-9,1,1,Sun,1,1,0,1,PolaTr99
Jerraud Powers,RCB,23.055,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,0,0,0,1,PoweJe99
Glover Quin,LCB,24.240,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,0,0,0,1,QuinGl99
Kerry Rhodes,FS,28.041,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,1,65,0,1,RhodKe20
Keith Rivers,WLB,24.130,2010-09-12,NFL,CIN,@,NWE,L 24-38,1,1,Sun,0,0,0,1,RiveKe99
Dominique Rodgers-Cromartie,LCB,24.158,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,0,0,0,1,RodgDo99
Carlos Rogers,RCB,29.072,2010-09-12,NFL,WAS,,DAL,W 13-7,1,1,Sun,0,0,0,2,RogeCa20
Stanford Routt,CB,27.051,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,0,0,0,1,RoutSt20
Ahtyba Rubin,NT,24.049,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,0,0,0,1,RubiAh99
DeMeco Ryans,MLB,26.046,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,0,0,0,2,RyanDe20
Asante Samuel,CB,29.249,2010-09-12,NFL,PHI,,GNB,L 20-27,1,1,Sun,0,0,0,1,SamuAs20
Benny Sapp,CB,29.235,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,0,0,0,1,SappBe20
Trevor Scott,DE,26.013,2010-09-12,NFL,OAK,@,TEN,L 13-38,1,1,Sun,0,0,0,1,ScotTr99
Antonio Smith,LDE,28.326,2010-09-12,NFL,HOU,,IND,W 34-24,1,1,Sun,0,0,0,1,SmitAn22
