Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Tom Brady,QB,30.037,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,1,4,4.00,0,BradTo00
Chris Brown,RB,26.145,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,19,175,9.21,0,BrowCh03
Ronnie Brown,RB,25.271,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,11,32,2.91,0,BrowRo05
Correll Buckhalter,RB,28.338,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,4,5,1.25,0,BuckCo00
Marc Bulger,QB,30.157,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,3,18,6.00,0,BulgMa00
Nate Burleson,WR,26.021,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,1,3,3.00,0,BurlNa00
Jason Campbell,QB,25.252,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,4,29,7.25,0,CampJa00
Matt Cassel,QB,25.115,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,1,0,0.00,0,CassMa00
Jesse Chatman,RB,27.352,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,7,15,2.14,0,ChatJe00
Michael Clayton,WR,24.331,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,1,0,0.00,0,ClayMi00
Jay Cutler,QB,24.133,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,4,18,4.50,0,CutlJa00
Najeh Davenport,RB,28.213,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,8,43,5.38,0,DaveNa00
Carey Davis,FB,26.166,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,3,5,1.67,0,DaviCa00
Ron Dayne,RB,29.179,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,13,33,2.54,0,DaynRo00
Jake Delhomme,QB,32.242,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,3,12,4.00,0,DelhJa00
Reuben Droughns,RB,29.019,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,1,5,5.00,0,DrouRe00
T.J. Duckett,RB,26.204,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,3,4,1.33,0,DuckT.00
Warrick Dunn,RB,32.247,2007-09-09,NFL,ATL,@,MIN,L 3-24,1,1,Sun,22,55,2.50,0,DunnWa00
Heath Evans,FB,28.253,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,2,1,0.50,1,EvanHe00
Justin Fargas,RB,27.227,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,5,19,3.80,0,FargJu00
Kevin Faulk,RB,31.096,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,1,4,4.00,0,FaulKe00
Brett Favre*,QB,37.334,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,1,-2,-2.00,0,FavrBr00
DeShaun Foster,RB,27.242,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,17,94,5.53,0,FostDe00
Charlie Frye,QB,26.012,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,1,1,1.00,0,FryeCh00
Joey Galloway,WR,35.293,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,1,1,1.00,0,GallJo00
Jeff Garcia,QB,37.197,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,1,3,3.00,0,GarcJe00
David Garrard,QB,29.207,2007-09-09,NFL,JAX,,TEN,L 10-13,1,1,Sun,4,27,6.75,0,GarrDa00
Ted Ginn,WR,22.150,2007-09-09,NFL,MIA,@,WAS,L 13-16,1,1,Sun,1,7,7.00,0,GinnTe00
Earnest Graham,RB,27.237,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,4,11,2.75,0,GrahEa00
Ahman Green,RB,30.205,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,16,73,4.56,0,GreeAh00
Matt Gutierrez,QB,23.092,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,1,-1,-1.00,0,GutiMa00
Joey Harrington,QB,28.323,2007-09-09,NFL,ATL,@,MIN,L 3-24,1,1,Sun,1,8,8.00,0,HarrJo00
Matt Hasselbeck,QB,31.349,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,2,7,3.50,0,HassMa00
Travis Henry,RB,28.315,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,23,139,6.04,0,HenrTr00
Santonio Holmes,WR,23.190,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,1,11,11.00,0,HolmSa00
Brad Hoover,FB,30.302,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,2,16,8.00,0,HoovBr00
Damon Huard,QB,34.062,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,1,0,0.00,0,HuarDa00
Brandon Jackson,RB,21.342,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,15,40,2.67,0,JackBr00
Steven Jackson,RB,24.049,2007-09-09,NFL,STL,,CAR,L 13-27,1,1,Sun,18,58,3.22,0,JackSt00
Tarvaris Jackson,QB,24.141,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,2,10,5.00,0,JackTa00
Brandon Jacobs,RB,25.065,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,6,26,4.33,0,JacoBr00
Larry Johnson,RB,27.294,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,10,43,4.30,0,JohnLa00
Brandon Jones,WR,25.173,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,1,19,19.00,0,JoneBr02
Jacoby Jones,WR,23.060,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,1,4,4.00,0,JoneJa03
Julius Jones,RB,26.026,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,16,66,4.13,0,JoneJu01
Thomas Jones,RB,29.021,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,14,42,3.00,0,JoneTh00
Maurice Jones-Drew,RB/K,22.170,2007-09-09,NFL,JAX,,TEN,L 10-13,1,1,Sun,7,32,4.57,0,DrewMa00
LaMont Jordan,RB,28.302,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,15,70,4.67,1,JordLa00
Eddie Kennison,WR,34.232,2007-09-09,NFL,KAN,@,HOU,L 3-20,1,1,Sun,1,5,5.00,0,KennEd00
Jon Kitna,QB,34.353,2007-09-09,NFL,DET,@,OAK,W 36-21,1,1,Sun,3,17,5.67,0,KitnJo00
Jamal Lewis,RB,28.011,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,11,35,3.18,0,LewiJa00
Jared Lorenzen,QB,26.207,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,1,2,2.00,0,LoreJa00
J.P. Losman,QB,26.181,2007-09-09,NFL,BUF,,DEN,L 14-15,1,1,Sun,2,13,6.50,0,LosmJ.00
Marshawn Lynch,RB,21.140,2007-09-09,NFL,BUF,,DEN,L 14-15,1,1,Sun,19,90,4.74,1,LyncMa00
Eli Manning,QB,26.249,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,1,2,2.00,0,MannEl00
Laurence Maroney,RB,22.216,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,20,72,3.60,0,MaroLa00
Josh McCown,QB,28.067,2007-09-09,NFL,OAK,,DET,L 21-36,1,1,Sun,3,3,1.00,0,McCoJo01
Luke McCown,QB,26.059,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,1,9,9.00,0,McCoLu00
Donovan McNabb,QB,30.288,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,4,9,2.25,0,McNaDo00
Maurice Morris,RB,27.282,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,3,15,5.00,0,MorrMa00
Sammy Morris,RB,30.170,2007-09-09,NFL,NWE,@,NYJ,W 38-14,1,1,Sun,11,54,4.91,0,MorrSa00
Lorenzo Neal,FB,36.256,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,4,12,3.00,0,NealLo00
Jerious Norwood,RB,24.042,2007-09-09,NFL,ATL,@,MIN,L 3-24,1,1,Sun,5,33,6.60,0,NorwJe00
Willie Parker,HB,26.302,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,27,109,4.04,0,ParkWi00
Roscoe Parrish,WR,25.055,2007-09-09,NFL,BUF,,DEN,L 14-15,1,1,Sun,1,-2,-2.00,0,ParrRo00
Chad Pennington,QB,31.075,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,1,3,3.00,0,PennCh01
Adrian Peterson,RB,28.070,2007-09-09,NFL,CHI,@,SDG,L 3-14,1,1,Sun,7,38,5.43,0,PeteAd00
Adrian Peterson,RB,22.172,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,19,103,5.42,0,PeteAd01
Michael Pittman,FB,32.026,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,3,6,2.00,0,PittMi00
Clinton Portis,RB,26.008,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,17,98,5.76,1,PortCl00
Antwaan Randle El,WR,28.023,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,1,-3,-3.00,0,RandAn00
Josh Reed,WR,27.131,2007-09-09,NFL,BUF,,DEN,L 14-15,1,1,Sun,1,12,12.00,0,ReedJo01
Philip Rivers,QB,25.275,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,5,-1,-0.20,0,RivePh00
Ben Roethlisberger,QB,25.191,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,1,2,2.00,0,RoetBe00
Tony Romo,QB,27.141,2007-09-09,NFL,DAL,,NYG,W 45-35,1,1,Sun,3,11,3.67,1,RomoTo00
Cecil Sapp,FB,28.260,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,3,7,2.33,0,SappCe00
Matt Schaub,QB,26.076,2007-09-09,NFL,HOU,,KAN,W 20-3,1,1,Sun,1,-1,-1.00,0,SchaMa00
Mike Sellers,FB,32.050,2007-09-09,NFL,WAS,,MIA,W 16-13,1,1,Sun,2,8,4.00,0,SellMi00
Steve Smith,WR,28.120,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,1,2,2.00,0,SmitSt01
Mack Strong,FB,35.363,2007-09-09,NFL,SEA,,TAM,W 20-6,1,1,Sun,1,9,9.00,0,StroMa00
Naufahu Tahi,FB,25.314,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,2,5,2.50,0,TahiNa00
Thomas Tapeh,FB,27.165,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,1,4,4.00,0,TapeTh00
Chester Taylor,RB,27.352,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,3,18,6.00,0,TaylCh01
Fred Taylor,RB,31.225,2007-09-09,NFL,JAX,,TEN,L 10-13,1,1,Sun,6,16,2.67,0,TaylFr00
Anthony Thomas,RB,29.306,2007-09-09,NFL,BUF,,DEN,L 14-15,1,1,Sun,3,-1,-0.33,0,ThomAn01
LaDainian Tomlinson*,RB,28.078,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,17,25,1.47,1,TomlLa00
Michael Turner,RB,25.208,2007-09-09,NFL,SDG,,CHI,W 14-3,1,1,Sun,10,41,4.10,0,TurnMi00
Lawrence Vickers,FB,24.124,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,2,8,4.00,0,VickLa00
Derrick Ward,RB,27.010,2007-09-09,NFL,NYG,@,DAL,L 35-45,1,1,Sun,13,89,6.85,0,WardDe01
Leon Washington,RB,25.011,2007-09-09,NFL,NYJ,,NWE,L 14-38,1,1,Sun,4,15,3.75,0,WashLe00
Brian Westbrook,RB,28.007,2007-09-09,NFL,PHI,@,GNB,L 13-16,1,1,Sun,20,85,4.25,0,WestBr00
LenDale White,RB,22.263,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,18,66,3.67,0,WhitLe01
Cadillac Williams,RB,25.141,2007-09-09,NFL,TAM,@,SEA,L 6-20,1,1,Sun,12,60,5.00,0,WillCa02
DeAngelo Williams,RB,24.137,2007-09-09,NFL,CAR,@,STL,W 27-13,1,1,Sun,15,62,4.13,0,WillDe02
Troy Williamson,WR,24.132,2007-09-09,NFL,MIN,,ATL,W 24-3,1,1,Sun,1,3,3.00,0,WillTr01
Cedrick Wilson,WR,28.266,2007-09-09,NFL,PIT,@,CLE,W 34-7,1,1,Sun,1,37,37.00,0,WilsCe00
Jason Wright,RB,25.059,2007-09-09,NFL,CLE,,PIT,L 7-34,1,1,Sun,1,3,3.00,0,WrigJa01
DeShawn Wynn,RB,23.335,2007-09-09,NFL,GNB,,PHI,W 16-13,1,1,Sun,1,8,8.00,0,WynnDe00
Selvin Young,RB,23.343,2007-09-09,NFL,DEN,@,BUF,W 15-14,1,1,Sun,2,7,3.50,0,YounSe00
Vince Young,QB,24.114,2007-09-09,NFL,TEN,@,JAX,W 13-10,1,1,Sun,11,22,2.00,1,YounVi00
J.J. Arrington,RB,24.230,2007-09-10,NFL,ARI,@,SFO,L 17-20,1,1,Mon,4,6,1.50,0,ArriJ.00
Arnaz Battle,WR,27.200,2007-09-10,NFL,SFO,,ARI,W 20-17,1,1,Mon,1,1,1.00,1,BattAr00
Anquan Boldin,WR,26.342,2007-09-10,NFL,ARI,@,SFO,L 17-20,1,1,Mon,1,14,14.00,0,BoldAn00
Frank Gore,RB,24.119,2007-09-10,NFL,SFO,,ARI,W 20-17,1,1,Mon,18,55,3.06,1,GoreFr00
Edgerrin James,RB,29.040,2007-09-10,NFL,ARI,@,SFO,L 17-20,1,1,Mon,26,92,3.54,1,JameEd00
Chad Johnson,WR,29.244,2007-09-10,NFL,CIN,,BAL,W 27-20,1,1,Mon,1,2,2.00,0,JohnCh01
Jeremi Johnson,FB,27.006,2007-09-10,NFL,CIN,,BAL,W 27-20,1,1,Mon,1,3,3.00,0,JohnJe00
Rudi Johnson,HB,27.344,2007-09-10,NFL,CIN,,BAL,W 27-20,1,1,Mon,18,50,2.78,0,JohnRu00
Matt Leinart,QB,24.122,2007-09-10,NFL,ARI,@,SFO,L 17-20,1,1,Mon,6,35,5.83,0,LeinMa00
Willis McGahee,RB,25.324,2007-09-10,NFL,BAL,@,CIN,L 20-27,1,1,Mon,19,77,4.05,0,McGaWi00
Steve McNair,QB,34.208,2007-09-10,NFL,BAL,@,CIN,L 20-27,1,1,Mon,1,0,0.00,0,McNaSt00
Carson Palmer,QB,27.257,2007-09-10,NFL,CIN,,BAL,W 27-20,1,1,Mon,3,0,0.00,0,PalmCa00
Marcel Shipp,RB,29.033,2007-09-10,NFL,ARI,@,SFO,L 17-20,1,1,Mon,1,14,14.00,0,ShipMa00
Alex Smith,QB,23.126,2007-09-10,NFL,SFO,,ARI,W 20-17,1,1,Mon,3,36,12.00,0,SmitAl03
Musa Smith,RB,25.102,2007-09-10,NFL,BAL,@,CIN,L 20-27,1,1,Mon,5,30,6.00,1,SmitMu00
Joseph Addai,RB,24.136,2007-09-16,NFL,IND,@,TEN,W 22-20,2,2,Sun,20,81,4.05,1,AddaJo00
Shaun Alexander,RB,30.017,2007-09-16,NFL,SEA,@,ARI,L 20-23,2,2,Sun,18,70,3.89,1,AlexSh00
Derek Anderson,QB,24.093,2007-09-16,NFL,CLE,,CIN,W 51-45,2,2,Sun,1,-1,-1.00,0,AndeDe00
J.J. Arrington,RB,24.236,2007-09-16,NFL,ARI,,SEA,W 23-20,2,2,Sun,1,8,8.00,0,ArriJ.00
Marion Barber,RB,24.098,2007-09-16,NFL,DAL,@,MIA,W 37-20,2,2,Sun,14,89,6.36,2,BarbMa01
Charlie Batch,QB,32.285,2007-09-16,NFL,PIT,,BUF,W 26-3,2,2,Sun,2,-2,-1.00,0,BatcCh00
Jacob Bell,LG,26.198,2007-09-16,NFL,TEN,,IND,L 20-22,2,2,Sun,1,-15,-15.00,0,BellJa20
Mike Bell,RB,24.146,2007-09-16,NFL,DEN,,OAK,W 23-20,2,2,Sun,4,7,1.75,0,BellMi00
Tatum Bell,HB,26.198,2007-09-16,NFL,DET,,MIN,W 20-17,2,2,Sun,9,14,1.56,0,BellTa00
Michael Bennett,RB,29.034,2007-09-16,NFL,KAN,@,CHI,L 10-20,2,2,Sun,7,14,2.00,0,BennMi00
Cedric Benson,RB,24.262,2007-09-16,NFL,CHI,,KAN,W 20-10,2,2,Sun,24,101,4.21,0,BensCe00
Kyle Boller,QB,26.091,2007-09-16,NFL,BAL,,NYJ,W 20-13,2,2,Sun,3,7,2.33,0,BollKy00
Brooks Bollinger,QB,27.305,2007-09-16,NFL,MIN,@,DET,L 17-20,2,2,Sun,1,0,0.00,0,BollBr00
Tom Brady,QB,30.044,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,1,2,2.00,0,BradTo00
Drew Brees,QB,28.244,2007-09-16,NFL,NOR,@,TAM,L 14-31,2,2,Sun,3,10,3.33,0,BreeDr00
Chris Brown,RB,26.152,2007-09-16,NFL,TEN,,IND,L 20-22,2,2,Sun,12,34,2.83,0,BrowCh03
Ronnie Brown,RB,25.278,2007-09-16,NFL,MIA,,DAL,L 20-37,2,2,Sun,11,33,3.00,0,BrowRo05
Isaac Bruce,WR,34.310,2007-09-16,NFL,STL,,SFO,L 16-17,2,2,Sun,1,-3,-3.00,0,BrucIs00
Reggie Bush,RB,22.198,2007-09-16,NFL,NOR,@,TAM,L 14-31,2,2,Sun,10,27,2.70,0,BushRe00
Brian Calhoun,RB,23.131,2007-09-16,NFL,DET,,MIN,W 20-17,2,2,Sun,5,22,4.40,0,CalhBr00
Chris Chambers,WR,29.035,2007-09-16,NFL,MIA,,DAL,L 20-37,2,2,Sun,1,-5,-5.00,0,ChamCh00
Jesse Chatman,RB,27.359,2007-09-16,NFL,MIA,,DAL,L 20-37,2,2,Sun,3,27,9.00,0,ChatJe00
Kellen Clemens,QB,24.101,2007-09-16,NFL,NYJ,@,BAL,L 13-20,2,2,Sun,3,2,0.67,0,ClemKe00
Josh Cribbs,WR,24.099,2007-09-16,NFL,CLE,,CIN,W 51-45,2,2,Sun,1,11,11.00,0,CribJo01
Jay Cutler,QB,24.140,2007-09-16,NFL,DEN,,OAK,W 23-20,2,2,Sun,2,-2,-1.00,0,CutlJa00
Najeh Davenport,RB,28.220,2007-09-16,NFL,PIT,,BUF,W 26-3,2,2,Sun,6,46,7.67,0,DaveNa00
Carey Davis,RB,26.173,2007-09-16,NFL,PIT,,BUF,W 26-3,2,2,Sun,1,4,4.00,0,DaviCa00
Chris Davis,WR,23.236,2007-09-16,NFL,TEN,,IND,L 20-22,2,2,Sun,1,5,5.00,0,DaviCh02
Ron Dayne,RB,29.186,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,18,44,2.44,0,DaynRo00
Jake Delhomme,QB,32.249,2007-09-16,NFL,CAR,,HOU,L 21-34,2,2,Sun,1,13,13.00,0,DelhJa00
Warrick Dunn,RB,32.254,2007-09-16,NFL,ATL,@,JAX,L 7-13,2,2,Sun,13,50,3.85,1,DunnWa00
Heath Evans,RB,28.260,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,2,6,3.00,0,EvanHe00
Justin Fargas,RB,27.234,2007-09-16,NFL,OAK,@,DEN,L 20-23,2,2,Sun,8,13,1.63,0,FargJu00
Kevin Faulk,RB,31.103,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,1,4,4.00,0,FaulKe00
Brett Favre*,QB,37.341,2007-09-16,NFL,GNB,@,NYG,W 35-13,2,2,Sun,2,-2,-1.00,0,FavrBr00
DeShaun Foster,RB,27.249,2007-09-16,NFL,CAR,,HOU,L 21-34,2,2,Sun,9,22,2.44,0,FostDe00
Jeff Garcia,QB,37.204,2007-09-16,NFL,TAM,,NOR,W 31-14,2,2,Sun,2,6,3.00,0,GarcJe00
David Garrard,QB,29.214,2007-09-16,NFL,JAX,,ATL,W 13-7,2,2,Sun,5,20,4.00,0,GarrDa00
Ted Ginn,WR,22.157,2007-09-16,NFL,MIA,,DAL,L 20-37,2,2,Sun,1,-3,-3.00,0,GinnTe00
Frank Gore,RB,24.125,2007-09-16,NFL,SFO,@,STL,W 17-16,2,2,Sun,20,81,4.05,2,GoreFr00
Earnest Graham,RB,27.244,2007-09-16,NFL,TAM,,NOR,W 31-14,2,2,Sun,1,2,2.00,0,GrahEa00
Ahman Green,RB,30.212,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,15,71,4.73,1,GreeAh00
Trent Green,QB,37.069,2007-09-16,NFL,MIA,,DAL,L 20-37,2,2,Sun,5,9,1.80,0,GreeTr00
Rex Grossman,QB,27.024,2007-09-16,NFL,CHI,,KAN,W 20-10,2,2,Sun,3,-3,-1.00,0,GrosRe00
Matt Gutierrez,QB,23.099,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,2,-2,-1.00,0,GutiMa00
Joey Harrington,QB,28.330,2007-09-16,NFL,ATL,@,JAX,L 7-13,2,2,Sun,2,2,1.00,0,HarrJo00
Matt Hasselbeck,QB,31.356,2007-09-16,NFL,SEA,@,ARI,L 20-23,2,2,Sun,2,-2,-1.00,0,HassMa00
Travis Henry,RB,28.322,2007-09-16,NFL,DEN,,OAK,W 23-20,2,2,Sun,26,128,4.92,0,HenrTr00
Maurice Hicks,RB,29.056,2007-09-16,NFL,SFO,@,STL,W 17-16,2,2,Sun,2,10,5.00,0,HickMa00
Damon Huard,QB,34.069,2007-09-16,NFL,KAN,@,CHI,L 10-20,2,2,Sun,1,1,1.00,0,HuarDa00
Brandon Jackson,RB,21.349,2007-09-16,NFL,GNB,@,NYG,W 35-13,2,2,Sun,17,35,2.06,0,JackBr00
Steven Jackson,RB,24.056,2007-09-16,NFL,STL,,SFO,L 16-17,2,2,Sun,21,60,2.86,0,JackSt00
Tarvaris Jackson,QB,24.148,2007-09-16,NFL,MIN,@,DET,L 17-20,2,2,Sun,5,16,3.20,1,JackTa00
Taylor Jacobs,WR,26.109,2007-09-16,NFL,SFO,@,STL,W 17-16,2,2,Sun,1,-8,-8.00,0,JacoTa00
Edgerrin James,RB,29.046,2007-09-16,NFL,ARI,,SEA,W 23-20,2,2,Sun,24,128,5.33,1,JameEd00
Calvin Johnson,WR,21.352,2007-09-16,NFL,DET,,MIN,W 20-17,2,2,Sun,1,7,7.00,0,JohnCa00
Larry Johnson,RB,27.301,2007-09-16,NFL,KAN,@,CHI,L 10-20,2,2,Sun,16,55,3.44,0,JohnLa00
Rudi Johnson,HB,27.350,2007-09-16,NFL,CIN,@,CLE,L 45-51,2,2,Sun,23,118,5.13,0,JohnRu00
Greg Jones,FB/R,26.130,2007-09-16,NFL,JAX,,ATL,W 13-7,2,2,Sun,2,6,3.00,0,JoneGr01
Julius Jones,RB,26.033,2007-09-16,NFL,DAL,@,MIA,W 37-20,2,2,Sun,15,32,2.13,0,JoneJu01
Thomas Jones,RB,29.028,2007-09-16,NFL,NYJ,@,BAL,L 13-20,2,2,Sun,24,67,2.79,0,JoneTh00
Maurice Jones-Drew,RB/K,22.177,2007-09-16,NFL,JAX,,ATL,W 13-7,2,2,Sun,11,31,2.82,0,DrewMa00
LaMont Jordan,RB,28.309,2007-09-16,NFL,OAK,@,DEN,L 20-23,2,2,Sun,25,159,6.36,0,JordLa00
Mike Karney,FB,26.072,2007-09-16,NFL,NOR,@,TAM,L 14-31,2,2,Sun,3,13,4.33,1,KarnMi00
Kenton Keith,RB,27.064,2007-09-16,NFL,IND,@,TEN,W 22-20,2,2,Sun,1,2,2.00,0,KeitKe00
Jon Kitna,QB,34.360,2007-09-16,NFL,DET,,MIN,W 20-17,2,2,Sun,3,13,4.33,0,KitnJo00
Vonta Leach,FB,25.314,2007-09-16,NFL,HOU,@,CAR,W 34-21,2,2,Sun,1,1,1.00,0,LeacVo00
Matt Leinart,QB,24.128,2007-09-16,NFL,ARI,,SEA,W 23-20,2,2,Sun,1,-4,-4.00,0,LeinMa00
Jamal Lewis,RB,28.018,2007-09-16,NFL,CLE,,CIN,W 51-45,2,2,Sun,27,216,8.00,1,LewiJa00
J.P. Losman,QB,26.188,2007-09-16,NFL,BUF,@,PIT,L 3-26,2,2,Sun,4,38,9.50,0,LosmJ.00
Marshawn Lynch,RB,21.147,2007-09-16,NFL,BUF,@,PIT,L 3-26,2,2,Sun,18,64,3.56,0,LyncMa00
Peyton Manning,QB,31.176,2007-09-16,NFL,IND,@,TEN,W 22-20,2,2,Sun,1,-2,-2.00,0,MannPe00
Laurence Maroney,RB,22.223,2007-09-16,NFL,NWE,,SDG,W 38-14,2,2,Sun,15,77,5.13,0,MaroLa00
Deuce McAllister,RB,28.263,2007-09-16,NFL,NOR,@,TAM,L 14-31,2,2,Sun,10,49,4.90,0,McAlDe00
Le'Ron McClain,FB,22.263,2007-09-16,NFL,BAL,,NYJ,W 20-13,2,2,Sun,2,6,3.00,0,McClLe00
