Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Quincy Carter,QB,24.337,2002-09-15,NFL,DAL,,TEN,W 21-13,2,2,Sun,14,24,58.33,240,2,0,120.1,1,10,10.00,11.67,CartQu00
Kerry Collins,QB,29.259,2002-09-15,NFL,NYG,@,STL,W 26-21,2,2,Sun,22,26,84.62,307,1,1,112.7,2,16,11.81,10.85,CollKe00
Daunte Culpepper,QB,25.230,2002-09-15,NFL,MIN,,BUF,L 39-45,2,2,Sun,25,45,55.56,281,3,0,96.6,5,45,6.24,7.58,CulpDa00
Trent Dilfer,QB,30.186,2002-09-15,NFL,SEA,,ARI,L 13-24,2,2,Sun,29,47,61.70,352,1,0,91.8,1,7,7.49,7.91,DilfTr00
Brett Favre*,QB,32.340,2002-09-15,NFL,GNB,@,NOR,L 20-35,2,2,Sun,29,44,65.91,270,2,1,88.3,1,8,6.14,6.02,FavrBr00
Jay Fiedler,QB,30.260,2002-09-15,NFL,MIA,@,IND,W 21-13,2,2,Sun,13,18,72.22,187,2,1,119.4,1,8,10.39,10.11,FiedJa00
Gus Frerotte,QB,31.046,2002-09-15,NFL,CIN,@,CLE,L 7-20,2,2,Sun,26,47,55.32,239,1,3,49.9,5,38,5.09,2.64,FrerGu00
Rich Gannon,QB,36.269,2002-09-15,NFL,OAK,@,PIT,W 30-17,2,2,Sun,43,64,67.19,403,1,2,76.5,5,34,6.30,5.20,GannRi00
Jeff Garcia,QB,32.203,2002-09-15,NFL,SFO,,DEN,L 14-24,2,2,Sun,27,36,75.00,205,1,1,86.0,2,15,5.69,5.00,GarcJe00
Trent Green,QB,32.068,2002-09-15,NFL,KAN,,JAX,L 16-23,2,2,Sun,16,31,51.61,199,1,2,55.7,1,3,6.42,4.16,GreeTr00
Brian Griese,QB,27.181,2002-09-15,NFL,DEN,@,SFO,W 24-14,2,2,Sun,14,19,73.68,119,2,0,124.7,4,21,6.26,8.37,GrieBr00
Joey Harrington,QB,23.329,2002-09-15,NFL,DET,@,CAR,L 7-31,2,2,Sun,3,7,42.86,11,0,1,10.7,0,0,1.57,-4.86,HarrJo00
Craig Hentrich,P/K,31.120,2002-09-15,NFL,TEN,@,DAL,L 13-21,2,2,Sun,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,hentrcra01
Kelly Holcomb,QB,29.068,2002-09-15,NFL,CLE,,CIN,W 20-7,2,2,Sun,17,30,56.67,198,2,0,99.0,1,8,6.60,7.93,HolcKe00
Priest Holmes,RB,28.343,2002-09-15,NFL,KAN,,JAX,L 16-23,2,2,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,HolmPr00
Brad Johnson,QB,34.002,2002-09-15,NFL,TAM,@,BAL,W 25-0,2,2,Sun,24,31,77.42,211,0,0,95.0,1,6,6.81,6.81,JohnBr00
Terry Kirby,RB,32.238,2002-09-15,NFL,OAK,@,PIT,W 30-17,2,2,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,KirbTe00
Peyton Manning,QB,26.175,2002-09-15,NFL,IND,,MIA,L 13-21,2,2,Sun,26,45,57.78,289,1,3,56.6,0,0,6.42,3.87,MannPe00
Mike McMahon,QB,23.219,2002-09-15,NFL,DET,@,CAR,L 7-31,2,2,Sun,9,23,39.13,95,0,1,33.8,6,57,4.13,2.17,McMaMi00
Steve McNair,QB,29.213,2002-09-15,NFL,TEN,@,DAL,L 13-21,2,2,Sun,20,38,52.63,226,1,1,68.5,3,24,5.95,5.29,McNaSt00
Jim Miller,QB,31.218,2002-09-15,NFL,CHI,@,ATL,W 14-13,2,2,Sun,12,24,50.00,143,1,1,65.1,1,7,5.96,4.92,MillJi00
Randy Moss*,WR,25.214,2002-09-15,NFL,MIN,,BUF,L 39-45,2,2,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,MossRa00
Neil O'Donnell,QB,36.074,2002-09-15,NFL,TEN,@,DAL,L 13-21,2,2,Sun,2,4,50.00,16,0,0,60.4,0,0,4.00,4.00,ODonNe00
Rodney Peete,QB,36.183,2002-09-15,NFL,CAR,,DET,W 31-7,2,2,Sun,21,32,65.63,310,1,0,107.6,0,0,9.69,10.31,PeetRo00
Chad Pennington,QB,26.081,2002-09-15,NFL,NYJ,,NWE,L 7-44,2,2,Sun,3,10,30.00,39,0,0,43.3,2,4,3.90,3.90,PennCh01
Jake Plummer,QB,27.270,2002-09-15,NFL,ARI,@,SEA,W 24-13,2,2,Sun,10,22,45.45,107,1,1,56.4,2,9,4.86,3.73,PlumJa00
Chris Redman,QB,25.070,2002-09-15,NFL,BAL,,TAM,L 0-25,2,2,Sun,16,38,42.11,141,0,1,41.7,3,23,3.71,2.53,RedmCh00
Kordell Stewart,QB,29.334,2002-09-15,NFL,PIT,,OAK,L 17-30,2,2,Sun,18,34,52.94,201,2,1,78.2,0,0,5.91,5.76,StewKo00
Vinny Testaverde,QB,38.306,2002-09-15,NFL,NYJ,,NWE,L 7-44,2,2,Sun,15,23,65.22,150,1,1,80.0,3,17,6.52,5.43,TestVi00
Michael Vick,QB,22.081,2002-09-15,NFL,ATL,,CHI,L 13-14,2,2,Sun,17,28,60.71,166,1,0,89.3,4,31,5.93,6.64,VickMi00
Kurt Warner*,QB,31.085,2002-09-15,NFL,STL,,NYG,L 21-26,2,2,Sun,26,39,66.67,266,1,2,73.2,1,6,6.82,5.03,WarnKu00
Chris Weinke,QB,30.046,2002-09-15,NFL,CAR,,DET,W 31-7,2,2,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,WeinCh00
Shane Matthews,QB,32.107,2002-09-16,NFL,WAS,,PHI,L 7-37,2,2,Mon,10,22,45.45,62,0,1,33.5,0,0,2.82,0.77,MattSh00
Donovan McNabb,QB,25.295,2002-09-16,NFL,PHI,@,WAS,W 37-7,2,2,Mon,26,38,68.42,292,2,0,108.7,2,9,7.68,8.74,McNaDo00
Danny Wuerffel,QB,28.112,2002-09-16,NFL,WAS,,PHI,L 7-37,2,2,Mon,6,9,66.67,57,0,1,44.4,4,29,6.33,1.33,WuerDa00
Drew Bledsoe,QB,30.220,2002-09-22,NFL,BUF,@,DEN,L 23-28,3,3,Sun,27,41,65.85,283,2,0,102.0,4,31,6.90,7.88,BledDr00
Tom Brady,QB,25.050,2002-09-22,NFL,NWE,,KAN,W 41-38,3,3,Sun,39,54,72.22,410,4,1,110.9,4,11,7.59,8.24,BradTo00
Drew Brees,QB,23.250,2002-09-22,NFL,SDG,@,ARI,W 23-15,3,3,Sun,17,31,54.84,181,0,1,58.7,2,17,5.84,4.39,BreeDr00
Aaron Brooks,QB,26.182,2002-09-22,NFL,NOR,@,CHI,W 29-23,3,3,Sun,22,34,64.71,233,3,1,101.7,1,4,6.85,7.29,BrooAa00
David Carr,QB,23.063,2002-09-22,NFL,HOU,,IND,L 3-23,3,3,Sun,12,22,54.55,99,0,1,47.3,4,21,4.50,2.45,CarrDa00
Quincy Carter,QB,24.344,2002-09-22,NFL,DAL,@,PHI,L 13-44,3,3,Sun,21,35,60.00,201,0,1,64.1,3,18,5.74,4.46,CartQu00
Kerry Collins,QB,29.266,2002-09-22,NFL,NYG,,SEA,W 9-6,3,3,Sun,23,38,60.53,282,0,0,83.4,3,25,7.42,7.42,CollKe00
Tim Couch,QB,25.053,2002-09-22,NFL,CLE,@,TEN,W 31-28,3,3,Sun,36,50,72.00,326,3,1,100.9,3,15,6.52,6.82,CoucTi00
Daunte Culpepper,QB,25.237,2002-09-22,NFL,MIN,,CAR,L 14-21,3,3,Sun,19,30,63.33,191,1,4,52.9,5,14,6.37,1.03,CulpDa00
Koy Detmer,QB,29.079,2002-09-22,NFL,PHI,,DAL,W 44-13,3,3,Sun,1,2,50.00,-3,0,0,56.2,0,0,-1.50,-1.50,DetmKo00
Trent Dilfer,QB,30.193,2002-09-22,NFL,SEA,@,NYG,L 6-9,3,3,Sun,16,25,64.00,118,0,1,58.4,2,13,4.72,2.92,DilfTr00
Kevin Faulk,RB,26.109,2002-09-22,NFL,NWE,,KAN,W 41-38,3,3,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,FaulKe00
Brett Favre*,QB,32.347,2002-09-22,NFL,GNB,@,DET,W 37-31,3,3,Sun,31,47,65.96,357,3,1,101.1,1,10,7.60,7.91,FavrBr00
Jay Fiedler,QB,30.267,2002-09-22,NFL,MIA,,NYJ,W 30-3,3,3,Sun,16,30,53.33,185,1,0,83.3,1,2,6.17,6.83,FiedJa00
Gus Frerotte,QB,31.053,2002-09-22,NFL,CIN,@,ATL,L 3-30,3,3,Sun,0,7,0.00,0,0,1,0.0,1,5,0.00,-6.43,FrerGu00
Jeff Garcia,QB,32.210,2002-09-22,NFL,SFO,,WAS,W 20-10,3,3,Sun,10,19,52.63,84,0,1,42.4,1,9,4.42,2.05,GarcJe00
Trent Green,QB,32.075,2002-09-22,NFL,KAN,@,NWE,L 38-41,3,3,Sun,16,25,64.00,149,3,2,86.5,3,21,5.96,4.76,GreeTr00
Brian Griese,QB,27.188,2002-09-22,NFL,DEN,,BUF,W 28-23,3,3,Sun,19,31,61.29,211,2,0,103.0,4,32,6.81,8.10,GrieBr00
Joey Harrington,QB,23.336,2002-09-22,NFL,DET,,GNB,L 31-37,3,3,Sun,15,35,42.86,182,2,4,38.9,1,6,5.20,1.20,HarrJo00
Jon Kitna,QB,30.001,2002-09-22,NFL,CIN,@,ATL,L 3-30,3,3,Sun,18,35,51.43,136,0,1,49.2,1,6,3.89,2.60,KitnJo00
Peyton Manning,QB,26.182,2002-09-22,NFL,IND,@,HOU,W 23-3,3,3,Sun,21,28,75.00,272,2,0,128.9,3,21,9.71,11.14,MannPe00
Shane Matthews,QB,32.113,2002-09-22,NFL,WAS,@,SFO,L 10-20,3,3,Sun,17,28,60.71,169,1,0,89.7,2,17,6.04,6.75,MattSh00
Donovan McNabb,QB,25.301,2002-09-22,NFL,PHI,,DAL,W 44-13,3,3,Sun,24,37,64.86,287,3,0,115.5,3,15,7.76,9.38,McNaDo00
Steve McNair,QB,29.220,2002-09-22,NFL,TEN,,CLE,L 28-31,3,3,Sun,15,23,65.22,107,2,0,104.8,1,6,4.65,6.39,McNaSt00
Jim Miller,QB,31.225,2002-09-22,NFL,CHI,,NOR,L 23-29,3,3,Sun,26,40,65.00,236,2,1,87.1,1,8,5.90,5.78,MillJi00
Rodney Peete,QB,36.190,2002-09-22,NFL,CAR,@,MIN,W 21-14,3,3,Sun,20,30,66.67,221,1,2,71.7,3,15,7.37,5.03,PeetRo00
Chad Pennington,QB,26.088,2002-09-22,NFL,NYJ,@,MIA,L 3-30,3,3,Sun,2,3,66.67,32,0,1,62.5,1,8,10.67,-4.33,PennCh01
Jake Plummer,QB,27.277,2002-09-22,NFL,ARI,,SDG,L 15-23,3,3,Sun,16,36,44.44,229,2,2,61.0,3,29,6.36,4.97,PlumJa00
Tim Rattay,QB,25.191,2002-09-22,NFL,SFO,,WAS,W 20-10,3,3,Sun,5,9,55.56,41,0,0,67.4,1,2,4.56,4.56,RattTi00
Vinny Testaverde,QB,38.313,2002-09-22,NFL,NYJ,@,MIA,L 3-30,3,3,Sun,14,25,56.00,125,0,2,36.2,2,18,5.00,1.40,TestVi00
Michael Vick,QB,22.088,2002-09-22,NFL,ATL,,CIN,W 30-3,3,3,Sun,16,26,61.54,174,2,0,106.9,1,11,6.69,8.23,VickMi00
Brian Westbrook,RB/K,23.020,2002-09-22,NFL,PHI,,DAL,W 44-13,3,3,Sun,1,1,100.00,25,1,0,158.3,0,0,25.00,45.00,WestBr00
Danny Wuerffel,QB,28.118,2002-09-22,NFL,WAS,@,SFO,L 10-20,3,3,Sun,1,2,50.00,14,0,1,33.3,1,6,7.00,-15.50,WuerDa00
Brad Johnson,QB,34.010,2002-09-23,NFL,TAM,,STL,W 26-14,3,3,Mon,23,32,71.88,199,1,0,98.3,1,10,6.22,6.84,JohnBr00
Kurt Warner*,QB,31.093,2002-09-23,NFL,STL,@,TAM,L 14-26,3,3,Mon,30,45,66.67,301,0,4,48.5,5,32,6.69,2.69,WarnKu00
Drew Bledsoe,QB,30.227,2002-09-29,NFL,BUF,,CHI,W 33-27,4,4,Sun,28,36,77.78,328,4,0,141.7,2,21,9.11,11.33,BledDr00
Tom Brady,QB,25.057,2002-09-29,NFL,NWE,@,SDG,L 14-21,4,4,Sun,36,53,67.92,353,2,2,83.3,0,0,6.66,5.72,BradTo00
Drew Brees,QB,23.257,2002-09-29,NFL,SDG,,NWE,W 21-14,4,4,Sun,10,18,55.56,104,1,0,91.0,0,0,5.78,6.89,BreeDr00
Aaron Brooks,QB,26.189,2002-09-29,NFL,NOR,@,DET,L 21-26,4,4,Sun,27,48,56.25,269,2,2,68.8,3,22,5.60,4.56,BrooAa00
Mark Brunell,QB,32.012,2002-09-29,NFL,JAX,,NYJ,W 28-3,3,4,Sun,10,15,66.67,173,0,0,105.7,1,6,11.53,11.53,BrunMa00
David Carr,QB,23.070,2002-09-29,NFL,HOU,@,PHI,L 17-35,4,4,Sun,16,29,55.17,188,2,2,69.3,7,37,6.48,4.76,CarrDa00
Quincy Carter,QB,24.351,2002-09-29,NFL,DAL,@,STL,W 13-10,4,4,Sun,26,36,72.22,204,1,1,83.6,2,11,5.67,4.97,CartQu00
Kerry Collins,QB,29.273,2002-09-29,NFL,NYG,@,ARI,L 7-21,4,4,Sun,19,36,52.78,199,0,2,45.9,1,3,5.53,3.03,CollKe00
Tim Couch,QB,25.060,2002-09-29,NFL,CLE,@,PIT,L 13-16,4,4,Sun,16,29,55.17,144,0,2,40.0,3,22,4.97,1.86,CoucTi00
Daunte Culpepper,QB,25.244,2002-09-29,NFL,MIN,@,SEA,L 23-48,4,4,Sun,29,53,54.72,273,0,2,53.4,4,24,5.15,3.45,CulpDa00
Trent Dilfer,QB,30.200,2002-09-29,NFL,SEA,,MIN,W 48-23,4,4,Sun,13,28,46.43,222,1,0,85.7,0,0,7.93,8.64,DilfTr00
Brett Favre*,QB,32.354,2002-09-29,NFL,GNB,,CAR,W 17-14,4,4,Sun,18,32,56.25,200,1,1,72.4,4,32,6.25,5.47,FavrBr00
Jay Fiedler,QB,30.274,2002-09-29,NFL,MIA,@,KAN,L 30-48,4,4,Sun,29,45,64.44,310,1,4,54.9,2,16,6.89,3.33,FiedJa00
Bubba Franks,TE,24.266,2002-09-29,NFL,GNB,,CAR,W 17-14,4,4,Sun,1,1,100.00,31,1,0,158.3,0,0,31.00,51.00,FranBu00
Rich Gannon,QB,36.283,2002-09-29,NFL,OAK,,TEN,W 52-25,3,4,Sun,29,39,74.36,381,4,0,138.9,2,7,9.77,11.82,GannRi00
Trent Green,QB,32.082,2002-09-29,NFL,KAN,,MIA,W 48-30,4,4,Sun,24,34,70.59,328,5,0,140.7,0,0,9.65,12.59,GreeTr00
Joey Harrington,QB,23.343,2002-09-29,NFL,DET,,NOR,W 26-21,4,4,Sun,20,35,57.14,267,1,0,91.0,0,0,7.63,8.20,HarrJo00
Brad Johnson,QB,34.016,2002-09-29,NFL,TAM,@,CIN,W 35-7,4,4,Sun,19,30,63.33,277,3,2,98.9,2,15,9.23,8.23,JohnBr00
Tommy Maddox,QB,31.027,2002-09-29,NFL,PIT,,CLE,W 16-13,3,4,Sun,11,13,84.62,122,1,1,99.4,0,0,9.38,7.46,MaddTo00
Jamie Martin,QB,32.233,2002-09-29,NFL,STL,,DAL,L 10-13,4,4,Sun,24,37,64.86,262,1,1,83.4,1,6,7.08,6.41,MartJa00
Donovan McNabb,QB,25.308,2002-09-29,NFL,PHI,,HOU,W 35-17,4,4,Sun,24,42,57.14,259,1,1,73.4,3,27,6.17,5.57,McNaDo00
Steve McNair,QB,29.227,2002-09-29,NFL,TEN,@,OAK,L 25-52,4,4,Sun,32,46,69.57,398,2,4,74.4,2,11,8.65,5.61,McNaSt00
Jim Miller,QB,31.232,2002-09-29,NFL,CHI,@,BUF,L 27-33,4,4,Sun,19,31,61.29,188,2,0,99.9,0,0,6.06,7.35,MillJi00
Brian Mitchell,RB/K,34.042,2002-09-29,NFL,PHI,,HOU,W 35-17,4,4,Sun,1,1,100.00,57,1,0,158.3,0,0,57.00,77.00,MitcBr00
Freddie Mitchell,WR,23.305,2002-09-29,NFL,PHI,,HOU,W 35-17,4,4,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,MitcFr00
Rodney Peete,QB,36.197,2002-09-29,NFL,CAR,@,GNB,L 14-17,4,4,Sun,10,24,41.67,202,0,0,71.9,4,9,8.42,8.42,PeetRo00
Chad Pennington,QB,26.095,2002-09-29,NFL,NYJ,@,JAX,L 3-28,4,4,Sun,21,34,61.76,281,0,1,75.7,1,4,8.26,6.94,PennCh01
Jake Plummer,QB,27.284,2002-09-29,NFL,ARI,,NYG,W 21-7,4,4,Sun,23,32,71.88,168,1,0,94.3,1,7,5.25,5.88,PlumJa00
Ricky Proehl,WR,34.206,2002-09-29,NFL,STL,,DAL,L 10-13,4,4,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,ProeRi00
Antwaan Randle El,WR,23.043,2002-09-29,NFL,PIT,,CLE,W 16-13,3,4,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,RandAn00
Akili Smith,QB,27.039,2002-09-29,NFL,CIN,,TAM,L 7-35,4,4,Sun,12,33,36.36,117,0,1,34.5,3,23,3.55,2.18,SmitAk00
Kordell Stewart,QB,29.348,2002-09-29,NFL,PIT,,CLE,W 16-13,3,4,Sun,15,25,60.00,143,0,1,59.2,0,0,5.72,3.92,StewKo00
Vinny Testaverde,QB,38.320,2002-09-29,NFL,NYJ,@,JAX,L 3-28,4,4,Sun,0,4,0.00,0,0,0,39.6,1,10,0.00,0.00,TestVi00
Matt Turk,P,34.105,2002-09-29,NFL,NYJ,@,JAX,L 3-28,4,4,Sun,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,TurkMa20
Kurt Warner*,QB,31.099,2002-09-29,NFL,STL,,DAL,L 10-13,4,4,Sun,1,2,50.00,17,0,1,39.6,0,0,8.50,-14.00,WarnKu00
Brian Griese,QB,27.196,2002-09-30,NFL,DEN,@,BAL,L 23-34,4,4,Mon,35,53,66.04,328,1,3,65.6,3,22,6.19,4.02,GrieBr00
Chris Redman,QB,25.085,2002-09-30,NFL,BAL,,DEN,W 34-23,3,4,Mon,13,24,54.17,152,2,0,101.4,1,6,6.33,8.00,RedmCh00
Rod Smith,WR,32.138,2002-09-30,NFL,DEN,@,BAL,L 23-34,4,4,Mon,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,SmitRo01
Drew Bledsoe,QB,30.234,2002-10-06,NFL,BUF,,OAK,L 31-49,5,5,Sun,32,53,60.38,417,2,3,74.2,5,18,7.87,6.08,BledDr00
Tom Brady,QB,25.064,2002-10-06,NFL,NWE,@,MIA,L 13-26,5,5,Sun,17,31,54.84,240,2,2,74.7,3,32,7.74,6.13,BradTo00
Drew Brees,QB,23.264,2002-10-06,NFL,SDG,@,DEN,L 9-26,5,5,Sun,26,42,61.90,235,1,2,65.1,0,0,5.60,3.93,BreeDr00
Aaron Brooks,QB,26.196,2002-10-06,NFL,NOR,,PIT,W 32-29,5,5,Sun,13,23,56.52,205,1,0,100.8,2,11,8.91,9.78,BrooAa00
Mark Brunell,QB,32.019,2002-10-06,NFL,JAX,,PHI,W 28-25,4,5,Sun,13,23,56.52,197,1,0,99.4,1,0,8.57,9.43,BrunMa00
Quincy Carter,QB,24.358,2002-10-06,NFL,DAL,,NYG,L 17-21,5,5,Sun,23,42,54.76,262,1,0,81.6,2,13,6.24,6.71,CartQu00
Kerry Collins,QB,29.280,2002-10-06,NFL,NYG,@,DAL,W 21-17,5,5,Sun,18,27,66.67,228,3,1,114.4,2,16,8.44,9.00,CollKe00
Tim Couch,QB,25.067,2002-10-06,NFL,CLE,,BAL,L 21-26,5,5,Sun,16,26,61.54,216,1,2,68.8,2,25,8.31,5.62,CoucTi00
Jay Fiedler,QB,30.281,2002-10-06,NFL,MIA,,NWE,W 26-13,5,5,Sun,17,27,62.96,190,2,0,108.6,1,8,7.04,8.52,FiedJa00
