Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Jeff Garcia,QB,31.197,2001-09-09,NFL,SFO,,ATL,W 16-13,1,1,Sun,26,40,65.00,335,1,1,89.1,2,11,8.38,7.75,GarcJe00
Jeff George,QB,33.275,2001-09-09,NFL,WAS,@,SDG,L 3-30,1,1,Sun,8,18,44.44,66,0,2,14.8,1,2,3.67,-1.33,GeorJe00
Elvis Grbac,QB,31.027,2001-09-09,NFL,BAL,,CHI,W 17-6,1,1,Sun,24,30,80.00,262,1,0,114.2,0,0,8.73,9.40,GrbaEl00
Trent Green,QB,31.062,2001-09-09,NFL,KAN,,OAK,L 24-27,1,1,Sun,16,37,43.24,222,1,1,60.9,1,3,6.00,5.32,GreeTr00
Matt Hasselbeck,QB,25.349,2001-09-09,NFL,SEA,@,CLE,W 9-6,1,1,Sun,20,34,58.82,178,0,2,48.4,4,28,5.24,2.59,HassMa00
Joe Horn,WR,29.236,2001-09-09,NFL,NOR,@,BUF,W 24-6,1,1,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,HornJo00
Brad Johnson,QB,32.361,2001-09-09,NFL,TAM,@,DAL,W 10-6,1,1,Sun,25,34,73.53,195,0,1,75.0,2,3,5.74,4.41,JohnBr00
Rob Johnson,QB,28.175,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,16,27,59.26,160,0,3,36.6,5,34,5.93,0.93,JohnRo00
Jon Kitna,QB,28.353,2001-09-09,NFL,CIN,,NWE,W 23-17,1,1,Sun,18,27,66.67,204,1,0,101.5,1,8,7.56,8.30,KitnJo00
Peyton Manning,QB,25.169,2001-09-09,NFL,IND,@,NYJ,W 45-24,1,1,Sun,22,32,68.75,231,2,2,84.2,1,9,7.22,5.66,MannPe00
Shane Matthews,QB,31.100,2001-09-09,NFL,CHI,@,BAL,L 6-17,1,1,Sun,24,39,61.54,138,0,2,46.7,1,5,3.54,1.23,MattSh00
Donovan McNabb,QB,24.288,2001-09-09,NFL,PHI,,STL,L 17-20,1,1,Sun,32,48,66.67,312,2,1,89.9,5,35,6.50,6.40,McNaDo00
Steve McNair,QB,28.207,2001-09-09,NFL,TEN,,MIA,L 23-31,1,1,Sun,7,19,36.84,118,1,1,54.3,1,9,6.21,4.89,McNaSt00
Brian Moorman,P,25.216,2001-09-09,NFL,BUF,,NOR,L 6-24,1,1,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,MoorBr24
Neil O'Donnell,QB,35.068,2001-09-09,NFL,TEN,,MIA,L 23-31,1,1,Sun,9,21,42.86,110,1,2,35.9,1,9,5.24,1.90,ODonNe00
Chad Pennington,QB,25.075,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,1,6,16.67,24,0,0,43.7,0,0,4.00,4.00,PennCh01
Kordell Stewart,QB,28.328,2001-09-09,NFL,PIT,@,JAX,L 3-21,1,1,Sun,21,37,56.76,181,0,2,47.2,3,20,4.89,2.46,StewKo00
Vinny Testaverde,QB,37.300,2001-09-09,NFL,NYJ,,IND,L 24-45,1,1,Sun,17,25,68.00,175,2,0,114.6,1,7,7.00,8.60,TestVi00
Michael Vick,QB,21.075,2001-09-09,NFL,ATL,@,SFO,L 13-16,1,1,Sun,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,VickMi00
Kurt Warner*,QB,30.079,2001-09-09,NFL,STL,@,PHI,W 20-17,1,1,Sun,28,42,66.67,308,1,2,76.3,4,26,7.33,5.67,WarnKu00
Chris Weinke,QB,29.040,2001-09-09,NFL,CAR,@,MIN,W 24-13,1,1,Sun,13,22,59.09,223,1,1,89.8,2,23,10.14,9.00,WeinCh00
Kerry Collins,QB,28.254,2001-09-10,NFL,NYG,@,DEN,L 20-31,1,1,Mon,19,34,55.88,258,3,0,109.7,3,13,7.59,9.35,CollKe00
Brian Griese,FB,26.176,2001-09-10,NFL,DEN,,NYG,W 31-20,1,1,Mon,21,29,72.41,330,3,0,144.3,0,0,11.38,13.45,GrieBr00
Mitch Berger,P,29.091,2001-09-23,NFL,MIN,@,CHI,L 10-17,2,2,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,BergMi20
Drew Bledsoe,QB,29.221,2001-09-23,NFL,NWE,,NYJ,L 3-10,2,2,Sun,18,28,64.29,159,0,2,49.6,1,4,5.68,2.46,BledDr00
Tom Brady,QB,24.051,2001-09-23,NFL,NWE,,NYJ,L 3-10,2,2,Sun,5,10,50.00,46,0,0,62.9,0,0,4.60,4.60,BradTo00
Mark Brunell,QB,31.006,2001-09-23,NFL,JAX,,TEN,W 13-6,2,2,Sun,17,27,62.96,235,0,0,90.8,3,25,8.70,8.70,BrunMa00
Chris Chandler,QB,35.346,2001-09-23,NFL,ATL,,CAR,W 24-16,2,2,Sun,11,14,78.57,244,2,1,128.6,1,4,17.43,17.07,ChanCh00
Kerry Collins,QB,28.267,2001-09-23,NFL,NYG,@,KAN,W 13-3,2,2,Sun,20,34,58.82,208,0,3,39.8,1,7,6.12,2.15,CollKe00
Tim Couch,QB,24.054,2001-09-23,NFL,CLE,,DET,W 24-14,2,2,Sun,12,20,60.00,138,3,2,80.8,3,20,6.90,5.40,CoucTi00
Daunte Culpepper,QB,24.238,2001-09-23,NFL,MIN,@,CHI,L 10-17,2,2,Sun,24,36,66.67,233,1,0,93.9,3,18,6.47,7.03,CulpDa00
Randall Cunningham,QB,38.180,2001-09-23,NFL,BAL,@,CIN,L 10-21,2,2,Sun,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,CunnRa00
Ty Detmer,QB,33.328,2001-09-23,NFL,DET,@,CLE,L 14-24,2,2,Sun,22,42,52.38,212,1,7,35.1,3,23,5.05,-1.98,DetmTy00
Jay Fiedler,QB,29.268,2001-09-23,NFL,MIA,,OAK,W 18-15,2,2,Sun,16,34,47.06,217,0,2,43.4,1,2,6.38,3.74,FiedJa00
Doug Flutie,QB,38.335,2001-09-23,NFL,SDG,@,DAL,W 32-21,2,2,Sun,23,38,60.53,348,2,0,108.2,1,3,9.16,10.21,FlutDo00
Rich Gannon,QB,35.277,2001-09-23,NFL,OAK,@,MIA,L 15-18,2,2,Sun,14,25,56.00,125,0,0,69.6,1,5,5.00,5.00,GannRi00
Jeff Garcia,QB,31.211,2001-09-23,NFL,SFO,,STL,L 26-30,2,2,Sun,19,34,55.88,121,1,1,61.0,1,5,3.56,2.82,GarcJe00
Elvis Grbac,QB,31.041,2001-09-23,NFL,BAL,@,CIN,L 10-21,2,2,Sun,33,63,52.38,326,1,3,52.7,2,11,5.17,3.35,GrbaEl00
Trent Green,QB,31.076,2001-09-23,NFL,KAN,,NYG,L 3-13,2,2,Sun,17,34,50.00,184,0,1,54.0,1,6,5.41,4.09,GreeTr00
Brian Griese,QB,26.189,2001-09-23,NFL,DEN,@,ARI,W 38-17,2,2,Sun,22,31,70.97,242,3,0,126.0,1,8,7.81,9.74,GrieBr00
Matt Hasselbeck,QB,25.363,2001-09-23,NFL,SEA,,PHI,L 3-27,2,2,Sun,9,24,37.50,62,0,0,45.8,7,41,2.58,2.58,HassMa00
Rob Johnson,QB,28.189,2001-09-23,NFL,BUF,@,IND,L 26-42,2,2,Sun,24,37,64.86,257,1,1,82.8,4,28,6.95,6.27,JohnRo00
Jon Kitna,QB,29.002,2001-09-23,NFL,CIN,,BAL,W 21-10,2,2,Sun,19,30,63.33,154,1,0,87.4,2,18,5.13,5.80,KitnJo00
Peyton Manning,QB,25.183,2001-09-23,NFL,IND,,BUF,W 42-26,2,2,Sun,23,29,79.31,421,4,2,129.6,1,3,14.52,14.17,MannPe00
Shane Matthews,QB,31.114,2001-09-23,NFL,CHI,,MIN,W 17-10,2,2,Sun,5,9,55.56,33,0,0,63.7,0,0,3.67,3.67,MattSh00
Donovan McNabb,QB,24.302,2001-09-23,NFL,PHI,@,SEA,W 27-3,2,2,Sun,24,37,64.86,283,2,0,106.0,5,41,7.65,8.73,McNaDo00
Jim Miller,QB,30.226,2001-09-23,NFL,CHI,,MIN,W 17-10,2,2,Sun,18,29,62.07,204,2,1,91.7,0,0,7.03,6.86,MillJi00
Neil O'Donnell,QB,35.082,2001-09-23,NFL,TEN,@,JAX,L 6-13,2,2,Sun,21,36,58.33,215,0,0,75.6,4,38,5.97,5.97,ODonNe00
Jake Plummer,QB,26.278,2001-09-23,NFL,ARI,,DEN,L 17-38,1,2,Sun,16,28,57.14,242,1,1,82.7,3,18,8.64,7.75,PlumJa00
Vinny Testaverde,QB,37.314,2001-09-23,NFL,NYJ,@,NWE,W 10-3,2,2,Sun,16,28,57.14,137,0,0,70.1,2,10,4.89,4.89,TestVi00
Michael Vick,QB,21.089,2001-09-23,NFL,ATL,,CAR,W 24-16,2,2,Sun,2,2,100.00,27,0,0,118.7,1,11,13.50,13.50,VickMi00
Kurt Warner*,QB,30.093,2001-09-23,NFL,STL,@,SFO,W 30-26,2,2,Sun,24,35,68.57,321,3,1,114.1,1,11,9.17,9.60,WarnKu00
Chris Weinke,QB,29.054,2001-09-23,NFL,CAR,@,ATL,L 16-24,2,2,Sun,27,41,65.85,276,0,0,85.0,2,6,6.73,6.73,WeinCh00
Anthony Wright,QB,25.221,2001-09-23,NFL,DAL,,SDG,L 21-32,2,2,Sun,12,25,48.00,193,3,3,74.2,1,5,7.72,4.72,WrigAn00
Brett Favre*,QB,31.349,2001-09-24,NFL,GNB,,WAS,W 37-0,2,2,Mon,20,31,64.52,236,3,1,106.4,1,10,7.61,8.10,FavrBr00
Jeff George,QB,33.290,2001-09-24,NFL,WAS,@,GNB,L 0-37,2,2,Mon,15,24,62.50,102,0,1,54.5,5,36,4.25,2.38,GeorJe00
Tony Banks,QB,28.178,2001-09-30,NFL,WAS,,KAN,L 13-45,3,3,Sun,11,27,40.74,116,1,1,50.8,1,9,4.30,3.37,BankTo00
Tom Brady,QB,24.058,2001-09-30,NFL,NWE,,IND,W 44-13,3,3,Sun,13,23,56.52,168,0,0,79.6,1,9,7.30,7.30,BradTo00
Aaron Brooks,QB,25.190,2001-09-30,NFL,NOR,@,NYG,L 13-21,2,3,Sun,28,54,51.85,291,1,1,66.2,4,35,5.39,4.93,BrooAa00
Mark Brunell,QB,31.013,2001-09-30,NFL,JAX,,CLE,L 14-23,3,3,Sun,4,7,57.14,34,0,1,30.4,1,5,4.86,-1.57,BrunMa00
Chris Chandler,QB,35.353,2001-09-30,NFL,ATL,@,ARI,W 34-14,3,3,Sun,20,28,71.43,286,3,0,139.9,2,18,10.21,12.36,ChanCh00
Kerry Collins,QB,28.274,2001-09-30,NFL,NYG,,NOR,W 21-13,3,3,Sun,9,18,50.00,135,1,0,93.5,5,35,7.50,8.61,CollKe00
Todd Collins,QB,29.329,2001-09-30,NFL,KAN,@,WAS,W 45-13,3,3,Sun,3,4,75.00,40,0,0,106.2,0,0,10.00,10.00,CollTo00
Tim Couch,QB,24.061,2001-09-30,NFL,CLE,@,JAX,W 23-14,3,3,Sun,24,34,70.59,249,0,1,79.2,3,23,7.32,6.00,CoucTi00
Daunte Culpepper,QB,24.245,2001-09-30,NFL,MIN,,TAM,W 20-16,3,3,Sun,30,44,68.18,322,1,2,78.0,1,10,7.32,5.73,CulpDa00
Trent Dilfer,QB,29.201,2001-09-30,NFL,SEA,@,OAK,L 14-38,3,3,Sun,2,2,100.00,49,0,0,118.7,0,0,24.50,24.50,DilfTr00
Brett Favre*,QB,31.355,2001-09-30,NFL,GNB,@,CAR,W 28-7,3,3,Sun,25,39,64.10,308,3,2,92.7,0,0,7.90,7.13,FavrBr00
Jay Fiedler,QB,29.275,2001-09-30,NFL,MIA,@,STL,L 10-42,3,3,Sun,19,27,70.37,204,1,2,73.7,2,15,7.56,4.96,FiedJa00
Doug Flutie,QB,38.342,2001-09-30,NFL,SDG,,CIN,W 28-14,3,3,Sun,12,19,63.16,133,1,0,101.4,2,21,7.00,8.05,FlutDo00
Rich Gannon,QB,35.284,2001-09-30,NFL,OAK,,SEA,W 38-14,3,3,Sun,19,28,67.86,217,3,0,126.6,1,0,7.75,9.89,GannRi00
Elvis Grbac,QB,31.048,2001-09-30,NFL,BAL,@,DEN,W 20-13,3,3,Sun,17,30,56.67,221,2,1,88.3,0,0,7.37,7.20,GrbaEl00
Trent Green,QB,31.083,2001-09-30,NFL,KAN,@,WAS,W 45-13,3,3,Sun,21,26,80.77,307,3,0,154.3,1,1,11.81,14.12,GreeTr00
Brian Griese,QB,26.196,2001-09-30,NFL,DEN,,BAL,L 13-20,3,3,Sun,17,33,51.52,191,1,2,54.0,5,24,5.79,3.67,GrieBr00
Matt Hasselbeck,QB,26.005,2001-09-30,NFL,SEA,@,OAK,L 14-38,3,3,Sun,14,28,50.00,167,0,1,53.7,6,32,5.96,4.36,HassMa00
Brock Huard,QB,25.168,2001-09-30,NFL,SEA,@,OAK,L 14-38,3,3,Sun,9,17,52.94,127,1,0,96.9,1,5,7.47,8.65,HuarBr00
Brad Johnson,QB,33.017,2001-09-30,NFL,TAM,@,MIN,L 16-20,2,3,Sun,20,34,58.82,224,0,1,66.3,1,1,6.59,5.26,JohnBr00
Rob Johnson,QB,28.196,2001-09-30,NFL,BUF,,PIT,L 3-20,3,3,Sun,13,22,59.09,104,0,0,71.0,4,28,4.73,4.73,JohnRo00
Jon Kitna,QB,29.009,2001-09-30,NFL,CIN,@,SDG,L 14-28,3,3,Sun,18,32,56.25,135,2,3,48.3,2,9,4.22,1.25,KitnJo00
Peyton Manning,QB,25.190,2001-09-30,NFL,IND,@,NWE,L 13-44,3,3,Sun,20,34,58.82,196,1,3,48.2,2,7,5.76,2.38,MannPe00
Donovan McNabb,QB,24.309,2001-09-30,NFL,PHI,,DAL,W 40-18,3,3,Sun,14,28,50.00,162,3,0,103.6,2,17,5.79,7.93,McNaDo00
Jake Plummer,QB,26.285,2001-09-30,NFL,ARI,,ATL,L 14-34,2,3,Sun,23,35,65.71,276,1,3,63.5,4,31,7.89,4.60,PlumJa00
Jonathan Quinn,QB,26.215,2001-09-30,NFL,JAX,,CLE,L 14-23,3,3,Sun,15,30,50.00,136,1,1,59.9,1,4,4.53,3.70,QuinJo00
Mark Rypien,QB,38.363,2001-09-30,NFL,IND,@,NWE,L 13-44,3,3,Sun,5,9,55.56,57,0,0,74.8,1,6,6.33,6.33,RypiMa00
Kordell Stewart,QB,28.349,2001-09-30,NFL,PIT,@,BUF,W 20-3,2,3,Sun,15,22,68.18,107,0,0,79.2,2,7,4.86,4.86,StewKo00
Clint Stoerner,QB,23.275,2001-09-30,NFL,DAL,@,PHI,L 18-40,3,3,Sun,4,7,57.14,44,2,0,115.5,0,0,6.29,12.00,StoeCl00
Marques Tuiasosopo,QB,22.192,2001-09-30,NFL,OAK,,SEA,W 38-14,3,3,Sun,3,4,75.00,34,0,0,100.0,0,0,8.50,8.50,TuiaMa00
Alex Van Pelt,QB,31.152,2001-09-30,NFL,BUF,,PIT,L 3-20,3,3,Sun,3,5,60.00,44,0,1,49.2,0,0,8.80,-0.20,VanPAl00
Kurt Warner*,QB,30.100,2001-09-30,NFL,STL,,MIA,W 42-10,3,3,Sun,24,31,77.42,328,4,0,150.3,1,10,10.58,13.16,WarnKu00
Chris Weinke,QB,29.061,2001-09-30,NFL,CAR,,GNB,L 7-28,3,3,Sun,18,30,60.00,160,1,1,71.5,2,15,5.33,4.50,WeinCh00
Anthony Wright,QB,25.228,2001-09-30,NFL,DAL,@,PHI,L 18-40,3,3,Sun,7,23,30.43,33,0,1,21.8,2,16,1.43,-0.52,WrigAn00
Jeff Garcia,QB,31.219,2001-10-01,NFL,SFO,@,NYJ,W 19-17,3,3,Mon,16,20,80.00,141,1,0,112.7,2,15,7.05,8.05,GarcJe00
Vinny Testaverde,QB,37.322,2001-10-01,NFL,NYJ,,SFO,L 17-19,3,3,Mon,12,25,48.00,202,0,0,75.7,2,16,8.08,8.08,TestVi00
Tony Banks,QB,28.185,2001-10-07,NFL,WAS,@,NYG,L 9-23,4,4,Sun,13,31,41.94,151,0,2,30.4,4,27,4.87,1.97,BankTo00
Marty Booker,WR,25.068,2001-10-07,NFL,CHI,@,ATL,W 31-3,3,4,Sun,1,1,100.00,34,1,0,158.3,0,0,34.00,54.00,BookMa00
Tom Brady,QB,24.065,2001-10-07,NFL,NWE,@,MIA,L 10-30,4,4,Sun,12,24,50.00,86,0,0,58.7,4,17,3.58,3.58,BradTo00
Aaron Brooks,QB,25.197,2001-10-07,NFL,NOR,,MIN,W 28-15,3,4,Sun,15,30,50.00,210,0,1,59.0,0,0,7.00,5.50,BrooAa00
Mark Brunell,QB,31.020,2001-10-07,NFL,JAX,@,SEA,L 15-24,4,4,Sun,21,39,53.85,233,1,0,80.4,3,34,5.97,6.49,BrunMa00
Quincy Carter,QB,23.359,2001-10-07,NFL,DAL,@,OAK,L 21-28,4,4,Sun,1,5,20.00,4,0,0,39.6,0,0,0.80,0.80,CartQu00
Chris Chandler,QB,35.360,2001-10-07,NFL,ATL,,CHI,L 3-31,4,4,Sun,7,12,58.33,75,0,3,37.2,1,1,6.25,-5.00,ChanCh00
Kerry Collins,QB,28.281,2001-10-07,NFL,NYG,,WAS,W 23-9,4,4,Sun,15,29,51.72,177,1,2,53.4,1,10,6.10,3.69,CollKe00
Tim Couch,QB,24.068,2001-10-07,NFL,CLE,,SDG,W 20-16,4,4,Sun,14,27,51.85,203,1,0,89.0,4,22,7.52,8.26,CoucTi00
Daunte Culpepper,QB,24.252,2001-10-07,NFL,MIN,@,NOR,L 15-28,4,4,Sun,23,34,67.65,332,2,1,106.5,6,26,9.76,9.62,CulpDa00
Trent Dilfer,QB,29.208,2001-10-07,NFL,SEA,,JAX,W 24-15,4,4,Sun,15,23,65.22,219,1,1,92.5,2,9,9.52,8.43,DilfTr00
Brett Favre*,QB,31.362,2001-10-07,NFL,GNB,@,TAM,L 10-14,4,4,Sun,20,35,57.14,258,1,3,54.2,1,5,7.37,4.09,FavrBr00
Jay Fiedler,QB,29.282,2001-10-07,NFL,MIA,,NWE,W 30-10,4,4,Sun,11,21,52.38,87,1,1,59.0,0,0,4.14,2.95,FiedJa00
Doug Flutie,QB,38.349,2001-10-07,NFL,SDG,@,CLE,L 16-20,4,4,Sun,17,37,45.95,149,0,0,57.2,1,6,4.03,4.03,FlutDo00
Rich Gannon,QB,35.291,2001-10-07,NFL,OAK,,DAL,W 28-21,4,4,Sun,21,28,75.00,209,1,0,107.6,1,2,7.46,8.18,GannRi00
Jeff Garcia,QB,31.225,2001-10-07,NFL,SFO,,CAR,W 24-14,4,4,Sun,17,31,54.84,212,2,1,84.3,1,9,6.84,6.68,GarcJe00
Elvis Grbac,QB,31.055,2001-10-07,NFL,BAL,,TEN,W 26-7,4,4,Sun,15,31,48.39,259,1,0,88.0,1,6,8.35,9.00,GrbaEl00
Mike Green,RB,24.305,2001-10-07,NFL,TEN,@,BAL,L 7-26,3,4,Sun,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,GreeMi00
Trent Green,QB,31.090,2001-10-07,NFL,KAN,@,DEN,L 6-20,4,4,Sun,25,40,62.50,283,0,4,44.1,4,28,7.08,2.58,GreeTr00
Brian Griese,QB,26.203,2001-10-07,NFL,DEN,,KAN,W 20-6,4,4,Sun,11,20,55.00,121,1,1,69.0,2,18,6.05,4.80,GrieBr00
Brad Johnson,QB,33.024,2001-10-07,NFL,TAM,,GNB,W 14-10,3,4,Sun,23,29,79.31,184,0,0,93.1,5,30,6.34,6.34,JohnBr00
Rob Johnson,QB,28.203,2001-10-07,NFL,BUF,,NYJ,L 36-42,4,4,Sun,3,4,75.00,57,1,1,116.7,1,7,14.25,8.00,JohnRo00
Jon Kitna,QB,29.016,2001-10-07,NFL,CIN,@,PIT,L 7-16,4,4,Sun,19,34,55.88,164,1,1,66.3,2,15,4.82,4.09,KitnJo00
Donovan McNabb,QB,24.316,2001-10-07,NFL,PHI,,ARI,L 20-21,4,4,Sun,19,29,65.52,280,2,1,105.5,2,19,9.66,9.48,McNaDo00
Steve McNair,QB,28.235,2001-10-07,NFL,TEN,@,BAL,L 7-26,3,4,Sun,17,32,53.13,154,0,1,53.4,3,16,4.81,3.41,McNaSt00
Jim Miller,QB,30.240,2001-10-07,NFL,CHI,@,ATL,W 31-3,3,4,Sun,17,26,65.38,196,1,2,68.8,1,9,7.54,4.85,MillJi00
Jake Plummer,QB,26.292,2001-10-07,NFL,ARI,@,PHI,W 21-20,3,4,Sun,18,32,56.25,238,2,1,87.8,1,6,7.44,7.28,PlumJa00
Kordell Stewart,QB,28.356,2001-10-07,NFL,PIT,,CIN,W 16-7,3,4,Sun,15,24,62.50,151,0,0,80.4,2,13,6.29,6.29,StewKo00
Vinny Testaverde,QB,37.328,2001-10-07,NFL,NYJ,@,BUF,W 42-36,4,4,Sun,15,25,60.00,173,2,0,107.6,0,0,6.92,8.52,TestVi00
Alex Van Pelt,QB,31.159,2001-10-07,NFL,BUF,,NYJ,L 36-42,4,4,Sun,23,41,56.10,268,3,1,90.3,1,7,6.54,6.90,VanPAl00
Michael Vick,QB,21.103,2001-10-07,NFL,ATL,,CHI,L 3-31,4,4,Sun,12,18,66.67,186,0,0,100.7,5,28,10.33,10.33,VickMi00
Chris Weinke,QB,29.068,2001-10-07,NFL,CAR,@,SFO,L 14-24,4,4,Sun,29,47,61.70,275,1,3,58.4,1,0,5.85,3.40,WeinCh00
Anthony Wright,QB,25.235,2001-10-07,NFL,DAL,@,OAK,L 21-28,4,4,Sun,14,22,63.64,126,2,0,109.3,1,7,5.73,7.55,WrigAn00
Charlie Batch,QB,26.307,2001-10-08,NFL,DET,,STL,L 0-35,3,4,Mon,11,16,68.75,113,0,1,62.8,3,16,7.06,4.25,BatcCh00
Ty Detmer,QB,33.343,2001-10-08,NFL,DET,,STL,L 0-35,3,4,Mon,15,18,83.33,149,0,1,78.0,3,17,8.28,5.78,DetmTy00
Kurt Warner*,QB,30.108,2001-10-08,NFL,STL,@,DET,W 35-0,4,4,Mon,29,37,78.38,291,3,0,126.5,1,7,7.86,9.49,WarnKu00
Charlie Batch,QB,26.313,2001-10-14,NFL,DET,@,MIN,L 26-31,4,5,Sun,31,41,75.61,345,3,0,124.5,4,17,8.41,9.88,BatcCh00
Tom Brady,QB,24.072,2001-10-14,NFL,NWE,,SDG,W 29-26,5,5,Sun,33,54,61.11,364,2,0,93.4,3,19,6.74,7.48,BradTo00
Aaron Brooks,QB,25.204,2001-10-14,NFL,NOR,@,CAR,W 27-25,4,5,Sun,14,40,35.00,180,2,1,56.2,2,20,4.50,4.38,BrooAa00
Chris Chandler,QB,36.002,2001-10-14,NFL,ATL,,SFO,L 31-37,5,5,Sun,19,36,52.78,268,2,1,84.0,2,14,7.44,7.31,ChanCh00
Kerry Collins,QB,28.288,2001-10-14,NFL,NYG,@,STL,L 14-15,5,5,Sun,17,32,53.13,242,1,2,62.2,3,15,7.56,5.38,CollKe00
Tim Couch,QB,24.075,2001-10-14,NFL,CLE,@,CIN,L 14-24,5,5,Sun,14,28,50.00,194,2,0,96.4,3,23,6.93,8.36,CoucTi00
Daunte Culpepper,QB,24.259,2001-10-14,NFL,MIN,,DET,W 31-26,5,5,Sun,20,27,74.07,244,1,1,98.4,6,46,9.04,8.11,CulpDa00
Randall Cunningham,QB,38.201,2001-10-14,NFL,BAL,@,GNB,L 23-31,5,5,Sun,5,10,50.00,70,0,0,72.9,0,0,7.00,7.00,CunnRa00
Trent Dilfer,QB,29.215,2001-10-14,NFL,SEA,,DEN,W 34-21,5,5,Sun,12,18,66.67,110,0,0,83.1,2,17,6.11,6.11,DilfTr00
Brett Favre*,QB,32.004,2001-10-14,NFL,GNB,,BAL,W 31-23,5,5,Sun,27,34,79.41,337,3,0,137.4,2,6,9.91,11.68,FavrBr00
Jay Fiedler,QB,29.289,2001-10-14,NFL,MIA,@,NYJ,L 17-21,5,5,Sun,23,34,67.65,213,1,2,69.9,2,8,6.26,4.21,FiedJa00
Doug Flutie,QB,38.356,2001-10-14,NFL,SDG,@,NWE,L 26-29,5,5,Sun,20,32,62.50,270,1,0,99.7,1,12,8.44,9.06,FlutDo00
Rich Gannon,QB,35.298,2001-10-14,NFL,OAK,@,IND,W 23-18,5,5,Sun,18,32,56.25,243,0,0,80.6,3,27,7.59,7.59,GannRi00
Jeff Garcia,QB,31.232,2001-10-14,NFL,SFO,@,ATL,W 37-31,5,5,Sun,27,41,65.85,332,3,0,115.1,1,2,8.10,9.56,GarcJe00
Elvis Grbac,QB,31.062,2001-10-14,NFL,BAL,@,GNB,L 23-31,5,5,Sun,11,21,52.38,138,1,2,49.4,1,9,6.57,3.24,GrbaEl00
Trent Green,QB,31.097,2001-10-14,NFL,KAN,,PIT,L 17-20,5,5,Sun,16,33,48.48,127,0,1,45.9,4,21,3.85,2.48,GreeTr00
Brian Griese,QB,26.210,2001-10-14,NFL,DEN,@,SEA,L 21-34,5,5,Sun,24,36,66.67,209,2,3,65.6,3,20,5.81,3.17,GrieBr00
Brad Johnson,QB,33.031,2001-10-14,NFL,TAM,@,TEN,L 28-31,4,5,Sun,24,50,48.00,287,3,1,77.7,1,5,5.74,6.04,JohnBr00
