Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,unique_id
Michael Crabtree,WR,23.362,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,2,1,4,4.00,0,50.0%,2.00,CrabMi00
Josh Cribbs,WR,28.094,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,3,1,13,13.00,0,33.3%,4.33,CribJo01
Jeff Cumberland,TE,24.132,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,2,1,33,33.00,0,50.0%,16.50,CumbJe00
Owen Daniels,TE,28.306,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,2,1,12,12.00,0,50.0%,6.00,DaniOw00
Fred Davis,TE,25.239,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,6,5,105,21.00,0,83.3%,17.50,DaviFr01
Kellen Davis,TE,25.335,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,5,2,23,11.50,0,40.0%,4.60,DaviKe01
Rashied Davis,WR,32.049,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,1,1,14,14.00,0,100.0%,14.00,DaviRa00
Vernon Davis,TE,27.223,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,6,5,47,9.40,0,83.3%,7.83,DaviVe00
Ed Dickson,TE,24.048,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,5,5,59,11.80,1,100.0%,11.80,DickEd00
Early Doucet,WR,25.318,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,3,3,105,35.00,1,100.0%,35.00,DoucEa00
Harry Douglas,WR,26.360,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,4,2,10,5.00,0,50.0%,2.50,DougHa00
Joel Dreessen,TE,29.047,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,1,1,21,21.00,0,100.0%,21.00,DreeJo00
Braylon Edwards,WR,28.202,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,5,3,27,9.00,0,60.0%,5.40,EdwaBr00
Larry Fitzgerald,WR,28.011,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,7,3,62,20.67,0,42.9%,8.86,FitzLa00
Malcom Floyd,WR,30.003,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,8,3,45,15.00,0,37.5%,5.63,FloyMa00
Justin Forsett,RB,25.332,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,5,3,8,2.67,0,60.0%,1.60,ForsJu00
Matt Forte,RB,25.275,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,6,5,90,18.00,1,83.3%,15.00,FortMa00
Jabar Gaffney,WR,30.284,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,7,3,54,18.00,1,42.9%,7.71,GaffJa00
Pierre Garcon,WR,25.034,2011-09-11,NFL,IND,@,HOU,L 7-34,1,1,Sun,6,3,39,13.00,0,50.0%,6.50,GarcPi00
Antonio Gates,TE,31.085,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,13,8,74,9.25,0,61.5%,5.69,GateAn00
Brandon Gibson,WR,24.029,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,5,3,50,16.67,0,60.0%,10.00,GibsBr00
Tony Gonzalez*,TE,35.196,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,7,5,72,14.40,0,71.4%,10.29,GonzTo00
Mike Goodson,RB,24.111,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,2,1,4,4.00,0,50.0%,2.00,GoodMi00
Frank Gore,RB,28.120,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,4,3,19,6.33,0,75.0%,4.75,GoreFr00
Earnest Graham,RB,31.239,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,9,8,58,7.25,0,88.9%,6.44,GrahEa00
A.J. Green,WR,23.042,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,4,1,41,41.00,1,25.0%,10.25,GreeA.00
Shonn Greene,RB,26.021,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,1,1,7,7.00,0,100.0%,7.00,GreeSh00
Jermaine Gresham,TE,23.087,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,8,6,58,9.67,1,75.0%,7.25,GresJe00
Jamie Harper,RB,22.000,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,1,1,21,21.00,0,100.0%,21.00,HarpJa01
Percy Harvin,WR,23.106,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,4,2,7,3.50,0,50.0%,1.75,HarvPe00
Todd Heap,TE,31.179,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,3,2,40,20.00,0,66.7%,13.33,HeapTo00
Devin Hester,WR,28.311,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,5,3,60,20.00,0,60.0%,12.00,HestDe99
Jacob Hester,FB,26.126,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,4,3,13,4.33,0,75.0%,3.25,HestJa00
Tim Hightower,RB,25.111,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,3,3,25,8.33,0,100.0%,8.33,HighTi00
Jason Hill,WR,26.203,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,5,4,53,13.25,0,80.0%,10.60,HillJa00
Peyton Hillis,RB,25.233,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,8,6,30,5.00,0,75.0%,3.75,HillPe00
Domenik Hixon,WR,26.338,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,4,2,21,10.50,0,50.0%,5.25,HixoDo00
Santonio Holmes,WR,27.192,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,10,6,70,11.67,0,60.0%,7.00,HolmSa00
Henry Hynoski,FB,22.255,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,1,1,4,4.00,0,100.0%,4.00,HynoHe01
DeSean Jackson,WR,24.284,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,12,6,102,17.00,1,50.0%,8.50,JackDe00
Fred Jackson,RB,30.203,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,1,1,5,5.00,0,100.0%,5.00,JackFr02
Vincent Jackson,WR,28.240,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,3,2,31,15.50,0,66.7%,10.33,JackVi00
Michael Jenkins,WR,29.085,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,3,3,26,8.67,1,100.0%,8.67,JenkMi00
Andre Johnson,WR,30.062,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,11,7,95,13.57,1,63.6%,8.64,JohnAn02
Calvin Johnson,WR,25.347,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,10,6,88,14.67,2,60.0%,8.80,JohnCa00
Chris Johnson,RB,25.353,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,7,6,25,4.17,0,85.7%,3.57,JohnCh04
Steve Johnson,WR,24.287,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,6,4,66,16.50,1,66.7%,11.00,JohnSt00
Donald Jones,WR,23.268,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,5,2,3,1.50,1,40.0%,0.60,JoneDo00
Felix Jones,RB,24.126,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,5,3,22,7.33,0,60.0%,4.40,JoneFe00
Jacoby Jones,WR,27.062,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,3,3,43,14.33,0,100.0%,14.33,JoneJa03
Julio Jones,WR,22.215,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,6,5,71,14.20,0,83.3%,11.83,JoneJu02
Deji Karim,RB/K,24.297,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,3,3,39,13.00,0,100.0%,13.00,KariDe00
Dustin Keller,TE,26.351,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,8,5,61,12.20,1,62.5%,7.63,KellDu00
Lance Kendricks,TE,23.224,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,5,1,18,18.00,0,20.0%,3.60,KendLa00
Jeff King,TE,28.204,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,3,2,61,30.50,1,66.7%,20.33,KingJe00
Johnny Knox,WR,24.312,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,4,3,60,20.00,0,75.0%,15.00,KnoxJo00
Brandon LaFell,WR,24.311,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,5,4,70,17.50,0,80.0%,14.00,LaFeBr00
Vonta Leach,FB,29.309,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,3,1,0,0.00,0,33.3%,0.00,LeacVo00
Brian Leonard,HB,27.220,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,2,2,29,14.50,0,100.0%,14.50,LeonBr00
Dion Lewis,RB,20.349,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,1,1,-3,-3.00,0,100.0%,-3.00,LewiDi00
Marcedes Lewis,TE,27.115,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,3,2,28,14.00,0,66.7%,9.33,LewiMa00
Greg Little,WR,22.104,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,3,1,12,12.00,0,33.3%,4.00,LittGr00
Kregg Lumpkin,RB,27.119,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,1,1,9,9.00,0,100.0%,9.00,LumpKr00
Marshawn Lynch,RB,25.142,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,2,2,14,7.00,0,100.0%,7.00,LyncMa00
Jeremy Maclin,WR,23.123,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,3,1,20,20.00,0,33.3%,6.67,MaclJe00
Mario Manningham,WR,25.109,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,7,4,49,12.25,0,57.1%,7.00,MannMa01
Derrick Mason,WR,37.237,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,6,3,19,6.33,0,50.0%,3.17,MasoDe00
Mohamed Massaquoi,WR,24.291,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,7,3,77,25.67,0,42.9%,11.00,MassMo00
Ryan Mathews,RB,23.336,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,5,3,73,24.33,0,60.0%,14.60,MathRy00
Dexter McCluster,WR,22.017,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,5,5,25,5.00,0,100.0%,5.00,McClDe00
Anthony McCoy,TE,23.273,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,2,2,12,6.00,0,100.0%,6.00,McCoAn00
Colt McCoy,QB,25.006,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,1,1,-5,-5.00,0,100.0%,-5.00,McCoCo00
LeSean McCoy,RB,23.061,2011-09-11,NFL,PHI,@,STL,W 31-13,1,1,Sun,3,2,15,7.50,1,66.7%,5.00,McCoLe01
Randy McMichael,TE,32.075,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,3,3,20,6.67,0,100.0%,6.67,McMiRa01
Heath Miller,TE,28.324,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,5,3,42,14.00,0,60.0%,8.40,MillHe00
Zach Miller,TE,25.274,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,4,2,19,9.50,0,50.0%,4.75,MillZa01
Evan Moore,TE,26.251,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,6,3,35,11.67,1,50.0%,5.83,MoorEv00
Mewelde Moore,RB,29.049,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,2,2,30,15.00,0,100.0%,15.00,MoorMe00
Josh Morgan,WR,26.083,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,2,2,28,14.00,0,100.0%,14.00,MorgJo00
Maurice Morris,RB,31.284,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,2,2,25,12.50,0,100.0%,12.50,MorrMa00
Santana Moss,WR,32.102,2011-09-11,NFL,WAS,,NYG,W 28-14,1,1,Sun,8,6,76,12.67,0,75.0%,9.50,MossSa00
DeMarco Murray,RB,23.211,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,1,1,13,13.00,0,100.0%,13.00,MurrDe00
Legedu Naanee,WR,27.360,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,5,1,21,21.00,0,20.0%,4.20,NaanLe00
David Nelson,WR,24.308,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,6,4,66,16.50,0,66.7%,11.00,NelsDa01
Hakeem Nicks,WR,23.240,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,11,7,122,17.43,0,63.6%,11.09,NickHa01
Jordan Norwood,WR,24.347,2011-09-11,NFL,CLE,,CIN,L 17-27,1,1,Sun,1,1,6,6.00,0,100.0%,6.00,NorwJo00
Jake O'Connell,TE,25.309,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,1,1,15,15.00,0,100.0%,15.00,OConJa00
Ben Obomanu,WR,27.316,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,6,2,12,6.00,0,33.3%,2.00,ObomBe00
Kevin Ogletree,WR,24.037,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,2,2,12,6.00,0,100.0%,6.00,OgleKe00
Greg Olsen,TE,26.184,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,6,4,78,19.50,0,66.7%,13.00,OlseGr00
Preston Parker,WR,24.210,2011-09-11,NFL,TAM,,DET,L 20-27,1,1,Sun,7,4,44,11.00,0,57.1%,6.29,ParkPr00
Adrian Peterson,HB,26.174,2011-09-11,NFL,MIN,@,SDG,L 17-24,1,1,Sun,3,2,6,3.00,0,66.7%,2.00,PeteAd01
Brandon Pettigrew,TE,26.200,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,6,4,57,14.25,0,66.7%,9.50,PettBr00
John Phillips,FB,24.092,2011-09-11,NFL,DAL,@,NYJ,L 24-27,1,1,Sun,2,2,19,9.50,0,100.0%,9.50,PhilJo00
Dennis Pitta,TE,26.074,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,2,2,45,22.50,0,100.0%,22.50,PittDe00
Leonard Pope,TE,28.001,2011-09-11,NFL,KAN,,BUF,L 7-41,1,1,Sun,6,3,24,8.00,0,50.0%,4.00,PopeLe00
Ray Rice,RB,24.232,2011-09-11,NFL,BAL,,PIT,W 35-7,1,1,Sun,5,4,42,10.50,1,80.0%,8.40,RiceRa00
Andre Roberts,WR,23.245,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,4,2,21,10.50,0,50.0%,5.25,RobeAn00
Jacquizz Rodgers,RB,21.217,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,5,3,33,11.00,0,60.0%,6.60,RodgJa00
Greg Salas,WR,23.017,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,3,1,21,21.00,0,33.3%,7.00,SalaGr00
Emmanuel Sanders,WR,24.178,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,3,2,20,10.00,1,66.7%,6.67,SandEm00
Dane Sanzenbacher,WR,22.333,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,1,1,6,6.00,0,100.0%,6.00,SanzDa00
Tony Scheffler,TE,28.208,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,1,1,11,11.00,1,100.0%,11.00,ScheTo00
Anthony Sherman,FB,22.274,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,1,1,6,6.00,0,100.0%,6.00,SherAn00
Jordan Shipley,WR,25.262,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,2,1,-1,-1.00,0,50.0%,-0.50,ShipJo00
Jeremy Shockey,TE,31.024,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,3,3,51,17.00,0,100.0%,17.00,ShocJe00
Jerome Simpson,WR,25.219,2011-09-11,NFL,CIN,@,CLE,W 27-17,1,1,Sun,9,4,44,11.00,0,44.4%,4.89,SimpJe00
Mike Sims-Walker,WR,26.294,2011-09-11,NFL,STL,,PHI,L 13-31,1,1,Sun,4,1,5,5.00,0,25.0%,1.25,WalkMi01
Steve Slaton,RB,25.250,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,2,1,6,6.00,0,50.0%,3.00,SlatSt00
Steve Smith,WR,32.122,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,11,8,178,22.25,2,72.7%,16.18,SmitSt01
Jason Snelling,RB,27.256,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,7,5,32,6.40,0,71.4%,4.57,SnelJa00
Matt Spaeth,TE,27.291,2011-09-11,NFL,CHI,,ATL,W 30-12,1,1,Sun,2,2,7,3.50,1,100.0%,3.50,SpaeMa00
C.J. Spiller,RB,24.037,2011-09-11,NFL,BUF,@,KAN,W 41-7,1,1,Sun,1,1,5,5.00,0,100.0%,5.00,SpilC.00
LaRod Stephens-Howling,RB,24.138,2011-09-11,NFL,ARI,,CAR,W 28-21,1,1,Sun,1,1,2,2.00,0,100.0%,2.00,StepLa00
Craig Stevens,TE,27.010,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,3,1,2,2.00,0,33.3%,0.67,StevCr00
Jonathan Stewart,RB,24.174,2011-09-11,NFL,CAR,@,ARI,L 21-28,1,1,Sun,3,2,14,7.00,0,66.7%,4.67,StewJo00
Maurice Stovall,WR,26.202,2011-09-11,NFL,DET,@,TAM,W 27-20,1,1,Sun,1,1,8,8.00,0,100.0%,8.00,StovMa00
Golden Tate,WR,23.040,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,5,1,8,8.00,1,20.0%,1.60,TateGo00
Mike Thomas,WR,24.099,2011-09-11,NFL,JAX,,TEN,W 16-14,1,1,Sun,11,8,55,6.88,0,72.7%,5.00,ThomMi01
Mike Tolbert,FB,25.292,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,9,9,58,6.44,2,100.0%,6.44,TolbMi00
LaDainian Tomlinson*,RB,32.080,2011-09-11,NFL,NYJ,,DAL,W 27-24,1,1,Sun,7,6,73,12.17,0,85.7%,10.43,TomlLa00
Michael Turner,RB,29.210,2011-09-11,NFL,ATL,@,CHI,L 12-30,1,1,Sun,4,3,40,13.33,0,75.0%,10.00,TurnMi00
Delanie Walker,TE,27.030,2011-09-11,NFL,SFO,,SEA,W 33-17,1,1,Sun,1,1,-1,-1.00,0,100.0%,-1.00,WalkHu00
Mike Wallace,WR,25.041,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,11,8,107,13.38,0,72.7%,9.73,WallMi00
Kevin Walter,WR,30.038,2011-09-11,NFL,HOU,,IND,W 34-7,1,1,Sun,2,1,14,14.00,0,50.0%,7.00,WaltKe00
Bryan Walters,WR,23.311,2011-09-11,NFL,SDG,,MIN,W 24-17,1,1,Sun,2,2,21,10.50,0,100.0%,10.50,WaltBr00
Hines Ward,WR,35.187,2011-09-11,NFL,PIT,@,BAL,L 7-35,1,1,Sun,9,5,67,13.40,0,55.6%,7.44,WardHi00
Danny Ware,RB,26.205,2011-09-11,NFL,NYG,@,WAS,L 14-28,1,1,Sun,1,1,3,3.00,0,100.0%,3.00,WareDa00
Leon Washington,RB,29.013,2011-09-11,NFL,SEA,@,SFO,L 17-33,1,1,Sun,2,1,7,7.00,0,50.0%,3.50,WashLe00
Nate Washington,WR,28.014,2011-09-11,NFL,TEN,@,JAX,L 14-16,1,1,Sun,7,6,67,11.17,0,85.7%,9.57,WashNa00
