Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,unique_id
Brad Johnson,QB,31.006,1999-09-19,NFL,WAS,@,NYG,W 50-21,2,2,Sun,20,28,71.43,231,3,0,131.7,0,0,8.25,10.39,JohnBr00
Erik Kramer,QB,34.317,1999-09-19,NFL,SDG,@,CIN,W 34-7,1,2,Sun,3,4,75.00,42,0,0,108.3,0,0,10.50,10.50,KramEr00
Peyton Manning,QB,23.179,1999-09-19,NFL,IND,@,NWE,L 28-31,2,2,Sun,18,30,60.00,223,3,2,88.6,0,0,7.43,6.43,MannPe00
Dan Marino*,QB,38.004,1999-09-19,NFL,MIA,,ARI,W 19-16,2,2,Sun,21,35,60.00,221,1,2,64.1,0,0,6.31,4.31,MariDa00
Shane Matthews,QB,29.110,1999-09-19,NFL,CHI,,SEA,L 13-14,2,2,Sun,22,42,52.38,212,0,0,66.8,3,20,5.05,5.05,MattSh00
Donovan McNabb,QB,22.298,1999-09-19,NFL,PHI,,TAM,L 5-19,2,2,Sun,4,11,36.36,26,0,0,44.9,6,42,2.36,2.36,McNaDo00
Cade McNown,QB,22.250,1999-09-19,NFL,CHI,,SEA,L 13-14,2,2,Sun,1,2,50.00,4,0,0,56.2,0,0,2.00,2.00,McNoCa00
Rick Mirer,QB,29.184,1999-09-19,NFL,NYJ,@,BUF,L 3-17,2,2,Sun,13,28,46.43,121,0,0,58.8,2,5,4.32,4.32,MireRi00
Scott Mitchell,QB,31.260,1999-09-19,NFL,BAL,,PIT,L 20-23,2,2,Sun,7,16,43.75,48,0,2,11.5,1,5,3.00,-2.63,MitcSc00
Neil O'Donnell,QB,33.078,1999-09-19,NFL,TEN,,CLE,W 26-9,2,2,Sun,31,40,77.50,310,1,0,107.3,0,0,7.75,8.25,ODonNe00
Doug Pederson,QB,31.231,1999-09-19,NFL,PHI,,TAM,L 5-19,2,2,Sun,12,19,63.16,100,0,1,54.7,3,18,5.26,2.89,PedeDo00
Michael Pittman,RB,24.036,1999-09-19,NFL,ARI,@,MIA,L 16-19,2,2,Sun,1,1,100.00,26,0,0,118.7,0,0,26.00,26.00,PittMi00
Jake Plummer,QB,24.274,1999-09-19,NFL,ARI,@,MIA,L 16-19,2,2,Sun,11,27,40.74,112,0,4,13.7,2,18,4.15,-2.52,PlumJa00
Akili Smith,QB,24.029,1999-09-19,NFL,CIN,,SDG,L 7-34,2,2,Sun,10,17,58.82,100,0,1,51.1,2,17,5.88,3.24,SmitAk00
Kordell Stewart,QB,26.338,1999-09-19,NFL,PIT,@,BAL,W 23-20,2,2,Sun,18,27,66.67,138,0,0,78.9,3,17,5.11,5.11,StewKo00
Steve Young*,QB,37.343,1999-09-19,NFL,SFO,,NOR,W 28-21,2,2,Sun,23,35,65.71,258,2,1,94.7,5,35,7.37,7.23,YounSt00
Troy Aikman*,QB,32.303,1999-09-20,NFL,DAL,,ATL,W 24-7,2,2,Mon,10,22,45.45,109,0,2,22.7,2,11,4.95,0.86,AikmTr00
Tony Graziani,QB,25.271,1999-09-20,NFL,ATL,@,DAL,L 7-24,2,2,Mon,7,16,43.75,90,0,1,35.9,1,0,5.63,2.81,GrazTo00
Danny Kanell,QB,25.303,1999-09-20,NFL,ATL,@,DAL,L 7-24,2,2,Mon,9,22,40.91,172,1,2,46.0,3,23,7.82,4.64,KaneDa00
Charlie Batch,QB,24.295,1999-09-26,NFL,DET,@,KAN,L 21-31,3,3,Sun,16,34,47.06,213,2,2,62.5,4,20,6.26,4.79,BatcCh00
Steve Beuerlein,QB,34.203,1999-09-26,NFL,CAR,,CIN,W 27-3,3,3,Sun,17,23,73.91,204,1,0,115.1,1,7,8.87,9.74,BeueSt00
Jeff Blake,QB,28.296,1999-09-26,NFL,CIN,@,CAR,L 3-27,3,3,Sun,24,43,55.81,251,0,1,63.2,3,8,5.84,4.79,BlakJe00
Drew Bledsoe,QB,27.224,1999-09-26,NFL,NWE,,NYG,W 16-14,3,3,Sun,20,28,71.43,233,0,0,96.3,1,10,8.32,8.32,BledDr00
Mark Brunell,QB,29.009,1999-09-26,NFL,JAX,,TEN,L 19-20,3,3,Sun,22,42,52.38,232,1,3,46.9,0,0,5.52,2.79,BrunMa00
Stoney Case,QB,27.081,1999-09-26,NFL,BAL,,CLE,W 17-10,3,3,Sun,12,25,48.00,165,0,3,30.0,4,15,6.60,1.20,CaseSt00
Chris Chandler,QB,33.349,1999-09-26,NFL,ATL,@,STL,L 7-35,3,3,Sun,5,9,55.56,28,0,1,21.8,1,4,3.11,-1.89,ChanCh00
Tim Couch,QB,22.057,1999-09-26,NFL,CLE,@,BAL,L 10-17,3,3,Sun,13,32,40.63,123,1,1,49.3,4,34,3.84,3.06,CoucTi00
Randall Cunningham,QB,36.183,1999-09-26,NFL,MIN,@,GNB,L 20-23,3,3,Sun,18,32,56.25,244,1,2,65.1,2,13,7.63,5.44,CunnRa00
Trent Dilfer,QB,27.197,1999-09-26,NFL,TAM,,DEN,W 13-10,3,3,Sun,15,18,83.33,135,0,0,97.9,7,57,7.50,7.50,DilfTr00
Brett Favre*,QB,29.351,1999-09-26,NFL,GNB,,MIN,W 23-20,3,3,Sun,24,39,61.54,304,1,0,94.4,2,15,7.79,8.31,FavrBr00
Doug Flutie,QB,36.338,1999-09-26,NFL,BUF,,PHI,W 26-0,3,3,Sun,18,26,69.23,175,1,1,84.6,0,0,6.73,5.77,FlutDo00
Rich Gannon,QB,33.280,1999-09-26,NFL,OAK,,CHI,W 24-17,3,3,Sun,26,35,74.29,295,2,0,118.2,4,12,8.43,9.57,GannRi00
Kent Graham,QB,30.329,1999-09-26,NFL,NYG,@,NWE,L 14-16,3,3,Sun,23,36,63.89,216,2,0,98.8,1,15,6.00,7.11,GrahKe00
Tony Graziani,QB,25.277,1999-09-26,NFL,ATL,@,STL,L 7-35,3,3,Sun,14,22,63.64,152,1,0,99.1,1,11,6.91,7.82,GrazTo00
Elvis Grbac,QB,29.044,1999-09-26,NFL,KAN,,DET,W 31-21,3,3,Sun,20,29,68.97,235,2,0,116.3,1,7,8.10,9.48,GrbaEl00
Brian Griese,QB,24.192,1999-09-26,NFL,DEN,@,TAM,L 10-13,3,3,Sun,14,29,48.28,132,1,1,58.4,2,12,4.55,3.69,GrieBr00
Jim Harbaugh,QB,35.277,1999-09-26,NFL,SDG,,IND,L 19-27,2,3,Sun,15,37,40.54,188,0,1,45.8,3,9,5.08,3.86,HarbJi00
Brad Johnson,QB,31.013,1999-09-26,NFL,WAS,@,NYJ,W 27-20,3,3,Sun,17,28,60.71,241,0,0,88.5,1,4,8.61,8.61,JohnBr00
Rob Johnson,QB,26.192,1999-09-26,NFL,BUF,,PHI,W 26-0,3,3,Sun,1,2,50.00,11,0,0,66.7,1,9,5.50,5.50,JohnRo00
Jon Kitna,QB,27.005,1999-09-26,NFL,SEA,@,PIT,W 29-10,3,3,Sun,18,29,62.07,265,0,0,91.9,1,14,9.14,9.14,KitnJo00
Peyton Manning,QB,23.186,1999-09-26,NFL,IND,@,SDG,W 27-19,3,3,Sun,29,54,53.70,404,2,1,82.6,0,0,7.48,7.39,MannPe00
Shane Matthews,QB,29.117,1999-09-26,NFL,CHI,@,OAK,L 17-24,3,3,Sun,20,30,66.67,178,2,1,90.7,2,11,5.93,5.77,MattSh00
Donovan McNabb,QB,22.305,1999-09-26,NFL,PHI,@,BUF,L 0-26,3,3,Sun,6,11,54.55,34,0,0,60.4,0,0,3.09,3.09,McNaDo00
Cade McNown,QB,22.257,1999-09-26,NFL,CHI,@,OAK,L 17-24,3,3,Sun,3,5,60.00,38,0,0,83.7,1,7,7.60,7.60,McNoCa00
Rick Mirer,QB,29.191,1999-09-26,NFL,NYJ,,WAS,L 20-27,3,3,Sun,17,31,54.84,227,1,1,75.6,6,32,7.32,6.52,MireRi00
Neil O'Donnell,QB,33.085,1999-09-26,NFL,TEN,@,JAX,W 20-19,3,3,Sun,17,32,53.13,204,2,1,80.7,2,13,6.38,6.22,ODonNe00
Doug Pederson,QB,31.238,1999-09-26,NFL,PHI,@,BUF,L 0-26,3,3,Sun,14,26,53.85,137,0,0,68.9,2,24,5.27,5.27,PedeDo00
Mark Royals,P,34.096,1999-09-26,NFL,TAM,,DEN,W 13-10,3,3,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,RoyaMa20
Kordell Stewart,QB,26.345,1999-09-26,NFL,PIT,,SEA,L 10-29,3,3,Sun,7,14,50.00,61,0,3,22.3,2,13,4.36,-5.29,StewKo00
Mike Tomczak,QB,36.338,1999-09-26,NFL,PIT,,SEA,L 10-29,3,3,Sun,14,27,51.85,159,1,2,51.3,0,0,5.89,3.30,TomcMi00
Alex Van Pelt,QB,29.148,1999-09-26,NFL,BUF,,PHI,W 26-0,3,3,Sun,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,VanPAl00
Kurt Warner*,QB,28.096,1999-09-26,NFL,STL,,ATL,W 35-7,2,3,Sun,17,25,68.00,275,3,0,144.2,0,0,11.00,13.40,WarnKu00
Jeff Garcia,QB,29.215,1999-09-27,NFL,SFO,@,ARI,W 24-10,3,3,Mon,5,6,83.33,30,0,0,87.5,0,0,5.00,5.00,GarcJe00
Jake Plummer,QB,24.282,1999-09-27,NFL,ARI,,SFO,L 10-24,3,3,Mon,16,31,51.61,176,0,2,41.9,5,27,5.68,2.77,PlumJa00
Steve Young*,QB,37.351,1999-09-27,NFL,SFO,@,ARI,W 24-10,3,3,Mon,13,23,56.52,92,1,1,62.2,1,10,4.00,2.91,YounSt00
Troy Aikman*,QB,32.316,1999-10-03,NFL,DAL,,ARI,W 35-7,3,4,Sun,15,21,71.43,192,2,0,131.4,0,0,9.14,11.05,AikmTr00
Steve Beuerlein,QB,34.210,1999-10-03,NFL,CAR,@,WAS,L 36-38,4,4,Sun,23,47,48.94,334,1,1,70.7,2,6,7.11,6.57,BeueSt00
Jeff Blake,QB,28.303,1999-10-03,NFL,CIN,,STL,L 10-38,4,4,Sun,12,23,52.17,114,0,0,66.2,3,26,4.96,4.96,BlakJe00
Drew Bledsoe,QB,27.231,1999-10-03,NFL,NWE,@,CLE,W 19-7,4,4,Sun,29,43,67.44,393,1,0,104.1,4,32,9.14,9.60,BledDr00
Bubby Brister,QB,37.049,1999-10-03,NFL,DEN,,NYJ,L 13-21,4,4,Sun,3,5,60.00,22,0,2,30.8,0,0,4.40,-13.60,BrisBu00
Dave Brown,QB,29.220,1999-10-03,NFL,ARI,@,DAL,L 7-35,4,4,Sun,4,6,66.67,30,0,1,38.9,0,0,5.00,-2.50,BrowDa00
Mark Brunell,QB,29.016,1999-10-03,NFL,JAX,@,PIT,W 17-3,4,4,Sun,10,25,40.00,85,1,1,46.2,1,5,3.40,2.40,BrunMa00
Stoney Case,QB,27.088,1999-10-03,NFL,BAL,@,ATL,W 19-13,4,4,Sun,13,27,48.15,192,2,0,96.5,5,29,7.11,8.59,CaseSt00
Kerry Collins,QB,26.277,1999-10-03,NFL,NYG,,PHI,W 16-15,4,4,Sun,6,12,50.00,86,0,0,73.6,1,11,7.17,7.17,CollKe00
Tim Couch,QB,22.064,1999-10-03,NFL,CLE,,NWE,L 7-19,4,4,Sun,13,28,46.43,201,1,0,82.6,4,21,7.18,7.89,CoucTi00
Randall Cunningham,QB,36.190,1999-10-03,NFL,MIN,,TAM,W 21-14,4,4,Sun,26,34,76.47,296,3,1,119.2,0,0,8.71,9.15,CunnRa00
Trent Dilfer,QB,27.204,1999-10-03,NFL,TAM,@,MIN,L 14-21,4,4,Sun,25,39,64.10,301,2,1,94.1,3,15,7.72,7.59,DilfTr00
Rich Gannon,QB,33.287,1999-10-03,NFL,OAK,@,SEA,L 21-22,4,4,Sun,19,34,55.88,220,2,1,83.0,2,3,6.47,6.32,GannRi00
Jeff Garcia,QB,29.221,1999-10-03,NFL,SFO,,TEN,W 24-22,4,4,Sun,21,33,63.64,243,2,0,106.0,1,0,7.36,8.58,GarcJe00
Jeff George,QB,31.299,1999-10-03,NFL,MIN,,TAM,W 21-14,4,4,Sun,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,GeorJe00
Kent Graham,QB,30.336,1999-10-03,NFL,NYG,,PHI,W 16-15,4,4,Sun,15,29,51.72,171,1,3,41.7,1,13,5.90,1.93,GrahKe00
Tony Graziani,QB,25.284,1999-10-03,NFL,ATL,,BAL,L 13-19,4,4,Sun,9,13,69.23,73,0,0,83.2,1,5,5.62,5.62,GrazTo00
Elvis Grbac,QB,29.051,1999-10-03,NFL,KAN,@,SDG,L 14-21,4,4,Sun,19,40,47.50,200,2,4,39.6,1,7,5.00,1.50,GrbaEl00
Brian Griese,QB,24.199,1999-10-03,NFL,DEN,,NYJ,L 13-21,4,4,Sun,15,31,48.39,212,0,3,31.3,1,16,6.84,2.48,GrieBr00
Jim Harbaugh,QB,35.284,1999-10-03,NFL,SDG,,KAN,W 21-14,3,4,Sun,6,9,66.67,38,0,1,35.6,1,10,4.22,-0.78,HarbJi00
Billy Joe Hobert,QB,28.268,1999-10-03,NFL,NOR,@,CHI,L 10-14,3,4,Sun,8,13,61.54,76,0,0,77.7,2,29,5.85,5.85,HobeBi00
Brad Johnson,QB,31.020,1999-10-03,NFL,WAS,,CAR,W 38-36,4,4,Sun,20,33,60.61,337,4,0,134.7,3,29,10.21,12.64,JohnBr00
Paul Justin,QB,31.137,1999-10-03,NFL,STL,@,CIN,W 38-10,3,4,Sun,1,1,100.00,27,0,0,118.7,0,0,27.00,27.00,JustPa00
Danny Kanell,QB,25.316,1999-10-03,NFL,ATL,,BAL,L 13-19,4,4,Sun,15,33,45.45,184,1,0,73.3,1,6,5.58,6.18,KaneDa00
Jon Kitna,QB,27.012,1999-10-03,NFL,SEA,,OAK,W 22-21,4,4,Sun,15,30,50.00,213,2,1,81.7,2,12,7.10,6.93,KitnJo00
Erik Kramer,QB,34.331,1999-10-03,NFL,SDG,,KAN,W 21-14,3,4,Sun,8,20,40.00,72,2,1,62.9,1,8,3.60,3.35,KramEr00
Shane Matthews,QB,29.124,1999-10-03,NFL,CHI,,NOR,W 14-10,4,4,Sun,25,39,64.10,224,2,2,75.2,3,12,5.74,4.46,MattSh00
Donovan McNabb,QB,22.312,1999-10-03,NFL,PHI,@,NYG,L 15-16,4,4,Sun,3,7,42.86,38,0,0,60.4,4,22,5.43,5.43,McNaDo00
Cade McNown,QB,22.264,1999-10-03,NFL,CHI,,NOR,W 14-10,4,4,Sun,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,McNoCa00
Rick Mirer,QB,29.198,1999-10-03,NFL,NYJ,@,DEN,W 21-13,4,4,Sun,17,28,60.71,242,2,2,82.7,4,18,8.64,6.86,MireRi00
Neil O'Donnell,QB,33.092,1999-10-03,NFL,TEN,@,SFO,L 22-24,4,4,Sun,20,40,50.00,355,2,1,87.0,3,18,8.88,8.75,ODonNe00
Doug Pederson,QB,31.245,1999-10-03,NFL,PHI,@,NYG,L 15-16,4,4,Sun,6,15,40.00,75,0,2,16.7,1,1,5.00,-1.00,PedeDo00
Jake Plummer,QB,24.288,1999-10-03,NFL,ARI,@,DAL,L 7-35,4,4,Sun,16,33,48.48,111,1,3,28.7,1,4,3.36,-0.12,PlumJa00
Akili Smith,QB,24.043,1999-10-03,NFL,CIN,,STL,L 10-38,4,4,Sun,7,18,38.89,77,0,1,29.2,0,0,4.28,1.78,SmitAk00
Kordell Stewart,QB,26.352,1999-10-03,NFL,PIT,,JAX,L 3-17,4,4,Sun,15,32,46.88,126,0,1,44.5,4,27,3.94,2.53,StewKo00
Billy Joe Tolliver,QB,33.238,1999-10-03,NFL,NOR,@,CHI,L 10-14,3,4,Sun,7,15,46.67,102,0,0,69.3,2,17,6.80,6.80,TollBi00
Kurt Warner*,QB,28.103,1999-10-03,NFL,STL,@,CIN,W 38-10,3,4,Sun,17,21,80.95,310,3,0,158.3,2,11,14.76,17.62,WarnKu00
Doug Flutie,QB,36.346,1999-10-04,NFL,BUF,@,MIA,W 23-18,4,4,Mon,12,25,48.00,186,1,0,86.4,1,9,7.44,8.24,FlutDo00
Dan Marino*,QB,38.019,1999-10-04,NFL,MIA,,BUF,L 18-23,3,4,Mon,22,44,50.00,251,1,2,56.2,2,18,5.70,4.11,MariDa00
Troy Aikman*,QB,32.323,1999-10-10,NFL,DAL,@,PHI,L 10-13,4,5,Sun,21,39,53.85,177,1,2,53.0,1,7,4.54,2.74,AikmTr00
Charlie Batch,QB,24.309,1999-10-10,NFL,DET,,SDG,L 10-20,4,5,Sun,21,38,55.26,230,1,1,71.2,6,38,6.05,5.39,BatcCh00
