Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Steve McLendon,DL,33.248,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,0,1,1,0,0,McLeSt00
Raekwon McMillan,LB,23.295,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.0,1,2,3,0,0,McMiRa02
Pernell McPhee,OLB,30.265,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1.0,1,2,3,0,2,McPhPe00
Brandon Mebane,NT,34.236,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,2,4,6,0,0,MebaBr99
Rashaan Melvin,CB,29.341,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0.0,8,0,8,0,1,MelvRa00
Matt Milano,LB,25.042,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.0,6,3,9,1,2,MilaMa00
Rontez Miles,S,30.287,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,1,0,1,0,0,MileRo00
Terrance Mitchell,CB,27.114,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0.0,1,0,1,0,0,MitcTe00
Bryan Mone,DT,23.323,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0.0,0,2,2,0,0,MoneBr00
Kenny Moore,CB,24.016,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0.0,3,1,4,0,0,MoorKe03
Tarvarius Moore,DB,23.023,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,5,3,8,0,0,MoorTa00
Jimmy Moreland,CB,24.013,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,3,0,3,0,0,MoreJi00
Emmanuel Moseley,DB,23.167,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,1,0,1,0,0,MoseEm00
