Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Rashean Mathis,LCB,27.027,2007-09-23,NFL,JAX,@,DEN,W 23-14,3,3,Sun,,1,0,,,MathRa99
John McCargo,DT,24.035,2007-09-23,NFL,BUF,@,NWE,L 7-38,3,3,Sun,,1,1,,,McCaJo22
Hannibal Navies,OLB,30.066,2007-09-23,NFL,SFO,@,PIT,L 16-37,3,3,Sun,0,1,1,0,0,NaviHa20
Montell Owens,RB,23.142,2007-09-23,NFL,JAX,@,DEN,W 23-14,3,3,Sun,0,1,0,0,0,OwenMo01
Juqua Parker,DE,29.131,2007-09-23,NFL,PHI,,DET,W 56-21,3,3,Sun,0,1,1,0,0,ThomJu20
Clifton Ryan,DT,23.217,2007-09-23,NFL,STL,@,TAM,L 3-24,3,3,Sun,,1,0,,,RyanCl99
Corey Smith,RDE,27.325,2007-09-23,NFL,DET,@,PHI,L 21-56,3,3,Sun,0,1,0,0,0,SmitCo20
Josh Thomas,DE,26.089,2007-09-23,NFL,IND,@,HOU,W 30-24,3,3,Sun,0,1,0,0,0,ThomJo25
Justin Tuck,DE,24.178,2007-09-23,NFL,NYG,@,WAS,W 24-17,3,3,Sun,0,1,0,0,0,TuckJu20
Gerard Warren,DT,29.060,2007-09-23,NFL,OAK,,CLE,W 26-24,3,3,Sun,0,1,0,0,0,WarrGe20
Kamerion Wimbley,SLB,23.345,2007-09-23,NFL,CLE,@,OAK,L 24-26,3,3,Sun,0,1,0,0,0,WimbKa20
Travis LaBoy,DE,26.035,2007-09-24,NFL,TEN,@,NOR,W 31-14,3,3,Mon,0,1,0,0,0,LaBoTr20
John Abraham,RDE,29.147,2007-09-30,NFL,ATL,,HOU,W 26-16,4,4,Sun,0,1,0,0,0,AbraJo00
Mark Anderson,RDE,24.127,2007-09-30,NFL,CHI,@,DET,L 27-37,4,4,Sun,0,1,0,0,0,AndeMa21
Atari Bigby,SS,26.011,2007-09-30,NFL,GNB,@,MIN,W 23-16,4,4,Sun,0,1,0,0,0,BigbAt20
Michael Boley,BLB,25.037,2007-09-30,NFL,ATL,,HOU,W 26-16,4,4,Sun,,1,0,,,BoleMi20
Jared DeVries,DE,31.111,2007-09-30,NFL,DET,,CHI,W 37-27,4,4,Sun,0,2,0,0,0,DeVrJa20
Darnell Dinkins,TE,30.253,2007-09-30,NFL,CLE,,BAL,W 27-13,4,4,Sun,0,1,0,0,0,DinkDa00
Darnell Dockett,DT,26.126,2007-09-30,NFL,ARI,,PIT,W 21-14,4,4,Sun,0,1,0,0,0,DockDa20
Reuben Droughns,RB,29.040,2007-09-30,NFL,NYG,,PHI,W 16-3,4,4,Sun,0,1,0,0,0,DrouRe00
Dwight Freeney,RDE,27.223,2007-09-30,NFL,IND,,DEN,W 38-20,4,4,Sun,0,2,0,0,0,FreeDw00
Chris Gamble,LCB,24.203,2007-09-30,NFL,CAR,,TAM,L 7-20,4,4,Sun,,1,0,,,GambCh20
Kabeer Gbaja-Biamila,RDE,30.006,2007-09-30,NFL,GNB,@,MIN,W 23-16,4,4,Sun,0,1,0,0,0,GbajKa20
E.J. Henderson,MLB,27.058,2007-09-30,NFL,MIN,,GNB,L 16-23,4,4,Sun,,1,0,,,HendE.20
Tanard Jackson,FS,22.071,2007-09-30,NFL,TAM,@,CAR,W 20-7,4,4,Sun,,1,0,,,JackTa99
Derrick Johnson,LOLB,24.312,2007-09-30,NFL,KAN,@,SDG,W 30-16,4,4,Sun,0,1,0,0,0,JohnDe25
Niko Koutouvides,LB,26.189,2007-09-30,NFL,SEA,@,SFO,W 23-3,4,4,Sun,,1,0,,,KoutNi20
Trumaine McBride,LCB,22.006,2007-09-30,NFL,CHI,@,DET,L 27-37,4,4,Sun,,1,0,,,McBrTr99
Brandon Middleton,WR,26.271,2007-09-30,NFL,DET,,CHI,W 37-27,4,4,Sun,0,1,0,0,0,MiddBr00
Edmond Miles,LB,23.086,2007-09-30,NFL,MIA,,OAK,L 17-35,4,4,Sun,,1,0,,,MileEd99
Jarrad Page,FS,22.346,2007-09-30,NFL,KAN,@,SDG,W 30-16,4,4,Sun,,1,1,,,PageJa20
Julian Peterson,OLB,29.064,2007-09-30,NFL,SEA,@,SFO,W 23-3,4,4,Sun,0,2,0,0,0,PeteJu00
Shaun Phillips,OLB,26.140,2007-09-30,NFL,SDG,,KAN,L 16-30,4,4,Sun,0,1,0,0,0,PhilSh20
Troy Polamalu,SS,26.164,2007-09-30,NFL,PIT,@,ARI,L 14-21,4,4,Sun,,1,1,,,PolaTr99
Jacques Reeves,LCB,24.357,2007-09-30,NFL,DAL,,STL,W 35-7,4,4,Sun,,1,0,,,ReevJa20
Darrelle Revis,LCB,22.078,2007-09-30,NFL,NYJ,@,BUF,L 14-17,4,4,Sun,,1,0,,,ReviDa99
Barrett Ruud,MLB,24.133,2007-09-30,NFL,TAM,@,CAR,W 20-7,4,4,Sun,,1,0,,,RuudBa20
Ernie Sims,WLB,22.281,2007-09-30,NFL,DET,,CHI,W 37-27,4,4,Sun,0,1,0,0,0,SimsEr20
Corey Smith,RDE,27.332,2007-09-30,NFL,DET,,CHI,W 37-27,4,4,Sun,,1,0,,,SmitCo20
Dwight Smith,FS,29.048,2007-09-30,NFL,MIN,,GNB,L 16-23,4,4,Sun,,1,0,,,SmitDw20
Darryl Tapp,RDE,23.017,2007-09-30,NFL,SEA,@,SFO,W 23-3,4,4,Sun,0,1,0,0,0,TappDa20
Lofa Tatupu,MLB,24.319,2007-09-30,NFL,SEA,@,SFO,W 23-3,4,4,Sun,,1,0,,,TatuLo99
Ike Taylor,LCB,27.148,2007-09-30,NFL,PIT,@,ARI,L 14-21,4,4,Sun,,1,0,,,TaylIk20
Osi Umenyiora,RDE,25.318,2007-09-30,NFL,NYG,,PHI,W 16-3,4,4,Sun,0,2,0,0,0,UmenOs99
Jamaal Anderson,LDE,21.243,2007-10-07,NFL,ATL,@,TEN,L 13-20,5,5,Sun,,1,0,,,AndeJa98
Brendon Ayanbadejo,LB,31.031,2007-10-07,NFL,CHI,@,GNB,W 27-20,5,5,Sun,,1,0,,,AyanBr99
Fernando Bryant,LCB,30.195,2007-10-07,NFL,DET,@,WAS,L 3-34,5,5,Sun,,1,0,,,BryaFe20
Phillip Daniels,LDE,34.217,2007-10-07,NFL,WAS,,DET,W 34-3,4,5,Sun,,1,0,,,DaniPh20
Randall Gay,CB,25.155,2007-10-07,NFL,NWE,,CLE,W 34-17,5,5,Sun,,1,1,,1,GayxRa20
Antoine Harris,CB,25.182,2007-10-07,NFL,ATL,@,TEN,L 13-20,5,5,Sun,,1,0,,,HarrAn98
Kevin Hobbs,CB,20.333,2007-10-07,NFL,SEA,@,PIT,L 0-21,5,5,Sun,,1,0,,,HobbKe99
Jarret Johnson,LOLB,26.054,2007-10-07,NFL,BAL,@,SFO,W 9-7,5,5,Sun,0,1,0,0,0,JohnJa23
Teddy Lehman,LB,25.323,2007-10-07,NFL,DET,@,WAS,L 3-34,5,5,Sun,,1,0,,,LehmTe20
Marlon McCree,FS,30.204,2007-10-07,NFL,SDG,@,DEN,W 41-3,5,5,Sun,0,1,0,0,0,McCrMa20
Carlos Polk,LB,30.227,2007-10-07,NFL,SDG,@,DEN,W 41-3,5,5,Sun,,1,0,,,PolkCa20
Kerry Rhodes,S,25.066,2007-10-07,NFL,NYJ,@,NYG,L 24-35,5,5,Sun,,1,1,,1,RhodKe20
Will Smith,RDE,26.095,2007-10-07,NFL,NOR,,CAR,L 13-16,4,5,Sun,0,1,0,0,0,SmitWi99
Jason Taylor*,DE,33.036,2007-10-07,NFL,MIA,@,HOU,L 19-22,5,5,Sun,0,1,0,0,0,TaylJa03
Fred Thomas,CB,34.026,2007-10-07,NFL,NOR,,CAR,L 13-16,4,5,Sun,,1,0,,,ThomFr20
