Player,unique_id,Pos,Age,Date,LG,Team,Team Code,Loc,Opponent,Team Code opp,WL,G,Week,Day,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,Sk,Sk Yds,YPA,AYPA,Rush Att,Rush Yard,Rush Avg,Rush TD,Targets,Rec,Rec Yards,Rec Avg,Rec TD,Catch Pct,YPTgt,Fmb,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,Sack,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,Fumble Forced,FR,FR Yds,FR TD,Kick Ret,Kick Ret Yds,Kick Ret YPA,Kick Ret TD,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,FGM,FGA,XPM,XPA,Fantasy Pts,PPR,DK Pts,FD Pts
Darrien Gordon,GordDa20,DB,29.294,2000-09-03,NFL,OAK,27,,LAC,23,W 9-6,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,17.0,0.0,3.0,12.0,4.0,0.0,,,,,,,,
Desmond Howard,HowaDe00,WR,30.111,2000-09-03,NFL,DET,10,@,NOR,15,W 14-10,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,50.0,16.67,0.0,4.0,119.0,29.75,1.0,,,,,,,,
Qadry Ismail,IsmaQa00,WR,29.3,2000-09-03,NFL,BAL,31,@,PIT,21,W 16-0,1,1,Sun,,,,,,,,,,,,,,,,11.0,7.0,102.0,14.57,1.0,63.6%,9.27,0.0,,,,,,,,,,,,,,,1.0,38.0,38.0,0.0,,,,,,,,,16.2,23.2,26.2,19.7
MarTay Jenkins,JenkMa00,WR,25.188000000000002,2000-09-03,NFL,ARI,7,@,NYG,17,L 16-21,1,1,Sun,,,,,,,,,,,,,,,,6.0,1.0,13.0,13.0,0.0,16.7%,2.17,0.0,1.0,1.0,2.0,0.0,,0.0,,,,,,,,,4.0,92.0,23.0,0.0,1.0,1.0,1.0,0.0,,,,,1.3,2.3,2.3,1.8
Ronney Jenkins,JenkRo00,RB,23.101,2000-09-03,NFL,LAC,23,@,OAK,27,L 6-9,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,26.0,0.0,,,,,,,,,,,,
Travis Jervey,JervTr00,RB,28.121,2000-09-03,NFL,SFO,28,@,ATL,1,L 28-36,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,18.0,0.0,,,,,,,,,,,,
Napoleon Kaufman,KaufNa00,RB,27.088,2000-09-03,NFL,OAK,27,,LAC,23,W 9-6,1,1,Sun,,,,,,,,,,,,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,48.0,24.0,0.0,,,,,,,,,,,,
Brian Kozlowski,KozlBr00,TE,29.335,2000-09-03,NFL,ATL,1,,SFO,28,W 36-28,1,1,Sun,,,,,,,,,,,,,,,,1.0,1.0,6.0,6.0,0.0,100.0%,6.0,,,,,,,,,,,,,,,,1.0,14.0,14.0,0.0,,,,,,,,,,,,
Brock Marion,MariBr00,DB,30.084,2000-09-03,NFL,MIA,13,,SEA,24,W 23-0,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,2.0,,,,,1.0,26.0,26.0,0.0,,,,,,,,,,,,
Derrick Mason,MasoDe00,WR,26.23,2000-09-03,NFL,TEN,19,@,BUF,2,L 13-16,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,182.0,36.4,0.0,6.0,60.0,10.0,0.0,,,,,,,,
Glyn Milburn,MilbGl00,RB,29.197,2000-09-03,NFL,CHI,3,@,MIN,14,L 27-30,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,175.0,25.0,0.0,1.0,12.0,12.0,0.0,,,,,,,,
Basil Mitchell,MitcBa00,RB,24.362,2000-09-03,NFL,GNB,11,,NYJ,18,L 16-20,1,1,Sun,,,,,,,,,,,,2.0,8.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,26.0,0.0,,,,,,,,,,,,
Brian Mitchell,MitcBr00,RB,32.016,2000-09-03,NFL,PHI,20,@,DAL,8,W 41-14,1,1,Sun,,,,,,,,,,,,8.0,39.0,4.88,1.0,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,1.0,29.0,29.0,0.0,4.0,20.0,5.0,0.0,,,,,10.4,11.4,11.4,10.9
Chad Morton,MortCh00,RB,23.151999999999997,2000-09-03,NFL,NOR,15,,DET,10,L 10-14,1,1,Sun,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,0.0,100.0%,3.0,,,,,,,,,,,,,,,,4.0,105.0,26.25,0.0,6.0,36.0,6.0,0.0,,,,,,,,
Mike Morton,MortMi20,LB,28.159000000000002,2000-09-03,NFL,GNB,11,,NYJ,18,L 16-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,,0.0,,,,,,,,,1.0,13.0,13.0,0.0,,,,,,,,,,,,
David Patten,PattDa00,WR,26.015,2000-09-03,NFL,CLE,5,,JAX,30,L 7-27,1,1,Sun,,,,,,,,,,,,,,,,4.0,2.0,9.0,4.5,0.0,50.0%,2.25,,,,,,,,,,,,,,,,2.0,38.0,19.0,0.0,,,,,,,,,,,,
Hank Poteat,PoteHa20,DB,23.004,2000-09-03,NFL,PIT,21,,BAL,31,L 0-16,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,,0.0,,,,,,,,,1.0,25.0,25.0,0.0,,,,,,,,,,,,
Charlie Rogers,RogeCh00,RB,24.076,2000-09-03,NFL,SEA,24,@,MIA,13,L 0-23,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,108.0,18.0,0.0,4.0,52.0,13.0,0.0,,,,,,,,
Allen Rossum,RossAl99,DB,24.316999999999997,2000-09-03,NFL,GNB,11,,NYJ,18,L 16-20,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,77.0,25.67,0.0,1.0,43.0,43.0,0.0,,,,,,,,
James Thrash,ThraJa00,WR,25.128,2000-09-03,NFL,WAS,26,,CAR,29,W 20-17,1,1,Sun,,,,,,,,,,,,1.0,4.0,4.0,0.0,4.0,3.0,22.0,7.33,0.0,75.0%,5.5,0.0,,,,,,,,,,,,,,,3.0,53.0,17.67,0.0,,,,,,,,,2.6,5.6,5.6,4.1
Jason Tucker,TuckJa00,WR,24.070999999999998,2000-09-03,NFL,DAL,8,,PHI,20,L 14-41,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,118.0,23.6,0.0,,,,,,,,,,,,
Darrick Vaughn,VaugDa20,DB,21.337,2000-09-03,NFL,ATL,1,,SFO,28,W 36-28,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,1.0,57.0,57.0,0.0,,,,,,,,,,,,
Hines Ward,WardHi00,WR,24.179000000000002,2000-09-03,NFL,PIT,21,,BAL,31,L 0-16,1,1,Sun,,,,,,,,,,,,,,,,2.0,2.0,20.0,10.0,0.0,100.0%,10.0,0.0,,,,,,,,,,,,,,,1.0,23.0,23.0,0.0,,,,,,,,,2.0,4.0,4.0,3.0
Chris Watson,WatsCh20,DB,23.065,2000-09-03,NFL,BUF,2,,TEN,19,W 16-13,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,35.0,11.67,0.0,5.0,10.0,2.0,0.0,,,,,,,,
Jamel White,WhitJa00,RB,23.205,2000-09-03,NFL,CLE,5,,JAX,30,L 7-27,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,51.0,17.0,0.0,,,,,,,,,,,,
Karl Williams,WillKa00,WR,29.146,2000-09-03,NFL,TAM,25,@,NEW,16,W 21-16,1,1,Sun,,,,,,,,,,,,,,,,2.0,1.0,8.0,8.0,0.0,50.0%,4.0,,,,,,,,,,,,,,,,3.0,88.0,29.33,0.0,3.0,13.0,4.33,0.0,,,,,,,,
Kevin Williams,WillKe00,WR,29.221999999999998,2000-09-03,NFL,SFO,28,@,ATL,1,L 28-36,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,67.0,16.75,0.0,1.0,0.0,0.0,0.0,,,,,,,,
Payton Williams,WillPa21,DB,21.289,2000-09-03,NFL,IND,6,@,KAN,12,W 27-14,1,1,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,2.0,33.0,16.5,0.0,4.0,80.0,20.0,0.0,,,,,,,,
Tony Horne,HornTo00,WR,24.166999999999998,2000-09-04,NFL,LAR,22,,DEN,9,W 41-36,1,1,Mon,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,8.0,145.0,18.13,0.0,,,,,,,,,,,,
Deltha O'Neal,ONeaDe00,DB,23.218000000000004,2000-09-04,NFL,DEN,9,@,LAR,22,L 36-41,1,1,Mon,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0.0,,,,,,,,,5.0,98.0,19.6,0.0,,,,,,,,,,,,
Reggie Barlow,BarlRe00,WR,27.232,2000-09-10,NFL,JAX,30,@,BAL,31,L 36-39,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,58.0,19.33,0.0,5.0,25.0,5.0,0.0,,,,,,,,
Tyrone Carter,CartTy20,DB,24.163,2000-09-10,NFL,MIN,14,,MIA,13,W 13-7,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.0,25.0,0.0,,,,,,,,,,,,
Mac Cody,CodyMa00,WR,28.034000000000002,2000-09-10,NFL,ARI,7,,DAL,8,W 32-31,2,2,Sun,,,,,,,,,,,,,,,,1.0,1.0,19.0,19.0,0.0,100.0%,19.0,0.0,,,,,,,,,,,,,,,1.0,18.0,18.0,0.0,1.0,7.0,7.0,0.0,,,,,1.9,2.9,2.9,2.4
Chris Cole,ColeCh00,WR,22.303,2000-09-10,NFL,DEN,9,,ATL,1,W 42-14,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,1.0,17.0,17.0,0.0,,,,,,,,,,,,
Ron Dixon,DixoRo00,WR,24.105,2000-09-10,NFL,NYG,17,@,PHI,20,W 33-18,2,2,Sun,,,,,,,,,,,,,,,,1.0,1.0,15.0,15.0,0.0,100.0%,15.0,0.0,,,,,,,,,,,,,,,4.0,117.0,29.25,0.0,,,,,,,,,1.5,2.5,2.5,2.0
Tim Dwight,DwigTi00,WR,25.059,2000-09-10,NFL,ATL,1,@,DEN,9,L 14-42,2,2,Sun,,,,,,,,,,,,2.0,5.0,2.5,0.0,3.0,2.0,60.0,30.0,1.0,66.7%,20.0,0.0,,,,,,,,,,,,,,,6.0,149.0,24.83,0.0,3.0,50.0,16.67,0.0,,,,,10.5,12.5,13.5,11.5
Hunter Goodwin,GoodHu00,TE,27.336,2000-09-10,NFL,MIA,13,@,MIN,14,L 7-13,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.0,,,,,,,,,,,,
Corey Harris,HarrCo20,DB,30.320999999999998,2000-09-10,NFL,BAL,31,,JAX,30,W 39-36,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,1.0,,0.0,1.0,2.0,0.0,2.0,,,,,7.0,153.0,21.86,0.0,,,,,,,,,,,,
Chris Hetherington,HethCh00,RB,27.288,2000-09-10,NFL,CAR,29,@,SFO,28,W 38-22,2,2,Sun,,,,,,,,,,,,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,10.0,0.0,,,,,,,,,,,,
Priest Holmes,HolmPr00,RB,26.339000000000002,2000-09-10,NFL,BAL,31,,JAX,30,W 39-36,2,2,Sun,,,,,,,,,,,,10.0,54.0,5.4,0.0,8.0,4.0,18.0,4.5,0.0,50.0%,2.25,0.0,,,,,,,,,,,,,,,1.0,7.0,7.0,0.0,,,,,,,,,7.2,11.2,11.2,9.2
Tony Horne,HornTo00,WR,24.173000000000002,2000-09-10,NFL,LAR,22,@,SEA,24,W 37-34,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,6.0,134.0,22.33,0.0,,,,,,,,,,,,
Desmond Howard,HowaDe00,WR,30.118000000000002,2000-09-10,NFL,DET,10,,WAS,26,W 15-10,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,61.0,30.5,0.0,1.0,6.0,6.0,0.0,,,,,,,,
Qadry Ismail,IsmaQa00,WR,29.307,2000-09-10,NFL,BAL,31,,JAX,30,W 39-36,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,,,,,,,,,,,,
MarTay Jenkins,JenkMa00,WR,25.195,2000-09-10,NFL,ARI,7,,DAL,8,W 32-31,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,4.0,111.0,27.75,0.0,,,,,,,,,,,,
Ronney Jenkins,JenkRo00,RB,23.108,2000-09-10,NFL,LAC,23,,NOR,15,L 27-28,2,2,Sun,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.0,50.0%,0.5,0.0,,,,,,,,,,,,,,,6.0,221.0,36.83,1.0,,,,,,,,,6.1,7.1,7.1,6.6
Henry Jones,JoneHe00,DB,32.256,2000-09-10,NFL,BUF,2,,GNB,11,W 27-18,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,1.0,4.0,4.0,0.0,,,,,,,,,,,,
Napoleon Kaufman,KaufNa00,RB,27.095,2000-09-10,NFL,OAK,27,@,IND,6,W 38-31,2,2,Sun,,,,,,,,,,,,8.0,66.0,8.25,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,77.0,19.25,0.0,,,,,,,,,6.6,6.6,6.6,6.6
Brian Kozlowski,KozlBr00,TE,29.342,2000-09-10,NFL,ATL,1,@,DEN,9,L 14-42,2,2,Sun,,,,,,,,,,,,,,,,1.0,1.0,6.0,6.0,0.0,100.0%,6.0,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,,,,,,,,,,,,
Jonathan Linton,LintJo00,RB,25.308000000000003,2000-09-10,NFL,BUF,2,,GNB,11,W 27-18,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,17.0,0.0,,,,,,,,,,,,
Nick Luchey,WillNi00,RB,23.164,2000-09-10,NFL,CIN,4,,CLE,5,L 7-24,1,2,Sun,,,,,,,,,,,,1.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,
Tremain Mack,MackTr00,DB,25.294,2000-09-10,NFL,CIN,4,,CLE,5,L 7-24,1,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0.0,,,,,,,,,4.0,124.0,31.0,0.0,,,,,,,,,,,,
Brock Marion,MariBr00,DB,30.090999999999998,2000-09-10,NFL,MIA,13,@,MIN,14,L 7-13,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,9.0,0.0,,0.0,1.0,14.0,0.0,1.0,,,,,3.0,82.0,27.33,0.0,,,,,,,,,,,,
Derrick Mason,MasoDe00,WR,26.237,2000-09-10,NFL,TEN,19,,KAN,12,W 17-14,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,92.0,30.67,0.0,3.0,37.0,12.33,0.0,,,,,,,,
Glyn Milburn,MilbGl00,RB,29.204,2000-09-10,NFL,CHI,3,@,TAM,25,L 0-41,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,166.0,23.71,0.0,3.0,23.0,7.67,0.0,,,,,,,,
Brian Mitchell,MitcBr00,RB,32.023,2000-09-10,NFL,PHI,20,,NYG,17,L 18-33,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,106.0,21.2,0.0,,,,,,,,,,,,
Chad Morton,MortCh00,RB,23.159000000000002,2000-09-10,NFL,NOR,15,@,LAC,23,W 28-27,2,2,Sun,,,,,,,,,,,,1.0,1.0,1.0,0.0,4.0,3.0,11.0,3.67,0.0,75.0%,2.75,0.0,,,,,,,,,,,,,,,6.0,138.0,23.0,0.0,4.0,93.0,23.25,0.0,,,,,1.2,4.2,4.2,2.7
Mustafah Muhammad,MuhaMu20,DB,26.326999999999998,2000-09-10,NFL,IND,6,,OAK,27,L 31-38,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,45.0,22.5,0.0,,,,,,,,,,,,
Deltha O'Neal,ONeaDe00,DB,23.224,2000-09-10,NFL,DEN,9,,ATL,1,W 42-14,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,21.0,0.0,3.0,33.0,11.0,0.0,,,,,,,,
Larry Parker,ParkLa00,WR,24.058000000000003,2000-09-10,NFL,KAN,12,@,TEN,19,L 14-17,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0.0,,,,,,,,,3.0,63.0,21.0,0.0,,,,,,,,,,,,
David Patten,PattDa00,WR,26.022,2000-09-10,NFL,CLE,5,@,CIN,4,W 24-7,2,2,Sun,,,,,,,,,,,,,,,,5.0,3.0,95.0,31.67,0.0,60.0%,19.0,0.0,,,,,,,,,,,,,,,1.0,22.0,22.0,0.0,,,,,,,,,9.5,12.5,12.5,11.0
Stanley Pritchett,PritSt00,RB,26.263,2000-09-10,NFL,PHI,20,,NYG,17,L 18-33,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,1.0,15.0,15.0,0.0,,,,,,,,,,,,
Charlie Rogers,RogeCh00,RB,24.083000000000002,2000-09-10,NFL,SEA,24,,LAR,22,L 34-37,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,192.0,27.43,0.0,1.0,13.0,13.0,0.0,,,,,,,,
Allen Rossum,RossAl99,DB,24.324,2000-09-10,NFL,GNB,11,@,BUF,2,L 18-27,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,,0.0,,,,,,,,,4.0,94.0,23.5,0.0,1.0,5.0,5.0,0.0,,,,,,,,
Jason Sehorn,SehoJa20,DB,29.148000000000003,2000-09-10,NFL,NYG,17,@,PHI,20,W 33-18,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,8.0,1.0,,0.0,0.0,0.0,0.0,1.0,,,,,1.0,-7.0,-7.0,0.0,,,,,,,,,,,,
Aaron Stecker,StecAa00,RB,24.302,2000-09-10,NFL,TAM,25,,CHI,3,W 41-0,2,2,Sun,,,,,,,,,,,,5.0,26.0,5.2,0.0,,,,,,,,0.0,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,1.0,31.0,31.0,0.0,,,,,,,,,2.6,2.6,2.6,2.6
Shyrone Stith,StitSh00,RB,22.160999999999998,2000-09-10,NFL,JAX,30,@,BAL,31,L 36-39,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0.0,,,,,,,,,2.0,60.0,30.0,0.0,,,,,,,,,,,,
Orlando Thomas,ThomOr20,DB,27.325,2000-09-10,NFL,MIN,14,,MIA,13,W 13-7,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,1.0,15.0,15.0,0.0,,,,,,,,,,,,
James Thrash,ThraJa00,WR,25.135,2000-09-10,NFL,WAS,26,@,DET,10,L 10-15,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,132.0,33.0,0.0,,,,,,,,,,,,
Jason Tucker,TuckJa00,WR,24.078000000000003,2000-09-10,NFL,DAL,8,@,ARI,7,L 31-32,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,97.0,16.17,0.0,,,,,,,,,,,,
Darrick Vaughn,VaugDa20,DB,21.344,2000-09-10,NFL,ATL,1,@,DEN,9,L 14-42,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,1.0,100.0,100.0,1.0,,,,,,,,,,,,
Chris Watson,WatsCh20,DB,23.072,2000-09-10,NFL,BUF,2,,GNB,11,W 27-18,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,62.0,31.0,0.0,3.0,3.0,1.0,0.0,,,,,,,,
Jamel White,WhitJa00,RB,23.212,2000-09-10,NFL,CLE,5,@,CIN,4,W 24-7,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,,,,,,,,,,,,
Kevin Williams,WillKe00,WR,29.229,2000-09-10,NFL,SFO,28,,CAR,29,L 22-38,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,84.0,14.0,0.0,1.0,16.0,16.0,0.0,,,,,,,,
Payton Williams,WillPa21,DB,21.296,2000-09-10,NFL,IND,6,,OAK,27,L 31-38,2,2,Sun,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,0.0,,,,,,,,,2.0,35.0,17.5,0.0,3.0,28.0,9.33,0.0,,,,,,,,
Anthony Becht,BechAn00,TE,23.034000000000002,2000-09-11,NFL,NYJ,18,,NEW,16,W 20-19,2,2,Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,
Damon Dunn,DunnDa01,WR,24.18,2000-09-11,NFL,NYJ,18,,NEW,16,W 20-19,2,2,Mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,35.0,17.5,0.0,1.0,0.0,0.0,0.0,,,,,,,,
Kevin Faulk,FaulKe00,RB,24.098000000000003,2000-09-11,NFL,NEW,16,@,NYJ,18,L 19-20,2,2,Mon,,,,,,,,,,,,21.0,82.0,3.9,0.0,5.0,4.0,23.0,5.75,0.0,80.0%,4.6,0.0,,,,,,,,,,,,,,,3.0,75.0,25.0,0.0,,,,,,,,,10.5,14.5,14.5,12.5
Kevin Williams,WillKe25,DB,25.038,2000-09-11,NFL,NYJ,18,,NEW,16,W 20-19,2,2,Mon,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,0.0,,0.0,,,,,,,,,3.0,73.0,24.33,0.0,,,,,,,,,,,,
Reggie Barlow,BarlRe00,WR,27.239,2000-09-17,NFL,JAX,30,,CIN,4,W 13-0,3,3,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,0.0,3.0,40.0,13.33,0.0,,,,,,,,
Michael Bates,BateMi00,RB,30.273000000000003,2000-09-17,NFL,CAR,29,,ATL,1,L 10-15,3,3,Sun,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,,0.0,,,,,,,,,2.0,57.0,28.5,0.0,1.0,5.0,5.0,0.0,,,,,,,,
