"Team","TeamCode","ConferenceCode","FBS","Power5","Conference","ConferenceAbbrev","Nickname","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","URL","logo","color_0_hex","color_1_hex","color_2_hex"
"Purdue",38,3,"True","True","Big Ten","B1G","Boilermakers","PUR",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png","https://cdn.usteamcolors.com/images/ncaa/division-1/purdue-boilermakers-logo.png","#CEB888","#000000",
"Rutgers",39,3,"True","True","Big Ten","B1G","Scarlet Knights","RUTG",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/164.png","https://cdn.usteamcolors.com/images/ncaa/division-1/rutgers-scarlet-knights-logo.png","#CC0033",,
"Wisconsin",40,3,"True","True","Big Ten","B1G","Badgers","WIS",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/275.png","https://cdn.usteamcolors.com/images/ncaa/division-1/wisconsin-badgers-logo.png","#C4012F",,
"Baylor",41,4,"True","True","Big Twelve","Big 12","Bears","BAY",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/239.png","https://cdn.usteamcolors.com/images/ncaa/division-1/baylor-bears-logo.png","#1C3C34","#FFB819",
"Iowa St.",42,4,"True","True","Big Twelve","Big 12","Cyclones","ISU","Iowa St","Iowa State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/66.png","https://cdn.usteamcolors.com/images/ncaa/division-1/iowa-state-cyclones-logo.png","#822433","#FDC82F",
"Kansas",43,4,"True","True","Big Twelve","Big 12","Jayhawks","KU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","https://cdn.usteamcolors.com/images/ncaa/division-1/kansas-jayhawks-logo.png","#E8000D","#0051BA",
"Kansas St.",44,4,"True","True","Big Twelve","Big 12","Wildcats","KSU","Kansas St","Kansas State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png","https://cdn.usteamcolors.com/images/ncaa/division-1/kansas-state-wildcats-logo.png","#512888",,
"Oklahoma",45,4,"True","True","Big Twelve","Big 12","Sooners","OKLA","OU",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/201.png","https://cdn.usteamcolors.com/images/ncaa/division-1/oklahoma-sooners-logo.png","#841617","#DDCBA4",
"Oklahoma St.",46,4,"True","True","Big Twelve","Big 12","Cowboys","OKST","Oklahoma St","Oklahoma State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/197.png","https://cdn.usteamcolors.com/images/ncaa/division-1/oklahoma-state-cowboys-logo.png","#FF7300","#000000",
"TCU",47,4,"True","True","Big Twelve","Big 12","Horned Frogs","TCU","Texas Christian","Texas-Christian",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","https://cdn.usteamcolors.com/images/ncaa/division-1/tcu-horned-frogs-logo.png","#4D1979",,
"Texas",48,4,"True","True","Big Twelve","Big 12","Longhorns","TEX","Texas College",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/251.png","https://cdn.usteamcolors.com/images/ncaa/division-1/texas-longhorns-logo.png","#BF5700",,
"Texas Tech",49,4,"True","True","Big Twelve","Big 12","Red Raiders","TTU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png","https://cdn.usteamcolors.com/images/ncaa/division-1/texas-tech-red-raiders-logo.png","#CC0000","#000000",
"West Virginia",50,4,"True","True","Big Twelve","Big 12","Mountaineers","WVU","W. Virginia",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/277.png","https://cdn.usteamcolors.com/images/ncaa/division-1/west-virginia-mountaineers-logo.png","#EAAA00","#002855",
"Charlotte",51,5,"True","False","Conference USA","C-USA","49ers","CHAR","UNC-Charlotte","UNC Charlotte",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png","https://cdn.usteamcolors.com/images/ncaa/division-1/charlotte-49ers-logo.png","#006940",,
"Florida Atlantic",52,5,"True","False","Conference USA","C-USA","Owls","FAU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","https://cdn.usteamcolors.com/images/ncaa/division-1/florida-atlantic-owls-logo.png","#003366","#CC0000","#C4C7CC"
"Florida Intl",53,5,"True","False","Conference USA","C-USA","Golden Panthers","FIU","Florida International","Florida Int.","Florida Intl.",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png","https://cdn.usteamcolors.com/images/ncaa/division-1/fiu-panthers-logo.png","#081E3F","#B6862C",
