conference,icon_url,school,teamABBR,teamID
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/APP.png,Appalachian State,APP,197869
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CCAR.png,Coastal Carolina,CCAR,218724
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CHA.png,Charlotte,CHA,199139
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CIN.png,Cincinnati,CIN,201885
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WAKE.png,Wake Forest,WAKE,199847
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/FAU.png,Florida Atlantic,FAU,133669
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/WASH.png,Washington,WASH,236948
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TROY.png,Troy,TROY,102368
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/USF.png,South Florida,USF,137351
Ind.,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ARMY.png,Army,ARMY,197036
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/AFA.png,Air Force,AFA,128328
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CFLR.png,UCF,CFLR,132903
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/USA.png,South Alabama,USA,102094
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MD.png,Maryland,MD,163286
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/RICE.png,Rice,RICE,227757
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BC.png,Boston College,BC,164924
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ARIZ.png,Arizona,ARIZ,104179
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/IOWA.png,Iowa,IOWA,153658
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/TXST.png,Texas State,TXST,228459
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/PITT.png,Pittsburgh,PITT,215293
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MICH.png,Michigan,MICH,170976
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/STAN.png,Stanford,STAN,243744
Mt. West,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/CSU.png,Colorado State,CSU,126818
C-USA,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/MTSU.png,Middle Tennessee,MTSU,220978
Pac-12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ORE.png,Oregon,ORE,209551
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/LSU.png,LSU,LSU,159391
Sun Belt,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ARST.png,Arkansas State,ARST,106458
AAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/ECU.png,East Carolina,ECU,198464
ACC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/SYR.png,Syracuse,SYR,196413
Big Ten,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/NW.png,Northwestern,NW,147767
SEC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/FLA.png,Florida,FLA,134130
Big 12,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/BAY.png,Baylor,BAY,223232
MAC,http://www.gannett-cdn.com/media/SMG/sports_logos/ncaa-whitebg/110/OHIO.png,Ohio,OHIO,204857
