School,Hex1,RGB1,Hex2,RGB2,Hex3,RGB3,Hex4,RGB4
Eastern Michigan,#0D6A41,"13,106,65",#000000,"0,0,0",,,,
Fau,#003A60,"0,58,96",#B10E23,"177,14,35",#C0BFC4,"192,191,196",,
Fiu,#002D62,"0,45,98",#C5960B,"197,150,11",,,,
Florida,#FA4616,"250,70,22",#01723E,"1,114,62",#0021A5,"0,33,165",,
Florida State,#4E000D,"78,0,13",#D0BF79,"208,191,121",#000000,"0,0,0",,
Fresno State,#C41230,"196,18,48",#043B7E,"4,59,126",,,,
Georgia,#EE2D24,"238,45,36",#000000,"0,0,0",,,,
Georgia Southern,#1F3C73,"31,60,115",#9A8348,"154,131,72",#9DB8C5,"157,184,197",,
Georgia State,#0039A6,"0,57,166",#CC0000,"204,0,0",,,,
Georgia Tech,#EEB310,"238,179,16",#231F20,"35,31,32",,,,
Hawaii,#024731,"2,71,49",#B1B1B1,"177,177,177",#000000,"0,0,0",,
Houston,#CD2027,"205,32,39",,,,,,
Idaho,#B18E5F,"177,142,95",#000000,"0,0,0",,,,
Illinois,#F38025,"243,128,37",#003D7C,"0,61,124",,,,
Indiana,#A91D36,"169,29,54",,,,,,
Iowa,#FFD51D,"255,213,29",#000000,"0,0,0",,,,
Iowa State,#B81137,"184,17,55",#840A2D,"132,10,45",#FEC938,"254,201,56",,
Kansas,#0051BA,"0,81,186",#E8000D,"232,0,13",#FFC82D,"255,200,45",,
Kansas State,#5E3788,"94,55,136",#A8A9AB,"168,169,171",,,,
Kent State,#003E7E,"0,62,126",#785200,"120,82,0",#EDB111,"237,177,17",,
Kentucky,#0036A0,"0,54,160",#FFFFFF,"255,255,255",,,,
Louisiana Lafayette,#D73F51,"215,63,81",#EEB91D,"238,185,29","#A5A0A0- rgb(165, 160, 160)","165,160,160",#000000,"0,0,0"
Louisiana Monroe,#800528,"128,5,40",#BE955B,"190,149,91",#000000,"0,0,0",,
Louisiana Tech,#ED1E24,"237,30,36",#000092,"0,0,146",,,,
Louisville,#FE1229,"254,18,41",#FFBB02,"255,187,2",#000000,"0,0,0",,
Lsu,#461D7C,"70,29,124",#FEBB26,"254,187,38",,,,
Marshall,#007631,"0,118,49",#000000,"0,0,0",,,,
Maryland,#E51837,"229,24,55",#FFD51E,"255,213,30",#231F20,"35,31,32",,
Memphis,#0C1C8C,"12,28,140",#F69F14,"246,159,20",,,,
Miami,#F47321,"244,115,33",#005030,"0,80,48",,,,
Miami Of Ohio,#D40424,"212,4,36",#82929F,"130,146,159",#000000,"0,0,0",,
Michigan,#00275D,"0,39,93",#FFD51D,"255,213,29",,,,
Michigan State,#1A453B,"26,69,59",,,,,,
Middle Tennessee State,#0079C1,"0,121,193",#E6E7E8,"230,231,232",#000000,"0,0,0",,
Minnesota,#840017,"132,0,23",#FEB92F,"254,185,47",#C79941,"199,153,65",,
Mississippi,#C8102E,"200,16,46",#13294B,"19,41,75",,,,
Mississippi State,#660000,"102,0,0",#FFFFFF,"255,255,255",,,,
Missouri,#E9AF10,"233,175,16",#000000,"0,0,0",,,,
Navy,#00275D,"0,39,93","#F5D610- rgb(245, 214, 16)","245,214,16",#B6A77C,"182,167,124",,
Nc State,#CC0000,"204,0,0",#FFFFFF,"255,255,255",#000000,"0,0,0",,
Nebraska,#D00000,"208,0,0",#FFFFFF,"255,255,255",#000000,"0,0,0",,
Nevada,#003366,"0,51,102",,,,,,
New Mexico,#D31244,"211,18,68",#D1D6D9,"209,214,217",#000000,"0,0,0",,
