School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Maryland,Big Ten (East),,4,8,3.26,-2.23,1.03,46.09,18.04,8.13,5.23,6.09,3.56,6.96,4.29,30
Northern Illinois,MAC (West),,8,5,-1.2,2.11,0.91,39.45,11.19,7.33,5.84,4.58,2.39,5.93,3.84,79
Florida,SEC (East),,4,7,-0.94,1.77,0.83,40.34,11.3,8.5,6.06,5.57,3.14,6.92,4.26,110
SMU,American (West),,7,6,8.95,-8.24,0.71,49.84,22.48,8.53,7.52,5.72,4.13,7.19,5.54,8
UCLA,Pac-12 (South),,6,7,6.49,-5.85,0.64,48.38,17.68,9.96,5.23,4.73,4.57,7.79,4.62,102
Appalachian St.,Sun Belt,,9,4,-2.37,2.96,0.59,40.82,10.67,8.52,5.76,5.91,3.42,7.07,4.38,121
Wyoming,MWC (Mountain),,8,5,-6.92,6.96,0.04,33.73,6.41,7.66,5.71,3.81,2.79,5.59,3.77,94
Virginia,ACC (Coastal),,6,7,-1.39,1.33,-0.06,39.77,12.72,7.47,5.21,4.29,3.58,6.17,4.22,24
California,Pac-12 (North),,5,7,-0.34,0.18,-0.16,40.91,10.94,8.1,5.84,4.23,3.14,6.38,4.16,97
Temple,American (East),,7,6,-3.41,2.6,-0.81,35.82,12.44,7.84,5.87,4.42,3.33,6.14,4.37,10
Colorado St.,MWC (Mountain),,7,6,4.38,-5.25,-0.87,44.26,17.46,9.34,6.58,5.72,4.61,7.58,5.5,85
Marshall,CUSA (East),,8,5,-2.78,1.65,-1.13,37.2,12.17,7.93,6.02,4.58,2.83,6.37,4.17,55
North Carolina,ACC (Coastal),,3,9,-0.52,-1.3,-1.82,43.52,15.59,8.09,6.28,5.26,3.65,6.7,4.64,21
Vanderbilt,SEC (East),,5,7,-1.92,-0.2,-2.11,40.11,16.64,8.95,5.17,4.8,4.11,7.03,4.37,120
Utah St.,MWC (Mountain),,6,7,-2.77,0.59,-2.18,41.19,15.82,7.68,5.11,5.28,3.69,6.52,4.17,93
Tulane,American (West),,5,7,-2.43,0.2,-2.24,37.83,13.96,8.44,7.17,5.34,4.32,6.31,5.46,11
Rutgers,Big Ten (East),,4,8,-7.17,4.9,-2.27,37.21,11.22,6.91,5.77,5.51,3.69,6.13,4.45,39
Arkansas St.,Sun Belt,,7,5,0.68,-3.1,-2.42,43.35,17.37,8.3,6.53,4.28,3.17,6.53,4.52,122
Louisiana Tech,CUSA (West),,7,6,0.76,-3.2,-2.44,40.66,16.64,8.03,6.06,5.2,4.27,6.64,4.89,54
Arkansas,SEC (West),,4,8,4.2,-6.65,-2.45,45.41,19.66,9.04,6.48,5.74,3.93,7.22,4.9,108
Colorado,Pac-12 (South),,5,7,-2.24,-0.36,-2.61,38.95,13.1,9.02,5.51,4.55,4.66,6.7,4.79,98
Western Michigan,MAC (West),,6,6,4.08,-6.95,-2.87,45.96,20.75,7.75,6.44,5.45,4.16,6.42,5.05,82
Buffalo,MAC (East),,6,6,0.28,-3.2,-2.92,38.18,14.69,9.67,6.9,4.21,3.68,6.93,4.9,74
Tennessee,SEC (East),,4,8,-4.83,1.66,-3.18,36.07,13.41,8.38,4.94,4.61,4.19,6.31,4.36,118
North Texas,CUSA (West),,9,5,6.44,-10.04,-3.6,46.48,24.56,8.88,7.12,4.98,3.85,7.04,5.12,57
Eastern Michigan,MAC (West),,5,7,-3.63,-0.47,-4.09,36.1,12.3,8.04,6.38,4.07,3.45,6.18,4.55,76
Air Force,MWC (Mountain),,5,7,2.55,-7.32,-4.77,45.12,20.32,10.31,7.48,5.66,4.84,6.54,5.8,83
Akron,MAC (East),,7,7,-6.82,2.0,-4.82,33.37,14.71,7.58,5.97,3.7,4.31,5.71,4.95,71
Central Michigan,MAC (West),,8,5,-0.61,-4.42,-5.03,39.27,17.67,8.03,5.44,4.5,3.89,6.43,4.45,75
Southern Miss,CUSA (West),,8,5,-3.1,-2.38,-5.49,38.12,17.03,7.94,6.01,5.26,3.21,6.67,4.35,60
UTSA,CUSA (West),,6,5,-8.71,2.92,-5.78,30.39,10.56,7.77,6.23,5.06,3.52,6.32,4.46,63
Miami (OH),MAC (East),,5,7,-4.57,-1.47,-6.04,34.03,15.27,8.24,6.09,4.53,4.07,6.38,4.83,78
Baylor,Big 12,,1,11,-0.59,-5.88,-6.47,41.54,18.3,8.88,6.46,4.61,4.12,6.94,5.01,41
Middle Tennessee,CUSA (East),,7,6,-4.64,-1.84,-6.48,34.83,15.94,7.95,6.17,4.73,3.17,6.54,4.34,56
Florida Intl,CUSA (East),,8,5,-2.84,-3.9,-6.75,35.42,20.21,8.39,6.78,4.78,4.22,6.53,5.26,53
Tulsa,American (West),,2,10,0.22,-7.68,-7.46,40.88,22.2,7.92,8.2,5.76,4.85,6.52,6.09,12
Illinois,Big Ten (West),,2,10,-6.84,-1.03,-7.87,33.66,15.01,7.94,5.86,4.5,4.03,6.16,4.57,27
UNLV,MWC (West),,5,7,0.94,-8.86,-7.92,39.98,22.33,8.4,6.67,6.28,4.58,7.2,5.39,92
BYU,Ind,,4,9,-9.89,1.83,-8.06,29.23,12.05,7.26,6.29,5.04,2.89,6.27,4.21,66
UAB,CUSA (West),,8,5,-3.08,-5.0,-8.08,34.75,19.56,7.38,6.01,4.99,4.11,6.12,4.84,61
New Mexico State,Sun Belt,,7,6,0.39,-9.07,-8.69,38.65,22.24,7.73,6.17,4.62,3.78,6.71,4.77,69
Nevada,MWC (West),,3,9,-1.58,-7.67,-9.25,39.72,21.1,8.23,7.43,4.84,3.62,6.78,5.0,88
Massachusetts,Ind,,4,8,1.75,-11.11,-9.36,40.93,24.18,8.82,6.28,4.47,4.22,6.85,5.07,68
Cincinnati,American (East),,4,8,-5.45,-4.14,-9.59,32.75,18.94,6.61,6.68,5.13,3.75,6.0,4.92,2
New Mexico,MWC (Mountain),,3,9,-7.64,-2.73,-10.38,32.32,18.99,7.17,6.53,5.94,3.84,6.47,5.13,89
Georgia St.,Sun Belt,,7,5,-9.21,-1.46,-10.66,28.94,17.91,8.35,6.64,3.75,3.9,6.12,5.15,125
UL Monroe,Sun Belt,,4,8,6.34,-17.22,-10.88,45.71,31.44,9.7,8.45,5.41,5.2,7.51,6.44,130
Western Kentucky,CUSA (East),,6,7,-3.54,-7.45,-10.99,33.52,21.39,8.39,6.64,2.37,4.09,6.07,5.02,64
Idaho,Sun Belt,,4,8,-11.24,-0.11,-11.35,27.5,15.61,7.71,6.17,3.74,3.68,5.66,4.6,133
South Alabama,Sun Belt,,4,8,-13.54,1.83,-11.71,27.12,15.23,7.55,6.33,3.48,3.83,5.72,4.86,127
Connecticut,American (East),,3,9,-5.15,-7.14,-12.29,33.74,22.0,8.45,7.32,4.23,4.08,6.27,5.62,3
Kansas,Big 12,,1,11,-7.24,-5.11,-12.35,34.86,24.11,7.44,7.22,4.25,3.37,5.98,4.84,43
East Carolina,American (East),,3,9,-1.43,-10.94,-12.37,38.78,32.04,8.04,9.29,4.23,5.21,6.47,6.73,4
Bowling Green,MAC (East),,2,10,-1.02,-12.09,-13.11,39.18,28.06,7.92,7.12,5.23,5.27,6.62,5.87,73
Oregon St.,Pac-12 (North),,1,11,-4.65,-8.92,-13.57,36.27,25.82,8.15,6.52,4.74,4.48,6.44,5.1,100
Hawaii,MWC (West),,3,9,-5.99,-7.77,-13.76,33.11,23.76,7.73,7.95,5.45,4.64,6.72,5.78,87
Old Dominion,CUSA (East),,5,7,-8.57,-5.38,-13.95,29.87,22.38,6.46,6.67,4.92,4.26,5.73,4.99,58
Louisiana,Sun Belt,,5,7,-2.62,-12.89,-15.51,35.61,30.83,7.31,7.52,5.29,4.99,6.34,5.8,126
Georgia Southern,Sun Belt,,2,10,-10.57,-6.26,-16.83,31.09,22.51,7.82,7.42,4.93,4.9,5.75,5.78,124
Coastal Carolina,Sun Belt,,3,9,-7.5,-9.7,-17.2,31.31,25.83,8.0,7.45,4.69,4.02,6.14,5.33,123
Kent State,MAC (East),,2,10,-14.75,-2.92,-17.66,25.13,22.04,7.45,6.8,4.36,4.68,5.46,5.32,77
Rice,CUSA (West),,1,11,-11.72,-6.65,-18.37,28.48,26.29,8.1,7.99,5.19,4.18,6.34,5.61,59
San Jose St.,MWC (West),,2,11,-10.41,-7.98,-18.4,29.65,30.76,7.4,6.82,4.22,4.66,5.81,5.25,91
Ball St.,MAC (West),,2,10,-11.28,-7.99,-19.27,28.69,31.77,6.3,8.03,4.37,5.06,5.38,6.03,72
Texas St.,Sun Belt,,2,10,-12.88,-6.44,-19.31,26.37,25.2,7.29,8.12,3.88,3.42,5.53,5.42,128
Charlotte,CUSA (East),,1,11,-14.14,-6.11,-20.25,24.73,24.58,6.24,7.32,5.4,4.5,5.86,5.44,51
UTEP,CUSA (West),,0,12,-18.77,-4.98,-23.75,21.71,24.04,5.85,6.37,3.86,4.58,4.96,5.01,62
