School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Fresno St.,WAC,,8,5,4.43,1.28,5.72,43.84,12.19,8.64,5.5,4.67,3.89,6.61,4.45,86
Virginia,ACC (Coastal),,7,5,2.71,2.9,5.61,40.17,11.62,8.95,5.44,4.67,3.64,6.55,4.54,24
South Carolina,SEC (East),,7,5,1.04,4.21,5.24,38.25,10.92,8.85,5.03,3.81,3.41,6.29,4.05,117
Kansas,Big 12 (North),,7,5,-1.76,6.98,5.22,35.33,8.61,7.21,5.29,4.66,1.84,5.84,3.56,43
Maryland,ACC (Atlantic),,5,6,3.82,1.29,5.11,39.99,11.92,9.47,5.79,4.47,3.29,6.67,4.31,30
South Florida,Big East,,6,6,-1.79,6.86,5.07,37.28,5.39,7.17,5.12,5.13,3.37,5.9,4.13,9
Tennessee,SEC (East),,5,6,-3.25,7.5,4.25,33.81,5.21,7.5,4.88,4.19,2.03,5.75,3.43,118
Tulsa,CUSA (West),,9,4,2.58,1.37,3.95,41.47,13.69,8.14,5.94,4.46,4.01,6.23,4.7,12
Missouri,Big 12 (North),,7,5,7.23,-3.55,3.68,44.31,18.06,7.0,5.88,5.82,3.42,6.36,4.55,115
Toledo,MAC (West),,9,3,4.02,-0.44,3.58,41.01,15.86,7.93,5.27,5.15,3.61,6.49,4.27,81
Arkansas,SEC (West),,4,7,1.52,1.92,3.44,40.45,12.52,7.09,5.55,5.62,3.0,6.28,4.07,108
North Carolina,ACC (Coastal),,5,6,-1.05,4.49,3.44,34.65,11.07,8.39,5.12,3.74,2.8,5.85,3.9,21
Northern Illinois,MAC (West),,7,5,2.54,0.29,2.83,40.03,14.08,9.54,5.4,5.28,4.06,7.13,4.53,79
Utah,MWC,,7,5,3.65,-0.81,2.83,40.11,14.89,9.48,5.68,4.95,3.67,7.04,4.63,104
Texas A&M,Big 12 (South),,5,6,6.47,-4.3,2.16,46.98,17.6,8.48,7.38,6.81,2.99,7.46,5.13,119
Boise St.,WAC,,9,4,3.27,-1.16,2.11,42.3,16.47,7.98,5.82,4.96,3.32,6.29,4.55,84
Navy,Ind,,8,4,5.62,-3.85,1.77,41.06,17.98,10.21,6.33,5.88,4.01,6.85,4.94,7
Washington St.,Pac-10,,4,7,4.8,-3.19,1.6,43.7,16.22,9.06,6.12,5.9,3.15,7.36,4.46,106
BYU,MWC,,6,6,5.34,-3.75,1.58,43.86,17.77,8.22,6.42,5.04,3.62,6.75,5.07,66
Miami (OH),MAC (East),,7,4,5.17,-3.82,1.35,42.27,18.81,8.17,5.49,3.7,4.36,6.07,4.82,78
Rutgers,Big East,,7,5,1.93,-0.63,1.3,39.83,15.22,8.99,6.15,4.66,2.7,6.65,4.35,39
Southern Miss,CUSA (East),,7,5,2.47,-1.22,1.26,39.12,15.05,7.98,6.76,3.34,3.64,5.75,4.85,60
Stanford,Pac-10,,5,6,0.83,0.36,1.19,37.08,12.03,8.46,6.02,3.29,2.8,5.67,4.32,101
Pittsburgh,Big East,,5,6,-1.77,2.74,0.97,37.16,10.08,7.98,4.67,3.95,3.68,5.82,4.06,22
Baylor,Big 12 (South),,5,6,-3.03,3.79,0.76,34.76,11.91,7.04,5.16,4.02,3.18,5.49,4.13,41
Wake Forest,ACC (Atlantic),,4,7,1.87,-1.66,0.21,40.09,16.63,7.68,5.73,5.1,3.56,6.07,4.68,26
Arizona,Pac-10,,3,8,-2.5,2.6,0.11,35.77,9.52,8.02,5.49,4.36,3.66,6.1,4.34,95
Central Michigan,MAC (West),,6,5,-2.4,1.98,-0.42,32.0,13.6,7.86,6.37,4.1,3.0,5.97,4.75,75
Vanderbilt,SEC (East),,5,6,5.0,-5.75,-0.75,41.04,19.19,8.09,6.52,4.28,4.14,6.37,5.15,120
Oregon St.,Pac-10,,5,6,1.76,-2.63,-0.87,38.72,16.99,8.27,6.75,3.96,2.22,6.19,4.46,100
Kansas St.,Big 12 (North),,5,6,0.8,-2.22,-1.42,38.83,16.34,7.77,6.25,4.54,2.92,5.91,4.41,44
San Diego St.,MWC,,5,7,-0.72,-0.85,-1.57,35.98,14.72,7.72,4.87,4.43,3.76,5.98,4.19,90
Memphis,CUSA (East),,7,5,-1.0,-0.76,-1.76,36.61,15.25,7.32,6.93,5.59,3.69,6.32,5.17,6
Connecticut,Big East,,5,6,-5.02,3.14,-1.88,36.97,10.31,6.69,5.26,4.54,2.99,5.44,3.89,3
UTEP,CUSA (West),,8,4,0.96,-3.42,-2.45,38.14,19.18,8.38,6.04,3.69,3.64,6.29,4.57,62
New Mexico,MWC,,6,5,2.52,-5.03,-2.51,37.36,19.3,7.8,6.34,4.52,3.32,5.84,4.74,89
Colorado St.,MWC,,6,6,0.27,-3.03,-2.76,36.06,18.0,9.49,6.63,4.04,4.29,6.67,5.21,85
Houston,CUSA (West),,6,6,1.69,-4.62,-2.93,37.21,18.38,8.46,5.9,4.49,4.49,6.44,5.04,5
Washington,Pac-10,,2,9,-4.49,1.38,-3.11,33.48,12.05,8.65,5.9,4.54,2.79,6.43,4.22,105
Bowling Green,MAC (East),,6,5,1.86,-5.02,-3.17,39.49,20.85,8.5,6.72,3.69,4.44,6.12,5.16,73
Louisiana Tech,WAC,,7,4,-1.11,-2.28,-3.39,34.09,18.56,7.25,6.27,4.02,3.77,5.58,4.87,54
Indiana,Big Ten,,4,7,-0.24,-3.26,-3.5,36.44,18.17,7.22,5.82,4.13,4.06,5.5,4.83,28
Central Florida,CUSA (East),,8,5,1.71,-5.31,-3.6,37.05,19.85,8.36,6.92,3.82,4.56,5.87,5.53,1
UAB,CUSA (East),,5,6,0.1,-4.14,-4.04,36.05,18.27,8.77,6.81,4.52,3.95,6.82,5.14,61
Air Force,MWC,,4,7,2.63,-7.0,-4.38,39.66,21.49,10.2,7.35,5.09,3.78,6.54,5.31,83
SMU,CUSA (West),,5,6,-6.34,1.48,-4.87,29.38,15.5,6.72,6.2,3.64,3.3,5.1,4.55,8
Wyoming,MWC,,4,7,-3.11,-1.76,-4.88,33.89,16.87,7.98,5.38,4.14,3.48,6.13,4.23,94
Nevada,WAC,,9,3,2.43,-7.64,-5.21,38.75,24.6,7.74,6.45,4.54,4.33,6.05,5.3,88
Akron,MAC (East),,7,6,-3.34,-2.16,-5.5,31.94,17.57,7.51,5.77,3.31,3.89,5.66,4.52,71
Western Michigan,MAC (West),,7,4,4.03,-9.58,-5.55,38.2,26.17,7.97,7.04,3.65,3.97,5.78,5.4,82
Hawaii,WAC,,5,7,2.18,-7.79,-5.61,38.34,24.12,8.89,6.76,4.12,4.27,7.23,5.28,87
Army,Ind,,4,7,-4.62,-1.19,-5.81,31.61,17.14,7.16,5.19,4.0,3.97,5.26,4.59,65
Oklahoma St.,Big 12 (South),,4,7,-3.27,-3.02,-6.28,32.72,17.78,6.98,6.63,4.82,4.09,5.7,5.1,46
East Carolina,CUSA (East),,5,6,-2.15,-4.34,-6.49,33.37,19.24,8.16,6.13,3.99,4.43,6.1,5.05,4
Mississippi St.,SEC (West),,3,8,-10.05,3.02,-7.03,27.84,12.47,6.54,5.6,4.52,3.2,5.46,4.16,114
Ball St.,MAC (West),,4,7,-2.41,-4.9,-7.31,32.69,27.12,7.16,6.73,3.31,4.52,5.07,5.38,72
Eastern Michigan,MAC (West),,4,7,-5.28,-2.14,-7.42,29.45,19.14,6.84,5.8,3.81,4.78,5.43,5.08,76
Ole Miss,SEC (West),,3,8,-9.58,2.09,-7.48,27.03,11.94,7.55,5.48,3.11,3.02,5.42,3.97,116
Illinois,Big Ten,,2,9,-4.77,-2.78,-7.54,32.46,23.03,7.21,6.67,5.04,4.26,5.94,5.28,27
Kentucky,SEC (East),,3,8,-1.01,-8.05,-9.06,35.69,22.09,7.43,5.66,4.4,4.44,5.76,4.95,112
Louisiana,Sun Belt,,6,5,-2.44,-6.76,-9.19,31.24,24.04,6.38,6.91,5.11,4.48,5.74,5.37,126
Cincinnati,Big East,,4,7,-5.46,-3.74,-9.2,31.01,18.64,7.8,6.58,3.92,3.75,5.69,4.93,2
Marshall,CUSA (East),,4,7,-7.29,-2.57,-9.86,27.53,16.52,6.22,6.44,3.91,3.86,5.16,4.64,55
Middle Tennessee,Sun Belt,,4,7,-9.52,-0.37,-9.89,25.72,15.61,7.32,6.49,2.82,3.89,4.94,4.96,56
Duke,ACC (Coastal),,1,10,-6.31,-4.4,-10.71,30.64,24.59,6.28,5.97,4.05,4.46,4.94,5.13,15
Syracuse,Big East,,1,10,-10.14,-0.81,-10.95,28.09,13.01,6.87,5.52,3.74,3.78,5.11,4.38,23
Ohio,MAC (East),,4,7,-8.06,-3.65,-11.71,26.83,21.05,6.31,7.25,4.57,4.41,5.41,5.59,80
Arkansas St.,Sun Belt,,6,6,-7.94,-4.87,-12.8,29.08,22.56,7.27,6.96,4.73,4.28,5.89,5.26,122
Florida Intl,Sun Belt,,5,6,-6.8,-8.07,-14.88,27.99,26.75,7.01,8.26,3.74,4.16,5.56,5.69,53
UNLV,MWC,,2,9,-9.53,-5.35,-14.88,25.79,24.48,6.86,7.31,3.5,3.34,5.23,4.89,92
UL Monroe,Sun Belt,,5,6,-5.42,-9.58,-15.0,27.98,28.09,6.07,7.31,3.85,4.47,5.13,5.56,130
Rice,CUSA (West),,1,10,-5.33,-9.7,-15.03,31.19,27.01,6.36,7.66,4.31,4.88,5.14,5.9,59
Tulane,CUSA (West),,2,9,-6.8,-9.01,-15.82,29.13,23.76,6.56,6.17,2.9,4.4,5.03,5.02,11
San Jose St.,WAC,,3,8,-8.02,-8.59,-16.61,26.55,25.33,6.75,7.34,4.02,3.4,5.4,5.07,91
Troy,Sun Belt,,4,7,-13.18,-3.52,-16.7,20.14,19.7,6.25,6.1,2.89,3.58,4.45,4.55,129
Temple,Ind,,0,11,-15.29,-1.78,-17.06,21.78,29.76,6.68,6.67,2.71,4.14,4.6,5.16,10
Kent State,MAC (East),,1,10,-12.38,-4.86,-17.23,22.9,21.79,6.38,5.52,1.53,3.99,4.49,4.46,77
Utah St.,WAC,,3,8,-9.72,-7.97,-17.68,25.1,24.71,7.84,6.92,3.11,3.8,5.17,5.07,93
North Texas,Sun Belt,,2,9,-13.23,-5.0,-18.23,21.09,26.81,5.6,8.37,4.01,4.82,4.82,5.97,57
Florida Atlantic,Sun Belt,,2,9,-14.54,-3.86,-18.39,19.87,24.44,6.82,6.59,3.17,4.56,4.81,5.27,52
Idaho,WAC,,2,9,-7.22,-12.15,-19.37,27.58,30.3,7.17,6.69,2.76,4.61,5.24,5.37,133
Buffalo,MAC (East),,1,10,-17.56,-3.73,-21.29,18.03,21.8,6.65,5.55,2.98,4.99,4.75,5.0,74
New Mexico State,WAC,,0,12,-12.06,-10.92,-22.98,23.52,29.02,6.6,6.92,3.14,4.63,5.24,5.43,69
