School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
North Texas,MVC,,3,8,0,-6.66,-7.72,-14.38,19.73,24.28,,,,,,,57.0
Penn,Ivy,,2,7,0,-8.57,-7.07,-15.64,17.64,20.33,,,,,,,170.0
Xavier,Ind,,1,9,0,-8.46,-8.15,-16.61,17.41,21.2,,,,,,,
Brown,Ivy,,0,9,0,-7.35,-10.47,-17.82,19.55,22.84,,,,,,,165.0
Wichita State,MVC,,3,8,0,-8.93,-9.48,-18.4,15.97,22.97,,,,,,,
West Texas A&M,MVC,,2,9,0,-9.66,-9.54,-19.2,16.31,23.46,,,,,,,416.0
VMI,Southern,,1,10,0,-17.34,-3.04,-20.39,9.66,18.35,,,,,,,233.0
Marshall,Ind,,2,8,0,-14.98,-5.48,-20.46,10.73,25.28,,,,,,,55.0
Texas-Arlington,Ind,,2,9,0,-14.8,-6.83,-21.63,10.88,21.56,,,,,,,
Cal State Los Angeles,PCAA,,2,8,0,-14.57,-9.79,-24.35,10.53,24.96,,,,,,,
Davidson,Southern,,1,9,0,-12.47,-13.08,-25.55,13.91,27.79,,,,,,,218.0
